	By far surpasses ANY hotel that I've ever stayed at!	I had the great fortune of staying at the Intercontinental Park Lane Hotel, London, over the last 2 days. I was there for a Medical Conference, and my stay at the hotel (as well as the cost of the conference) were paid for by Abbott Pharmaceuticals (as a 'Thank You' to me for helping to produce a drug protocol). The Conference was being held at ExCel; this is 10 stops on DLR and another 5 on underground - so I left the Conference grumbling at the distance that I had to travel to get to the hotel! Well .... I would have travelled twice the distance for this hotel! I arrived at Reception at about 7pm, there was no horrible queue for check-in, and I was met by a smiling face from the lady who booked me in. She made absolutely no reference to the fact that I was being given a luxury suite - just simply gave me my room (suite) key, informed me that it was on the 1st floor and then asked if I required anyone to carry my bags. I declined the offer of a carrier (my bags aren't posh, so I didn't want to be embarrassed!) and took myself up in the lift. I have to say, I did wonder why the door said 'Spa Intercontinental' when I got there, but was so exhausted that I just threw my body through the door. As I opened the door I expected to see exactly what one finds in every other hotel - a bed close to the door, a tray near the door with a kettle, and a trouser press etc. But ..oh no. What actually greeted me as I opened the door was opulence!! Shining black tile floors, gleaming wooden doors. I put the light on, still not sure what I was looking at, saw that there was a door in front of me, assumed that the door to the left was the bedspace - but, again ... no ! It was a stunning walk-in wardrobe, with bar-area prior! There was a loo as large as a standard downstairs toilet-area at the 1st closed door. And then .... I opened the heavy double-doors that were facing me, to find the most ENORMOUS bedroom, beautiful bed, curved sofa at one end, chaisse-longue at the other. Glass finishings everywhere, and, just when I thought I'd seen it all, another door to a HUGE bathroom with illuminated Spa, wet room with rainforest shower and another loo! The view from both windows were of ParkLane Picadilly and Hyde Park (where they had a splendid German Xmas Market!) One of my main reasons for writing this review is that I have stayed in lots of places in my lifetime; I've been to stunning 5-star hotels in SWitzerland when skiing, and all across Europe, the Americas and the wider world. All hotels have professed to probably what they aspire to, but none have quite delivered, in my opinion, what they profess. The Intercontinental seems to play the descriptions down! I know that I wasn't expecting an opulent stay (was only on a 3-day conference for work after all!) so my expectation was fairly low; however, since I've returned home I cannot find a description of the Spa suite on any website! The room, incidentally, is No 106. I really was so very lucky to have it, as I believe that the Pharm Co had over-subscribed, therefore this was an upgrade. However, it seemed to me that the wonderful staff took enormous pride in ensuring that I had a stay which matched my luxury stay thereafter! There wasn't a grumpy face amongst them! The lovely ladies who offered 'turn down', the very cheerful Kimberley who sorted out my extra night - (!) Yes, I stayed on and the hotel staff saw to it that I remained where I was ! I was HUGELY impressed with the night security man, John. I had an unfortunate temporary 'loss' of my handbag in the bar one evening and he was there like a shot, despite there having been no incidents at the hotel before. He scrutinised the CCTV and found my bag for me; all the while remembering to be the perfect gentlemen (he DID tell me that he is ex-military; - however I think his impeccable manners are a credit to his personality, rather than to his military background, as well as to the hotel) Oh, by the way, the bag was only mislaid - by me of course!Finally, on Wed 25th Nov, and after my beautifully relaxing illuminated Jacuzzi in my bathroom, it came to my ever-so-reluctant check out , and I could not believe that the lovely lady behind the desk (wish I'd got her name - I think she is French) not only offered to help me carry my bags outside, but also insisted on leaving her post to come outside and walk me to the end of the road where she could show me the Tube Station! Never before have I had such care and attention and yet, as I say, have stayed in high quality hotels all my life, generally for skiing and leisure.I am highly impressed by this wonderful place and would give my eye-tooth to return one day. However, sadly, don't think I'd ever be able to stay in the Spa Suite, room 106 again! So all I have are my memories!Thank you Intercontinental Park Lane for your unmatchable hospitality. I would love it if you could put some pictures of 106 on your site, as it , and your great staff, really does you proud!Kind regardsLouanne McCabeWinchesterHampshireUK	
Oct 17 2008 	Great Hotel but Expected More!	I should start by saying I feel a little bad about writing this review but think it is worth mentioning so that people have an honest understanding and expectation.I'll start by saying the Intercontinental set of hotels are simply great. I have been staying with them and am an Ambassador level guest so I clearly put my money where my review is.The London Intercon is in a fun area of the city and offers a great morning walk to the office or city for work. If you're heading to Big Ben area you can walk right down the main causeway and past the Palace which kicks the day off in a wonderful way. It also is positioned well for a great walk after a long day and a few pints with you &quot;mates&quot;.The hotel physically is well appointed and the staff very friendly. On my stay there were complimentary tickets to the Royal Galleries (although I did not have time to use them).So, all the basics are covered and covered well.My disappointment was with the room choice. I guess I was expecting that being Platinum and Amabassador with the Intercon for so many years I would not be put in a small room on a lower floor without access to the standard business lounge. It is probably an oversight by the booking or front desk people but it's one that is costly. For those staying 50+ nights a year with a hotel chain you expect / grow accustomed to the hotel being your home away from home. This is the major failure of this transaction.My second point of contention, which I will admit is minor but none the less annoying, is the flat rate at which points are accrued for staying at the Intercon. For some reason it has been determined that regardless of how much (and it is a lot) you spend on a stay (for a day or in my case 5 days) you simply get 2000 points. To put that in perspective - you need 25k to stay at a basic Holiday Inn property. So, my gripe is that in exchange for $2200+ for a few nights I got a bill slipped under my door. The other HI properties would have graciously deposited 22,000 points and then bonused it up another 11,000. This would have allowed a frequent traveler like me to either extend a vacation another day, have the in-laws stay comfortably &quot;over there&quot;, etc.So, If you're not a point person or a frequent stayer - go here and enjoy. If you're a marketing person from Intercontinental surfing the web trying to figure out &quot;the voice of the customer&quot; read this review again and then match the dates and story with the emails I sent to the Customer Service team. You'll be able to find me and call me. For the record: &quot;yes, it is all about the points&quot;!	
Oct 9 2008 	Attentive and Lush but is the Location really that great?	I've just had a stay where I found the washroom to be the most luxurious. Who thought there could be so many ways water can come out for a shower at the same time. The rooms were properly made however it seemed like they try to predict the time when you would be out of the room - sometimes they are wrong. The first day I was there, my room was not made when I arrived back at 5 to freshen up for dinner. After I put the &quot;please make room&quot; sign on my door knob my room was made everyday between 2-3pm and someone actually checked up if I was satisfied with my room. My room was made again around 8pm for the &quot;night time&quot; mode. As for location, it is not actually that convenient. Picadilly Circus is a 30 minute walk and the closest convenient store about 15 minutes. Essentially most tourist sites requires a change on the tube so that was a bit annoying as well. I did ask some locals and it seems everything requires a connection. Lastly, maybe because this is a 5 star hotel and they wish to wait on you hand and foot but I'm someone who doesn't like to wait and if I need to dial room service for 3 cubes of ice for a drink, I'm a bit put off.	
Sep 29 2008 	A Very Pleasant Stay	My wife and I stayed at the Interconti for one Saturday night using Priority Club points. From the outside the building is an uninspiring concrete block, but the Hyde Park Corner location has to be one of the best in London especially for enjoying the wonderful parks just over the road.The lobby is not as opulent or dramatic as some 5 star hotels, but has an elegant, understated air which we liked. Check in was friendly and efficient. We arrived at about 1030 not expecting our room to be ready, but simply to deposit our luggage, however, it was indeed ready which was an added bonus.The standard room was small by 5 star standards, but adequate, and beautifully furnished in luxury fabrics and dark wood furniture. The bed was big and very comfortable. Bathroom, again on the small side but nicely fitted out with a lovely over bath shower.We had a very nice afternoon tea in the lobby lounge with more cake than we could eat. A post-theatre dinner in the Theo Randall restaurant within the hotel was delicious and the service was exemplary. We did not eat breakfast at the hotel; as the weather was beautiful we took a Sunday morning stroll through Hyde Park and enjoyed breakfast overlooking the Serpentine lake, perfect!All in all a perfectly memorable short stay in London.	
Sep 29 2008 	Enjoyable Stay	We stayed 2 nights recently and had an enjoyable stay. We were in a standard room which was nicely presented with superior furnishings and quality 'Bose' and Bang &amp; Olufsen' electronics in the room. The standard room we had wasn't huge but the bed was comfy and the bathroom was of a good standard. The hotel is in a great location with easy access by tube (Hyde Park Corner), taxi (£10 from Euston Station) or walking (15 minutes to Piccadilly) and the services within the hotel - Room Service, Gym, Restaurant, Bar etc are all excellent. We'd recommend staying there and would stay there again on our next trip to London.	
Sep 29 2008 	Great hotel with great staff	Stayed at this hotel for a weekend while visiting London. It really was a great experience. Sometimes I find the big hotel chains are a little soulless and impersonal but at the Intercontinental Park Lane this couldnt be further from the case.Staff are sincerely friendly and always willing to help, in reception, concierge and restaurant.The public areas of the hotel are very clean and relaxed and the room we had was large, clean and modern.I would not hesitate to stay here again. Well done Intercontinental!	
Sep 27 2008 	Seamless	A few days in London to sight see on our way home from a trip to Italy. The Intercontinental was the perfect hotel experience. I'm always searching for hotels with updated exercise facilities. The gym at this hotel has everything you need for a good workout and the location is ideal, situated in between Hyde and Green Park. Some of the rooms are small, however we requested an outside room, which was a bit larger. We loved the decor, the bathrooms were clean with a rain shower head. The conceirge was friendly and always full of great suggestions. The restaurant staff were fun and eager to please. This hotel is great for business travelers and couples looking for quiet rooms with great service. I was overwhelmed by how friendly the staff was. There is an upbeat, yet mellow mood throughout the hotel.	
Sep 26 2008 	Suite dreams	Two stays at this property in the last couple of months, and we loved it. Wonderful airy club lounge with a great view south over London through high windows. The lounge serves a great breakfast - hot options as well as cold, and various tidbits through the day. Complimentary champagne at 6pm.Really comfortable beds in the suites, cushions galore, and the bathrooms are very nice too. The staff were great. Walk straight out of the hotel for a stroll in Hyde Park or off shopping in Knightsbridge.	
Sep 24 2008	Great place to stay	I really enjoyed the InterContinental, superb room and a very comfy bed after a long day walking around London! Very close to Hyde Park Corner underground station and an easy walk up the street to Langhams and along Piccadilly.	
Sep 10 2008 	Loved the place	Booked on Hotwire for 5 nights at $215 per night. The hotel is beautiful, the service excellent, the rooms luxurious and the location is in the middle of everything. Don't expect much of a view for the Hotwire price and, if you are on a budget, try not to buy anything in the hotel (e.g. a cup of coffee was about $9 when we were there)	
Sep 10 2008 	Small and comfortable.	My husband and I stayed in a Classic Room for the weekend. We paid £200 inc VAT for both nights. We did enjoy our stay, the room was comfortable but decorated in a woolly, traditional style (but with no charm!) The room was well equipped though, and we had Bang &amp; Olufsen TV and DVD player. The only bad points are the room size is small (18 feet) and there is a shower curtain - which I have never experienced in a good hotel - you can't really enjoy your shower as the shower area is so small and the slimy curtain gets in the way. Everything else about the room was great, location was perfect, we walked to Oxford St, Edgware Road, Mayfair etc the staff were great. Would visit again but would not pay anymore. If I wanted to pay more, I would opt for a more fashionable room in the The Waldorf, Aldwych.	
Sep 1 2008 	5* Excellence and Great Location	My daughter and I enjoyed 4 nights in a standard room at the Intercon Park Lane. Service was excellent throughout the stay. There was some trouble on check in 'finding' our room - the hotel was so full, but we were treated to drinks in the bar while an appropriate room was found. Other examples of great service - we were waiting at the concierge desk to enquire about theatre tickets while another guest was being served. After no more than one minute, someone from the check in desk came over to assist us. Another time, I sat in the lobby and waited while my daughter ran up to the room for a forgotten item. An employee came over shortly after I was seated to enquire if there was anything I wanted. All employees offered attentive, friendly service.The room had a view of Hyde Park, had very high quality linens, ample towels and amenities, and one of the most comfortable beds I have ever slept in. Absolutely no noise from the street unless, of course, we chose to open the window. The room had plenty of space for all our bags. Comfortable chairs for relaxing and watching TV after a long day of sightseeing and shopping were appreciated. We ate breakfast each morning in the restaurant at the hotel. I had the 'continental' buffet. Pricey, but very good selection of breads, rolls, muffins, fruits, juices and cereals (they were happy to prepare hot cereal on request), good coffee (essential in my mind). My daughter ordered a la carte. We had the same selection each morning - creatures of habit - so when I checked out, I noticed and pointed out that one day they didn't charge enough and another they charged extra. WIth an apology, they removed the entire charge for the breakfast that was overcharged and didn't up the amount for the undercharged breakfast. This impressed me and was a nice touch for an apology - definitely going the extra mile to correct.The location is no more than 2 minutes from the Hyde Park Corner tube station on the Picadilly line. We took the tube everywhere, day and evening, and this stop is handy for getting to most tourist sites. We enjoyed being right next to Hyde Park and walked through the park on several occasions.I will definitely stay at this hotel again, well worth the price.	
Aug 24 2008 	Fantastic rooms not bad location	Rooms were amazing, bed super comfortable and bathrooms very clean and modern. Hotel itself was clean and modern and friendly service. Of course with any high-class hotel, the food and drink were off the charts so we ate elsewhere.5 minute walk from Hyde Park Corner tube station, up and down stairs so can be a bit tiring if you have large luggage.Nobu restaurant (one of London's best reviewed Japanese restaurants) is right across the street.For shopping, we took the Tube a couple stops away to Piccadilly and Oxford. Knightsbridge is only one stop away.If we have the budget, we'd love to come back here again.	
Aug 5 2008 	Memorable experience for all the right reasons!!!	My partner booked us 1 night in the intercontinental for a very memorable stay in London where we got engaged. The hotel were very accomodating and spent much time having phone conversations with my boyfriend arranging a plan where we would be moved to a bigger and better room which they had decorated especially for the big event. They had even gone to the trouble of sourcing my favourite drink to make available in the room.The room was more than amazing with a stunning view of the London eye and Big Ben. It was truely an amazing night and made all the more special by their efforts. The staff were very polite and friendly and I was made to feel very special the next morning as they were asking to look at my ring and wrapped up my roses.I can't thank them enough for working with my new fiance and supporting him in making me feel like a princess	
Jul 1 2008 	A big improvement of the Intercontinental hotels that London used to have	The Intercontinental London Park Lane is conveniently located across the road from Hyde Park Corner Underground Station on the Piccadilly line.The entrance foyer is rather cramped and the two door men were too busy talking to each other than helping us with our luggage or opening the door.As you enter the main lobby you have to immediately go down a small number of steps to reach the main reception.The main lobby is pleasant enough but not particularly grand like a number of other five star hotels. Although it has only just been refurbished, the design gives the impression of a luxury hotel from the late 70’s, very nice quality but rather dark and small. Please don’t let this initial part of the hotel put you off, after all it is only an entrance and without knocking half of the building down and starting again it would be very hard to make any major change here. The Priority Club check-in desk is to the left of the reception desks.The reception is immediately in front of you as you enter, to your right is the Theo Randlle Italian Restaurant which has received excellent reviews but we didn’t use on this occasion. To your left is the concierge and guest relations desks and in the far left is the main bar and another brassiere style restaurant.We approached reception and were immediately welcomed by a member of staff. Prior to our arrival at the hotel we were emailed a questionnaire asking all about our trip, any extras that we may require, magazines, butler, flowers, restaurant reservations etc. This I thought was very good.The member of staff informed us that we had been upgraded from the 1 Bedroom Suite that we had booked to a 1 Bedroom Luxury Suite. We were given our key cards, a quick explanation that we could use the Club Intercontinental Lounge on the 7th floor and shown to the lifts. We weren’t accompanied to our suite and no assistance was given with luggage however we did only have two small overnight bags so it wasn’t really needed.We arrived at our suite (room 410) on the 4th floor, the electronic key card to open the door worked first time (quite a challenge for some hotels I assure you!).On entering the suite there is a small hallway with a guest bathroom (toilet and vanity washbasin together with a large bottle of Elemis Hand wash and Elemis Moisturiser), small round table with a box of tissues.Opposite the guest bathroom is a full length mirror and an area for baggage, etc.Further into the suite is a dining table for four persons, on the table was a welcome card from the hotel manager, a box of Duchy of Cornwall biscuits, a small bowl of fruit and a 750ml bottle of English still water.Next to the dining table was a desk with the normal internet connections, multi line phone etc; in the drawer was a WIFI repeater to ensure a good internet connection.The dining area leads onto the main part of the living room consisting of a nice comfy sofa, two arm chairs and a floor lamp together with a coffee table and two side tables. These are positioned around a very nice wood panelled wall unit with a built in 32” Bang &amp; Olufsen LCD TV, a separate Bose Wave Sound System and Bang &amp; Olufsen DVD Player.The TV has various languages; English, Czech, Danish, German, Russian, Estonian, Spanish, French, Greek, Italian, Dutch, Norwegian, Polish, Portuguese, Finish, Swedish and Turkish.The TV has the following channels: BBC1, BBC2, ITV1, Channel 4, Channel 5, Sky News, CNN, BBC News Channel, BBC World, Bloomberg, CNBC, Al Jazeera International (English language), Sky Sports 1, Sky Sports 2, Sky Sports 3, Sky Sports News, Eurosport, Al Jazeera Sports 1 (Arabic), Al Jazeera Sports 2 (Arabic), Dubai Sports (Arabic), Quatar TV (Arabic), Saudi 1 (Arabic), Saudi 2 (Arabic), Dubai TV (Arabic), Abu Dhabi TV (Arabic), Al Arabiya (Arabic), Al Jazeera (Arabic), MBC, MBC 2, TV 5 (French), Das Erste, ARD (German), LBC (Arabic), Rotana Musica (Arabic), CBBC, C Beebies, Rai Uno (Italian), TVE International (Spanish), RTP International (Portuguese), ERT Sat (Greek), RTR Planeta (Russian), TRT International (Turkish), JSTV (Japanese), CCTV 9 (Chinese), PCNE (Japanese).Internet can also be accessed through the TV using the wireless keyboard at a charge of £27 for a 24 period for unlimited use of Movies on demand, Music on demand (separate to the Bose Wave sound system which is free) and internet through the TV.The coffee table in front of the sofa had the selection of magazines we had requested on the pre stay questionnaire plus a couple of extra ones, all current issues.The view from the living room window was amazing; we looked directly down onto Wellington Arch, The New Zealand War Memorial and Hyde Park Corner.The living room has a nice thick double door (walnut wood) leading through to the bedroom.The bedroom has a large King Sized bed, attractively decorated with many large pillows. The sheets were of excellent quality, the bed had down comforters and were very comfortable.The bedroom also had its own Bang &amp; Olufsen LCD TV again built into a wooded wall unit. There was a large mirror hidden behind a little door in the wall unit and this could also be utilised as a dressing table.Next to the bed was a second Bose Wave Sound System which also acted as the bedside alarm clock and radio.The bedroom lighting was very good, two bedside lamps, over head reading lights and even a little night light next to the bathroom door built into the floor (can be turned off). The bedroom had the same view as the living room.There was also a good sized wardrobe, build in drawers, ironing board, a proper hairdryer, laptop safe, valet box with shoe shine bag (leave outside for complimentary shoe shine), laundry bag and shoe horn.There was another small area for luggage to be left.The bedroom leads onto the bathroom area. The bathroom had a large bath with a good ergonomic design which supported you whilst bathing, the bath had a build in handheld shower head should you wish to wash your hair whilst in the bath. There was a double vanity unit, a separate shower cubicle with rain head shower, a toilet and bidet.There were copious amounts of Elemis Toiletries, body wash, shampoo, conditioner, body lotion and soap. These were all in 100ml bottles and we had 3 of each type.There was a good amount of towels, large bath sheets, floor mats and two large robes.Once we had unpacked we headed up to the Club Lounge on the 7th Floor.Club Lounge access is free for all guests residing in a suite. For non suite guests there is an additional charge which is listed on their website.The lounge has its own reception desk leading into a hallway with male and female toilets (again Elemis Toiletries) and a separate shower room for those arriving early when the room isn’t ready.As you turn left you enter the main part of the Club Lounge, the ceiling rises and you are greeted with an excellent view of Wellington Arch and Hyde Park Corner from the large floor to ceiling windows that run the entire length of the room.There are different seating areas including sofas, more formal dining tables and individual stools against a runner like in a coffee shop.The Lounge has three computers (two windows laptops and one apple notebook) with complimentary internet access.There are two large plasma screen TV’s with sofas facing them at opposite ends of the lounge, these were showing Sky News on our arrival but they could be changed if you ask the staff.At the far end of the lounge is a library area with a good selection of magazines and travel books together with national and international newspapers.In the centre of the lounge is a raised area with the complimentary buffet.Coffee and Tea (loose leaf and many varieties) are available all day either by self service or by asking a member of staff. There are also fridges with very nice fresh fruit juice, water and other soft drinks. You could ask for other drinks from the staff.A selection of nibbles, crisps, nuts and rice crackers were always available.There was also a selection of small cakes and biscuits available next to the coffee.A lunch a selection of sandwiches with various different fillings are put out and regularly replenished together with a good selection of cakes.At 1500hrs afternoon tea is served with a help yourself selection of sandwiches, cakes, tea cakes, scones, James and cream. Tea and coffee can be made by a member of staff if asked. All were very nice and you could help yourself to Complimentary champagne.At 1800hrs an evening selection of nibbles, olives, crisps together with a full bar (help yourself again!) and hot canapés such as tempura prawns, chicken satay and even club sandwiches were served, together with a selection of cheeses with biscuits and cakes. There was enough to fill you up if you weren’t particularly hungry.After afternoon tea we went back to our suite to find a member of staff had delivered two glasses of ice cold champagne, a bowel of fresh strawberries and a lovely chocolate birthday cake for my partner. There was another bowel of fruit and more water together with a small birthday card from the hotel staff.We only had one very small problem with the room and that was the overnight pack supplied in the bathroom with razor and toothbrush inside had been opened by the previous guest and then placed back on the shelf. Personally I blame the previous occupant for putting it back on the shelf and not disposing of it. We mentioned it to the Club Lounge host and asked dif we could have a new one. When we returned that evening not only was the overnight kit replaced but there was a written apology from the Housekeeping Manager and a box and very nice chocolate truffles. We didn’t expect this at all and it was a very nice gesture. I just hope the member of staff didn’t get into trouble.We had an excellent night’s sleep, no noise at all despite being at Hyde Park Corner.Breakfast the next morning was served in the Club Lounge. A nice selection of fresh fruit and fresh pastries was served together with the normal continental selection of meats and a good cheese selection.You could also order hot food with the lounge host, my partner tells me the poached eggs were the best he has ever had served with bacon and tomatoes and a round of toast.There are no breakfast menus around, so ask for any cooked selection.The lounge staff were very friendly and helpful, we were allowed a late checkout at 4pm and we were then offered the use of the Club Lounge for as long as we needed as our train was departing late.Overall an excellent hotel, good position, good service and good value for money compared to other London hotels. It is a big improvement of the Intercontinental hotels that London used to have.	
May 30 2008 	Great Hotel and Location but silly phone charges	One of the better 5 stars we have stayed in . Got to London at least once a year and will use this Hotel again. The phone line charges for a local call at really high and defeat the purpose of prepaid cards (ie 1.5 pounds plus .5 pounds a minute up to 5 pounds)	
May 17 2008 	Customer service disaster	We were attending an event and had booked to stay an additional night. Our booking was lost. Room was not cleaned the next day so at 18:00 they asked us to go away while they cleaned it.Paid on departure, they lost the payment.Contacted my husbands company looking for payment, saying he had not paid.7 phone calls and 23 emails later I would have to confirm that the customer service is dreadful.	
May 17 2008	Afternoon Tea	As part of my sister's birthday celebrations, my mother, sister and myself spent a day shopping in London and were booked in for afternoon tea at the Park Lane Hotel.At first, we went to the wrong hotel so be careful not to walk past the front door as we did! When we first walked in, the decor and atmosphere were lovely and tranquil but there didn't appear to be a specific reception desk so there was some initial confusion because the gentleman/doorman who greeted us didn't seem to know what we were talking about. Nevertheless, we got over this initial hiccup and we shown to the Palm Court, which is just a wonderful example of Art Deco with a fantastic high, arched glass ceiling and other features.We were shown to our seats, right next to the harpest, and sank into huge, soft sofas amid dimmed lights and an airy atmosphere. The service was impeccable; attentive without hassling us, friendly without being overbearing and we felt like queens. We opted for the Art Deco Afternoon Tea, which included a glass of champagne. The whole experience of afternoon tea here was wonderful with a list of different teas as long as your arm, dainty finger sandwiches, a variety of scones and preserves and patisserie that are almost too pretty to eat.At approximately £45 per head, you might think that it's not worth it for afternoon tea but we were given second helpings of sandwiches and stayed for about fours hours! They must have been glad to get rid of us but they certainly didn't show it! The perfect way to recharge after a successful shopping trip.	
May 16 2008 	True 5 star luxury at the Intercon	We stayed at the Intercon a few weekends ago &amp; remembered what the old tired 1980's building used to be like, but after a multi million pound investment, this property has come back into the truly 5 star market. The lobby is small by international standards &amp; the bar area is slightly souless, but the rooms are refurbished &amp; offer great views over Hyde Park, make sure you ask for a front room as there is an internal well, which you may have a view into if you are unlucky. The size of the rooms are small by new Hotel standards but are beautifully refurbished with all the usual 5* luxuries that you would expect, again the bathrooms are small but the clever use of mirrors give the illusion of space. If you can afford to upgrade do, because then you get the use of the Club Lounge on the 7/8th floor. Free Breakfast/drinks/afternoon tea &amp; evening canapes are on offer. It is actually well worth the extra money for the exclusivity &amp; you are truly away from the peasants!	
May 12 2008 	Wonderful Wet Weekend in London!	I booked the Interconty Park Lane for my boyfriend and myself to spend the weekend for his bday. It was an added encouragement that at the time I worked for the company so got a hefty discount - which I know I was really lucky to get - but even so, I think I would have paid full price for how great it was!Location: right on Hyde Park corner. Overlooking both parks. On the road that leads to Piccadilly Circus, but due to the triple strength windows, you couldn’t even hear a car horn. Great for getting to the West End and for the shops or Kensington. With my BF being a Geordie, he had never been to London, so this hotel was great for showing him all sides of it.Hotel: Was very luxurious in the foyer area and the doormen, everyday, were so polite and was rushing to help you whether you were dripping in Armani or not. They offered us umbrellas in the Awful (!) weather that we experienced there too. I think we were upgraded on check in but if we was we wasn’t told, it is only my assumption. The room was spotless! Absolutely perfect. Massive TV and HUGE bed! Bathroom was amazingly clean with a bath and power shower. Some nice touches in the room that you don’t get everywhere, bathrobes, toiletries, tissues. There was also a really comfy lazy chair and desk Housekeeping was very polite. All the staff seemed smiley and friends - if any department was the least friendly, it was reception! This was a surprise!On my boyfriend’s actual birthday, we returned to our room to find a chocolate cake with a happy birthday message on there, especially from the hotel.Concierge looked after us really well. Any question- they had the answer - very professional. They even organised us on the guest list for a club, and next morning when they saw us, asked how it was! Was really lovely they remembered us!Price for alcohol and mini bar was sky high, but then it is 5*, it is London, but even in my estimation, £20.00 for two shots of Vodka and 1 can of coke is steep!Out of it all, the only thing I disliked was most the other guests staying there. For instance, we left on the day that there was a huge parade for St Patricks Day and one guy, who thought just cause he was wearing shorts and sunglasses (in the awful pouring rain might I add!), could shout to high heaven at all the staff he could see that it was going to take him an hour longer to get to the airport for his flight due to the parade, and that they should have made more effort to make him aware! If you can stomach people like that, who look at anybody in last season’s fashion with their noses turned up, then please go to the Interconty.My boyfriend and I had the most wonderful weekend, despite the rain, and it was made even more special by the way we were treated and looked after by the fabulous staff there. We would like to return and eat at Theo Randall’s one day!All in all 5* Staff in a 5* Hotel, what everyone wants for their money!	
May 1 2008	Superb 5*	I stayed here for just one night with my son (17) in a twin room - I'm not actually sure what standard room it was as I used Priority Card points to 'pay' for it - but it was excellent! Superb quality linen, towels, gowns and slippers. High quality toiletries, plenty of tea / coffee and a Bang &amp; Olufsen TV and a Bose wave system (can't be bad!). The bathroom (especially the huge shower head) was superb. I had booked a twin (obviously with my son in tow!) and we had a Queen but this was soon zipped apart and the beds re-made while we were out later that evening. The breakfast was absolutely superb - the best quality fresh fruits, yogurts and pastries and my son enjoyed the omelettes and hot buffet. the location is excellent with 2 tube stations close by (1 is a two minute walk via the underpass and the other a 10 minute walk). Hard Rock Cafe is literally on the door step, but we ate dinner at Automat on Dover Street in the evening (10 minutes walk away) and at Richoux for lunch (15 minutes away). Faultless - I would certainly stay here again! All my 'picky' needs were catered for!	
Apr 27 2008 	Great location Great service!	My wife and I stayed in room 476 for 5 days in April for a Pampered Chef rewards stay. I must say, the room and service was fantastic. A large king with a shower my wife described as a &quot;religious experience&quot;. The hot water was endless. Others in our group had less luck with the hot water but no problems for us. The TV was a large flat panel with no front inputs. The room was tastefully decorated and included extra outlets (including a 110v) surrounding the desk. Inernet access is wired and pay per use. There is a wireless connection but too weak to use from our room.We did not use the gym facilities but it looked more than adequate. We were served breakfast each morning. The food was standard hotel fare but above average. We had drinks in the lounge one afternoon and the prices were in-line with hotels of this quality.One of the best parts of the hotel is the staff and service. There was never a time where I saw staff without a friendly smile or a time where they would not go out of their way to help anyone at any time. It often seemed as if there were staff assigned just to us! The location is nice for a rather short walk and easy access to the Hyde Park underground. A good, solid hotel and a great choice for a relaxing stay.	
Apr 3 2008	very good hotel	The hotel's location is unrivalled. You can walk through parks to Knightsbridge, to Buckingham Palace, everything else is also in walking distance. If you opt for the tube or a bus, it's just around the corner. Can't be more convenient. The hotel is brand-new inside. Modern chic, fashionable. They cannot do anything about room sizes, of course. The building is from the 70s. So are the room sizes. But they are okay, just average. Breakfast is also good standard, but lacks what I expect from a 5* hotel-but, well, this is Britain, this is London. There is no sparkling wine, the what they probably call a European roll is downright inedible. But there is a choice of breads and there is an impressive choice of really fresh fruit. Compared with other hotels in London of a comparable standard, I definitely recommend the IC. The cost-effectiveness is - again! for London or the UK- really good.	
Apr 2 2008 	A super 5 star hotel that gives a great London experience	The Intercontinental London Park Lane Hotel is a super efficient, luxurious hotel with beautiful rooms and bathrooms and provides every comfort for a five star London experience. The executive rooms are beautiful and the added use of the executive lounge is very enjoyable in terms of a lovely lounge on the seventh floor that gives a great view of Marble Arch and Hyde Park. In fact the Intercontinental Park Lane is in a very advantageous position for visiting London - Hyde Park is on the doorstep for walking and it is right next to the main shopping areas of Oxford Street and Bond Street plus near enough to walk to Knightsbridge and museums and Piccadilly and theatres. Behind the hotel is an area rich in cafes and small winding streets and shops. The staff are super friendly and very kind. We thoroughly recommend this hotel for business or pleasure. Breakfast is very good too.	
Mar 30 2008 	Everything we expected from a five Star Hotel	A five star experience from arrival to checkout. The well sized room was finished in a contemporary style,with a flat screen hd TV. The beds and bedding were excellent. The room was very well maintained. The gym was clean and while relatively small equipped with free weights, univeral gym type equpment, stationary biles, exercise balls etc. We upgraded for $120 to have the use of the 7th floor Longe which came with a great view of Hyde Park. The lounge provides a full service breakfast and hot/cold snacks . The happy hour is complimentary.Tthey also have three computers set up for guest use in the lounge. On the downside drinks and long distance calls are expensive and we could hear traffic noise some of the time.We also stayed in the Marriott Park Lane and while it was very nice the Intercontinental was our first choice.	
Mar 25 2008	Fabulous Hotel and Windsor Tour	A single woman on vacation I stayed at the Intercontinental Park Lane in London. Perfect Stay. I had everything but a butler.The concerige set me up with a guided tour with Evans and Evans for Windsor , Stone Henge and Oxford. Loved loved loved it!	
Mar 24 2008 	Outstanding service	Excellent holel stay during a recent trip to London for my wife's birthday. I could not fault this hotel for the service, rooms, or food (we ate in the hotel resturant, Theo's - exceptional Italian style). I have stayed in London many times for business and pleasure. After our experience I doubt I will stay anywhere else.	
