	Avoid Avoid Avoid	Stayed at this travelodge for 1 night 27/11. Tried to chek in at 1pm to be told check in is 3pm and there is nowhere to store your baggage unless you pay £10 early check in charge which i paid as had no alternative. On our return to our room at midnight after seeing a show we were settling down to sleep to find a Mouse on the edge of the sofa bed. We were eventually moved rooms and did have some money refunded the next morning. The hotel is disgusting, please everyone avoid at all costs ! We were told by the manager the mice are an ongoing problem due to building work and pest control have attended and thought the problem was sorted. Obviously not !	
Jan 16 2007	Very very average	Granted this hotel was cheap as I had booked it well in advance, with a single night's accomodation just £49.This aside, there are certain things that are crucial to any hotel, be it budget or 5 star and this particular Travelodge did not tick many of the boxes.- Only one of the 3 lights in the room worked.- The TV was on permanent LOUD setting, with the volume down button broken (not a particular problem though to be fair, although it would have been nice to be able to watch TV while getting ready).- Taps did not turn off entirely, hence there was the sound of running water all night.- I woke regularly to the sound of trains running past (not sure where - underground?) and bin lorries reversing from the service areas of the Bank buildings opposite at silly AM.- There was a disturbing electrical spark emerging from the collection of wires underneath the TV. - Pillows were incredibly lumpy, which made for an uncomfortable night.Don't get me wrong, I know and understand that you get what you pay for. However, all of the above problems with the exception of the external noise are well within the remit of any hotel to notice and fix. Being there for only one night meant that the hotel did not have the opportunity to fix the problem while I was there, but even so, if that is indicative of the standard of general repair of a Travelodge, then I will not be returning. Even at £49, this was overpriced. I would have expected better from a hostel at £19 a night.	
Jan 1 2007 	Keep expectations (and hence these reviews) in line with the price paid....	First of all - remember, keep expectations (and hence these reviews) in line with the price paid.Nice new hotel in a very good location and at super saver rate paid a true bargain, but at normal rate not so sure given basic nature of rooms and no breakfast inc. Only problem was noise penetrating through the foundations from the circle underground line trains beneath hotel. On 3rd floor wasnt too bad but lower down could well be! The hotel was in a very quiet area (at weekends anyway) so maybe made the underground noise seem worse.Agree very much with previous review, keep expectations low and it is fine. It is not a 4* establishment but is spotlessly clean and has features such as powershowers but no aircon or toiletries (other than soap bar).	
Oct 31 2006 	Keep Your Expectations Modest and Be Satisfied	The Travelodge London Liverpool St is no-frills accommodation located in the City, walking distance from both the Liverpool St rail station and Aldgate tube station. Our one-night stay was booked at the £26 rate, prepaid; therefore, this review is calibrated to reflect such a rock-bottom price.Our smallish double room was clean, exceedingly so, which is our foremost requirement for a hotel room, no matter the price. Secondarily, I need quiet, and we had no problems whatsoever with noise. As other reviewers have noted, there was no AC in the room, which certainly would have greater significance in the heat of summer, and there seemed to be no way to contact reception via telephone. While the room itself was clean, a general state of disrepair was evident: the curtains drooped from missing clips, and one of the night stands was simply torn from the wall and not replaced. In the bathroom, which was shower only, there was but one towel (albeit a giant one), a tiny bar of soap and two plastic drinking glasses. Basic, indeed.We had no problems with our reservation, nor any subsequent contact with hotel staff beyond check-in, so we can’t comment on their receptiveness to service requests. Also, we did not stay long enough to visit the café on the premises.The location of the hotel was convenient for our needs; however, be aware the City is a ghost town outside of business hours. Our predawn walk to the Aldgate station was a bit on the creepy side. Single travelers or those looking for a variety of eating and drinking choices in close proximity to their hotel might need to take note.Overall, we were more than satisfied with our brief stay, given the low rate. For those unable to book the promotional rate, such a recommendation must be tempered. It’s unlikely the Travelodge Liverpool St will be the highlight of anyone’s visit to London, but if all you require is a decent night’s sleep and a hot shower, it may well fit the bill.	
Oct 14 2006 	Unbeatable value for money	£26 for a night in a clean double en suite room right in the heart of London's business area and just a couple of minutes walk from Liverpool St Station. I cant imagine too many places could match that.Make no mistake, this is a no frills hotel and doesn't pretend to be anything else. Travel Lodges tend to get very bad reviews for reasons which I have yet to work out - My sole complaint being that the coffee cups didnt look like they had been washed properly. I checked in late (about midnight) and had no problems and a good nights sleep.If you are looking for somewhere cheap and cheerful to stay when in London and dont require 5 star treatment - look no further.	
Oct 12 2006 	Disasterous Stay	Great if you like the sound of trtains running underneath you every 5 mins. Ok if you dont mind being stuck in your room whilst a psycho smashes up the corridor outside your room with a fire estinguisher at 3am - and there is no way you can contact security/reception using the phone provided. Avoid - especially for £90 without breakfast.	
Sep 20 2006 	Well worth the £26 paid		
Sep 6 2006 	Great value		
Aug 16 2006 	Dire. An overpriced Butlins-style hotel		
Jun 26 2006	Everything is great...except in the hottest days in the year!!!		
Mar 8 2006	Basic reasonably priced stopover		
Mar 1 2006	Sunday Bargain		
Oct 17 2005	Good value for London		
Apr 13 2005 	Does exactly what it says on the packet		
Nov 28 2004	Clean cheap location not so...		
Nov 10 2004	Good Value for London		
Sep 20 2009 	Centricomodernoeconomico		
Aug 5 2009 	Niente male		
Mar 5 2009 	Très bien situé		
Apr 23 2008 	einfach klasse		
