	A refuge from the awful weather	We stayed at this hotel for the same reasons a lot of other travellers do - it was conveniently located above the train station. The hotle was very moderately priced, and seemed even more of a bargain after what we paid for in New York.Our room had recently been refurbished and was lovely. The bed was spectacularly comfortable and we had the best sleep of the whole trip. Unlike others, I thought the room was definitely large enough. The view was nice. We had room service which was ok, and drinks in the lounge downstairs that were good quality, reasonably priced and accompanied by great service and snacks. It surprises me that there was no free wifi, but that it had to be paid for, whereas the 2* hotel in New York was able to provide it.The location was ok, and we were able to find some good restaurants and used the metro system with ease. I would definitely recommend.	
Oct 31 2007 	Not what I expected	I stayed at this hotel hoping for a typical Fairmont stay. That is usually very good. This time unfortunately, I was disappointed. The common areas of the hotel were beautiful but the room I was put in was very dated and in need of renovation. I was staying there because it was one of the convention hotels. The carpet was old and not particularly clean, the room small, and the noise next door came through loud and clear. On the other hand the restaurant the Montrealais was wonderful and I would highly recommend it to anyone seeking a great restaurant experience in Montreal. All three of us had rack of lamb and were not disappointed. For only a dollar more we had the salad bar,dessert bar and coffee.	
Oct 31 2007 	Get an UPDATED room!	While there are some definite pluses to this hotel, they can be outweighed by a depressing room that is in need of renovation. We paid, including taxes $297 per night and this got us a room on the 16th floor. I had requested a high floor with a view of the cathedral and we got that. But the 16th floor is one of the floors that has not been redone and we should have asked to be moved! The sink was all cracked, the carpet through this floor looked worn, and it was not the greatest way to start a vacation....even the 1606, our room number, was crooked on the door! We noticed that when the elevator would stop on different floors, that some looked quite nice (all the good reviews you read are probably from those floors!)The reason we stayed there was because we were going to take the train to Quebec and that was a wonderful feature. We simply took the elevator to that level. You an also access the subway under the hotel along with lots of food courts and shopping. We enjoyed all of that, and also the good location for shopping downtown and not too great of a walk (but not too close either) to the old section of Montreal.We ate dinner in the old section at Cafe Bonaparte and would recommend that highly. We chatted with a couple who were staying at the hotel Auberge Bonaparte, who were very happy with their choice. If we were to go back, that is the property that Iwould chose. If you go to the Queen Elizabeth, just be sure you get an updated room and I think you will enjoy your stay!	
Oct 30 2007	Lennon Suite a Blast	I stayed in the John Lennon Suite and took the entire package including: pyjamas, music, menus, limo and rose petals. This is an example of a room that costs a few dollars but where the experience matched the price.The room is exciting and the service I received from this stay was exceptional. It was a real moment to be able to spend a night in a room where Lennon recorded 'Give Peace a Chance'Overall, very pleased.	
Oct 16 2007 	This is a 4-start hotel?	Was shocked to see that so many rooms in this hotel have still not been rennovated after nearly 3 years (the last time I stayed here...and they were rennovating then). The lobby is quite deceiving as it is of 4 or even 5-star caliber. The rooms, however, are quite dated and desparately need to be addressed. They are working on this, but how long can a hotel take? On the positive side, the staff is very friendly.	
Sep 21 2007	Great Location!	The Queen Liz is a very comfortable stay if you get it at a resonable rate. I booked it through expedia and was given a nice discount. Its very close to it all (St. Catherines St. / Peel Street) and sits atop the Montreal train station where there is also a mall with shops and lots of breakfast / coffee options. The service at the hotel is top notch and very friendly! Valet parking was very quick and can be found in back of the hotel at a resonable rate of $26 canadian a day. I would stay here again!	
Sep 20 2007	great position but overall disappointing	The fairmont is definetely in a great position, right in the heart of downtown Montreal. It has underground access to shopping centers, the subway and train station. But overall, I don't think this hotel is really upto its costs. The rooms are large but not particularly clean (the carpet was patched with stains and furniture covered in dust) and the bathroom was pretty worn out, with broken marble tiles and an old shower. Service is high quality, but then again I really can't justify a 4 star hotel asking for an extra 3 dollar payment for check-out luggage storage, which should be included in a 4 star service.	
Sep 15 2007 	Great location very nice hotel	We booked within 2 weeks of our trip and couldn't get one of the 'romantic' hotels, but this was just fine. Very clean, helpful, but small rooms and bath. Centrally located. 10-15 minute walk to the old city, 5 minutes to shopping on Rue St Catherine and 15 minutes to the museums on Sherbrook. There was someone in the gym to explain the equipment and great help at the concierge. Just beware that breakfast can be very expensive. We took one look at the price, and went down to the the train station food court for a good hot breakfast for 2 for about $10. Also there's coffee shops on almost every corner and many cafes. Enjoy, this clean, friendly hotel in a clean, friendly city.	
Sep 5 2007 	Service exists at reasonable cost!	Fairmont hotels have always had impeccable service, but at a premium cost. The Queen Elizabeth in downtown Montreal breaks that tradition. My recent stay there was as expected - no detail was too small, but the price was well under the norm for the area.I had a standard room that was in the &quot;refurbished&quot; category. It was cozy, but the bright colors and furnishings were well suited to the room to make it seem larger than it was.The service could not have been better. In fact, I needed a quick beard trim to keep from looking like a goat. My trimer was dead, so I went down to ask the belman where I could get a couple batteries at 6am. He told me to wait a minute, while he picked up the phone. I was surprised, when about 2 minutes later another bellman shows up with the batteries - at no charge!Yes, I'm going back to Montreal, and yes, I will return to te Fairmont.	
Sep 4 2007 	Wonderful stay	We arrived at the Fairmont exhausted after a full day of work and travel. The agent at the desk was extremely helpful and accommodating to our request. After a couple minutes wait for her to accomodate our request, she felt she had delayed us and offered us complimentary breakfast!! What a welcome.The hotel was very classy and clean, staff was wonderful and friendly. We stayed during the holiday weekend so maybe not as hectic with conventions. The underground was nice even though it was closed for Labor day. Very convenient to metro.Our visit to Montreal was superb, the highlight was the wonderful place to come back to everynight for rest. I also took advantage of the well-equipped gym, and saw many people enjoying the pool.	
Aug 29 2007 	The Queen Elizabeth was great!!	A very good hotel, the rooms were excellent . The large windows in the rooms provide an excellent view and very good lightingWe had two rooms overlooking the city and in the afternoon it started to snow, the view was awesome!!!!The restaurant in the hotel is a bit expensive for the quality of food they provide!! Breakfast which was included with our room was very good although the selection was a bit dissappointing compared to the other Fairmont Hotels we had stayed in!Overall I would recommend this hotel but have dinner some other place!!Rooms very clean, service excellent and staff very friendly!!	
Aug 28 2007 	Wonderful Hotel stay on Gold floor	We were staying at the Omni which was horrible- so we previewed a king room on the Gold floor (19) and decided to move- our rate was $289 per night well worth it- Wonderful service- large daily breakfast and evening snacks- and our view and room were perfect- I think our room was almost double the size of their standard room- we had our own foyer- bar nice large marble bath- desk with two chairs- two club chairs with ottomans and a very comfortable king bed- I had worked in a luxury hotel for over 10 years- so I am picky regarding cleanliness and staff attentiveness and both were wonderful- The restaurants are also very good- the pool was nice and the jacuzzi and steam room were good as well- They have a nice gym- The weights seemed to be a liitle on the worn side- but the place was clean. I did not want to leave this Hotel- I had such a great stay!	
Aug 27 2007 	Better Times at the Queen Elizabeth	My wife and I had a wonderful stay at the Queen Elizabeth in Montreal. We stayed on the 21st floor (top floor) and had a descent size room with a king bed. The city view was very nice, and the service was excellent. Overall, we had a better stay and experience at the Queen Liz than the Square Phillipe; although the Square Phillipe was also a blast. Make sure to check out our pictures of the square phillipe. Love, The Mud Masked Couple	
Aug 18 2007 	The Fairmont is a Great Choice	From start to finish a wonderful experience. Although the exterior of the hotel could use some updating, the interior is well maintained. The front desk staff was helpful and very friendly. Elevators were quick and efficient. The room was a bit on the small side, but with two double beds, a huge armoire and a table with one chair, there was still enough room to move around the room. The bathroom was clean and the hotel supplied amenities were excellent. The location of the hotel could not be better. Situated directly over the Via Rail Station and part of the Underground City, makes this hotel an excellent choice!	
Aug 13 2007 	NIce Hotel Great Location	Very nice hotel in a great location. Asked for a room on the highest floor possible (personal preference) with a king bed, and both requests were met. Friendly, knowledgeble staff. Walk to shopping and restaurants.Hotel is above main train station with access by elevator and esclator to shops and restaurants. Good options for a quick bite to eat and transportation. Easy access to Montreal Metro; closest station is Bonaventure. You can access the Metro without going outside. Nice when its very cold or raining.	
Aug 10 2007 	As you would expect	It's a Fairmont, not the most spectacular building in the chain, but has all the luxury and comfort you would expect. Great cental location, links to the underground network. As a tourist in town for a few days, i think you could get much better value elsewhere if you are out sight seeing most of the day, but a good choice if you want a touch of luxury. Bars, restaurants and room service expensive.	
Jul 29 2007 	Amazing Hotel	My wife and i stayed at the Fairmont Queen elizabeth for 4 days, first i always think it's funny how two seperate people go to the same hotel and have completly different views on the hotel. first we had a regular room on the 17th floor with an Amazing View. The buffet breakfest which my wife and i had twice couldn't of been better, they cooked the eggs right infront of me exactly the way i asked for it, the food was amazing at the hotel.As far as it being too crowded, i never really noticed it. The people at the hotel couldn't of been nicer helping us out with direction, the only draw back was the price of parking $26$ a day. oh well, the place was great can't wait to go back	
Jul 23 2007 	Not a typical Fairmont hotel	My husband and I just came back from Montreal and the Fairmont there turned out to be a big disappoinment. Since we are part of Fairmont president's club, we decided to stay the Queen Elizabeth without doing much research. I knew that there are many conferences going on in that hotel at a given time but I didn't realize how bad it was. The lobby is always crowded with tour groups blocking entrances. The elevators are always packed with guests. There are 1000 rooms and they only have 2 concierge working so there is always a 20 minute wait. The rooms are not equipped with safe deposit boxes, umbrellas and mending kits. When we asked to borrow an umbrella from the hotel, they told us to go to mall and buy one since they are all out of it. What ever you do, DO NOT order any room service. The Japanese breakfast we ordered contained rice that's not even done and tofu that's too rubbery to eat. The regular breakfast has been sitting around and the scrambled egg and sausage were very dry. I recommend going downstairs for breakfast buffet. We passed by the Ritz Carleton and dined in Bronte( I recommend Toque and Bronte very highly) in Meridien and they are better if you are looking for 5 star service. The lobbies of those two hotels are not crowded. You won't get the service and attention in Fairmont the Queen Elizabeth because there are just too many people staying there.	
Jul 17 2007 	It was OK	We had stayed there 13 years ago for a convention and stayed here again with the same convention. The room was probably the smallest room I have ever stayed in. The staff is wonderful the rooms are very clean and maintained very well. I probably would not stay there if I had to pay for the room because they are so small.	
Jul 6 2007 	Great service and location	You can't beat the Queen Elizabeth for convenience, great staff and overall service. The rooms are fine -- very clean and comfortable. Yes, they are on the small side and they are older in decor but that's no big deal -- it is an older hotel. Food and beverage are pricy but you can just take the escalator down to the concourse and their are many shops and cafes where you can get a reasonable breakfast and/or lunch. It's conveniently and centrally located. The staff are superior and well trained. You can't go wrong here.	
Jul 2 2007 	Great Hotel in central location	Booked the hotel through expedia &quot;moderate room&quot;. Room was very nice, with comfortable bed, clean, excellent service. Hotel is right downtown and connected to Central Train station, underground shopping, etc. You cannot go wrong with the Queen E...and remember, John and Yoko had their &quot;bed-in&quot; at the Queen E..Instant Karma	
Jul 1 2007 	Great location in Montreal ok rooms	We got a special deal on the internet for this 4 star hotel. I was quite excited because it had rave reviews as quite the posh hotel. When we got there we saw that the lobby was very fancy with doormen wearing white gloves, etc. We checked in and went to our room. I think we got the room that went along with the special internet pricing because the room was not all that exciting. It had a couch, a Queen size bed and a TV. Nothing special, I have stayed in better rooms in less-well reviewed hotels. There was nothing wrong or bad about it I just expected more. I have a feeling if we had paid the full room price we would have gotten a nicer room. The average clientele that we saw walking around were definately people with money so I assume they had a nicer room than us.The staff was very nice to us and very helpful with any questions we had. The hotel itself is in a prime spot in Montreal. There is a train station/Metro station right below it. Right in the train station is several small resteraunts if you want to get coffee, breakfast, or a quick bite to eat. There is an entrance to the Underground City right across from it and a few blocks straight up from the hotel is a resteraunt and shopping area. There are also a few fancy resteraunts right in the hotel but we did not go to them. The only thing that stinks about this hotel is you have to pay $24 a day for parking and its only valet. The parking is a bit confusing. We ended up parking in the wrong garage.	
Jun 26 2007 	Very Nice Hotel	We had a very nice stay here. We upgraded to the gold level, which was well worth the $50 additional charge. The staff is very friendly and helpful and our room was luxurious and very comfortable. The hotel's cental location is excellent, convenient to the historical &quot;old town&quot; as well as other areas of interest. The fitness center is well-equipped and available at no additional charge.	
Jun 26 2007 	Not as good as my previous stay	I stayed for one night recently, my 2nd stay within a half-year. I love getting off the train and taking the escalator directly into the hotel.I was given a Fairmont 3rd floor room overlooking a construction area, with a scaffolding platform lift resting just outside my window. As well, empty pop bottles and water bottles, dirty work gloves and socks (!) sitting in thick piles of dirt and dust, littered the terraced area outside the window. I asked for a room in which I could open the window without getting dust blowing in the room, and was courteously moved. Still, I was amazed that this room was even being offered to guests at C$291/night. In my new room, I was unable to set the alarm clock (the alarm hour button didn't work, only the minute button, so I could only choose a time from 12:00 through 12:59 as my wake-up time) but the wake-up call was prompt. Breakfast was excellent and room service was fine. But my shoes were not delivered at 7am as indicated. I waited awhile then called down around 7:45. My shoes arrived at around 8am. All in all, my experience was adequate, but not as good as I'd hoped. I just LOVE the location, and the food is good, but I'm seriously considering going back to the Westin. Sigh!	
Jun 24 2007 	Well done!	An excellent location for visitors to the city and a hotel that I frequent on business trips. My rating of above average probably is not all that fair in comparison to other hotels of this size. Given the Queen Elizabeth's number of rooms the service is as personalised as possible. My kudos to one or two of the check in staff who have recognised me on return stays and made me feel extra welcome!The pool and the workout facilities are great for a city hotel. Some of the rooms are a bit on the small side, but most are well decorated. Great shopping is nearby and there are some fantastic walks which the concierge can help you with. I recommend either going towards Mount Royal through the McGill University campus or heading south to Old Montreal and the Old Port. A great city to explore, lots of good museums - and the QE is a good base of operations.The food in the lobby lounge is better than one might expect and the service is prompt and very courteous. Would love to try the well reviewed fine dining restaraunt the Beaver club, but have yet to have the opportunity (and would note that it is frequently closed on weekend evenings...probably thanks to all the great restaraunts in Montreal).	
Jun 15 2007 	Great Location and Service	My boyfriend and I stayed at the Queen Elizabeth on a group rate for the Mondial de la Biere festival. Having said that, I did not drink quite enough to forget what the hotel was like! Luckily, it was quite nice. There was a small error upon check in - I had reserved an extended King room (I think that's what it's called) and there were two reservations under my name in the computer when I got there - one for a normal King and one for an extended Queen on a higher floor. I ended up taking the normal King since there weren't any extended Kings available. The lady who checked me in was extremely attentive.We got up to the room, on the 17th floor, and had a rather nice view. The windows could open a bit, which was nice to check what the weather was like before going out in the morning. As others have mentioned, the TV was a standard, older TV which, while it would have been nice were it plasma or something along those lines, we didn't really spend enough time in the room to use it too much. The bathroom was a bit small, but the space was utilized quite well. My only complaint was that the shower wasn't quite as luxurious as what I'm used to in hotels of this calibre. I was disappointed when I saw that the bed had no fluffy duvet or featherbed or anything of that sort, but the bed itself was actually very, very, VERY comfortable, so no complaints there! The doormen were also great, very willing to give us directions to wherever we were going. The valet was also incredibly fast. We'd call downstairs right before we were to leave, be down there just a couple minutes later, and it would already be there. some of the best valet service I've seen in a hotel.Another advantage was that this hotel is connected underground to Place Ville Marie, which has a large food court that serve plenty of breakfast items. One of our favorites was the deli serving up smoked meat sandwiches. How can you go to Montreal and not have smoked meat? (Unless you don't eat meat... in which case, I suppose you can pass!)One note that Americans should make before traveling to Canada is that you can no longer reclaim the taxes on your hotel. I hadn't realized this and was expecting to get some money back when I left, so now the stay was a little more expensive than I had originally anticipated. Also, one note about Montreal itself, if you like beer at all, be SURE to visit the Dieu du Ciel brewpub. It's just about at the corner of St. Laurent and Laurier, about an $11 cab ride from the hotel. The beers are OUTSTANDING, the service is great, and the brewers are extremely friendly and willing to talk to you about their brews.	
Jun 11 2007 	wonderful weekend at the QE	My husband and I took his parents to Montreal for a long weekend. We choose the Queen Elizabeth because of a good rate through our travel agent. The standard rooms on the 6th floor were very nice. We liked being able to come and go with the car - to Olympic stadium and tower and to the top of Mount Royal. We also enjoyed exploring downtown on foot - especially the choices of restaurants. Don't miss the sculpture on McGill up the street on the right as you come out of the garage - &quot;The Illuminated Crowd&quot;.	
Jun 1 2007 	Great location but rooms are not first class	This hotel is in an great location above the train station and directly connects to underground system and metro. Rate through hotels.com was about half of listed price and well worth it. Although the hotel is quite nice overall, some of the floors (16th and 17th) seem overdue for renovation. The wallpaper was pealing and carpet was worn in our 16th floor room. The rooms are small by today's standards. Beds and linens were fine. Furnishings adequate. View was nice and floor was relatively quiet. Service very pleasant.	
May 22 2007	Not a family spot	Although this is a beautiful hotel and location for shopping is perfect, there is nothing here for a family to do on a rainy day.We've been to Montreal countless times and thought this would outdo all other locations. We were wrong. It is geared toward conferences. The pool is a simple pool, whirlpool was not working, hot tub was not hot.The rooms are clean (be sure to reserve one that has been renovated) and the staff are friendly. Food is pricey but again location underground is fine for eating.No simple nightlife when accompanied by a 12 year old. We often travel together and sit and enjoy a drink and music or entertainment or other (even people watch) or discussion with other people but this was not possible at the Fairmont. Nothing to do or see. Piano bar - starts later in the evening - not sure children were allowed in the lounge anyhow.	
May 21 2007 	Gold Floors Absolutely Wonderful !!!!!	My wife and I just returned from spending the Victoria Day weekend at The Fairmont Queen Elizabeth Hotel in Montreal. It was the best hotel experience of our lives. We stayed two nights in one of their Gold rooms on the 18th floor. The room was beautifully decorated, and it had a wonderful view of the cathedral and surrounding downtown. Arriving by train was great! We simply took an escalator and panoramic elevator to the Reception desk. Complementary breakfast, beverages throughout the day, and evening hors d'oeuvres in the Gold Lounge were all wonderful. The concierge staff was very friendly and thoughtful; and dinner at The Beaver Club was exquisite. Their maitre'd is now our standard by whom all others are measured. Shopping was great, both in nearby Old Montreal and in the City Underground (linked to the hotel).	
May 11 2007 	Avoiding the convention delegates	We spent a week here for our 10th wedding anniversary. Our celebration dinner at the Beaver Club was excellent - and it was nice to have a cake made for us, as well as the souvenir photo. Staff were great throughout the stay. The room was well designed and comfortable. The location is superb, as other guests have written - we definitely eschewed the hotel breakfast for the fantastic &quot;Deli Planet&quot; down in the food halls under the hotel. Our day trip to Quebec was very good, and coming 'home' on a train, walking a few steps and into a lift back to the hotel was a very relaxed end to the day.But, the hotel does take thousands of convention delegates, and I have to say: some of them were pretty obnoxious. We wanted to patronise the bar when the singer/guitarist was on - he was excellent, but drowned out by boorish delegates, who monopolise the lobby, bar, etc. The hotel management might want to think about putting very discreet,polite [i.e. very Canadian!] notices in the lifts, reminding guests to respect other guests' desire to sleep. We were woken several timesby delegates shouting along corridors, putting TVs on full blast at 5.45am, and generally behaving as though the entire building were theirs during 'their' conference.	
Apr 30 2007 	fairmont - fair deal	Booked the hotel through 'airmiles' in UK as offered best rate at time of reservation.Our stay co-incided with an extremely cold snap of weather with much slushy snow etc on the streets. Thus we were pleased to find the hotel warm. All the staff we dealt with were most friendly and helpful - especially the concierge who helped sort out excursions to Quebec city etc (day trip well worth doing!!)The room was standard size facing Mont Royal. I agree with other trip advisor comments that upper scale hotels such as The Fairmont should now have flat screen hd tvs in the rooms. The only other comment on the room was no extractor fan in the bathroom - thus it steemed up very easily.Travelling without laptop I used the business centre for internet access - charged at $4.00 plus tax per 15 minutes. Out of hours access is gained by collecting the key from reception.The location above the railway station and linked to the 'underground' city are excellent, making it easy to get around especially during bad weather. Certainly at lunchtimes the area is packed with office workers going for lunch - but quiet at other times. The extensive food court at the rail station offers an incredible selection of eateries for all tastes. Overall a good experience.	
Apr 23 2007 	Beautiful Hotel Outstanding Service	Spent two days weekend nights at the hotel with two adults and two young children.The room was very clean and furnishing were contemporary and showed no wear. Only complaint was that the room we stayed (Fairmont Room) was small, although we knew this going in due to the hotel website displaying the square footage of each room category online. Larger room options are available. High speed internet was direct connect only (a plug was already provided in the room). If I had been traveling alone on business (and more likely to have spent hours on the laptop), I would have preferred that wireless was available. TV was of the 27 inch picture tube variety. I know that some travelers are becoming accustomed to larger Plasma/LCD HD TV's at higher end hotels.Location was great, with easy access to the Underground City and the Metro. (Fortunately, we had warm weather and got to spend most of our time outside). As the hotel is about the main railroad station in Montreal, there were surprisingly strong and reasonably priced food options at Les Halles de la Gare, a collection of food vendors. Les Halles were only a two elevator side away from the room (One to go from the room to the lobby, and then to switch to a 2nd elevator located at the same elevator band to go to Les Halles). In all, you could from your room to the Les Halles in about 3 minutes.Service was consistently excellent: Concierge was helpful in attempting to locate a couple items that we had forgotten at home.Upon departure, bellhop was at our door within 2 minutes of ring down for assistance.Housekeeping was solid, although they did replace all of our towels even though we had hung a couple for re-use.Since we were traveling with young children and did not want to take cabs (no car seats!), we used the valet parking frequently. They consistently had our car for us in seconds, and were always polite in asking if we needed directions.Late night room service was solid, but unexceptional. Ordered late night table d'hote (sandwich, cup of soup, ice cream bar) which at C$19 was quite reasonable. A side of cake was an additional C$8.	
Mar 28 2007	Outstanding! Great Location!!	Wonderful experience! Friendly, helpful staff. Great safe location short walk to nearby shopping district. Room was spotlessly clean and up-to-date. Highly recommend it!!!	
Mar 23 2007	Long time ago but loved it	I visited this hotel with my family a few years ago. My father had planned the vacation, so I don't know rate details. However, as a family of 6, the hotel was very accomodating. The location was great, because we arrived by train. It was very easy to find, considering it's right above the train station. The room was very spacious and clean, just like the rest of Montreal. The staff were very friendly. My siblings and I very much enjoyed the pool. Also, the restaurant that was attached had very good food, and I enjoyed my authentic crepes. I would recommend this hotel to anyone.	
Mar 13 2007 	Try to avoid - Many better choices in Montreal	We checked in a room in poor conditions where we were disturbed untill late in the night drunk teens partying. I reported the noise situation, and informed the hotel manager of the poor condition of the room, nothing was done to rectify the situation or compensate us for the disturbance.  We were actually told the management apologized for the inconvenience, but it was not, in fact, their fault, as this was a busy weekend, and given the fact that the hotel had a lot of corridors with over 20 stories, it was accordingly difficult to monitor the property properly, and that I should call the front desk next time I was disturbed in the middle of the night. When we complained about our overall experience at the check-out, the front desk attendant offered us a free night stay to avoid any embarrassment from a crowded lobby of customers. As you'll guess this offer was not valid anymore once we left the promises.	
Mar 9 2007 	Great Stay at The Fairmont!	I stayed in Montreal for 5 days, 2 were at the Le Sheraton and 3 were at the Fairmont Queen Elizabeth. The Queen definitely was the better of the two downtown Montreal hotels.I arrived early (12pm) for a 3pm check in...they were very nice and accomodating and got me into a room early. We had a great view from our window of the cathedral. The other view from the hotel is Mont Royal, but we didnt have the option since we were checking in early.The room is very nicely designed...but lacking one thing...a flat screen...it amazes me how many upscale hotels are still offering subpar entertainment for their guests. I stayed at a hotel with an lcd tv and it really adds to the room. The entire room (bed,pillows,blanket,desk,et center,lamps,curtains,bathroom) were all top notch, but the tv was stuck in the early 90s. Ok enough about the tv...the bed is comfy...yet small...they said it was a queen size...but I have a queen size bed at home and this was either a full or queen size at the Queen Liz is defined differently in Montreal.The high speed internet is $15 for 24 hours...thats your average price for internet in a room so it was ok.The bathroom is small, but it is very nice with black tiling and very nice wood tones. The toiletries were very nice with shampoo,conditioner,body lotion,shower cap and a shoe shiner (which you will need if you venture into Montreal's slushy dirty streets).I ate at one of their fine restaurants, Le Montréalais, for lunch one day and had the mexican sandwich, which was extremely good. Reasonable prices too for a very stuffy crod of people eating around us.I got two words for you...creme brulee...I had room service 2 nights in a row because it was so damn good...they arrive promptly (20-25 minutes) and show up with alot of goodies...you get alot for your money, an you will spend money...for my fiance and I we spent roughly $75CAD-$80CAD for each dinner...that includes a tip and taxes. We had the creme brulee and while Im not a desert nut...I have to say it was so good haha. Also try the hen off the menu...pretty good with bbq sauce and great choice of sides.The lobby is very elegant and welcoming...the lobby has an area with a fireplace, comfy couches,seats for reading or people watching and between 2:30pm-6pm daily you can have &quot;Afternoon tea&quot;. That includes tea in a china set,finger sandwiches, desert etc. We didnt get the tea but it looked nice.Another convenience is that the hotel is connected to the train station...just leave the lobby and take the escalator downstairs and you are in Montreal's major hub...and it connects to dozen of stores,restaurants and passageways to other parts of Montreal's undergound city. We were able to go shopping at the Eaton Centre without bringing our jackets in early March when it was one day -25F. WARNING: DONT VENTURE INTO THE UNDERGOUND CITY BETWEEN 11:30AM-1:30PM WEEKDAYS BECAUSE IT IS VEEEEERY CROWDED AND BUSY!I would definitely stay here again...recommend it when visiting Montreal and you want to splurge. But thats expected when you stay at a Fairmont chain. The staff was very friendly and helpful when we needed something (towels,toothepaste etc). MERCI!	
Mar 2 2007 	Convenient for a business trip but nothing special	The Fairmont Queen Elizabeth is in a very convenient location for a business trip. It is in the business district, on a major road and the train and subway stations, as well as a huge shopping mall, are connected underground.The one advantage of chain hotels is that you have some idea of what you will get before you ever arrive. I have stayed at other Fairmont chain hotels and this one was no different. The hotel is quite large and plush in a rather old fashioned luxury hotel type of way. When you enter either door, the reception area is not immediately within view, but the doormen and porters quickly direct you to the reception desk. Being in Montreal, the staff first greet you in French, but they are all bilingual. My French must have an obvious English accent since many of the staff switched to speaking English once they heard me speak.I had a room with a king bed. The special rate I received was $165 for the week night and $185 for the weekend. The room was reasonably spacious with room for a TV and mini bar cabinet, desk, and chair, large armchair and ottoman and space left over to set up a luggage stand. The bathroom was rather tiny. I find most hotels do not give you much shelf or counter space in the bathroom and this was no exception. Nice smelling shampoo, conditioner, bath gel and lotion were provided. They had a hairdryer, but no bathrobe or slippers.The bed was very comfortable and the room was clean. You can request turn down service in the evening. My room was away from the elevators, in the middle of a long hallway facing the main street. It proved to be a quiet room.Being there on business meant I did not get much opportunity to explore the hotel. There is a spa, pool and gym which I did not use. I had a late meal in the bistro, Montreal, and a lunch in the Voyageur bar. Both meals were fairly good but not cheap. Soup was $7 and a sandwich $14 at the Voyageur. The very top end restaurant, the Beaver Club, is located on the ground floor.The hotel room is set up for Internet, but I used the business centre located in the lower lobby. It costs $4 for each 15 minutes on the Internet, but when I did not take the full 15 minutes, they waived any charge.The staff are good at anticipating your needs. Taxis are hailed before you even ask, and at check out, someone was immediately on hand to see if I wanted to store my luggage until later.The hotel is also mid-distance, about 5 blocks, to the edge of Vieux Montreal and about 5 blocks the other way to Sherbrooke Street, which has places of interest and a high end shopping areas.I would recommend this for business travelers, but for pleasure, I prefer Vieux Montreal boutique hotels.	
Jan 24 2007	Excellent Fairmont Property	Excellent property. Great location for those arriving by train as it is literally on top of the train station. Historic hotel (despite being fairly modern in design) and site of John Lennon's famous Bed-In. All-around beautiful property with top-notch staff. Hotel has undergone major renovations in recent years and all of the common areas, rooms have been very well updated. Cool and classy. Great restaurants on site but be sure to leave your hotel once and a while to eat as there are very few cities that can compete with Montreal's restaurant scene. Excellent business hotel, great for visiting the city. Rooms on the small side so perhaps best suited for couples, singles, and business travelers. I strongly recommend.	
Jan 14 2007 	Reliable	I won't bother with the hotel review as the comments are all accurate and I agree. What I love about this place is the food. I have traveled around the world many times and believe that this hotel has one of the best dining experiences at affordable prices that I have experienced. The Montrealais &quot;coffee shop&quot; would put many high end european restaurants to shame. I can have a great breakfast on par with any fine hotel in the US for significantly less. I won't even bother comparing th the crud that passes for breakfast in London or Paris. I like the Montrealais so much that I even try to have my business lunches there. It has the best salad &quot;bar&quot; I have ever sampled. (Salad bar is a very poor description of what is offered, as the quality and selection is great.) The staff quality, superivison and attentiveness are on par with a deluxe asian hotel.Bottom line is that this is great value for the buck.	
Jan 12 2007 	The staff is the best!	I would highly recommend this hotel. Beautiful decor, great location, clean rooms. Room are smaller than we are used to, but I think thats the European influence. The location can't be beat with the underground shopping right down the escalator, walking distance to Old Montreal and a 10minute cab ride to the Casino.The best part of this hotel was the staff! From check-in to check-out, the friendliest, cheerful, helpful staff ever. We were there for the New Year's weekend and the concierge was so great. The hotel was full, and many people asking for help from them, they were so patient and accomodating. We needed their assistance a few times and each time we walked away with a smile. They recommended and made reservations for a Thai restaurant, Chao Praya - it was great! I recommend this restaurant, as well.	
Jan 3 2007 	Very nice hotel / Great Location	We stayed here over New Years Eve Weekend. I booked it through tourisme-montreal.com and their Sweet Deals special (pay full price one night get 2nd night 50%). the Queen Elizabeth was one of only a few who honored the special rate over the holiday weekend.We had a standard room, King sized bed. my fiance thought the room was small but it was very nice and very clean (which is very important to us).they also provided good information about Montreal in the room. a tourism book and a great map of the city streets that was handy.Staff were very nice and professional and I would certainly stay at this hotel again.	
Dec 30 2006 	Can't Beat the Location or Service	This hotel shines since its takeover by Fairmont a few years ago. Fairmont stresses customer service, which is not always a strong point in hotels of this size, but here the staff can't wait to rush to your room with more towels, bottled water, whatever. The concierges, front desk staff, and bellmen are equally happy to give endless suggestions on where to go, where to eat, how to get there, and so on. I'm not crazy about the redone lobby design, since the retro charm of the 50's original has been obliterated. Expect bathrooms to be small (think 50's), but rooms are comfortable and well-equipped. Central location and views are unbeatable in Montreal. The lobby bar, adjacent to renowned Beaver Club restaurant, has had a reputation for mixing great drinks for many years. I agree with previous poster that $24 for parking in that cramped little garage, where people wait forever to have their cars brought up, is silly. You can park yourself for $15 at the Central Station garage just across the street (Belmont, in back of the hotel).	
