	Great location OK hotel	Location is ideal, right in the Old Town and close to great streets of restuarants, museums and so on. The hotel is old but well kept. Out suite was small and the view was of a brick wall, but we did get a bargain deal. I'd come here again, much more character than the more modern hotels near McGill.	
May 30 2007 	Can't Beat This Location	We stayed at this hotel for two nights prior to our cruise leaving Montreal. What a fantastic location! I hate to repeat all that has been said before, but it's hard not to go on about the number of restaurants and other sites to see within easy walking distance.In addition to Old Montreal, the waterfront is an easy walk. The riverside park is lovely with lots of activity including a science center and IMAX theater. Lots to do for the whole family.Metro is close by but we walked everywhere including downtown. It took about 20 minutes, but was an easy walk. The nearest metro stop was less then 10 minutes away.The staff was great. Very friendly and helpful. We didn't run into anyone who didn't speak english. All restaurants in the Old Montreal area had bi-lingual menus, downtown there were more all french ones, but just ask for a bi-lingual one and you'll get it with a smile. We actually walked from the hotel to our cruise ship (MS Maasdam), it was that close. But I wouldn't do this again as we had to negotiate some stairs at the cruise terminal and wheeled suitcases really don't help you there. Take a cab if you're cruising, it will take you up to the proper level of the terminal and probably cost under $8 CAD.	
May 29 2007	Absolutely the best!	We were there about the same time frame as the last two folks. This is a fantastic hotel. I can only say the same things, but I'll repeat...The staff is incredible...so friendly and helpful! Computer on second floor with free internet. (For those of us without laptops.) The room was great....large room, comfortable bed, mini-fridge, office area, decent-size bathroom, big towels!The breakfast was more than you would ever expect and delicious! The location - everything is right there! or close to it. And really, considering the price of other hotels in the area, this one is reasonable.	
May 24 2007 	A-One locationbetter than average hotel	We were there the same weekend as the previous poster, same type of room also.The location of this hotel can not be beaten...you are in the middle of Old Montreal which is the best place to be. Short walk to numerous restaurants (about a hundred?), pubs (brewpub around the corner) and cafes through cobblestone streets...lots of street buskers...short walk to the waterfront and watch ships (and cruise ships) come in. Lots of people watching also.Breakfast was included all three days of our stay...much more than a &quot;continental&quot; breakfast as listed. We both agreed that the food was terrific.Staff was very helpful...will speak English or French...the only small quibble I had was that we found the room &quot;stuffy&quot; even with the overhead fan on.Good restaurants that we tried...Les 3 Brasseurs, Chez Suzette, and the best for last &quot;Gibbys&quot; for a softball size filet mignon. Staff there did there utmost to make our dinner memorable.We cant wait to go back.	
May 21 2007 	Great hotel for a romantic getaway	What a great place to plan for a romantic getaway. There seemed to be plenty of kids at the hotel so it seems very suitable for families too.The staff are friendly and helpful at the front desk and in the garage (valet parking only). The breakfast was by far the best of the many I’ve had in recent memory. My companion had the waffles and I had a cheddar and spinach omelet. There was plenty of fresh juice, fruit and the more usual assortments of breakfast fare. The room was large with a marvelous and comfortable king-sized bed. There was a fridge, microwave, hair dryer and an iron and ironing board. Our room was in the back of the hotel with out any city noises intruding.The location in Old Montreal where there are many fine walks yet it is still close to downtown. I highly recommend it.	
May 15 2007 	Wonderful hotel	This hotel has it all - wonderful location in Vieux Montreal, underground parking which is good as you can walk to all interesting places, restaurants etc. The rooms are large and well laid out with a workplace, desk, chair and good lights, separated from the sleeping area. 2 TV sets, 1 in bedroom and 1 in living room area, both with remote controls, nice touch!Internet in the rooms available at no extra charge, RJ45 cable in deskdrawer so not wireless. Included full breakfast was excellent with waffle maker, one hot egg dish and many cold items; constantly refilled by attentive staff. Front desk helpful to newcomers; map and information gladly shared. All this and you earn Marriott points too!!	
Apr 16 2007 	Nice stay	We enjoyed our two nights at the SpringHill Suites. The hotel is very conviently located for seeing Old Montreal, but a little difficult to find on a dark, rainy evening. The reception staff were very nice and helpful with our checking in and out and with questions. The included breakfast was quite good with hot food, pastries, self-cook waffles, etc. Our room had 2 TVs (great for the kids), a generous sized bathroom, and two double beds. The living area had a sofa, recliner, desk, microwave and mini-fridge. Everything was clean and comfortable. The only negative was an odd smell in the hallways of burning paper--like we were next to an incinerator. But the smell was not evident in the room. The swimming pool is quite small, but there were no other guests using it while we were there.	
Feb 24 2007 	Great stay in Old Montreal	We stayed here Feb 16-19 with our 3 children. Our suite was roomy - 2 double beds and a pull out sofa with 2 TV's. The hotel was within walking distance of most of the area attractions as well as many restaurants. The breakfast was great - different egg dish each day, waffles, muffins, fruit and cereal. We filled up each morning! The front desk staff was helpful in suggesting area attractions that were suitable for our children. The hotel was alos a short walk to the metroOur one complaint was the size of the pool - VERY small! There were 6 kids in there one afternoon which was crowded. A bigger pool would have been great but since that's not the reason we traveled to Canada, it wasn't a big dealWe would go there again should we visit Old Montreal	
Jan 9 2007 	Not quite a Marriott but not that bad either	4 of my friends stayed over at the Springhill Suites in Old Montreal over the first weekend in January. While the weather wasn't great, it wasn't the blistering cold weather that Montreal is accustomed to in these months. We checked in at about 2:00 and was given a room on the first floor. The room was large, but felt cramped. There was a pull-out bed, two fairly large twin beds, two tvs, sink, microwave, and refrigerator; amenities that the normal business traveler and most college students would prefer. We asked for a roll-away bed and got it several minutes later which at the time seemed great, however maneuvering the actual bed to fit the confines of our room was quite a challenge; almost like a tetris game gone wrong.We stayed for 3 nights and while the stay wasn't bad, it wasn't up to the expectations of my usual Marriott stays. While there was a free buffet breakfast, the breakfast was way too early to catch and wasn't appetizing enough to want to get up for. Our room had a view; of the office building adjacent to us, with the peering eyes of Montreal executives able to look into our room. The hotel is literally tucked away in a European-style alleyway and while it had it's charm and class, I would've traded that away for a much more private, yet sprawling suite.The location is great; at the end of St. Laurent, 3-4 blocks away from the Place D'Armes metro stop, and right in the middle of Old Montreal by the water. There's no need to drive around in the city, as we walked to and from St. Laurent bars nightly and rode the Metro to places on St. Catherine by McGill.	
Dec 17 2006 	wonderful stay	we spent two night at the marriott spring hill suiteswonderful little hotel we were so impressed we booked their other property next at mt tremblant that was great two but anyway back to montreal great location good rooms hepful friendly staff i would have no problem recommending to a friendyour in the heart of old montreal close to the notre dame but it is down a small side street so it can take a bit of finding but well worth it	
Nov 5 2006 	I would stay here again!	My husband and I spent 2 nights at this hotel at the end of October. We're from Hong Kong so we're used to staying at super 5 star hotels and super duper service fit for a king.I thought that the Springhill Suites in Old Montreal were great for the price we paid, and very conveniently located right next to the Notre Dame. It's also located near lots of top ranked restaurants. The room was clean, the &quot;living room&quot; area was a little small but it had a small kitchen w/ microwave and refridgerator. The bathrooms were good sized.The service was average (we know we can not compare North American hotels with the service we're used to in Asia). The check-in staff were friendly and the hotel staff were nice. The only complaint I have is we had to carry our bags (1 huge suitcase and 3 smaller bags) to our room. They did give us a luggage cart but I can't figure out where the bellboys were (another guest mentioned they saw bellboys at the hotel?).I would definitely stay here again.	
Nov 1 2006 	Not What I'd Hoped	I stay at tons of Marriott's (I'm a gold elite member). Experience here wasn't good. Pool is tiny and scruffy, property is just so-so maintained. Lots of little things went wrong, lots of little price surprises at check-in...nothing to totally upset me, but just leave me with cumulative impression that the property isn't very well-run. The small suites are really just hotel rooms. The larger ones aren't exactly large, either. Front desk refused to upgrade me (as a gold member, I'm usually upgraded)...wanted to charge me $30/night for an upgrade. Seemed petty.Everyone's friendly, though. And the restaurant (if you can afford it) is unbelievably cool (it's hundreds of years old). Parking garage is well run, and you get your car quickly.I bailed out in mid-stay and went to Courtyard, which is much nicer, and better run and maintained. See my review there.	
Oct 30 2006 	Springhill Suites in Old Montreal Couldn't Be Better	This hotel/motel was wonderfully located just half a block from the main street (rue Saint-Paul) in Old Montreal. It was only two blocks from the Notre-Dame Basilica. Driving up to it through what looked like an alley, not a street, we were a little apprehensive about the seemingly small, simple dark brick entrance. But once inside, all doubts disappeared. The hosts at the reception area were friendly; bellboy would not even accept a tip. I had asked for a quiet room and received one on the sixth floor. At the same price as many other motel rooms, it was so nice to have a suite that had cozy two-seater couch, desk and chair, mini-bar and sink. The bed, pillows, coverlet were, oh so, comfortable. We did not use the restaurant connected with the hotel, but walked to each of the great restaurants recommended by their staff. We were so pleased not to have to drive anywhere. Since we were only there for a day and a half, did our sightseeing by foot in Old Montreal and by Greyline (shuttle to starting point picks up hotel guests on site) throughout the city. I am going to tell all my friends to stay at Springhill Suites because of this good experience.	
Oct 25 2006 	Perfect Place to Stay	We had one precious day to see Montreal, tacked on to our cruise. We could not have made a better choice. Perfectly located in Old Montreal and close to the ship, so we didn't waste traveling time. Great restaurants, shops, museums, attractions within easy walking distance - and not far from the Metro. Our room was clean and quiet. Would accomodate family or couple easily. Free Internet room available to guests! Breakfast was lacking, but local options were more interesting anyway. Staff spoke English and was extremely helpful. Not too expensive, especially when booking ahead.	
Oct 24 2006 	Hurry to this Hotel!	I heartily agree with all the other reviewers that this is an excellent hotel in all respects! The location is fantastic--a mere four block walk to the metro and downtown, a few blocks from Place Jacques Cartier and there are numerous restaurants(including Indian, Mexican and Quebecois) nearby as wellas money exchange and other necessities. The hotel isextremely quiet as it is hidden on a very untrammeled street;the staff is extremely helpful and, like most Montrealers, not offended by hopelessly inadequate French! One particular woman even offered to look up movie times on the office internet connection. The price is very reasonable for the quality and location relative to other hotels I checked on, although I did get the government employee rate on the Marriott website. The breakfast is better than many provided by other hotelsand the coffee strong, just as I like it, as well as accompaniedby free newspapers, both French and English. I highly recommend this hotel! The only downside at all was that theKing suite was a bit small in the bed area, but the large bathroom area more than made up for it and is but a minor quibble...	
Oct 10 2006 	Perfect!!	This is a fantastic choice of hotel in Montreal!! The location cannot be beaten, right in old Montreal, in between Notre Dame and Place Jacques Cartier. The staff are friendly and attentive when approached. The room could not be faulted. HUGE, clean, with separate lounge, bathroom and bedroom with a comfortable bed and good shower pressure. The small kitchenette with microwave was an added bonus. The breakfast, which was included in the price, was adequate, although I would avoid the hot items. A word of caution of you're a smoker as all Marriots have now gone smoke free. You need a balcony room if you wish to smoke. Still, a great overall choice, and staying in old Montreal is so much more appealing than downtown (which is only about a 10 min walk away). As I was attending a conference at Place de Armes, it was only a five minute walk, if less, to get there. There is also a large supermarket near by, very handy for drinks, snacks etc. Could not recommend highly enough!! Go now!!!	
Sep 11 2006 	This hotel is a real winner	It's very difficult to find fault with the SpringHill Suites Hotel. To begin with, the location is excellent - right in the heart of Vieux Montreal, close to the old port area, Notre Dame Basilica, myriad cafes and restaurants, quaint shops, and a short ten minute walk to the Place d-Armes metro station.We found the hotel itself to be very comfortable, relaxing, and clean. The staff was both friendly and helpful, always greeting us with a pleasant &quot;bonjour.&quot; Compared to other hotel venues, the rooms are quite large with a great deal of space, coupled with an oversized bathroom where you can actually move around and not feel cramped. Having a mini kitchen facility in the room that includes a compact refrigerator is a huge bonus as it allows you to keep cold beverages handy should you get thirsty in the middle of the night or while just relaxing in the room. An ice machine is located in the hallway along with a soft drink vending machine.Our room was clean, comfortable, and most important, very quiet. All electronic components (i.e., TV, air conditioning, etc.) functioned properly and the shower had very good pressure. Housekeeping was always completed in a timely manner and a newspaper is delivered to your door in the morning.The expanded continental breakfast included in the rate is excellent (although the orange juice is very watered down). The buffett consisted of the usual variety of cereals, juices, fruits, scrambled eggs, as well as a waffle iron to grill your own waffles. I was impressed that in addition to the usual fare of regular and decaf coffees, the buffett also served several specialty blends such as French Roast, etc. Moreover, styrofoam containers along with plastic eating utensils are provided to take items &quot;to go&quot; if you're in a hurry or choose to eat a light breakfast in your room. In summary, we were very impressed with the SpringHill Suites Hotel. Add the money you save (if you can garner a great rate as we did) compared to the rates of the surrounding &quot;boutique&quot; hotels in the area and you have a real winner. Unless you're interested or determined to stay in a hotel with a fantastic view, or one that radiates old world charm and character (and of course pay the higher rates that go along with these amenities), I highly recommend staying at the SpringHill Suites.	
Sep 7 2006 	Great stay at SpringHill Suites!	After reading so many wonderful reviews on Trip Advisor, I couldn’t wait to stay at SpringHill Suites. I am happy to say that I was not disappointed! The property is located in Old Montreal, on a side street that is right in the middle of everything: Notre Dame Basilica is a couple of blocks down the road, the Metro is a short walk (Place d’Armes stop is about 10 minutes away), the Old Port is nearby, as well as tons of restaurants and cute sidewalk cafes, and some souvenir shopping. There is valet parking at the hotel ($18 CAD/night) and I found it to be very convenient to use, and the price is well worth it. I can’t rave enough about the location. Some people had told me that I might be better off staying downtown, and while I certainly enjoyed sightseeing in that area of the city, Old Montreal was much better suited to my tastes. There are cobblestone streets and horse drawn carriages, lots of little streets and squares to explore, complete with street performers, beautiful old buildings, and it is easy to get around. I was on a little romantic vacation with my husband, and this area was terrific. The hotel itself is very nice. Having stayed at other SpringHill locations, I found this one to be a bit more upscale. There is a small exercise room, a small indoor pool, and a small hot tub. There is a spa and restaurant adjacent, although I didn’t use either. We did check out the menu for the restaurant/room service, and thought it was a little pricy (we were trying to keep our costs to middle of the road type restaurants). The complimentary breakfast buffet featured scrambled and hard-boiled eggs, sausages, tater tots, make-your-own waffles, yogurt, and assorted fruits and muffins/pastries. The food was not terrific, but certainly adequate. We had a studio king suite, and it included a small kitchen area with a mini-fridge, microwave, and a coffee maker. There was a desk with a phone and lamp, and a couch and armchair with a TV on a dresser. A half wall separated the living area from the sleeping area which had a king bed and a small closet. The bathroom was large, and the sink/mirror was outside of the bathroom, which I always like. The room had a hairdryer. There are no safes in the room, but safety deposit boxes are available at the front desk. Our room was kept very clean. As other reviewers have mentioned, the hotel is on a side street, so don’t expect a view. We didn’t spend enough time in the room for this to matter to us at all.The service at the hotel was good. We were checked in by a friendly lady, and each time we entered the lobby we were greeted with a “Bonjour!” by whoever was working at the time. They also provided us with a very nice map, and excellent pre-typed directions to some area attractions. The housekeeping staff always said hello, and the breakfast staff kept the tables clear and the food stocked. The valets were very helpful, and always got our car right to us. The only negative thing I have to say about my entire experience at the hotel was that one front desk clerk treated me rudely. I saw her be rude to others as well, so maybe she was just having a bad day. Honestly, the kindness and helpfulness of the rest of the staff made me all but forget about it.Overall, my stay here far exceeded my expectations and I would certainly recommend this hotel to anyone looking for a great stay in Old Montreal. Montreal as a city was spectacular, and I can’t wait to go back.	
Sep 6 2006 	Great!	Great hotel. Location is unbeatable. Rooms are very comfortable. We stayed in a standard king room with sofa-bed for our 4 year old and a crib for our 1.5 year old and it was great (even though the website said it could only fit 3 people).Breakfast was one of the best we have had in North America.And did I mention the location?The restaurant in the hotel is absolutely amazing too - again, one of the best dinner meals we have had in North America.The pool is small but who cares - the kids had a ball!	
Sep 5 2006 	Great hotel and location!	A friend and I stayed here the last weekend in August. It was very nice. Room had a nice sitting area and kitchette. Really liked that laundry was just down the hall (we were on a long roadtrip). Breakfast better than most continental breakfasts included in package.The best was the location -- just a half block from lots of restaurants and shops in Vieux Montreal.I would recommend this hotel to anyone!	
Sep 4 2006 	Fantastic location	My husband, son and I stayed here for three nights in late August. This hotel is right in the Old City, and is also within a short walking distance to the Metro. It is quiet, clean and has a terrific breakfast buffet - hot and cold. We will definitely stay here again the next time we come to Montreal.	
Aug 16 2006 	Location location location!!!	Have traveled with my husband and young chlidren. The location is wonderful - right in the heart of Old Montreal, and a walking sitance from all of Old Montreal attractions.The room (king + sofa bed) was very nice. However - keep in mind that the sofa bed is small, and cannot fit two older children (our 8 and 5 year old could bearly fit in...). The AC was noisy, but the roon was very comfortable and the king bed was extremely cozy.If you're looking for an olympic size pool - this is not the place for you. The pool is tiny, and the spa can bearly fit two adults. Breakfast was wonderful!!! It was a bit coursy the second morning, but they opened an extra conference room, and it was fine.Service is great, the rooms are very clean, and parking is\very convenient (27 Canadian Dollars per day, including tax).We had a great time, will stay there in the future for sure, and highly recommend the SpringHill Montreal. Enjoy you stay!	
Aug 15 2006 	Hidden Gem	Great hotel in an excellent, quiet location to explore the fun and beauty of Old Montreal. Overall the hotel is a gem for the price. The service is excellent! Ask for one of the rooms with a balcony (if you want to sit outside for a morning coffee or evening drink), even if it does not have much of a view. The morning breakfast menu could be a improved by changing things more daily, but you can have some tasty food before heading out to explore this wonderful city. I definitely recommend this place!	
Aug 8 2006	Terrific Advice we received from Trip Advisor	Just returned from a three week trip that included five nights in Montreal at the Spring Hills Marriot. It was every bit as good as many on this site said. Not terribly expensive, fabulous location, extremely helpful front desk, very clean with very large suite rooms with an equally confortable bed that used duvets and not blankets. Thank goodness many hotels are going in that direction. We definitely would return and recommend it to everyone!	
Aug 7 2006	Great place	Spent 2 nites in Montreal in early August. Hotel is in a great spot for people exploring Old Montreal. Walking distance to everything. Staff is friendly, knowledgable and polite. Gave great recommendations for dinner! Only &quot;negatives&quot;.. hotel is on a side street so don't go expecting a view. Also they use older air conditioning units. Normally would not be a big deal but just happened that the time we were in Montreal was in the middle of a heat wave. Air cons were noisy, but they worked, so I can't complain too much.	
Aug 1 2006 	Can';t beat the location! Would return next time...	We stayed 5 nights and were very pleased with the hotel. You cannot beat the location - right in Old Montreal and just a block from the port area. Our room was an attractive, clean, large kingsize suite, but alas, no door on the bedroom area which I would have preferred given our teenagers in the living room area (one on the pullout loveseat, the other on a cot $15 night). The breakfast is so-so, but...free! So we were there most mornings for the waffle and coffee (not for the powered eggs and mystery meat sausage). I would skip the pool which was very tiny and in a small interior room. But I can't imagine anyone seeking out the pool in this location with the action just steps from the front door. We paid $195 CA per night for the suite and consider it well worth it given the great location. We'll stay there again.	
Jul 27 2006 	We loved it!	We stayed here for two nights in late July, and were pleased with just about everything, from the helpful and cheerful desk staff upon our arrival to the size, cleanliness, and amenities of the room. We stayed in a deluxe studio suite with a king bed and a balcony. The suite gave the illusion of two rooms, as it had a dividing wall between the bed-closet-TV area and the sofa-kitchenette-TV area. The bathroom was quite large, and sparkling clean. The kitchenette had a sink, microwave, fridge, and desk, and the living area with the sofa opened to the patio with two chairs and a table and was for joint use with the next room. The first day there we left for most of the day, to be disappointed when we returned at 4:00 to see that I had accidentally left the &quot;Do Not Disturb&quot; sign on the door, so our room had not been cleaned. Minutes after removing the sign, the cleaning staff appeared to clean the room!! The location was perfect for exploring the old town. Breakfast was the typical &quot;hot breakfast&quot; that many hotels offer -- &quot;make your own&quot; waffles, croissants, muffins, sweet rolls, funny-looking sausage, quiche-y sort of egg dishes, tater tots, yogurt, cereal..........They have one computer on the same floor as the breakfast-- in a private &quot;business&quot; room. All in all, this was a lovely experience.	
Jul 18 2006	Excellent Hotel - Highly	My girlfriend and I just got back from a stay at Springhill Suites and we loved the hotel. I can't say I have one complaint about the hotel at all. The staff was extremely helpful and courteous. If you want to stay in Old Montreal, the location was perfect. We really loved our room. It was very cozy and extremely clean. We had a small kitchenette with a sink, coffee maker, microwave, and mini fridge. There was another small room with a couch and a tv. The bedroom had another tv and beautiful queen size bed. The biggest surprise is that our room had a large balcony. You could go outside and it was a large stone balcony with a table and a set of chairs. Not the best views but I wasn't complaining, it was still very sweet.Having breakfast included definitely helped the budget a bit and I have to say it was more than adequate. The breakfast included eggs\sausages\potatoes\waffeles\bagels\cereals\muffins\yogurt and fresh juices\coffee. I'm no gourmand but everything tasted good to me.All in all we had a great time and I couldn't have been happier with choosing SpringHill Suites. If you're looking to stay in Montreal this is the place to stay.	
Jul 10 2006	Perfect location for Old Montreal	This hotel is a great choice in the very heart of Old Montreal. We are a threesome: two parents and a teenage daughter. All of the old city and its charm is within 6 minutes walking. We had a blast.Pros: Location, location, location. Excellent quality of the room's furnishings and appointments. Free high speed internet. Free buffet breakfast served until 10:30 am. Friendly staff. Free parking. Responsive room service and housekeeping. Business office. Gymnasium room. Washing machine and dryer available.Cons: Only a few minor ones. The room was small for three (although fine for two). Many rooms with no views to speak of (I'd rather have location). The swimming pool and jacuzzi were very small. Staff was courteous but poorly informed about local (or area) restaurants and events. If you come late to the buffet breakfast, don't eat the scrambled eggs--they'll be like rubber from having become overcooked.	
Jun 28 2006	Great location	Had a two night stay at this lovely hotel. Perfect location for seeing Old Montreal. The rooms were big and the breakfast was great. Staff were very helpful!!	
Jun 22 2006	big room nice hotel good location for exploring old montreal	just got back from a 2 night visit and had a really nice stay here. i got a king deluxe and the room was huge. very nicely decorated and very clean. there was a large bedroom area with tv, a separate sitting room with sofas and another tv (was very impressed with the large selection of on-demand movies), and room with a desk, fridge, microwave and coffee maker. the bathroom was very nice and had plenty of toiletries (which were replenished everyday). this is one of the only hotels i can remember that offered mouthwash. a little thing but a nice thing. the location is great for exploring old montreal. a bit far from downtown but not too bad. the metro place d'armes is about 5 minutes away so that was good to get into the downtown area. the walk would be bout 20 min. or so. lots of restaurants nearby. a pasta place called pizzedelic on notre dame was surprisingly good and reasonable. it was nice that the hotel offered a buffet breakfast in the morning. nice variety of breads, muffins and cereal with fruits and yogurt. they also offered hot eggs, a meat side (sausage/ham), and potato taters. i wasn't too impressed with the quality of the hot offerings but there is certainly plenty of other things to eat. amazing house cleaning service too. i had left my room for breakfast for about 20 min and when i came back my room had been completely cleaned. very nice. i didn't deal with the staff too much but they were quite friendly when i did. though it was a bit pricier than i wanted to pay perhaps because when i booked the cheapest room they had was a king deluxe. a smaller room would have been fine. i would stay at this hotel again as i know i would have a relaxing and pleasant stay.	
Jun 4 2006	A Great Little Gem	We stayed here over the US Memorial Day weekend. My husband loved the location, the staff and the room. Everything is in walking distance and there are wonderful restaurants in the neighborhood. It was Paris &quot;light&quot;	
May 31 2006	What a wee gem	We recently returned from a three night stay at this hotel and were more than happy in fact so much so we just couldn't find fault with anything, I would definately recommend this hotel as suitable for any age group and would have no hesitation staying here again 10 out of 10 to all the staff	
May 23 2006	Loved It	We stayed here for 3 nites and would highly recommend it. The location was great, the room spacious and very clean. The staff were very courteous and always helpful. This is the place to stay in Old Montreal! We'll be back at the Springhill Suites next trip to Montreal...what a gem!	
Apr 21 2006	Good for exploring Old Montreal	The location of Spring Hill Suites in Montreal is certainly its best asset if you want to explore Old Montreal. My husband and I stayed on an upper floor in a suite with a balcony which was comfortable and clean. The &quot;living room&quot; space was very small, as were the windows, but it provided us with a couple of comfortable locations for relaxing at the end of a long day of walking. The pool was also very small and the whirlpool the size of bathtub. After the first morning we opted out of the breakfast which was very &quot;packaged&quot; and quite unappealing. We did find a great Chinese restuarant at the west end of Chinatown, the Kam Fung. The food was very abundant and delicious...we'd highly recommend.	
Mar 23 2006	In the middle of the party	I really enjoyed staying at this hotel. Its right in the middle of Old Montreal and there is always something going on there. We've stayed there more than once and when I do return to Montreal I am looking forward to staying there again!	
Mar 20 2006	Great Hotel	Tucked away on a narrow side-street in charming Old Montreal the Springhill Suites in Montreal doesn't look like much from the outside. However the lobby is lovely, the rooms huge (we had a suite) and the breakfast was above average. Our Suite (one partially seperated room) consisted of 2 queen sized beds, a pullout sofabed suitable for 2 children or 1 adult and a small office area with fridge, microwave and sink. Internet access is free. The breakfast included eggs, meats, pasteries, yogurt, fruit, waffles, cereal etc...There were only 2 downsides to the hotel. One is that the pool and hot tub are very small and on the day we were there the pool water was frigid and the hot tub was lukewarm at best (however another guest said it was very different the day before). The other is that the hotel is only 6 stories high and suites are only on the first 2 or 3 levels, so if a striking view of Montreal is a must - this isn't the hotel for you. It is a charming hotel with a great location and price. We would definitely stay there again!	
Mar 19 2006	Nice and Reliable	This is a very nice hotel. As mentioned in the prior reviews, located on an alley type street. Several restaurants nearby, small market, etc. Turn Down Service was nice. Small but useful indoor pool and hot-tub, with an adjacent work-out room. $18CAN for valet parking.Very nice hotel with English and French speaking employees. Typical Marriott (Residence Inn / Springhill Suites) buffet breakfast served in a nice room with fireplace.Nothing to complain about, and our family likes the Sprinhill Suites brand because of their large rooms and ability to sleep five.I will note that Marriott recently raised its quality category on this hotel from a Category 4 to a Category 5. I can't specifically state why I believe it is unwarranted, but it would be almost impossible for me to think of a Springhill Suites brand, which is known for its value, as a Near Luxury Category 5. To me it might cheapen the other Category 5 hotels, as I used to think of this as a luxury category. Like I said, we had Turn Down service and I did not want for anything, but would think a Category 5 might be a reach for any Springhill Suite.	
Jan 13 2006	Location Location Location	We have stayed at this hotel at least 10 times in the past 5 years. We are always impressed with the staff; polite, helpful, knowledgeable, and eager to please. We always request early check-in and usually arrive around 11 AM. We have only had to wait once and that time we left our bags at the desk and went to the tourist info office, purchased our 3 day metro/bus pass (they will give you a free map that shows the bus routes, metro stations and streets...you will need no other map), picked up coupon books and other helpful info. When we returned, our room was ready. There is a great little retaurant called The Keg at the end of the street where it meets Rue St Paul just below the hotel. It's a great place to sit in the corner window in overstuffed chairs and people-watch. The Martinis and appetizers are first-rate and all we ever get. It opens at 2 PM and if you're there when it opens you are assured of the best seat in Old Montreal. Back to the hotel...it is right in the heart of Old Montreal and only a 5 minute walk from the Metro. You can catch the bus about a block away. Valet parking costs $18.00 a day and is a real bargain as all parking is expensive in the Old Town. Rooms are not terribly big but certainly adequate. Ask for 2 double beds as these rooms are a bit bigger. The buffet breakfast (included) will get you through till dinner. Our rooms have always been spotlessly clean. We qualify for the government discount so it's a real bargain for us. Don't expect a view. It's on a side street and there are no good views. Our favorite restaurant in Old Montreal is the Vieux de Port, about two blocks from the hotel. They have all inclusive lunch deals Monday through Friday that can't be beat. For our money, this is the best hotel in Montreal.	
Dec 29 2005 	Very nice!	If you are looking for a nice quiet hotel, this is it. It is tucked down one of the side streets in Old Montreal, and is very quaint. The rooms are generous in size, with a seperate sitting and work areas. The food in the hotel restaurant was excellent. Would stay again at this hotel next time.	
Nov 26 2005	lovely	Fantastic - rooms are spacious &amp; packed with everything mini kitchen (microwave fridge &amp; sink) included I was travelling with 6 month old baby so this was a great benefit Breakfast included typical american buffet loads to choose from &amp; we even took some back to our room for later!!! All major tours/day trips will pick you up from the door Its right around the corner from notre dame etc but quite far from the main city itself at least 20 mins walk from railway station Also not many places to eat at night except for restaurant (not v good with baby) but I definitely recommend this hotel	
Nov 8 2005	sooo nice!!!	This hotel is fantastic. It is in a really nice location on a quiet street (in fact, I don't think I have ever stayed at a quieter hotel). The staff was friendly and the rooms were quaint and clean.The breakfast was pretty good (although I suspect that they cook their eggs in a microwave...yuck), it included a waffle iron and lots of different pastries.Loved it!!	
Nov 1 2005	Great suites and great price!	Stayed at the Springhill Suites in Old Montreal last weekend and I must say how pleased we were. Large suites with 2 double beds, fold out couch, fridge, microwave and sitting area. The hotel is quite posh for the price and the location is ideal. Breakfast buffet is included and includes fruit, cereals, varities of breads and buns, oatmeal, scrambled and boiled eggs, sausage, and make your own waffles. Service throughout our stay was lovely. Would go back in a minute!	
Sep 30 2005	Pleasantly surprised!	My friend and I stayed here a few weeks ago because of the excellent ratings it received here on TripAdvisor. Still, we were a little wary of a Springhill Suites since we're used to the larger, standard Marriott's.This location is perfect - literally a block from Old Montreal and in walking distance to all of the cool parts of town. If you like to gamble, the Casino Montreal shuttle bus - which is free - stops about two blocks from the hotel.But back to the room...it was large, airy and clean with a killer air conditioning unit (perfect, as it was unseasonably HOT!). Our little kitchen area was never used, but we were happy to have a fridge.The rooms are equipped with free high-speed Internet, but if you didn't schlep the laptop, you can use the computer in the business center - for free! There is only one, however, so sometimes there is a wait.We also took advantage of the exercise room, which was small (one bike, one treadmill, some free weights and an all-in-one weight machine), but also free. And the one day we had breakfast - included in our price - it was fantastic. You could make your own waffles or choose from the standard assortment of cereals, bagels and hard-boiled eggs.It's also worth checking out the hotel bar, which is a cozy combination of ski lodge and retro-chic furniture.We received excellent service from the patient front desk clerks, who were always happy to give us directions and deal with our stupid American tourist questions. The only tiny drawback was parking -- not exactly cheap at $18 a day. But otherwise, we'd stay here again in a heartbeat. Great value, great location.	
Sep 11 2005	Good choice (help from Trip Advisor)	We stayed here in August 2005 after selecting the hotel because of the excellent reviews and it certainly didn't disappoint. Excellent breakfasts, large room and free internet connection. Also, very centrally situated in the old port so handy for lots of bars and restaurants.	
Sep 2 2005	Loved this hotel!!	Just returned from Springhill Suites and LOVED this hotel. We were originally booked at the Clarion Suites in downtown Montreal, but were very disappointed when we arrived - stayed one night and switched to the Springhill. What a difference! Springhill staff are very courteous and helpful, from the reception staff to the people who park your car. The room was more than ample for my husband and I and our two daughters. There were two double beds and a single pull out couch in the livingroom area. The room was very clean and furniture was very nice. The area was extremely close to everything. Metro was a couple short blocks, Old Port a few blocks and all the shops and restaurants a very short walking distance. Hot breakfast every morning included with a great variety of foods. Next time we come to Montreal we will be staying at the Springhill Suites. This is a great hotel with a lot of amentities. You will enjoy it also.	
