	Much more than I expected	Traveled by train from QC with my daughter, 7 and 5. Walked across the street from the station. Check-in easy. Room 2139. Average. But it's not the room here.Great location. The pool is great. When you go to swim, there is an inside entry and you swim under a deck to enter the Great White North. [It was cold.] Pony-tailed lifeguard has zero personality, but he is efficient. Girls loved the swim. I froze. Concierge staff is remarkable. 45 minutes before face-off, Roberto got me tickets ($220) 7 rows off the ice from a scalper. I paid him and picked up the tickets in a nearby gas station.Thanksgiving? American? Concierge booked us at Globe. Incredible.The restaurant. Had breakfast one day. Expensive. But friendly. Good. Waiter made a recommendation for the girls for that day.Problems?Returned one day -- door ajar. Maid had not shut it. Nothing taken. Reasonably secure.Bar is good too for a drink. Arrived. Wife out of sorts and sent her for a cocktail. She was much better.A great location. Very non-Hilton. Very personable. Unique.I used points so I only paid for what I spent, but it was good. Very good. Better than expected for a Hilton. And if you have kids and its the winter, the pool is a gem. A class of French-speaking children watched one afternoon as we swam. They all wanted to jump into the steamy outdoor pool.And I'm a runner. Old Montreal is a short run. A long walk.	
Dec 17 2007 	Great Hotel a bit on the old side though	Only stayed for one night to go out in Montreal.Stayed in an executive room, the room was great. Bathroom a bit on the small side though.Hotel pool is fantastic, outside swimming in -37 degrees that night, that was quite amazing.Hotel staff is very friendly and efficient.The only thing I was disappointed with was the executive lounge, which was a bit odd, but the food was good, was weird to have to pay for alcoholic drinks... usually at Hilton Executive lounges they don't charge you...	
Dec 2 2007 	Nice experience overall no problems	Other than the gift shop being a little pricey ($10.49 for a 16-pill bottle of ibuprofin), I enjoyed my limited business-related stay here.The food was interesting, having eaten at the bar restaurant and the main restaurant. The main restaurant offered an excellent multi-course meal. The bar restaurant was lower priced, offering a nice atmosphere and good food offerings.The hotel is over a walkway with shops, including a regional coffee shop and a Starbucks.Everyone was polite and helpful. The room accommodations were nice overall.	
Nov 15 2007 	LOVED IT!	I got a good deal on bonjourquebec.com. It worked out to be just under $200/night, but between 3 ppl it wasn't bad. The room was very large and the bed was one of the most comfortable I ever slept in! The pool was awesome... nice size and lots of lounge chairs surrounding it. Our room happened to be on the lower level, so it backed out right on to the garden and the pool was just steps away. I felt like I was in Florida - not in the middle of a busy city. The idea of putting a hotel on a rooftop and connecting it to the sous-terrain was a great one indeed.	
Sep 12 2007	Adequate but not fantastic	The hotel in centrally located but is a bit run down. You check in on the top floor - very unusual. The halls are dark but the staff is friendly and helpful and the room was large.	
Aug 24 2007 	Too Pricey for what it can offer	We stayed here last Aug 20 &amp; 21st. The location was great. It was close to Rue St. Catherine where there are lots of shops and restaurants. The rooms are clean but the hallway to the rooms is not that impressive. To get to our rooms, we had to take the stairs which we would not have mind if we did not travel with 2 kids on strollers. Ramps were nowhere to be found en route to the rooms. The ice machines were broken. We thought the only ice machine that wasn't working was the one closest to us but when we walked further to the other ice machine, it was broken too. In fact it was already displaced from it's section, maybe in an attempt to fix it. There were no signs on the machine saying it's out of order or where can we find another one that's working. When we approached the front desk they knew exactly where to get ice as if they already knew that a couple of them were not working. In addition to that, we already tried getting ice from those machines earlier that day and ended up going to the front desk to ask for ice. By the next day or later that night, they were still not working. I have to say the staff are nice though, very helpful, and courteous.The day we checked out we got the bill for the 2 rooms we got and ended up paying $670.00 for 2 nights. We thought that was a lot considering we were there on the weekday and supposedly those were discounted rate. There were about 10 to 15 lines on the bill that said taxes. But I guess that's just Canada...lots of taxes. Oh how can I forget the parking. You would think you'll get free parking if you're a hotel guest or at least get a discounted price for being a guest. NOT! For self park you have to pay $17.00 (for 24 hours) across the street and you can't go in and out. To use the Hotel valet, that will cost you $24.00 for 24 hrs but at least you can go in and out. And of course you have to tip them too. In the long run it is better to use the valet if you are going to be driving your car a lot and going back and forth to your hotel.	
Aug 11 2007 	Highly Recommended	The Hilton Bonaventure is an very nice hotel in a great location that is currently being renovated and will be even nicer when completed in 2008. We requested a renovated room (some have already been completed), but ended staying in a non-renovated room because the only newer one available was in the smoking section. Although the room we stayed in was slated for remodeling I was surprised to a find a very nice room that, while the furnishings were a little worn, was by no means shabby at all. The beds were extremely comfortable and room well kept and clean. Some have mentioned or complained that there are steps to get to your rooms, but unless you have a disability it really is a non-issue. The steps in question total about 6 and are of the low and long variety (think patio steps) and there are ramps to help people with their luggage. I was disappointed that the exercise room was being remodeled (due to reopen in September 2007) and the temporary workout room was not even worth visiting. However, from the looks of the drawings the new room will be outstanding. The pool area is very nice and, since there was a hot spell while there, somewhat crowded. Special mention should be made to the staff who from doorman to the front desk and everyone in between was as nice and helpful as can be. Especially Julien, the concierge, who couldn't have been better. The Bonaventure's location interesting because it's on top of an office building. Once inside the elevator in few seconds you're inside the hotel. Being so high up you do get the feeling of being in a little oasis out of the hustle and bustle of Montreal. Although you are directly connected to the &quot;underground city&quot; it is on the edge so it's a bit of walk to get to middle of the action, but you are right on top of a subway line. As mentioned before, the entire hotel is due for a revamp with completion by mid-2008 and from the drawings the hotel will be very, very nice. That said, I wouldn't hesitate to stay at the Bonaventure again and recommend it highly.	
Aug 5 2007 	Great hotel as long as room not on busy street	Returned for another 4 nights - after 5 nights last week. Early check-in resulted in getting room on busy University St. which turned out quite noisy. After restless night, front desk took care of move to quieter room facing the garden for the rest of the stay. Otherwise this is great hotel, and spent two afternoons by the very nice pool.	
Aug 3 2007 	A unique hotel well located in Montreal	Staying on top of the Bonaventure convention facility seems a little strange, but the garden setting is peaceful and serene in the midst of bustling Montreal. Other reviewers mentioned the steps involved to get to rooms. We were in the executive area and there are few steps and they are easy to walk, even with luggage. We enjoyed our continental breakfasts and evening refreshments in the executive lounge area. It is well staffed and convienent. The Bonaventure Hilton's location is tops for touring the historic district, waterfront area, as well as underground shops and restaurants.	
Jul 26 2007 	Fine Location for a stay in Montreal	I had a great time in Montreal! The hotel was a plus...not a huge plus but definitely not a negative. It is in a fine location with an easy walk to Old Montreal or Downtown shopping or McGill University. The taxis in Montreal are plentiful and inexpensive so going further was no problem. I would rather stay in a small boutique hotel with some charm. The Bonaventure is not that at all. It does have a unique design; the gardens and swimming pool on the roof. The gardens are designed for intimate conversation. I am surprised by the review that dings the bellmen. They were the friendliest group I've ever met: Really interested and talkative. I sat in the lobby working on the wireless internet and I noticed one bellman readily engage people in conversation about where to go and how to get there. The whole lobby staff were professional and friendly. The only demur I have is that the room I had was a real hike from the lobby. Also the hotel has only one lobby which you must go through.	
Jul 26 2007	Great choice all 'round!	At the last minute we decided to visit Montreal for the first time. After reading many hotel reviews on this site, we were unable to secure two beds (apparently not an easy feat in high season on a whim!) at a few hotels higher on our list, so called the Hilton Bonaventure directly. We have had overall good experiences at Hilton previously, and we were not disappointed.Initially we booked two nights, and then added on a third. Due to a delayed flight we arrived into the hotel close to 1:00 AM, asked for a quiet room and were assigned 3402. It was indeed quiet, had terrific beds, and was nicely appointed. Shortly after 2:00 AM an alarm sounded, an announcement was made declaring a report was being investigated. This was repeated for about three minutes before we were given an all clear message. It may just have been something like a person smoking in a non-smoking room; we never heard. This was a first in our hotel experiences but decided we would rather be alarmed than not, and what better way to inform the masses.There is absolutely nothing negative to say about this property. Every single staff member with whom we interacted, whether by phone or in person, was courteous, friendly, helpful and efficient. It turns out that our room was part of a two-story suite that was booked on our third night, so we were asked to move next door to 3404. It was effortless. Another quiet, lovely room with terrific beds!We did not use the gym or the pool, but the outdoor heated pool looked fabulous and we would definitely try that next time. We ordered room service breakfast on our last morning and while it can be an expensive venture, the food and service were good and we were willing to pay for the convenience. Directly across the street is the underground shopping mall/train station where absolutely everything you could ever possibly need or want is located. Many food outlets are there as well as a pharmacy, shoe shine station, shops galore, you name it. In fact, most everything is quite close to the hotel.The consierge desk was always staffed with courteous and knowledgeable individuals who were quite helpful in suggesting how best to see Montreal in just a few days. Plenty of brochures available there as well.The first day we chose the 3-hour Gray Line city tour to acclimiate us to the area. We had a terrific driver, John, and thoroughly enjoyed this experience. He recommended the sound and light show at Notre Dame Basillica, which we viewed the next night. Definitely an interesting experience. He also spoke of Gibby's, a wonderful restaurant in Old Montreal with quite a bit of history. We splurged on that fine dining experience and were not disappointed. Reservations are recommended, dress is casual, service is excellent and food is terrific. One can order anything from vegetarian to fish, chicken and meat and prices range from about $35-40 on up, depending. This includes salad, bread and two sides.Another reviewer mentioned Eggspectations restaurant for breakfast which we tried. Good food, and plenty of it, good service and good prices too. Breakfast is served all day and lunch too until 3:00 PM.A reviewer mentioned the elevator situation at the Hilton. This was NOT a problem. We were advised that the lobby is actually on the 15th floor, and all rooms are just steps away from the lobby, making an elevator unnessary. We would agree. From the street there are approximately ten steps to the elevator, and there is one button only to push (lobby). We found this to be far more expedient than standing around waiting for elevators to hit every floor before reaching us. Our room was reachable in about two minutes taking 30 shallow steps and walking down two corridors. Definitely not a problem unless one is impaired or is carrying too much luggage for comfort. While the lobby and corridors appear a tad shabby, there is a huge sign in the lobby announcing that millions are being spent in complete renovations, including all bedrooms, to be finished in spring 2008. Both of our rooms appeared to have new decor.The locals complained of the heat and humidity which is not normal for them. We did find it hot, but we are used to hot in Texas. It is a terrific city with lots to see and do, good food and lots of shopping too. Our Hilton experience was wonderful and we thoroughly enjoyed our short stay in Montreal. The people of this city are definitely its best asset!	
Jul 25 2007	A Fantastic Place to Stay	Being my very first time to Montreal, I did not know what to expect? Especially with our accomadations? I was very impressed with the Hilton Bonaventure. They treated us very, VERY WELL. I know that you can't please everyone but they did their very best on making sure that we were well taken care of. My husband was out there on a business trip and I went along for a vacation of my own (expensed out of our own pockets of course). However, I found the staff extremely friendly and the hotel was very clean. I even chatted with the maids, the doormen, etc... Everyone was so helpful. The service and the smiles I had received from the staff had made our stay that much more pleasurable. We had even found the Bartender's in the Lounge had a great sense of humour and were very friendly to talk to. I would recommend staying there to anyone who travels to Montreal and would love a touch of elegance added to their stay. Another thing I had found is that it is so close to everything. I loved the fact that the Underground shopping was just across the street and that walking to Old Montreal was only 20 minutes away. However I would also recommend you wear very COMFORTABLE SHOES for walking. I just love Montreal. The prices on clothing and shoes is Fantastic too!!! Now that I am home again in Vancouver, B.C., I find myself daydreaming of the day that I will be able to return to Montreal and stay again in the Hilton Bonaventure. Thank you to all the staff for making my trip to Montreal a very memorable one. Merci' from The Benoit's	
Jul 21 2007	Wierd Hilton	We stayed here because of its location reletive to the Bell Centre. The hotel is very convinientlly located and is conected directly to reso (very good in Feb.) The hotel is outdated, there is no elevators to rooms, and they heat the outdoor pool in Feb. The valets were helpfull, but skip the bellmen they were rude and franklly useless. I dealt with 3 or more of them and I kept geting sent to the front desk or doorman for information. This dispite a $15. tip for carrying 2 bags. If location is no issue for you hiltons other hotel, the Doubletree is WAY better fro the money.	
Jul 18 2007 	Fantastic hotel!	This is a great hotel. From the moment we arrived, service was outstanding. We were greeted at the entrance by friendly staff and the front desk staff was great as well. Our room was very clean and modern. The plasma TV was a nice touch, and we actually enjoyed relaxing in the room because of the great layout and furnishings. The bathroom was nice with plenty of counterspace and nice Crabtree &amp; Evelyn toiletries. We paid a little bit more for a room on the &quot;executive floor&quot;- it was only $20 extra which included free internet, breakfast and afternoon snacks. Well worth the extra cost. The free breakfast was nice. Charming presentation, and very nice staff who even gave us tips on what sites to see that day. The evening snacks/drinks were nice as well, but be warned, you are charged for the drinks. We were under the impression that it was complemantary so were shocked when we got a bill for our two glasses of wine. It was OK, since the wine was good, but was still a bit of a surprise (they had a sign on the bar but we did not notice it). The desk staff was extremely nice (in fact, everyone we encountered in Montreal was very, very nice!) and was helpful with directions and restaurant recommendations. When we exchanged currency they took that extra step to explain each piece of currency.The hotel is located in the business district downtown, and is walking distance to Old Montreal. The Hotel is on the top floor of an office building and is conveniently linked to the underground and the metro station. There is a nice pool and a little river that flows through a rooftop garden complete with ducks and fish. It was nice to look out the window and see ducks float by!I would highly recommend this hotel and would stay there again.	
Jul 8 2007 	Great Hotel Worth the Hotwire Price	We booked this hotel through Hotwire, and just completed our stay between 7/4 and 7/7/2007. Our room was on the first floor, and yes, it's true -- there are no elevators between the floors on which rooms located (there is an elevator from the main entrance on street level to the lobby; the hotel is located on the upper levels of the Place Bonaventure office/shopping plaza -- but the way that the hotel is landscaped, with lots of trees and gardens and even a duck pond, it doesn't at all feel like it is in the middle of downtown Montreal or on top of an office building). Our room was decently-sized with a walk-in closet. Although the bathroom was a bit small, it was beautifully done in marble tile. Overall, the hotel and our room was very clean. Although the high-speed internet cost 9.95$ in the hotel room, there was free wireless high-speed internet access in the lobby areas.The staff was also very helpful and friendly -- the concierge was especially helpful with restaurant reservations, directions, and even sold discount tickets to the Jardin Botanique/Insectarium/Biodome/Stade Olympique.But the best part of the hotel was its location -- it is a three-minute walk (underground, no less) to the Bonaventure Metro station, which is also on the main Orange line. It is a ten-minute walk (underground or above ground) to Vieux Montreal, and a five minute walk to downtown Montreal's shopping district. It is also a two-minute walk to the Quebec tourist information office, as well as to the central train station underneath the Fairmont, which is also where the airport bus drops off. All in all, we could not have been happier with the service, cleanliness, and location of the hotel. It was a good deal on Hotwire, too!	
Jun 5 2007 	It's no HIlton	This is not what I was expecting from the Hilton. When I arrived to check-in, the line was long and it took at least 30 minutes to complete this process. It was then that I experience the crazy layout of this hotel. There is no elevator once you get to the lobby! I had to haul my bags and suitcases up the stairs myself. On the first day I received a note that the phones would be out for a period of time and they recommended using the pay phone in the lobby. Then on the second day the air conditioning died. The staff didn't really want to help. I asked for some directions and was sent no where close to my destination. You can find nicer hotels at a better price. That's what I did. I checked out and found a new hotel.But they do have some nice rooftop gardens and pool. Just go in and check it out; then stay somewhere else.	
May 29 2007 	Strange?	I've just returned from a weeks stay at this hotel, the strangest Hilton I've ever stayed in.After arriving in at just after midnight on a Sunday we struggled to find anybody motivated enough to help us with our baggage. Check in was fine but it was a a shock to find that the bar was closed and that room service stopped at midnight.The room was above average and the bed was the comfiest that we have ever slept in, quite a high accolade considering that we spend at least 26 weeks of the year in hotels.The executive lounge is small but well run and serves a complimentary cold buffet breakfast. We were especially well looked after by Guy and Paul.There is an outdoor swimming pool (heated) and a slightly tired gym room.All in all it was an okay stay but it was just a very, very odd hotel. It's lay out is strange, the atmosphere is strange, the bar is uninspiring and uninviting and for a Hilton, the public areas were a little shabby. On the up side, it's ideally placed for sightseeing and shopping with both the downtown shopping areas and Old Montreal being within walking distance either above ground or in the underground pathway system and THE COMFIEST BED EVER!!!	
May 10 2007 	Beware NO elevators!	There are no elevators and the staff doesn't tell you. I had to drag my bags upstairs and then downstairs. There were no bellmans available when we arrived. It was horrible for $100US per night. When I asked for a closer room, I was given a downgraded room. I've never stayed at a 4 star hotel without elevators and no bellmen. Also, the drain in the bathtub was very slow. You end up showering in 4 inches of water.	
Apr 1 2007 	Loved it	Been here on Business trip, got a corporate rate and worth every buckof it (well I didnt have to pay for it) location was convient, had access to metro station, bus station (which was definatly a plus for me) food was good and loved the heated pool. The rooms very clean, spacious and comfy, room service was good as well. The only thing I did not like was the TV Cable, it only had around 20 channels and the weather channel was snowy and could not make it out, I ended being soaked that day after not knowing what the weather would be like in the afternoon. Overall I would recommend this hotel to anyone who is looking for a nice and clean and convient place to stay if you do not mind the extra dollars.	
Apr 1 2007	About what you would expect	I booked this hotel through Hotwire and got it for $75 per night, excluding taxes. For this price, it was an outstanding stay. Especially since they charge you for everything such as internet ($9.95 CND), and parking ($24 CND). However, the Hilton Montreal Bonaventure is also a &quot;legacy hotel&quot; where you know everything will be in place. The staff is quite nice, the service very good, and the condition of the hotel average to nice. The rooms are early 1990's vintage, but nicely preserved. The hotel has only two floors but is widely spread out. So, overall, it is a solid 4 star hotel. Some of the cons include it being tough to get to as you have to take an elevator to the 9th or 10th floor to visit check in. Also, there it may take a while to get to your hotel room since it is the size of a city block. The decor is ugly concrete from the 1960's or 1970's. The pros include the metro stop underneath the hotel, as well as oversized rooms and a comfy bed. It's got the feel of a business hotel more than anything else.	
Mar 30 2007 	Great hotel	My sister and I stayed at the Hilton in December for 6 days, just before Christmas. My sister had to be there on business, so I tagged along to do some last minute Christmas shopping. I was a little leary of staying here after having read some reviews. I had no choice in hotel as it was booked by my sister's company.But all those fears were unfounded! Yes the hotel is on the upper floors of an office building, but you certainly don't get that sense when you are in the hotel. The actual interior of the lobby, bar area is a little dated, but is clean, inviting and the staff very friendly and helpful. We were directed to our room on a second level...there was no elevator, but it was no big deal. There were a few wide steps to go up to our floor and I did note that they had a ramp for wheelchairs. Our bags were brought to our room in a timely fashion, so we didn't even have to contend with bringing them up the few stairs. Now the hallways of the rooms could be renovated, but that may be in the works as the one end of rooms were being renovated, and I understand are the other rooms. Despite this going on (about 6 to 8 rooms away from ours), we heard nothing! Our room was beautiful...it had just been renovated and was very modern and beautifully decorated. The beds were extremely comfortable, the bathroom spacious and the room itself large. The bar area was quiet and comfortable...we had several nightcaps over the length of our stay. The hotel itself was quiet ...there were Christmas parties going on in several ballrooms, but they were not bothersome in the least. It was absolutely great having the underground city access right there and after figuring out how to access it, you didn't need to see the light of day at all while shopping! All in all, we had a wonderful stay...everyone was great from the reception staff, the bar staff to the valet's out front.	
Feb 22 2007 	Hard to believe you are on top of a building	We stayed at the Hilton while visiting our son who goes to school at McGill. We didn't want to go outside and it was important for us to be attached to the underground path system. After reading that the hotel was on top of a building, I was sure it would be cold and office-like. On the contrary, it was warm and surprisingly, the landscaping was beautiful. They have a complete garden with full sized trees that wraps around the hotel. The garden was planned to be attractive in the snow, too, and so, although we were on top of a building, we had a lovely woodland scene outside our window. The pool is open year round. Getting into the hotel driveway is quite tricky. We drove around the block a couple of times before we figured it out. It's a very sharp turn right at the corner. There is a small elevator lobby and then a full hotel lobby at the top of the elevator. We found the valet, concierge, and registration desk staff to be helpful and polite. Many have commented on the 1970s architecture, and it's true that the walls of the public areas are that weird formed cement popular in public buildings 40 years ago. Everything else we saw was updated, with fresh fabric and wood finishes. We stayed in an executive level room, which gave us access to the concierge lounge. Our room was tastefully decorated in deep wood tones with new carpet and granite tops on the bar and bathroom. The desk is cleverly designed so it can pull out to use as a table for meals or pushed in a bit when used as a desk. (We took a picture of it so we can get one in our next house) We did find the hotel a bit noisy in the morning but that might have been because there were a lot of children staying there for a dance competition. We like staying in boutique hotels in the Old City because we like to walk a lot but this was a good compromise for a cold winter weekend. We walked for miles in the path system with only light sweaters on, and even went to a neighbouring hotel for drinks.	
Dec 27 2006 	Loved it!!!! (from Brooklyn NY)	I was a bit nervous after reading prior reviews...I got this hotel via Priceline so I didn't have a choice of where to stay (I input that I wanted a 4star hotel at $70/night). After reading the reviews, I called the hotel to request a room on the same level as an elevator. The staff was very accommodating - I was placed on the 2nd floor, the service elevator stopped there. The room was fabulous!!!! The king size bed could have fit 3 people. It was sooooo comfortable and had plenty of pillows and ta super long neck roll. The clock radio had the plug to hook into an MP3 player (unfortunately I didn't bring mine, but this is a great feature that many hotels don't have). The flat panel TV was also very nice.The bathroom was absolutely gorgeous. The shower is very spacious with a great handheld spray that can go from spray to pulsate. The shower also has a folding seat -- I didn't use it, but it's great for the elderly or trying to shave your legs, etc.The icing on the cake was that I didn't have to go outside at all! After I figured out how to use the underground passages, it was wonderful...plenty of eateries (restaturants as well as fast food... there was even a Cinnabon which I absolutely love!!!) and shopping...I never put on a coat!I didn't try room service or the mini bar...a bit too pricey for me.I will definitely recommend this hotel and plan to stay here again!!! These rooms go for well over $100 a night so I really got a fabulous deal!	
Dec 14 2006 	Hilton Quality as usual	The Hilton Bonaventure was a good place to stay in Montreal. Although the hotel itself is a bit confusing, as it is on top of an office building. The layout is on 2 floors, and there are some stairs between floors (no elevator, but maybe 5-10 low stairs). The location is great and it connects to all of the underground halls to the mall, train station, etc. We were in an executive room (I think b/c I am a Silver hilton honors member) and it was spacious with 2 queen beds and a nice bath. The hotel is not brand new, but it is well maintained, adn the staff is friendly and speaks english for us Americans.	
Nov 15 2006	A bit aged but professional and well located	Everything about this hotel was fine. It is a typical, better-than-averagely run downtown Hilton property. I went there for a few days on business and ended up liking it a lot.	
Nov 6 2006 	This place was OK	My wife and I drove to Montreal with another couple from Niagara falls after getting a good quote over the phone, the layout is a bit strange as when you walk in the front entrance that didn't look like a hotel you need to take an elevator upto the lobby, I heard the place was originally for olympic athletes and then turned into a hotel! this probably explains the layout. We checked into what we thought would be identical rooms as we paid the same price, no, ours was pretty small compared to the room my friend was given. The outdoor pool was good. The hotel is in a pretty good location and looked clean, I would try a different hotel next time though. Concierge were helpful and got us tickets to see the Canadiens play, although we all got nose bleeds!!	
Oct 9 2006 	Be warned - No elevators!!!!	Stayed here for a weekend getaway in August - me and 3 kids. Check-in fine, but then we tried to go to our room. Despite seeing me check in with 2 small children and a baby in a stroller, I was booked in a room as far away from the entrance as possible and up as many flights of stairs as possible. The hotel is set on 2-3 floors, all connected by short flights of stairs - there were 6 flights of stairs to get to our room and no elevator! After I complained, they directed me through a back hallway to a service elevator, that meant that I &quot;only&quot; had to take the stroller up 3 flights of stairs. Rooms OK - not updated except for bathroom, filthy carpet - not what you'd expect at a Hilton - there are much nicer rooms for the same price in Montreal.Would have been OK if not for the fact that we could not get to our room without dragging a stroller upstairs. They really ought to warn you about this on their website.Definitely avoid this place if you have a stroller, if you are at all physically disabled or you do not want to walk LONG distances.	
Sep 26 2006	Quiet rooms	This hotel is situated in an excellent, safe location in downtown Montreal. It is near the train station and is within walking distance to most tourist attractions. The metro is conveniently located in the basement.Our rooms were quiet, clean, and comfortable; however, one of our &quot;non-smoking&quot; rooms smelled like an ash tray (apparently this a frequent occurrence at the Hilton Montreal Bonaventure according to previous reviews).The carpeting is very worn (with cigarette holes in it). We were afraid to lay our clothing on the bed comforters as they appeared old (decades?) and dingy. All the furnishings are dated. Our bed was very comfortable and we got a great nights sleep.The best thing about this hotel is that it was quiet.The sheets were fresh and didn't reek of bleach. The bathroom was clean with typical (low) hotel water pressure. The free in-room coffee was excellent. We had an awesome view and the windows opened for fresh air!The individual climate control worked great and wasn't noisy.It is difficult to locate the hotel due to minimal signage. The lobby is hard-to-find because you have to take an elevator to the top floor to check-in; however, there is no signage indicating this fact. It is also difficult navigating your way back to the hotel from the metro due to lack of signage.Staff was friendly for the most part, if not a bit pretentious.We recommend eating at &quot;The Keg&quot; in Old Montreal. We had a corner &quot;window seat&quot; overlooking historic St. Paul Street which was very romantic. The food was amazing. We also recommend &quot;Plein Jus&quot; juice available at the IGA store in Complex des Jardins.Avoid the &quot;light show&quot; at Notre Dame as it's a total tourist trap. It is mostly a cheesy &quot;film&quot; and not really a &quot;light&quot; show. I would rate this a 3-star hotel at best.	
Sep 21 2006 	Good at the right price	We stayed in 2 rooms in this property on the Labor day weekend. I found the earlier reviews to be fairly accurate. This is a nice, clean hotel with a good location and efficient staff. The concierge is helpful though she can be really busy during weekends (she was the only one at the concierge desk throughout our 3 days of stay). The Reception staff was corteous and helpful. The pool was small but satisfactory.	
Aug 15 2006 	A great conference hotel	My husband and I just returned from a conference in Montreal. It was our first visit to the city and we loved it. The Bonaventure was in a great location, very close to the Metro station and close enough to walk to the conference site (by Old Montreal). What was charming was the layout of the hotel - all rooms on 2-3 floors, no elevator rides after you arrived at the lobby. The hotel was smaller and quieter than the other hotels suggested by the conference organizers. Rooms were large and clean. The service and front desk staff were terrific, especially Chantal, the concierge on duty for most of the week.	
Jul 23 2006 	Good hotel if the price is right	My husband and I (age 30) stayed 3 nights for a very good price through priceline at 60% off advertised price. I would rate as 3.5 out of 5. The rooms were comfortable, large, clean, and outdated. I would return to this hotel for one reason- the pool!! Exceptionally nice...not for small children as goes 4-6ft very quickly.Staff helpful.	
Jul 11 2006 	Not the greatest.	While my experience wasn't devistating, this isn't the best hotel by any means and not what I expect from the Hilton name. The Delta is next door and looks like a superior hotel.Although this Hilton is at the top of a high building, the hotel itself only has 2 floors which means a limited number of rooms during busy times. I had a non-smoking room reserved. With no mention at the desk, I checked in, walked to my room to find it was a smoking room. I called the front desk to inquire about this descrepancy and was told the hotel was full that night and there were no non-smoking rooms available. Reading through the reviews, this seems to have happened to a number of people before. I suppose its a rather common occurence.The hotel is dated and retains its original look from decades gone by with exposed concrete walls in the hallway, though an update includes the hallway ashtrays being filled in with concrete. The doors to the rooms look original complete with the faux wood veneer.All this being said, the staff was very friendly. The doorman at the front graciously allowed me to leave my car for a couple of hours. The bed was comfortable and the bathroom was great with its marble tiling througout.	
Jul 9 2006	Very nice quiet hotel with a great pool	My husband, myself and our daughter stayed at the Bonaventure for 2 nights this week. We self parked our car ($17 a day) and had no trouble finding the reception desk. They were very friendly and helpful. W e were 1/2 an hour early so we had to wait while they prepared our room. We requested a non-smoking room with 2 beds with a city view if possible. We got a non-smoking room with a king bed (which was fine) overlooking the garden. They seemed quite full when we were there. The room was a decent size, had a nice garden view, the bathroom was large and well appointed, the bed was very comfortable, the room was clean. The decor seemed very nice in the hotel and the room. We saw they were stripping 2 rooms bare and updating them with paint, carpet, fixtures, vanities etc. The room was very quiet even though we were on the lowest floor of rooms we heard nothing above or around us. The bellmen, front desk staff, concierge etc., were very professional and ready to help us on a few occasions with maps, directions, recommendations on places to eat etc. We didn't eat in the restaurants there since they are fairly pricey. We all loved the pool. It is heated and we swam both nights for almost an hour. They provide free pool towels and lockers. The only things that could have been improved on were fuzzy t.v. pictures and the mini bar fridge didn't seem to get too cold (we couldn't find a temperature guage to adjust it ourselves). The hotel is about a 10 or so minute walk to Old Montreal. We were very pleased overall and would stay there again.	
May 22 2006	Exceptional Honeymoon Stay	My wife and I spent 4 days at the Bonaventure and it was EXCEPTIONAL. It had been years since we had been in Montreal and we were not disappointed. From the moment we arrived, we were greeeted by the professional and dapper Doorperson, the Front Desk staff were extremely friendly and equally conversant in French as they were in English (I'm bilingual but my wife is not) and the Bell and Concierge services were quick and knowlegeable. It's all about service and the Bonaventure certainly has high standards. Our suite, and you must try one on your next visit, was simply breathtaking. Marble foyer, two bathrooms (my wife was happy to have her own), premium bedding and we are still talking about how comfortable their pillows were, a dining room to comfortably seat 6 and my favourite -- a wide-screen tv in the livingroom. The decor is rich and classic and we felt like royalty - the way you should feel on your honeymoon. The food in the restaurant is scrumptious and you must eat there at least once while you are there. We had the pleasure of accessing Club Bonaventure for the morning continental breakfast and the selection of fresh baked goods, fresh fruit, cereals, juices, etc. was delicious and the staff member serving us (I believe his name was Guy) was outstanding. We will definitely be back to this service-oriented, classy hotel in the near future.	
May 13 2006 	Sterling was the Star but OH those stairs!	I don't know what all the fuss is about. This was a clean, QUIET, well located hotel with good food available if you choose hotel food. The doorman, Sterling, was delightful and most helpful with directions and advice of all types. The stairs could be a problem for anyone with any disabilty. Room linens and products were above average. Staff was attentive. My priorities are cleanliness, quiet, well maintained rooms and this hotel fulfilled all three.	
Apr 16 2006	How much are you paying	For me, this place is simply about how much you pay. If you get yourself a priceline or hotwire deal for $70-90, then I'd say go for it. It's tough to find a hotel of a half decent quality in Montreal for that price. BUT, if you are paying anything more than that, there are much nicer hotels in Montreal. Simply put. The hotel is in a good location (walk to everything), the rooms were clean and minimal, the pool is nice, and I thought the staff was friendly enough.However, I have stayed in only one other Hilton, and the difference was like comparing the Econo Lodge with the Four Seasons. The Bonaventure wasn't even in the same league and it seemed to me like it was two different hotel chains. Enjoy.	
