	Fantastic Old Port	We stayed at the Auberge for 3 nights in November. It was a great experience from start to finish. Breakfast was included in the room rate and was sufficient enough to get us started for the day.We were in a room on the 5th floor, the room was great. The only comments are that the in room &quot;jacuzzi&quot; was not much more than a small bath (but the shower is fine!).It was a great base for our stay in Montreal. The Old Port can be a bit touristy, but it's easy enough to find good restaurants for dinner.	
Mar 21 2007 	The lofts are amazing!	My husband and I stayed at this lovely property this past July. The staff made a scheduling error and we were upgraded to a loft room instead of the king/river view I originally booked. The lofts are in another building close by the hotel. There is no river view, but there is no need. The loft was just amazing...3 levels, crisp, clean decor, fabulous bathroom with a 2 person jacuzzi. The kitchen was lovely with every amenity possible. The living area with a couch, 2 chairs, ottoman, tv, cd player, stereo. The bedroom with a very comfortable king size bed, tv, dresser. It was a huge, luxurious way to spend time in Montreal.  After a couple days in Quebec City, we returned and were given our reserved room in the hotel. I would not suggest this room...it was on a very perceptible decline. This sounds ridiculous, but it was very bothersome to have a room that tilted toward the doorway. The room was not really special in any other way, either. The river view is not spectacular...not very picturesque and you can hear noise from the street. The breakfast/wine and cheese offering at happy hour are an added luxury and very nicely presented.If you can treat yourself to one of the loft rooms, please do so...you wont be disappointed!!	
Feb 21 2007 	warm clean and friendly	Selected the auberge on the basis of the previous reviews here. very friendly staff, a charming room with an exceptional KB. Tasty and eleguant breakfast included, An excellent location for taking a stroll in old historical Montreal. Will send my friends there.	
Dec 11 2006 	Great Location great staff	We went to Montreal on a quick mini-moon following our wedding and stayed at Auberge du Vieux-Port. One of the best things about this hotel is its location in Old Montreal across the water. It's close to everything including the metro station. The staff is very friendly and would do anything to make guests happy (when we came in late one night, they were trying to get hot chocolate for one of the guests who wanted it). The free breakfast is to die for, especially fruit pancakes with chocolate and english cream. The rooms are uniquely decorated with exposed beams, etc but I must say they look better in the pictures than real life. The bathrooms are huge and jacuzzi is great though. Overall I recommend this hotel to those who are looking the splurge for a few days. It's not luxurious but definetely worth the price due to staff, location and unique quality.	
Dec 9 2006 	Fantastic Service - Cute Hotel	This is a fantastic hotel. It's in a great location to see Old Montreal, the included breakfast is amazing, and this hotel stops at nothing to make sure you are happy with your stay. We expressed interest in going to a Montreal Canadiens game while we were there, when we came home that night we had tickets waiting for us on our pillows.	
Nov 24 2006 	Lofts du Vieux-Port -- great for the independent traveler	The lofts are separate apartments in the Vieux-Port, near the Auberge du Vieux-Port. The apartments are totally self-sufficient, large, open. They are contemporary without being coldly modern, retaining some of the classic features of the building. Room service from the hotel and Restaurant du Viuex-Port was available, which was a nice touch after touring all day.The only negative was from the e-mail exchanges, I was told all amenities of the Auberge were available to us. When I checked out, I was told that did not include breakfast, and depsite showing the e-mail, was not reimbursed. As the service was pathetically slow for breakfast, we only ate there once. Instead, we had brie, baguette, fruit, coffee, and juice in the comfort of &quot;our own&quot; kitchen. A MAJOR POSITIVE, however, was I left my cell phone in the loft and it was promptly mailed to me with no charge.btw, Phillip and Michael were quite welcoming and helpful.	
Nov 14 2006 	Decent but needs updating.	We stayed at the St. Antoine in Quebec City, which was tremendous, so perhaps we were just a little expectant in what we would find, particularly after the glowing reviews here. The lobby is impressive, the wine was a nice touch and the cheese good, but the bread (aka cracker) was a little odd -- tough and very brown. The croissants at breakfast were truly some of the best we'd ever tried, which is a positive. What is odd is after such an up-to-date lobby (hip, almost, in black and fine furnishings), that the room was so dumpy. Our room (505) was large, but the bed was very worn -- flat matress, poly/cotton sheets and none of the plumpness or fluff you expect in high quality hotels -- the comforter was a standard issue floral print, with no charm. That led to an otherwise dreary appearance to the room -- done in simple whites with upgraded bedding and we'd have changed our opinion. The brouchure in the room appeared to have some updated rooms, so perhaps we just got a bad one...either way, it was a disappointment. And yes, the bathroom was large, with nice toiletries, but the shower was the dingy fiberglass and aluminum insert in the corner, with just a trickle of water, after you managed to work the button on the bottom, very odd. What is surprising is that this hotel is owned by the same folks as the Nelligan -- which was right around the corner and looked amazing -- and very upscale. Old City hints: Avoid the square around the corner and the restaurants there -- very poor examples, given the options further down rue St. Paul. Great coffee/croissant place called Olive Gourmand or something on St. Paul and a great, fun steak restaurant on McGill and St. Paul, Holder or something. Very nice and not expensive. Net: Stay at the Auberge if you like larger rooms, are on a budget and do not have high expectations -- you will do fine. If you are particular and do not mind paying a little more, do the Nelligan.	
Nov 12 2006 	Cute but Fraying	Having now stayed in similar class and priced rooms at the Bonaparte and Nelligan in Montreal, I checked in expecting a four-star, but check-out disappointed. My homework indicated this as one of the best players in the quaint heritage boutique properties in the old part of the town, and it is, but it's quickly being outclassed by others.The common areas upon walk in are well appointed and the wine-and-cheese presentation is enjoyable, with an LCD TV tastefully mounted to the quarter-millenia old exposed rock wall. Not so well-appointed were the well-meaning staff, who need to be given a stipend to replace the worse-for-wear issue-uniforms. While pleasant and attentive, requests for reservation assistance at local popular eateries were a challenge.The room was probably not one of their larger models, but was unnecessarily dark for this weary traveller. That advertised on the website large expanse of enchanting stonework was but a half-meter wide, and while the view was enjoyable, it had been a long summer for those grimy windows.Bed and bath is what cost the fourth star. The bath was clean, the basin pretty, but the shower-stall was a not -so-clever solution. The shower-stall had a unexplicable bath-nossle that required its operation. And in this class of auberge, a fiberglass and aluminum framed enclosed shower isn't the best. Most telling was the bathrobe, which, like the hard-used bed, indicated fraying at this hotel. I do hope the managment, which handles truly enjoyable properties nearby, attends to the details, which patrons expect at this sort of establishment.A lot of reviews needlessly gripe over the cobblestone road; the street-noise is not disturbing.	
Nov 5 2006	Nice big room	We stayed in a large loft style two bedroom apartment across from the hotel in a nearby building they own, or own some rooms in. The furnishings were above average, some walls were brick and we were loud but still without bothering anyone. Perfect for large groups. We stayed top floor and the room was prob 1000 sq. feet. I have no idea about the breakfasts part but valet was good.	
Oct 16 2006	A++ ... Must stay here	This is a charming small hotel in the perfect location in Montreal. Great rooms with wonderful furnishings. Worth the price. Don't miss the complimentary wine/cheese cocktail hour. We stayed in room 204 which is on side of the hotel that overlooks a busy shopping area so it was a little noise in the evening, but not a big deal.	
Oct 10 2006 	Excellent	All round first class establishment with helpful and attentive staff, wonderful rooms and very well appointed communal areas. We stayed just one night but would happily return.	
Sep 25 2006 	great hotel stay	We arrived at the hotel for 2 nights and could not have been happier with our stay. All of the hotel staff was excellent and were willing to help in any way that they could - with restaurant advice or directions (especially Michael at the desk and Brian at the door). The breakfasts were wonderful - french toast, eggs benedict, omlettes. You could order anything that you wanted from the menu along with coffe and juice. Every evening between 5 and 7, you could have a free glass of wine with fruit, cheese and bread. All of this was included in your room rate. The rooms were also great. We had a beautiful view of the port from our fifth floor room. We travel frequently, have high expectations, and were not disappointed.	
Sep 23 2006 	Nice But Lacking...	The building itself is quite laudable in its rustic French Canadian charm. However, the high school aged staff seems a bit dumbfounded if not well meaning at times. On the first morning of our stay we were informed by our waitress that a continental breakfast was included with our daily room rate. Unfortunately on the 4th day we were informed that we were entitled to a full breakfast. The front of the building although offering attractive water views, is extremely loud due to a long patch of uneven cobblestones. A room on the higher floors is recomended. Also a quick check of the window safety rail is advisable. Ours was missing a screw and dangerously loose!	
Sep 14 2006	Breakfast pantomine.	Following a very nice stay last year, my wife and I revisited again for 3 days with friends in early September.The hotel was as enjoyable as last year, apart from the debacle trying to get breakfast. The previous system of helping yourself to cereal, fruit, juices, tea and coffee prior to ordering a cooked breakfast had changed to a full service from the staff.What developed was a farce as it took at least 10 minutes to have your order taken and then a full 20 minutes for it to be served by the 2 harassed waiters, obviously inexperienced, who proceeded to deliver food, piecemeal, to the wrong tables.Each morning we witnessed complaints, including ours, being made to the staff but, despite this, there appeared to be no management control over the situation. As a 4 star hotel for this problem not to be addressed was inexcusable.Otherwise the service, comfort and cleanliness of the rooms were of a high standard.Would I return? Yes, but I would pre-checkout the local diners just in case the breakfast pantomine had not been solved.	
Sep 10 2006 	Lovely Boutique Hotel in Great Location	My husband and I stayed at this hotel in early September. The room/bathroom were more spacious than we expected. We loved the ambiance of the room with an exposed brick wall behind the bed. The bathroom had a whirlpool tub that was great after a long day of sightseeing.We arrived on Labour Day, and the front desk staff was very helpful in pointing out activities that we could do despite all of the museums and shops being closed.We were pleased with the location right near the Vieux Port. Our favorite activity was renting bikes next door, and riding along the Canal de Lachine as well as the Ile-Note-Dame and Ile-Sainte-Helene. Highly Recommended!The complimentary breakfast and evening wine/cheese were lovely. We had some trouble one morning with the breakfast as did other guests. It seemed the server wasn't as fluent in English as he maybe should have been and had trouble communicating our orders. That being forgiven, we absolutely loved everything else about our stay.	
Aug 28 2006 	Very Nice!	My husband and I stayed at Auberge du Vieux-Port for two nights in July. What a nice place! We arrived late in the afternoon, hot, tired and somewhat cranky. That all changed when we approached the front door of this hotel. We were greeted with a smile, check-in was fast and painless and we were quickly escorted to our room. And what a room it was! Hardwood floors, brick and stone walls, huge windows that opened, a CD player filling the room with soft music, plenty of storage space, and a wonderful view of Old Montreal and the port. And that was just the bedroom. The impecible bath was equally pleasing, with a whirlpool tub that was especially inviting after a long day. I immediately fell in love with the aromatic Essential Elements products and the thick terry robes. Ah, the crankiness was slipping away!During our two-day stay, the professional staff was consistently pleasant and most efficient. Every request was quickly fulfilled, and every time we stepped off the elevator, one of the staff was there to greet us by name and offer to assist in any way they could, from restaurant recommendations to suggesting the best vantage point for the fireworks.The breakfast included with the price of the room was excellent, and the wine and cheese reception in the afternoon was a nice touch. We didn't eat at the hotel except for breakfast.We thoroughly enjoyed throwing open the windows of our room to enjoy the sights and sounds below, especially the street musicians and the clip-clop of the horsedrawn carriages. On our last night, an amazing double rainbow appeared over the river, and we were able to enjoy it for several minutes through these fabulous windows. It was a perfect ending to a most romantic stay at this excellent hotel.	
Aug 22 2006 	A Great Place - but requires some effort on the part of the guest	My wife and I just returned from spending our first anniversary at the Auberge du Vieux-Port. We booked a 2 night &quot;Romantic Package&quot; that included a King sized bed, jacuzzi tub, one-hour massages for each of us, and a 5 course meal in the hotel restaurant. We enjoyed the room very much - the bed was very comfortable, and the room was well appointed, without being overly decorated. Exposed brick and hardwood floors made for nice ambience.Any guest at the hotel gets a full breakfast, and wine and cheese at the wine bar in the evenings. We very much enjoyed the wine and cheese in the evenings, and the service of the wine bar was quite good.The breakfasts, however, left something to be desired. The first morning, our server forgot to bring the sides of bacon and sausage that were included with the meal, and the roasted potatoes that accompanied our omelettes were cold. The second morning, my french toast failed to appear altogether, and after I reminded the server of my order, it showed up having obviously sat in the kitchen for some time. Finally, I would advise being prepared to spend a bit of time working out some glitches with the front desk/concierge staff. They booked the reservations for the wrong day, but I caught the error on the invoice prior to our trip. Twice they bungled our massage appointments, and we spent quite awhile sitting at the front desk waiting for the concierge to get things sorted out to our satisfaction. They did leave a bottle of wine in our room for the trouble.The dinner that came was part of the romantic package was very good. It's definitely for the more adventurous (or experienced ) diner, but my wife and I enjoyed the food and the service quite a bit.Overall, a nice hotel that made for a good stay in montreal, but things could have run quite a bit smoother.	
Aug 7 2006 	Loved the Auberge du Vieux Port	Great location, great service, great value. Our stay at this delightful hotel was made even better by the outstanding staff. The concierge service providers love their work and provide excellent tips for restaurants, site seeing, and special events. Phillipe was particularly helpful to us throughout our stay even managing to get us a roof top seat for the popular fireworks display on Wednesdays. Rooms were beautiful - exposed brick, wooden rafters, hard wood floors, and windows with seating areas. Our room faced the park and St. Lawernce Seaway and provided us with a beautiful view. The daily breakfast was delicious and included eggs made to order, waffles, fresh fruit and juice and was available in the beautiful reception area / lounge portion of the hotel. Service in the lounge, restaurant, and hotel was excellent. I would certainly return to this property on a future visit.	
Jul 6 2006	good in a quirky way	We spent two nights here. Rates include full breakfast, a glass of wine between 5 and 7pm, and wireless internet. The location is perfect in Old Montreal; you can walk to a lot of things yet the area is quiet at night. The bedroom is large, the windows open, the king-sized bed is very cozy (positives); the floor slopes noticeably in room 506, which is annoyingly within earshot of the metal stairway to the rooftop terrace restaurant (negatives). Staff were all friendly and hospitable.	
Jun 18 2006	This is a terrific hotel.	It has everything. Tremendous charm (thick granite walls, huge windows, beamed ceilings, hardwood floors, wrought iron beds), helpful, friendly staff, great restaurant on site, perfect location in the heart of old Montreal. Breakfasts were very good. The omelettes were thin crepes with fillings - a bit different from ususal omelettes. I can not think of one thing that could be improved, except that the front desk volunteered to send in our GST refund forms electronically and never mentioned that it was a commercial service that keeps 20% as a service charge. I thought it was a government internet site that would just do the refund for free - as when it is mailed in. Oh well--- that helpfulness was not a plus.....Other than that, one terrific experience. My family would stay there again in a heartbeat.	
Jun 6 2006	I would recommend this quaint hotel	The Auberge du Vieux-Port was a great place to stay. We would stay there again! Their strong point was the friendliness of the staff. It’s in a good location to see the old town part of Montreal. The room we stayed in was on the side of the hotel on the 3rd floor and we found it a little noisy from the street traffic below. If you plan on staying out late, this won’t bother you. The rooms were nice, with old beams in the walls and ceiling. The furniture was modern hotel furniture (no antiques). We paid apx. $275 a night for 2 adults.We were given a full menu breakfast (or a food bar) for free each morning. The breakfast was very good. We had a variety of breakfasts the 3 days we were there, and we were pleased with every bit of it. Evenings we were offered free wine and cheese. This was a welcome touch. I would recommend this hotel.	
May 24 2006	Neat find!	Neat location on the front facing the port. We had a room overlooking the port so we'd open the windows and let the fresh air in, hear the noises from the street below and relax.Quirky rooms - nothing had a right angle! which in part is what made it neat. Bathroom was a decent size (the shower was tight). The room itself was plenty large enough and quite comfortable. Not modern but more importantly not dated. It was exceptionally clean.Breakfast was nice. We had dinner in Les Ramparts which was OK. It was a little too quiet and hence lacked some atmosphere. Had wine and cheese every night which was basic but their reception area/breakfast/wine bar is cute so neat to hang out and look out and watch the traffic...Service was exceptional! They actually care whether you have a good time (a rare thing nowadays).Would stay there again.....	
Apr 10 2006	Simply the BEST!	I can not say enough about this hotel! Our stay was fanatastic and the location could not be better. The staff were very helpful and looked after our every need (especially Evelyn at the front desk). We arrived tired and a little grumpy after being stuck in traffic for hours, but once we arrived the staff took care of our car. We arrived at happy hour and decided to get a snack while Evelyn got us dinner reservation at a steak house a few blocks away. He had drinks and great appetizers in the bar.We got to our room and it was better then the website could have ever lead us to believe. The rooms are spacious, beautiful and very clean. The windows look out onto the streets of the Vieux Port and give a wonderful feel of Old Montreal. The bathrooms are large and have jacuzzi tubs. The beds are so comfortable I didn't want to go home. This really is a great hotel that makes a stay in Montreal perfect!	
Mar 13 2006	Absolutely the best	We were guests at the Auberge du Vieux Port November 2005. The room was exactly what we were hoping it would be and more. Very cozy, brick, wood floors, a beautiful view of the river from large windows, and a large bathroom. We looked forward to returning to our room each afternoon and evening. The amenities were also very nice. The complimentary made to order breakfast was fabulous as was the complimentary wine and local cheese in the evening. The staff were extremely helpful. The location was also great - right in the heart of the old port area within walking distance of a wide choice of restaurants.	
Jan 19 2006	A hidden jewel!	My husband and I just returned from a wonderful weekend at Auberge du Vieux Port. Everything was just perfect, just as we expected. Staff was welcoming, friendly and knowledgeable, always eager to assist us. Room had an intimate, romantic feel and our dinner in the hotel's restaurant Ramparts was our best dining experience ever. We will definitely stay here again and recommend it to all!	
Dec 18 2005	Wonderful Stay	My family just returned from a pre-Christmas weekend at the Auberge du Viex Port in Montreal. The room was beautiful and the beds were extremely comfortable. The best part was the exceptional attitude of the staff. They made sure we had recommendations of where to go and suggestions for dinner. They were friendly and gracious. One evening, the desk man even sought us out to make sure we knew there were fireworks over the river that night. When we arrived, we asked for additional robes and they were delivered within 15 minutes. This is a place we will return to. The Rue St Paul side was noisy at night- but quieter than many large cities we have visited. The location is excellent and everything we wanted to see was within walking distance. Our experience at The Auberge made our first trip to Montreal quite a delight.	
Nov 20 2005	can't say enough!!!	Just returned from a 3 nite stay at the Auberge du Vieux-Port.We were greeted at the door by name at 11 p.m. at night Our room was immaculate and more than charming. Roses on our bed,chocolates beside the bed. Breakfast in bed the next morning(breakfast is included in your stay an extra 5$ is charged for in room delivery)delivered in less than 10 min. from the call. All done with a smile and a very accomodating staff. Hats off to Matthew who parked our car delivered it to us at the appointed time with seat warmer on for me and car heated up inside along with carrying all my chrismas shopping bags...He even remembered which car was ours A wonderful spot to experience Old Montreal and only a short taxi ride away to downtown. A must to experience!!!!	
Nov 2 2005	Romantic. Beautiful. Amazing all around!!	My wife and I spent our first wedding anniversary in this wonderfully charming hotel. Our room was unlike anything we'd stayed in before; this is no plain Jane Hilton or Sheraton room. Between the warm, inviting and well-appointed room, the professional and attentive hotel staff and the great location, the Auberge du Vieux-Port has it all. It's unfortunate that some users have had such a rough experience, because we absolutely loved our experience at this hotel and would recommend it to anyone.	
Oct 20 2005	One of the best hotels we have ever stayed at....	If you are going to spend any amount of time in Montreal, be it on business, or for pleasure, you need to stay in this hotel. The location is amazing, as there is not another hotel in the city located so closely to the water. You overlook a cobblestone street which runs parallel to the water, and you are the foot of the Old City, so all the sights are within a minutes walking distance. Aside from the location, what makes this a truly special place is the service. We were attended to from the moment we walked in the door (before that even, as the valet (alexandre) was there to great us at the curb), to the moment we left, every need was taken care of. It is a small hotel, but the rooms are huge, beautiful, and very clean (not to mention windows which actaully OPEN), and the staff is as knowledgeable and accomodating as any larger hotel in the city, if not more so.You must stay here, you simply must. Les Remparts, the restaurant, was o.k. not great, and VERY expensive for what you get, so I might suggest trying something else, but aside from that, it's the perfect hotel for your stay in this lovely city.We will return.	
Oct 18 2005	The Inn the people the food the location: Awesome!	The inn is housed in an old building with lots of brick, stone and bear beams. The rooms are lovely, old world blended with modern comforts. Ours overlooked the river and had large panoramic windows. Found the bathroom very spacious with exceptional toileteries. All staff were polite and helpful. Very knowledgeable sommelier. The food was amazing:most luxurious part of stay. Breakfast was very good but dinner out of this world, high end french cuisine. The wine and cheese cocktail, a nice touch to our stay.Location was ideal, away from the hustle and bustle of downtown. Overall, one of my best hotel experiences. Absolutely no complaints for me. Will definitely stay here again!	
Oct 3 2005	Worst hotel service I have ever experienced	I didn't stay. They didn't have my room, so they talked me into a supposedly &quot;better&quot; room at a cheaper rate since it only had one bed and we had reserved a room with two beds. Better? The bed was in a loft space I'm too tall to walk in, and the smelly Motel 6 in Hollywood had cleaner bathrooms than this place. There was a nasty, mildew covered shower in place of the jacuzzi tub the room I reserved had, and this was all up several steep flights of stairs a few blocks from the hotel. And not only was I offered no apologies for them not having my room, but they tried to blame it on me, telling me I had booked the room for an earlier date and was a no-show. Too bad for them I had my confirmation email as proof. Too bad for me I'm still dealing with the paperwork disputing the no-show charge to my credit card. They treated me like dirt. I'm young, but I travel a lot both for work and for fun. I've seen everything from excellent customer service (the Gaylord Opreyland hotel in Nashville treated me like a queen) to non-existent service (Motel 6). I'd take a Motel 6 over the Auberge du Vieux-Port anyday. Then it'd only be $50 to dispute on my credit card instead of $250. And the bathroom would be cleaner (yes, it was that bad).	
Sep 28 2005	Wonderful!!	Just returned from a 4 night stay at this property. We found the staff to be friendly and helpful. Our room faced the river and was beautifully furnished.The accomodations were great. We really enjoyed the jacuzzi and toiletries that were provided.The daily breakfast was good. Service a little lax..more a matter of not quite knowing who the server for your table was. Nightly wine and cheese was another plus. We had dinner at Les Remparts one evening and the waitstaff was excellent as was the food and service.The location of the hotel was convenient to the metro and Old Port.We will return again.	
Sep 12 2005	Lots of Personality with a view	Enjoyed this hotel very much. It is right in the old port area (near everything). The room was lovely with a huge bed and nice linens. The bathroom was one of the nicest bathrooms of any hotel I've stayed in (nice whirlpool bath too). The breakfasts were nice too. The only complaint I would have was the noise. We were on the 4th floor with a view of the port and the park area in front was a bit loud. We used our earplugs a couple of times but would still recommend this hotel.	
Sep 12 2005	Very Romantic	My husband and I stayed at Auburge du Vieux-Port for our 3rd anniversary and loved the accomodations and the staff. The rooms are so unique and charming. We happened to have a room with a view of the Saint Lawrence River and were very pleased with what we got for the price. The staff was exceptionally friendly and accomodating and more than willing to help with any suggestions for things to do in the Montreal area. My only small complaint is the road noise. My recommendation would be to get a room that is not directly on the street as the road noise is a bit loud and we awoke a few times to the sound of the train. Otherwise, this is one of the nicest, most romantic hotels we have ever stayed in.	
Sep 6 2005	Prententious and Overpriced	We have very little good to say about this dinghy over priced prententious hotel.Arriving at 3.45 p.m. after a long flight our room was not ready until 5 p.m. The room was OK in the old French style but could not be compared to other hotels such as Marriot, Best Western for comfort. The TV controls did not work and despite repeated calls were not repaired.The dinner in their restaurant was a disaster, over priced again, small Sea Bass in a pile on the plate, tasted awful.The Wine welcome with cheese was indescribable, the wine was tart and the cheese was crumbled. The service was a joke.Breakfast consisted of two cold fried eggs with lumps of fried potatoes, all luke warm. One guest sent her breakfast back twice before trying to eat it.We complained and was told they were aware of problem. Breakfast next day was better but noticed one coffee jug for twenty persons and that the waiters and waitresses were not skilled in their functions or attentive.The sweet cakes provided were good.The hotel was gloomy and dark, there were always laundry baskets outside our room on first floor which was spacious but overlooked a noisy street.A good point was the free Internet access. Its situation is near to the Port which was full of vagrants and panhandlers. Do not sit on the benches!. The area is not very attractive and there is little to see.We did not enjoy staying here, it was the worst hotel we have ever stayed in having travelled extensively and the staff, embarrased were aware of it.We found the receptionists very helpful arranging tickets to theatre and giving directions however, that is what they are paid to do.Cannot be recommended and we left Montreal a day earlier being very disappointed that this hotel charged more and gave less than the Freemont in Victoria or the Pan Pacific in Vancouver	
Sep 5 2005	Complete Relaxation in Pleasant Surroundings	We stayed here over the Labor Day weekend and completely relaxed. The room on the fourth floor was completely as pictured (no trick photos), and the bed, while a bit hard for my taste, was made up with lovely crisp linens and a fluffy duvet. The windows even opened wide to let in a nice breeze. We slept and slept--early to bed, late to rise and a nap each day, in between forays into the immediate neighborhood, Old Town Montreal. We ate in the hotel restaurant one night, and it was pricey but quite good (there are plenty of good restaurants nearby in all price ranges) and our waiter was sweet and had an encyclopedic knowledge of wines. We had no complaints about the hotel service, and we were especially pleased with the room's immaculate cleanliness and the promptness of housekeeping while we were out exploring. Truly a welcome and restful getaway. We'll come back to Montreal soon (all that sleeping meant we didn't get to see much), and we will stay here again!	
Aug 25 2005	Simply wonderful	As always I consulted tripadvisor before booking-! We loved this wonderful hotel!The staff were so incredibly helpful and pleasant. For the first night we stayed in one of the loft apartments around the corner-it was HUGE. Very tastefully decorated, fireplace, complete kitchen ,unbelievably comfy bed. Yes it is up three floors but the stairs just helped work off all those extra calories.Unfortunately, the next morning my daughter broke her foot. The staff could not have been more helpful- they moved us to another room in the main hotel near the elevator and treated her so kindly. I would not hesitate to stay here-the location is superb, the rooms are gorgeous and the staff outstanding!!	
Aug 22 2005	had a great time -	Wonderful place to stay - a little noisy but if you stay in the center of it all - you better expect it. Staff was friendly and knowledgeable. A definite recommendation	
Aug 22 2005	Impeccable service!	I'm really surprised at the negative comments this hotel has received.We stayed here for 1 night as part of a 3-week honeymoon and despite spending in excess of £500 per night in some hotels, I have to say that the levels of service we received here were possibly the best of the whole holiday!Given we only stayed for 1 night I did wonder whether they would offer anything complimentary for our honeymoon. I rang the hotel a few weeks before arriving and even the guy on the phone couldn't do enough to help us - this gave me a good feeling even before we got there.We arrived in our room to find a bottle of champagne and some chocolates - and they were indeed complimentary.All the staff were extremely helpful and gave lots of advice on were to go in the city.I can't say enough about this hotel and would highly recommend a visit.	
Aug 6 2005	Nice situation shame about the service!	We booked this some months ago based on the fabulous reviews on tripadvisor at that time. We agree that the location is great, rooms spacious, nice big bathroom and shower, bed really comfortable, and breakfast and ( a glass) of wine and cheese thrown in a bonus. All as you would expect given the prices. At floor 4 we overlooked A/C units on adjacent rooftops, so I wouldn't suggest paying too much extra for &quot;a view&quot;. The real downside in our view was the lack of service that other guests (and the visitors' book on public display) seem to rave about. We first noted this in the Terasse at lunch - overpriced and limited food on offer; service very slow; and the rice on the &quot;prawn and rice&quot; dish failed to materialise. When questioned we were told the menu was inaccurate, i.e. 50% of the dish no longer existed- no apologies, no offer of a refund. One of our rooms wasn't ready until 4 pm- again no apology offered, despite check in being 3 pm. We encountered the same indifference when we ordered a bottle of (overpriced) wine on the hotel's street terrasse - when we eventually got the waiter's attention, he asked if we were sitting there waiting for a taxi! Wine appeared eventually and served very grudgingly, no further sign of the waiter so we had to pour refills ourselves, until he brought the bill (not requested, who knows, we may have wanted to order another bottle?!), where he overcharged us on the already inflated price- no apology was offered when we pointed this out. And whilst there were always staff lurking with walkie talkies in the (dark and dingy) reception area, they never onced offered to open the door for us, so we still have no idea of their function! The other annoyance if you're on a top floor is the fact there is only one lift, that also serves to carry staff and food up to the top floor restaurant, so when it does eventually appear, it is often too full of staff for you to get in - and of course, they don't offer to take the stairs to allow guests to travel up and down. So if you do stay here, we'd recommend doing your dining and drinking off-site and maybe also stay elsewhere, until the staff remember that they are there to serve the hotel guests, rather than decorate the place and chat to one another.	
Aug 4 2005	I'd LIVE in this hotel if I could	My husband and I stayed at the Auberge du Vieux Port for 2 nights in late July and agree that this hotel provided us with one of the greatest rooms and experiences we've ever had in a hotel.Excellent location. Extremely helpful, friendly, personable staff. Upon check in the woman at the front desk took out a map and indicated our present location and then took her time circling numerous sites of possible interest. Very generous breakfast including eggs, fruit salad, yogurt. Just as generous complimentary wine and cheese in the evening. Great rooftop bar/restaurant with fine views.BEAUTIFUL, decadent room: bright, spacious, brick, king bed, hard wood floors -- urban, sophistocated, elegant, yet tout à fait comfortable. Windows that open to the street as music wafts through the air. Or close the windows and select your own music for the cd player provided. Relax in the jacuzzi tub with the Auberge's quality bath salts and powerful jets. Turn down service includes not only chocolates on the pillow but also the weather forecast for the next day.Two recommendations both in walking distance of the hotel: the restaurant &quot;Modavie&quot; -- great wine and live music with dinner. Also check out &quot;Jardin Nelson&quot; for some quality jazz outdoors and an after dinner drink.I should mention the two small negative experiences at the Auberge. Our room was not ready for us at check in time. We went to the rooftop bar and had drinks (not comped) and returned an hour later to the front desk. Still not ready and still nothing offered for our trouble. In 10 minutes the room was finally available. Also, one morning I ordered a hot chocolate with breakfast that was divine. I assumed it was a usual beverage choice such as coffee or tea that is included. No. I was told afterwards that I had to pay for it. Not a huge deal, but I thought a bit out of the ordinary.Nevertheless, I would recommend this hotel 100%. My husband and I loved Montreal and would return to the Auberge in a heart beat.	
Jul 29 2005	World Class Hotel With Warmth!	My husband, teenage son and I just returned from five nights at this wonderful Hotel. We had two connecting rooms on the third floor overlooking the Saint Lawrence River. When we arrived exhausted after a long drive, they were warm and welcoming and quickly helped us get settled in our rooms. When we ordered room service from the Restaurant, they brought an extra table and set up our elegant and delicious dinner for us. Our King Size bed was the most comfortable bed we have ever slept in other than ours at home. The jacuzzi was deep and comfortable. The rooms were even more beautiful and spacious than they appeared on their website. It was so nice to have a CD Player in our rooms and to be able to choose CDs from the Hotel's own collection.The full breakfast was excellent with many choices including omelettes, croissants and other pastries. In addition to Les Ramparts in the Hotel, there are several good restaurants within a few blocks of the Hotel including a little cafe (L'Intrigue) specializing in seafood, mussels and &quot;frites&quot; which is a 1/2 block from the Hotel (out the front door and to the right).All staff members were friendly and helpful yet low key. We have stayed in Hotels around the world and it will be difficult to be satisfied with anything less after having experienced the Auberge du Vieux-Port!	
Jul 29 2005	great but noisy	Charming hotel but can be very noisy on the weekends. The rooms facing away from the water had the late bar crowd. Could not sleep that evening. Sunday quieted down substantially. Staff was very friendly and helpful with planning activities for children.	
