	Great location but that's pretty much it	Right in the middle of downtown, next to a metro station, I couldn't ask for a better location. However the room was nothing special. We had a king bed with pull out couch suite (with a small kitchen). There was nothing blatantly wrong, but it was the little things that showed that this hotel is not a luxury one. The appliances were dated but worked fine. The bathroom was tiny and in need of an update. There were a few little holes in our bedsheets. One power outlet was not working. The list goes on, but none of those things really had an impact on our stay. We did not have to deal with the staff much so I can't comment on their helpfulness.It's a convenient place in a great location for a good price. It worked for us, but don't stay there if you expect luxury	
Apr 10 2008 	Nice Hotel good location	Hotel was a very pleasant stay, front desk was nice and friendly. Not the newest one in the area but comfortable and close to most anything you wanted to see. My wife and I were there on business but found time to do some sight seeing, in snow and all. Shopping and eating was in walking distance in all directions.We had studio room with a little kitchen et, small fridge perfect size for storing drinks. Little convenience store right across the street along with an internet cafe if you didn't bring your own computer, but the hotel is very reasonable on their wireless charge of only about $5 per day. We book for Expedia and they had a terrific rate for the hotel when booked with a flight.	
Mar 30 2008 	Le Cantlie	Spent 3 weeks there, overall it was okay. It's 22$ a day for the valet garage parking ($$), the rooms are big, I say rooms because when I got there I had my studio suite with one queen bed, which was reserved then 2 1/2 weeks later I had to switch room because they were doing renovations from level 15 and up so I ended up having the one bedroom suite which has an elegant French doors leading to a private bedroom. That was nice. The staff is courteous, the valet staff were wonderful. Obviously the pool was closed (winter time), the resto/bar was kind of quiet due to the season.	
Mar 2 2008 	Nice Boutique Hotel in Shopping District	Well a group of friends and I went up to montreal for reading week, and from all the reviews we were concerned. We got a good deal off of Expedia and were only staying one night. When we arrived we found the staff to be pleasant and attentive. The room was a non-smoking (did not smell of smoke at all) 2 Queen studio suite which was large enough to fit all four of us and baggage. All the furniture was clean and well kept and the bathroom was clean as well. The beds were really quite comortable and the linen clean and warm. They also had a free service that held our bags while we went out to shop on the day of the check-out. The only small draw back was the kicthen in the closet, something I have never seen in other suites. But the fact that there was even a small kicthenette (with microwave, coffeemaker, fridge, stove and sink) was a plus anyway. And it was also in close walking distance to the metro.	
Feb 24 2008 	A Hidden Gem in Montreal	Booked our room through hotwire.com for $83/night the night before check-in. Hotwire rates it 3.5 stars which is accurate. Some of the reviews on this site caused us some worry, none of which came true. From start to finish, every staff person we encountered-- front desk, housekeeping, restaurant, housekeeping, were cheerful, helpful and chatty if you wanted them to be. I suspect there may be some rooms of lower quality (possibly set aside for priceline and hotwire?) that are causing a problem. Our room was large, with 2 queen beds, a nice view (including the recent full lunar eclipse!), little kitchenette, small but nice bathroom. Furnishings (except the small TV) were up to date. The mezzanine restaurant is lovely with friendly waitstaff. The continental buffet breakfast, at $10.50 is very reasonably priced with a large assortment of things to eat and drink. I think the walls may be a bit thin, as we could hear the TV in the next room one night. Very comfortable beds and linens. Great location in downtown Montreal. One reason they are cheaper and lose 1/2 star is because the pool is seasonal (rooftop), the exercise room is small and they charge extra for internet; so for a low price you get 4 star accommodations with fewer extras. For us, that is perfect.	
Feb 21 2008	Decent Hotel - not so decent service	I stayed at the Le Cantlie Suites and the location is great, 2-3 blocks from Saint Catherine street and right near an awesome Indian Restaurant and about a $15 cab ride to the casino. The room was decent, probably a 6.5 out of 10. For 4 guys we had 2 suites and we checked in early friday afternoon, but later on we went out to pick up some drinks and as soon as we walked in, we were harassed by the front desk. They claimed they had a policy of accompanying anyone to their room who was bringing in liquor or beer. The gentleman came into our room, inspected it as if he were a police officer searching for drugs, and made several threats about us making noise (when we had spent only a total of maybe 20mins in our room before that point, and hadn't made a peep). I understand the noise issue from their standpoint, but I think it was very rude and unnecessary to make pre-emptive threats to us based on our appearance as young males coming in with liquor/beer. If we were making excessive noise, then they have every right to come up and complain at that point, but NOT before then.Overall, I'd recommend this hotel to an older crowd, but not a younger crowd looking to party/drink	
Feb 19 2008 	M'eh.....	After finding an incredible deal on Hotwire, we booked Le Cantlie Suites Hotel. Not a bad place, but there were a lot of little things that could use an upgrade to make this hotel a great value. For one, the flowers in the lobby were all wilted when we walked in, and the gentleman working the desk was less than pleasant. The room itself was nice, but the wallpaper was peeling/bubbled on the wall, there were chipped tiles in the bathroom, and the faucet in the tub was leaking. There also weren't many towels, which always bugs me. The whole &quot;suite&quot; concept seems like a misnomer - yes they have a fridge, a coffee pot, and an extra sink, but other than that, the room was just a hotel room with these things, not a suite. The room was spacious and clean, but the walls were PAPER thin. We could hear folks in the rooms next to us talking, and every morning around 7:30 a.m., you could hear the shower from another room above us going. It was LOUD. So loud that it sounded like the pipe had burst.All and all, the hotel wasn't bad if you're looking for a good deal with a great location (steps away from the Peel Metro Station and the shopping on St. Catherine Street). On our next visit, I would spend the extra $25 - 50 a night and stay at a hotel where they go the extra mile to make guests happy.	
Jan 6 2008	Great Experience	I did alot of research on hotels in the area before booking I found this to be the best value, it is a walking distance from all the downtown shops and restaurants and right next to the Ritz Carlton...so we knew it was a great spot and a better value. The pool doesnt sayopen all night unfortunately...neither does the bar, but it was clean and neat and there are floor to ceiling windows. Overall, It was very cozy and pleasant.	
Nov 30 2007	Clean pleasant comfy and convenient	Spent 4 nights at this hotel in July during the Montreal Jazz Festival (see note below) and loved it. I encountered no rudeness whatsoever, quite the opposite in fact. Every member of the staff always greeted me with a smile. Reception is indeed busy, but someone always had time to happily answer my many questions and share tips. I specifically asked for a quiet room, ideally on a floor without any big groups, and got it. Room was quiet and spotless for my whole stay. So clean that I sent the hotel an email to compliment housekeeping when I got home. As other reviews said, location is great, rooms are spacious and kitchen is handy, especially with $1US to $1CA exchange rate. Some may find beds too soft, I found them comfy. Didn't try the pool or breakfast. Paid $104US per night for a wed. to sun. stay thru Entertainment Book. Planning to stay there next year, too.Note: I don't want to mislead anyone, this hotel is not in the immediate area of the Jazz Fest. I mentioned it to make the point that I was there during a busy time and still got wonderful service!	
Nov 9 2007	Thanksgiving at Le Cantlie Suites	We very much enjoyed our Thanksgiving stay at Le Cantlie Suites on Sherbrooke Street in Montreal. Our room was large, clean and comfortable, and had a nice southern view. The staff were cordial and professional; and the hotel's location was ideal.	
Oct 15 2007	CAN'T Deal with issues	We showed up to the hotel and everything seemed fine it was great during the day.... but when we got back to our hotel to actually sleep they booked us on a floor that was packed with church going 18yrs old who would yell and slam doors in the halls... we are repeatly asked them to stop after an hour we got so sick it happening we call the receiption area and they said they would take care of it well we thought they did they sent a security guard up to the floor and he walked down the hall and then returned downstairs.. .... the people continued and seeing how they don't seem to train security very well we decided to leave at 1am.... speaking with reception they said that they could not refund our money at that time but we should call back the next day and they will do it (making the mistake and doing it) we returned home and called the next day to get the answer we are not sure.. well insulting me and saying I was lieing.... call back the next day speak with manager who is not much better Clare ...when you get a little upset she threatens you that she will not do anything for and will hang up... still they can not give any answers about this situation.... they can not even answer questions about the situation.	
Oct 5 2007 	Fantastic Hotel and Truthful Reviews	Booked this hotel through Expedia and got a great deal for the four nights I stayed at this hotel.Upon check in (which I arrived early for) they immediately found an available room and checked me in quickly and efficiently. I had booked a studio room which I was given, on the 14th floor with a view overlooking downtown Montreal.The room was very spacious with a queen bed, european kitchenette (with fridge stove/oven, dishes, coffee maker, and cutlery), and large sitting area with a sofa, writing desk, and large armoire which held the television and drawers to put clothes and items in if you chose to. The bathroom was also large with plenty of counter space, towels, and toiletries (which were replaced daily).The room was very clean and the housekeeping staff maintained this for my entire stay. I had also asked for extra items from them on one occassion and they provided such with pleasure!The hotel itself has a roof top pool which is available to guests and offered a great view of the downtown area as well. I unfortunately can't comment on the breakfast or other meals in the hotel as spent time in other restaurants in the area and throughout Montreal.The subway/metro is approximately 1 block from the hotel and 2 blocks from St Catherines for shopping and restaurants. Sherbrooke Street also offers fantastic shops and restaurants within walking distance and also on this street is McGill University within walking distance.Overall, I can't say one negative thing about this hotel or my stay here. The staff I came across over the five days were friendly, professional, and went out of their way for me if I asked-and I also watched them do this for other guests requesting assistance. After reading previous reviews of this hotel, I find myself &quot;shaking my head&quot; at all the negative comments as this was not my experience in any way and as a very experienced and frequent traveller who often is very picky, I thought this hotel was wonderful!	
Oct 2 2007	Horrible experience	The staff is so rude, it will take your breath away. The hotel was as noisy as hell at night, and when I went to complain to the front desk in the morning, they yelled at ME for not calling security in the middle of the night! The room is so dusty that if you are allergic to dust, you will sneeze all night. TAKE YOUR PILLS! My room was not ready before 5.00pm!!! The only upside is the convenient location, minutes away from downtown Montreal. Don't go there, you will find tons of nicer hotels in the area.	
Sep 27 2007 	HORRIBLE RUDE STAFF!!!	I stayed at this hotel with 7 of my friends (all young professionals) because it was conveniently located right in Downtown Montreal. We spent over $1300 on our 4 hotel rooms and they decided to over charge us (above and beyond the Priceline costs) based on a &quot;Security Report&quot; while trying to pretend it was a &quot;Police Report&quot; that was filed (for which we are still trying to figure out what for). While trying to get the situation sorted out in a civilized manner, the Manager had the odasity to threaten to call the police for us requesting to view the &quot;check-in&quot; document we had signed at check-in time. He claimed it was a &quot;Hotel Document&quot; and could not be released. Not only did he not let us SEE the document we signed, but the staff at check-in would not even provide it to us in English, even though we requested it. We had to sign it in French, when we do not speak French, and Montreal is supposed to be a bilingual city!Overall, the staff was unfriendly, and in particular, the Hotel Manager, was incredibly rude and knew nothing about Customer Service.This hotel is definitely NOT a 4-star, not even a 1-star. It should not even be listed as an option on Priceline. I would NEVER recommend it to anyone.	
Sep 13 2007 	Good price and Great Location	Stayed at Le Cantlie Suites for four nights this month on a recommendation. It worked out extremely well. The one bedroom was unusually large, clean and well appointed even if I didn't care for the carpet colour - but that's my thing. It had a view towards downtown which was spectacular. We had one large group of visitors on the third night and the suite never got crowded.Most of the staff went out of their way to be helpful and the restaurant was handy. When we asked for extra towels they were deliverd in 15 minutes.Negociating into the parking garage was a little difficult for my too large car but after one or two times it wasn't a problem.There's a zillion restaurants in the area, many of outstanding quality - probably a better and more interesting selection than in Toronto.Le Cantlie is located on a classy district on Sherbrooke Street. near anything downtown and a three minute walk to the subway. There are art galeries and the Montreal Museum nearby. It's an interesting and elegant area to walk.All in all it was a hassle free stay, easy to get to off the downtown expressway and the rate was much better than the major chains that I had checked. Highly recommended.	
Aug 25 2007 	Not bad - good location - large rooms	This is a reasonnable priced hotel in a very good location. The rooms are rather large and the personnel pretty nice and friendly. They were a little bit disorganized at check in.Clientele are medium size budget travellers that just want a clean room in a good location in Montreal.We had a little bit of noise from the neighbors talking loud, walls seem pretty thin.I would still recommend.	
Aug 23 2007 	Not bad but needs some improvements.	The price was good for the hotel. Had a very nice European kitchen at which we did utilize. I would stay there again if I absolutely needed too but wouldn't pick it as a first choice. The location was great. Right near the hot spots. The downsides are, that the parking was very expensive,$22 a day, the continental breakfast was VERY expensive ($15pp for hot) for what we got. Food overcooked and some undercooked. Better off going to a restaraunt. Every time we needed to make money exchanges they told us they couldn't do it but left the sign out saying that they would and do offer to exchange money. Very dissapointed about that because it put us in a bind. It wasn't a HUGE let down but I'll never forget it. Sometimes we received staff that was very helpful, and some that were not and seemed snyde.	
Aug 18 2007 	The staff... Not helpfull! WOuld not go there again!	It was my parents' 40th wedding anniversary. My sisters and I wanted everything well planned.After seeing an add on this tripadvisor website, I decide to contact directly the hotel to make sure there would be no communication problem.I was told on the phone when I made the reservation that the breakfast was included.... to find out at check in... it was not. I was also told there was a valet... which was perfect since my sister and I wanted to escort our parents to there room and had organized a little &quot;mise en scene&quot; tho celebrate the event..... saddly.... there was no valet. The lady at the front desk tells me that there is in fact a valet but the parking is at the back of the building.... When I get there... the parking is full! Our surprise &quot;mise en scene&quot; and schedule was mixed up and delayed and my sisters performed the &quot;anniversary surprise&quot; without me being cut up in finding a parking space!What disturbed me the most about those events is the lack of efforts and empathy from the staff at the front desk. I felt as they did not beleive me when I recalled my conversation with the reservation staff whyle defending themself it was not there fault and that they would have to inquire! My event, my problems were NOW... not eventualy when the regular staff would be there. I was greatly surprise there was no duty manager (who has usually more power of decision and is more &quot;happy customer&quot; oriented) on site. I am very desapointed about the (non) consideration to the guest service concept! There was absolutely no desire to help me, understand my point, nor intention to find solutions to my problems and see a happy customer!	
Aug 9 2007 	Alright hotel pretty good location friendly staff	There were many positives about the hotel. It's in a great location, near the Museum of Fine Arts, shopping on Ste. Catherine (although, I thought the shopping was better in other neighborhoods. Honestly, most of the stores in the downtown area are no different than what you would find in New York, Chicago, Toronto, etc.), the Metro, good restaurants, Crescent Street nightlife, etc. The rooms are large (judging by my room, which was the smallest available room when I booked the hotel.) and clean. And yes, the staff all were bilingual (I'm fairly certain just about everyone in Montreal is), and friendly. The bartender offered suggestions on what to see and do in the city during happy hour (5-7 pm, Martini's for $9). The rooms include a &quot;kitchenette,&quot; which in my case included a refrigerator, a toaster and a microwave. The hotel simply asks you to leave the kitchenette as you found it. Obviously, they intend it to be used for light meals and don't want their staff spending large amounts of time cleaning up after a major culinary undertaking. The air conditioning was efficient, and quiet, which was a nice change of pace since I have a window unit at home. My bathroom was large, and I requested a room with a queen sized bed and a couch and coffee table. The room service menu was reasonably priced, and though I never ordered any real food, had I not been in a one of North America's culinary capitols, it's the only time I've looked at a room service menu and thought I'd actually be willing to pay the prices (since this trip was on my dime, and not for business). The hotel also features a roof top pool, which I imagine is nice most of the summer since Montreal gets pretty hot then. It wasn't terribly hot when I was there, so I didn't use it, but it looked nice. Just don't expect an Olympic sized pool - it's a roof top pool in downtown Montreal afterall! I was on a higher floor, so I didn't hear any noise from the street at all. Overall though, Rue Sherbrooke doesn't seem to be one of the more bustling streets in Montreal, so I can't imagine it was that bad on the lower floors comparatively speaking. However, when you're in downtown Montreal (or Chicago, New York, San Francisco, where ever), I think you can expect some noise (afterall, when do you think they're going to collect the garbage in a major commercial district in a major city? 5 am or 10 am?)Now for the negatives: While the hotel is clean, spacious, and nice, it really could use an updating. The wallpaper screams 1989 - not ugly, just dated. The drapes were ugly though. But, they kept the light out at night and in the morning. Honestly, I don't know how much of a negative it really is unless you're looking for the coolest, hippest hotel to stay in. A lot of nicer, but older hotels have this problem. What looked great 15 years ago, doesn't anymore. Time to renovate! Another clue that the hotel needs an update - they still use actual keys to the rooms, and not magnetic strip cards for the locks. Now, I kind of hate those cards in some ways - get em too close to your credit card in your wallet and they don't work - but after a couple glasses of wine, an unfamiliar set of keys is hard to use! Another slight annoyance is that the bed was right next to the kitchenette - so close, that I had to push the bed a couple of inches to open up the doors to the kitchenette every day (I think the maid kept pushing it back). It also bothered me that the hotel puts a card in your bathroom explaining that unnecessary washing of towels wastes water, and requests that if you want your towels replaced to throw them in the bathtub and they be replaced. Otherwise, hang them back up and the maid will leave them. Well, I hung mine back up every day, and yet I still had a fresh set every single day. Also, the stopper in my sink was broken, and when I notified the front desk and asked them to sent a maintenance person to look at it, no one came the first day, and afterwards I think the maid just pulled it out of the sink. To be fair, I didn't complain again, because it wasn't that big a deal. The hotel offers complimentary coffee in your kitchenette everyday. Don't bother. I made it twice (the second time with half the water), and it was brown, hot water both times. The only room service I ordered was a carafe of coffee. Also, there's 28 floors and 3 elevators. Sometimes you have to wait a bit. Also, one ice machine for the whole hotel. On the 27th floor.One note of praise for management. When I checked in I was a bit concerned as I was watching two groups of young people in front of me go in to the hotel with cases of beer. I was getting a little nervous, as I know how loud I was when I was college aged and drinking with a group of friends. Someone who I think was a manager pulled them aside to talk to them about the amount of noise that was coming from their rooms, and explained to them in a very respectful way that their behavior was bothering other guests, hurting the hotel's reputation, and could potentially cost the hotel money in lost revenue. He went on to explain that if he had even one more complaint, they would be forced to leave the hotel. The kids seemed to get it, and I sighed in relief! For a second I was nervous that I was checking in to the Jersey Shore Senior Week in Montreal!	
Aug 6 2007 	Do Not Stay Here!	1. We had a SUITE for 4 people and were charged extra per night for this. This is fine, but you have nerve not leaving one towel per person. They left us 2 towels. I spoke to the maid to tell her there were 4 of us, she said we could only have 3 towels and she gave me one extra for that day only. Then she left us 2 each day. We had to scavenger the maid's supply closet every day for clean towels while she was attending to another room. Do you think this is relaxing for a guest???? Every day, she got 4 dirty towels, but it clearly didn't occur to her how they got there or that she should leave one for each guest. This is STANDARD to leave a clean towel for each guest. This is not unreasonable. Why are we charged an extra charge if you are going to treat us like this?. 2. One of us is pregnant. She told the hotel this and asked for 2 extra pillows because she needed them to sleep, and the hotel said no! Two of us forfeited our pillows to her so she could sleep, which means two of us didn't get any sleep during our stay. In a 3 star hotel, if a guest asks for extra pillows, the hotel should provide them. This is not an unreasonable request.3. We almost ran out of toilet paper, and the maid did not leave a roll when she cleaned the room. 4. The fridge did not keep anything cold. 5. The room AC did not work and the windows don't open so you suffer. 6. There was duct tape on the remote control. 7. There are 28 floors and only ONE ice machine in the entire hotel. 8. Our 4th person was sleeping on the sofabed and we had to call the front desk 3x to get sheets and a pillow. After the towel/pillow experience, we hid the sheets and pillow each day in the closet so we wouldn't have to beg for it each day. 9. Garbage trucks make a ton of noise very early in the morning and we heard them on the 6th floor. This is not mentioned in the hotel website. 10. Upon checkout, I asked to speak to a manager to discuss these matters and the desk clerk paused, said &quot;um&quot; a lot, and then said the manager just happened to have stepped out. How convenient. I think many people complain and this is what they do to avoid hearing how much the hotel stinks.We followed up afterwards, and the hotel refused to acknowledge that any of our claims were true. Montreal is wonderful and I have been there many times, but stay somewhere else. Do not stay here!	
Jul 31 2007 	Decent Hotel	I stayed there with my brother for a weekend. It is very centrally located good walking distance from everything. The only problem is that if you have to pay for EVERYTHING there. A dollar to use the phone even for local calls, If you don't clean the stove yourself they charge you $50. One thing is that the beds are VERY comfy. I slept like a baby.The restaurant there is on the expensive side. The rooftop pool was ok. I had expected a beautiful pool when I heard rooftop pool. It was no bigger than a pool you'd find in someones backyard with a wooden deck. Atleast it offered a nice view.	
Jul 30 2007 	Well used..	The hotel was very run down. Carpets, walls, furniture and bathroom seemed ready for renovation. Except from that the room was of good size and the location was good, a lot of restaurants nearby.	
Jul 28 2007 	Great location and price	Stayed at Le Cantlie for 4 nights. The location can't be beat. It's central to everything you'd want to see...if not by walking...then by Metro (subway) which is superbly easy to navigate...Peel station is less than 5 minutes walk. The rooms are a little dated and bathrooms could definitely use a facelift, but are functional and clean. Much bigger than an average hotel room which was great to have room to spread out. On the 14th floor...our room was incredibly quiet...no noise whatsoever from traffic or other rooms....and I'm about the lightest sleeper there is...so not having to use earplugs was a bonus! Air conditioning was great (and quiet...bonus) which you definitely need in Montreal in the summer....if you don't like hot, humid weather, better to come in the Fall when it cools off. Elevators are a little slow and busy, but there are 3 of them. Just keep this in mind if you're in a rush to get somewhere. Kitchenettes didn't have a microwave, which is kind of unusual in this day and age. Great view from the 28th floor deck, but pool was in need of some cleaning and TLC. The staff was extremely courteous and helpful. I would definitely recommend to anyone who is looking for clean, comfortable accomodations in the centre of this great city.	
Jul 26 2007 	choose another	If I went again I would choose another hotel. Yes, the hotel is in a good location but so are most of the others--ie. close to subway, shopping and restaurants. Le Cantlie does not have any better location than any of the other downtown hotels. The so-called kitchen is really a closet in the wall with no oven or microwave, just fridge and toaster with very few utensils. An older gentleman working the desk Friday nite when we checked in was rude and pompous. We did not use the swimming pool as it was on the roof and too cool. A hot tub would have been more appreciated due to all the walking/sightseeing we had done. Montreal is a great city and I highly recommend visiting the city just don't stay at Le Cantlie. I had made my reservation directly with the hotel, by calling, thinking this was better than booking online. This turned out to be a bad idea because while I am sure I informed them at the time of making the reserv that it was for four people--I was billed an additional $50.00 on top of the original quote I was given because my daughters (13 and 15) were with us too. This seemed to me like they were taking advantage of us--it was late Friday nite and obviously we could not go anywhere else and even if we did, we would be billed for this stay as it was after 6 pm. We had no choice, had they told us it would be an additional $100. we would have had to pay. I don't think this was right. Worse yet, after that exorbitant charge, no additional towels or toiletries were placed in our room on either night--only enough for 2! You'd think if they were astute enough to charge us for the additional that they would have been astute enough to inform Hskgp of that fact. As it was, a two night stay ended up costing us over $400.00 despite the fact it was booked months in advance. Beware Le Cantlie!	
Jul 13 2007 	Old but OK	It´s a good hotel with a great downtown location near the subway, restaurants, and places of interest. The service is not good. The internet service is terrible	
Jul 11 2007 	Great Hotel	We stayed at the hotel for 2 nights June 30 2007 for the long weekend. The rooms were very large and clean. The hotel charges $22.00 per day to park your car, soo you might want to park across the street to save some funds. The rooftop pool was great although the weather was not in our favour. We ate out for most of our stay and on the last night decided to eat at the hotel. The service at the restaurant was horrible it took 45 minutes for a Veggie burger and when the waitress brought our orders she mixed up every order. They only had one waitress in staff which was very disappointing and she acted as the bartender as well. The location of the hotel was great, everything is within walking distance or a cheap cab ride. The hotel could have more updated interior features but overall it was well worth the price. Other than the slow waitress the staff was very friendly and I would stay again but just eat out. Well worth the price for the location.	
Jul 1 2007	Will Return	My fiancé and I stayed for four nights in this hotel June 2007. I was very glad that we chose this hotel!The hotel was very clean. Our room was quite large and it was very comfortable. The floor we were on was completely non-smoking, which was nice. The room had a mini-fridge, which came in quite handy. The air conditioning worked very well and was quite. The bathroom was a little small and the showerhead wasn’t my favourite, but it was spotlessly cleaned everyday. The hot water was nice and hot and there was good water pressure. The note in the kitchen is not offensive or rude. It just states that if you leave the place a mess then you will be charged a cleaning fee. All of the hotel staff we spoke to were fluently bilingual. We speak minimal French yet had no problems communicating. Everyone was very polite and happy to point us in the right direction. The valet staff were exceptionally helpful! They provided us with maps and told us cool places to visit and gave us excellent directions to get there. Yes, there is a charge for parking, but you will find that everywhere in downtown Montreal, so don’t let it put you off. Even if you stay outside the city, you will still have to pay for parking when you come in. Our car was safe and the valet staff didn’t care how many times a day we bothered them.This hotel is in an excellent location!! We were a quick walk to lots of shopping and dining. This Hotel is easy access to everything. We walked a lot of places and even took the subway. The subway (aka Metro) stop is 1 block from this hotel. It was actually easier to take the Metro to a few places than take the car and pay for parking. Hotel Le Cantlie Suites is in a very safe neighbourhood.We thoroughly enjoyed our stay at this hotel and will be staying there again for our next trip. An great hotel and excellent value!	
Jun 28 2007 	Pleasant stay but not exactly what we expected	This hotel was located within a 5-7 minute WALK to the museum of fine arts, shopping/restaraunts/cinema on Rue St Catherine, the Queen Elizabeth and Ritz Carlton hotels and the Peel metro stop. While this location is certainly great and you def. do not need a car to get around, please note, the Hotel is not walking distance to Vieux (old) Montreal and the botanical gardins etc. Many hotel sites list ALL these attractions as though they all within arm's reach. From the Peel street metro, we needed to switch to another metro line after a few stops to get to old Montreal (cobblestone roads, water district, Notre Dame etc). Granted it was only a 15 minute ride there and the Botanical Gardens / Olympic Stadium are only 10 minute ride up on the same line, it's not exactly all in one place. Overall, I was happy with our location, but there's a ton of hotels in McGill Univ. area as well as in old Montreal which are equally accessible to all the attractions if you are near a metro stop, so I would suggest to make your pick based upon weighing out all considerations.The Hotel, itself, was somewhat dated and had a semi-pleasant staff. There was an elderly man who checked us, he printed out some form for us to sign in french and when I asked him what I was signing exactly, he gave a big huff and printed out another one in english. There was a female at the reception wearing shapely glasses who also refused to help me make a reservation for departing on the aerobus (airport shuttle) stating that it had to be done 24 hours in advance, which was BS cause this was never relayed to us initially by the airport shuttle folks who took us to the hotel and another female receptionist succesfully made the reservation for us within minutes after. The manager, Claire, was very nice though when I explained to her that we had an extenuating circumstance which required us to checkout a day early. There was also a younger boy with blonde hair who was very helpful in telling us about all the nearby attractions and directions. Housekeeping staff was nice to bring us extra toothpaste that we had taken away by TSA (even though it was &quot;travel size&quot; - TSA manages to always put a damper on my trips nowadays). Overall, the staff was pleasant, but nothing extra special. The beds, bathroom, sheets were comfy/clean and there was a beautiful rooftoop view/pool. The room had no couch as stated in our travelocity booking, it had an cob webbed, dirty balcony and a sink and fridge in a closet (kitchen). The TV was barely 19 inches. If you do not plan to spend much time inside, then it's not bad. We had no problem being outside most of the two days we were there, so it worked out well. If you stay 3+ days, you may want a nicer hotel to stay inside as most of the nearby attractions can easily be covered in 3 days. We even had time to see a movie at the nearby cinema - cheap tickets, $9 for 2ppl in the evening. Other tips: I would recommend getting to downtown by shuttle from the airport ($24 roundtrip). Don't try to find a train and switch to the metro, it may save you $10 bucks, but it's a pain b/c the train is quite a walk from the airport. I would recommend avoiding the grey line tours unless you're looking to kill time. the guides are not very good at discussing important facts or such, they just say what's on their mind and most of the stuff you can cover by foot or metro. I would recommend the botanical garden/ insectarium. The animals in the dome across were ok, too. The Notre dame and Old Montreal are def. great to check out. You can easily cover old montreal in half day and half day in the botanical gardens area. Or you can stretch it out to a full day, each. We ate a lovely, reasonably priced, vegetarian friendly place featured on travel network in old montreal: [--]It was a good crepe/fondue/quiche joint with locals and nice atmosphere.All in all, it was a quick, fun trip.	
Jun 20 2007 	Very poor hotel!	I loved the location of this hotel. Busy fun city, lot's to see. :) I didn't experience a lot of major problems with this hotel, but they deffinitly have a lot of hidden fees. I thought my rate for this hotel was too high ( 115US$) because of the service in the hotel, it was not good service from the employees, and the rooms were very dissapointing, by travelocity I was quoted a 3 star hotel, when I asked the housekeeping about the rating, she told me it was a 4 star hotel, which made me laugh :) The website also didn't include the extra $23 CA for parking, which is a large enough fee that needs to be included. The phones in the room was charging by call $1.00+tax for every call you make (800#'s and even local 514). The view was great it looked directly to the Sherbrooke Street :) which was nice, parking attendants were the only nice people in the hotel, because they want a tip ofcourse :) I wouldn't recommend this hotel to anyone, because I didn't enjoy staying there. The kitchenette was dirty, and very old. The breakfast was too expensive, 15$ for breakfast, that's expensive! I would prefer next time to stay in a BestWestern or DaysINN. I wish I knew to check this website before actually ordering this hotel. :)	
May 29 2007 	People make the difference	Great city good hotel. The Cantlie was a good inexpensive hotel and we enjoyed being so close to the downtown. Montreal is a wonderful city and we had a lot of fun. It was more like being in europe then the east coast. We will definity go back, it's a great city to walk around especially the older parts of the city with the narrow streeets. The hotel was nice but what really stood out was how great the people at the hotel were . When we were trying to get around the city the clerks took tthe time to print out some maps for us and told us about the old port area. We don't speak any french but everyone we met spoke english so it wan't a problem.	
May 6 2007 	very pleasantly surprised	I spent this weekend in Montreal for a family reunion. One of my relatives had picked this hotel as the place we would all stay. I live near Montreal and have stayed at many hotels there but I had not heard of Le Cantlie Suites. I was therefore somewhat concerned when I was told where we would be staying. These concerns were not lessened by reading the decidedly mixed reviews on this site. What a pleasant surprise. First, there was no problem with the parking. From some of the reviews, I thought there might be a shortage of spots and that we would have to go to a private lot. You simply turn at the corner of Peel and Sherbrooke and turn right into an alley behind the hotel which leads to the underground garage. A pleasant attendant was right there. Upon exiting the car we proceeded a few feet to the elevator which brought us directly to the lobby. It was all so quick. Once in the lobby we were checked in by a friendly desk clerk. I thought the lobby was nice but I also know that many hotels renovate their lobbies so that they are pleasant and new looking but when you get to the room, it is another story. Well, when we walked in the room we were very surprised at how large and nice the room was. The mattresses were very comfortable and the bedding immaculately clean. As it turns out, we had just stayed at the more upscale Marriott Le Chateau Champlain the previous weekend and the room at the Cantlie Suites was almost twice the size. There were two high backed sitting chairs as well. We had drinks at the second floor bar which looks directly onto Sherbrooke Street. It was absolutely lovely and the bartender could not have been any nicer. I realize that one stay can give the wrong impression--either good or bad, but based on this weekend I could defintely recommend this hotel. I don't know about the soundproofing in the rooms that others have complained about. We had an end room and therefore, there was only one room next to ours and maybe that room was vacant or had a quiet occupant but we never heard any noises. Yes, the elevators are small but there were four of them and we never had a long wait. Yes, the bathroom was small but that was a very minor concern. It was clean and the water pressure in the shower was good. The location on Sherbrooks is excellent. On the very next block on Sherbrooke is the Ritz-Carlton. On the next block on the other side is the Omni. Directly across the street is the Sofitel. Not bad company. A perfect location, just far enough away from the noise and seediness of St. Catherine St.	
