	Better than expected	I stayed here on a Priceline rate and had good experience. First off, they put me on the 32nd floor with one of the best views of Montreal I've had. (Those of us who are Priceline regulars usually expect something on a low floor with a view of the parking lot.)Second, the bed was fantastic.Third, you are right on top of the Metro.Yes, the room was dated and the lobby seems a bit fuddy-duddy if you're under 40. But overall, I would not mind staying here again.	
Dec 15 2007 	Very Traditional Hotel	A nice hotel with a very traditional look. Located very centrally downtown, within walking distance of nearly everything. The room is reasonable size with a beautiful curved window. We were lucky enough to have a room facing the square on the 23rd floor. The hotel has a 24hr gym which is convenient, however, we too were not able to use the pool as they were filtering/cleaning it. The hotel has direct access to the metro (take the lift next to the concierge) which is also connected to the underground pass. This proved to be very handy when it was pouring with rain. A couple of tips though, take the Aerobus from the airport as it stops outside the hotel, unless you're with a big party of people. Also remember although there is a flat fee for the taxi from airport to downtown a tip is expected and in our case, the driver will ask for tip.Also, supermarkets are hard to find, nearest one being near Place d'arts.I would definitely consider staying here in future.	
Nov 20 2007 	Charming hotel	Enjoyed our 2 night stay at the Marriot in Montreal. Good points include easy access to the Metro, Gare Centrale and the Underground City, together with breathtaking views and comfy beds. Room was very spacious and staff were helpful. Some may argue it's looking dated, but I see it as a traditional-looking hotel which retains its charm. Gym could do with an overhaul though.	
Oct 26 2007	Nice in parts	We have just returned from Montreal where we spent 5 nights in the Marriot. It was OK but I felt the decor was showing its age and the swimming pool was closed for either:a) Heating problemsb)Filtration problemsanyway it was closed.The bed and the views over the Place du Canada were wonderful but we were on the 6th floor and I'm sure they would have been even better fron a higher vantage point. Finally, and I know its not really then hotels problem, Canada is getting expensive, the rise in the value of the $ Canada hasnt been reflected in a lowering of their prices, so just beware its not the shopping,drinking,/eating heaven it used to be.	
Oct 18 2007 	Perfect Location	We just spent the weekend here. What a lovely hotel, and right in the middle of everything. The room was spotless and comfy, nice bath and body works products in the bathroom. Check in was a breeze. We ordered room service for dinner and breakfast. The food arrived hot and delicious, the trays were collected within an hour. We did not eat in the bar or restaurant, but both looked very nice. The hotel is within walking distance to everything, but we took advantage of the metro located directly beneath it and rode two stops down to Old Montreal. Ater exploring there, we walked all the way back to Crescent Street, and then back to the hotel. We stopped in Chinatown on the way back and enjoyed some treats we bought there. Upon returning to the hotel, we saw two different weddings at two churches across the street turning out, mixed in with hockey fans making their way to the Bell Centre. The area is convenient and safe. This will be our first choice for a hotel when we return. A bit of advice: valet parking is $24 a day, but you can self park for less by driving around the left of the hotel, and you will see the garage entrance. We chose valet because it had in and out priviliges, but due to the hotel being so centrally located, and the metro directly below, we never moved the car until we checked out.	
Oct 15 2007 	Great Anniversary weekend in Montreal!	My wife and I stayed at the Marriott this past weekend for our 10th Anniversary. We have never been to Montreal before but we will definitley come back. The hotel was beautiful and located in a great location as we were in walking distance of everything we wanted to do. We were wished happy Anniversary as we checked in. We stayed on the 19th floor overlooking the city. This was beautiful at night as all the rooms have big windows. Our view included the downtown with Mount Royal in the background. The staff at the hotel were very helpful and I never worried about the fact I didn't speak french. Visit the concierage desk as they can answer all questions asked about the city and provide maps and direction. Everything in Montreal's downtown is in waliking distance so just park your car for the weekend in the parking garage and get some exercise. The Bell centre is a block away. St Catherine street for shopping is a couple blocks. Old Montreal is a 15 minute walk. Great restaurants all around.You will also see and most likely ride the elevator with NHL hockey players while staying here. This past weekend the Carolina Hurricanes were in town. We will return to Montreal and stay at the Marriott again!	
Oct 2 2007 	Terrific Stay	We were at the Marriott for the Presidents Cup ---Golf Tournament --. Our stay could not have been nicer--The room was nice and the staff was great --We opted for the Concierge Level room ---it was about $29.00 more per day per person --It included breakfast, hors d'oeurves and dessert. ---The Concierge Lounge was a nice place to have in addition to your room --It really made a fun week even more enjoyable ---I would highly recommend it ---	
Sep 11 2007 	comfortable beds clean rooms great view great location	stayed here for 6 nites in late august 07. the beds were more than comfortable, and the rooms in tip top shape. very clean. if i needed a plate and knife, housekeeping will help in a jiffy.concierge helpful in main lobby.location was perfect. you can take elevator from lobby to metro, train station 2 blocks away, city travel info (2 blocks away), and in the middle of everything. a short walk to old down/port area or head in the other direction and get into heart of downtown, plateau, mont royal.on premises, shops, coffee shop, atm, etc very convenient.	
Sep 4 2007 	Just ok worse than Marriott in Quebec	We spent 1 night in Marriott Chateau Champlain in Montreal in September 2007. The hotel itself is very nice, beautiful and clean. We had a slight problem with the staff. We had a couple, and 2 people of different gender in our group and even though we reserved a room with 2 double beds, we needed an extra bed. We were told that we cannot have an extra bed in a room that already has 2 beds. Which was really disappointing as double beds are not as big as queen size and one person had to sleep on the floor. The way we were told all this info was almost rude as well. Especially since we came there from spending 2 nights in Courtyard by Marriott in Quebec and absolutely loved it(no problem with add'l bed). Concierge was not very helpfull as well. The room was fine, not very big, but sunny and spotless. We didn't have any problems with the noise but we were excuasted by the time we went to sleep. Valet parking costs $24/day which is fine. Location is pretty convinient, walking distance from the Old City, 30 minutes walk from Quartier Latin. I think next time we're in Montreal, we'll look for something else though.	
Sep 4 2007	a room for children only	I booked this hotel for 3 nights for my family - 2 adults and two kids - 15 and 11. The line at the check in was fairly long and there were only two persons at the reception area. When we got to our room, it was beautiful, but much too small. The beds were much too soft and much too small. We could barely fit. I enquired if there were larger rooms, was told that all the beds were the same size and promptly checked out the next morning. I would definitely not recommend this hotel to someone travelling with teenagers.	
Sep 4 2007 	Not Bad..not bad at all!	We don't usually opt for the Marriott, but overall this was a pleasant stay. The room was a decent size and the view was excellent. I think one of the selling points for the Marriot Chateau is the half moon shaped windows.Check-in was exceptionally quick. We stayed for 4 days and did not encounter any problems. The workout room was quite large compared to other hotels. There are about 6 treadmills, 2 elliptical machines, 3 bicycles, 3 steppers, and about 6 different weight stations as well as free weights. There is also an indoor pool.The metro is literally underneath the hotel which is extremely convenient for getting from point A to point B. Also, there is a free shuttle that takes you to the casino.If you are looking for breakfast, a close option is the cafe downstairs. We opted for the cafe down the street located in the train station. It was nice and decently priced(sorry I dont remember the name).Also, if you are looking for the Underground Mall. It is about 2 blocks up and make a right on Sainte Catherine's street. We entered the Underground Mall through the Gap store, but there are other stores that you can utilize to get to this destination.If you are into jazz, I would highly recommend the House of Jazz. The food is delicious and the entertainment doesn't disappoint. We went when Michelle was performing. Believe me...this lady can sing.So, overall the trip was great and the weather was a nice escape compared to the bistering summer we've been experiencing in Atlanta.	
Sep 1 2007 	Very Enjoyable Experience!	My husband and I were thrilled with our accommodations in Montreal. I initially tried to reserve a room at the Sofitel Montreal; but, they did not have rooms available our requested dates. We decided to go with the Montreal Marriott Chateau Champlain and were not disappointed. We drove to Montreal from Ottawa (we are orginially from New York), and when we pulled up, a porter was at the door waiting to help me out of the car! From check-in to check-out, the entire experience was great. Whether we went to the gift shop or the concierge desk or ordered room service, everyone was friendly and hospitable. Additionally, the hotel's central location put us one block from everything that was going on. I truly loved the time we spent in Montreal and look forward to taking another trip....and staying in this same hotel.	
Aug 24 2007 	Beautiful Hotel!	Stayed with my lovely wife and 6 year old daughter at the Marriott Chateau Champlain in July 2007 and July 2006. Visits were near perfect, if not perfect. Hotel staff; including concierge, restaurant , front desk, house keeping were outstanding. Our rooms were intensely clean and the views were incredibly enjoyable. The bed was a dream! The bathroom was average in size, but totally complete. Breakfasts at Restaurant Sameul de Champlain were near sublime. The pool and fitness center were very well maintained and totally enjoyable. Access to the Metro may be the quickest of any hotel in the city. Hotel is perfectly located to the Metro, Old Montreal,St. Catherine St. and the Bell Centre. Have often visited Montreal and stayed at the Queen Elizabeth, but for a complete hotel consider the Chateau Chateau. I most also comment on the cost,spending $135.00 -138.00 (Can) over the past two summers, very difficult to compete with, if not impossible in a major city in N. America. Great Hotel for a Great City!!	
Aug 22 2007 	Very nice hotel	Great location, helpful staff, we got a room on the 33rd floor. Beautiful view of place au canada and churches through large floor to ceiling curved window. Standard Marriott hotel service, would definitely recommend or stay at the marriott in old montreal.	
Aug 20 2007 	Rude front desk staff and did not receive room as reserved	Booked a room for 4 and requested two double beds. Checked in at the front desk and was told rudely the hotel was sold out and the only room they had was one with one king size bed. 4th person was made to sleep on the floor as they only would bring one bed to the room (it was a small room). No discounts or amenities were offered for the inconvenience.Would not recommend this second rate hotel to anyone. Only thing going for it is location. Many nicer hotels around that cost a few dollars more (like Queen Elizabeth - friendly staff and nice property). You pay for what you get.	
Aug 17 2007 	comfortable beds nice view of the city	Stayed here with my partner last year for our anniversary and we enjoyed it very much. The hotel is centrally located, very near most of the attractions and one of the best thing is entrance to the metro is inside the lobby area, just a few steps when you get out of the elavator- very convenient indeed. We were on the 28th floor, the room is nice, the bed is so comfortable that we were oversleeping each morning!. And the view of Place du Canada and Dorchester Square was unbelievable!.. Overall a great stay and would highly recommend it.	
Aug 12 2007 	5 Stars Canadian	On a ten day trip to Quebec and Ontario, this was the gem hotel to which I compared the rest. To begin with, the hotel is brilliantly located above a major Montreal Metro stop. The staff were exceptionally courteous and helpful, and the concierge provided us with trip-altering information about local Montrel events. Our room was clean, nicely decorated, and our beds were very comfortable. The windows for the rooms allow a wonderful view of the city below. Finally, the gym is open 24 hours a day, and very well appointed for a hotel gym- multiple aerobic machines including elliptical trainers, as well as nautilus equipment and free weights.	
Aug 4 2007 	Just OK	We chose this hotel for 2 reasons. 1) It's very close to the train station and we were arriving by train from Quebec City and 2) access to a metro station by simply taking an elevator in the lobby seemed convenient.Good thing there was a metro station right beneath the hotel because we sure did need it. I did not like the location of this hotel at all. It seemed isolated from everything we wanted to do. Old Montreal was simply too far away for us to walk so we had to take the metro. Rue St Catherine is even a pretty good hike.We did not eat at the hotel because it was expensive. There was really no place to eat within short walking distance of the hotel. It was either get on the metro or hike. The only place we could find to get a light meal or snack that was easy walking distance was the food court at the train station.The business center has computers but you have to pay (over $7 for the first 15 minutes) every time you want to check your email.The beds were very comfortable and the room was nice. The bathroom was not large but adequate. I liked the little hallway where the closet was that separated the bedroom from the bathroom.If I was to return to Montreal, I would stay at Springhill Suites in Old Montreal.	
Jul 30 2007 	No way this is a 4 star hotel...	OK, I'll start with the Good.Very conveinient that it is right above the metro.Big comfy bed.Nice warm Pool.Amazing view via the U shaped window. Very clean rooms.Good bathroom products.Dressing room is neat...THE BAD&gt;The hot tub was broken, windows were broken above the pool area. Pool is very hard to find. Bathrooms are SMALL. If you are going with a loved one, this is NOT a good hotel to have bathroom time together in. There is no balconey so you have no idea how to dress until you get down the 36 floors. No continental breakfast, unless you pay 17$ a head. The pillows were too thin alone, and too high stacked. Far away from anything you want to walk to, except the bell centre. For the money, you are better off elsewhere. i love the Delta!!! it has balconey, breakfast, great pool, cheap parking, its great!	
Jul 29 2007 	Beautiful hotel great room	Just returned from 2 nights at the Marriot Chateau Champlain and it was wonderful. Our room was on the 19th floor with a beautiful view of St Catherine's Basilica and downtown Montreal. The room was first class with super comfy king bed, a separate dressing area and lovely bathroom. Everything appeared fresh and new. All staff were very nice and helpful especially with restaurant recommendations, directions and valet parking. Many of the sites we were interested in were within walkiing distance, but if you don't like to walk or don't have access to a car, the Metro is right there. Montreal is a very clean and safe city and it was great to stroll in Old Montreal on a warm summer's night! Lovely hotel and we would definitely recommend!	
Jul 29 2007 	Loved Monreal	We stayed at the Chateau Champlain for two nights. Overall it was great. Valet parking is somewhat expensive but made life much easier for our family of six. Check in was literally five minutes. Our rooms were in immaculate condition upon arrival and advice from the concierge over the full stay was very helpful. Beds were great, very comfortable. Bathrooms a little small but still more than adequate. Did not eat in the hotel restaurant.Views from the hotel of downtown Montreal and Mount Royal were excellent and we found ourselves gazing out of the half moon windows and taking pictures often when we were in our rooms. Ask for room facing downtown for a great view. Proximity to various attractions is execellent. On the first night we walked to China town, Old Montreal, harbour front and shopping districts all within a 15-20 minute radius. I would recommend this hotel.	
Jul 27 2007	Great Value In Downtown Montreal	My wife and I just returned from a vacation in Montreal. We spent 6 nights at the Marriott Chateau Champlain at a great rate of $178.50 per night plus tax for two double beds (to get this rate we had to make a non-refundable reservation quite a bit ahead of time). We loved the room and the hotel. Everyone was very professional and helpful. The hotel is directly connected to the subway. It also has very helpful concierge service from 8 to 8.The only negative was the coffee in the dining room. It was poor every meal that we ate there.	
Jul 23 2007 	The longer we stayed the more I enjoyed the hotel	We arrived on a rainy Saturday ( July 14) afternoon after a 2 hour ordeal at Pierre Treadeau airport. That's another story! Check in was efficient and we were in our room within minutes. Clearly, the furniture had seen better days and the bathroom was only average, but all was immaculately clean. The beds were sublime. The hotel has switched over to the high quality pillowtop matresses and quality linens. When we switched to a hotel in Quebec City after 5 nights at the Marriott, I really appreciated those beds! High speed internet access is free and that is important to me as I am teaching online summer classes. Our favorite location for people watching was the hotel bar, which does a major food service as well. The servers were pleasant, but were not &quot;pushing drinks&quot;.My husband was attending a scientific conference at the Palais des Congress. We are into fitness and found the walk to the convention center an easy one, may 5 or 6 blocks. For those not inclined to walk, it is 2 metro stops. One can make the trip and never step outside. That would have been a pity as the weather was fabulous and Montreal is a gorgeous city. The hotel is about 3 blocks from the major shopping district, which is an interesting blend of designer shops and locally owned &quot;mom and pop&quot; operations.	
Jul 22 2007 	Comfortable stay	Have stayed at this hotel a few times now, and have always found it to be a comfortable place to stay. Check in went smoothly, friendly, helpful service throughout my stay. The rooms are pretty standard, maybe a little frayed at the edges, but very clean. The beds were really comfortable and have duvets rather than blankets, which I always consider a big plus. didn't use the minibar, but it's nice to have the fridge available. Can't speak to the really low floors, but most of the rooms I've seen from floor 14 up have ahd really nice views of the city. Good location, walkable to different eating and shopping areas. Would definitely continue to stay there when I'm in town.	
Jul 22 2007 	Loved the Marriott Chateau Champlain	My husband, 12 year old daughter and I arrived in Montreal by train on July 13, 2007. The hotel is walking distance from the train station and it's easy to spot the hotel from the train station since it's been described as looking like a cheese grater. We planned on driving to Quebec City Saturday morning and only stayed at the Marriott Chateau Champlain for one night. . The Avis car rental office was only a few minute walk from the hotel.We were on the 10th floor and had a beautiful view of the city. I booked a room on the Hotel's website for $149 plus tax. The room had a nice dressing area off of the bathroom. We had a nice breakfast at Rueben's which is a 5-10 minutes walk from the hotel. Another good place for breakfast is Cora's. Not too far from Reuben's. Their oatmeal is delicious. We ate there when we returned from Quebec City. We stayed at the Queen Elizabeth on our return because it's right above the train station, but I preferred the Marriott. If we are ever in Montreal again, I would definitely stay at the Marriott.	
Jul 17 2007 	First time visit to Montreal	First visit to Montreal for my wife and I along with our two teenagers. Initial impressions of the lobby were a little disappointing, doesnt work to give the 'wow' factor. Reception staff were very efficient and friendly and booked us into our Concierge Level rooms. This allows use of the 35th floor private area where snacks and drinks are available as part of the rate throughout the day and where the continental style buffet breakfast is served - the fresh fruit salad is great....The views are fantastic and the area has 2 Internet PCs available for use, although they can be prettty busy around breakfast and evenings!The bedrooms are large with views of the city or water with very comfortable beds. Rooms could use an upgrade though as they dont look very fresh, with wall paper starting to peel in a few areas but everything is clean and works.Hotel also has a gym which seemed to be well equipped, although I didnt use it. The 'SPA' is not up to modern standards and the pool could do with a major overhaul.Having a metro station located below the hotel was very handy and it was less than a 10 minute walk to Rue St Catherine which is a very long shopping street.Montreal is a lovely city and we were fortunate to be there during the Jazz festival.	
Jul 4 2007 	Excellent stay at the Marriott Chateau Champlain	Recently stayed at the Marriott Chateau Champlain for two nights, andenjoyed it immensely. We had been trying to decide between this hoteland the Marriott SpringHill Suites Old Montreal and Le Square Phillips, but finally decided on Chateau Champlain because we were able to get the amazing rate of $125/night American dollars. We encountered excellent service from start to finish, and were especially impressed with Patrice, who was a member of the concierge staff and was exceptionally friendly and helpful. We had a standard room with two double beds on the ninth floor overlooking the park and the downtown area. When we entered the first room we were assigned, the noise of the air conditioning unit was overwhelming and we were moved to another room on the same floor instantly, which we appreciated. The view was fantastic because of the unique floor-to-ceiling rounded windows. The room was comfy, the shower had lots of water pressure and hot water, and the beds were great. We asked for foam pillows to replace the down and these were obtained for us within a few minutes of making the request.The first night we were there the people next door to us spent a 15-minute period slamming their door over and over (don't know what they were doing!) but afterthat everything was quiet and we couldn't hear any noises.We were happy we chose this hotel for reasons other than just the excellent price. It is only a couple of blocks from the downtown shopping area and a pleasant 15-20 minute walk from Old Montreal. We were glad we weren't staying at Le Square Phillips, despite the greatreviews it gets on this site, because it is right in the heart of downtown. For some this would be a great location, but we prefer a little more peace and quiet and Chateau Champlain was just the right distance from the hubbub for us. All in all, a great stay at a very enjoyable hotel.	
Jul 2 2007 	Hotel Yes Food No	The Good: We thought the beds were very comfortable. The rooms were clean and well maintained. This Marriott is across the street from a Metro station which is 2 Metro stops from the Vieux-Montreal area, within walking distance of Jazz Fest and McGill, and easy to spot given its height and &quot;cheese grater&quot; appearance.The Bad: Although the restaurant service and presentation were excellent, the food itself ranged from good (breakfast, burger) to unimpressively average (Veal, Creme Brulée).The Room Service menu is extremely limited. Food arrived promptly, but was lukewarm. The front desk staff reminded me of Parisien front desk clerks, they were helpful and quickly tackled my requests; but were not a &quot;smiley&quot; or overtly welcoming group. .	
Jun 25 2007 	Fabulous Place to Stay	This hotel is in the heart of Montreal, located over the Metro station and a block and a half from the VIA Rail Central Station. Our room with two beds was spacious and had a large window with a view of the downtown area. We didn't try the main hotel restaurant due to the cost but did eat at the hotel bar. There is also a breakfast restaurant that apparently was not affiliated with Marriott that was adequate. Salons, gift and snack shops, and other stores inside and adjacent to the Marriott. The front desk will exchange up to $100 per day for a small fee. There is a park across the street and plenty of shops and restaurants within walking distance. Bon voyage.	
Jun 20 2007 	Big Hotel in the Center of Things	This is a big Marriott located right in the center of the city. It's one of the tallest downtown buildings and its half-moon windows provide wonderful views from all sides. The rooms were clean, well-serviced, and comfortable. The front desk staff was courteous and handled a number of diverse requests. The concierge was particularly helpul in reserving restaurants. She booked us into a nearby restaurant but just before we were to go there, she called our room to tell us that, due to police activity, the streets around the restaurant were blocked off and she immediately booked us into another, excellent restaurant. The hotel's own restaurant, while under-staffed, provided top-notch food for dinner and breakfast. All-in-all it was a great place to stay for our first visit to Montreal.	
Jun 18 2007 	Great location in downtown Montreal	Overall, this was an excellent hotel. The location was excellent, right in downtown Montreal and connected to the Place du Canada and the Montreal subway. The rooms on the upper floors (I was on 27) have spectacular views of the island. For business or family tourism, I would highly recommend it. If you're hitting Montreal for nightlife, I would recommend another part of the city. The valet cost was astronomic and most of the nightlife is not easy walking distance from the hotel.	
Jun 12 2007 	Chateau Champlain-excellent hotel great service	Stayed in Montreal at the Marriott Chateau Champlain. Montreal is a nice city, best food we had anywhere. The hotel is excellent. Much nicer than some of the better hotels in the area. The service is the best. Their concierge staff has the best staff of any Marriott we have stayed; they are most helpful, especially their chief concierge Pierette. She and her staff will tell you the best restaurants and places to go and be right on the money. The location is perfect for the city. Their beds with duvets make you not want to get up. I would stay there again.	
Jun 5 2007 	Typical Wonderful Marriott	We stayed at this property 5/30-6/3 2007. The room on the 26th floor had a wonderful view, and featured the usual fantastic Marriott bedding. The room was not huge, but had a small dressing area that could be closed off with the closet door, which doubled as a louvered door. The restaurant was very good, if a bit pricey. Everyone was friendly and helpful. A small room refrigerator was provided on request at no charge, delivered within 5 minutes of our request at check in.The general location downtown was perhaps 1 short block from the Gare Central, so it was easy to walk from the Amtrak train in about 3 minutes. We were able to walk to the Museum of Fine Arts with our 9 year old daughter ( who loved the Disney Exhibit) in about 20 minutes, and took the Metro to Old Montreal, via an elevator directly in the hotel lobby.Remember to check around the internet, including the Marriott site and this hotel's own site for various promotion codes for deals at this and other Marriott properties before booking. If all else fails, the AAA rate is actually very good. We used code HPR which allows a 3d night free after making a Hertz reservation. There is no relationship between the reservation and the rate- just use the code !All in all, a nice hotel and very nice experience.	
Jun 4 2007 	Magnifique!	Arrived here for the Victoria Day long weekend, en route to Quebec City. Chose this location as it was only 2 blocks from Gare Centrale (Central Train Station). Very friendly service from the front door bellman and front desk staff. Very nice easterly view on the 30th floor. Well appointed room with up to date features. Enjoyed the leisure pool and fitness equipment. Pool temperature was warm. Very close to Bell Centre and Metro (subway).	
May 28 2007 	Nice Memorial weekend	Stayed at the Chateau Champlain for Memorial weekend. The hotel is in a great location right in the middle of downtown Montreal, two blocks from St Catherine's street. I had a room with a great view of the park and the city sky line. This hotel probably doesnt have a bad view since it is sitting on a un-restricted part of the downtown core. Its right across the street from Bonaventure Metro line and walking distance from restaurants and bars on St Catherine's. I am a Platinum Marriotts reward card member so I got complimentary breakfast buffet. The food was very good but I have no idea how expensive. The rooms were in good condition and we received bath robes and turn down service every night with Chocolates. I would stay there again	
May 22 2007 	Had a great time at the Marriott	My husband and I spent the Victoria long weekend May 2007 at the Marriott and had a fantastic time. The room had a king size bed with a great duvet on the bed and lots of pillows. We arrived by train and were able to walk to the hotel. Loved Old Montreal and took the horse and buggy tour. Great way to see everything.The buffet breakfast was really good, lots to choose from. Service was excellent and very friendly also very helpful. Had a great pool area with a spa. Unfortunately we didn't have time to use the spa but it sure looked inviting. A weekend is not long enough to see all the beauty of Montreal. Our first experience in this kind of hotel and look forward to going back.	
May 21 2007 	Beautiful Hotel Staff stole from my room	The hotel was beautiful. My husband had exchanged his hotel points for me to come out and see my daughter. We stayed on the 25th floor overlooking the city. The bellman were very helpful on referring us to Old Montreal for a meal on St. Paul.However on my last day, personal items from my room went missing and for some strange reason Housekeeping can't find them. The manager can't find them and there is nothing I can do but suck up the loss. I even contacted the international office and they can't do anything either.Not cool. I had a great trip until I was stolen from.	
May 11 2007 	Very Nice Time	Although I stayed here about a year ago I figured better late that never.My boyfriend and I spend a weekend at the hotel booking the Romance package. We live in Montreal so just took public trasport to the hotel, this hotel can even be accessed from the underground, so you don't have to go outside if it's cold or raining. Check In was very smooth and right up to our room. The was a nice king bed with lots of pillows and fluffy covers. We had a nice view of downtown. The bathroom was also nice.We have the buffet breakfast in the morning as it was included on our package and we both found it to be very good, lots of selection, fruits, cereal, waffle maker...In the evening they brought us a bottle of sparkling wine and chocolate covered strawberries, very good.All in all we both had a wonderful weekend.	
Mar 15 2007 	Clean friendly close to the Bell Centre	My boyfriend and I found a great rate online (at the Mariott web site itself) and stopped over here before heading South for holidays. We had pre-booked to go to the Bell Centre for a hockey game and so location was very important.The hotel was clean, the staff friendly, and the room spacious. The food at the restaurant was expensive but VERY tasty and worth the price.Our only complaint was that we never actually received our wakeup call (we had a 6:30 plane to catch).. fortunately we had a backup alarm clock that came through.I'd certainly stay here again during my next visit to Montreal. Highly recommended!	
Mar 3 2007	I would stay here again	We stayed for 3 days at the Marriott Chateau Champlain in February. We took the via trian to Montreal, and the hotel was located conveniently a 2 minute walk away. Our room was clean and had an amazing view of the city of Montreal. The beds were very comfortable with a big fluffy duvet. Our stay included buffet breakfast each morning. The food was typical for a buffet, not great, but not bad either. We visited the bar downstairs on a couple of occasions, and although the staff was very friendly, the food was not very good. I was a little disappointed with it. We did not eat dinner in the hotel restaurant so I can not comment on that food. The hotel had good fitness facilities and a pool and hot tub. We worked out twice and swam and used the hot tub. Although the hotel was further from Old Montreal than we expected, it was too cold to be wanderiing around outside anyways. We took taxis to where we needed to go or used the underground tunnels which are quite extensive. All in all we really enjoyed our stay and would go back to this hotel again.	
Jan 14 2007 	Great Hotel	Standard Marriott hotel - great. Nice location (though bit outside old Montreal), close to the central station &amp; the underground shopping. Great breakfast (16$C).	
Jan 7 2007 	You always know what to expect at the Marriott!	Beautiful hotel and great location. Clean and comfortable rooms. Outstanding service. Marriott is always my first choice and I would definitely return or recommend this hotel to anyone.	
Dec 23 2006 	Great hotel in a good location	I recently stayed 20 nights at the Montreal Marriott Chateau Champlain, November 20 2006 to December 10 2006. The Montreal Marriott Chateau Champlain has a good location; two blocks from Sainte-Catherine and its many restaurants and department stores; and the hotel is completely smoke free, which is nice. I had a standard room, 336 square feet (31 square meters), with a king bed, located on the 19th floor, with a view of downtown Montreal.I was very pleased with my room even if some of the furniture and part of the walls begin to show signs of wear and tear. The air condition worked perfectly and the water pressure in the shower was good.The bed was very comfortable, and the complementary wireless high-speed internet worked perfectly.I ordered room service at one occasion and it was good. The housekeeping was fine and my room was clean the whole time. My room was very quite and I could not hear anything from my neighbors, even if I was a little disturbed when some of my neighbors were slamming their doors. I could hear the elevators but I was not disturbed by them or the ice-machine. It was enough of TV channels for me and I was able to watch NFL on Thursdays, Sundays and Mondays. I was also able to watch all the games by the Montreal Canadians and some other hockey games as well. Hockey night in Canada on Saturdays is a must for a hockey fan. The only less good with my room was that there were no safe in the room.There are five fast elevators in the hotel and I did not need to wait long for an elevator, except on Saturdays. On Saturdays it was more people using the elevators when I needed them and I had to wait perhaps 5 minutes before an elevator came to my floor. The lobby is very impressive. It is perfect as a meeting point or just to be seated in the comfortable chairs located in the lobby and relax. I had dinner in the restaurant located in the premises of the hotel, Restaurant Samuel de Champlain, and it was very good but a little expensive. If you only would like to have a sandwich or a coffee and a muffin I can recommend a small restaurant called Le Muffin. It is located in the end of the hallway passing Restaurant Samuel de Champlain. I was at the le muffin 7-8 times during my 20 days, having a warm sandwich and a bottle of water.If you would like to have a nice fast food experience and like Thai food, you can go to the Thai Express located in the food court at the Simons department store, two blocks from Marriott Chateau Champlain, at Sainte-Catherine and Metcalfe. I have been to this Thai Express many times during my trips to Montreal. During my previous visits to Montreal, I have stayed at Clarion Hotel &amp; Suites Downtown, Hotel Maritime Plaza, Le Montfort (four times), La Presidence Deluxe Apartments, Hotel Omni Mont-Royal, and now Marriott Chateau Champlain. Montreal Marriott Chateau Champlain is the best hotel experience I have had so far in Montreal. I would definitely recommend this hotel and I would stay at Marriott Chateau Champlain the next time I am in Montreal.	
Dec 21 2006 	Warm comfortable super hotel	After staying at the Ultra modern and disappointing W Montreal, I was very happy to walk into the warm, charming lobby of Chateau Champlain. The king size bed was one of the most comfortable beds ever and the room itself was spacious with a great bathroom, ironing board, blowdryer...everything we needed. The hotel even had a great selection of movies we could purchase. Room service was great, Everything was great. I will stay at this hotel the next time I visit Montreal. It really is a true gem!	
Dec 4 2006 	A Little Piece Of French Heaven	This hotel was absolutely HEAVENLY! I can't even think of one complaint. Great location, beautiful rooms, wonderful restaurants, elegant, luxurious, the best! Even the elevators speak french!I would highly recommend this hotel. The bed and pillows were the most comfortable I've ever experienced in a hotel. The room and bathroom were both quite large. I felt very pampered and loved every minute of it.Perfect place....short walk to downtown Montreal. Staff was very accomodating. Gay friendly hotel.	
Nov 26 2006 	4 stars for sure	Perfect location if you want to be able to walk to shop, go to restaurants and Old Towne. Beautifully appointed rooms, quiet, wonderful staff and concierge service and terrific inhouse amenities, including an indoor pool one can actually swim in, bar and restaurant, etc. Very reasonably priced through hotels.com.	
Oct 17 2006 	Great location for a city visit	Hotel: This Marriott is centrally located, walking distance to the old city and downtown. We found having a Metro stop right below the hotel nice, esp after a long day. The rooms were decent size and tastefully appointed. The bar at the Marriott was really pricy- my martini was $13- even with the strong dollar, that's a bit muchGreat down pillows and comforters. Out on the town : We enjoyed two local spots for breakfast- Cafe Cora and Eggcentric- both moderately priced, great food and full of local color. Th walking tour of the old city was very informative aand covered a great deal in the 90 minutes. We also liked the ooutside cafes at Plaza St Jacques.	
Oct 2 2006 	Beaucoup Kudos for Montreal's Marriott	We just returned from a weekend at this hotel and it was a superb experience at a very reasonable rate. Distinguishing features include: convenient location, lovely room with terrific view through unique floor to ceiling half-moon window, prompt and courteous service at every level, delicious buffet breakfasts for 2 included in the weekend rate of $199(Canadian) per night.	
