	Excellent Marriott Residence Inn Experience	Fantastic location in downtown Montreal with quick access to all points of interest...culture, shopping, and restaurants. We recommend it highly for anyone interested in visiting Montreal.	
Apr 27 2007 	Nice Hotel	This review goes back a couple years, but i just came across this website and thought I'd add my review.Stayed at this hotel during my brother's Bachelor Party weekend. The hotel had everything we needed. The small kitchen in the room was very convenient. Has a nice rooftop terrace with tables, lounge chairs etc... We brought our poker chips up there played many hands of poker. The pool is small, but it was nice to jump in for a few minutes. The service seemed fine, no issues. The free breakfast was key after a night of drinking. We would set our alarm, head down to eat, and then go back to bed =) The hotel is close to a lot of things also.. There is a mall/food court right around the corner and a movie theater. Anyhow, it was a good stay and would definitely stay there again.	
Jan 25 2007 	Very pleasant experience	We had a very pleasant experience at this hotel. Rooms were small but the friendliness and professionalism of the hotel staff compensated for that. EVERYONE in the hotel was very helpful and friendly. Location is very good: one block from major shopping, bars, and metro. Hot breakfast that they serve is typical Residence Inn breakfast, nothing special about that. We will definitely stay in this Residence Inn again.	
Jan 10 2007 	Comfortable Afordable and Friendly	I travel to Montreal for business about every 6-8 weeks and I've stayed a few hotels in the downtown area over the past 6 months. This is my second stay and I am pleased again. I booked my room on the Marriott website and got a good rate of $134 CAD per night using my CAA/AAA card. This hotel is clean and can be a good choice for both business travelers and families. There is free breakfast (cold and hot food options; buffet style), a pool, and laundry (sorry I can't remember how much but I think it was $2 for a wash load and $2 for a dryer load, plus your soap unless you bring some from home). The free wireless Internet is very good and covers the entire hotel very well; even in the laundry and social rooms. This hotel is close to many shops restaurants and a block away from the underground/indoor shopping mall (which is good when it is -10C degrees, like today). I'll write more during my next stay. Cheers.	
Sep 7 2006 	Excellent stay	We stayed 11 nights in this Marriott. The room was huge (suite 2109) as we got 2 double beds and a separate kitchen. The kitchen has all you need: microwave, fridge (making ice!), sink, forks (plates, glasses, etc. / all the cooking stuff). The breakfast is OK but does not vary everyday. They close at 9H30 sharp on weekdays so be early! The snack at 17H00 is light but nice and you can meet the director there. There are washing machines and dryers, don't forget to have some change for that. The swimming pool is not that big but OK. The bathroom is a bit small and gets quite warm when taking a shower. There is a free wireless Internet access in the hotel. Overall, excellent stay!	
Aug 27 2006 	short walk from everything	I made my reservation through Marriott and got a good rate of 159.00 (CAD) The hotel was very centrally located, only one block from the Peel St. metro station. Walking distance to Amtrak/Via, shopping, and dining. Short subway trip to everything. Room was small for Residence Inn. The bed took up most of the space. This and the slow elevators are the only things I can point to negatively. Bed was comfortable, staff was courteous, everything was meticulously clean.	
Aug 25 2006 	Great hotel!	This hotel is one of the best hotels I have stayed at. On the first day, you aregiven popcorn, coffee, and other snacks/beverages. The rooms are nice and bigand have everything, including a kitchen and sofa. Breakfast is served daily inthe mezannine. The mezannine features a big screen tv, magazines, and freeinternet. Â Upstairs is a big deck featuring beautiful views of Montreal. Also inthe hotel are washing machines, an exercise room, and a tiny swimming pool. Thehotel is located in downtown Montreal, and is walking distance to all majorshopping areas. Would recommend.	
Aug 24 2006	Pretty good choice	Stayed with my cousin at the Residence Inn for two nights in June.Great location -- bars, restaurants, etc. are all nearby. Old town is 20 minutes by foot. Fast check in. Valet parking is around the corner -- no big deal. Breakfast was sufficient not great, but filled us up for a few hours. Clean rooms, lots of cable TV channels. Overall, a good experience -- nothing fancy -- a good family-oriented hotel. Would not recommend for business, as not enough amenities. An interesting observation: my GPS that brought us directly to the hotel, got lost 30 miles north of Montreal on the way to Quebec City. I guess, they only program for the US and Canada near the US border.	
Aug 12 2006 	Decent stay but not great...some disappointment	I arrived at the Residence Inn and checked in right away. I drove to Montreal and used some old and limited canadian change I had for the pay meter. I was told I could then park in front of the 15 minute zone where I could bring my bags up to my room. I was also told I needed to take all the necessary valuables out of the car before bringing it to the valet at the garage around the corner. Well I circled around the block for about 15 minutes until I found a spot in the 15 minute zone. I needed to quickly bring my bags upstairs. I was told once I brought my car to the valet, they keep the keys for security purposes. Therefore each time I wished to access the car I would have to ask for the keys. Well I found this to be a hassle and an inconvenience, but fortunately didn't need to access my car until my departure. I found the room to be nicely air conditioned, fairly spacious and clean and in good condition. The kitchenette was a nice amenity to have. I kept juice and water and food in the refrigerator. The hotel made an arrangement to give me a room away from the elevators, and the room I had faced away from the main street and bar. So the room met my basic needs in that it was quiet and comfortable, and the staff delivered my request which I appreciated.The hotel is located almost midway between the visitor center and Mont Royal park, and a half block from the Peel metro station which is very convenient. My opinion is that the more exciting (&quot;happening&quot;) parts of town seem to be a bit further east near McGill, Place Des Arts and the Latin Quarter with many restaurants shops and stores and entertainment there.The breakfast buffet was good. There was a wide selection of cereals, bagels, pancakes, make it yourself waffles, juices and fruits. One morning I arrived (almost too late) at 9am and had to wait for 5 minutes or so to get a table, since the room was packed. The wait staff seemed to be working and cleaning tables as fast as they could. My advice is to arrive early for breakfast if you can.The staff is generally friendly, they can speak and converse in fluent english. They do say hello and smile when walking through the front entrance.I had a couple of issues during my stay. One day the maid showed up to clean at 545pm (while I was taking a nap), which was much later than I had expected. I had arrived back to my room after a long day of hiking up Mont Royal to find the sheets unchanged and room uncleaned and it was running out of towels. I spoke with the front desk and requested the maid arrive during the morning instead of the afternoon. Well the next day the maid arrived no earlier than 1pm. The front desk apologized for this but this did nothing to change the results. Maybe I just had some bad luck but be aware of some poor maid service.In addition one day I got locked inside the bathroom. The bathroom doorknob was loose. I panicked and started banging on the door for help but suddenly realized I had my cell phone with me. I found my way out of the bathroom on my own after 10 minutes. The bathroom had no telephone. I bought a rice krispies snack downstairs from the lobby and paid the front staff, then noticed 20 minutes later that complimentary cookies were available in the lobby. It would've been at least a courtesy to remind me about this. Ok I'll let this go. Please remind yourself to read the information they give you at the begining of your stay with times and services available. Otherwise you probably won't get a reminder unless you ask specifically.You may find yourself climbing the stairs during heavy traffic times because the elevators are small and slow moving up and down 23 floors.I received a special employee rate with my stay at the Residence Inn during late July, but I'm not planning on staying there again.I would expect more consistent and dependable service from a Marriott.	
Aug 7 2006 	Residence Inn--very comfortable	My family of three (me, husband, 11-year-old son) loved the location--it's in a lively area, very close to the Metro, that is clean and bright--better for us than the Hyatt or Intercontinental, which we almost chose. (We passed these two while walking around and didn't like the surroundings as much--the sheer size and architecture of the Hyatt separate it from the surrounding street life. The Intercontinental is close to the Old Town, but in a business district that wasn't as lively as Peel Street.)Other notes:We chose this because it was the best value, given the breakfast, manager's snack, free local calls, and the pool, which we didn't end up using.Our room, which was supposed to be ready by 3 p.m. on a Thursday, wasn't ready until 4:30 p.m.I booked directly with the hotel after researching options on a number of travel sites. I asked for a high floor with a view but only got the high floor.The manager's snack (we had tomatoes, macaroni salad, carrot salad, and raw fruit on Thursday) is only offered Monday through Thursday.Rooms are very clean; nice to have a daily paper. Staff seemed competent and helpful. I would have given this an excellent rating (five stars) except that I was ignored by the manager. I called his office to request a late check-out and was told only that he wasn't in, and that I could leave a message, which I did, noting that I was very happy with the service at the hotel, which I had chosen because of the very positive reviews on Tripadvisor[--]. He never returned the call. (It was about 3 p.m. on a Friday, so he may have been gone, but the person answering implied that he was simply unavailable at the moment, not that he was gone for the day.)I ended up asking the front desk directly for a late check-out and was granted one until 2 p.m. on a Saturday.	
Aug 6 2006	A little disappointed but okay	Overall, the experience was good, but we were somewhat disappointed.We arrived to find the even though the hotel is downtown and the car must be parked by a valet, there are no bellmen to help with the luggage. There IS a self-service luggage cart available. It's OK to park the car in front of the hotel on the street while you are unloading luggage, but then you must drive your car about 1/2 block to the parking garage where an attendant parks it. There is no phone service to the garage to request the car when you need it, so you have to walk back to the garage to request the car and then wait for it to be brought down. The same scenario occurs when you check out... only in reverse... bring your luggage down, and either cart it to the garage or leave it in the front lobby while you go retrieve the car. On the plus side of the &quot;no bellmen&quot; issue, you didn't have to provide any gratuities to take your luggage to the room.The front desk staff were extremely courteous and friendly and tried to be helpful. However, it seemed that most questions I asked about the area, I was referred to the Visitor Information Center which is about 1 block away. They did have a brochure on Grayline tours which apparently is the only tour company in the City. I had the impression that the front desk staff were pretty young and did not have a lot of travel experience themselves. The hotel obviously has no conceirge or tour desk, as most downtown hotels have.The breakfast buffet was very good with a lot of variety. The staff worked very hard to clear the tables as soon as guests left, so that there was adequate seating for the newcomers.The suite itself was rather small, not anywhere near as large as other Residence Inn's where we have stayed. The bathroom was extremely tiny with almost no counter space on which to put toiletries. The closet on the other hand was huge... a walk-in closet plenty big for the suitcases to be put on the floor... as there were no luggage racks on which to place the suitcases.We had requested a suite on an upper level floor and were assigned a 3rd floor suite even though the hotel is at least 20 floors. We were told that there is only one suite on each floor and all the others were already filled. This was a disappointment as we only had a view of the wall of another building.We had 2 double beds that were quite comfortable. The decor is nice. The window air conditioners did an adequate job struggling to cool the rooms during the abnormal heat wave that was prevalent in Montreal while we were there.We thought the rate of $247.00 (Canadian) was steep, especially after adding all the taxes which totalled $42.90 per night.... grand total of $289.90 each night. But then, we booked it at that rate and perhaps other downtown Montreal hotels are similar.Our issues may seem petty, but If you book this hotel thinking you will get the same services as most downtown hotels in large cities, you may be disappointed.	
Jul 29 2006 	Great location great service at the Residence Inn!	We just got back from a fun weekend stay in Montreal at the Residence Inn. We stayed here based on the good reviews we read on Tripadvisor and were not disappointed in the least! We highlly recommend this hotel for its great value, outstanding service, and the great downtown location. It's about 1 block to the Metro and in the heart of shopping, restaraunts, and the downtown nightlife. You can easily walk to museums, McGill U, and the park. You can hop on the Metro for a fast ride to the old city. The staff are all professional, friendly and knowledgable . They even have helpful pre-printed directions to/from anything you ask for. They're bilingual, so don't worry if you forgot your high school French! Our studio was large and everything was very clean and neat. The king sized bed was really comfortable! There was a seating area with a pull-out couch and desk near the window. The kitchen was great, especially the refirgerator for storing our sodas, wine and yummy local-made cheese, and the ice maker in the freezer was convienient. The bathroom felt a bit cramped, but was sparkling clean and efficient.Breakfast was plentiful and tasty with many hot/cold choices. The room was busy, but we had no problem getting a table each morning. The rooftop indoor pool is on the smaller side, but was fine for us. There is a nice outdoor terrace where we relaxed and enjoyed the city view. The parking the hotel offers is less than 1/2 block away for $15 CAD a night with fast friendly service and 24 hour in/out privledges.	
Jul 20 2006 	Residence Inn a Favorite	My husband and I stayed here based on reviews from here and our experience at a Residence Inn in San Diego in November. The customer service was great. We had assumed we would park at the hotel for the $17 a day, but arrived there only to find that my Xterra would be too tall for their garage. We asked for the best place to park and they directed us to the Semanaire (sp?) a block and a half away for $7 a day. Also gave us directions to the metro (2 blocks away) and suggestions for dinner. The room was clean, and comfy each day. The pool was fine, only used it once but there wasn't a ton of kids making a rukus. The lobby was very nice. Breakfast was very good and there was always more than enough. A little crowded (had to sit in the TV room) but otherwise alright. Went in the beginning of July for the Jazz Festival. They gave us a mini map and told us the best ways to get down St. Catherine's and to Old Montreal. If my husband didn't want to try Old Montreal next time for the atmosphere, we'd stay here everytime.	
Jul 17 2006	Solid choice without breaking the bank	We stayed one night (July 15th) at the Residence Inn by Marriott on Rue Peel in Montreal. The location is excellent, in a very nice section of town, and close to both McGill University and Concordia. The Peel Metro stop is literally right around the corner. Valet parking was $15.00 per night. The staff were polite, helpful and very bilingual.The hotel is obviously an older building, but nicely remodeled. Our room was a double; it had two full-size beds and a pull-out couch. There were four in our family and it was fine. It had a nice kitchen with fridge/microwave and even a stove. The rooms were clean and up-to-date.A free buffet breakfast was served in the morning, and it was excellent. The hotel also has a very nice terrace up on the 23rd floor, and the view of Montreal from there was spectacular.We would certainly stay here again and were very satisfied.	
Jul 5 2006	Residence Is Right Downtown	I stayed four nights at the Residence Inn which had great rooms with a little kitchenette, but there were obvious problems with the hotel. First off, there were only three small elevators in the hotel so it would take forever for you to get up to your room. The elevators were always crammed and tight. Breakfast was included and I loved making my own belgian waffles in the morning, but on weekdays breakfast ends at 9:30am which I feel is too early when you have been out late during days at the Jazz festival. Also, there aren't many tables for breakfast so you might have to wait a while to grab a seat, if it is busy. One other problem was that the pool is small and there are no changerooms so you have to change in the bathroom. Other than those problems, my stay at the Residence Inn was okay and the hotel is right downtown.	
Jun 5 2006	Would definitely stay again!	Great service, clean rooms and so convenient to the Metro. I would definitely stay there again. Located w/in walking distance to fun nightlife &amp; great shopping.	
Jun 3 2006 	A home away from home!	In the last year I have travelled alot for work, sometimes staying in an area for over a month. Out of all the hotels that I've stayed in, I'd rate the Residence inn as the best. The staff are extremely attentive and fun; they remember the names of their guest! The rooms are spacious, and very clean. They all (even the studios) have kitchens and sitting areas.Breakfast is served every morning with both hot and cold options. There is even a station to make your own waffles (an amenity that I whole heartedly took part in!). Every weekday evening hot snacks are served as well, anything from chicken wings to chili. And to top it all off, if you get back to the hotel between 4:30 and 6pm you'll be welcomed by a plate of scrumtious cookies! Now THAT's service! The lounge has a television, books and an internet station, or you can choose to relax in your room where free wireless internet is available as well.The cleaning staff, did an amazing job! Some even went as far to fold up clothes that I had left out. The bathroom and kitchen were always clean! They even did my dishes... Everyone was so pleasant, and you could tell that the staff and the &quot;residents&quot; were all happy to be there. I would stay at this place again and again and again (I've actually been there once since... and I'd write the same review!)	
Mar 3 2006 	Wonderful Stay	The rooms at the Residence Inn are pricey, but definately worth every penny. The location is great - the entrance to the underground shopping mall is only a couple minutes walk. In addition to the nice buffet breakfast, almost every day of the week there is also a manager's special in the evening where a free buffet meal is served. The lobby is tiny, but rooms are very large. Staff is friendly and very helpful. I would definately return.	
Feb 8 2006 	First time in an Inn	We found this hotel and after reading all the reviews and deceided to stay there. As we were first time visitors to montreal found its location excellent. Shopping was convenient and a tourist centre nearby to obtain all my information and buy tour tickets. All the staff were friendly, room was clean and a good size. Buffet breakfast was ample and you even given containers if you wished to take some back to you room. We have no residence type hotels where we hail from and found this concept excellent. We will now try this type of accomadation the next time we visit Canada or the US.	
Feb 5 2006 	unhappy with parking	We have stayed at the Residence Inn Marriot a few times now, but only finding out this past time that they have a parking lot downstairs that we didn't have to get to it by going outside. We had even asked about parking but nothing was said about that we could reserve a spot when making the reservation. We had to carry all our luggage out of the hotel and walk around to the back of the hotel to get to where the vehicle was. Very poor setup. I only found this out by coincidence. Also my husband was attending a course at Mcgill and I was hoping for a late checkout and all 3 times we've staying there they would not give me past 12:00. They were knocking at my door at 12:05 wondering when I'd be out. The rooms are a nice size and seems to be quite clean. It is also very conveniently located for everything.	
Jan 11 2006	Great for extended stays	Stayed at the Marriott Residence Inn for 4 nights during the New Year’s long weekend. I've stayed at the Marriott Chateau Champlain and Springhill Suites in Old Montreal before so expectations were high coming into this hotel.I thought the service was great. We had no problems in getting extra sheets/pillows as well as getting our sheets changed midway through our stay. They were always helpful and friendly in giving us directions to certain places.The rooms were very spacious. It had a nice decor and looked rather new or maybe even renovated. I would recommend this place for extended stays due to the full sized kitchen that is available. We only used the kitchen once but the full size refrigerator and stove was a nice touch. They even had pots, pans, dishes and utensils fully stacked for use. The only complaint would probably be the washroom bathtub. It seemed small but also elevated which was uncomfortable when showering since the ceiling was in the way. The breakfast was comparable to the Springhill Suites. Lots of choice (oatmeal, waffles, sausage, eggs, cereal, toast, pancakes, etc) and service was fast in cleaning up empty plates.The hotel is in a nice area close to downtown as well as Crescent. If you are looking to have fun in old Montréal or on st. Laurent I would not recommend staying here as it is far from those areas.One downside of staying here over new years - Too many youngsters getting drunk and causing a ruckus in the elevators. By the end of our stay the elevators were really dirty and one of them had a weird smell to it :POverall though, thumbs up :)	
Jan 7 2006	Had a Great New Years in Montreal!	You can't ask for anything more when your hotel is situated within walking distance from all the bars, shopping, and the mountain! And if you can't walk there...the Metro is on the corner. All this for an affordable price (even for New Year's). There is a roof deck that has an amazing view of the city and is open even in the winter...just bundle up bc there is nothing like the artic air in Canada. This is definately a great place to stay if you want a clean, friendly, and conviently located hotel at a great price. The hotel desk staff are also very knowledgable and are more than willing to help you with the local clubs and bars. One girl was especially impressive, not only did she know where any and everything was, she also spoke 3 languages fluently. If I must complain about something (and this is really nit picking) it would be that the inside sheet on the bed is a little rough...no problem, just remove it off the bed completely...I think they really bleach the sheets to kill all the germs which is a good thing!	
Dec 3 2005	Great value and location	We wanted to stay close to the Museum of Fine Arts and this hotel sounded good, according to other reviews. We were not disappointed; in fact we were delighted with our choice, as was the couple with whom we travelled to Montreal. The hotel is also close to the McCord Museum, to the Ste. Catherine Street shops, to good restaurants and to a Metro station. It was a 10-minute walk from the mainline train station.We got a very good rate, with a senior discount, and were upgraded to a one-bedroom suite. The hotel has recently been refurbished and the suite was not large but immaculate and nicely furnished, with superior quality bedding (duvets and lots of down pillows). The front desk staff were all very friendly and helpful, and the complimentary buffet breakfast was more than adequate. What a joy to find a reasonably priced hotel of this quality.	
Oct 24 2005	great end to a great holiday	We have stayed in a lot of mid-range hotels over the years and the room decor is usually very similarly uninspiring and, often, more than a little tired. This hotel was a huge breath of fresh air. We were on the 18th floor. The room was fabulous. Large, bright and airy. Modern but cosy decor, a very well equiped kitchen area and lots of storage space. Nothing remotely tired about it. The bed was huge and wonderfully comfortable. If I had to find a fault it would be that the bathroom is small in comparison to the rest of the room, but was still an adequate size. We found the hotel staff very courteous and helpful, both on reception and in the breakfast room. Breakfast itself was excellent, even more so as it was unexpectedly included in the rate. There was a very good choice of food, although it does get very busy and some people are very aggressive in a buffet situation! The pool and gym on the top floor seemed very well kept, though the pool is more of a plunge pool than a swimming pool. Not particularly big. There was a great view from this floor too, as well as some sort of outdoor rooftop bar, but we did not utilise any of these facilities over our 4 day stay as we were far too busy. The hotel is in a great location. We ate in excellent restaurants every night and none were more than a 5-10 minute walk away. Downtown with all its shops and restaurants are on the doorstep, as is the metro station. It is possible to walk to the Old town and the Plateau area but we found the metro easy, cheap and a lot kinder to the feet.	
Oct 23 2005	A really great choice	This hotel is very conveniently located in downtown Montreal. The rooms are very big, all of them have a small kitchen. The service was very friendly and the breakfast (included in the room price) was a very good way to start the day.	
Oct 5 2005	Gets my vote for customer service	We stayed at the Marriott in Sept. 2005. We arrived without reservations because of a foul up at another hotel(not related) Marriott was able to give us 2 rooms for 2 nights and went out of their way to find us other accomodations for the rest of our trip despite there being several conventions in town &amp; most hotels being booked. I encontered good service from everyone I dealt with at the hotel. As mentioned in the other posters, hotel is convinient to metro. We walked to Old town, chinatown and had several places to eat within a block or two.	
Oct 5 2005	Great hotel for a break in Montreal	Excellent location in Downtown just off Rue Sainte Catherine which has lots of bars, restaurants and shopping. Very nice room. Breakfast in the morning was very good. Very helpful staff but one of them advised us of a walk which took us down a slightly unsavoury part of the city at 9am on a Sunday morning which wasn't great.Have stayed in another Residence Inn in the US which was soulless but would highly recommend the Montreal location.	
Oct 4 2005	very happy with this hotel	I chose this hotel based on prior reviews and my mother and I were not disappointed. Our room was very comfortable and spacious, clean, and quiet. We didn't take advantage of the kitchen but it was great to have it. If we'd stayed longer I would've used it. The buffet breakfast was decent (especially because it was included in the rate) and saved us time and money in the morning. The front desk staff were friendly and helpful. It was in a good location near the metro. I would definitely recommend it.	
Oct 1 2005 	Great downtown location...	Very pleasantly surprised by this hotel - my fourth stop on a two week business trip and by far the best price-quality ratio. The room was spacious and very clean. Bed was fine - not quite as luxurious as a Sweet Sleeper but I was paying about 60 USD less a night than previous Sheraton. Bathroom fine. Decent shower. Free WIFI internet here which is very much a plus for a business traveller. Have to admit that it's probably my personal bugbear with many high-end hotels - rip-off charges for broadband internet connections (a service on which they must make a huge profit margin generally!). Kitchenette in room is really handy - with microwave, hob, large fridge and dishwasher. If travelling on a budget or for an extended stay - it really does make it more like being at home, rather than a hotel. Sometimes you just don't want to eat out! Breakfast was fine - can't complain when it's included in the rate. I've been charged USD 20 for similar buffet spreads in other hotels. Small gym and pool on the top floor - OK to keep up with exercise regime - but there's also a big sports school opposite - at which I guess you could get a day membership if you were really keen. Great view from the roof-top terrace. Peel Metro station is just round the corner, so great location to get around the city. Friendly staff on the reception. Would stay here again when next in MTL.	
Sep 22 2005	Better Than I Thought It Would be	The candid photos do not do the rooms justice. The designers of the rooms did quite a bit with lighting, curtains, and nice accents such as the marble countertop and wood-framed mirrors in the bathroom to update what was an older and smaller hotel. What you get is a small room with good ambience and a kitchen for extended stay. The corridors have nice marble flooring. The roof-top deck is a really beautiful place to relax, and the gym is complete enough for a decent workout.	
Sep 12 2005	Great Hotel and Location!	After reading several reviews I decided to go ahead and reserve a room. I have stayed at several hotels in Montreal at the same price range so I wanted a change. Upon arrival the staff was courteous and provided excellent service. They provided a double bed room after notifiying them that we had an additional guest. The rooms were clean and the breakfast was excellent. The location provided everything within walking distance. I will definetely stay again.	
Sep 12 2005 	About the breakfast...	I had a very nice room and would not hesitate to recommend this hotel but the breakfast was not great to me; I like strong coffee and a bit of baguette or croissant so I didn't care about all the waffles and eggs...the coffee was really weak--the only weak coffee I had in Montreal! The bread offered was white wonder-type bread. There is however a great bakery and coffeeshop just down the block called Le Pain d'Ore so I was fine with that. I will be staying at the hotel again very soon so this is really just a message for those coffee lovers out there--oh, you can also make your own coffee in your room!	
Sep 7 2005	Great location and service	The hotel is in a great location. Of course you all have to realize this is not the 4 Seasons, so dont go in there expecting marble in the bathroom, and glass showers, but the hotel is very nice and clean. They give a complimentary breakfast every morning, and from what I hear its pretty decent. I am not a morning person...so I cant tell you personally how it is... The hotel staff was very friendly and willing to help the best they could for any situation.... Overall I would recommend this hotel...	
Aug 21 2005	Great no-fuss hotel	We were supposed to stay at a bigger name hotel for our long weekend in Montreal, but that went down the drain after reading the reviews on that particular hotel. After reading the great reviews on the Residence Inn, we decided to give it a shot. And indeed we were right to do so. Room itself is pretty basic but immaculate. Housekeeping keeps the room clean. The only negative part about the room is the airconditioning unit, which is a bit loud. The breakfast buffet is good with a huge selection of options from sausages to waffles to fruits and yoghurt. Frontdesk people were helpful as stated in previous reviews. All in all a great no-fuss, no-frills hotel.	
Aug 12 2005	I'd take up residence!	Just stayed at the residence Inn Montreal. It has a beautiful lobby, we had a great room, clean, air conditioning, fluffy comforters (unlike most hotels), and friendly staff. The view from the pool and deck are great. Thanks to previous reviews I picked this hotel and loved it.Hotel was one block from the metro, which is very easy to navigate.	
Aug 10 2005	Great value and service!	We stayed here in early August, 2005. Overall, I'd agree with the other reviews posted - great breakfast, excellent location and a friendly staff. We were lucky to stay on the 6th floor - the elevators are very small, and since the hotel is so popular, there can be quite a wait for them. So we used the stairs alot. Breakfast area was crowded unless we arrived early - before 8:00 am - but it was a busy time of the year for visitors.We asked the staff for information, and they were very helpful. Location for the Metro was great. We used it to travel all over the city.Lastly, view from the rooftop patio was great. Nice place to relax up there.We wouldn't hesitate to recommend this hotel!	
Aug 9 2005	Spacious and Clean	Our stay was for three nights with our adult daughter. The room was very spacious, cool, comfortable, quiet and extremely clean. The hotel itself was extremely clean with a courteous and helpful staff. The three elevators were small and slow, but well worth the wait....no complaints about that. The breakfast buffet was a great start to the day with a bit of something for everyones likings. It was however very busy, but very accomodating. We had no problem with the parking garage. I would definitely stay there again and would recommend it to anyone.	
Aug 6 2005	Great Hotel!	After reading TripAdvisor reviews we decided on the Residence Inn Montreal Downtown and were not disappointed. Stayed there on Sat, July 30th. Front desk very helpful and courteous. Great location, 1/2 a block to the Peel Metro station. We got there Sat morning, too early to get into the room, but we checked our luggage in at the front desk and took the Metro to the Botanical Gardens/Insectarium/Olympic Park. Went very smooth. I should note that signs denoting legal street parking are difficult to decipher; however, we parked on the hotel side of the street, near the hotel, but not in the hotel loading zone. We parked there overnight on a Saturday. No ticket. Saved $22 Canadian, which is the cost of the private parking lot which the hotel refers you to. Rooms as described in previous postings. No surprises. Complimentary breakfast buffet is solid. Scrambled eggs, sausage patties, cereals, yogurt, waffle station, coffee, juice, etc. Exceeded my expectations for something that was free. Asked front desk for late check out at 2 pm. No problem. This hotel has such a high occupancy rate, the 3 small elevators can be overwhelmed, leading to long wait times.Overall, a great place and we would definitely stay there again.	
Jul 31 2005	Great stay	We stayed here on two different occasions in late July. The downtown location was excellent. The Peel metro station was around the corner, and shopping and dining options were everywhere. The staff was extremely helpful throughout our stay. The rooms are standard Marriott - good quality but nothing trendy or unique. The rooftop patio offered a nice view of the city. The only complaint we had was the slow elevators. We would definitely stay here again.	
Jul 12 2005	A good choice	We just spent four nights at the Downtown Montreal Residence Inn while attending the Montreal Jazz Festival. It was close to everything in that area including Old Montreal and all of the concerts. This is a nice event for the entire family. The hotel was perfect for a family with the additional small kitchen facilities including stove, microwave, dishes, pans, fridge, sink and dishwasher no less. A hot breakfast buffet is served everyday and that makes it a good value. All of the accomodations were first rate. This hotel is best if you don't have a car due to the very close proximity to the Metro. However, if you do have a car which we did, there was much confusion, discord and disorganization with the contracted garage service the hotel uses. There needs to be a meeting between them to resolve very obvious problems in that relationship. The garage service attendants were abrasive and my husband was given three different sets of instructions about our car by three different people on the same day.Montreal is lovely and recommend the city.	
Jul 5 2005	Good Value great Location amazing service	This hotel is the best I have ever visited in North America in terms of value, location, amenities and service.My wife, baby daughter and I arrived here at short notice and the check in staff bent over backwards to accommodate our booking. We ended up in a room which I could only describe as a suite- bathroom, 2 double beds, fitted kitchen, dining area with table and chairs and a lounge area with setee and coffee table (not to mention the walk in wardrobe). We paid $195CDN per night but it was worth it. Valet parking, rooftop cocktail bar, rooftop pool and gym were all nice touches. The only downside was that the hotel had no restaurant, but who wants to eat in a hotel in the centre of Montreal? The staff recommended a trendy eaterie two blocks away on St. Catherines called Reubens and it was so good we went back the following night.Breakfast in the hotel is buffet style with anything you can think of, and as much of it as you want!!! Hot Snacks are provided each evening and complimentary fruit, drinks and yogurts etc throughout the day. The communal lounge has free internet access for residents.Last but definitely not least the staff know just when to approach, not too aloof yet not too in your face. I have never seen a more helpful, professional and friendly team of workers.	
Jul 1 2005	Excellent Hotel 	From the moment we arrived at the Hotel and greeted by the lovely Irina, we knew that this was a great choice of places to stay in Montreal.The location is right in the heart of downtown, close to everything including the main shopping street of Rue St Catherine and walking around the city is really easy. The double decker bus tours - the two hour one gives a good overview of the city - depart just 5 minutes away from the hotel.We were on the 12th floor and our suite comprised huge room with kitchen facilities, bathroom, sofa and dining table. Also the obligatory free internet which is what I am using to write this review.The beds are to die for with heavenly pillows and a quilt which both assisted towards a great night's sleep last night.Today is Canada Day - 1st July - and parades are scheduled for this morning. The Jazz festival is also on this week and creates a huge amount of interest in the city.I can recommend the Residence Inn as a great place to stay and Montreal as a lovely place to visit.	
May 11 2005	Best Location	Husband and I just returned from a wonderful 5 days in Montreal. Absolutely loved the Marriott hotel. Hot breakfast every morning and an evening snack. Room was spacious, very clean. All staff we encountered were extremely friendly and professional. The very best thing was the excellent location. Steps to the Peel Metro, shopping on Ste. Catherine and one street over from Avis. Next door to the hotel was a great sushi rest (I think the name is Mikado sushi)-so good, we ate there twice. Loved walking along St. Denis and St. Laurent. Not a bad meal to be had. Although, we recommend Premier Poussion croissants over Pain Dore any day. Also, the hotel closed its rooftop pool the Sunday we were there for renovations-not sure how long it will stay closed. Our favorite memory will be walking along the water front of Vieux Montreal after our excellent lunch at Usine de Spaghetti Parisienne. It was such a beautiful day, we lounged on the park bench for hours people watching. After buying an ice cream at one of the many shops, we headed toward St. Sulpice and Notre Dame Cathedrale. We couldn't resist buying a small Christmas souvenir at a Noel shop on St. Sulpice. The Notre Dame was amazing. Overall, an amazing vacation!	
Mar 18 2005	TOO GOOD TO BE TRUE...	This hotel stay was the best I haved experienced in several years. The room was large with a full kitchen, dining table, sofa, large walk-in closet and windows that open. A &quot;free&quot; breakfast of scrambled eggs, pancakes, sausage, fresh fruit, juices, etc. was available every morning. The staff was outstanding and checked with us several times to make sure all of our needs were being met! The metro station was around the corner and numerous excellent restaurants were within walking distance.The only negative comment would be the exercise room was pretty small and often one had to wait to use a machine.	
Jan 2 2005	It is outstanding	nice and very helpfull staff Extras include free unlimited high speed internet acess , evening snake and daily newspaper.It is excellent !	
