	Pricy Busy and Well Located	We forgot how many times we’ve been to that hotel. The location is very convenient for us.This is not the most peaceful hotel; it’s big and busy, however very well located restaurants, bars, disco, shopping etc. Like most Sheraton Hotel the rooms have been refurbish, and are clean and cozy. The overall service and staff is decent, but not great, and this is not due to a language barrier because we’re fully bilingual. Some of the staff members would require a refresher course on customer relationship.Overnight interior self-serve parking is $20.00, you can park in a nearby exterior parking lot for less than $10.00. For food quality and price venture to local restaurants in the vicinity, the choice and variety is remarkable.M &amp; L D, Ottawa	
Jun 23 2008 	be ready to add expenses on your bill!	This is the first hotel to charge the client for local calls! and the parking is more expensive than other parking around so clients should park around the hotel not in the hotel parking. And we couldn't get ice from their machines and it was impossible to get any cold water from the tap, it was always hot. All in all we weren't impressed and it is not worth the price.	
Jun 17 2008 	Very pleased with this Sheraton	We stayed four nights at this hotel and really enjoyed it. The hotel is very well situated near shops and restaurants. We had read other reviews about the hotel being a bit dated, but we didn't see any reason for it. Our room was comfortable and clean, with a nice view of the Cathedral. The linens were great, and the bed itself was one of the most comfortable hotel mattress I've slept on in years. The bathroom was clean and always restocked with fresh soaps and shampoos; there wasn't any evidence of &quot;grandmotherly&quot; wallpaper. We didn't try the room service, the hotel bar or the restaurant, so I can't comment on that. The concierge and bell staff was very attentive, and not only for the typical restaurant recommendations. We had a flat tire on a Sunday morning: one of the bellmen helped with changing the tire and then the concierge called auto mechanics all over the city to find one that was open and could repair our tire quickly. I can't see any reason not to stay at this hotel again.	
May 28 2008 	Needs a bit of a lift	The hotel is well situated close enough to main downtown shops, restaurants and for us McGill. The hotel needs a facelift though. While efforts have been made to upgrade the linens, the rooms are very dated with grandmother wallpaper in the bathroom, old old tv that had terrible reception in the bedroom, hallways smell a bit funky at times. There was a time Sheratons were high end. They need to bring this one up a few notches and all will be good as the competition is fierce for hotels in Montreal. As Starwood members we were very impressed with the quality and variety of the free afternoon snacks and the continental breakfast in a lovely room on the 39th floor with wonderful views.	
May 27 2008 	More a Dump than a Sheraton	I stayed at the Sheraton with my family on a trip in Canada.First off, the staff was Extremely Rude, Arrogant, as if they are more intelligent than us (we were confused about our reservation details, we were answered smugly that we should know what we reserved, as if we remember the last details of all the hotels we are staying at over our 1 month trip!)Second, I don't see how this place can be called a Sheraton, the carpets are used and dirty, the rooms are very small and Completely Outdated.Also, there is no free internet which should be complimentary for the price we were paying. Overall it is a very mediocre hotel and we think other travelers should be aware of this before staying here.	
May 20 2008 	A decent hotel	Stayed at the Sheraton Le Centre for 2 nights in May 2008, and booked through Priceline for 85$ a night, all inclusive. For that price, we got a nice room on the 30th floor, althought the view was not so impressive (faced another sky scraper). The room was quite large, with an impressive and comfy king bed. The decor was nice, if a little bare for a 4 star, and the wall paper was clearly outdated. However, ameneties were good, with a decent sized pool, a nice gym. The hotel is 2 blocks from Ste-Catherine, so plenty of restaurants for a cheap breakfast (I suggest La Belle Province on Peel...its actually quite decent and you can get a breakie for less than 5$).Parking is expansive (20$ self park) but since I had 2 bikes on the back of my car, it was essential. They did let me park close to the attendant booth on the 2nd night, so that my bikes were in visible range of the attendant. Overall, very pleased.	
Apr 27 2008 	Service is Fantastic!	We were wondering what we could do for our 20th wedding anniversary and my husband came up with the idea of going to Montreal for a night out and staying in a really nice hotel. We have two small boys and cannot stay away for long, so this night was very special to us. The Sheraton Le Centre Montreal did not let us down. My husband booked a club level room and we wandered into the club lounge looking lost and not sure what we wanted to do for the evening apart from make it memorable. One of the staff (she wanted to remain nameless :-)) learned it was our 20th anniversary and started giving us suggestions on what we could do. What a wonderful and memrable evening we had thanks to her. We dined at the Casino and watched a show, something we would never have thought of. The room was great, the service was fantastic (so were the views from the club lounge) we were right in the centre of things. We had a great evening and were sad to leave the next day, but we will go back in a hearbeat! Thanks to all the staff who made our stay special :-)	
Apr 6 2008 	Worse than average Sheraton	Expect everything you don't like in this hotel; dirty carpet, small room, leaking shower head, outdated facility, very noisy air conditioning system and dirty vent. I did not like anything except location; but all downtown hotels are located in good location, aren't they?	
Mar 21 2008 	No free internet!	I booked my stay at hotels.ca. The website indicated that high-speed internet was complimentary. Both I and my friend checked this information from different computers. Since we both confirmed that internet is free, we chose this hotel over another hotel in Montreal downtown.When we arrived, we learned that internet was not complimentary. When I tried to discuss this with the reception, I was directed to a manager. She (as far as I remember her name was Larissa) was rude and unhelpful. I had to threaten her for writing bad reviews on sites such as tripadvisor. Then, she gave us the internet for half price.I think we wouldn't be this much dissatisfied if they were nicer. Do not expect friendly service at this hotel. Furthermore, if there is an important feature that affects your choice, contact the hotel to make sure that it is included.The hotel room was not impressive. The furniture was old. The best thing about it was its location. It's close to the metro station where you can take a train to old Montreal. It's very close to St.Cathrine St and Crescent St.You may want to compare it with Novotel downtown before you book.	
Mar 18 2008 	Good Family Hotel	We stayed at Le Centre Sheraton for one night. A good hotel for a family stay. We were looking for a hotel downtown with a pool, clean and comfortable, with reasonable rates, and that's what we got. Its a typical Sheraton hotel, nothing unique or interesting, but the pool was a decent size and the rooms were clean. The pool was FULL of kids, which was fine for us, but might be a turn off if you didn't have kids. If we were travelling without kids, I would definitely stay at one of the HUNDREDS of other more interesting, funky, unique hotels in Montreal. But for a family stay, we were very satisfied. Directly across from Centre Bell, for Canadiens hockey games or concerts.	
Mar 15 2008	OK hotel	The hotel is ok, rooms look a bit dates, no wireless in my room. The bathrooms could definetely do with an update and the aircon is individual units in the room which are pretty noisy.Service is ok - room service very expensive.Comfortable bed.	
Feb 20 2008 	In the middle of the city	First off, I have to say that I really loved Montreal. What a nice city!I stayed at the Sheraton Le Centre for a week. It is located right in the heart of Montreal, just close by the beautiful Mount Royal (from which the name Montreal originates) and the rue Sainte-Catherine (St Catherine's street) where you can satisfy all of your shopping and eating desires (more or less).I found the hotel to be everything I expect a decent business hotel to be. The room was quite small, but clean and had everything I needed. The bed was very comfortable. The view from my window on the 17th floor was great! There were no wireless Internet service, but the wired Internet service was good enough. The gym was one of the better I've seen in a while, with a big swimming pool and several training machines. Top class indeed!No breakfast was included in my price, but there are a lot of nice restaurants close by that serve breakfasts at a reasonable price.The front desk service was ok, I had to wait in queue for some time to check in, but the check out was carried out automatically, on the last morning of my stay my card was charged and the bill was slided under the door. Since I hadn't used the mini bar and didn't have anything to complain about the check out was done and I could leave the hotel without any hassle.I was overall pleased with my stay.	
Feb 17 2008 	For the average guy this is a good hotel	I'm an average middle-class guy. I drive an Infiniti G35 Sedan ... silver. I live in a 1200 sq-ft house. I like beer and wings. I'm not a fancy-boy, don't own a gold watch and I don't eat my pizza with a knife and fork.I've stayed at this hotel on business on 2 occasions the most recent of which as in Jan 2008 for approximately $130/night. The rooms are well kept and clean. The heater/AC makes a terrible racket impeding sleep but functions well enough and I just turned it off. There's a mini-bar with way overpriced stuff in it that I tried not to touch because there's a sign that says the POSITIONS of the items are monitored. They know if you so much as MOVE anything. The pool closes at 10pm and has a nice pool and hottub with towels and showers right there. There's a cute parrot there that says HI and other greetings :)Parking costs about $10 a day and is self-park. No valets required and since I'm an average guy I prefer it that way. I don't need some dude getting a car for me when I know quite well how to pull into and out of a parking a spot.Location is great right downtown and semi-close to the highway.	
Jan 7 2008 	Dated room but good location	Bathrooms are outdated, 80s style and old.... needs updating the most, room was okay bed was pretty comforable ...but the hotel was in a good location (One block from St Catheriene's, two blocks from Crescent St) l	
Jan 7 2008 	Anonymous business hotel in central location	The type of decent but unspectacular business hotel you would expect.Pros:LocationClean roomsDecent poolCons:Parking costs extraNo wireless and internet costs extraSmallish roomsNoisy heating system	
Jan 7 2008 	Very Rude people	This is a very nice hotel but do not expect people to be nice to you. The bellman and the front desk people are very nice but other people like the manager and maids are rude. It took 5 hours to get someone to come and clean my room. It cost 19 dollars a day to park at the hotel which is very expensive. The rooms in the corner are VERRRRRY small. You are not allowed to use ur playstation or X-box because they have programed the TV's so you cannot use it. Which disapointed my boyfriend very much.There are alot of great places around it. I would give it a 7 our of 10 for our stay	
Jan 3 2008 	Average Sheraton there are better choices for the price	Arriving late at night, we were elated to find that our room has been readied for us. We were upgraded to a large king room on the Club Floor level on the 34th floor with a great view to the Mont Royal and the city. The comfortable size room has a comfortable king bed and it is quite comfortable as all Sweet Sleeper beds are. The work-desk is of a good size but the Internet was very expensive at $20/day. There is a reading chair with ottoman standing next to it. The room felt outdated and old despite some artsy touch such as the burgundy drapes with musical notes. The drapes are also too short to shield the daylight effectively. I had to use the bathrobe as a filler to block the light out.The bathroom is of a good size, larger than the usual tiny Sheraton bathroom size. The marbled decor is a bit 80'ish and the bathtub is a bit worn.The best feature of this hotel is the lobby and its location that is right in the downtown area. It is however need some serious refurbishing to bring it to the proper state.	
Jan 2 2008 	Proximity is a plus!	I guess I should hold my breath when I write this review because I believe that this hotel will be doing renovations. We had a mediocre stay. I would have to say that the lobby area is probably the most beautiful aspect of the hotel. It is very close to the Bell Centre as well as some great restaurants. The view from our hotel room was absolutely stunning - we had the PERFECT view of Mont Royal and the cross. I would recommend this to families or tourists who are attending an event at the Bell Centre because of its proximity.	
Dec 22 2007 	normal stay	this hotel is for everyone...price are acceptable..great location... the rooms look kind of old, service was ok, good for young people	
Nov 25 2007 	Good Stay Decent Hotel	There's nothing wrong with this hotel. Is it 4-stars as hotwire seems to think? Not in my opinion. More like 3-3.5 stars. Is it worth it? Depends on what you pay, I guess. It's a clean, safe, comfortable hotel in the heart of Montreal. The staff was friendly and helpful. The room was smallish, clean, comfortable and had a great bed. Really nice pool, fitness room, and lobby bar. It was a nice place to come back to after a day exploring Montreal or a night on the town. We would definitely go back.	
Nov 1 2007 	Great Location not so great price!	Great location - very close to the main shopping streetLots of facilities in the hotel - particularly internet/business etcNon smoking rooms....Decor in rooms - fair but comfortable.Very expensive however and found staff unfriendly particularly when booking through the telephone line.	
Oct 29 2007	Great stay	This was a very good stay downtown. The hotel is surprisingly nice once you see the inside. The suites are well done and comfortable. I very much enjoyed the bar downstairs and the bar on the top floor for special events has a great view.Overall impressed and happy.	
Oct 8 2007 	Budget Inn Central Locale Only for Great Price	I spent several nights at the Le Centre Sheraton in downtown Montreal because it was near McGill University, where I was attending a conference. Though having visited Montreal now, in the future I would probably choose the Residence Inn if I wanted to be closer to McGill University.The hotel is located in the downtown business district and is close to the entertainment district. It is about $35.00 taxi ride or $50.00 limo ride from the Pierre Trudeau International airport.During my stay in Montreal the weather was exceptional warm and dry. McGill is very attractive university on a small mountain.Check in was smooth, Audrey, a trilingual local Sheraton representative was unsually warm and friendly for Sheraton employee. Having stayed at Sheraton Grand in Sacramento and the Sheraton University in Syracuse in the past month, Audreywas a standout among Sheraton employees!My room was on the Starwood Preferred guests floor. So it was quiet and I did not hear any street nosie.The room was small with old decor. The bed was comfortable.Television had basic channels. The room was clean and the service person did a good job of cleaning the room and she was friendly as well. I did not spend much time in my room, so I was just looking for a quiet place to sleep at night. Lighting was fine.I paid around $70.00 on priceline and for that price this Sheraton property was okay. I would not pay much more because of the small room and dated furnishings and room.There is plenty of restaurants and shopping nearby (short walk to the north either west or east). Some of tourist items prices are higher than in old Montreal but better deals than the Latin quarter. I ate at the Hard Rock cafe (great service) and the Le Brassire chain which was okay. I even walked to Old Montreal which was not too long of walk. The location is probably the best thing about this property.In old Montreal I recommend Sport Du Vieux (casual dining), Restaurant Du Vieux Port (steakhouse with exceptional and friendly service), and Restaurant Des Gouverrid (Freinch cuisine).I also stayed at Doubletree Plaza hotel and Gault boutique hotel during my trip to Montreal. I highly recommend the Gault for hotel in the Old Montreal and if you are planning to spend more time in your room. The Doubletree only if you want to be in the Latin Quarter.I was satisfied with my stay at Sheraton Le Centre because of the price and location. If you can not get a great rate then you will probably be disatisfied because of the old rooms and their old contents. Service was good. I recommend this property with some reservations.	
Sep 26 2007 	Center of everything	Some call the rooms small, think of them as cozy. Comfortable bed, clean room, stocked mini-bar and a great continental breakfast the next AM for those who stay in a Club room. We missed the complimentary cocktails in the evening but I hear it is very popular. Only complaint was that when we got there all 6 elevators where down due to a software glitch and apologies were only made when a manager was sought. We walked to the Bell Center and restaurants.	
Sep 25 2007	A Little Rough Around the Edges	I just returned from 3 nights at this hotel. I was joining a friend who was booked to stay at this hotel as part of a conference she was attending. I just came along for the ride! All in all the room was &quot;fine&quot;. We were in a non-smoking room with two double beds. The beds are very comfortable with nice hotel sheets and a comfy duvet with a hotel blanket in between. The room was of adequate size and the 19th floor gave us nice views. The location was also good - a short walk to Old Montreal and just over a block off of St Catherine's Street. I also walked to the Atwater market in half an hour too.I can't figure out how such a large hotel can have so many rooms with stained carpets. Ours was no different. A large stain in front of the office desk looked like perhaps someone had dropped a pot of coffee. There were a few other, smaller stains as well. The arms of the armchair were a bit worn. The bathroom was dated with floral wallpaper. The curved shower rod was a nice touch and the shower was nice and hot. No fan in the bathroom so it got pretty steamy. Our sink had a large crack in it and the handle of the toilet was cracked. I noticed some coffee splatter on the wall behind the coffee pot and dirt in the corners of the closet door - nothing life-altering but did kind of make me wonder about the attention to detail.I'm pretty squeamish about hotel rooms and all in all the room was just fine. I was quite comfortable but everything was just a little rough around the edges - ie) don't look too carefully and it will all be fine! My friend had a conference rate of $169 and I think that was about right. I was stunned to observe a rack rate on the back of the door of $565 though! I would NEVER pay that much to stay at this hotel and if you are, you need to rebook quickly.Anyone that we dealt with was very polite and friendly. The concierge's gave good restaurant recommendations. I liked the outdoor terrace on the pool level. It was a nice place to relax with a magazine. There are tables and chairs and lounge chairs too.One heads up that I have not seen before is that the mini-bar is electronically wired. If you move anything out of it's designated spot it is automatically charged to your hotel bill. I wanted to put some wine that I bought in the friidge so I moved things around a bit and upon check out we were charged for 3 beers and a water. There was no problem to remove these charges upon checkout but at the same time that we were leaving I overheard another guest also asking for charges to be reversed. Seems like an unnecessary hassle and might be worse for those who don't bother to read their bills upon checkout.	
Sep 16 2007 	Needs help fast-. AAA 4 star-NO WAY!	Location is very good- convenient to most everything in Montreal. The public areas were nice, but the attention to detail ends at the first floor. The room was in desperate need of help. The carpets were stained all over and had cigarette burns all around. The easy chair had huge rips in both arms and the stuffing was hanging out of both arms. Desk chair also had a huge stain on the seat. Business Center internet was $ 7.50 for 15 minutes and 50 cents a copy. AAA needs to pay a repeat vsit- they really missed the mark on this property.	
Sep 14 2007 	Older hotel but very prime central location...	My family and I stayed at this hotel for 2 days. It is very central right in town. I would say the best thing about the hotel is absolutely its location - right next to St Catherine, the Crescent , the Bell Centre etc... We could just walk out every day and night and found food, entertainment and shopping. The hotel and room are a little old, but our room at a higher floor offered reasonable view despite the grey weather. The front desk and the concierge are both friendly. They offer options of self-park and valet. We always like the autonomous self-park and it was about $16 - I think valet is a little more than $20. A little on visiting Montreal: We drove to Rue Denis to have dinner one night to be in a more authentic Montreal neighbourhood and was not disappointed with the food. Though our French was not fluent, the servers at Cafe Cherrier had sufficient English to help. They also had some English menus in limited quantities, but you need your French to read the specials. We also stumbled upon a Saturday market in Old Montreal that imitated 18th/19th century - that was fun and interesting. I am not sure if this is a weekly Saturday event.	
Sep 14 2007	Not lovin this Sheraton!	This hotel was so very average, I kept checking to see if I was really at a Sheraton at all.The hotel is in desperate need of a renovation. The room looks old and tired. We are staying on the club floor, but frankly it's a waste of money. The bed is lovely, clean and firm, but that's about the only positive.The desk is all worn and chipped. The carpet is covered in cigarette burn marks (non smoking room). The coffee provided is Nabob (cheap nasty). The toiletries are ok, but nothing special and pretty spartan.The bathroom is clean but very old and out of date. Took a very long time for water to drain from the bathtub.The swimming pool is nice, although very dark. The high speed internet is $12.95 per day plus tax. All in all, I'm very disappointed. I've stayed in a number of Sheraton hotels and this would rank as one of the worst. The location is great, convenient to downtown and easy access to the subway (metro). St.Catherine for shopping is a block away.Not sure I'll come back here again until they've done some pretty significant renos.	
Aug 29 2007 	Small rooms needs update service very pricely!	I came to Montreal for a congress and choosed Le Centre Sheraton out of many others over the internet because of its close location to the Palais de Congress (0.8km) and to Old Montreal and because of the possibility to use a swimming pool inside of the hotel. I arrived by taxi (it was 40 $ one way) , and unfortunately the website of the hotel did not inform me about the possibility to use the airport transfer (14$) to and from the hotel. Checking-in was very friendly. When I arrived at my smokers room, I was quite shocked because of the strong smell of smoke sticking in all the carpets and furniture. When I found out that there was not even a window to open to let in fresh air, I was dissapointed. Anyhow. None of the rooms has a window to open. Just let the aircondition running up all the time and leave the guestroom door open as often as you are able to. I provided myself with a smell killer spray and so I could stand it. I slept with the guesrroom door half-open all night. There is no dehumdifier or ventilation within the bathrooms, so if you want to enjoy a longer shower it gets quite humid inside your room. The furniture is not taken good care of. The chair in front of the desk as well as the armchair in the room were full of spots. Internet access was provided, yes. But to a rate of almost 15$ per 24 Hours. For example: a colleague of me stayed at Four Points Sheraton, Montreal, where the Internet access was for free!When I wanted to let my handout for my talk at the congress being printed out (the information sheet in the room told me just to send an Email to Lecentre.sheraton@sheraton.com it came back because of an unknown Emailadress. I went downstairs, where the friendly personal provided me with the information that I may print out anything at the business center. Well, I went down to the business center where iwas asked to pay 7.5$ just for using the computer, another 50 cents for every minute and another 50 cents for each of a black and white printed page or 2 $ for each of a coloured page. 10$ just to get a print out of a 2-side word document? No way! Imagine, you are already paying 15$ a day just for the use of the Internet! I went to the front desk again, where they helped me after I told them that I was not willing to pay 10$ for a print-out of a two sided word file. Using your telephone is equally expensive:If you are using a telephone prepaid card on your room telephone, you will be billed for that! You will be billed 1.50 $ for each calling and if you are talking longer than 60 minutes it will be an additional 10 cents per minutes thereafter. I went to the hairdresser at the lowest hotel level. I came out (just for highlights and no special hair cut) with a bill amounting 250$. My fault was, that I hadn´t ask for the average amonut of costs ahead. What was really nice was the pool area, where you will be able to swim from 6 a.m. to 10 p.m. , joining a whirlpool or a sauna. This area is really lovely.Check out is around 12 a.m. My flight was going in the evening so I asked for the possibility to store my luggage. It was 1.50$ for each item. Resume: I would not come again to this hotel because even if the pool area is nice, this is not what you should be searching for only in this wonderful city. Le Centre Sheraton is said to be a four stars hotel. I would expect Internet access for free, no billing when using prepaid cards or storing luggage at your departure day and a better service for printing as well as a ventilator/air condition within the bathroom and clean chairs to sit on in a four stars-hotel.	
Aug 26 2007 	They took good care of me	I made my reservation a while ago on their website so got a reduced rate. I read these reviews and was a bit concerned.However when I arrived the front desk staff were extremely pleasant and efficient and took time to explain the location of the amenities. My room was upgraded to an executive suite - a massive living area with even a boardroom size table for eight. The bedroom was as large as most hotel rooms. And there were two full baths. Admittedly the furniture looks a little worn but everything was clean and orderly.There is a lounge on the top floor that is open during the day with free computers. However the free breakfast is limited to cereal and rolls and the evening snacks are minimal compared to most Sheraton offerings.I certainly got my money's worth.	
Aug 21 2007 	Needs updating	Stayed at the Sheraton with the family during a vacation in August. I was very surprised to discover that the bathroom did not have ventilation so get your OUST ready if you decide to stay there. We got a room with a King bed. The room was small but clean. The bathroom was clean too and they will change the linen everyday if you want them to. The location of the hotel is very good, but so are the other hotels downtown. Internet was $15/day (No wireless except in business center) but couldn't get it to work and parking was about $19/day so these charges will add up quickly. Staff was friendly and helpful and they spoke both English and French. They do not offer a complimentary breakfast, but there are good places to have breakfast nearby on St Catherine's. If you like coffee, skip Starbucks and try Second Cup on St. Catherine's. Overall, I was satisfied with the hotel but I would've been more satisfied if it weren't for the bathroom ventilation thing. I paid $75/night through priceline so it was a good value. One last thing: the Montreal Metro is clean and wonderful. Get a Metro pass and skip the hassle of driving through traffic and one way streets.	
Aug 18 2007	Nice Pool okay location but just too big and not worth more than $200 per nigh	We booked this hotel through a deal through SPG. The hotel is very big and impersonal. While we were staying they had a large convention of CWL and they took over the hotel. The location was okay, as were were attending a Congress and touring at the same time. The hotel is next to the Peel metro stop. I wouldn't pay the scheduled rates for this hotel. However, after a week, I think the location was better than I originally thought. Montreal is terribly spread out. We used the metro for the Biosphere, Biodome, and Botanical Gardens, as well as trips to Plateau Mont Royal. You are near the St. Catherine's shopping area, the galleries and Museum on Sherbroke ...plus all of the restaurants in between. We used the healthclub and the pool daily, which were great. The room was nice (a king with a foldout queen for daughter ), very clean and serviced better than most. We actually found the staff in the hotel nice and very helpful. I had to leave early morning alone with a child and two hotel staff jumped in to help me and loaded everything into a taxi. Tipping also didn't seem to be on the begging level we noticed everwhere else in Quebec. Montreal is expensive and if you get this hotel for the right price you will be very happy.	
Aug 15 2007 	I agree skip this one especially at published rates	I managed to get this hotel, like many others on here, on Priceline. I would recommend to skip this one like some other reviews too, especially when paying their advertised rate. It's a good value but only when booking through third parties such as Priceline. It is not up to par with other Sheratons or hotels of the Starwood chain I've stayed at recently. The service at check-in was exemplary, to which I will give credit to that particular employee at the Starwood Preferred desk counter. Despite having booked through a third party, he gave us a choice of rooms and honoured the request for two double beds non-smoking. The rest of the staff were quite the opposite. I dealt with 3 other staff at the reception and they all looked as If they were doing me a favour for even acknowledging my presence. And certainly no smiles. When I stopped by the reception in the morning since parking did not appear on the bill, this particular receptionist did not even say &quot;hi&quot;. Just looked up at me from his computer screen. Parking attendant did not even speak French which in a city like Montreal (I am from this province and it should be expected for those who are more unfamliar with the political context here) in such a large hotel, and myself being from Quebec, was insulting. Lobby otherwise pretty nice but who sleeps in the hotel's public areas?The room was ok and overall tired. Cleanliness left to be desired. It was dusty in all corners (clearly visible when you opened the armoire in which the TV rests) and some of the glasses were not clean. Don't look under the beds!! SweetSleeper beds very comfortable but as somebody else pointed out, it's not enough. Carpets faded although ours was relatively stain-less. Great view of downtown Montreal from our room and it was at the very end of the hallway which was a big plus! It was very quiet. Bathroom of reasonable size, cleaner than the rest of the room although like the rest, dated. Let Starwood invest a little but of money into this one and it will be a much better hotel. Right now, most of the staff seem miserable (reflective of management perhaps?) and the rooms could use a good cleaning or better, a major renovation. Just changing carpets and furniture would go a long way. Right now though, this is not a 4-star hotel and should not be classified as such even on Priceline as it is in no way as good as the Intercontinental or Omni that often come up at the same level. When choosing a hotel and booking direct, I would advise other properties with more cheerful staff and much better rooms.	
Aug 13 2007 	Only stay if you get a good deal from Priceline	I won't be as harsh as other reviewers b/c I found the service to be great. The concierge, front desk, and valet employees were all so helpful and friendly, which made up for a lot of what this hotel was lacking. I'd give this hotel 2 stars if it weren't for the saving grace of the employees, for which I bumped it to 3.I only stayed at this hotel b/c this was what was given to me via Priceline (for about $90/night). I was having trouble securing a room via Priceline in Montreal in August. I'd take note of that - there were many events going on, from Grand Prixe Racing to a huge jazz festival, which made it difficult to secure a room at a decent price. I've read about others Priceliners getting a room here at the Sheraton for $70-80/night. I think this is appropriate for a stay at this hotel.The hotel is located on Blvd Rene Levesque, the downtown area of Montreal. The building is nestled amongst other corporate buildings and looks just like any other tall building in the area - nothing special. The blvd is dead on the weekends, since no one is in the office working. The Metro station is 2 blocks away, which was very convenient. However, behind the hotel, a block away is the bustling Rue St Catherine, which is a very commercial strip with clothing store chains such as French Connection, Le Chateau, Buffalo, Aldo, Steve Madden. There's also food chains such as Starbucks and Second Cup, and then nightclubs/bars and seedier places that I will not mention here. Also within walking distance is Rue Crescent, a 2 block area that is devoted to nothing but bars. It is pure mayhem and seems like a big frat party, if you are into that sort of thing. Latin Quarters was another crazy drinking area. I was not looking for this type of experience and appreciated other parts of Montreal, such as the Mont Royal/Plateau and Mile End area.The parking: either pay $26 for valet parking, or $19 for self-parking with in/out privileges. Parking for both are both below the hotel in an underground parking garage. The garage is very deep - there's 10 levels. There is an elevator that leads directly from the garage into the hotel. Then you need to just get into the hotel's elevator to get to your room.The room: I have to agree that the room itself is nothing special. I was already expecting a smaller room - hey, this is a big city. Space is a premium and I understand that. We had a queen-sized bed on a non-smoking floor (though I had asked for king). Apparently, the only avail king bed was on a smoking floor - no thanks. We were on the 19th floor and did have a good view of St Catherine. The bed was comfortable, but there was a small blood stain on our sheets! That wasn't pleasant. In addition, I noticed a small stain on the wall. I didn't even want to explore what it was, so I can't tell you if it was dirt, blood or something else. The carpeting is old and worn. There's a chair with a little table, which was convenient for late night snacks. The desk had internet access, but it wasn't free. We didn't bother to ask the price. The TV is old/dated, and I noticed that we didn't get any premium channels.The bathroom had a huge counter, which is typical of Sheratons. The bathroom handle was broken, which was annoying. You had to flush, then manually push the handle back up or it would perpetually flush.Amenities include a safe, iron/board, blowdryer, pantene branded shampoo/conditioner, coffeemaker.Despite all these setbacks, I will say that the room was overall clean. The cleaning lady was very nice. I wish the hotel would renovate overall, as it def is not the fault of the employees that it's in the state that it is.Overall, I was not expecting much from this hotel, and for what I paid, I was ok with this. If I had a choice of hotels, I would definitely not stay here again and opt to stay at a higher end hotel over the Sheraton.	
Aug 10 2007 	What a Dump!	This place was awful. We arrived from the airport by taxi, unloaded our bags, the bellmen just stayed inside and watched us carry our bags inside. We checked in, and we are starwood preferred guests platinum members, and we had guaranteed a king room. The line for check in was long, front desk person was not friendly. When we got to our room, it was a small and I mean SMALL room with a queen bed that barely fit in the room. There were stains all over the carpet, the duvet, the bedskirt, the chair. The ceiling was crumbling and falling down in the bathroom and shower. There were picture hangers where a picture should have been. We called down and complained, they said they were full. We got online and found a much nicer place called Gouveneur Hotel for much cheaper. We checked out and true to form, got no help with our bags or with getting a taxi. Stay away from this place!!	
Jul 30 2007 	Not so great	Our family of four stayed here in March 2007 for a weekend in Montreal to celebrate a family occasion.The hotel is old style, a tall, office like tower with very little charm. The rooms are dated, a little stale, and no ambience. On the other hand, the price for the room was quite reasonable.The pool and gym were quite nice, with a friendly parrot on site. Would I stay here again? No. Even for the price there are likely more charming and welcoming hotels in Montreal. The hotel is fine for a quick business trip or for an overnight after watching the Montreal Canadians across the street. For an extended stay or for a weekend for two, I suggest to look elsewhere.	
Jul 26 2007 	Comfortable beds not enough...	Our 5 day stay at the Sheraton did not meet our expectations. The hotel was in need of an update or at the very least a detailed cleaning! Rooms were small, doors creaked and the bathroom had more mildew than it should have. Very average. We only ever saw the concierge one Sunday afternoon, never found the restaurant open and were never greeted by staff at the front door. A quick late dinner for two adults and a teen in the lobby bar of chicken wings, chicken ceasar salad, two burgers, two beer and a milk cost in excess of $100. Staff were mediocre.To make matters worse, we had planned to move to Old Montreal for the balance of our stay. Our &quot;less expensive&quot; hotel , Marriot Springhill Suites has surpassed our expectations and makes the Sheraton pale by comparison.	
Jul 20 2007 	Good not Great	Nice lobby and bar (although the drinks are pricey) . The rooms are average. The pool area is nice enough.	
Jul 19 2007 	Very comfortable beds	My husband was on his business trip to Montreal our children 5,3, and 1 year old and I joined him. We stayed here for three nights we were on the 14th floor which was very nice no frills. We had two double beds that were very comfortable. The view was very beautiful it was a view of the Montagne ( mountain). We didn't use any of the amenities because we spent our time outside. The one thing we liked that everything we found was in walking distance. We even walked to Old Montreal. I took the kids to the Planetarium which is within walking distance. We did tour the Biodome which was really interesting. It has a rainforest, an area with penguins and etc. It's well worth the time to see. There's a desk across from the concierge desk that is very helpful in pointing things out on the map on the table if you need help. We didn't eat at the restaurant in the hotel,but went on a street called Rue Peel ( Peel Street) which had a few restaurants there we ate breakfast twice at a place called Belle Province. We really liked this place. The food was delicious the kids and I really liked it. The staff was very friendly and there was good service too. Overall, we enjoyed it,but we would stay somewhere else just to get a different experience.	
