	WOW!!	Great hotel! Stayed there with my wife for one night, got a great deal from the hotel. Amazing location, great staff. The bed was amazing and the pool and gym was also stacked with many machines and a great view while working out. The hotel staff is very very helpful, my wife forgot a pair of jeans and the mailed them back to us for free. I've never seen so much of an effort from any staff.Can't wait to stay again.	
Jan 12 2009 	This Place Trumps Them All	I recently stayed at the Trump following the Christmas Holidays. It was an opportunity to relax and spend some time with my nephew. The stay was such an amazing experience, from start to finish. My nephew loved the milk and cookies and the fact that there was an X-box waiting for him made the whole weekend. The rooms are beautifully appointed and immaculately kept. The pool/spa has to be one of the most relaxing I've ever visited. Brunch at 16 was exquisite, the view breathtaking! I highly recommend the whole experience. I can't wait to return for another weekend getaway.	
Jan 7 2009 	Letting things slip...	I have been a lurker on this site for a couple years and after my recent stay at Trump I decided that I needed to write a review about my experience.I have stayed at Trump three times now. The first two times were phenomenal! My family and I have always stayed in the “46 type” room between the 19-23 floors. We love the view of the Wrigley Building and the magnificent Chicago lake front and river. The rooms were always flawless, the service was great and there was not much more that we could ask for. Upon arrival our favorite doorman, MK, greeted us by name, said he was so glad that we were back and helped us to check in as usual. It was a great start to what should have been a fabulous stay. Then things started going downhill, first of all, we had to wait a good 5 minutes before anyone came to the front desk. Where was all the staff? One of the male concierge’s came over and started chatting with us; he was charismatic and let us know that if there was anything he could do for us, to please let him know. Well, there is something he could have done, he could have either checked us in or got someone to check us in. Instead of doing either of those things he went back to his desk and started chatting with one of his coworkers. When someone finally did check us in they were very nice. She acknowledged that we were return guests and said she was glad that we had come back to stay at Trump. Then she gave us our keys. I need to stop here for a second. The last two times I have stayed at this hotel not only was I not handed my keys, I had someone take my family up to the room, show us where things were and of course open the door for us. As I took the key, I didn’t think too much of it, but after everything that happened during our stay I can now see how our stay was destined for disaster from the get go. When we got to our room, everything was beautiful as usual, our youngest daughter called down to attaché to see if she could get an XBOX, and they obliged, two hours later it wasn’t in our room and when we called down to inquire we found out that they had left for the night. In previous stays we had always called the attaché desk as late as 11:00pm with someone there to grant our wishes and now at 9:00pm no one was there? It wasn’t even a holiday. Before heading out for some shopping my husband and I decided we wanted to stop by the concierge desk to see our favorite concierge Alexzandra. To our dismay we found out that she was recently transferred to another property. When we did ask the concierge questions the girl either didn’t know the answer or was robotic. I don’t ask that much of a concierge, but when I want to go to a fine dining option that isn’t as mainstream as Charlie Trotters I expect the concierge to deliver, and she did not. As a family we heavily rely on a concierge. We like to be able to throw out an idea and have the concierge make it happen, and on this trip things just weren’t the same. We decided to go to restaurants we had already been to since the two concierges we spoke to could not come up with anything that we hadn’t already been to. My oldest daughter is a fashion forward 16 year old who loves exploring Chicago’s indie neighborhoods. Normally the concierge would come up with a detailed plan of attack for her stay, but no one seemed interested in providing a level of service that actually required some thought. Needless to say we were disappointed and she was bored.I think the most disappointing service issue we had was that there was an overall lack of attention given to my family. The only person who called my family by name was MK, all of the other staff members didn’t even make an effort to address us by name. No one was particularly rude, but at the five star level I want extraordinary and that is what I used to get at the Trump, and it is a shame that that is no longer the case.During our first two trips to the Trump, service seemed to be of the utmost importance to this hotel, they had staff everywhere. They had great staff. Now, it seems like they are cutting back on their most valuable asset and forgetting why their customers stay there. I don’t stay at a hotel to be left alone; I stay at a hotel to be pampered! I want somebody to open the door for me, I want the concierge to know my name and I want to be escorted to my room. When I am paying thousands of dollars a night, I expect the best, and Trump did not deliver.Mr. Trump, you have a lot invested in this property, I advise you to go and stay there. I think you should see what your hard earned money has bought you. This hotel is slipping, I have quite honestly received better service at Holiday Inn’s then I did on my last stay at your hotel. We used to LOVE your hotel, my daughters begged me to bring them back here, but after the service (lack of) we received on our most recent visit we will be going back to the Peninsula, as they have continually met our needs without a bat of the eye.I don’t want a refund for my stay, I want my time back and that is far more valuable than any monetary sum this hotel could refund me.	
Dec 29 2008 	A disappointing experience	Ours was a disappointing experience. Sure the rooms are large and the gym is great but that's about it.We checked in on Sunday evening( 3 rooms). No one showed us to our rooms--&quot;&quot;heres the keys and use them to go up in the elevator&quot;. Thats all. No one accompanied us as other writers have noted. The next morning problems began. There was inadequate water pressure and the water temperature was tepid. My sons, in their rooms, experienced the same. I, of course complained and was assured that it would be rectified. When we returned later, the bathroom was left a mess by the engineer. I was told it was fixed.  The next day I discovered that the water pressure and the temperature was not fixed and I had to use the gym to have a hot shower. Now I was really upset. The hotel then sent 2 engineers who spent 2 hours sharing our room trying to fix it. Their 1st effort failed but eventually they got it right. The doormen were hit and miss--some times they opened the doors and other times. they didn't. The concierge desk usually, but not always, was manned. Although we were there for 3 nights, I only saw a &quot;clefs d'or&quot; once and then only for a brief period. The bar has a drink menu and prices. Yet, they charged more. When questioned, we were told the menu was wrong. When told they can't so that, the waitress threw down the bill.  They also closed the bar early. Not once did I ever see a manager. Not once did anyone with any level of authority ask about our stay. I was told that the managers are on the 2d floor and therefore didn't interact with the guests. Compare this with a 4 Seasons etc where a management rep is always present. Now here is the height of chutzpah. The trump does not have a guest comment card in the room. Instead they sent me an e-mail form which was user unfriendly--I had to answer all questions although not relevant. Last but not least, the form asked how much money I make. What does this have to do with how Trump is operating his hotel In conclusion, this is a poorly managed hotel.	
Dec 29 2008 	One of the Best Ever	After being bumped from the W Lakeshore because they were oversold, hotels.com helped secure me a room at the Trump. It was like dying and going to heaven. As dank and dismal as the W is, the Trump is nothing short of one of the finest properties I've ever stayed at. In addition to large, spacious, luxurious, sumptuous rooms and bathrooms, the real story here is impeccable service from the most professional staff I've experienced and interacted with. From top to bottom - the doormen, the reception staff, the concierges, there is AAA quality that is so rare these days. This must be the nicest property in Chicago these days, if not the nicest in the country. Absolutely 10 out of 10 experience for the discerning traveler and I highly, highly recommend. It is one of the few places that is expensive and worth it. My only regret is staying for only two nights. I would've loved to stay for a month.	
Dec 22 2008	Not impressed	The Trump International Hotel &amp; Tower Chicago is a nice enough hotel. It is relatiely new, so (most of) the decor is fresh and unspoiled.I booked directly with the hotel. I explained that I had the online floorplan in front of me as I was talking, and was only interested in the larger of the two-bedroom suites. (The '00' floorplan.) I didn't look at any other floorplans, since I wanted the best available room and, based on the floorplan, that was obviously it. I was quoted the rate, and reserved my room.Case closed, right?The room rate, plus taxes, for a two-bedroom suite ends up being just under $2,000/night.It's not like I'd committed the floorplan to memory, much less those of other rooms/suites. When I arrived at my room, something just wasn't right. I didn't know what it was, but it wasn't quite what I was expecting.Still, my stay was relatively uneventful. I had a few problems with housekeeping, and staff getting the name wrong in correspondence. But nothing that would specifically preclude me from staying at the Trump hotel (Chicago) again. It was only after arriving home that I realized why the room seemed less than impressive.About a week after my stay, I went online to show someone why I'd booked that particular room. (Clearly, in the floorplan, you can see the '00' rooms are the biggest, and thus, probably the best, in my books.) Only then did I realize the hotel staff had given me the smaller two-bedroom suite. I couldn't believe it. Not only had I specifically booked the '00' floorplan, clearly stating that I did not want the smaller two-bedroom suite, but all my &quot;eAttache&quot; correspondence referred to the larger two-bedroom floorplan, as well.If this was an innocent mistake, then it falls right in line with the myriad other little mistakes staff made during my stay. (Nothing major. Just puzzling.) However, I suspect they just didn't want to put me in the larger suite...for whatever &quot;reason.&quot;So, while I would have likely stayed there again had I either been put in the correct room, or never learned of the switcheroo, I must admit that since learning of this, I have zero plans to stay at Trump again.The thing is, I'm going to Chicago again in a couple of weeks. I'll likely stay at Park Hyatt or some other hotel where the two-bedroom suite I book, is the two-bedroom suite I get. Imagine that!	
Dec 12 2008 	Great first impression of the Trump	On my last trip to Chicago, I decided to stay at the Trump after finding out that everything was booked that weekend. Our de facto hotel is the W Chicago City Center for convenience, but my preference when staying for more than one night is to be closer to the River area.The W was charging $569/night for the basic room, and the Trump was $575. The W charged for internet access, but the Trump comped it, so the Trump was actually cheaper. As I got closer to the trip, I found that the Sofitel Water Tower was actually $413/night, so I actually booked there and canceled the Trump. When I called to cancel at the Trump, I was delighted and surprised that they decided to match my rate at the Sofitel. So I went back and canceled my Sofitel reservation.The Trump is a full-service hotel. When you step out of your car/cab, there is a guy to open the door. There's another guy to take your luggage. When you're checking in, the luggage guy is there waiting for you to get settled, and then leads you to the room. You are then given a tour of the room. Service is impeccable.The facilities are first-class. You have a TV built into the mirror of the bathroom as well as a larger flat-screen in the main hotel room area. The main room is probably 500 to 600 square feet--almost twice the size of my small Manhattan studio. The windows are essentially floor-to-ceiling. Every unit in the main tower has a kitchenette wth a small Subzero refrigerator/freezer, so no trips to the ice machine. There's a cabinet full of dishes, plates, silverware, even pots/pans and cooking utensils. The shower is huge, and there is a sunken tub in the shower area.I could go on, but the point is that the accommodations are first-class. The service is perfect. Even the room service is brainless--they bring in the food and leave you with a bill that includes gratuity that you don't even need to sign.The one niggle I had was a small one. In my haste to check out, I didn't realize until I was literally on the plane that I left both of my Blackberries in the hotel room. The hotel of course found them, but it took a little bit of calling back and forth to confirm this. They overnighted the units back to me in NY, but they did charge my credit card for the delivery (not a big deal, since this was my fault).I'd stay here again in a heartbeat, but for $575/night, I might be tempted to try the Peninsula--or the Sofitel for more than $100 less.	
Dec 12 2008 	A great personalized experience	We stayed here for our annual &quot;Christmas in the City&quot; with our kids (staying downtown to enjoy Chicago this time of year and making it a &quot;special treat&quot;).We had one of the one-bedroom suites. At about 1100 square feet, there was plenty of space for the 4 of us to stretch out. The decor is wonderful (modern, but not over the top). Good color pallate, too - very relaxing. The &quot;fireplace&quot; in the room was purely for show, though (no heat - just the appearance of a fireplace with red lights to simulate the fire).The king bed was very comfortable and the &quot;pillow menu&quot; allows you to specify the number and type of pillows you'd like to have for the room (my wife and daughters each had their own body pillow in addition to the standard pillow and I had one of the contour pillows that supports your head better than a standard pillow). My only issue is that the sofabed is somewhere between a full and queen in size - not quite big enough for my two daughters (9 and 7), so we ended up sharing the king bed, too.Nice in-room amenities including fridge, microwave, cooktop, sink, and dishware to cook/reheat your food (if you bring in or have them cook in the room for you - too pricey for us). The Nepresso (sp?) espresso maker was also much appreciated.The girls also enjoyed the pool (at the healthclub/spa) particularly since, at this time of year, there was no one else in it - they felt like princesses with their own pool!We'd certainly come back and recommend to our visiting friends/relatives.	
Dec 12 2008 	Donald Trump has style - and knows how to do a hotel right!	My wife and I decided to head to downtown Chicago for a romantic weekend and spa excursion. We reviewed several hotels, some we had frequented in the past, others were new - but we decided to visit the Trump Chicago, and it was well worth every penny spent.The Trump provides a true five-star experience. The check-in process is easy, and the folks behind the desk are very courteous. They actually show you to your room and demonstrate how to use all of the features in the room. Our room was on the spa floor and had great views of the city and Chicago river. The room was larger than other hotel rooms in the downtown area and exuded a sense of calm. All materials used in construction were top-notch, and the earth tone paint was a calming counter to the bustling cityscape below. Everything on the Magnificent Mile and State Street (Streeterville) was a short walk from the Trump. The bar at Trump (ReBar) was very cosmopolitan, and featured a selection of high-end sake.The spa was an example of absolutely superb service in and of itself. The host at the spa was absolutely amazing - he was truly involved, and Trump could not have found a better person for the job. The ambiance was incredibly calming, from the superb teas to a knockout massage - it was all there. Most importantly, the spa felt exclusive. There were no crowds of people waiting for services in robes, etc.However, not everything was &quot;perfect&quot; in paradise. If you buy a package which provides extra spa services or incentives, bring your confirmation and know what you are getting. The spa computer systems are not linked to your package, so you need to ask for the package credit upon departure. Parking was not part of the hotel stay - plan on around $20.00/day for public parking at the hotel, more for valet service. One last concern is that the adult TV movies and titles are visible by default - we were not concerned, but a family with kids may very well be.Ultimately, if you are in search of an awesome hotel experience and even better spa excursion, the Trump will deliver better than almost all others.	
Nov 27 2008 	time at the Trump	Overall, we enjoyed our stay at the Trump. We made good use of the kitchen in our suite to make meals. We appreciated the spacious dimensions of the room, the quality appointments in the bathrooms, toiletries, and bed in the room. However, the sofa bed was not very comfortable, too soft and saggy in the middle. Really appreciated FREE wi-fi. Why can't everyone offer this? Every employee we encountered was friendly, helpful, and well-trained in offering service. The only downside on service was that there was only one person at the check-in desk, and there was a long line of people waiting behind us. Attache services were prompt, from requesting plastic wrap, to a glass of milk. We made use of the spa, and the treatments (massages) were wonderful; the technicians were great. The locker facilities could use a little maintenance on the shower doors, some of which wouldn't lock, and more hair dryers would be appreciated. Room service was very prompt and the serving sizes generous. Overall, a good experience, but to reach the level of a top notch luxury hotel, which it is aspiring to be, will take some work. Special kudos to Olin at the Spa, who took the time to explain everything related to the spa and treatments to us in a patient, friendly way.	
Nov 26 2008 	Well worth the price!	We stayed here during what appeared to be the quietest of all the weeks of the year. This place was a ghost town! We loved it. We had so much personal attention. The Bellmen knew our name...the concierge knew us...the housekeeper even used our name! The room (a suite) was absolutely lovely! Our son slept on the pull out sleeper couch and our 10 year old daughter slept on a chaise lounge in our bedroom. She and he were very comfortable. I tell you this because I almost didn't book with this hotel because I was upset about having to pay $50 more dollars for a cot...my daughter was fine with out one and the hotel was gracious about providing us with sheets etc. to make up a bed for her. We paid $470 a night for this two room suite with a city view. We ate breakfast at 16 and it was wonderfully elegant. What a gorgeous setting for a restaurant...especially on a sunshiney bright morning! The pool was huge and clean! The workout facilities were so outstanding! I would stay here again in a minute! Wow, are my kids spoiled!!!!	
Nov 20 2008	Despite Trump I loved it	The last name on earth I associate with is Donald Trump, but I decided to give this a shot. From the second you enter the door, this is a true 5 star experience, the likes of which I don't think I've ever had anywhere. And I commonly stay at places like St. Regis, etc. etc.You enter the door, you're welcomed, asked your name and escorted to a very discreet desk in the minimalist lobby. In seconds, you have your room, and at least 5 people welcome you by name. The room was a one-bedroom suite, and it was breathtaking. Not only a large living room, but attached to it is a full kitchen, in exquisite style. You can actually cook in this room, although there isn't an oven. Everything is decorated in perfect taste, very expensively, but not ostentagious at all. The bathrooms were beautiful, there's even a flat screen tv built (somehow) in to the mirror!The only negative was the fireplace, which I was looking forward to enjoying. It's completely fake, electric optical-illusion flames, no heat at all. The bar is also magnificent in the hotel, complete with very finely made drinks and a luscious bar menu, with awesome sushi. I am sure that everyone of the highest taste will be pleased with this hotel. it's a truly premium class experience.	
Nov 13 2008 	Best Hotel in Chicago	We normally stay at the Peninsula or the Park Hyatt but both were booked. My husband and I were celebrating our anniversary and decided to check out Trump's new hotel. Everything was wonderful. We had a 2 bedroom executive suite with outstanding views of the lake and the Navy pier. Our rooms were beautiful and the amenities were top notch. We also used the spa, pool and exercise facilities. Everything was great. Loved the deluge shower and steam room. Our 9 year old was with us and he had a ball. It was his first trip to Chicago and he was treated like a prince by everyone at the hotel. They even supplied us with an Xbox 360 set up for the room. I thought it was a great value considering we normally spend the same amount for a one bedroom suite at the Peninsula and our 2 bedroom suite was twice the size. Not only that we had a full size living, dining and Kitchen. It's a great value for a family since it sleeps 6 with the sofa bed. Most importantly the service was better than any I have ever had at other luxury hotels anywhere. The check-in was flawless, We even got a welcome from the general manager. We ate at 16 and had the chef's tasting menu. The service was excellent and the food to die for. Our couple's spa treatment was perfect.We travel to Chicago often and this will be our new hotel from now on.	
Nov 2 2008 	Amazing hotel	This is an absolutely amazing hotel. We managed to afford it becuase we got a special deal as it was still being constructed. As we were leaving there were only small amounts of building work left to complete. We didn't have any noise from the construction work. The room was massive. Everything you could possibly need was there. Only minor thing was that even though lots of coffee was provided only 2 Coffee Mate creamers were left - so had to buy our own. Hotel is in a fantastic location - at the end of the Magnificent Mile and next to the Wrigley building. If we win the lottery we would definitely return!	
Oct 17 2008 	Not just over the top but over whatever is over the top.	I am not enamored of the Trump image but booked this hotel because it was convenient to a business meeting and had such fine reviews on this site, which I trust. It turned out to be the most impressive hotel stay I can recall. The room was enormous, I liked its design very much. It came with a complimentary tray of chocolate and a complimentary bottle of wine. There was a complete kitchenetter (espresso machine, microwave, refrigerator, dishwasher and sink, tableware, etc.) There was a flat panel tv that, in a wonderful idea that all hotels should embrace, is quiet when you turn it on and the menu screen comes on. Then there was a small flat panel in the bathroom mirror as well. The tub and shower were inside a single glass enclosure, which I liked although others could disagree. There were big drapes that have a motorized control. Plenty of space and seating areas. The room service menu was expansive with an abundance of choices. The spa and health club were also enormous and offered a very wide array of experiences. The staff is lovely. I could not imagine having a nicer stay in a hotel.	
Oct 10 2008 	Writing This Review While Still on Property	I plan on following up with a full review later, however, I wanted to give an initial impression while we're still on property. We are finnicky (sp) and frugal when it comes to accommodations. With that said, we ( myself, wife, and 7 year old daughter ) have found ourselves forced to slow down and forget our busy schedules, etc. We could not be happier.....	
Oct 5 2008	Impressive	Impressive property. Service was what one would and should expect. Room was one of the best I have stayed in; little subzero refrigerator, kitchen stove and sink are a nice touch. Decor was understated and tasteful. The lobby bar was very nice, with a great view of the river. Give the Trump a try.	
Oct 5 2008	Extraordinary	What a difference a few months make. After a relatively disappointing stay at the Trump in the spring---the property was shockingly unfinished---I just returned from an extraordinary visit. This trip I booked a one bedroom, river view suite, took advantage of the excellent '16' restaurant and the fabulous spa. All told the hotel is incredibly well appointed, the rooms are beautiful, has a wonderful friendly and accomodating staff, and has what many five star properties in Chicago lack---genuine sophistication. I usually stay at the Penninsula or The Four Seasons..but for this visit the Trump surpassed them both.	
Oct 1 2008 	Wow! Wow! Wow!	This by far is one of the best hotels out there. The spa rooms are beautiful. We had floor to ceiling windows that overlooked the river. The bathrooms are luxurious and include fancy shampoos and my favorite, the sugar body scrub. We had a TV in the mirror and a flat screen in the main room. The closet had a towel/compress heater which was nice to use in bed after our showers. The service was like no other. He must send these professionals to &quot;Nice&quot; school because there wasn't one person that wasn't friendly and helpful, which is hard to find. I had a drink in the Rebar, also the waitress was kind. The view with the dim lighting was relaxing. We also visited the pool, gym, and spa on our last day. All are located on the 15 floor. While waiting for my massage a gentleman asked if I would like tea made from fresh loose leaf. I declined but it smelled nice. The gym has state of the art equipment. My husband said it was the nicest he had seen. We were traveling with our 4 1/2 year old and he too felt welcome here. They loved children. Housekeeping sent up his own robe and slippers that said &quot;Trump Kids&quot;, how cute. The last day Trump and his family arrived for the opening of the residence side of the building. I wish I would have had the chance to tell him what a great job he did with this hotel. We will stay here every time we visit Chicago.	
Sep 24 2008 	Simply the best	I don't like Donald Trump but I loved his hotel. This is a fairly new addition to Chicago and what a step up! It's right along the Chicago River with lovely river and lake views. You can see Navy Pier as well and I can imagine get a great view of the fireworks. We had an Executive King Suite. These rooms are located on the upper floors of the hotel and have secured elevator access. Our room was huge approx 700 square feet. There was a large open living, dining and kitchen area...with a fully equipped kitchen. There is a large bedroom and a luxurious bathroom with integrated television inside the mirror. My son said it was, &quot;magic&quot;. I have to agree. The furnishings and ambiance are modern and luxurious. It's a great place to stay with children. They greeted my kids with cotton candy. They also provided a crib with lovely linens (although the crib itself was somewhat smaller than full size). The staff were so friendly and lovely with the kids from the front desk to the doorman. I look forward to returning to this lovely hotel.	
Sep 23 2008 	Above and beyond	My boyfriend booked us a room at The Trump as a surprise for our anniversary. Of course, with the name Trump attached to this hotel, you expect a lavish, upscale hotel. Aside from being lavish and upscale, this hotel has customer service that far surpassed any expectations I had. Upon arrival to the hotel, every staff member knew my boyfriend and I by name, greeted us with genuine smiles and were always very quick to offer help and assistance in anyway we needed.Our room was not ready when we arrived so to make up for our delay, the hotel upgraded our suite to a 1500 square foot room and offered complimentary drinks at their on-site bar, Rebar. After having a few non-alcoholic drinks (I am expecting), we went back to the front desk to check on the status of our room, which was still not ready. Shortly after explaining that I was expecting and needed to get situated so that we could go to dinner, our room was ready. The room was absolutely gorgeous--we had a panoramic view from ceiling to floor of Navy Pier (which later benefitted us as we watched the weekend fireworks show from our chase lounge at 10pm). The spacious room was more like a condo, complete with a full kitchen (microwave, dishwasher, oven, fridge, plates, silverware, etc.) , 2 full bathrooms, living room, dining room, and bedroom. The living room and bedroom both have large flat screen TVs. Each area in the room can be individually temperature controlled. Shortly after settling into our room we received a knock at the door (actually a ring from the doorbell) from room service delivering a bottle of champagne and chocolate covered strawberries with a card wishing us a Happy Anniversary from the staff, complimentary of course.After enjoying that we then received a phone call from the hotel manager apologizing to us for the lengthy wait for our hotel room and offering us a later check-out time and complimentary breakfast of our choice from the restaurant Sixteen or room service (which later totalled to be over $100). Every service that this hotel offers has special extras which makes it even more fun to order. Throughout the night we enjoyed their 24 hour room service, including ordering a Trump Sundae twice. Everytime you order, the staff will gladly set your table for you where ever you choose to dine (near the window, at the dining room table, bedside, etc.).The next morning, our paper was delivered, breakfast was served promptly. We loved the robes and watching TV in the bathroom while getting ready. Upon checkout, we were again greeted by name and asked if everything had met our standards, which it of course did. I would highly reccomend this hotel and would gladly stay again...and again. One more thing, although the hotel is under construction, we were never disturbed by any noise, detours or construction workers. This hotel works hard to ensure that your stay is as peaceful and relaxing as possible.	
Sep 22 2008 	Loved The Trump	I booked a girls weekend at this hotel. Almost didn't book the hotel as read some negative reviews about the service. Not sure where those reviews were coming from because that was not my experience. From the moment that the taxi dropped us off, the service was nearly flawless. The bellman, without seeing luggage knew my name and everyone in the hotel did for that matter. This is the first time at the hotel and it was very impressive. Everyone was so friendly and everyone always said hello no matter where you where on the property. The concierge George was the best. He even walked us to the restaurant for lunch as he thought we might get lost. When we checked in, we received hot towels for our hands and water. Our room-2 bedroom suite was lovely with gorgeous views of the river. This suite had plenty of room for 6 girls. I did tell the reservationist when booking that we were celebrating a birthday. The hotel one day sent us champagne, not a cheap bottle and a tray of chocolate, the next day we received gorgeous flowers and another day we received a chocolate cake. We are not celebrities nor we we paying a rack rate. In fact, I had a rate of pay for two nights and get one night free. I have stayed all over the world and have never been treated so well. The health club was large and brand new. There was a nice touch of putting voss water by your bed each night. The housekeeping service was great and have us as much as voss water as we needed for our stay. Originally I was going to stay at the Sofitel and am so glad that I deccided to stay here. We went to the R-Bar which was nice but didn't stay as the views from our room were better. I wouldn't have any second thoughts about booking here or staying here again. TRUMP really knows how to hire the right people. This was an excellent experience.	
Sep 11 2008 	Absolutely loved it	Without a doubt this is the best hotel I've ever stayed in. I was absolutely gutted to be leaving, although that would have something to do with Chicago being such a great place too.The staff were great. Helpful and friendly and couldn't do enough for you.The room was magnificent. Exactly as the website shows. Fantastically clean and with every amenity you could want.The spa was great. It never seemed too crowded and had a decent sized pool.The bar, (rebar), was excellent and the barman was superb. We had a slight problem with some bar snacks and we were comped our drinks for the rest of the evening as an apology - a little touch that makes all the difference.The restaurant, sixteen, is lovely. Massive panoramic windows, look out over Chicago while you dine on great food and wine. Yes it's expensive but hey it's a Trump restaurant, what do you expect?!When we stayed the tower was still being finished, hence the buy one night, get one night free deal that we got, but the construction was on the top floors, (80 floors away), and we never heard a peep of noise or had our stay disrupted in any way.I was expecting the place to be too garish and a little overwhelming in an extravagant Donald Trump style but it was nothing of the sort. Understated elegance is how I would describe it. Quite simply we had an amazing time and I can't wait to go back.	
Sep 9 2008 	Wonderful weekend in Chicago	We just got back from a wonderful weekend at The Trump hotel in Chicago. It was our first visit to the city and we enjoyed every minute of it. The hotel itself was beautiful. Still under some construction but we were not affected by it. The staff was always courteous. The pool and spa were fabulous. We had drinks at Rebar, which was very nice and breakfast one morning at Sixteen. The food was delicious but a little on the expensive side. All in all it was a great trip.	
Sep 7 2008 	A first class experience	We are a family of four,and stayed for 14 nights at the Trump Tower in August of this year.We stayed in a one-bedroom king apartment overlooking the City.The accommodation was first-class,new,and spotlessly clean.It was also huge-1000 sq feet,two plasma TVs,a fully-stocked kitchen,and two bathrooms,all luxuriously-appointed.Oh-there is also a TV in the mirror in the bathroom if you wish to catch up with the news whilst soaking in the bath!Maid service each day was efficient and unobtrusive,as was turn-down in the evenings.The gym facilities are first-class and were under-used by the other guests during our stay.The pool must be the best that I have ever seen in a luxury hotel-25 yards,with a dedicated lane at one side,and not too warm.It was never crowded,and I must have had the pool to myself on at least half a dozen occasions for lap swimming.The hotel staff are attentive,if at times a little over-enthusiastic!-I don't remember opening a door for myself the whole time that I was there! One word of advice-ask the staff to explain how the lighting system works in the rooms-it is not easy to fathom it out,believe me! We had the air-con go down one day,called the hotel services,and within 15 minutes the engineer was there fixing it-great service.We did not eat in the hotel restaurant,preferring instead to explore those nearby the hotel-none disappointed.It is so central for all of Chicago's attractions,the theatres,museums,and beaches,aswell as shopping,of course! A Hertz car-hire is also literally across the road from the entrance.I would highly recommend this hotel.We had very mildly-intrusive building work noise a couple of mornings,but nothing that one would complain about atall,and if my credit-card could stand it once again,I would definately choose this hotel for my next trip to Chicago.	
Sep 1 2008 	Absolutely Marvelous	My family and I stayed at this wonderful hotel for a sight seeing trip of Chicago and celebrate my daughters 5th birthday. Everything was perfect. They greeted us with smiles and wished my daughter Happy Birthday, they even had a special cake and card brought to our room. Service throughout our stay was exceptional. The staff catered to our every needs. It was a marvelous experience and we would highly recommend this fine establishment.	
Aug 27 2008 	Great but some problems	The Trump Hotel is a beautiful hotel. However, be forewarned that it is still under construction and not expected to be completed until March 2009. We stayed on the 17th floor and did not encounter any noise or problems with the construction. The front desk clerk advised us that the roof had been installed the week before and the balance of the work entailed finishing the interior of the top floors. The room itself is spacious and very well appointed. The linens are excellent as is the built-in television in the bathroom mirror. Some silly touches such as a water menu and grossly overpriced room service. We encounterd a number of problems which merit mentioning. One, we had massages at the hotel spa which were nice, although very expensive. My wife's massage cost $300.00 for an hour and a half. We discovered upon checking out that the hotel automatically charges a 20% gratuity for spa services. We were never told of this charge in advance. We also were charged an additional $300.00 for our room on checking out. When I enquired about the basis for the charge, as I had already prepaid the room in full, I was told it was a mistake. No explanation was offered how this mistake was made. Not very professional for a 5 star hotel. Second, on the first day of our stay we had the unpleasant experience of hotel staff walking unannounced into our room. First it was the maid then it was a porter bringing us a bottle of wine. When we returned from dinner we discovered a cake in our room. Once again, our room had been accessed by staff without our knowledge or consent. It caused us a little concern for our valuables, although they were safely stored in the room safe. Third, my wife and me went to the lobby bar and sat at a table for four beside the window overlooking the river. Bar was busy but not full. Nice but a little pretentious. The waitress first asked us if we were dining and when we indicated we only wanted drinks she stated that the table was reserved for a party of four. No reservation sign on the table. We frankly did not believe her. She offered us a lousy table at the back which we declined. We were put in the embarassing position of having to walk out of the lobby bar, although were were paying guests of the hotel. My wife heard the waitress laughing with another server as we walked out. The concierge was no help at all. Overall though a beautiful hotel and very well located. I would probably return in the future.	
Aug 21 2008	Five Star Trump!!	The Trump Tower is still under construction and will be for another year. So to get to the hotel you have to walk through scaffolding. But aside from that the hotel is just as advertised-a five star Trump hotel. The rooms are privately owned condos so they have small functional kitchens. There are no balconies but there are small venting windows that open. Everything in the hotels is a solid 5 star level. The personnel are all over you and are very professional. The hotel location is at the foot of the Magnificent Mile which is great in the day but a little quiet at night. I guess my only criticism of my stay is the view from my room was mostly of an adjacent office building-no lake views. Also at the present time there is no outdoor seating for the restaurant or any other part of the hotel. The health club and pool are indoor and both have a great views of the city. There is also complementary wifi in your hotel room. One of the highlights of my stay is the complementary Nespresso Machine that was in my room with refills supplied daily. If you are not familiar with this machine, it makes coffee a cup at the time by putting in a small capsule containing different types of real, not instant, coffee. So when you get up in the morning, turn on the machine, plug in a coffee capsule, and in about 30 seconds you have a cup of freshly brewed coffee or espresso. I loved it so much I ordered the machine while I was there. So my summary is that the hotel is a true 5 star hotel with a Trump touch of class and I would highly recommend it to anyone staying in downtown Chicago.	
Aug 17 2008 	Trump Hotel an Experience in Itself	My first time to Chicago and we stayed at the Trump Hotel. The hotel was the best part of the trip. The staff was so attentive and made us feel so extraordinary. In a day when customer service is at a low, Trump Hotel excels. Every time we walked in the door it was held open and we were greeted by all of the staff. The room was always so clean and our turndown service made us feel special. Every little detail from the T.V. in the mirror to the espresso maker was above and beyond. I would highly recommend this hotel to anyone. Especially people like myself who would not think that they could afford a hotel like this. Trump hotel made paupers like ourselves feel like royalty in a lavish palace. Thanks Donald. Job well done :)	
