	Good downtown business hotel	Great location, reasonable conference rates, small but clean &amp; tidy rooms, free wireless at a business hotel! Convenient to Blue Line Jackson station	
May 9 2007 	We will be back!	We were panicked because a huge convention gobbled up all the rooms in Chicago. Luckily, I found the CQ at a great rate. We took the Orange line from Midway, exited at Quincy and walked around the corner right to the door. GREAT! A very friendly staff here welcomed us, hailed taxis, gave directions, etc. Funny thing, one poster mentioned that they don't explain using your card for the elevator. Lucky for me, this happened a month ago so I was aware! Our room was 529, in a corner, no view. The bottom half of the window was frosted for privacy. At first, I didn't like it, but if I wanted to check for rain, etc, I could stand on a chair. The blinds worked well keeping the room dark and it was quiet except for the normal door noise. The room seemed brand new- no stains, torn furniture, etc and supremely clean. The sheets were okay, but the pillowcases were deluxe! The room was small and had very limited storage- two drawers in the desk and a closet. There was no iron. No frig or mini bar, but there was a coffee maker and real ceramic mugs! There was an easy to use digital climate control. No tub, but a spacious shower with a great removable shower head. Only a small countertop and shelf for storage. There was a swivel makeup mirror in the bathroom and a small hairdryer. TV was 25&quot; and placed on a table on an angle, but it had free HBO, Showtime and rental movies. I was pleasantly surprised at the workout room. They had 4 Cybex treadmills, a Cybex elliptical, one True elliptical, 2 bikes, one regular, one recumbent. They also had free weights, a few machines and space for floor work. The room had 2 TVs with channels listed on wall. They also had a scale, water machine and towels.  We didn't eat at their British pub style restaurant ,the Elephant and Castle. They didn't serve breakfast, btw. The menu was pathetic for vegetarians with only one entree- a veggie burger- no meat free salads or pasta. Hey, you're in Chicago, better choices are a short walk away at any time! Another nice touch was a water and bottle dispenser by each elevator. Bottom line, you can pay lots of $$$ for spacious rooms, toiletries, etc or you can save your money for great shopping , restaurants, etc and stay at a place which has all you need. If you stay longer than a few days, you might miss the storage space. However, I'm used to living out of a suitcase and was a very satisfied guest at this place! I will be back!	
May 3 2007 	Nice room...great deal	I got this room for 149.00 per night. Great deal considering it was right in the central loop! I must have gotten one of the biggest rooms on the floor; it was right by the elevator... I was only one person; so I would have been happy with a small place.   Updated decor and I had a mini fridge and wet bar, with a microwave and coffee maker! The bathroom was a little small (no counter space) The room right by the elevators is pretty loud, but I am a deep sleeper so it wasn't a problem at night. Plus the bed was far away from the side where the elevators were...by the window. BTW, the bed was very comfortable, I probably got better sleep there, then I do in my own bed!  My view was of the ally and I could see the people in the office buildings pretty clearly... but I was only there for business, so the view didn't matter. There was a nice desk to set up my laptop and also the wifi worked great!  The only problem we had with the cards going up to the elevator and getting in the room; they didn't explain that to me, and maybe that's the norm in Chicago and other big cities.. but I had no idea and the doors shut and luckly there was someone in the elevator who told me what to do. Then the cards stopped working and I (along with other guests) had to get our cards (re-magnitized). They checked IDs when they did that, so I felt confortable that they did that...  The doormen and front desk people were very nice and helpful, if I looked lost, they would help me. There is a Starbucks downstairs on the corner, which is nice. I walked to the Sears Tower, and many resturants near by. I would stay again! Thanks Club Quarters!	
Apr 30 2007 	Great Location Great Price Great Hotel	We wanted to arrange to stay a night in Chicago after seeing the play, &quot;Wicked.&quot; With improved weather during the Spring and Summer, there is increased pricing at hotels. We were pleased to find Club Quarters after a web search. We didn't know what to expect because we have never heard of it before . We've stayed in Chicago four times in the last eight months. We read Club Quarters reviews on Trip Advisor and found that most people had a pleasant experience. We too found the hotel to be quite lovely. The beds were great as well as the pillows. Yes, the rooms are small (cozy) but noone expects to spend a lot of time in their rooms in downtown Chicago. We were pleased with the accomodations. The Chef Salads we selected in the restuarants before the show were just right. Would we stay here again? In a heartbeat.	
Apr 19 2007 	Location good hotel acceptable	Booked through Orbitz and $80 a night for a weekend we really couldn't complain. Hotel only a couple of block from the subway (blue line brings you straight from O'Hare for only a couple of dollars each). In the business district so a little quiet at the weekend and you will have to walk up town to find a more varied selection of bars/restaurants. Elephant &amp; Castle pub/restaurant attached to the hotel good for a drink if you like fake British pubs. Food not great and we found it rather smoky but it was an easy option.Our room was small by American standards but perfectly adequate for 2 of us (1xQueen bed). We were on the 6th floor facing Adams Street (I had asked for a high room having read previous comments about noise). I think the 8th floor is the highest. The hotel was really quiet and we had no-one next door to us. Whilst simple modern decor I thought the room (bathroom in particular) looked a little tired &amp; could do with a repaint. The bathroom was very small and we had a shower (no tub) - not a problem but to be aware of if you have children or are larger than average.Only 2 pillows on the bed and we wanted more. Room instructions said they were available in the &quot;Guest Amenities&quot; closets located on each floor. We had a look in the closet and found 2 pillows but neither had covers on and both were stained (nice!).Room would have benefited from a safe for guest use. Ours did not have one.Machines on each floor with empty plastic bottles and dispensing drinking water to fill them with was a nice touch.Staff all very friendly. We were there on a particularly cold April weekend and the concierges always opened and closed the doors behind us. Front desk staff always acknowledged us coming in and out. Felt reassured by requirement in elevator to use room key to operate it - a good security measure.Whilst not understanding the previous reviewers full situation I can't really comment but I was interested to note the observation that it took over an hour for the concierge to find the person a chair. There is a large guest lounge just off the lobby where we saw plenty of seats. Failing that there is a bar/restaurant off the lobby on the other side. Perhaps this was a different hotel?	
Apr 11 2007 	Rudest concierge ever	I stayed 5 days at the Club Quarters. Excellent location for people interested in architecture, the bedroom was dark but spacious and clean. When coming in and out of the hotel the concierge would not answer to my greetings. On the last day I suffered an accident at breakfast (outside the hotel) and when I came back from the hospital, groggy and using crutches, the doormen did not even helped me to get out of the taxi or held the heavy doors of the hotel open for me. I had to wait a few hours for the shuttle that would take me to the airport, and the concierge failed to arrange me a chair and a glass of water. I had to ask 5 times and wait almost an hour for a chair, and gave up on the water. I was exhausted, in pain, I explained that to the concierge, and he barely looked at me, treated me as if I were a worm. Any good hotel would have pampered a person in distress, but Club Quarters service was particularly rude and uncivil. I wrote them a letter afterwards, the answer was not properly apologetic.	
Apr 5 2007 	Great - Centrally Located	I was looking for a hotel in downtown Chicago for just one night - myself, husband and 5 year old son. After a quick, courteous check-in we got to our room and found out we didn't have a sofa sleeper as requested (for our son). I called the front desk and he said to come back down and they'd have a different room for us right away. We were fortnuate and did not hear any internal noise nor any noise from Adams Street. The room was a little small for 3 people if you planned to hang out for a while, buy why do that when you're in Chicago! The bathroom was spacious, well equiped and clean. The little kitchenette and desk were perfect for a couple or business traveler. It's an easy 4 block walk to the Sears Tower. The El train is even closer. Quick, courteous check-out. We would defintiely stay there again.	
Apr 2 2007 	Centrally Located Freindly Staff	I booked thru Hotwire.com and was a bit leary at not knowing where I was going to stay. I went to Chicago for the Bears Fan Convention March 31 to April 1, 2007. After I booked on Hotwire, Club Quarters came up. I had never heard of the hotel and was dismayed to see they want a credit card deposit for incidentals. I do not have a credit card. Once you book on Hotwire, you can not change your booking. I called the hotel and was told, no problem, just leave $50 cash. (On arrival, the front desk lady told me it was $50 a day. I told her that's not what the guy on the phone said. I had no problem paying, as I had the cash on me. I was about to give her the $100 when I asked about a Bank of America ATM. She gave me the location and then said it was for telephone use and movie purchases. I laughed and said I was in town for the Bears Fest and I have a mobile. She said to give her $60.)I arrived quite early for check in, 9am to be precise and check in is at 3pm. The staff was able to find me a room and check me in any way. I was told it was a smoking room, but could NOT smell any smoke. I even sniffed the curtains and no smoke smell. The room is VERY spacious. I estimate it to be 17 ft by 8 ft. The bed was quite comfortable and the temperature of the room excellent. The shower is also quite large and I had hot water on demand. The bathroom and room itself were really clean. There is free internet access in the business center. The business center on floor 3 next to the ice machine and vending area is small. There is one computer and one printer. I only needed to use it twice and did not have to queue up. The only downside to my stay: the rooms are not sound proof and I could hear what seemed like every door opening and closing nearby. But I did NOT hear any of the traffic on Adams St.The staff were freindly and courteous. My deposit was refunded to me in full when I checked out (I didn't use the phone or the TV - I was busy with daBEARS!!!! ) The hotel is centrally located, plenty of bus and el routes nearby. It is within walking distance to all major sites in the loop area. There is a Starbucks next to the hotel and a 7-11 across the street that is open 24 hours a day. There is a Bank of America with an ATM a block away.	
Mar 27 2007 	A very good experience!	What can I say?? This is a very great hotel! I enjoy my stay for several reasons:1. PriceI booked the room through Travelocity. Two nights cost me 210 dollars, which is not bad at all, compared to other downtown hotels. I am happy with the price! (But please don't tell me you get a room with an even lower price :p)2. LocationThe location is definitely one of the reasons why you should stay here. Very close to State St. Very close to blue line and red line stations too! Not to mention the free blue trolley. I didn't take the bus; so I can't have a day on that. It's also very close to the Amtrak station. (Not to say you should travel by train tho. I did, and it's not pleasant...) I think it's a rather safe neighborhood. I didn't feel scary walking late back to the hotel. 3. Clean and comfortable roomI've been to NYC several times; therefore, I have this phobia for booking a hotel room in big cities. At first, I did get a bit worried about the room in CQ, because of its rather low price. According to my past experiences in NYC, low price mostly = low quality. But CQ completely overthrows that idea! I booked a basic single room with a double-bed. Surprising, it's rather spacey. The bed is very comfortable. Not too hard, not too soft. And it seems/smells clean. The bathroom is also clean and bright. Although there's no bathtub, yet c'mon do you use the bathtub in hotels? I wouldn't. Hot water is not an issue. Overall, I am very satisfied with the room. 4. FacilitiesFor some unknown reason, my wireless didn't work in the room. But since I just need to check emails, I went down to the 3rd floor to use their computer. It's free, including the printing. Maybe I was lucky. I didn't need to wait to use the computer on two nights. If I am going back to Chicago again, I will definitely stay at CQ.	
Mar 13 2007 	BEST value ever!!!!	LOVED LOVED LOVED the Club Quarters in Chicago! The location was easy to get to from O'Hare (close to the CTA - take the Blue Line to Monroe and walk 2 blocks). Staff was very helpful and informative. The room was very comfortable, clean and offered wireless Internet connection. Definitely the best value in town (booked through hotels.com -- cheapest weekend rate in the city). I highly recommend this hotel for all travellers!	
Feb 11 2007 	Club Quarters is my new Chicago home!	What a great find! Inexpensive (compared to most downtown Chicago hotels), convenient location, and a great room. I have read other reviews that complained about the size of the rooms; my room was perfectly big enough for me and would have been fine for two. The bed was great, comfortable, the room very elegant and servicable. Small but very well-appointed bathroom with a HUGE shower. Plenty of storage throughout room. Room and entire hotel was clean, clean, clean. Great eatery attached (English pub) with great wait-staff, or you can order in and have food delivered. Valet parking reasonable and convenient (and pleasant attendants). The hotel was full of students that night, but my room was 100% quiet. As a very frequent traveler I highly recommend this hotel. Happy travels!	
Jan 19 2007 	Great deal excellent location and value	I also booked this hotel through hotwire.com and got the room for $127 on a weekend when the Bears were playing. After booking and finding out I was staying here I read the reviews and thought the room was going to be so tiny, but the room was definately a normal size hotel room. The room was very clean, smelled good and the location was excellent. Each day we walked to the train station which is just about a block and a half away and we traveled to different parts of Chicago and we were close enough to walk to Soldier Field and other downtown sites.I would definately stay at this hotel again and overall I had an excellent experience for the price I paid.	
Dec 30 2006 	Good value for Business/Budget travelers	Booked this hotel through my husband's business, since that's how most Club Quarters work. Although he'd stayed at this hotel several times in the past, it was my first experience here - and my husband's first experience there in a non-business capacity.Overall, the room was much smaller than I expected -- typical for a property that caters to business travelers. But the shower more than made up for it! It was a HUGE space, with a nice showerhead that offered good water pressure. The rest of the bathroom wasn't as big, but it was ok. Not much counterspace, though, especially since the coffeemaker took up a lot of room!Our room had also had wireless internet, a mini-fridge, decent-sized closet, loveseat-like chair, and a queen-sized bed.We didn't spend much time actually in the hotel, but what we did see of the lobby and restaurant were very nice. Service was professional, if not overly friendly.	
Nov 27 2006 	Great Room for the Price	Booked late for a weekend in Chicago - most hotels were sold out - booked thru hotwire. The location was great - just 2 blocks from the museam and south michigan avenue - close to midway and out of the way of big crowds associated with the magnificent mile but still close (25 minute walk - 10 minute &quot;L&quot; ride). Incredilbly close to the theatre district. I wasn't expecting much from the room - it was small but adequate for 1 person and we did request a roll-away which was promptly brought to us. Yes, it was small but we were in Chicago!! Caution ... Do Not Try To Change Your Reservation if booked thru hotwire - they will not let you!! Overall good experience - but I wasn't expecting much.	
Nov 23 2006 	Club Quarters Chicago Loop Review	My aunt and I stayed here for 3 nights in November (got the room on Hotwire, payed $198 plus tax per night). It was clean, quiet, small, quite ok for a business person, but it was a bit claustrophobic for 3 nights for us. Every employee we encountered was very polite and helpful. My only real complaint is that every night about 4:30am we were awakened by a loud banging sound. We mentioned it to 2 employees, who had no idea what it was, but a maintenance man was walking by and overheard us, he said it was the sound of steam pipes being turned on too fast. Other than that, a very good stay. Elephant and Castle had fish and chips that melt in your mouth. Hotel is in a great location, if the price is right. Berghoffs and the Grillroom we highly recommend. Had dessert under the Christmas tree in the Walnut Room at Macys, saw the King Tut exhibit, Shedd Aquarium, Art Institute, even got to attend a taping of Oprah. Ginos East Pizza is excellent. Had a great time, stayed an extra night at another hotel, will review separately. All in all, loved Chicago!	
Nov 13 2006 	great place for short stay	My husband and I were in Chicago for a theater show and wanted to stay right downtown, but for a reasonable price. We checked into Club Quarters in the afternoon and walked around. The hotel room is small but very clean and modern. Everything we needed was right there. There is an attached English bar/restaurant that was very good. Would recommend highly if just in for short stay.....	
Nov 6 2006 	Great deal for a great location	Ok, here is the scoop:Yes, the room was small...but very adequate and accomdating. Bed was comfortable, bathroom was roomy and the location was great. You are a cab\train\bus\walking distance from anything. We have family that lives in Chicago, so we visit frequently. We booked a last minute trip and choose priceline to get a nice hotel at a reasonable price (and anybody who has been or is trying to go to Chicago, knows rooms downtown can be $$$$). I had read the reviews after booking and was a little hesitant. Don't be. Honestly, the room was very clean and for those who want to spend more time enjoying Chicago...rather than sitting in a room...you will be just fine here. However, if you are looking for accodations like The Ritz...then STAY at the Ritz. You won't find it for less than $100. Save your $$ and use it to buy couture in Chicago...or a great meal!	
Nov 6 2006 	Nice business hotel	Was a little worried after reading some reviews and was pleasantly surprised. Only paid $80 thru Priceline, so perhaps if I had paid twice that much I would have been disappointed. Rooms were small but modern and nicely decorated. Very comfy queen bed - and yes, just one bed, so don't think you'll fit 4 in a room! Check in was quick and painless - professional staff. They couldn't accomodate our request for adjoining rooms, but did have us on the same floor (about 4 doors away from each other.) The hotel was full when we checked in at 6:30pm Saturday and since I hadn't called earlier to make that request I didn't feel like it was unreasonable that they couldn't fill my request.Do have to agree that the wall seemed paper thin when the guests next to us returned to their room pretty late. I felt like I was eavesdropping on their conversation. Luckily they weren't in the mood for an all-night party and things quieted down in short order.We checked out at 10:30 on Sunday but were going to a 2pm matinee of Wicked so they kept our luggage ($1/bag) and had no problem leaving our car there (valet parking of $36 for the night, with no add'l charges for leaving it there until 4pm) while we explored Chicago by taxi and on foot.	
Oct 26 2006 	a ripoff at list rates	Only stay here if you can get it for less than $100 on priceline or something. It does not look or feel like a real hotel, the rooms seem more like a dormitory. They will only sleep 2, and you had better be comfortable with the other person. All in all I hated it, but since I only paid $80 it was probably a good deal.	
Oct 16 2006 	I cannot understand the complaints!!	Before I stayed here I read many reviews complaining about small rooms, neighbour noise etc. Although the latter wasn't a problem - maybe I was lucky! I found the rooms to be perfectly large enough for a couple with a separate sleeping area with a very comfy bed, sitting area with couch and huge TV, study area with desk, small kitchenette with sink, microwave and fridge, compact bathroom but what do you want to do in a bathroom except the obvious!! The hotel was very secure needing a card to operate the lift and the decor was ok if a little jaded. The hotel offered room service from their own restaurant or from a few neighbouring ones. also the location was great right in the central loop and a 15 min walk from the Magnificent Mile.Also the price was good compared to other well known establishments. But beware US tax is not included in price quotes and makes a huge difference but this is general!!All in all I would highly recommend this hotel.	
Oct 4 2006	Rooms are fine but had temperature Control Problems	I have stayed at this property five other times. Each time, I was fine with the rooms. They are very small but are efficient and clean. They are nicely decorated. Some of the bathrooms are quite large. The location is is a nice Loop location (this is not close to the Mag Mile so be aware of that).Here is the problem I have had every time I have stayed there...I have always had problems with the temperature of the rooms. In summer, the air conditioner never gets the room comfortable enough (no matter how low I set it, the room is always too warm). In winter, the room got so cold and the heater never got the room warm enough (no matter how high I set it). My question? Why have temperature controls in the room if they don't allow you to control the temperature?	
Sep 18 2006 	Good location	We got to the hotel 4 hours before check in. They took our bags and we left to go sight seeing. When we got back the bags were already in our room, we could just check in and relax. The hotel is in a great location, we could walk to most of the museums and attractions and the L is very close. I don't mind the size of the rooms and they were clean. My only complaint is with the bathrooms. There was no ventilation fan so it got very damp and didn't seem to dry out. And the shower was only separated from the rest of the bathroom with a curtain. The water ran under the curtain and pooled on the bathroom floor about 1/4 inch deep. If I didn't want to be sloshing around for the rest of the stay I had to mop the floor with a bath towel after each shower. But we got a good deal on Priceline and the location made up for the shower problems.	
Sep 9 2006 	promises a lot more than they can keep	The rooms are for Chicago standards dark and very small. Most of them have a view on the brick wall of the next building. The floor I was on as well as my room smelled of smoke, even though I requested non-smoking. The wireless access works only in part of the building and much of the the computer equipment is broken. The staff is very nonchalant about this and had some very interesting explanations for this (&quot;A virus in the wireless router&quot; ???). In summary a place of last resort when everything else in Chicago is booked (they always seem to have rooms open on the weekend) but not worth the money.	
Aug 29 2006	Great Location Average Rooms	The location is awesome and perfect if you don't plan on spending anytime in your room - other than sleeping. Very convenient for business travelers too. There is a nice common area to lounge around and enjoy the free internet and coffee. Rooms are nothing to write home about and don't expect to take a nice, relaxing bath - there aren't any.	
Aug 27 2006 	Great Place for Great Price	The hotel is perfectly located in the west loop. 3 minute walk from Quincy station. I stayed four nights in a very cozy room away from the mundane noise. The hotel itself was small, but very comfortable. Although I didnt get the best view of downtown, or quite any view at all, just a window half way tinted, still plenty of light came in. I didnt need the extra commodity of seeing out. Long story short, the hotel staff was friendlty and very helpful. The hotel was packed during my four-night stay, lots of tourist from different countries, not only business men. Various shops are located near the store, (three walgreens in less than a minute walk from the hotel) The hotel is located about 2 minutes walking distance from sears tower, and 30 second walking distance from monroe blue line station. One more block and you'll be in jackson red line station.The only downside to my stay was that downtown dies out after business hour, there is no much to do on this side of the loop after hours. So if like to party and visit the city for fun, for half the price stay here. IT WAS GREAT!!!	
Aug 26 2006 	Awesome price for the location	Booked on priceline to get the best deal! Yes the rooms are small, but clean, friendly and professional staff, felt safe walking back to the hotel late at night. Parking was a little pricey but it's valet so we didn't have to worry about where to park.	
Aug 16 2006 	Tight but PRIME spot	CQ is a great place to stay...very secure, great location, extremely clean, but rather a tight room.If you are the type that likes to hang out in your hotel room, then it may be a tad too small for your lifestyle. However, if you are the type that goes in and out and just see it as a place to rest, change, and sleep...then it will do. The hotel is just a couple blocks from Michigan Avenue, and it's just about a $6 ride to the aquarium/museums. Overall though, I give it two thumbs up. One thing, the service is a tad slow, but not to a point of major frustration.	
Jul 31 2006 	great stay	Just got back from a weekend trip and I was very impressed with this hotel. It's in a great location, right in the loop with a ton of places to visit nearby (including the art museum and parks and stuff). The room itself was pretty roomy, but it was a corner room, so that may have been why. The bed was comfy and the room was decorated nicely. We had giant windows that took up 2 of the 4 walls, so that also made the room feel bigger. Everything was clean and the people working there were nice, if not totally friendly. Anyways, I got the room for $79 on hotwire and I feel that it was an excellent value, especially when you consider the location.	
Jul 24 2006	Wonderful hotel!!	This hotel was absolutely wonderful. I really can't imagine why there were some bad reviews on this site. I have to be the first to admit that I'm quite a picky person and I always want a nice place to stay. We've travel quite extensively and I feel the room makes or breaks a trip. Since my husband and I were traveling with a single friend, we decided to go to priceline to request a room instead of paying the ridiculous prices the hotels were asking! We were able to get Club Quarters for $130 a night. My husband and I had a very large room with a refrigerator and microwave AND a full bath (tub and all!) at no extra cost. Our single friend had the standard room but it was quite nice. None of us felt it was small at all and was great for 1 person. She a view overlooking the downtown area also. The hotel is close to everything. It's a great city and easy to get around by train, bus , or walking. The hotel staff was always helpful and if they didn't know the answer they asked someone who did.The rooms were extremely clean. We asked for extra towels and coffee and we were given more than enough.I would HIGHLY recommend staying here and am looking forward to staying at other Club Quarters throughout the United States	
Jul 11 2006	Great location in downtown for the price	We stayed at the Club Quarters in the downtown loop for 7 days and had a really good time. The hotel is clean, quiet, &amp; the staff was friendly and helpful. Our room was rather small, but cozy. It's only a few blocks from Union Station, 5 blocks to Michigan Avenue. We found a good, old fashioned style restaurant down the street for breakfeast, which was a 1/2 block east of Clark St on the north side. Can't remember the name though. The parking garage they recommended was good, although they don't allow any in or outs during the day. So we had the car parked the whole time, and only cost $19 per day after the hotel put their stamp on it. So if we go back we'll stay there again, as Chicago is a fun town, with lots of sites to see and good times to be had.	
Jul 10 2006 	Club Quarters: Great Value!	I stayed at the Club Quarters this May while in Chicago for a conference, and it served my purposes perfectly. The lobby area was new and clean with a lounge area for guest to relax or check the internet. The check-in system was fast, the staff at the front were friendly and helpful, and the room was clean and comfortable. I was pleased with the hotel, especially when considering the affordable rate. I would definitely not dine in the restuarant next time, but would certainly stay at Club Quarters again.	
Jul 5 2006	Its okay	We werent expecting much from this hotel so we werent disappointed. Others have claimed that the rooms are small but we didnt have a small one at all. It was located in the inside walls so there was no window which gave it a jail kindof feel. The shower gave it a kindof school gym feel. Others complained about the aircondition being turned off and not receiving new towels. There are numerous little notes around the room specifiying that if you want new towels to place your old ones on the floor and to notify the front desk if you want your air to stay on as they turn it off during the day. My main complaint about this hotel was how absolutely humid it was in our room. After a day of walking my husband and I would come back to the hotel and freshen up. I'd wash my face but still feel completely sticky. We bought carmel popcorn which became soggy after keeping it in the hotel room. No matter how low we set the a/c we couldnt get rid of the humidity in the room. My other complaint is that we moved our car into valet the last day so we could have in and out service. When we went to pull it out we were told they couldnt due to a road being closed for the 4th. This was several hours before the fireworks and we even specified when dropping off the car that we were pulling it out of self service so we could use it for dinner. Moving the car to valet was pointless and only ended up costing more. Had we known this before we wouldve bought day CTA passes as we had thought we wouldnt need it since we only road it once that day. It wouldve been cheaper since we had to use it for dinner to get the pass. Overall the hotel was sufficient but nothing really to rave about.	
Jul 5 2006	Great location decent hotel	My wife and I stayed at the Club Quarters hotel for the Taste of Chicago festival, staying two nights (July 1-2).First off, the location is fantastic. The hotel is located on the corner of Clark and Adams. It is about five blocks from Union Station and four blocks from the Art Institute on Michigan Avenue. If you a fan of coffee, there is a Starbucks on that same corner. But, I seemed to notice that Starbucks were about every two blocks, slightly more prevalent than McDonald's.There were two issues we had. First, we were unable to get an extra pillow. We called the front desk on two consecutive nights. The first night, the receptionist said one would be right up, but it never came. The second night, we were told that there were no extra pillows in the hotel.The second issue was noise. The way the room doors are right next to each other - within inches. Whenever the neighbor would close the door, it sounded like ours was being closed, it was so loud. Walls seemed pretty thin - we could hear conversations pretty easily. With earplugs, it was not much of a problem at night, but it wasn't the quietest place, though street noise was relatively low. Staying at hotels sometimes feels like a coin flip as far as getting people in neighboring rooms that are respectful of others - we just had bad luck.The room itself was small, especially the bathroom, but the bed was comfortable, the room was nicely decorated, the air conditioning worked great, and we had plenty of hot water. The lobby area is small but functional. The attached restaurant, Elephant and Castle, served pretty good French toast.	
Jul 4 2006	Clean comfortable and quiet	We stayed at Club Quarters for two nights over July 4th weekend. We checked in around 7:30 pm. on Sunday evening without any difficulties. We used the valet parking which is $36 per night. A bit steep, but it is Chicago. Our room was very clean and served it's purpose. Yes, it is small, but I knew what to expect given the other reviews. We didn't spend much time in the room anyway. After dropping our things, we walked around the surrounding area. Location is perfect. We were in walking distance to Millenium and Grant Park and the Sears Tower. We actually walked to the Magnificant Mile on Monday, which is quite a hike, but doable. The restaurant attached to the lobby was nice, we had a late night snack on Sunday and Breakfast on Monday, as well as a few beers here and there. We really enjoyed the Steak Crostini, Chicken Picks, and Potato Skins. We had two breakfast bagels for breakfast, which were very good and not greasy. The only complaint we had was the bed. Although it felt very comfortable when you initially laid down, it was hard to really get in a comfortable position as the pillows were very soft, but fluffy. Hard to explain it, but neither of us had a decent night sleep either night. For the deal we got on the room, it was well worth it. We booked through Expedia and it was $300 for both nights, not including parking. We would stay there again as it was very convenient and we felt very safe.	
Jul 1 2006 	Nice surprise great location for business	I wasn't expecting much but I have to say the Club Quarters Chicago Loop was a nice surprise. If you are working in the loop it is a great location. The rooms are on the smallish side but they are clean and modern. I like the self-check in kiosks and free wireless. Price was decent. Overall, a good choice. Don't bring a car into the loop. Parking is very expensive.	
Jun 28 2006	Club Quarters Was Perfect For Us	Make no mistake; Club Quarters is not a swanky downtown luxury hotel. It also does not have the price tag of high-end hotels like The W or Palmer House (both within 2 blocks of C.Q.). If you want to be pampered in a loop hotel, you need to shell out several hundred dollars more a night more then you will at Club Quarters. The folks that are trashing this hotel in their reviews were obviously expecting a 5 star hotel at an unrealistic price.If you choose to stay at Club Quarters what you can/should expect is an extremely clean, amazingly located, remarkably comfortable, safe corporate apartment style hotel. Yes the hallways are small, the amenities basic and the desk staff minimal, but for the money it is a great deal. The rooms are not huge but more then adequate in size. Older NY or London hotel rooms are half the size as these, as are the basic rooms in the Vegas MGM. We estimated that the room was roughly 11’ by 30’ not including the closet or bathroom.The room was nicely decorated with several modern accents, nice furniture, a comfortable bed and good lighting. The bathroom was clean, brightly lit and larger then we expected based on the reviews we read here. We did hear occasional outside city street noise, but nothing major or disturbing. Extra towels, shampoo, coffee and such are available in a self serve manor from a nearby closets on every floor. Do not expect a fancy view from your window, instead use the amazing location to your advantage and walk the few blocks to the Art Institute or any of the other nearby attractions. The hotel is near three different Loop train stops. Taxis are easy to catch right out the front door. Since Club Quarters is in a quieter part of downtown, if you are looking for nightlife you might need a cab, but there are many nearby bars and restaurants (several that deliver to the hotel). There is also a small fridge and microwave in the room along with the usual stuff you would expect. My wife and I booked our stay on Priceline and got a midweek rate of $150, far less then anything else we found for similar dates on Orbitz, Expedia, Hotels.com … Remember, this is not a standard hotel it is geared towards the business traveler usually dealing with corporate accounts. We were pleasantly surprised with the room and would stay there again.	
Jun 4 2006	Great location incompetent staff...	The Club Quarters location was perfect for our weekend in Chicago- it is a great location, convenient to subway, art institute, millennium park and michigan avenue. The rooms were small but very clean and quiet. However, the staff had problems with simple tasks like charging our credit card. They &quot;accidently&quot; over charged us by 5 times what are nightly rate was and since there was no manager on duty they could not fix the mistake. There is a very good British pub right next to the hotel.	
May 29 2006	Nice stay	Just got back from a weekend stay. The hotel is a nice. Very clean rooms, friendly staff and good hospitality. The rooms are small, but are fine for 2 people if you don't plan to spend a lot of time in the hotel. Comfortable beds. Easy acces to CTA transportation buses and trains to get around the loop. We got the rooms for around $90/night. Great value for that price and location. I would recommend it.	
May 21 2006 	An absolute hole...just awful	Club Quarters on West Adams isn't really a hotel. When you visit their website, it sounds as if you'll be staying in some elite executive apartment. The reality is that the accurate part of this description is that Club Quarters is not a hotel. What it is, really, is just a poor apartment building, maybe two steps above a transient hotel. The rooms a VERRRRY small. I weight just under 200 pounds and could barely fit in to the bathroom, the entry is so ridiculously narrow. The walls are thin, the reception staff less than friendly. Good point: it has a nice British-style pub in the lobby. Having stayed in many Chicago hotel, I rate this hotel in the bottom 5 percent.	
May 15 2006	We had a great time	We just got back from Chicago and really loved the Club Quarters Loop. I see some really negative reviews and I can't understand how people didn't like this hotel unless they are just REALLY hard to please or used to 5 star hotels which this isn't. What it was though was a small, very nicely laid out and appointed hotel with really friendly staff and everything we needed including a gym and a really welcoming lounge with free internet. Most lounges are empty most of the time, but this one was cosy and friendly with people in it most of the day. We had a problem with our toilet - someone came up 15 minutes later to take care of it. We asked for extra blankets and were directed to the self-serve closet down the hall where there were blankets, pillows, irons, and extra supplies for the room. Theh location was excellent - near all of the CTA lines and a number of buses. The lay out is a bit odd with labyrinthine corridors, but the end result is you have only one neighbor so no noise of people coming and going all night. Our room was a suite - definitely a good idea if you have a family because the sofa/bed and kithenette were a plus. Our friend travelling with us had a regular double which was small, but very clean and nice. In short it was a sweet, well situated hotel for a very reasonble price and we would stay there again happily.	
