	Just OK	You can tell they are cutting back. I know times are hard but when you charge $300 you expect fast service. Room service took way too long and I was late for my meeting.	
Dec 7 2007 	Wonderful Hotel	My husband &amp; I stayed at the Drake hotel for an anniversary get away this past weekend. We booked and paid for a king room two weeks before our arrival. We received a free upgrade to an executive suite upon checkin. Our room (number 625, the Churchill Suite) was enormous with great views of both the lake and the city. The room was clean &amp; the bed was comfortable. The bathroom was spacious with an ok bathtub &amp; a nice seperate shower. We had no complaints with the room &amp; would highly recommend spending the extra $$ to get a suite at this hotel. The hotel itself is beautiful. The hotel staff was courteous &amp; helpful from check in to check out. Valet was very prompt upon check in but a little unorganized when we checked out. Things to definitly do at this hotel: Sunday brunch at the Drake Bros. restaurant. Pricey but well worth the $$. Entertainment in the Palm Court on Saturday evening. They had a jazz group there the night we stayed &amp; they were very good. Check out the shops on the lower level of the hotel before heading out to Michigan Ave. Things to skip:If you don't like tight crowded spaces...skip dining in the Cape Cod restaurant.The Saturday night lines can be long waiting for the hotel staff to get a cab for you. Take the 1 minute walk to the end of the block &amp; you will be in a cab much quicker than waiting in front of the hotel. If you do have access to the Executive Lounge don't bother. This was the only thing we were dissapointed with. It had the exact same view that we had in our suite. There was a very small bar with a bartender that was not as friendly as the bartenders in other parts of the hotel. They have a free breakfast in the lounge but we opted for room service after our experience in there the evening before.	
Dec 6 2007 	Never again	We stayed at the Drake hotel over Thanksgiving and we did not like it at all. Not only did we have a smelly room (the smell - from a room deodorant??? made us sick) but the room rate ($ 430) for a standard room on the first floor with no view at all was outrageous compared to other hotels in the same category where we stayed before. And for breakfast we had to pay extra!!!Thank you, never again.	
Nov 30 2007	think twice	Got a great rate on Hotwire $139.00 The hotel is an old city landmark at the far end of the mag mile. The lobby is ornate with fabulous holiday decorations. The bar is old school with live music and dancing. We requested a room with 2 beds because we were traveling with children. The room was small - the beds were larger than a twin but smaller than a full. When we asked for a larger room we were told that all the 2 bed rooms were the same. There were no roll away beds available. The room was very hot with windows that did not open. We shut the heat off but it continued to cycle on and off all night long. The shower head in the tub was fixed at an angle toward the wall making it impossible for a tall person to shower. I would definitely never stay here again if I needed a room with more than one bed and a comfortable temperature. Complaints to the management were initally met with arogance Eventually we found someone willing to compensate us for a horrible nights sleep with a gift certificate to one of the hotel's restaurants.	
Nov 19 2007 	It is what it is	We booked on Priceline for $122 per night, an absolute bargain for Michigan Avenue on the weekend of the Magnificent Mile Lights Festival. While The Drake is old and I prefer newer hotels the price couldn't be beat. The room was acceptable, the hotel location is fabulous and the staff was great. We were even able to extend our checkout time by one hour without any issues. All in all I would highly recommend The Drake if you're on a budget and want to stay on Michigan Ave. If you prefer newer hotels you should consider something else. For $122 a night booked on priceline I would definitely stay here again! This place has charm and character you won't find in other cookie-cutter hotels.	
Nov 19 2007 	Old style Chicago	Great hotel, paid $270/night which is at the top end of the spectrum. The room was large, clean and well decorated, and perhaps most importantly it is in a very good location. I stayed for 5 nights and found the checkin staff very helpful - checked me in at 1pm with no wait - straight to my room. The lobby is fantastic and this is reflected throughout the rest of the hotel. The one area the I would say they could imprve on is the style of the rooms which are good but look dated in the schemes that have been chosen.	
Nov 18 2007 	The urban myth is true!	The Drake is everything the urban myth says it is - I absolutely loved it! The hotel is old-school luxury - sumptuous velvet, amazing service and a small ornate bench in the elevator in case you get tired during the ride! Other reviews that I read had a few negative comments - personally, I could not fault the Drake in any way. My room was spotless and very comfortable with easy chairs and ample room. The location, the breakfast, the Palm Court Lounge - all just fabulous and I was sorry to hand over my room card. Special mention must go to John Dowd, the head concierge, who was my guide to Chicago. His service extended across the Atlantic Ocean and was super-efficient in making sure that I had the best time in Chicago.I am now a loyal fan of the Drake and recommend it to everyone. Staying at the Drake is the perfect treat in the perfect city.	
Nov 7 2007 	Best Hotel Room EVER	My room at the Drake Hotel in downtown Chicago was absolutely the best hotel room I've ever stayed in. It was huge .. it had lots of windows, and was very regal. The staff was great, the hotel was beautiful. And for the price, (given downtown Chicago prices) it was actually a great value. Highly recommended to anyone .. it's also a Hilton network hotel which is why I chose it.	
Nov 6 2007 	Pay Full Price or Don't Stay At All	Booked thru Priceline for $122/night (yes, I know, cheap). Upon check in, my only option (for me and my buddy) was a King smoking room. I went round and round with the front desk clerk. He went to talk with his supervisor and came back and said that was my only option for the first night, then they would move us the next day. He said, and I quote, &quot;That's what you get for booking though Priceline.&quot; I was just so tired and had gotten so much attitude from the guy that I gave in. Went up to the room and it smelled TERRIBLE. Quite possibly the WORST room I have ever stayed in. Of course it smelled like an ash tray, but they also used this spray to diminish the smke smell and that was even worse -- think about what a port-o-let smells like. Plus the cooling system didn't work so it was way too warm despite the fact the window was open all night. The room they moved us to the next day was only slightly better, even though the inside of the lamp shades had brown stains (how does THAT happen?). Overall, the hotel is worn with frayed carpets and wallpaper that's coming off the walls. Both my rooms had stained celings in the bathrooms.Upon check out, my bill was wrong because they incorrectly charged me for mini bar items I did not consume (c'mon, who really pays $10 for a bottle of Evian?). And parking is $45/night, but I'm ok with that because that's anywhere.By the way, half of our group also used Priceline to book their room at the Intercontinental (also on Michigan Ave) for $100/night and got a fantastic room without the hassle and attitude.All in all, it seems as if the Drake is wonderful if you pay full price. For the rest of us who are travelling for pleasure and who find it difficult to pay more than $200/night, don't have high expectations for this hotel. To me it seems as if once they learn you booked through Priceline, you're a 2nd class &quot;guest.&quot;	
Nov 4 2007 	Nice Old Hotel	Just back from a stay at the Drake. While it is an old hotel, I was completely satisfied with the room, the service, and ammenities. Bed was excellent as were the linens and internet service was good, which is important to me. Downtown location is great.I always book through Hilton.com and had a very nice room. I don't know what happens if you use other websites, but I can understand why they would not get a high priority with the hotel. There is a great benefit to hotel loyalty. I highly recommend the Drake, but if you are looking for &quot;bargains&quot;, it's probably not the place for you.	
Nov 1 2007 	Wonderful Repeat Trip	This is our go-to hotel whenever we are in Chicago. Try to get a corner suite overlooking Michigan Avenue. Great views and service: turn down every night, with cookies and milk for the kids; super-soft robes and wonderful location.I could go on and on about this great hotel...I would leave every morning before six a.m. for a jog along the lake. The doormen/valet were so supportive (singing the Rocky theme, and even timing me!)We stayed with six people: two adults, and four kids. Great time all-around.	
Oct 31 2007	Very nice but wouldn't pay the advertised price!	My husband and I spent two nights at the Drake at the end of our Chicago stay. We were fortunate to receive an employee rate, which brought the room under 200$ which is excellent for any Chicago area property, let alone a landmark. The hotel is attractive. Our check-in was easy and we were treated well, despite paying less for our room. Yes, the hotel is old, but it is by no means falling apart. Our room was well-appointed and well decorated. Our bathroom door did not shut perfectly due to age, but who cares. We were greeted with a variety of fresh berries and a berry tart presented attractively in our room. The hotel has a good location, close to the lake and close to shopping. It is not close to a Metro station. We made the mistake of schlepping our luggage down MI avenue to the hotel and it was a long walk!The beds were comfortable and I thought the bathrooms were beautiful. We did not eat at the hotel. Our carpet showed some signs of wear. All in all, I was very happy to have stayed at such a famous hotel and there were no problems at all with our stay. To be honest, we spent very little time in the room. We took the Architecural Society's boat tour which was wonderful. I wouldn't recommend wasting to much time with Navy Pier- very touristy and crowded, with no place to eat. The Shakespeare company was good though. We enjoyed Millenium Park. I had been there for the grand opening and it was just as good, and less crowded than I had remembered. We stayed outside of the city for a week as my husband had business, and I was able to visit the botannical gardens, which are not to be missed. This is a huge garden and it is magnificent. There is an excellent outdoor train portion as well.	
Oct 29 2007 	Old World Charm	Stayed there for my birthday weekend and was taken back in time to Old Chicago! Great High Tea service and unbeatable lake views from rooms on that side of the hotel. Although it's showing its age a bit, there's still so much history &amp; charm around every corner. A wonderful departure from the normal tourist hotels. While you're there, head up to the 96th floor of the Hancock Tower for a cocktail and one of the best views you'll ever see.	
Oct 29 2007 	Pay full price and you will be treated well	The Drake is a nice location in Chicago, though needs some work inside. We booked through Priceline and thank the Lord we did. I can't imagine paying anymore than $120 a night for that dump. However, when you book through a discount hotelier be prepared to be treated like crap! The valet guys were great...but then again they didn't know we didn't pay to full $300+ full price a night. We asked to get 2 double beds and not a King (because we had 2 small children) and they refused to do that even though most hotels will do that simple change with Priceline patrons. They claimed none of the rooms in our group would accomodate more than 2 people (even with an airbed) but my sister got a large corner unit that would have(also booked on Priceline for $120). They lied... We booked 3 rooms there for the weekend because we had a wedding in town. I ended up &quot;selling&quot; my unit to a relative and got an even better room via Priceline at the Westin River North(see that review). Don't waste your time or your money at The Drake!	
Oct 15 2007 	Exactly as it says on the tin	Stayed at The Drake for five nights in October. It was recommended to us as an &quot;old classic Chicago hotel&quot; and that's exactly what it was. We booked a king lake view room and got an excellent large corner room with a lovely view. The hotel is full of it's old character, nice bar, good food and staff and overall we had a very enjoyable stay. It's in a great downtown location right next to the John Hancock on Michigan Ave. Don't book here if you're looking for something modern or trendy. It's an old world hotel and it met all our expectations.	
Sep 26 2007	Old and Unsatisfactory	We checked in very late at night, we had called ahead to tell them, and when we got up to our room, it was a very smelly smoking room with dirty carpet and paint peeling on the walls. The front desk did not let us know when we arrived it was smoking and then told us it was the only room available when we called down to change it. They did move us in the morning, we had to request again ourselves, but the room they moved us to also had dirty carpeting and paint peeling off the walls. You can tell what this hotel was once, but it is really worn out now- badly needs a face lift. On the positive, the bed was nice and fluffy.	
Sep 25 2007 	Historical "Yes" Needs Update	Yes the Drake is a very historical hotel in Chicago and that is why I wanted to stay there. However, historical you have to remember also means &quot;old&quot; and that is exactly what the Executive Suite on the 10th floor that I stayed in for a week was. The carpet was so old that what used to be an embossed design was evenly smoothe to the floor and discolored. The bathroom although it had a granite countertop still looked really worn by the wood trim and cracking around frames. The so called DSL you had to pay 16.00 a day did not work and I had to keep going down to the lobby in order to use the wireless connection. If you are going to put 2 beds in a room at least make sure that they are full size and not just an oversized twin...the towels felt like sandpaper...The staff was very accomadating and friendly.	
Sep 16 2007 	Love theDrake	I took vacation during July 4 for a few days in Chicago. I decided to stay at the Drake for its view of the Lake. Also, I don't want to look out the window and find myself staring into the rooms in other buildings. I stayed in one of the lake view rooms at the executive floor and it was exactly what I wanted. It had a fantastic full view of the lake and the Lake Shore Drive (see photos). The room was large, clean, meticulously decorated, and you can tell the hotel paid attention to every detail in the room. My luggage arrived promptly. Then a hotel staff brought water and a box of chocolate (free, in case you wonder!). I’ll definitely return next time I return to Chicago. The only drawback was that the parking at the hotel costed $42/day but you can park elsewhere and take the CTA train or walk.	
Sep 15 2007 	Lovely Hotel - great location	My husband and I spent last weekend at the Drake (Friday &amp; Saturday night). We were in Chicago for the weekend with friends. Very pretty hotel, fantastic location. Close to great shopping! Nice views of the lake from our room. We had high tea on Friday and it was really wonderful. Conceirge was fantastic. The only complaint I would have is that the it's impossible to close the door to your room without making a loud bang. So if you like to sleep late, just be aware that other people leaving their rooms earlier in the day will probably wake you up when they close their doors. I would stay at this hotel again... it has a great old time elegance	
Sep 14 2007 	Nice just not my style.	We visited Chicago courtesy of our in-laws, who surprised us by springing for a suite. The room was HUGE. Like, too huge. It would have been nice were there not so much wasted space. Our suite was on a corner, which may have made some of the difference, and it was quite oddly shapen. There was a large sitting area and large closet and wet bar. Additionally, there were two pulldown beds that sprung from the wall. It was a bit odd and it wasted a lot of space, as we did not need the extra beds. The bathroom, though well appointed, was quite small and that extra space would have helped there. The bed and furnishings were nice and well taken care of. Super comfy bedding with a nice duvet. Unfortunately, the armoire that contained the tv was in a location such that you could not see the tv from the bed, which is rather inconvenient. Our room had a view directly into the Louis Vuitton store, and you cannot beat the location. Immediately adjacent to the hotel is a large mall containing a Bloomingdale’s and several other high end boutique shops. The staff was incredibly friendly and professional. The hotel is older, but it is maintained well. The Crabtree and Evelyn toiletries are nice.One thing I did find rather annoying- you have to pay $10 to use the gym facilities. That is absolutely ridiculous. The gym is nice and new, but that should be included in the price of stay. We had brunch at the Sofitel Water Tower, which was wonderful. That hotel is a bit more modern and I think if we return to Chicago we will be staying there, but there is nothing wrong with the Drake. Just not my taste.	
Sep 9 2007 	Chicago great....Drake old and in need of a facelift	With so many awesome hotels in Chicago, I can't think of any reason to stay at the Drake. Our room was old, the furniture was beat up, the shower didn't work properly &amp; the carpet had seen better days. On our way home, the cabbie told us that most people he picks up at the Drake say the same thing. We had a great time in Chicago. Next time we will do more research and make sure we book a nicer/newer/cleaner place.	
Sep 5 2007 	Hilton Honors members treated llike 2nd class citizens	We just returned from a 3 night stay at the Drake. 2 nights were using Hilton Honors rewards points, and we added 1 night at our own expense. If you think the Drake loves their Hilton Honors member, you will be sadly disappointed. Judging by the reviews and photos posted on this site, we know that the Drake treats their Priceline customers better! Read on: Upon check in, we learned we would have to move after the first 2 nights, because we had booked our extra night in a different category of room than the room booked using our Hilton Honors points (we politely asked if we might be assigned to one room for our entire stay but were told no). Our 1st room was on the 5th floor, off a very small corridor, next to a fire escape. In fact, the fire escape platform was literally attached to our window. We also had a view of the mechanical system, but nothing else. The room itself was very tiny, and the carpet in the room was badly stained and soiled. There was mold growing around the shower bar and soap dish, and the tile grout looked like it needed some scrubbing. There was some fresh fruit and chocolate in the room to welcome us, and since we knew the hotel was fully booked for the evening, we settled in. The first evening, I hardly slept at all due to the air conditioner. It was a warm evening and every time the air conditioner fan turned off there was a loud Bang! It literally made me jump out of bed a couple of times during the night. I finally turned off the fan altogether and slept awhile. At 8am I called the front desk and asked for a new room or to have the maintenance people fix the AC. No offer for a new room, but maintenance did arrive within minutes and fixed the banging AC. We also asked for a morning paper (there's a note in the room saying one can be requested), but never received one once while we stayed in the 1st room. Fresh towels arrived one evening long after we had requested them, and long after I had wandered the halls to find them myself. Believe me, we felt pretty invisible and ignored! Kind of Harry Potter-ish. On the 3rd day, we were required to pack up all our belongings so that we could be moved to the room we had booked for our final evening. When we returned to the hotel that evening our bags had been moved to a large and lovely lakeview room. The carpet was clean, the bathroom was clean. There was no comparison between the rooms, in fact, at the moment we walked in to the 2nd room we realized how truly awful the first room was. And to think that we used a bundle of Honors points on a room that should not have been given to anyone! On the third day we were also told about the amenities available to Hiltons Honors members, although that information had not been shared previously. It was like all of a sudden they realized we were Diamond members. Too little, too late. On a better note, we had breakfast in the hotel, and it was wonderful. The maintenance people were prompt and efficient in fixing the AC problem when they were notified. The maids were friendly and polite. The concierge was helpful and gave good directions and suggestions. But if you want to feel pampered and safe and valued as a customer, find another hotel.	
Aug 22 2007 	She's still a grand old dame	We got the Drake for $107 for 8/13/07 to 8/17/07 from Priceline.At such a low rate, we thought they'd put us in a closet. They did not. No mention of Priceline at check-in. We did have to wait a bit for a NS King to be available so we went down to the Coq D'Or for some cocktails.Our room was L shaped with the bed in an alcove, and a couch, two chairs, desk and chair, small table and a mini-bar in the other part of the L. The TV was positioned on a bureau such that you could turn it to view from either the bed or the sitting area. We had a great view of the beach and lake. The concierge desk is quite useful. We had a lovely site seeing day thanks to the advice of John, who has a lovely British accent.The entire staff was top notch. We were very well treated.	
Aug 11 2007 	Love the Drake	Stayed at The Drake with 2 other couple for 3 nights and all of us could not have had a more enjoyable experience. The beauty and charm of the hotel is evident as soon as you walk into the lobby. Unlike many older hotels in the city, all the rooms we were given were very large even though we booked through Priceline. The service we received from everyone on the hotel staff was efficient and first-class in every way. Of course the location could not be better with it being within a short walk to Water Tower Place, Oak St. beach, Rush Street and all the stores and eateries along the Magnificent Mile. The Drake certainly deserves its 4 star rating and all of us would love to stay there again.	
Aug 6 2007 	Fabulous and chic hotel!	Had to go to Chicago and stayed at the Drake. The hotel itself was really beautiful and what you would imagine a grand hotel would be like. Our room faced the water which was very nice. Good size and clean. Obviously the location cannot be beat-you're close to everything! Concierge friendly and made us dinner reservations. It's not super deluxe but there is a distinct charm that cannot be replicated in some of the newer, more modern or fancier hotels in Chicago. Loved that Chanel was located in the hotel!	
Aug 2 2007 	Outstanding	My wife and I and another couple traveled from California to Chicago to tour the city and visit with some local friends. We booked the Drake and each couple had an executive suite with a decent view of the Lake.If you want a super modern hotel, this isn't it. If you like old world charm with dark wood, class and lots of history, this is the place.We enjoyed the lobby bar area as it functioned as a living room when we met our local friends. Nice to have a drink in a nice setting with a harpist. Very relaxing and you could have a conversation.We ate dinner at Drake Brothers Steak House. It wasn't very busy but the food was excellent. We are from wine country and were amazed that you could get a very nice Pinot Noir for $40 a bottle.Lunch and cocktails at Coq de Or were also fantastic.The staff was excellent with a few exceptions as there always are. Clara in the Executive Lounge on the top floor was wonderful. We felt like were in her home...lots of stories of past guests like Prince Charles, Sophia Loren etc. She is a 30+ year employee....that should tell you something.The doorman Carlos was the best. To say he is very attentive is an understatement. When I inquired about the impending taxi strike on the day we were to leave, he said if it wasn't resolved he would take us to the airport as it was his day off. He actually called our room the night prior to departure to schedule to pick us up. The cab strike was on and we were able to get a shuttle. But how many employees would offer to pick you up. Carlos has been at the Drake over 20 years.Pretty close to everything we wanted to see and do but we like to walk as well. Magnificent Mile, John Hancock Tower, bike rentals on the lake, Rush Street clubs...all within a few blocks.We met several other travelers and many make an annual trip to the Drake. We will probably join the list.	
Jul 21 2007 	Old School Charm nice hotel	Nice hotel. I got a deal through priceline so for the cost of my hotel stay it was definitely worth it. Very 1950s-1960s feel to the hotel. The 6 elevators in the hotel was a nice feature. We never had to wait more than a couple of minutes to either go up or down. The room was very spacious. It had multiple closets and a separate closet for the minibar. The bathroom, though, could've been a little bigger. The small CRT tv definitely needs to be updated. The bed was nice and firm. No problems sleeping at all. The AC in the room worked well. Overall, no real problems with the room. The conceirges at the hotel were definitely the most friendly people I've ever had to deal with in a hotel. Knowledgeable and funny. They knew their stuff and offered many tips that helped us out. The hotel is close to the Mag Mile and the Navy Pier which is great for anyone coming to visit Chicago. I would recommend this hotel.	
Jul 18 2007	Everything a hotel should be.	From start to finish, this hotel exceeded all my expectations. Having stayed here previously, I knew that I was getting a good deal.The Drake is elegant and has one of the most professional staffs out there. From the GM down to the doorman, this hotel will take care of you.Upon arriving, I was upgraded to the executive floor. The room had a great view of the lake shore and was extremely well appointed and comfortable. From the fine carpeting to the digital bathroom scale, the room was well thought out.After going for a stroll, I came back to the room to find a small surprise. The ice bucket had been filled by the staff and a refreshment had been chilled for me while I was out. They had even set out some fresh fruit and berries for me to munch on. The GMs card was left as well with a note to give him a call for any issue that might arise. This hotel was greatness.	
Jul 17 2007 	Good but unfortunately not great	We got the room on Priceline as part of a romantic getaway weekend, and was happy we got the Drake, but were weary that the hotel may have been past its prime. It may be. We were given a room facing the HVAC system, and which featured a size &quot;full&quot; bed, or something smaller than our bedroom at home. We think the room could have fita king size. The room was clean and the bathroom was well appointed, though the shower head hit we at the shoulders (I am 6'3&quot;), and was difficult to manipulate. The room did seem stuffy, and the thermostat never seemed to get to the temperature we were set at.The service we encountered was all good, and the common areas are beautiful. Room service, though pricey, was quick, and when they brought the wrong thing, corrected their mistake even quicker.	
Jul 14 2007 	Exceeded my expectations.	I stayed at the Drake July 11th for 2 nights. I booked on Priceline and was very surprised to have gotten the Drake. I read quite a few negative reviews on this site and was very worried I would get a dumpy room because of booking through Priceline. I called the hotel a couple weeks before arrival and asked for 2 beds. I was told hotel was sold out for the nights I was staying, but they'd do the best they could etc. I wrote an email to reservations indicating my Silver Hilton HHonors status and again requested double beds with upgrade request. Response came promptly indicating sold out nights again, but to inquire at check in for upgrade.Upon arrival, valet took car with a smile. Check-in was smooth. I asked for upgrade. Again told hotel was sold out and rooms had been assigned by superviser according to requests. I asked how big the rooms were, 150 sq ft? 200, 300? Clerk did not know but said room was comfortable. Was given room 219. Walked down long wide hallways with great anticipation. Opened the door and was very pleased. Room was nice size. View was very good. Faced Michigan Avenue. Extremely clean. Luxurious bed linens. My standard room came with 2 bathrobes. Large tv channel selection. Crabtree &amp; Evelyn toiletries. Awesome deal considering I got this for a steal on Priceline. Turn down service was prompt. Received excellent service throughout whole stay. Only qualm was valet was $43/per day but it is downtown Chicago and because I was traveling with a toddler, for sake of convenience, I didn't look into nearby parking garage options. $43 rate includes in/out priviliges. Took car out several times. Valet guys were quick in getting the car.I would definitely stay here again and would pay out of pocket direct to hotel if I got a good rate. Location is awesome!	
Jul 6 2007 	Nice...	We stayed in a single room with king size bed, on the back side of the building facing another building. However, if you looked out the window to the left you can see Lake Michigan!The bed was very comfortable, and the shower was very nice. However, I was a little disappointed that for $400 a night - I had shell out $7 for bottle water if I wanted it (I have been to other hotels that give complementary water when at this price range). As elegant as the room was, it was stuffy and little warm. We had our own thermostat and had it set to 68, but it did not feel as it was set on 68.Location of this hotel is great! Near the shopping and the beach, with plenty of activities to do in the area. Would I return to the hotel? Yes.Recommend it to friends? Yes.	
Jun 27 2007	Heart of Chicago	Elegant! A nd so close to many graet restaurants!.	
Jun 25 2007	Very nice...but needs some work on service	I'm just back from 3 nights at the Drake. The hotel is beautiful and pretty well maintained. It is very large and I wondered if all the elevators were working since you had to wait a very long time for them to arrive. My friend and I had a twin double and the room was a good size (although the bathroom was very small), as part of a bounceback weekend package. The package also included breakfast. The area is great. Lots of activity and shops, restaurants, etc. Areas for improvement were all around service. Check in took very long since there were only 2 people at the front desk (at 5 pm) and one ofthem attracted a lot of attention with her demands. We didn't receivethe right number of breakfast coupons (and the restaurant was not flexible about this) and so had to go back and wait in line again! The breakfast buffet was very nice (especially since it was included)but don't think I'd eat there if I had to pay the full $25 fee. Once you sat down and they collected your coupon, you never saw your waiter again (so had to really work to get a coffee refill...).	
Jun 24 2007 	One of the best!	This hotel is great! I went to Chicago for spring break in March in 2007 and stayed at the Drake hotel. The hotel is nice and big so if you want to explore then you better get your walking shoes. The room was nice and the lobby was too! My room was facing Lake Michigan and had cable TV. There was a fridge,and king sized bed,a closet,and a bathroom which include batrobes to wear. There was even a bed that you could put into the wall if you need more space. Next time I go to Chicago I'm staying at the Drake!(Oh yeah and you can buy the bathrobes for $80.00)	
Jun 24 2007 	A Pampering Oasis in a Frantic City	I was visiting Chicago for the Neocon exhibition and my wife and I came a few days early to enjoy the weekend and some (very cheap for Brits) shopping. We had some concerns about mixed reviews but this was my 4th visit to Chicago and I thought it was about time I experienced the famous Drake! We were allocated a 2nd floor room right on the corner over Michigan Avenue. This would have been ideal except we are English &quot;country people&quot; who like to sleep with the windows open! Chicago drivers (and cab drivers in particular) use their horns extensively at any time of the day and night. In addition, the fire service use their sirens constantly and those jarring bull-horns at every junction. There were 5 fires that night! With the windows closed, this wouldn't have been an issue.Next morning, we requested a room change to the back of the hotel and, without fuss, all our luggage was moved whilst we were out shopping and we were upgraded to an excellent room with two bathrooms, two queen beds, two TVs and a partial view across the lake. Thereafter, we slept with all 3 windows open and had no further problems. Both the rooms we used were in excellent decorative order.We had afternoon tea a couple of times in the Palm Court, a full evening meal in Drake Bros (with a table overlooking the lake) and a quick meal one evening in the Coq d'Or. In all cases, the food was excellent with prompt and courteous service. The portion sizes in Drake Bros. were a little overwhelming but this is something we have encountered many times in the U.S. over the years - we just always feel bad about so much good food going to waste.The Drake is an ideal location for &quot;Magnificent Mile&quot; shopping.	
Jun 20 2007 	Very pleasant stay despite endless hiccups	I recently attended a conference in Chicago and stayed at The Drake Hotel for 6 nights. The hotel lost my booking, found it and then lost it again on my arrival. I had pre-paid the full amount and confirmed this before arrival but unfortunately the hotel managed to lose the documentation, then found it and then managed to transfer the full amount on to someone else's credit card. I was also given the wrong level of room from the one I had booked. Despite all this I really enjoyed my stay. I hired a bike and cycled every day to the conference centre along dedicated paths beside the sea, through parks. Wonderful. Staff happily stored my bike every day. Breakfast was a treat though the staff may have been more helpful if they had stopped me after my 4th course. Very pleasant staff, lovely bar area which had a great camp feel, 2 restaurants (both I thought were rather poor). So despite the hotel appearing to try their best to ruin my stay I really enjoyed it!!	
Jun 15 2007 	Just Great!	What a wonderful hotel! I spent 4 days at the Drake in May '07 and have rarely experienced a better hotel. My room and its amenities were great, staff were welcoming and helpful and I found all aspects of my stay to have been a delight. The Drake will certainly be my hotel of choice when I'm next in Chicago.	
Jun 2 2007 	Historic Hotel in need of a renovation	I stayed here during a yearly business trip in March. This was my first stay at The Drake. While the lobby and the hallways are very clean and shiny, my room was not. The carpeting was a dingy green that was matted and stained from years of use. I would not walk on the carpet without at least wearing shoes. The lighting in the room was dim and not helped by the fire escape located right outside my window on the fifth floor. That did not really matter though because the windows do not open anyway, and they had the kind of glass that is frosted with chicken wire embedded in it on the bottom half. It was best just to keep the curtains closed. Oddly my room door was approached by turning into a very narrow hallway off of the main hallway. The hallway was about 15ft long and only wide enough for one person to fit at a time to enter the room. I did not have neighbors, so I cannot comment on the noise. Rather my room felt very isolated, and I did not feel completely safe in it being down the little hallway and with the fire escape door right next to it. I would not choose to stay here again. I gave it two stars because the hotel outside of my room was quite lovely and they clearly spent time and money on it. It's just a shame I could not say the same about my room.	
May 21 2007 	Disappointing experience due to The Drake's infrastructure problems	This review is based on a stay from 4/8/07 to 4/14/07. The hotel has some nice features, but my spouse and I reluctantly give the Drake two thumbs down. The Drake has two major infrastructure problems, so avoid this hotel.1. The party walls between rooms are crackerbox thin. There is no sound insulation. At the Drake, we heard our neighbors cough, sneeze, belch, pass gas, and rustle plastic bags. We heard their conversations and their TV sounds, even when the neighbors were reasonably quiet and considerate. This problem goes both ways: This is not a romantic hotel, since your neighbors will hear all of your lovemaking sounds! 2. If you are in Chicago when room heating is required, including early April, bring a portable space heater, or stay elsewhere. The Drake's ancient ductwork blows cool air directly onto the bed. Maybe the ventilation feels OK in the summer.In summary: The Drake has good employees and a handsome cosmetic veneer. But the positive aspects are overwhelmed by the flawed infrastructure. A plea to the owner, Hilton Hotels: Please devote the neccessary tens of millions of dollars to a major infrastructure makeover.	
May 15 2007 	Don't Pass This One Up if you like the Ambiance of Years Gone By	We spent 4 nights at the Drake in room 329 (partial lake view)via Priceline. If I could be sure that every Priceline Bid wouldbe at a place like the Drake, I wouldn't hesitate to do it everytime. Since this was my first Priceline experience, I'llstill be cautious. Anyway, The Drake was superb. Our roomwas spacious, check-in was expeditious, room service wasprompt (with good food), but expensive as you might expect.The room was made up promptly each day. We did not optfor the evening turn down (which you must request). Gettingback to the room, even comparing to more modern hotels, itwas quite large and in great shape. The bed was extremelycomfortable, The bathrooom was large and we had a foyerwith a very large closet.. My wife opted to have High Tea inthe Palm room. I opted to have a very good martini. It was anexperience that every couple should share.. An excellent Harpplayer, all the opulence of days gone by , very good serviceand the finger sandwiches were not all bad (particularyly with a good martinii). Since we rented a car on our last day inChicago, we had the pleasure of using Valet Parking at thetune of $41.00 per day, but I must say, they were prompt inpicking up and retrieving our car. All in all, The Drake is anexperience to enjoy in an excellent location on Michigan AVe.at the beginning of the &quot;Miracle Mile&quot;. We travel to Chicagoevery couple years and we'd do The Drake again withouthesitation.	
Apr 24 2007 	Fantastic tourist or business location	Great for a weekend getaway. Management upgraded us to a junior suite overlooking Michigan Ave. for $70 a night. We had a low corporate rate to begin with, so the value was excellent. Front desk and bell service made us feel welcome. The suite was really one very large room with two pull down murphy beds, which would have been good for small children. There was an enormous wedding whose masses detracted from the ambiance and overall experience of the common areas. Our room was surrounded by wedding guests, and late night smoking infiltrated our non smoking floor bathroom. I bet the conference/wedding scale is not an unusual experience. We checked out much more expensive Penninsula, and their service and client base were more sophisticated. Overall, the Drake is a great old school hotel.	
Apr 22 2007 	Maginificent Mile Rave	A surprise 60th birthday gift of an overnight stay at the Drake was the beginning of a lovely, lovely weekend. I have lived in Chicago all of my life and have never stayed at this wonderful hotel. Location of the Drake is outstanding, the lobby is elegant, the Coq d'Or Lounge had lovely musical entertainment, my room had a wonderfully comfortable bed and linens, the hallways and room were quiet. The occasional honking of an outside car was part of the urban ambience for me. Others might not appreciate that. In that case, request a room with a Lake Michigan view.It is a pricey hotel, but special pricing is sometimes offered.I would stay there again in a heartbeat!	
