	Good	Staff is very friendly, rooms are nice with great view of Chicago River and close to House of Blues and Harry Caray's Resaurant, as well, not far from Magnificent Mile. Hallways were dark and elevators a bit scary, but overall great hotel. The bar, Crimson, located in the hotel was not great. The bartenders were nice but the waitresses were like talking to a wall.	
Mar 24 2008 	Perfect	Junior Suite was perfect for me and my 2 teenage daughters! King bed with wall mounted flat screen and living room area with a sleeper sofa with its own wall mounted flat screen. If bed privacy is an issue, this arrangement would not work because all that seperates the 2 sleeping areas is a sheer chiffon curtain. Bath area is gigantic with floor to ceiling windows, 2 sinks, large amt of counter space. Housekeeping was very attentive. Evening concierge, Mario...helped out with printing airline boarding passes at a certain time, even though we werent even at the hotel at the time they needed to printed. He was very accomodating Hotel is as close to everything as you need to be. Big city so you cant be walking distance to everything but definitely is in the middle of all. House of Blues is right across the driveway from the hotel and we enjoyed the Sunday afternoon Gospel Brunch......buffet style... so by the time you make it back to your table, food is cold but that happens at every buffet. Should have more that 2 guys preparing omelettes. Would stay there again for sure!!! Adult atmosphere...wouldnt be a place I would stay with young kids. Nothing is geared for youngsters. GOOD!	
Mar 12 2008 	Absolutely Fantastic!	My husband and I stayed at the Hotel Sax and we loved it! We were attending the House of Blues, excellent location just out the door and we were there. The staff was friendly and did everything to make sure our stay was a great one! Conceirge was able to get us reservations in the Foundation Room at the HOB, what a place! Doorman was the absolute best! It is our new home in Chicago! T	
Feb 18 2008 	Trendy upscale hotel	What a great hotel!! The bed area of the rooms are on the small side, but the bathrooms are absolutely huge! What beautiful decor. There was jazz music playing in our room when we first got there, which was a nice touch. The bed was so comfortable, and there is a huge flat screen tv mounted on the wall. The location was perfect. Walking distance to almost everything in downtown Chicago (shopping, theatre district, Millennium Park, etc.) Although we did not go there, the Crimson Lounge in the lobby looked like a great place for drinks and dancing. We had a great, romantic weekend at the Hotel Sax.	
Feb 18 2008 	Adored this hotel!	We stayed at the Hotel Sax this past weekend for my birthday and LOVED it! The staff were so friendly, helpful and courteous. The location was amazing, right next to the House of Blues and 1/2 block from all kinds of restaurants and bars. The concierge service was AMAZING! He was helpful, answered our questions thoroughly and even gave us passes to get into Howl at the Moon. I was also very surprised by a birthday treat sent up to my room. The decor is really quite beautiful and the choices of places to eat, drink and even bowl were great! We actually came back to the hotel after dinner and some time out and spent time in both the Crimson Lounge and 10 Pin the wacky bowling alley!	
Feb 18 2008 	It was exactly what we needed	Booked at the Hotel Sax through TravelZoo. We decided to go for a V-day weekend. Got their around 6pm on Friday and there was no wait at check in. Gave us a complimentary upgrade to a deluxe king and a free bottle of wine. We were taken to the 9th floor to a glorious room. The room was huge with a king bed, big windows, a 42&quot; tv, mini bar and desk. The bathroom was huge and decorated really nice. Be careful of the mini bar with its electronic sensors that automatically charge you after what they say is 30 seconds. I would go with closer to 15. We had 2 charges on there that they happily took off. If you head to the 6th floor you will find THE STUDIO which was put together by Microsoft. In this room you would XBOX with Rock Band, Halo, Madden and many others. All of this was surrounded by couches and was never crowded.I skipped the valet parking at a rate of $48 i believe. I instead parked in a parking ramp one block away for 36 for the entire weekend. It took less than 10 minutes to walk there and drive back.Overall a great weekend.PS - Try Brazazz for dinner while you are there. Its 4 blocks up Dearborn and the food is amazing. Brazazz is a Brazilian steakhouse.	
Feb 3 2008 	trendy but very dark	This hotel is trying too hard. The lobby is nice and the lounge/ bar is very cool. However the rooms are so dark that it is hard to see anything. Only one side of the bed has a dim lamp. There is a very small lamp on the desk and a very dark floor lamp. If you plan to read or work in your room, this is not the hotel for you.	
Jan 31 2008 	A swanky night at the Hotel Sax!	My boyfriend and I live in Chicago and wanted to book a night downtown to celebrate our 3rd anniversary. After browsing Hotwire I came across the Hotel Sax, which used to be the House of Blues Hotel.I am an Interior Designer and I was pretty blown away by the sophistication and style of the hotel's interior. It felt like something out of New York City. Not only were the rooms incredibly hip and clean with good ammenities, but the bar downstairs in the Lobby, Crimson, was very swank. I thought it was definitely a step-up from the tired old bars at both of the W Hotels in Chicago. On top of all this, you can't beat the location. It's right between the Loop and River North so you get choose your adventures from there and you are literally at the door step of the House of Blues, 10 Pin Bowling, and Bin 36 (a wonderful restaurant). Overall, we had a great time and got it for a steal ($130.00 a night) and I would recommend this to anyone!	
Jan 31 2008 	Really nice surprise	Very happy with Hotel Sax. Nice decor, friendly staff and a bed that you can just sink in to. It has an all around good feeling in the hotel. Impressed with the low price due to its great location. We will check out this hotel again when we take another weekend trip from the suburbs to downtown Chicago.	
Jan 29 2008	Great hotel - Impeccable concierge service	We recently had the opportunity to stay at the Hotel Sax in Chicago for a brief New Year's visit to bring in '08.My wife and I, along with our 2 teenage sons and 2 of their classmates, had a most enjoyable stay at the hotel and experienced unmatched levels of courtesy and service from the hotel staff. We thought the computer games/activity room was a great idea and we wonder why more hotels don't offer an amenity like this to provide a fun, safe and convenient entertainment option for the kids to enjoy, especially teenagers.The concierge in particular, a Ms. S. C., was most helpful in assisting us with the usual &quot;what to see, what to do&quot; drill and we really appreciate her personal attention to our many questions and requests. She is an asset to the organization.We would not hesitate to stay at Hotel Sax again and look forward to a return visit to Chicago, one of our favorite cities. We have enthusiasticlly recommended the hotel - and Chicago - to our friends, relatives and colleagues.Thank you, Hotel Sax, for making our visit so pleasant and relaxing. We will be back.1/29/08JGS	
Jan 2 2008	perfect weekend trip!	My family is from the Chicago suburbs and we decided to stay here for 3 nights so we could enjoy our own city- Chicago! The hotel met all our expectations. The game room on the 6th floor was an excellent place for my 3 children to busy themselves as I would get ready for a night out. The location is perfect. We went to the Chicago theatre (walked) Shopped in the loop and Mich Ave. Drove to the Zoo and Navy Pier and ate at an excellent new restaurant right next to our hotel called A-Mano! Yes- it seemed to cater to a younger, hip group. Huge crowd on Saturday Night for the club near the lobby. Great people watching! There is no pool however, if your kids care about swimming. We were mainly looking for a decent rate in a great location. I think we found it at the Hotel Sax!Thanks. Hope this helps.	
Dec 20 2007	Fabulous Hotel Sax!	My husband and I stayed at hotel Sax for the weekend of December 14th, 2007. We were both utterly impressed with the entire experience; the hotel location, the room, the staff and the dining. You cannot ask for a better combination! The staff were extremely friendly and helpful, especially the concierge. If you’re in Chicago and would like to stay where all the action is, then Hotel Sax is the place!	
Dec 18 2007 	Nice central location. Interesting decor.	This ultra modern hotel was very comfortable and well equipped for our stay. My husband, two children and I stayed here over Thanksgiving weekend. The location was great for walking to the shopping area along the one mag. mile. The hotel restaurant, 36 Bin was great for a full breakfast, with very attentive staff and excellent food. We went outside of the hotel for dinner. The hotel staff was polite and very willing to assist with easy check-in and front door chivalry. I found the lighting in the hallways a bit on the dim side, but chalked it up to the overall style the designers were trying to achieve. The room was modern and funky in style, but large, spacious, clean and more than equipped for an extremely comfortable stay. I would stay here again while in Chicago.	
Dec 15 2007 	Hotel Sax Needs to Turn on the LIghts	When the House of Blues underwent renovation and became the Hotel Sax (elongate that &quot;a&quot; when speaking to your children!) we were intrigued by the relatively reasonable rate and the chance to see the refurbishment. We saw what we could, given that &quot;mood lighting&quot; pervades the hallways and the rooms themselves. From the stark white of the lobby, where twenty-somethings with asymetrical haircuts waited companionably with chubby middle aged midwesterners, we ascended to a dim hallway where we used our car-key flashlight to insert the key in the lock. Nearby, prints of Old Masters hung benignly in curly red laquered frames.If you have ever seen the movie &quot;Beetlejuice&quot; you will have some sense of the post-modern frou-frou that defines the decor. The key feature of our smallish-but-adequate king room was a large wing chair upholstered in snakeskin vinyl. Next to it was a midnight-blue floor lamp with matching shade. Ah! Light! we thought, but how much light does a nearly-black lamp give you? The paisleyed wallpaper included a startling flat gray silouette of a chandelier. Oh that it were light-emitting. Bedside lighting next to the black padded headboard finally proved adequate and the bathroom was large and clean, although without an adequate surface on which to park a cosmetics bag. The king bed was comfortable and the flat screen TV worked fine. One look-see into the bar on the first floor left us shuddering at the updated cathouse decor -- enough red velvet to sink a ship. Edgy, yes, but it is all going to look merely dim and dated in a couple of years. We're still glad we went, and as others have commented, the location is great for restaurants.	
Dec 3 2007 	Modern Hotel	Good hotel. Sheets and towels were high quality. Room was clean. Staff was friendly. The kids liked the game room on floor #6. The hotel is in a great location. The decorating was modern which was fine for me. Others might have a problem with it. Would go back	
Nov 19 2007 	Great style	I stayed here when it was the House of Blues Hotel so was very interested to see what had changed. The room I had was fantastic. Not especially large rooms but large enough and very stylish with a large flat screen. This hotel is certainly a departure from the normal beige.The hotel is very handy for most locations, waterfront, Magnificent Mile and Rush and Division etc. Breakfast was very good although Bin 39 is not the best for atmosphere.The price I paid was £135/night so not cheap but a good hotel for the rate.	
Nov 11 2007 	Yes to Hotel Sax	We stayed at the Hotel Sax last minute because our original hotel was overbooked. The staff at the hotel took care of some very disgruntled people and put us at ease right away. The bowling alley adjacent to the hotel is lots of fun and the finger foods are tasty. The bar downstairs is really nice and a cool place to just relax. The room itself posed a few issues that the hotel was a little slow in attending to, but considering everything else, it was very minor and didn't really change our attitude towards the overall experience.	
Nov 5 2007 	Style over Substance - - But Great Modern Style	Recently remodeled property. The rooms were very clean, but sparse. Cute decor. Great lobby and hotel bar in the heart of downtown Chicago. Love BIN36, the restaurant and wine bar that's connected to the property.	
Oct 22 2007	Best Night's Sleep Ever in a Hotel	Great location on the south end of the loop. No problem walking the Mile for shopping, plus it was a block from the theatre district where we caught a show. Surrounded by fabulous restaurants and fun pubs. Beside the locale, the hotel staff was so helpful with both shopping and dining tips. The room was the best part. I had the best night's sleep ever in a hotel. First the bed and pillows were heavenly. The blackout curtains allowed us to sleep in after a fun night out on the town, and the rooms were so quiet that I didn't hear any hallway or neighbor noises. We used the Airport Shuttle express service to and from the hotel for ease. Definitely would stay here again.	
Oct 4 2007 	Hotel "Slax"	We had stayed at the House of Blues in the past and were anxious to see what The Hotel Sax had done in its makeover. The HOB was funky and the Hotel Sax remains funky, but the decor is cheap and uncomfortable and seems to have been done on a shoe-string budget. The dark hallways with faux-candlesticks and tacky wallpaper have a Disney's Haunted House feel to them. The rooms themselves seemed like the product of a rushed &quot;Trading Spaces&quot; or &quot;While You Were Out&quot; show in which massive changes were made in a short amount of time for a small amount of money. Gaudy decor aside, the bellman and valet while friendly were inappropriately casual (&quot;Thanks, man&quot; and &quot;Thanks, dude&quot; were some of their responses to us) and the cleaning staff missed broken glass in front of our room from a dropped tray of a neighboring room. Our room, while large (it was a suite) bordered the elevators and the noise from their movement was nonstop. The lobby is full of cases of crystal stemware. While unusual, it lends itself to the crystal department at a retail store and its purpose is unclear. What is the point of all that glass?Chicago has so many beautiful hotels, I would suggest you stay someplace else.	
Oct 2 2007 	Swank Hotel Sax!	Beautiful, swank hotel with very friendly staff. Convenient location - walking distance to Museum Mile shopping, Millenium Park, etc. Mini bar &amp; room service are reasonably priced. Crunch gym location is in the basement. There's also a great wine shop next door - be sure to visit it! Valet parking is overpriced - there are much less expensive parking options at street level. I was substantially overbilled &amp; had a minor heart attack, but the staff personnel quickly resolved it. I did not visit the House of Blues, though I had initially intended to.	
Sep 8 2007 	Hotel Sax a great experience and location	The Hotel Sax is in one of the best locations in Chicago. It is a half block from the Chicago River and many rooms have partial river views (mine did.) It is just a couple blocks from the Magnificent Mile, a couple blocks from the Merchandise Mart, and is surrounded by many of the best restaurants in the city. You can walk to most of the places you'd want to visit. The recently renovated hotel has modern and luxurious furnishings and my room was huge and very comfortable. Great bed, large bath, a huge plasma TV, and windows that actually opened to let in fresh air. Internet in the room was free as was wifi in the lobby. I loved the fact that on each floor by the elevators there was a TV in the wall to watch while waiting for the elevator. The lobby was lovely including the reception desks which were fronted by glass cabinetry filled with beautiful crystal pieces. The front desk personnel were friendly and efficient and the concierge was most helpful. Same for the bellmen. My only staff hitch was the reservations agent I spoke with on the phone who was not friendly or very helpful. When I complained about her in the survey I received after leaving the hotel, the manager was very prompt in writing to apologize about that and promised to remedy the situation. The lobby bar, The Crimson Bar, is just that....red, red, red. It is huge and decorated like a luxury bordello. There are many private and comfortable seating areas with sofas, large chairs, etc. Also, a long bar and friendly bartenders. It is not a restaurant but they do have a bar menu. We tried the restaurant off the lobby called Bin 36 and were rather disappointed with it. It was loud, crowded and not comfortable. Our food was not cooked as requested and the efficient but not gracious waitress said that's just how they do it, then reluctantly offered to take it back. I noted in my hotel survey that since there are dozens of great restaurants within easy walking distance from the hotel (including several within two blocks), that I would have no reason to return to Bin 36. Again, the manager was apologetic and promised to make it better. Overall, I loved this hotel and highly recommend it. Everything within the hotel itself is very well done, beautiful and comfortable and the amenities are excellent. The location is ideal. And I got a very good rate for my stay. I will definitely stay there again.	
Sep 4 2007 	Great location and stylish decor	We stayed here because we got a great promotional rate online, otherwise don't know if we could have afforded it. The lobby and rooms are so stylish and luxurious, as is the lounge and winebar next door. The staff are all very helpful and friendly. It's easy to get around, just step outside and you're on the river and nearby the El. My only complaint is the parking, which is obscene at $40 a day!	
Sep 1 2007 	You Are Kidding Right?	I have stayed at this hotel many times when it was House of Blues (Loews) , Lets just say the new company did not hit the mark with the redo. The only thing that I think is better is the Flat panel tv's in the rooms. The decor is awful and cheap looking( maybe they got a great deal at Ikea ?) The lobby is all white and very cold feeling ( i'm sure it will feel even colder in the winter). The new lounge is not good at all. A paparazzi wall ? I know I felt like a star while I was sitting in front of it. LOL The lounge staff has zero personality, I think I bothered them by ordering a drink. The only staff that i remembered from times past were Rico and Wayne ( Doorman) and Catherine( concierge) All three remembered me and are the ONLY brite spot in my stay. I don't think I will be staying here again.P.S. If anyone knows where the staff from the old ( Kazbar ) lounge is at please let me know. They were the best. That really hurt this place when they left.	
Aug 28 2007 	Second stay loved it!	This is my second stay at this hotel and it again was great! The only bad thing was we asked for &quot;turn down&quot; service, and they came at 10:30 PM to do it! We were already asleep! (Had kids, what can I say!!?) So they came the next night earlier and &quot;turned down&quot; the beds BUT no treats! We were expecting a little something from the other reviews, but nothing! No mint or jellybean! So the kids thought this turn down service was stupid! (Had to agree with them) Anyway, the hotel was nice and remodeled and clean. We even asked for a micro wave and they brought us one right away. The only drawback is parking. It was $40 a day, and the lot right across the street was $15 a day. Wish I would have used that one and spent $30 instead of $80...but they come and snatch up your car right away and you think that is the thing to do. Our car never left the lot for 3 days, so it really could have been parked across the street. Our rooms were nice and clean and large. It really is a fun stay for right downtown. You can walk to Michigan Ave. very easily. I enjoyed it and the kids thought we were &quot;high class&quot; They even had robes for us to wear, that was fun!	
Aug 24 2007 	Great location interesting place	My friend and I stayed here for one night. We chose this hotel because it's next to the House of Blues, and we're lazy. It was a perfect location for HOB and wandering Michigan Ave, Navy Pier, etc. I was thrown off by the lobby--I wasn't sure I was in a hotel. All of the staff we encountered including the front desk, housekeeping, and valets were exceptionally pleasant and helpful. We were able to check in early which is always nice--I had expected only to store our bags for the day. The room was unusually decorated with a fake snakeskin wing chair, jewel toned upholstery and an LCD panel tv. The only complaint is the weak in-room lighting. The shower head was as big as a dinner plate and it was like taking a shower in a heavy rains, but in a good way. Would I stay here again? Yes, but it's not exactly a thrifty option.	
Aug 24 2007 	Unique hotel in a great location	I stayed at the Hotel Sax for a convention that was in town and really enjoyed my stay. I do not know what the hotel looked like before but they really did a great job! (Almost felt like I was in a W hotel) The guest room I stayed in was huge and comfortable, great amenities too. Very helpful employees great ambiance, great location. The only thing that I was dissapointed in was the food that came out of the room service department. I ordered breakfast and paid over $23 for a mini box of cereal, small pot of coffee and a banana that was so bruised I just threw it out. Other than that I hope to stay again when I am in town for business.	
Aug 3 2007	Exciting and very cool Hotel Sax!!	Stayed nine enjoyable nights at the Hotel Sax. House of Blues is centered there. Hotel has been completely renovated and the new ornate and ultra modern Bar/Lounge next to the front desk is something to see and enjoy!! Very unique! Hotel is close to everything downtown and World famous Michigan Avenue Shopping is also within walking distance. Restaurants, steakhouses (Harry Carry's, Mortons,Sullivans,etc) are within walking distance. Great Full Service Gym connected to Hotel. Staff was very friendly. Concierge set up a private room at the Smith and Wollensky (sp?) steakhouse on the property. Hotel gives you a feeling that you are staying at an exciting, unique and very modern hotel near everything in Chicago!	
Aug 2 2007 	Great Hotel and Location!	I was here on business/pleasure and it was a fantastic stay! As they told me prior to booking, the lobby was finished being renovated(it smelled great). So I had no problems with that. ALL the staff was very gracious and kind to me and my friends. The lounge downstairs is an excellent modern place to relax and have a good time.I stayed in a cabin room which is smaller but fit just me perfectly. I would only stay in that room with one other person and it would be someone I am comfortable with. Not a room for someone who wants privacy with a roommate. Location is great. Short walk to shops at Michigan Ave. I also walked to Navy Pier. It is not a quick walk (20-25mins)but it is defiantly a nice walk if you want to see the sights and take your time getting there.House of Blues, bowling alley lounge, and jazz clubs etc...I plan on staying there again! Found a good rate on orbitz via kayak.com.	
Aug 2 2007	Enjoyable Stay	I stayed here with 7 other women for a bachelorette party. The rooms were average although the bathrooms were big and the flat screen televisions were fun the room was not as special as the high price. We did find the hotel staff VERY helpful, kind, and friendly. The location is pretty good, perfect if you're going to an event at House of Blues. I probably would not stay here again without a deep deep discount.	
Jul 24 2007	fab plus	i can't say anything bad about the hotel. The staff were fabulous, our room was upgraded to a suite. We did see the standard rooms, and they were a good size. The room service menu is not expensive, considering you are in the heart of Chicago. It is a truly a great hotel with good pricing, since there was a renovation, so book now before they raise the prices.	
Jul 7 2007 	swank not really bank	The best part of the hotel was the staff. They were very nice informative and friendly. I really wish that there was more to say that was good. The room service was practically robbery with the limited menu and outrageous price for what you actually get,not to mention that they didn't have the item that I wanted and had to settle for something else. There is no phone book in your room so you can do one of two things: 1. Call the concierge and get the number for a charge of $1,(which they don't tell you) or 2.Get the internet services in your room turned on for $9.95 (only to find out that they stay connected until 3 p.m.) Went to get ice and the machine didn't work on my floor so I went one floor down and that one wasn't working either.The bar was charging 150 for chapagne which I noticed the same brand in a liquor store for probably 100 dollars less. Location was great and the room was nice but some of the things that you expect from a regular hotel was missing in this posh place. I just think overall fundamentally it should have been better.	
Jun 29 2007	Needs some work quick.	Used to stay here when it was the House of Blues Hotel. I really liked it even though teh rooms were small because it is really convenient and the people were nice. Now the lobby is bigger but it is very cold and white, not inviting at all. The rooms are still small, but now they are a weird purple gray color and that minimal IKEA kind of furniture. The only people I recognized from my last stay were the bellman. They are still great, but it seems the hotel told them they are no longer allowed to temporarily park cars next to the lobby. I had picked up a rental car at Hertz to go visit a customer out west. and just wanted to run to my room to check email and gather up my things, maybe 45 minutes at most, but I had to put my car in the garage. Well, people started showing up for some show at the House Of Blues and it was a zoo when I came down for my car. Not only did it cost me a lot, but it took over half an hour to get it. I was almost late for dinner. Looks like they changed the bar,too, which is too bad. It didn''t appear to be open yet but it looks like it is going to be some really loud, pretentious kind of club. Not sure how business people are going to react. I quit staying at the Hyatt because of the loud club over there. Oh, and the price seemed really high for something that is still not finished, too.	
Jun 27 2007	BEST OF CHICAGO	This hotel is fabulous! Regular rooms are on the small side but the suites are just wonderful. My husband and I celebrated an anniversary at the HOB.....We had a great time! Kaz bar had great drinks and superb service. Don't recommend for families w/small children.	
Jun 5 2007 	Not nearly ready for prime time. Avoid it.	The House of Blues Hotel has been undergoing changes for the last five months. It is now called HOTEL SAX, yes, that's as in saxophone, or is it just a play on your eye? This place has problems: the front desk is currently on the fourth floor of this 16-story 353-room building. Getting there can be a pain. There's ONLY ONE working elevator in the whole place! One elevator for 353 rooms! Management decided to keep the place open while renovating everything. What a disaster that makes! Stairways lead to construction zones that are roped off from the public. Dust everywhere. Movie channels are not working. The newly renovated rooms are still relatively clausterphobic but far more tasteful than the House of Blues &quot;style&quot; (or lack thereof). Still, someone failed to do their homework. The tiny desk chair sweats against your back something terrible! No wireless Internet. Wait a while, and maybe they'll be ready for primetime. Meanwhile, think of 13 clowns in a VW Beetle, and you'll know what the pain is here.	
May 30 2007 	Good hotel - under construction	We had a great stay here and chose the hotel because of concert plans at the HOB. Room was nice, a little sparse with the amenities, but comfortable and beautiful large windows looking out on Chicago. The hotel lives up to its rock and roll image - dark halls, do not disturb signs aplenty, and considerate housekeeping that doesn't bang around the halls in the mornings. I imagine it can get very loud late-night (although we had NO issues with noise) but be warned. The hotel is under new management (will soon be a Lowe's, I believe) and so there was no lobby to speak of. That was a bit of a bummer since we couldn't hang out at the hotel bar before and after the show. I'm curious to see how it changes under new management.	
May 27 2007 	Very unique hotel nice location	I stayed at this hotel in June 2006 when visitng family in Chicago. I found the hotel to be very unique indeed, with nice works of art in every room and all around the hotel.The hotel is located on the Chicago River, and many of the rooms offer spectacular views of the city. It is located very closely to the Chicago River and the river tours.The only complaints I have with the room are as follows: the room keys often got deactivated everyday, so we had to call the front desk every evening upon returning or the room. Also, the hotel, as of June of last year, did not offer complementary internet access.	
May 1 2007 	Great location	Wait until the remodel is finished and this will be a great place to stay in Chicago. Bin 36 is good for breakfast although a little cold. Liked the room (deluxe king).As with most city hotels it's not an amazing experience to stay there - it you want that you need to find a town house with 5 rooms but then you lose out on location and facilities so pay your money and take your choice.My only recommendation for Chicago in general is coffee at Uncommon Ground but it's not in the centre!	
Apr 29 2007 	Not so great	They really should tell you that they are in the midst of a remodel. Kind of a mess and noisy. Worst part was the Gospel Brunch--huge ripoff. Mediocre food, crammed in like sardines, and the &quot;talent&quot; was worse than American Idol rejects. I would opt for the Hard Rock next time.	
Apr 25 2007 	Amazing!!	This place was incredible! We booked a room with Travel Planners and told them jokingly to give us a great room because we had never been to Chicago and we were in shock when we were taken to our room! Following the bellhop past all of the single doors on the 14th floor to the end of the hall, we came to a set of double doors. When he opened the doors to this massive suite, we thought there had to be a HUGE mistake as we were only paying $150 per night! It had a huge living and dining room, a bar, 1 huge half bath, and 1 unbelievably huge full bath with a shower large enough for 4, and a giant tub with a tv built in the wall! The bedroom was incredible with 2 oversized chairs and an ottaman, an armoire with web tv, nintendo, and a large tv. There were windows down each side of the room, lots of them, that overlooked downtown! The maids put jelly belly's on your pillow at turndown and there's a big vase full of jelly belly's. It's decorated with what looks like way cool pier 1 furnishings. Just unreal! We were there for 8 days and I long to go back but I am sure that suite is well over $1000 per night. It was the best and such a fun, unique place!	
Apr 25 2007 	Loved It!	Stayed there for a &quot;girls night out&quot; weekend. Loved every minute of it! They are remodeling and we got a new remodeled room. It was fabulous! Well worth every penny. The staff was excellent, the food and bar where great! It was easy to get too off the highway. Can't say anything bad about the hotel.	
Apr 24 2007 	Great Experience!!!	We arrived on April 20th for 2 nights and before we arrived we had heard about the construction that was underway at the hotel but was pleasently supprized when we arrived. It is true that the main lobby is closed for remolding but we did not feel their was any inconvience with the temporary lobby on the 4th floor. We had heard that they were remolding the rooms with new carpet and a toned down wall and bed coverings. We arrive by 11:00 am that morning and we were told previously to get a coner room for better veiws and when we arrived a room was not avialable but they were very nice and told us that we would have a room with in the hour. We did get our room about 12:pm and the room was great. They have installed 42&quot; flat screen TV's in the new rooms and you could still smell the new carpet. Everything about the room exceeded our expectations even though they were not huge, they were very well laid out. The only negatitive comments would be the cable tv could of had more chaneels and at least one movie channel. But overall re would stongly recommend this hotel because of their location and their rooms. Even though this hotel is transitioning to the HOTEL SAX, this is still a great place to stay.	
Apr 11 2007 	Fabulous with easy access to HOB concert	I stayed at the HOB hotel with fans of a group playing at the HOB venue. I was very pleased with the accommodations. The color scheme in the room was funky and pleasing. The bathroom was fabulous.Everything about the place was eye candy. Beds were very comfortable.I'd stay there again in a heartbeat!For anyone with mobility impairment...everything about this facility was access friendly.	
Mar 5 2007	Not what we expected	The House of Blues IS going through a major renovation. There is no lobby when you arrive, just a person at a podium sending you to the 4th floor where there is a makeshift desk and some one to check you in. Not a soul around- felt like the twilight zone. One of the main reasons we booked at the HOB is becaseu we were traveling with our teenage son and thought it would be a lively place to stay, next time we will stay at the Hard Rock. Our one bedroom suite was lovely with the exception of the pull out sofa bed. The mattress was so thin you could feel the springs underneath. The Conceirge was rude (when you could actually get a hold of them), we booked tickets to the Sunday Gospel Brunch, wrong number of tickets, and when I asked what time we should arrive for the 10:00 seating we were told &quot;10:00&quot;. Actually it is family style seating and buffet which means if you don't get there ahead of time you are left to wait in line to eat for upwards of 30 minutes. The bowling alley is awesome, too bad we didn't get to use it! When we checked in we were not told that we would need to make a reservation to bowl. We tried to bowl on a Saturday afternoon but it was a two hour wait! Bellmen were great.	
Mar 3 2007	Great hotel but major construction going on.....	I attended an exhibition in Chicago last week and had booked the House of Blues hotel last year as we were attending an evening function at the House of Blues venue located next door to the hotel.Upon arrival, We were shocked to see that the main entrance is shut and that you have to go through a side door and we were then ushered into an elevator onto the 4th floor where they have made a makeshift reception area.I had travelled all the way from the UK and was in need of a good old fashioned beer... only to be told that there was no hotel bar available! I was gobsmacked.... I made a small protest and was told that the renovation work did not affect my hotel room. This did not humour me after 12 hours travelling!After all this, the rooms were very clean and well laid out. The bed was very comfortable and the staff did a great job considering their surroundings.All in all, I was a little disappointed that we weren't told in advance about the restoration but hey that's life!Also, the House of blues venue located next door has a bar and is a good place to see some local bands perform for free (providing you show the doormen your key!	
Feb 7 2007 	What happened?	Where to start? The hotel was the best in the city (rooms, bar, and staff), but they are going through a MAJOR overhaul right now. That place is gutted down to concrete, they've let go all of the great staff and I hear they are trying to make it into yet another W clone. I recognized a doorman and one concierge on my last stay - and I've been there at least twice a year since the place opened. The reason I stayed there instead of the Ritz - the staff. The doormen and front desk staff greeted me by name and I never had to wait a minute at the bar before my favorite drink was already in my hand. Even if this place looks ok when all of the renovations are over - without their staff, they've lost my business. I should've know when it stopped being a Loew's that it was all going downhill fast.	
Jan 7 2007 	Very comfortable stay	We've stayed at the House of Blues several times; it is a very comfortable hotel; especially the bedding. The colors in the room are a bit 'loud', but considering it's a blues hotel, it's appropriate. The TV's are out of date in some rooms; but there is a VCR and a nice stereo for use. The room service was good ($30 for breakfast, we split a meal); only complaint is that there is no coffee pot in the room; you must order room service or walk downstairs to Bin 36 for coffee to go.Bathroom is fine; no curved shower curtain rod; but clean and lots of shampoo, conditioner, etc. provided. Had a beautiful view of the Ford Towers and the canal.	
Dec 8 2006 	perfect!	We stayed 2 nights on the house of blues hotel in Chicago, and it was very good! Friendly staff, lovely interior, perfect location, and close to all the sights in chicago,and right next to all the stores on michigan avenue.. There was also a very good blues concert next to the lobby one night.. A bit expensive hotelbar but all in all a very good hotel that was just perfect for our visit to chicago.	
Oct 31 2006 	HOB Lobby Bar has comfy chairs music - perfect...	Actually I have not stayed at the House of Blues Hotel, but I visit the lobby bar every time I am in Chicago.... what a nice environment. Comfy chairs and couches in a Mediteranean? decor with some great live music most nights... I have introduced several friends for after work and late night drinks and they love it also. Don't miss it if you are tired of loud music and metal or wood chairs.... The seating is great for close conversation without having to talk across a table....Nick	
Oct 20 2006 	This hotel gave me the blues	The hotel is well located but is generally dark with a lack of amenities for guests. When there is a function the public bar gets very crowded.Most of the staff were fine, but not the receptionist. We pointed out there were incorrect charges on the bill which rather than apologise for she agued the case. eg a parking charge when we had no car.At our latest trip to Chicago we stayed at the Renaisance, which was worth the extra cost.	
Oct 18 2006 	House of Blues was great!	Stayed at the House of Blues while in town for the Rolling Stones concert. It was a great experience. The hotel was very cool. We loved the decor and the great vibe we got the moment we walked into the lobby. The staff was very courteous and very helpful. There is some loud construction going on next the hotel, but fortunately, our room was on the north side of the hotel and the construction is taking place on the south side. The only negative thing about our stay was the ice machine on our floor did not work. Not a big deal at all. We will definitely stay there again.	
Oct 11 2006 	good price lovely room would recommend	We stopped at this hotel on the 17th and 18th of September, we'd never been to chicago so wanted a hotel fairly central, its over looks the river and is a 5-10 minute walk to the magnificent mile. The room was large and clean and the decor as described on the hotel web site. The staff at the hotel were very friendly and helpful. When looking for a hotel we didn't want to pay a fortune but wanted a 3* or above hotel, we found that hotels in Chicago tended to be on the expensive side compared to other cities (Las vegas, New York, San fransisco).We paid £125 a night taking into account the other hotels we looked at we feel we had value for money and would recommend this hotel to others.	
