	Excellent Value and friendly professional courteous staff in Great Location.	My wife and I truly enjoyed our recent stay at this Sheraton Hotel. The value for money was outstanding - I know the price we paid is a reflection of the current difficult economic conditions but it really was worth much more money. The room and facilities were very comfortable and became our home during a week of constant activity. We looked forward to coming back to our room every evening, our &quot;island of tranquility&quot;, which overlooked the river and was very quiet. The front desk and housekeeping staff made us feel like special guests every day. We really liked the free internet access in the link café; the complimentary Starbuck's coffee and Tazo Teas are a generous and welcome amenity. Every hotel employee we met was helpful and pleasant. We loved the central location for our stay during Thanksgiving Week and will not hesitate to return to this hotel when the next opportunity presents itself. There is much we could say about the little things that make a stay enjoyable, and it is obvious that staff training and attention to detail as well as the intangibles, &quot;positive attitude, pride and willingness to please the customer&quot; are very evident throughout your facility.	
Apr 7 2007 	great price housekeeping needs help	Stayed in this Sheraton before and was much happier. Bottom line, all staff were very helpful and friendly with the exception of housekeeping. Upon check-in I noticed a dirty sink (toothpaste, hair, coffee drips, etc.) I find it hard to believe that any housekeeper could think that this bathroom was clean. There was silly string on the headboard of the bed, and cobwebs on the ceiling...I did not complain...no time to move room, but left a similar review on comment card.On the positive side...great location, great views, great coffee and cinnamon roll in the cafe, and very friendly porters, door men.	
Apr 7 2007 	Decent	First of all we got a great deal on a room here for three nights. If I paid rack rates I would say there are better places to stay for that price. My husband and I were traveling on a mini-vacation with our daughters ages 10 and 14 so this critique is based on a family trip not a business trip. Here are good points of this hotel:- Lots of families stay here so there is no snobby feel. - Great location with easy walking to Navy Pier, Michigan Avenue and the train. - Movie theaters, bowling and Walgreen's across the street. - Great, great, great local organic grocery and cafe called Fox &amp; Obel within two blocks on Illinois. - Every room has a good view...city, Chicago River, Lake Michigan. - On the Chicago River so nice to walk along the river too. - Comfortable beds and better than average linens. Things to keep in mind:- You can only get two double beds in one room, two queen sized beds not available in standard room. - No separate vanity in bathroom area in standard room. - All restaurants in hotel too pricey for what you get. (But aren't most hotel restaurants? You are paying for cenvenience.)- Don't count on using pool or fitness center, both are small and very busy. - Parking sucks, consider coming to hotel using public transportation. - Mini bar and bottled water prices are insane of course. I am cheap that way so we brought in some killer stuff from Fox &amp; Obel. (See their website for more.)	
Apr 6 2007 	Great Location!	My husband and I stayed at the Sheraton Hotel and Towers for two nights on 4/2-4/4-07. Our check in was relatively smoothe. There was no problem. I had a few questions and they were answered completely. We had a room facing the Chicago River. I had requested this viewing and was giving the room with no problem. The hotel room was an average room with a nice and comfortable bed. The bathroom was sorta small with a small bathtub with low water pressure. As far as sites, everything that we wanted to do was in walking distance, and if not a short taxi ride would be the other option. We did take the cab to some of the locations. The fare wasn't as expensive as expected. Most of the time we walked. On our first day in Chicago we went to the movie which is right down the hill next door to a Walgreen store and across the street from a liquor store. We walked to the movie and enjoy our two hour outing at the theatre. It was a nice and clean theatre (AMC). Also, if you didn't want to go to the movie you could go next door and bowl. Then, we walked to North Michigan Ave. which was approximately two blocks. There were so many stores and restauarant to see and choose from on this avenue. However, I didn't see any bargains so you probably can get the same thing in your hometown. The next day we went to the Jerry Springer show and enjoy watching the people act a fool. The Jerry Springer and Judge Mathis shows are taped in the NBC studio which is across the street to the left. Therefore, if you are planning to be in the audience to one of the taping, this is the hotel to stay. You pretty much walk across the street. Lastly, we were able to walk to the Navy Pier. I like the pier because there were so many things to do such as visiting the Children Museum, ferris wheel ride, cruise on the Spirit of Chicago or the Odeyssey. Lastly, on our final day we ate downstairs for breakfast which was pretty expensive at the Riverside Cafe. You can expect to pay at least $40.00 or more for two. Then, we check out of the hotel with no problem and proceeded to Midway Airport. In conclusion, we had a great time and stayed busy hanging outside.	
Apr 2 2007 	Decent Place	My boyfriend and I stayed here for two nights this past weekend and enjoyed our stay. It has a beautiful lobby and extremely helpful concierge staff. The room was nothing fancy, but just fine to stay in. Don't expect much in the way of bathroom cosmetics. Also, the pool is nice but full of kids ALL THE TIME. It has a gym as well, but you have to pay separately for that. I was really looking forward to swimming, but far too many children. The hotel offered gorgeous views of the city from our room. It's walking distance to the sea port/marina and many other places. We also walked to the hotel from the subway station (which we took from the airport). It's a bit of walk, but definitely do-able, especially if you're used to walking like us New Yorkers. ;)All in all, I wouldn't mind staying here again.	
Apr 1 2007 	Pay more get less	I was expecting a quality experience from this hotel after handing a moderate chunk of change for my room, but my experience was exactly the opposite. For starters forget about using the pool, the entire time it was open it was flooded with kids. The high class sauna is a miserable closet sized room with a heater in it. You can honestly fit about 3 people in it. I wanted to work out, but felt that having to pay an extra 20 bucks for a little corner with a couple treadmills and a gazelle was pretty ridiculous. Then they lure you with a bottle of water that looked like it was complementary but ended up being 5 bucks. Later, i asked the front desk to bring me up a few packets of coffee only to receive them 4 hours after the request. The last day I asked again and was forced to check out without my morning cup of joe, due to the fact it was never brought up. They charged my girlfriend 1.99 for a local call. The WIFI was 4.99 for a HALF HOUR. This day and age this is comparable to charging someone for breathing air. WIFI is free everywhere!!! Bottom line the hotel presentation was nice, the room was clean (although small), and the housekeeping was prompt. But for the amount of money you will pay to stay in your room, and the amount of money you'll spend on everyday commodities that should be free and are free in other hotels, in the end this crummy hotel experience is not worth your time.	
Apr 1 2007 	Way Overpriced- Rude staff	My Stay at the Sheraton was very unpleasant. First of all, the room was extremely small for the price I paid for it, and they were way overpriced on everything. I paid more for the self parking than I did for the rental car I took to chicago. They also charged extra for their horrible excuse for a fitness center, internet access and even local phone calls (which they conveniently don't tell you before you make any calls). I mean, come on I can understand charging for long distant calls but local? Also, the pool was really small and was constantly full of kids. I love kids, but there were so many in the pool all the time, that I didn't even have a chance to go in during my entire stay. On top of everything else, the hotel staff was not very nice. I called the front to inquire about a mysterious charge that appeared on my credit card and the woman at the front was very rude and treated me like I was stupid for even calling. Then I called another time to ask for more coffee, and it took them TWO HOURS to bring it up. I did not go to any of the restaurants or bars that were in the hotel because I feared I would have to file for bankruptcy if I did. The only thing that I liked about the Sheraton was it's location. It was very close to Michigan Avenue. However, there are a ton of other hotels that are conveniently located. After my experience I will not stay at the Sheraton Hotel and Towers ever again.	
Mar 17 2007 	Skip the towers! Too many other better places to stay!	This hotel is certainly not a 4 star. As stated in previous reviews the rooms are pretty standard and more of a lower end 3 star. The lobby and adjoining areas are all very nice and clean, our room however had much to be desired. Positives about our stay:The bedding was very comfortable, best pillows I have ever laid my head on. The view from our room was sweet. We could see, the lake, the river and the Navy Pier. Very quiet. We could not hear the street noise, although we could hear the guy peeing in the bathroom in the room next to us.Not so nice things about our stay:The entire room had a thick layer of dust everywhere. Clock radio, desk, ice bucket, drinking glases, television, you name it, there was dust on it. The window with the beautiful view was filthy. Lots and lots of hand and forehead prints on it!Crappy anemnities. The toiletries were generic and so very small. Certainly not enough for two people. Bottled water in the room for $4.50. Towels were standard hard hotel towels. The houskeeping staff bothered the heck out of us. We checked in on Friday and on Saturday morning while we were getting ready for the day (8:00 am or so) they were knocking on our door with the &quot;DO NOT DISTURB&quot; sign up to clean our room. During our 2 day stay we received 4 phone calls from housekeeping about wanting to come into our room! Hello! Check out on Sunday was 12:00, leave us alone!Checking our bags in and out of the luggage hold was just a major inconvienience for the luggage guy. He would rather chat with the shoeshine guy.We tried to watch a pay per view movie in the room saturday night but weren't authorized. When I called the front desk they told me that the credit card I gave them at check in wasn't good and I needed to come downstairs and give them another one. We had spent the day shopping, but, I knew I didn't buy THAT MUCH! Since it was 11:00 at night and we were in our pajamas, I told her I would come down in the morning. In the morning, it was a completely different story, no C.Card problem and they had already put all of the charges through for our 2 night stay. No apologies for the night before.I agree with the poster below me about the rude staff. We had on dress jeans and were on this trip for shopping and exploring the city. Because I was not in a business suit, we were pretty much ignored. I had to step out on the curb and hail my own taxi because the doorman ignored us and helped business travelers that came out after us. I would not stay here again. I paid more than double what I paid to stay in the Allerton last year and I would choose the Allerton over the Sheraton Towers any day. The Towers were cold impersonal and the staff could really care if you stay there again. So I won't.	
Mar 13 2007	Horrible stay rude clerks bad room	I'm not sure how this hotel has such good reviews. I was here most recently, last week, for a full week conference. When I first arrived a surly receptionist actually told me that I did not have a reservation and would need to leave. I had just flown in from NY and had significant delays, so by the time I arrived in Chicago it was midnight. I had a printed out confirmation for 5 nights and showed it to the clerk. He did not apologize.I was given the keys to a filthy room on the 11th floor--smelled like a combination of raid, smoke, and cheap perfume. I am allergic to smoke and made a note of this when booking my reservation. I was disgusted to see black hairs all over the pillow cases in my room and called downstairs to demand a room change. It took the bell hop 30 minutes to get me to a new room, at which point it was nearly 1am and I had a breakfast at 6:30am with business associates. The last day of my stay, a housekeeper called me at 8am and again at 10 am to ask when I was leaving so she could clean the room. I had a &quot;do not disturb sign&quot; up because I was preparing for a conference I was speaking at. Checkout was at noon so I'm not sure what the rush was. when I checked out, I had what might be the nastiest and rudest clerk of all. She nearly spat at me. I live in NYC, and believe me, I deal with rude people every day. But not one comes as close to the rudeness of the people at this Sheraton. The floors and carpets were filthy, rooms were loud, and the way the front desk treated me will not be forgotten. I'm &quot;young,&quot; at 33, but I run a new media company. This hotel should consider that just because someone looks young does not mean they don't have the buyer power of older guests. In addition, considering I wore a suit each day and acted pleasant at all times, I can't think of why the clerks could possibly see fit to treat me like dirt. Will never come back.	
Mar 11 2007 	The Chicago Experience	I live outside Chicago &amp; do periodic weekends in the city. I highly recommed this hotel for the &quot; Chicago Experience&quot; . It has spectacular location, view , rooms &amp; plush bedding. Walking distance to many of the things you'll want to see...The River, Millenium Park, Michigan Ave, The Architecture Tour, NBC Tower, &amp; for historys sake, don't miss the Centennial Fountain...it commemerates the reversal of the flow of the Chicago River, one of our most amazing engineering accomplishments.	
Mar 11 2007	Loved our Stay!	My daughter and I were in Chicago for one night after having attended a three-day conference elsewhere in Illinois. We were only in Chicago on our way home. We didn't know where to stay in Chicago, but booked one night at the Sheraton Chicago Hotel and Towers based on their ad in the Chicago Visitors Guide. We're glad we did! We enjoyed our stay very much. Our room was very comfortable and well appointed and had a wonderful view of the city. That's what we wanted--a great view, and we got it. Also, the hotel is within walking distance of many attractions and is accessible from the bus stop (we took the train and bus from the airport into the city and it wasn't bad--saved us a lot of money). The elevators to our room were fast and quick and there was one always available. We found the front desk staff to be friendly and accommodating. The only downside for us is that we had only booked one night in Chicago. We wish we could have stayed there at the Sheraton for at least another night. We would definitely stay there again.	
Mar 6 2007 	I loved my stay	I had the opportunity to stay at the Sheraton Hotel and Towers for business. The hotel is in a great location. My room was spacious and very comfortable. I had a great view of the Chicago River and Lake Michigan. The staff was very friendly. ChiBar was a cool place to hang out and it had great drinks. The catered food that the hotel served was excellent. I would definitely stay here again whether it is for business or leisure.	
Feb 21 2007	Absolutely Perfect	My husband and I came down for a relaxing weekend in the big city and found an enchanting deal online. For less than $150, tax included, we received a corner room with a gorgeous view of the skyline, Chicago River, and Lake Michigan. The accomodations were clean, upscale, and quiet. The staff was extremely friendly during our entire stay and even accomodated our early check in and late check out with no concerns at all, including extended parking at no extra charge. It's within walking distance of Michigan Avenue, Millenium Park, the Theater District, and Navy Pier. We will definitely stay here again when we visit Chicago.	
Feb 8 2007 	Nice hotel great location	This place was really nice - I'm writing a review a year and a half after I stayed here but some things that still stick out are:Excellent Room Service FoodBeautiful Views/Walking area within the resortConvenient LocationGood breakfast restaurantLobby/Public areas were well-furnished and the wireless internet came in handyThe only thing I did not like about this place is that a pair of my favorite sandals ended up missing. I called the hotel and notified them, but the sandals never turned up.	
Jan 24 2007 	Everything We Needed	My wife and 9 year old son stayed at this Sheraton while in town for the NFC Championship at Soldier Field. Check in was a breeze due to our Starwood status, but there was a looong line of conventioners at the other counter. We were not happy with our initital room (not the best view) and were prompty redirected to the top floor with a great view of the Navy Pier.I was perfectly happy with the location even though I was leaning towards the Westin on Michigan Avenue. The walk to the Magnificant Mile is only a few blocks, as is the walk to the Navy Pier. My wife was happy with the shopping and my son had a blast at IMAX.If you're up to it just about everything is within a 15 minute walk. If not, a $5 cab ride gets you there. Ditka's, ESPZone, Webber Grill were all easy to get to.Note this -- this hotel is essentially a convention hotel so there looks like there is much more traffic than you'll actually experience. The lobby was typically busy, but once you hit the elevator on the &quot;towers&quot; side you hardly noticed. The Club Level Lounge was very nice -- split levels with great views.We'll have no problem staying here again.	
Jan 3 2007 	Beautiful hotel but....	Tried to check into our room at 3:00 p.m. Told it was not ready and to come back in a hour. Went back at 4:30 and was told there was no King size smoking room available., only a handicap room or a room with to 2 double beds. (Which were still not clean!) Told them I booked directly through the hotel and specified a King size smoking and gave them my confirmation number. Hotel clerk stated &quot;We take requests but do not make any guarantees&quot; I told him &quot;I do not want either of those rooms, I want what I reserved. &quot;All he kept saying was &quot;there is nothing he could do&quot; and just stood there stupid! We asked to speak to a manager and (it must have been a X'mas miracle!) because all of a sudden, we had a beautiful king size smoking room, overlooking the river, the city, and the lake, and recieved a $40.00 credit. The hotel itself was beautifully decorated for X'mas. It was in a great location. Walked to Navy Pier, Michigan Ave , John Hancock etc. The hotel is huge and was really crowed with X'mas parties and conventions. but room was very quiet. I would definitly stay there again.	
Jan 1 2007 	LOVE this Hotel!	This is the second time I have stayed at the Sheraton Chicago and LOVED it! The front desk staff went above and beyond to find us a great room and make a last minute room change even though we had booked through hotwire. Our rooms were very large compared to others I have stayed at in Chicago. The rooms were clean, quiet and comfortable. I slept better than I do at home. hehe. I would recommend this hotel to anyone staying in Chicago whether for business or pleasure. My kids (7/8) thought it was fabulous too, primarily for it's convenience to all things fun.	
Nov 22 2006 	Great Location Bathrooms need work	Walking into this hotel I was impressed, huge lobby ornately decorated for the holidays. I used the starwood preferred guest checkin line, which was quick. My room was ready at 1 when I arrived. Went up to the room, and it was large with a couch and looked updated. Had a nice view on the 16th floor. The only lacking part of this hotel is the bathroom, specifically the shower really needed work. The spout was falling out of the wall, and when I took a shower the drain backed up. I called maintenance and they poured some Drano down which seemed to do nothing. If I were staying in this hotel for more than one night I would have requested a different room. For one night it was fine, location was great(right by navy pier &amp; magnificent mile), bell staff was friendly. If you hunt around you can get a great rate, with 1000 bonus starwood points. The one other quirk was the concierge for basics she was great, but when I asked about how long it would take to get to the University of Chicago Medical Center as I had business there, she said between 20-45 mins in a taxi. Not really what you expect from a concierge who is supposed to know the area, but to me that was a minor inconvenience. Overall I recommend the location, if you get a good rate.	
Oct 29 2006 	Some room for improvement	I stayed at the Sheraton Chicago Hotel and Towers for two nights recently and found the hotel to be comfortable but in need of some improvement. Check-in was slow due to there only being two agents at the front desk despite a long line of customers waiting. The agent who checked me in was very friendly and efficient. My room was right on the river and was set up quite efficiently. However, although it was clean it could have used some updating and repair. For example, the air conditioning unit was missing the knobs needed to control the fan and the hot versus cold setting and a few light bulbs were burned out. Internet access was good and the room was quiet. I ordered room service for dinner and the food was quite mediocre and the service somewhat lacking. The bed was comfortable and the bathroom adequate. I was at the hotel for a conference and found that it was difficult to navigate given that the layout for the conference center is confusing and that there are few signs pointing to where the rooms are. The staff tried to be helpful but were apparently not familiar with the layout of the conference rooms. I also found it annoying that there was little organization between the multiple meetings that were running concurrently (i.e. it was not clear whose food was whose and which rooms were for which conferences). Overall, I found this hotel to be good but not great and I think that I would only stay there again if a conference I was attending was being held there.	
Oct 22 2006 	Great location in downtown Chicago	The Sheraton Chicago Hotel and Towers is ideally situated in the heart of downtown Chicago. It is within comfortable walking distance of many popular attractions such as the Magnificent Mile, Navy Pier, Millenium Park and the Art Institute. The hotel is perched on the edge of the Chicago River, and it is very enjoyable to stroll along the well-maintained sidewalks next to the river. My husand and I stayed at the Sheraton in July 2006 for three nights, and four days. Our room was spacious, clean and comfortable. We stayed on the 31st floor overlooking Navy Pier and Lake Michigan. Fabulous view, especially at night when the amusement park lights up. The hairdryer in our room conked out on the first night. I called housekeeping for a replacement and it was brought up to our room within 15 minutes. The room was supplied with bottled water at (if I recall correctly) $4.95/ea. We purchased the exact same bottled water at the Dominick's grocery store just down the street- at 95 cents each! All in all, we had a wonderful experience at the Sheraton, it met our expectations for our mini-getaway in the summer, and we will return to the same hotel for our next stay in Chicago.	
Oct 22 2006 	more business person than tourist!!!!!	Although we felt we were about the only tourists staying here as so many conventions going on,it was no problem at all.Good sized room on 8th floor and best lifts in any hotel we stayed at ,so speedy and efficent!!!!Great location for seeing city and good eating places nearby as well as Navy Pier ,well worth a visit.Have never seen so many taxis in and out of front hotel so quickly thanks to expert staff.	
Oct 16 2006 	Good Location	My wife and I recently spent a night at the Sheraton Towers. The location was great, the room was clean and the decor was fine.Check in was 3PM and checkout was Noon, which was nice given we were there for only one night.If you're looking for a place close to the Pier, this is probably it.	
Oct 6 2006 	Not great	I stayed there for 2 nights recently on a business trip.I would have to agree with the comments posted by others, specifically, that the rooms were in need of makeover. The toilet was small and had hair on the floor and door. Shower curtain smelled bad and bath faucet almost came off the wall when pressing the divert button to switch to shower. Room safe uses a key - yes, that old but at least they provided ironing board and steam iron. Overall, can't say there is any reason why I would choose that hotel again.	
Oct 4 2006 	Enjoyed the Sheraton Hotel 	My husband and I stayed at the Chicago Sheraton Hotel &amp; Towers for 2 nights with the King Tut Package. We arrived at the hotel about 11 am and were able to check into our room early without difficulty. In fact, we were upgraded to a slightly larger room with a river view! The room was nice sized and extremely clean. The bed was wonderful with a very comfy mattress and (multiple) pillows. The bathroom was also a decent size, modern, and clean. The few (mostly minor) complaints about the hotel included...not receiving an advertised package amenity (when asked about upon departure they said it should have been sent to the room, they were sorry, but couldn't do anything about it now), have the newspaper automatically delivered to the room (remember to decline it on arrival or else you pay $0.75 cents per day automatically), and initially being charged more than I booked for...my bill was for $40 more dollars per night than when I booked on line...they changed it for me, but only after I produced a copy of the booking...remember to bring it in case! Overall we enjoyed our stay and loved our room. Just be on your toes with charges and things will be fine!	
Oct 3 2006 	Older conference-type hotel - don't bother!!	This Sheraton has a great location, but is basically a drab convention-style hotel. The rooms were clean but quite dingy, and frankly, musty. Hotel seriously needs a refurbishment. And for such a huge facility, it doesn't even have a gift shop! it's not exactly bargain-priced for the level of service you get....Wouldn't recommend this hotel unless you really just can't find anything else.	
Sep 24 2006 	Good downtown Chicago hotel	Busy bustling conference hotel. Location on the river and two blocks from Michigan Ave. is great.Rooms are average size. Beds are super---with 5 pillows and a huge comforter.They charge for use of fitness center which includes the pool. Parking is reasonable for Chicago.	
Sep 22 2006 	A great experience	Newcastle upon Tyne, EnglandArrived at the hotel to find there was a problem with our rooms and we had been booked into another accommodation for one night. A big disappointment for us?.........not at all! The Sheraton could not have done more to make up for this minor inconvenience. Our taxi fares were paid to take us to a 5* hotel where we stayed the night free of charge (we were not charged at all for the first night of our stay). On returning to the hotel we were upgraded to Tower rooms, with breakfast included. When we got to our rooms, a presentation basket of complimentary &quot;goodies&quot; and an apology were waiting for us. Things can go wrong from time to time but it is how they are dealt with that matters. Full marks to the Sheraton. All the staff were friendly and very helpful, especially Divya on the reception desk. The hotel is well situated and within easy walking distance of Navy Pier, Michigan Avenue and the Old Town area. A must see whilst in Chicago is Tony and Tina's Wedding, the concierge was very helful in getting tickets for us. I can recommend this hotel and would definitely stay there again.	
Sep 18 2006 	Great looking bad sleeping	We stayed at this hotel for a conference. The lobby and the conference areas were immaculate. The restaurants (one of which was Shula's Steakhouse) and bars were great. The saff was exteremely helpful. The rooms left a lot to be desired...Our nonsmoking room smelled of smoke. The A/C system was ancient and tempermental, and the bathroom was old and in need of a makeover. It was surprising to see since the physical plant was so nice. We would choose, however, to stay elsewhere. Espcially for the money we paid.	
Sep 12 2006	Pretty Good: what you'd expect	For the class and type of hotel: this is good but not excellent. It's a pretty vast hotel. On my visit the first room I checked into was dark and looked onto a huge ventilation system (couple of yards away). I then asked to be moved, and was given a room which had not been cleaned or touched since the previous occupier. (Rubbish left on the floor, bed unmade etc. etc. ) Finally got a reasonable corner room with a view. It was comfortable, though dated. I was there for a conference so didn't make full use of the leisure/ restautant faciltlies, however appeared ok. Great location (nr. Michigan Ave/ Navy Pier). I would stay again, however, think the Hyatt Regency (on Whacker Drive - 2 mins away) has more of a buzz, and a better bar.	
Sep 7 2006 	Great view	Stayed at the Sheraton for our first anniversary. We requested a room with a great city view--and we sure got one, on the 26th floor! I could have looked out that window at those pretty lights all night long--it was beautiful.The staff was very kind and helpful as well. The hotel hosts a nice little bar called &quot;Chi Bar&quot;--where the drinks and atmosphere were very nice--we got to lounge on a plush sofa overlooking the river, but the drinks were also a little overpriced (which we expected).What we did not expect however, were all the little added bonuses that we could not partake in because of the extra fees--for example, bottled water in the room cost $5, listening to some music via the television was $10, and taking a dip in the pool or lifting some weights required a &quot;health club&quot; entrance fee of $12 for a day (these things have usually been free at other hotels I have stayed in). I was dissapointed in all of these extra fees, and although they are understandable--in all honesty, I would have rather had ten extra bucks tacked on to my room cost to begin with, and then received two large &quot;complimentary&quot; bottles of water in the room, then to feel like everything around me cost more money!We had a great stay, and I would go back for the view--but I would probably check out some more &quot;inclusive&quot; city hotels first.	
Sep 7 2006 	Over Rated!	Arriving to the Hotel I could see the valet/ bell hop group hanging out around waiting for cars you'd think. Nope they told me I have to go park my own car in the self-parking garage. Great! I have my pregnant wife with me who can't carry any luggage. After find a place to park and hauling my luggage all the way up to the lobby we checked in.Room service is a joke. We ordered desert which cost $8.00. Final total was $14.00 with everything else they tack on there. Wow! $14.00 for 4&quot; diameter desert that stood an inch tall. Desert was OK but not anywhere worth the $14.00 plus tip.Shula's Restaurant is way, way over priced and food is OK. For great food you need to go to Mike Ditka's restaurant. Now that's Great Food! Prices there isn't bad either, for Chicago.Sheraton breakfast buffet is way expensive. $19.00 buffet will get you slim pickings at the buffet. There is a chef there though that makes you breakfast. So you have to wait in line with everyone else for fresh Hot food. Most of the food on the steam table was cold. That's if the food was available. Staff doesn't keep the buffet fresh and up to par.	
Aug 31 2006 	very nice but they take you for everything they can get when it comes to extras	We booked our stay on priceline.This is our second time to this nice hotel. It's located in a nice spot but bring what you need or it could get expensive.We brought water with us, because the water in your room is $4.95 p/bottle. We had a couple drinks in the lounge and it was $7.75 per rum and coke.These were not tall drinks. A draft beer cost $4.45. COme one.I know it's Chicago but why rip people off like this. We drank in our room the rest of the night .The ice machine was inoperable on our floor so we called for ice. The lady at front desk said to walk to another floor. She also said she was not aware of this problem.No thank yous for calling.So I called back to the front desk and asked for an ice bucket to be delivered to our room. (Afterall, I paid good money for this room and why should I have to walk the halls of another floor with an ice bucket.)She was nice and said sure. Long story short....We never got ice. If this is an upper scale hotel, then hold your employees to a higher standard and be consistent.	
Aug 30 2006 	A great stay at the Sheraton Towers!	We had a great stay at the Sheraton Towers. When I called to reserve our room, I requested an early check-in and a tower room. We received both! Our room was clean and quiet and the kids loved being on the 31st floor. We had a beautiful view of the lake and the river. The pool was very large but the water was a bit cold. We would definitely stay here again.	
Aug 25 2006 	Great Hotel Great Customer Service	Having booked the hotel directly with the hotel on its website, I arrived tired from Ireland, to find that they had mislaid my booking and had no room on that night, but did have rooms for the rest of the week. They booked me in to another (not as nice) downtown hotel and paid for my taxi to that hotel and for that nights accommodation. On my return to the hotel next day, I was upgraded to the Club level. What really impressed me was that the hotel did everything they could to make up for their earlier mistake...unprompted. Of course, the hotel itself (particularly on the 32nd floor) is excellent. I will definitely be back.	
Aug 16 2006 	Plain vanilla ho-hum	Average (and exceedingly boring!) in almost all respects except the great location.	
Aug 10 2006	Over-priced 	Bottomline, this hotel is over-priced and over-rated. Staff is mildly competent to completely incompetent. Avoid it if you can. There's a nice embassy suites a block away. Here are three examples of the under-whelming service I received during my last stay ... Housekeeping standards are LACKING. Servicing my room on Sunday morning consisted of placing new towels in my bathroom ... that was it ... not even collecting the old ones. Some of the towels were thread-bare! Not to mention that my bed was not made up, coffee not replaced, toilet paper not added, glasses unwashed, food servce trays not removed, etc., etc. Though they did manage to help themselves to the $5 tip I had left. Here's another example ... staff bothered me THREE times prior to noon check-out on Monday, beginning at 8:30 am, asking when I would be out so they could clean the room. I was trying to work; I had the do-not-disturb card on the door. Were they waiting for me? Staff watched tv in other guest rooms and yelled their gossip up &amp; down the halls. Wonderful. An environment conducive to work &amp; sleep. And another ... I paid for wireless, did not get access, and no one, not anyone, could tell me what to do or who to call. The business comp'ed me for a whole ten minutes of internet time, after I wasted more than 30 minutes trying to get an answer from staff. Great. That really made up for it, not to mention my time. I ended up going to MacDonalds to use WiFi. Summary ... I am a gold preferred member, and I got no special treatment (ie, my preferences for king &amp; foam, for instance, completely ignored, nor did I get an upgrade, nor did I get a late checkout -- all standard for gold). I'm not quite sure what has been happening with the standards for Sheraton/Westin, but this has been a consistent problem with Sheraton's across the country this year ... and I've traveled to many of them. This is the last time I will even bother ... I'll be checking into Marriott's and Hyatt's from now on.	
Aug 9 2006 	mega-hotel but stil nice and very clean	we checked into the Sheraton after staying at Hotel Burnham, boy what a difference in culture. Stayed 8/3-8/5 in rm 1131Pros-1.close to Navy Pier, Fox and Obel, the Chicago River namely the CAF River tour &amp; Tall Ships, and the Mag Mile2.extremely comfortable beds, spacious roomcons-1.Concierge could never be reached via telephone and one phone was broke2.very large hotel, it was difficult to navigate at times (and I say this after staying at many of the mega hotels of Vegas)3.internet access costs 30 cents a minute with a minimum of 5 minutes.4.have to pay extra to use the gymTips- go to the West Egg Café for breakfast, it was fantastic! If you need close nightlife, the Big Bar at the Hyatt Regency(across the River) was very fun. They have 48oz martini's!	
Aug 7 2006 	Overpriced and Not Very Nice!	Although most big city hotels are expensive, this hotel is way overpriced for what you get. $300/night? Please. The only way you can justify paying that is if you are a corporate dink traveling on the company time. There were quit a few of them in the hotel, including one self-important dink who talked on his cell-phone at the check-in desk, holding up the line. I bet there wasn't even anyone else on the other end!Two of the four elevators were broken during our three night stay, which made it take forever to get up to our room. The room was mediocre at best. Strictly average in size and decor and it didn't even include a fridge or safe. However, you can bet it included the minibar stocked with overpriced items. At least the beds were comfortable.The rooms weren't especially quiet. If there were people in the hall or kids running up and down, you could hear them as if they were in your room. You could easily hear it when people next door or upstairs took showers. To make matters worse, the service was slow, from checking (a huge line) to getting basic stuff like toilet paper delievered to the room (three calls). Finally, the icing on the cake was the 6:00am wake-up call I didn't order, but got! Overall, if you do a bit of searching, you can find both a nicer and a cheaper place. Also, don't expect anything to be complementary with your room. One reviewer said that you had to pay to use the work-out room. I don't know if that is the case, since I didn't use it. Also, I read the fine-print on the hotel key-card holder and apparently, if you don't walk the USA Today back down to the front desk they deliver to your room each morning, they bill your account for an extra $0.75! Give me a break!	
Aug 4 2006 	Sheraton OK - Lots of Kids	My husband and I recently went to Chicago for the weekend for Venetian Night , and stayed at the Sheraton. We typically stay at the Westin properties, so the Sheraton was a new adenture.The lobby is nice, and the hotel is quite large, and was quite packed when we cheked in on Friday night. Despite this, check in went relativley smoothly, and we were given a Club Floor room on the 31st floor.Our room was nothing special, but fine for our purposes. We were on the South side of the hotel, and did have a great view of the Chicago River, and (between high-rises) Monroe St. Harbor and beyond it the Adler Planetarium.The club fllor lounge was nice, and had nicer offerings than many Sheratons. It was also open all weekend, which was nice, as many close on the weekends.On Firday night at 7pm we only had to wait about 5 minutes to get a cab at the hotel - as a former Chicagoan, I think that was pretty good time!Valet and in-and-out priveldges at the garage worked well.The Sheraton is probably the closest hotel to Navy Pier, and is convenient to the beach and Michigan Avenue. It is also not too far from Millennium Park, given its location on the River.My only complaint is not with the Sheraton, but with its guests. As you would expect with its proximity to Navy Pier, there were lots of children at the hotel - many of whose parents let them run unattended throughout the lobby, elevator banks, and even the Club Room. In fact, when we arrived at the hotel and got off at the 31st floor, we found ourselves in the middle of 3 brothers playing pick-up baseball (with a Cubs' souvenir) in the elevator bank. I was almost hit with a pitch!There are finer hotels in Chicago, but the Sheraton fit our needs for the weekend. However, if you dont like lots (and I mean LOTS) of children around 24/7, this may not be the place for you...	
