	Pleasant comfortable but unspectacular lodgings	The Westin Chicago River North is a well-run chain establishment centrally located in downtown Chicago. Our room, with a view of the Chicago River, was by no means over-the-top luxurious, but it was well-designed and spacious, with good lighting and comfortable seating. A quiet room and the Westin &quot;Heavenly Bed&quot; made for excellent sleeping conditions for someone who often does not sleep well even in better hotels. Service in the hotel was polite and efficient.What keeps this hotel from receiving a top rating: (1) lack of any &quot;wow&quot; factor: the room, while comfortable, was also generic; (2) no free wi-fi; (3) the food we were served in the banquet rooms (for a wedding) was fairly indifferent in quality, even for banquet food. Still, if the price is right, this hotel can offer a very good deal.	
Oct 18 2007	Westin Experience	Stayed here for our anniversary. SPG Gold got us upgraded to&quot;executive level&quot; on the 23rd floor. Room was everything I would expect from Westin, clean, comfortable, modern, but not plushy. Room decor is simple, and plain but very nice. Bathroom was oversized and easy to work in.There was a Mac on the desk pre-configured to open to a Chicago Travel site though you could surf without restriction, check email, run AIM, etc. I liked that!Executive level offered free morning breakfast and afternoon snacks but drinks were expensive so it worked out even and that's fine.Location was great. Easy walk to everything. It is next door to the famous Marina City condos and it is across from more steakhouses than you can shake a cow at!	
Oct 13 2007 	Excellent Hotel	Girls getaway weekend - everything was excellent. Staff went out of their way to assist us with everything - shopping, dining, directions, etc. Rooms were clean, well appointed and we enjoyed nightly chocolates and having the beds turned down. Computer in the room helped us to locate attractions and also book tickets for boat cruise and show. Manuel even took pictures of us all for a birthday celebration. Executive lounge lovely, breakfast perfect, fresh fruit daily, fresh squeezed orange juice, etc. staff, in particular Kwasi, were very helpful and pleasant.The 5 Canadian Shopping Bags	
Oct 7 2007 	beware the bad reviews	i had to be in chicago for business and the whole city was booked out. Having left my booking till late, i found the prices were out of control!i searched pricline and found two choices - a 2 star hotel and the westin north river - for the same price! i chose the westin, but i was very concerned because of the bad reviews i read - especially highlighting poor service the reviewers had received.I can only say that those people must have picked the one day of the year that the service was less than exemplary.The location was fantastic, the room excellent and the service peerless.Upon checkin i was automatically upgrade and given complementary breakfast the concierge organised a tour for me and followed up to see if i enjoyed it. The only downside was that i found out that all Westins in North America are now non-smoking, but that too was a good thing as i had a great stay AND cut down at the same time.i mentioned the poor reviews to the staff as i was leaving and told them how wrong the reviews were - they were really upset that some guests had not enjoyed the hotel.While the price at the time was high (but still the same as a two star property was advertising) i will definitely be staying here again.	
Oct 2 2007 	Wonderful hotel!	We had the pleasure of staying at the Westin for one night on 9/28/07 and the only negative we had was that we couldn't stay longer! We got a great rate on their web site, a king club level room for the price of a regular king.The club level gives you a larger room on a higher level (helps with street noise), simple breakfast, the exercise area and, I think, a happy hour. We only had time for breakfast, nothing else. The heavenly beds are just that, perfect night's sleep.So many restaurants near by within walking distance. We choose Shaw's Crab House and had a nice early meal in their smoke free bar area.Wandered into Harry Carry's (across the street) just after the Cubs win and the place was up for grabs, Fox news was there capturing the event. Fun!!	
Sep 19 2007 	excellent property with two issues	I have stayed at this hotel several times and agree with other reviews regarding the excellent location and quality of the hotel property. I have only two negative comments regarding my most recent stay (ending today): As far as breakfast in the hotel is concerned you have the option of a limited pastry and fruit buffet or ordering from the menu. My first morning there I ordered from the menu and had a nice breakfast (four moderately sized slices of French toast, two sausage links, hash browns, juice and coffee) but it cost me $30. One has to leave the hotel to find other options which, given the great location, isn't a problem..one just needs to know that this is the situation. Secondly, and more irritating, is the fact that the hotel has no readily available kiosk for advance online airline check-in and printing of boarding passes. There are several &quot;booths&quot; where one can access the internet 24-7 but this is charged to your credit card at 50 cents a minute. This morning I walked to a another nearby hotel where I easily found a kiosk and printed out my travel documents. Beyond these issues this is a great place to stay.	
Sep 18 2007 	A flawless stay	My wife and I stayed at the Westin Chicago River North for 5 nights and thoroughly enjoyed it. The concierge was very helpful, the room was very nice and as expected, the Heavenly Bed and Heavenly Shower were excellent. I can't comment on the quality of food from room service or the on-site restaurants because we never partook. This Westin is located in the heart of the River North area of Chicago, which is home to a number of fantastic restaurants. It's a foodie's paradise. The location was perfect for our sight-seeing, we were able to comfortably walk to the Magnificent Mile, Navy Pier, the Art Institute, and the Sears Tower. We will definitely stay there again the next time we're in Chicago.	
Sep 10 2007 	Great Stay	Very much enjoyed a stay in a 16th floor river view room. Great views of pleasure boats along the river as well as sailboats in the lake to the south and east. The room is great, what you'd expect from Westin. Decent size, comfortable layout. Great bedding, towels, and bath products. Did not have a separate tub and shower. Nice HD flat screen TV. Apple computer in the room.The lobby is warm and comfortable. Excellent location. Had good service all around, I would not hesitate to recommend a stay here.	
Aug 9 2007 	Egregious Front Desk Staff	OK, let me warn you--this is a bit of a rant. I am a Starwood Platinum member who travels a lot. Typically I stay at W's, Westins and Sheratons. Geographically, this hotel is well-located and some of the rooms have nice views of the river. However , I digress . . . Usually, when in Chicago, I stay at the W Lakeshore, but I tried out the Westin Chicago River North because of the high ratings on this site as well as its proximity to the Chicago office of the company I joined a couple of months ago. Upon arrival, the person who was checking me in at reception answered the phone and, after a moment, actually rolled his eyes (not to me in a wink-wink conspiratorial way, just in general pissed off) while he was speaking to the guest who was calling. (I figured my front desk friend was just having a bad day.) Later, I found out that my flustered friend only programmed one of my two cardkeys, so I had to go back to reception after going to dinner. Since I was there, I thought I would do the hotel a favor and mention the incident that occurred earlier, as I'd think most hotels would want their staff members to be polite when working the front desk. Thus, I waited for the on-duty front desk manager, William, to end a phone call he was on. The call seemed to go on for a bit, and it became apparent that the guest on the other end was clearly not happy with his/her accommodations for some reason.I was pretty surprised when I heard William raise his voice to almost shouting level and say to the guest, &quot;No, I will *not* reduce your rate!!!&quot; His outrage was quite obvious to all of us waiting for service, as he flailed his free hand and scrunched up his face. Upon hanging up, he turned to his staff and said quite dramatically, &quot;Send housekeeping to Room [insert room number here].&quot; One of them asked &quot;Is he checking out early?&quot; William retorted &quot;Yes!!!&quot; Then, he turned to we waiting guests and said very pointedly and loudly &quot;And if any of *you* are thinking about checking out early, let me just tell you there is not one room left in the city tonight!!!&quot; I realized then where the guy who checked me in got his training. I told William that I found his behavior to be quite unprofessional, especially as a manager, and he said &quot;How dare you--you don't even *know* me!&quot; I replied &quot;Of course I don't know you; it's merely my impression as a guest in this hotel who observed you shouting at someone on the phone from behind the front desk where everyone could see and hear you. And then to be brought into it!&quot; He just rolled his eyes at me and crossed his arms and said something like &quot;Whatever!&quot; I finally got back to my room and called Starwood Preferred Guest hoping I could switch hotels, but William was right about things being booked up. Suffice it to say, I will never stay at that hotel again, and I'll warn anyone who broaches the idea away from it.	
Jul 13 2007 	There are much better options in the city.	My parents had gotten us a gift certificate for this hotel, so we needed to contact the hotel directly for reservations. It took four phone calls and speaking w/ the manager on duty to actually book the room. (Two of the phone calls I was on hold for 1/2 hour. The third call I was forwarded to catering.) We were charged for breakfast which was supposed to be included. Three phone calls later and it still isn't resolved. They couldn't find the gift certificate which I turned in at the front desk. The room was fine, but the service is lousy. There are too many hotels in the city to have to put up w/ bad customer service.	
Jul 10 2007	A nearly perfect stay - but read on for details...	I was impressed with the location of this hotel for a visit to Chicago. It is central to all the key tourist and business sites. We could walk everywhere we needed to go. Also was impressed with our comfortable and clean room. The heavenly bed, flat panel TV and granite bathroom are the highlights. The housekeeping staff was incredibly courteous and conscientious. Check-in was efficient. Valets and bell staff were helpful.It would have been a perfect stay had the concierge and understaffed lounge area not threaten to undermine the perfect stay. The gentleman at the concierge desk did not slow down enough to listen to my query - he just assumed he knew my question would be the same as the other guests. He cut me off before I could finish my question and was unable to provide adequate assistance as a result.Also the lounge area was so severely understaffed that it was chaotic and we did not even get to place an order. Customers were getting up from their seats to hail waiters and waitresses to order, to get their tabs or for refills. I advise you try other bars or lounges in the area instead. There are many unique hangouts. Or just use room service.Overall this is a great hotel in the four star hotel range. Would recommend it.	
Jul 2 2007 	Great hotel...IMac in the room	Room was very large...not sure if they all are as I think they upgraded us to Club level. Had separate bedroom with large bath. IMac in the room with free internet and two LCD tvs was nice touch. Location was great...very clean, beds are always great. Definitely will return	
May 23 2007	Great Hotel	This is a great hotel. I would give it a 4.5 rating. The location is great. It is close to most of downtown's best attractions and is right on the river. It is right across the street from Harray Caray's restaurant and close to the &quot;L&quot; train stop. There is construction going on right next door; however, there isn't a lot of noise. The rooms were great with excellent bathrooms. The beds were wonderful and the flat screen lcd tv's were a nice touch. The service was impecable by the staff; however, the concierge on one of the nights didn't fit into this category. Parking is around $38 per night which is what you would expect in a city like Chicago. Overall, I would certainly stay here again without hesitation.	
May 22 2007	Top Notch Hotel	This was my 2nd stay at this hotel and I would definitely return. The lobby is beautifully chic. The room itself is in excellent condition- everything clean and modern- and fairly large. The bed was extremely comfortable. The bathroom was really nice..marble..and included user-friendly touches like shelves to the side to put your toiletries so the sink isn't cluttered...and a large separate make-up mirror. The hotel is in a good location near many restaurants but the room itself was quiet - I am a very light sleeper and didn't hear a sound. (requested water view). All in all a 5 star experience- highly recommend it!	
May 6 2007 	Beautiful hotel although location isn't great	This is a gorgeous hotel, great rooms, great bed, and good service. The workout center is nice and if you get a deal or can afford the club level, it's lounge (with complimentary drinks/appetizers/breakfast) was excellent. We had drinks in the afternoon and evening (with a great view overlooking the city) and also had breakfast there each morning. The hotel is very large and close to the House of Blues (if you'll be catching a concert there). The beds are EXTREMELY comfortable. The valet parking service could use some improvement (slow and lacking in professionalism), but overall the hotel is great. The restaurant is one of the better in the city (with views and a bar that is right on the Chicago River). We didn't eat there though, so I can't comment on how good it is. The downside, for us, was location. It was not convienently located to anything we wanted (shopping, El/subway stops, etc.) So that meant a lot of walking and/or cab rides. I would definately recommend the Westin on the Mag. Mile over this one (which we've also stayed at) as it beats it on every level. Overall, though, it's a great hotel that is beatiful and has nice rooms.	
May 2 2007 	Loved the Hotel - beware construction noise	May 2, 2007. FYI - I stayed on the concierge level of the hotel. The room was spacious, clean and well appointed with its town Apple computer (fyi not sure it the hotel deletes the interenet histories on the computer prior to every guest checking in...something to consider,,I did it just prior to leaving), desk, sofa and separate bedroom. The continental breakfast on this level met my needs with lots of fresh fruit (no hot items though). I loved the location which was in close proximity to great restaurants, blues clubs (Blue Chicago - the genuine article (i.e. not fancy was my favorite) and great nightlife. I used the fitness center and was very happy with that. If you are sensitive to noise or going on vacation you may want to stay away from the rooms at the end of the hallway that face construction of the new hi-rise that is being built (i.e. rooms that end in 04, 03, 01 and 02 on the corner) They have just broken ground, so the noise will go on for quite some time. I was there on business, bought a small fan at a drugstore and this made it much more tolerable. The staff here was friendly and very professional and I would definitely stay at the hotel again.	
May 1 2007 	Excellent hotel wonderful staff	this hotel was magnificent, right from the beginning the valet taking our car was wonderful, pointed us in the right direction to our dinner reservations later that evening as well as how to walk to the Art Institute. check in was smooth, room was available for early check in at 10am with no problem. Location cannot be beat, only a mile to museums, restuarants and night life all around, only a $4 cab ride to theaters (who can walk in heels?), staff very helpful. Must relay the most telling incident-my husband woke up at 4am with terrible pain, we grabbed our belongings and headed to the desk to find out directions to the nearest hospital. Ingrid at the desk was most helpful, and the front office manager even called later that day to check on my husband. they were professional, curteous and caring during a stressful situation with out-of-town guests who were not sure where to go. Thanks again Westin River North for everything!	
Apr 29 2007 	Great Hotel	I recently stayed at this hotel (April 25-28, 2007) for a convention. My room was on the 11th floor and overlooked the Chicago River. While the weather wasn’t great (cold and rainy) the hotel was wonderful. The front desk staff was great, offering me an upgrade due to being a Starwood Frequent Guest member. The room had plenty of room and was very comfortable. I really cannot say anything bad about the hotel. It is within walking distance to Michigan Avenue and directly across the street from the Chicago House and Blues and Harry Carey’s Restaurant.	
Mar 28 2007	very nice hotel	Beautiful hotel. Convenient walk to Michigan avenue. Clean room.	
Mar 27 2007 	Good Hotel	I stayed here during the Chicago Housewares show for 6 nights. The room was renovated, the dual head shower was not as good as you'd think. There wasnt a great veiw from my 9th floor window. Housekeeping service was best I've seen. Room was super comfortable. This is a great hotel that lacks in one area, front desk service. I asked them to keep something refrigerated for me and I basically had to beg. They do not care about the customer. The hotel itself though is worth staying in, you only have to deal with that staff once. Reminds me of a W hotel more than a westin. Flat screen was good, standard room was pretty roomy.	
Feb 26 2007	Exceeded my expectations	We have just returned from the Westin Chicago River North where we were attending a conference. We had decided to stay 'on-site' to save travelling to and from. We had considered attractive hotels like the Mandarin Oriental or the Peninsular but the thought of not having to hail cabs in the rushhour won the day. The experience was excellent and I would have no hesitation in staying there again.Their attention to detail surpassed many 5 star hotels that we've stayed at before. How often do maids who service rooms omit little things like not thoroughly replacing bathrooms items (nearly empty boxes of tissues etc). How often do guests wait ages before housekeeping/ reception etc answer the phone/ act upon the request? Or bellhops who almost count the tip before they leave?The Westin (maybe I should say THIS Westin!?) must score almost a 10. The phone is answered within a few rings, my queries were delt with courteously, the bellhops never (seemed) to expect a tip and showed appreciation at the gesture. Our request for more coat hangers/ help with luggage were responded to almost instantly! We pointed out an oversight at breakfast and the problem was immediately corrected- not often does one 'complain' and the solution is an improvement on the origional!The hotel is clean; their 'Heavenly' beds were only OK, nice to have decent coffee facilities in-room (Starbucks) and reception were most helpful in meeting my request for a higher floored room.To be trueful, I had lower expectations for Westin hotels but this one has been a very good advertisment for the group.	
Feb 23 2007	a very nice stay	Took a one-day trip on Superbowl Sunday to Chicago with my friend who is a huge bears fan. Booked last minute through spg.com and got a very decent rate for one night with a 4 o'clock checkout. Have been to the Sheraton four-points twice before but never to the Westin. Found this hotel to be very nice in all areas. The room was clean and spacious with a river view. The location was outstanding for bar-hopping on super sunday. Having many choices within a block or two was especially important as the outside temperature was -2 WITHOUT the wind chill. The only complaint was that the hotel did not seem to have any promotions for the Bears/superbowl in the bar area which was empty 1 hour before kickoff. I don't smoke personally, but maybe the non-smoking in the lounge hurt them in this area, as all other bar/restaurants were PACKED the whole day. After reading some of the other reviews we regret not checking out the house of blues bar accross the street, and looking for alternate parking as it was a bit high at 38$ per day. Overall would stay again for sure.	
Feb 19 2007 	business travel	We stayed here for a business meeting, and it was very convenient to the loop. Many excellent restaurants nearby. The bed was great, the room was very clean and well appointed. Nice tv, but the remote didn't work. Fitness center was nice and not terribly busy, but cost an extra $10 per day--if we hadn't eaten so well I might have forgone its use. Staff varied from a bit aloof (front desk) to very helpful (bell boy, valets, maids). I lost a glove but they didn't really seem to want to look for it. I would stay there again, especially if the rates were good.	
Nov 30 2006 	Nice view...	I found this to be an average hotel - check in not overly-friendly, concierge very friendly, the room was large (nice office area with large desk and working space), great view of the river, and average amenities. Great location for walking around the city and seeing the sites. Breakfast was very good in the cafe. Room service was &quot;ok&quot;...nothing special. Probably would stay somewhere else next time.	
Oct 30 2006 	Very nice would go back	My husand and I stayed at the Westin for a night before heading to South Bend for a Notre Dame football game. The location was good, just a little bit of a walk to shopping, river cruises, restaurants, etc. The room was very nice and clean, comfortable bed, flat screen tv, ipod dock/alarm clock (which I loved for being able to recharge my ipod), and nice lobby. We ate at the bar in the lobby the first night since we arrived late, and the food was very good. The only thing that I don't know if I'd do again is reserve a room on the club floor. Due to our late evening arrival, and sleeping in the next morning, we missed any extra amenities or food offered due to our off schedule, so it ended up not being worth the extra money we paid (rate of $260). However, my husband did like having a quiet place to do some work and check e-mail in the morning. The only other thing to be aware of is the $40 daily parking rate, which you will likely find at other city hotels too. Otherwise, a very nice, relaxing stay.	
Oct 6 2006 	Location location location...	I live in the Chicago suburbs but stayed at the Westin for a meeting. I was happy that I had read Tripadvisor first to know that they rooms with flatscreen TV's. Though that type of room was not available, I was given Executive Lounge access instead which turned out to be great because they had free WiFi access up there so I didn't have to spend $11 for internet in my room.My room was lovely and immaculate, no signs of peeling wallpaper etc mentioned in another review. The bed lived up to its name of being &quot;heavenly&quot; in appearance and comfort. The bathroom was large and very nicely appointed, though I don't think the showerheads are that special. My room had a partial river view which was very nice.Front desk and car valet were fine. I ate three meals at the hotel as part of the meeting; all were good, not great. The location of the hotel is truly excellent. You can walk to many place of interest including the Loop, theater district, Millenium Park (which I did), North Michigan Avenue, and all the restaurants in River North. I would highly reccommend the Westin River North for a wekend getaway so you can be close to everything.	
Sep 25 2006 	Central location reasonable staff pretty standard room	This property benefits from a great central location on the Chicago River, with plenty of shopping and restaurants within walking distance. Staff is generally competent and friendly. The decor is a bit skewed towards the W side of Starwood's portfolio - it's a 1970's vintage era hotel that has been refurbed in a kind of retro/chic way to appeal to the 25-35 target market. Rooms are fairly standard, and as others have noted, the overall light levels are low in the rooms. The Heavenly Bed is present and comfortable, but lamps are a bit dusty, and the minibar console in my room was missing an inset panel. Bathrooms include tub/shower combos with curved shower rods that are sagging due to improper installation. There is an odd double showerhead that is oversized for the tub/shower enclosure and I can't imagine most people successfully using both showerheads at the same time. Toilet seats and lids are plastic and yellowing with age against the white porcelain bowl. The frameless mirror hides fluorescent lights that don't light one's face very well. A massive armoire encloses a 20&quot; TV in a space that could easily accommodate a 32&quot; regular TV or a 36&quot; widescreen flat panel. The desk is large but the desk chair is tiny and straight-backed, digging into one's backbone like a small torture device. The closet is enclosed but not lighted insde.My room had several minor errors in amenity placement and maintenance. Upon entry the remote for the TV was inoperative, probably due to dead batteries; a call to guest services brought a replacement in about six minutes. The next morning I endured a slow draining tub that had water up past my ankles by the time my shower was done; a call to guest services brought an engineer in about 15 minutes. That evening, I wanted to have a shirt laundered and couldn't find a valet ticket with the plastic valet bag; a call to guest services promised a response, but 30 minutes later, I had to call again, and after the second call, a staff member arrived with a plastic bag...but no valet ticket. Another five-minute delay and I finally got that little problem resolved.With a reasonable CapEx effort, the rooms at this hotel could be stunning. As it is, it's a very typical Westin property that has no compelling advantages over like-kind Marriotts, Hiltons or Hyatts. Its most redeeming feature is its location. If you are an SPG Gold or Platinum, you will want to seriously consider this property. If not, the location may not be enough to offset the average $350 and up rates at this property.	
Aug 21 2006 	Perfect Weekend Getaway	We just returned from a great weekend stay here. This hotel was formerly a Hotel Nikko. A very nice property, we stayed on a club floor (19) which included use of the executive lounge which we did 2 times once at breakfast &amp; once for a cocktail. Very nice but sort of crowded at breakfast. Our room was huge, a nice view of the river &amp; the Marina City towers, comfortable Heavenly bed, with the temp set at 65 as requested (we are Starwood points members) and all the usual amenities. We used the minibar as a fridge and our supply of napkins and clean glasses was replenished. I don't think we got turndown service one of the 3 nights but that was probably ok we were pretty out of it when we got home that night (after drinks, steak dinner &amp; more drinks!)Chicago is a really great city - can't wait to go back!	
Jul 24 2006 	Great City-Great Hotel-Okay Service	Chicago is such a great City. I have never been to a cleaner more friendly large city, like Chicago. On to the hotel review.....................Westin River NorthThis hotel would have gotten 5 stars if it wasn't for their check-in. I had called them 3 days in a row to request an early check in because we were bringing our dog to stay with us. After calling again on the same morning I was told they will do everything they can do, but no guarantees. I never have a problem with this at Marriotts/Hiltons.Upon arriving around 11:30 I was told that our room wasn't ready. Okay, we will just walk around with our dog. I was told that they would put a rush on our room and it would be the first to be cleaned. Upon coming back at 2, I was told by a different person the room was still not ready. When I told her what we had been told, etc, she was so rude and said &quot;I don't know who told you this&quot; but check in isn't until 3 and we may not have rooms available at that time!!!! This type of customer service is ridiculous for this type of hotel. After all was said in done, the manager came right over, asked what the problem was, and had us in a great river view corner room within 30 seconds. The room was gorgeous. Flat panal LCD TV, Great Bed, Great Shower....Big Room. The hotel is nice, kind of a wierd minimulistic theme though. Room Service was good. Concierge was very nice and helpful. If you are looking for dog friendly accommodations in Chicago, the Westin is good. The best would be all Kimpton's, in particular Hotel Burnham. The service and friendliness at the Westin was kinda cold compared to other higher end hotels we have stayed.The location is perfect. Walking distance to everything.Ask for room 1624. Perfect view and location.Architecture River Cruise was great...highly recommend.Hugos Frog Bar was as good as it always is.I love Chicago, if you have never been, you are really missing out.Thanks,Nathan	
Jul 11 2006	Amazingly central... yet so quiet!	We stayed in the Westin for one night during our Road trip from Carolina to Montana, having booked it via the Internet as we approched town. We had wanted a hotel a bit further north, but I was pleasantly surprised to so enjoy this location so close to the Loop. Because our rate was so cheap, we were lodged on the lowest floor (third) but with a wonderfully proximate river view. We were on the side away from the street, so there was NO street (or otherwise) noise. We never heard any noise - it was so peacedul, and the river view enhanced that.Our interaction with staff was minimal- check-in was efficient and friendly. Doorman courteous and warm. Bell man fast and friendly. The staff appears to be well trained and accessible, but unobtrusive. They readily pointed out the Self-Park next to the hotel, which we can confirm costs $20. No in-and-out privileges, but who needs a car in Chicago?Speaking of which, Harry Carey is across the street and Smith &amp; Wollensky around the corner; we dined at S&amp;W since they could take us right away. House of Blues was hopping, making the big city even more interesting to my kids.We did beakfast at Starbucks behiind the Merchandise Mart, about four blocks away.The lobby is sleek and beautiful - our room less so. The room was on the small side but it was clean with two beautifully made up queen beds. (No disgusting bedspreads in this joint - just freshly washed duvet covers and sheets.) On of our upholstered chairs had a gross stain and the wallpaper was a bit old and frayed in places near rhe furniture. But otherwise it was clean. We did not have occasion to use Internet or the television.The bath was clean and roomy enough, but the shower did not function well-that was really disappointing. We had an adequate number of towels, although they had that stale tobacco smell that I hate and I can't believe that guests still encounter.USA Today was the delivered paper (please!) but the complimentary Starbuck's in the lobby makes up for that. I would stay here again, particularly with a great online rate.	
Jun 6 2006	Has potential to be a nice hotel but misses the mark....	My husband and I stayed at the Westin River North May 26th and May 27th. (Back story- We normally stay across the street at House of Blues which we LOVE, but this trip we ended up at the Westin River North. I work about a block from here and we do live in Chicago on the North side. It was my husband's birthday weekend and I wanted to do something nice so I planned a birthday weekend. We both recently just turned 30 to give you our age range)The first night the hotel seemed to be hosting some type of prom or similiar function. Their were teens running all over the hotel from about 8 o'clock on. I checked in at about 1 pm with no incident. The front desk staff was friendly and attentive upon check-in.After we arrived back from dinner the first evening we went to our room and then came back down to the lounge for drinks. Big mistake! After three separate attempts to get our drink order we watched and listened to security chase prom-goers through the lobby and hotel. The only time security didn't care was if they came into the lounge and ordered a drink. We finally left when, what seemed to be maybe the chaperone's for the evening came into the evening clearly happy to left off some stress but WAY too loud yelling their drink orders. This didn't go on for just a few minutes which could have been understandable, but at least 10 minutes at which time we left.We went back to our room, hoping to put the events of the lounge/lobby/hotel behing us and enjoy a shower and some sleep.We turned on the shower only to find that there was no hot water. After about 30 minutes of fighting with all the shower water settings and making sure this wasn't our error I hopped in frustrated, tired and fed up while my husband called the front desk.The front desk calls engineering, who checks the temperature and about an hour later my husband finally has a hot shower. Or so he tells me, by this point I'm shivering in bed half asleep and thoroughly disgusted with the Westin. So much for &quot;Heavenly Shower&quot;Day 2. I can only hope it gets better, we discuss checking out and totally scrapping plan for weekend but decide to try and give it another shot. How long can prom last? It is just a one night event right?I stop at the front desk and speak to a brunette. After helping everyone in site including the random people that just walk up even though I am clearly waiting in line, she finally has no choice but to help me. I explain to her the events of the past evening. She proceeds to smile and at points giggle while I tell her my story. I ask her the source of her amusement and she gets confused, and says she doesn't understand what I want. I ask her if the problems are going to continue for another day and she begins to say &quot;Security tried....&quot; and then lets her sentence trail off never finishing....After a minute or so she asks if I want to &quot;complain to a manager&quot;. I tell her she has a lot to learn about dealing with customers and walk off.We head off for the days events- massages, shopping, lunch, etc. We arrange to meet back in time to get ready for our Tut at Twilight Tickets at the Field Museum which I arrange for weeks ago.At 5 o'clock we are surprised to find the room still not cleaned by house keeping. My husband jumps in the shower while I keep watch for the maid.After about 15 mins. I venture into the hall in search of her, only to find she speaks no English. I finally write my room number for her and she says she will be there in 5 mins.At about 5:30 my husband and I head to the lounge again to try again and hope that when we return the room will FINALLY be clean. Before we leave I take all our used towels and place them in a pile on the floor of the room, I put a note on the bed and ask for 2 of the extra large 30x60 Westin bath towels since there are two of us and we would like to both have a bath towel when we get out of the shower.I leave a tip with my note.We come back half hour later to find our room finaly clean, YAY. We don't have 2 bath towel, but what seems to be an endless supply of the smaller hair towels (probably 20x12) and 2 robes. This seems like a nice thought, but not quite on the mark.I call housekeeping request what I ASKED FOR ALREADY and then head to the shower. My husband waits for the towels. About 5 minutes into my shower I hear the phone ring. My husband comes to tell me they called back after telling me &quot;no problem they would be right up with my towels&quot; that they have none.They explain to him that they have 1 per room and it's too late in the day to get any. He tries to explain we don't have any, we had 1 it was dirty and the maid took it and only left a little while ago, but this doesn't help. No towel for us.I'm still trying to figure out how/when this shower becomes a &quot;heavenly shower&quot;...I think the whole thing is laughable.No hot water, no towels. There is NOTHING heavenly about this shower, or trip for that matter.After I dry off with the postage stamp towels I am apparently luck to get and so does my husband we finish getting ready. We head to the valet to catch a cab to head to the Field Museum.We arrive at Valet to find an absolute free-for-all. There is no valet or anyone from the Westin in site. There are 8+ people trying to either get out of cabs and unload luggage or get a cab.Cabs aren't willing to take the people since they need to take cabs from the &quot;cab stand&quot;, but since there is nobody from valet nobody knows how to get a cab from the cab stand. This chaos goes on for about 5 minutes.We walk across the street to House of Blues and their valet gets us a cab.Upon returning from the museum, dinner and the foundation room we head to the room unwilling to take our chances in the lounge again.We get to the room and settle in. After relaxing for some time we order a pizza from a local pizza restaurant. About an hour later the front desk calls to tell me they won't let the deliver driver come to my room and I have to come to the front desk to get my food. I hang up annoyed. This information is not disclosed anywhere that I have seen.I arrive in the lobby to find NOBODY at the front desk but the delivery driver from the pizza place. I didn't know I needed my credit card, and the front desk certainly didn't mention it. The delivery driver and I walk up to my room so I can give him the imprint of my credit card. Nobody says anything since there is NOBODY in the lobby anywhere, nor the front desk.The front desk had inconvenienced me for NO REASON, but this seems par for the course at the Westin. Perhaps this is their business model.I get my bill slipped under my door, I review the bill. It has an extra $30 in phone calls which I never made. I purposely made all my calls, except 1 from my cell due to the cost of calls. As did my husband. After my interaction with the front desk this isn't worth dealing with, I fill out the survey and sign the check-out form. (Not surprisingly the total charged to my credit card was even higher than the slip I signed at check out when I saw it on my bank statement a few days later)I want to be done with the Westin. We will never stay there again, we will never recommend it to anyone. I would never consider them in any city. They clearly don't seem to care regardless of any member of staff. I sent an email to the Westin, I filled out the satisfaction questions on my check-out form, I filled out a automated form on the Westin website, I have never heard a word from them.	
Jun 6 2006	Prime Location!	The Westin River North is absolutely 4 star! The rooms are plush, comfortable, and I believe all have a view of the Chicago River. We secured a terrific price through Priceline which made our stay much sweeter. Be aware that this is a BUSINESS hotel. Therefore, there is an extra charge for everything. Wireless internet is free in the lobby area but unavailable in the rooms. Instead, the high-speed internet access charge is $20 per day or $1.50 per hour. Parking at the hotel is $38 per day, but an adjacent public lot charges only $20 per day. No breakfast included with room. Dunkin Doughnuts or trendy breakfast restaurants are nearby.What pleased me most about the hotel was LOCATION!!! We spent 3 days and 2 nights exploring Chicago with students from Germany. This Westin is smack in the middle of everything! We were prepared to purchase metro passes but WALKED everywhere with no problem! Navy Pier was the destination located farthest from our hotel, but there is a FREE shuttle provided from a nearby corner. We used the shuttle to Navy Pier and returned via taxi at a cost of $4 plus tip. CHEAP!Be sure to check out the numerous tours offered by Chicago's achitectural society and visit Buckingham Fountain after dark! We felt very, very safe touring Chicago at all hours! ENJOY!!!	
Jun 5 2006	would definitely stay again	I have stayed at this hotel twice now and really like it. I find it relatively quiet and has wonderful views of the river-- so try to get a room with a river view!! I have switched from the loop W which was a bit to kinetic and like this hotel's convenient but not right in the middle of everything location. I tend to take the blue line in from ohare and is a very short work from the clark an lake stop.My room has always been spacious, and very attractive but as someone else wrote not over the top. The hotel was formally a Nikko and still has a slight zen asian look.	
