	Class at a reasonable price	Arrived at this hotel on a cold sunday afternoon and I was greeted by very friendly staff, and free steaming hot chocolate and marshmellows. A great way to warm up the rooms were functional, clean and comfortable. Had a great view, when I return to Chicago I would not hestate to stay here again. The staff were incredibly attentive and polite, business centre free internet access was a big plus.	
Oct 30 2007	Not a bad place at all	I recently stayed at the Hotel Allerton for a conference (10/22-10/26). It was a decent deal that I got through the conference. I had read previous reviews that were mixed regarding this hotel and was sort of skeptical. I will break down my review for you now...Hotel/Room: The hotel is old/historical looking from the outside. But it has been recently refurbished. Other reviews stated that the elevator only went to the lobby and you needed to transfer out. This has all changed. You can now ride the elevator from street level to your room. I had a room on the 19th floor. It was on the small side (had two beds) but was tastefully decorated. The TV was kind of awkward because it was perpendicular to the beds. We faced another building (but I didn't care for a view). The bathroom was nicely decorated and the shower had great water pressure. No fridge in the room but a desk in between the beds. Small closet with a safe.Location: This was one of the best features. Right on Michigan Ave. A couple blocks away from everything including: Giordano's Pizza, Water tower mall, John Hancok, and a bunch of other great shopping stores. You could walk to pretty much anything.Service: I had booked for 1 king bed but at the last minute needed two beds. The hotel stated that they were sold out and couldn't make the change. However when I got there, they were able to give me the two beds and didn't even charge me extra. The bellmen were nice enough. And I thought the front desk was great too. They were going to charge me for internet access, however I checked my wireless and found that I could pick up a signal free of charge. Never used room service. Maid service was good. No turn down though.I really had no complaints about this hotel. I got what I expected and was pleased with it. Would go back if I needed to.	
Oct 28 2007 	Extremely poor - rip off and bad management	Tiny rooms, rude service, the duty manager tried to rip me off by charging me a no show charge (even though I had been staying at theh hotel on the night in question). I had to call in other staff to verify that I had been there. The restaurant and bar are very very ordinary. The rooms are so small that once you have put your suitcase down there is NO floor space. I moved to the Radisson a couple of doors down as I had to stay one extra night and it was amazingly good value. Cost less. Huge room, huge bathroom and very pleasant.Avoid it. There are many better alternatives.	
Oct 21 2007	MUCH better options in Chicago	I was really disappointed with the Allerton for the price of the room. The room was VERY small and I could hear everything through the walls. The decor was outdated and the elevator system was a mess. Some elevators didn't go to certain floors and some weren't even working. It took me on average 5-7 minutes to get to the lobby from the 11th Floor. The final thing that really bummed me out was I ordered room service and because of the room size, there was no table or desk to eat at...and they didn't bring anything to make up for that - no tray table, nothing. So I found myself eating breakfast on the floor, which I think is pretty unacceptable for a room that costs over $300 a night. The best thing was the location, it really is smack in the middle of the shopping action, but there are so many other hotels in the area and I will definitely price out other options next time around.	
Oct 21 2007	NOT impressed. This place is a dump.	Just got back from a weekend stay at the Allerton. Let me say, the location is great, but that's the end of it. This is the WORST hotel I have stayed in for years. The place is very outdated and the rooms and elevators are too small. WAY TO SMALL. Our room was not available at 3:00 and we were told that they would contact us as soon as one was ready. I recieved no phone call. On top of that, the room was in terrible condition when we did get it. The wallpaper was old and falling off the wall and the window was lined with masking tape. What a major DUMP. Way over priced as well.Go across the street to the OMNI. I will never make this mistake again.	
Oct 19 2007 	Not Bad Not Great	My husband and I do a lot of traveling to Chicago on business, and we usually stay at The Conrad Hilton or the InterContinental, but they were both booked solid, so we tried the Allerton for the first time.We were in a Jr King Suite, so we did not have a problem with the room being small or a low ceiling, which is a good thing since my husband is 6'4&quot;. The elevators and hallways in the hotel are super tiny, and it's true that you have to change elevators to get to street level, but that didn't bother us.The room itself was quite large and comfortable, but it was definitely showing some wear. As other reviews have mentioned, the shades were missing from the windows, and the curtains were dingy and torn in some places. (I bought clothespins from a drugstore to keep the curtains shut because after reading reviews here, I didn't want to bother asking maintenance to fix them.)The staff was very courteous and friendly, especially the maid for our room. We did not have the nightmare experience that some other reviewers had, but we will probably stick to The Conrad as our first choice of hotels in Chicago.	
Oct 16 2007 	Disgusting	The good: Excellent locationThe bad:When I checked into my room, the room had two windows and no window shades or curtains. There was no way to block the light from the street or to have any privacy. The brackets were there for the blinds..they just weren't there.I contacted housekeeping and maintenance and they said they would look for some shades but it would take a long time and even then they probably didn't have any.I then went to the front desk to change rooms. The non somking room they gave me smelled like an ashtry. I went back down to the front desk to tell them about the smell and the clerk told me that it was impossible that the room smelled of smoke since it was a non smoking room. Interesting logic but not a good answer. Her solution was to have housekeeping come up and spray perfume all over the room. Again, not a good solution. So since the hotel was allegedly sold out I went back to the non smelly room with no shades.I called maintenence again and they brought the shades.Unfortunately, the shades were yellow from nicotine and again smelled unbeliveably bad. So I suffered through the night smelling my disgusting shades.Customer service in this hotel is nil and the facilties are going down hill fast.	
Oct 3 2007 	We will definitely go back....	We booked the Allerton primarily for the location - which is awesome. So much to see and do within walking distance. Not planning on staying in the room much we reserved a petite room for $169, understanding that they are terribly small. Upon checkin, I took a chance and asked for a free upgrade. The friendly and accomodating clerk complied! We were given a junior suite on the 20th floor that was wrapped back around a corner far from the elevator. It was extremely quiet and peaceful. The only unusual thing about the suite was the door opened to the sleeping area and not the sitting room. There was a spanking clean bathroom inbetween rooms with a nice sized shower and plenty of room for toiletries on the shelf over the pedestal sink. The usual amenities were available - coffee maker (1 cup), hair dryer, iron. Two thick, plush bathrobes were provided. The room spanned one of the north jutouts thus giving us a view from three sides. There were plenty of windows to let in lots of light. Lined curtains kept the rooms dark in the morning.The third floor is beautiful, with high ceilings and dark, detailed wood trim. Just the character I expect from an older hotel.We tried the breakfast buffet before departure - using the 20% discount coupon. I thought the selection was great and the food delicious. I would recommend giving it a try.If you use valet parking, be prepared for a $45/day charge on your bill. Next time we may drop our luggage off at the hotel and park in Grant Park.Elevators are small, which I think is quaint. We didn't wait more than a couple minutes for one. I'd steer clear of the service elevator. It's pretty scary!We won't hesitate to stay at the Allerton again.	
Oct 1 2007 	I stay there often on business - so-so	My company has a discounted rate with the Allerton, so I stay there once or twice a month, and I most recently stayed there late Sept 2007. Some comments:-Like other posters on this site, I agree that the hotel is a bit outdated, but I have never had an issue it not being clean. Room size is also adequate for Chicago, esp considering the fantastic location. However, bathroom setup is usually inconvenient, with little &quot;vanity&quot; or counter space.-I frequently have an issue here with &quot;smoking&quot; vs &quot;nonsmoking&quot; rooms. Seventy-five percent of the time, I check into my supposedly nonsmoking room only to find it smells of smoke. The front desk is usually apologetic, and they quickly assign me to a new (very fresh smelling) room, but it is quite annoying to have to go through those motions. It makes me wonder - why can't they assign me the nonsmoking, &quot;fresh-smelling&quot; room to begin with? -Do not bother with the restaurant/bar with all of the other great Chicago places so close...-As someone else mentioned, you have to take an elevator to the 3rd floor to check in, and then take a different elevator to your room. This becomes a pain when you want to leave the hotel, as you must take the elevator to the 3rd floor, and then switch to a different elevator to reach street level. The always friendly bellman told me last week that apparently beginning in October, 2007, you'll be able to take the elevator from your room right down to ground level, which would eliminate the elevator transfer, and save the hassle. Hopefully he's right! -The fitness room is interesting - on the top floor, which supposedly was the old &quot;Tip Top Lounge&quot;. Even though the view is interesting during a workout, I always wonder how cool the Tip Top Lounge must've been in its day?	
Oct 1 2007 	Small rooms!	The rooms in the Allerton are very small and outdated. The breakfast is not so good, some staff is friendly, but most are not. There are nicer hotels in Chicago...	
Sep 12 2007 	Positively Surprised	I enjoyed staying at the Allerton. The location is fantastic! While my room wasn't the biggest, it was definitely sufficient, clean and confortable. I would recommend the Allerton and would stay there again.	
Sep 7 2007	Great hotel at a great price	The Allerton Hotel is in the heart of the Magnificant Mile on Michigan Avenue. Because of the low rate ($159) I feared it might be only average condition, but was pleasantly surprised that it was very up to date and clean. We even got a complementary upgrade to a junior suite which was very nice. (But note that it wasn't really a suite, just a large room). The staff was very friendly and helpful, especially the bellmen. The only drawbacks: we ate breakfast in the restaurant one morning and it was so-so and expensive; and the toilet in our bathroom was sited so we hardly had room for our knees.We would definitely stay there again.	
Sep 5 2007 	Small 	Before booking this hotel, I was a little skeptical - I had read several reviews from this website and other sites. I was leaning towards booking another hotel, but a friend of mine, a native Chicagoan, convinced me to book this hotel. I should have trusted my initial instincts. After checking in, I used the &quot;micro-sized&quot; elevator to get to my room. While on the elevator, I spoke with a woman who had previously stayed at this hotel. After commenting on how small the elevator was, she warned me that I just might get a room where I would open the door and run into the bed - I laughed it off not believing her. When I opened the room door, lo and behold, the bed was right there....within three steps of the doorway. The standard room in this hotel is really small. It may be okay for one person, staying for only one night. However, I was staying there for three nights and was not happy about it. Also, there was a foul odor in the hallway on the floor of my room - I contacted the front desk and requested to be moved to a different floor. Also, the standard room does not have a small refrigerator or microwave; however, it does have a micro coffee maker, enough for one cup at a time. On a positive note the hotel is relatively clean and the staff was friendly and helpful.One highlight of this hotel is its location - right on Michigan Avenue (Magnificent Mile), with tons and tons of shopping. If you're thinking about renting a car, think twice and save money. There is plenty of public transportation (buses and taxi cabs)To sum it up: If you don't mind staying in an older hotel with small standard rooms and minimal amenities, by all means stay at the Allerton Hotel.	
Sep 4 2007 	Good location - bad hotel -- find another place to stay!!	We stayed there for a wedding and were not in the room for very long - thank goodness! The room was tiny and dirty - cobwebs on the walls and corners. The phone was broken - the message waiting light was on and blinked all night long because we couldn't acceess the message. We ended up disconnecting it from the wall. We ordered room service and left the room for a while...only to return and our food was gone! They came into our room and took the tray, water, food...everything was gone! The elevators are an absolute nightmare! They are tiny and run very slow. When we were leaving for the wedding the elevator was stuck on the floor we were on and didn't move so we ended up taking the stairs. The next morning we decided to stay for the breakfast buffet. The food was good...when it was out on the buffet table!! The hostess was not only sitting people, she was also responsible for bringing out the fresh food...which didn't work quite well. We had to wait forever to eat. The only good thing about this hotel was the location. I'm from Chicago and would not stay there again - there are so many other places!	
Aug 28 2007 	Allerton Hotel is Okay but not great	We booked the Allerton Hotel for 4 nights in August through Hotwire. The rate was comparable to the rate we received last year through Hotwire, but last year we were booked at the Drake.It would be unfair to compare the Allerton to the Drake, but after staying at the Drake for nearly the same amount, it was hard not to draw comparisons, or at least to not be slightly disappointed.The Allerton is in a great location, for any attractions on or near the Miracle Mile. That is a positive, the down side is you can hear much of the noise form Michigan Ave. We were in a room within earshot of some young street musicians playing plastic buckets and pails and it made it dissicult to nap late in the afternoon.The first room we were assigned was extremely small and the carpet was horribly stained with what looked like red wine or coffee ( I hope ) the vents for the heating and ac were covered in filthy dust and mold.The front desk changed our romm, and the new room was a bit larger, but the vents in that room were pretty dirty as well. The front desk must not have notified housekeeping of the cahnge, so we were dismayed to return to our room to after a long day in the city, to find it had not been cleaned.If you go into the Allerton knowing it is an older hotel, in need of many updates and refreshing then this hotels is very adequate for a good location, comfortable bed and good water pessure. The downside to the comfortable bed is an extremely loud ac unit that will jar you awake every time it turns on, paper thin walls that allow lot of corridor and nearby rooms to be heard.Hotwire ranks this as a 3.5 star hotel. I would not. I would put it closer to 2.5 and possibly a 3 star.I did not check out the fitness facility, nor did we eat at the hotel. With so many great places to eat within walking distance it seemed silly to spend the money the hotel prices reflected.There is free wifi but only in the lobby, you have to pay 10.00 a day to acess it in your room.	
Aug 24 2007 	Great Hotel	This is a nice hotel in a great location. I had heard that the rooms were so small as to be laughable, but our room was not small at all. The concierge was very helpful, and the hotel was clean and attractive. If you're claustrophobic, you might want to avoid the elevators. I would definitely stay there again.	
Aug 21 2007 	Fantastic stay-great location	Stayed at the Allerton while in town for a workshop. Staff was friendly and helpful. Location was great for shopping and restaurants. Although the workshop was at the Mercantile Exchange it was great to take the $6 cab ride there and not have so very much noise at night yet right in the middle of everything. The rooms were comfortable and the beds and linens were clean and comfy. The bathroom is on the smallish side so be careful getting out of the shower because you ste right into the toilet. Room was cleaned every day. I would stay there again on a personal trip and recommend it highly to anyone going in the future.	
Aug 21 2007 	Great location great concierge service	Got a pretty good rate of 190 for a conference. Hotel was old school but remodeled and nice, clean. Rooms were a bit small, but not a problem for us. Location was wonderful...close to everything and the el. Concierge was very very helpful....recommended a fine steak house for dinner and called over to secure us a table. Porters/bellhops were totally on it, called in taxis, etc. Was pleased for the price. Would stay again, but would probably not pay over 225.	
Aug 15 2007 	Enjoyed the Allerton / perfect location	My son (20 yr old) and I visited Chicago from 31Jul - 06Aug 07 and stayed at the Allerton. We had a lovely room (two double beds). We found it very clean, comfortable and quiet. The staff were efficient, and Karen (tho busy) was so helpful when booking tours (we found a little Theatre by the lake and went to see Oklahoma...excellent). We loved Chicago, a beautiful City so much to see and do, and we did as much as we could. The location of the Allerton is just perfect, 3 steps from Michigan Ave and all that wonderful shopping. Would have no hesitation in recommending the Allerton to anyone. If I had to make one negative remark, it would be that the elevator could be slow to arrive. But both my son and I had a terrific stay at this hotel, and if I was returning to Chicago, would be delighted to stay at there again. Well done Allerton!!	
Aug 13 2007 	Very comfortable hotel	We stayed at the Allerton during the first week of August and found everything about our stay enjoyable. We had a &quot;handicapped room&quot; which was spacious enough for 2 people and nicely furnished. The bed was very comfortable and the room was quiet, we had a great nights sleep. The ride in the old style elevator was nostalgic for us. The front desk clerks were friendly. The location is superb. We parked at a reasonably priced garage on St. Claire and walked 5 minutes to the hotel. I'd definitely stay there again.	
Aug 13 2007 	Free bad attitude at Allerton!	We got stuck with the Allerton on Priceline. My wife and I visit Chicago often and have stayed in more than 10 different hotels there. My experience with using Priceline is that most hotels will tend to give you the less than desirable rooms, so I called the day before my stay to book a King non-smoking room. I was told that they couldn't promise me that, but that they were not very busy and that it shouldn't be a problem. Check in is at 3:00, we got there at 5:15 and was told there were no clean rooms available unless I wanted a smoking room with a full size bed. I told them either a King or Queen would be fine but it's got to be non-smoking. The reservation clerk quickly pointed out that because I was a Priceline customer they could pretty much give me what they wanted to, but if I would come back in an hour they would have something ready. Great.... I come back in an hour and it's still another 20 minutes until they can get me a room. Finally, at 6:30 we got a non-smoking Queen.This place is old and the rooms are tiny. Although I did have a great view of the Magnificent Mile, the room was very worn with torn shades, water damage to the ceiling and cobwebs in the corners. For the money, the only thing this place has going for it is the location. I now know what it feels like to be in a cocoon.	
Aug 12 2007 	Its OK just don't overpay	Allerton is an older hotel with a great location in Chicago. It was refurbished but the rooms are small. Amenities are few - showercaps not provided. Staff is not that helpful - arrived with 4 bags in a taxi and the bellman told us where to go but did not even offer to take the bags. Lost my reservation but I got a room anyway. Lobby is on third floor, entrance on first, have to take an elevator to get in or out. Room is clean, bathroom is fine, bed is a little small. No minibar or safe in room.Basically, if you are not paying too much, its an OK hotel. I would not spend more than $150 a night for this hotel.	
Aug 11 2007 	Fabulous Location...but a little "tired"	The location was great! There is no question about it! HOWEVER, we got a bit of a deal &quot;on-line&quot; and had we paid full price, the hotel would been a disappointment. On the &quot;plus&quot; side, the staff was friendly and helpful and it was kind of cool to stay in a historic Chicago hotel. The gym also had great views and a wide variety of machines. Our room was small, which wasn't that big of a deal (since we were out touring), although the bathroom counters were not adequate in terms of space. The room smelled of some sort of cleaner and the towel allotment was bare minimum. We could see how in its day, it must have been glamourous, but its only half-way-there by today's standards. You might want to entertain other options in the area.	
Aug 5 2007 	Only thing good about this hotel is the location DON'T STAY AT THE ALLERTON	Checked in at the Allerton having requested a non-smoking room. Went to the room only to find that it was a smoking room. It took 15-20 minutes to get a non-smoking room, with discourteous staff. Stayed at this hotel for a wedding anniversary celebration with many other friends and family. That is the only reason we stayed. The windows in our room were so filthy that you could not see out of them (spider webs and dirt). Hallways outside of the room were filthy as well. I have stayed at hundreds of other hotels for business, and found this one to be the worst one at which I have ever stayed. Food at the Hotel was, at best, mediocre. When I complained about the FILTHY conditions of the Allerton Hotel, I was told that I should expect that due to the age of the hotel. A major downer in a great city.	
Jul 27 2007 	Style and Convenience	I stayed in this wonderful historic hotel whilst attending a conference there. The hotel is located very centrally, midway along the golden mile of shopping. The hotel is comfortable, the rooms a good size (for a hotel of this vintage) and the staff polite and helpful.My only gripe is that guests are expected to pay extra for wi-fi access in their rooms - surely a hotel of this standing shouldn't be doing this as the additional cost to the hotel is minimal!	
Jul 22 2007	Great Experience!!!	We had a great stay at this hotel. The staff was friendly, the bed comfy and the most important for me is that it was CLEAN!!!If I had a complaint, it was the room was a bit small. The bed was sandwiched between two walls meaning if two people were on the bed, one had to climb over the first person to get out. Overall a great stay and we loved the hotel and location!!!	
Jul 10 2007 	Not as bad as other reviews depicted	I participate in a group meeting each June in the North Michigan Avenue area of Chicago. This June we weren't able to stay at the usual hotel and were booked instead at the Allerton. I had read a number of reviews prior to my stay and was anticipating disappointment. Instead, I was pleasantly surprised at the accomodations and service from the staff. One review recommended asking for an upgrade to a suite which I attempted at check-in. I was told the upgrade would cost an extra $70 per night so I declined. The room I received at the group rate is exactly what I expected with an upgrade! It was relatively large with a sitting area and king sized bed. The only complaint I had with the accomodations is that the bathroom was very small. If I had been staying with someone else in the room I could imagine it being problematic.All-in-all I was delighted with my stay and will remember to read future reviews with &quot;a grain of salt&quot;	
Jun 18 2007 	Great Location	The hotel is in a great location, the bar staff is friendly, and the bell staff helped a lot when the airline lost our luggage. The front desk could have cared a little about the guests but all in all it was a good experience. I would stay here again.	
Jun 18 2007 	What an ordeal	We arrived at 5:25 pm on a Friday night (check-in starts at 3:00). We were informed our room (2 beds non-smoking) was not ready yet, but they offered us either a smoking room with 2 beds or a non-smoking room with a king sized bed. We asked how long it would take until it was ready and they called housekeeping. 30 minutes later we still didn't have an answer. An hour went by and the room was still not ready. We offered to go up and either check the room ourselves to see if it was done or clean it ourselves. Long story short: we got in our room 2 hours after we arrived (4.5 hours after check-in begins). We were not charged the upgrade fee for having 2 beds, and they gave us a certificate for 2 free breakfasts. Then we get to the room and it's tiny...I guess we should've taken the room with the king-sized bed, but who knew.Overall, the location is great and the hotel is beautiful, but the room we got was tiny and there seems to be a bit of a communication break-down between the front desk and housekeeping.	
Jun 15 2007 	How about a MOTH INFESTED stay in Chicago?	This hotel simply LACKS MANAGEMENT; and appears to be run by ghosts!List of complaints?*Moth infested room. My insectophobic roommate woke up with one on her pillow.*Very stingy with amenities. Bathroom supplies were not refreshed, irregular towel replacement.*Cleaning was not done properly, the moths we killed remained on the floor and on the windows!*Mouldy shower!*The entrance is wired; elevators too. And we paid, a discounted rate of 265$ per night! Be careful, if you book through Expedia, the hotel won't be able to financially compensate you for your inconvenience.	
Jun 10 2007 	Narrow but nice	This is a very nice hotel. We stayed at various (pricier) four star hotels in Chicago, and one has to admit that these Hotels offer spacier rooms (although often not that much) and some more amenities that may not be that important (such as a tiny swimming pool).The location is excellent. Rooms are clean and tastefully decorated. As noted in other reviews, they are small and the ceiling is rather low (same in halls and elevators), so if you are taller than 6.5 foot and/or weigh more than 300 lbs, you may want to go elsehere. The room service is prompt and courteous. I had a standard room and later, we moved (because my family with 2 little kids joined) into a suite, which had spectacular views from windows directed towards the West, North and East ... I am not sure if you can find something similar in any other Chicago Hotel.	
Jun 8 2007 	great experience at The Allerton	This was our first stay at the Allerton. We found the hotel to be family friendly. The staff was friendly. There was not one hotel employee that did not say hi or good morning. The doorman is especially nice and helpful. Our room was small but we were not in it very much. This is a great location for any attraction in the city. There are quite a few things in walking distance and cab rides to Zoo, Pier were about $6.00. We actually walked back from the pier in about 20 minutes. I highly recommend using the Allerton.	
May 29 2007 	great location	We stayed 4 days over Memorial Day weekend, and were so pleased with the Allerton, we can't possibly understand the negative reviews. Yes, the rooms are pretty small, but they were clean, comfortable, and well equipped. And yes, there is street noise. You are right on Michigan Avenue, where everything is literally at your doorstep. We found the staff to be extremely helpful and friendly; everyone we had direct contact with made it a point to say hello and wish us a nice day. Please note; you will have to take 2 elevators to get to your room. We laughed when we read how many people complained about that! Only thing to keep in mind is the lack of FREE internet access. You will have to pay to have it in your room, but we got a nice deal on the room so we didn't feel too bad about paying. We will definitely be returning to The Allerton.	
May 22 2007 	Nice but Lout	This hotel has a perfect location. We stayed at the hotel when they had full occupency The elevators are small but there are several of them. It only took a minute for one to come by. The rooms and bathrooms were standard hotel rooms for a big city. If you want a larger hotel room you should probably stay outside of Chicago. The staff were very courteous. You can hear sirens and beeping cars (Again, you are in Chicago.). My only complaint is the lack of wireless internet service in rooms.	
May 11 2007	I recommend the Allerton	I stayed at the Allerton for 3 days while attending a trade show. My room was above average for comfort and cleanliness, and the location was great. There was good coordination between the show organizers and the hotel staff on transportation and event schedules. I am surprised to see so many negative reviews about the staff. I found them them to be as friendly and helpful as any I have seen, particularly in a large city. Either the hotel management has read the reviews and made corrections, or perhaps some staff reported in other reviews as responding negatively to guests were merely reacting to the way the guests were treating them. In my experience, I've seen more surly hotel guests than staff.The complaints about the elevators are legit. They are inadequate for a hotel of this size, with the situation made worse by the fact the the main elevators do not go to street level. Still, I'd recommend this hotel to anyone.	
May 10 2007 	Nice Hotel but Noisy	My wife and I stayed here the last weekend in April 2007 with two other couples. We booked three rooms via Hotwire and for the same rate, we each got different bed size rooms. Since we were the last couple to arrive we got the room with the Full-size bed. I'm glad we did since the rooms are tiny. The couple that got a room with a King had to crawl over each other just to get out of bed. The only major complaint we have is the street noise. Being across the street to the Northwestern Hospital we constantly heard ambulance sirens throughout the night. Our room overlooked Michigan Ave so we also heard a lot of cars honking their horn. Another minor complaint is there is no public access to your car (if you drove). They only have valet parking, so unless you plan on using your car often, I recommend making sure you have EVERYTHING you need. The two things that stood out as positives are the location and the staff. Unlike some other reviews, we found the staff to be very nice and friendly. The valet/bellhop even went to our car to retrieve an item and delivered it to our room.Overall we were happy with the hotel, for the price we paid. Had we paid their advertised rates, I probably would have rated this hotel lower.	
May 5 2007 	Don't believe the negative reviews - Loved the Allerton	I just returned from a 2 day business trip to Chicago. I was a little hesitant to book at the Allerton based on some of the negative reviews I had read. Anyhow - got a great rate on Hotels.com and went ahead.The Allerton exceeded my expectations in every sense. The hotel is charming, my room was updated and clean and the staff was friendly and helpful. I can't recommend this hotel enough. The only, and I repeat only negative of the whole stay were the small elevators. Best of all the Allerton is right on Michigan Ave in the heart of the Miracle Mile. One block from Rush St. and all the great restaurants. Two blocks from Lake Shore Dr. and Lake Michigan. You simply can't beat the location.It's funny to read the negative reviews after staying at the Allerton. I guess some people will nitpick anything. If you're on business, or traveling with your significant other - this is a great spot to stay.	
May 5 2007 	Not Bad Not Great	The good: We paid a bit more and stayed in a room with a king size bed, thus room size was adequate. However, if you don't pay a bit more, from reading precious posts, the room size may suffer.The location was very central on the mile. Probably it's best feature. If wasn't for the location, probably would rate it a star lower.The not so good:Front desk staff and doorman were not customer service oreinted for this level of hotel (re: Allerton is not charging Best Western rates...). Seemed very odd that the doormen just stare at everyone and only offer a salutation AFTER the guest(s) offer one.Rooms have beeb refurbished over the years, yet redeem tired signs. Although our room was on a high floor, the view was diminished by very dirty windows. They could invest in some badly needed window cleaning.Elevators can be cramped and you will be intimate with other guests whether by choice or not due to everyone squishing into the hot elevators. Really a matter of preference here though--if in a hurry, you will be inconvenienced. Otherwise, you might just find them interesting from a historic standpoint. Since, I was not here on business, I personally did not find them an inconvenience or interesting...Overall: The Allerton offers no frills and subpar service, however it's central location, really it sole redeeming quality, saves it.	
May 3 2007 	Great Stay at the Allerton	The stay at the Allerton hotel was great. It's right in the heart of the Magnificent Mile so shopping and visiting museums is within walking distance. The hotel itself is wonderful and if you have AAA they are running a special deal to celebrate their anniversary. I will stay at the Allerton whenever I visit Chicago.	
Apr 30 2007 	Some things to watch for...	First and foremost, if you want to stay right in the heart of downtown, this is your place! Also, its one of those great, grand old red-brick buildings which I find beautiful - yet the inside was clean and modern looking so it made for a very enjoyable experience. I don't like when people complain of the room size because I thought it was a pretty good-sized room compared to some hotels in big cities like New York, Boston, etc - now THOSE are small rooms! And the cleanliness and cuteness of the rooms make up for it - the bed was very comfortable and the cleaning staff should be commended also for their customer service. There were a few times that a cleaning woman held an elevator for us. However, they are the only staff that seems to care at all for customer service as the rest of the staff leaves something to be desired for. Everytime I called the hotel for help, I was directed to a voicemail system. I believe that a concierge should always be available - especially considering I was checking which subway stop to get off of and I was on the subway at the time so I really needed help quickly! Plus I had to call on a question when I got home and the accounting dept and operators were all pretty rude to me. Otherwise, I think this is a great hotel to stay at - they might do better if they have a staff overhaul &amp; get some powerful customer service reps in there. As for the elevators, yes, they're a bit small, and a little slow but really nothing THAT horrible - you just get the next elevator if its got a few people in it already and I don't recall waiting for much longer than 5 minutes at the most for any of the elevators. And I think its charming to go up 3 floors, then need a 2nd elevator - its different!	
Apr 27 2007	Location could not be better!	I stayed at the Allerton for a conference in mid-April. The conference was actually held at the hotel; so I experienced the continental breakfast and lunch; both were just splendid. The conference facilities on the 23rd floor were actually pretty cool; baroque/ornate rooms with fantastic views of the city.The location on the cusp of Streeterville / Gold Coast simply cannot be beat! Easy walking distance from the best shopping the city has to offer. There is also an Apple store across the street- remember that if you don't have your laptop and you need to use the internet, it's FREE!Checking in, I was given a complimentary upgrade to a suite, and because I was there alone, it was plenty of room for just me! Quite luxurious-- living room and bedroom both had TVs, and since getting to Chicago during a freak spring cold spell had been quite difficult, the free upgrade was very much appreciated! The waitstaff for the conference was lovely, the concierge(s) were always very helpful, even the room service staff went above and beyond. My only complaints were that the bathroom light/fan made a horrific, loud buzzing noise, and upon check in and check out, I found the service counter attendants to be unattentive and almost bored. Ooooh, and the restaurant/bar are scary. The bartender was unattentive and rude (w/no customers in the bar) and they still allow smoking. Blech.If I had the guaranteed of a suite, I would stay at the Allerton every time I was in Chicago!	
Apr 24 2007 	Small Potatoes	We paid quite a bit of money for this hotel. I have to say the reviews were right on and had we known what hotel we would get we may have just paid regular price to stay someplace else. The hotel itself was clean and the staff was nice but the rooms were tinier than my closet. We had a full size bed and that is about all that was in the room. We had to rearrange the desk and other tables so we could move around. There was no chair or place to sit and the bathroom was tiny as well. Plus, you had to enter on the ground floor, go up to 3 and catch a second elavator to your room floors. The elavators were really slow and once we waited 20 minutes to get up. We also waited 1 hour for our bags to get to our room from the bell hop. Overall, I wouldn't stay here again.	
Apr 20 2007 	very disappointing	We stayed here with a decent rate of 102/night via Hotwire. Unfortunatly the experience left a lot to be desired- even at that price. The woman who checked us in was very rude and gave us a full size bed accross from the elevator. When we requested a change the woman went from rude to horrible. The poor bellman was caught in the middle and even suggested we try to change the following night when a different person would be a the front desk. We indeed ended up switching the following day but again the front desk service was not consistent. One gentleman- rude- and the other accomadating. We also found their elevator system to be insufficient for the number of guests and found ourselves having to always wait for an elevator more than your typical wait. We enjoyed a simlar rate at the Ambassador East on a previous trip and would definitly recommend this over the Allerton.	
Apr 14 2007 	Horrible experience - will never again stay here	I stayed at the Allerton for 3 nights for a conference and had the worst experience I have ever had at a hotel. They put me on a smoking floor despite my confirmation listing a nonsmoking room. There was no shade on my window - I reported this immediately, and every day I stayed there, and yet nothing was done to cover the shade. They offered me a breakfast voucher for this and said it would be delivered to my room; however, it never showed up and I had to go to the front desk to get it. Finally, the front desk staff were extrememly rude and incompetent throughout my stay. I waited in line at one point at the front desk, and all the other guests in line were complaining about their experiences as well.	
Apr 11 2007 	I Loved this Hotel!!!!	I have to say that for a Boutique style hotel this property was awesome!!! It was centrally located, great staff, very friendly and excellent service.It's right off Michigan Avenue so i don't think you can get better than this, it is a beautiful property and we got a great rate. The rooms were big, bathroom was real nice looking and spotless clean and the bed was super comfortable.I enjoyed everyday of my stay and would definitely go back and recommend this hotel to anyone that is visiting Chicago!!!	
Mar 30 2007 	old world charm	This is definitely a hotel with a more European feel. It is older with small rooms and bathrooms. We got a great rate on this hotel through Hotwire, and were able to upgrade to a larger room. Our family simply loved this hotel. My daughters thought it reminded them of the Disney movie &quot;Tower of Terror&quot;, but in a good old fashioned way. You simply cannot beat the location and we found the staff to be friendly and gracious. The lobby and elevators can get crowded. But everyone we encountered took this in stride. This hotel is also featured in Priceline so great deals are out there and worth it!!	
