	A Quiet Retreat	Located on a quiet, residential street in the Gold Coast, the Hotel Indigo was always a pleasure to return to during our four night stay in a hectic city.The room was very peaceful with a soothing decor of wicker furniture and murals of shells. A bit small but there was a place for everything. And the room was very quiet -- no noise from the hallway or from the outside. The hotel is also a good place if you are travelling with a dog. A dog park is only one block away and Lake Michigan with its boardwalk is only four blocks away. Restaurants are close and it is also only a short walk to shopping on Michigan Avenue. If you are looking for a small hotel in a quiet area versus a large hotel more central to downtown, the Hotel Indigo should be just right. And the door man always greeted us with a smile!	
May 25 2007 	My favorite Chicago hotel!	Whimsical lobby and room design, comfortable rooms with lots of space, great location and exceptional attention to detail. If you need a funky and comfortable place to stay in Chicago I would TOTALLY suggest this property.	
May 14 2007 	Loved this hotel!	Our first trip to Chicago was great! On the recommendation of a friend, me and 3 girlfriends stayed here for a girls weekend trip of baseball and shopping and I can honestly say this place is well worth the location and the money. It's only 2 blocks from an El station and located near many fabulous restaurants. The rooms were very clean and the decorations are very unique and lively....a step up from some of your traditional hotels. The staff was very friendly and helpful in helping us get around Chicago through the use of public transportation. My only drawback was the showerhead....could've been a little bigger, but other than that....I have no complients about this hotel and strongly urge everyone to stay at the Hotel Indigo whenever they visit Chicago!	
May 3 2007	Convenient hotel to trains Rush Street	I was on a group trip last spring for a couple of days and stayed at this hotel. It was a very nice place to stay. The feel of the hotel is different from any other place I have stayed. It is brightly-colored in the lobby and in the rooms.The location can't be beat--Gold Coast area in Chicago--very close to the El and to Rush Street nightlife. The lobby has a Starbucks and a bar in the front; the bar was pretty well-filled that night, and the Starbucks was the next day. The room I stayed in was large and was well-designed. Beds were comfortable.I would stay here again, the next time I travel to Chicago.	
Apr 15 2007 	Nice Stay - Great Location for us	My wife and I stayed compliments of my Holiday Inn points the evening of Friday April 13 and Saturday April 14 2007. We stayed in room 1108. This was the 11th floor out of 14 and faced downtown Chicago to the south (very nice view). The biggest positive to us was the location. To get to the red line of the &quot;L&quot; you need to go one block south and one block west - about 5 minutes. The L train is an excellent way to get around the city. It's two stops away from the Mag mile. We were in town for a Reds vs. Cubs baseball game and the red line takes you right to the stadium. The other positive of the location is being in the Gold Coast neighborhood which is the most exclusive neighborhood in Chicago. The blocks north and to the east (towards the lake) make a nice little walk to check out some really neat, old houses (millions of dollars if you have the means). I've stayed in Chicago a number of times. While the larger chain hotels by the loop are closer to the shopping and tourist stuff, this was the first time I felt immersed as part of the city as opposed to a visitor.The room and hotel have a nautical feel. It was our first stay at the Indigo brand. I've stayed a ton of Holiday Inn's and US hotels. This did feel like the nice version of a Holiday Inn express. Everthing was nice, but it didn't have the quality feel of a Marriott or Hilton. Again, it was nice but the colors and theme just weren't our thing. Not a problem as we were there just to sleep. The drawbacks1. The friendliness level of the front desk could use some improvement. Nobody asked how my stay was which I think is a minimum for the front desk. They were also complaining to each other about people trying to check in early.2. The single window in our room did not shut completely and we could hear all of the noise from the street below. I didn't let this impact my rating becuase a) it was room specific and b) it's the city, there's going to be noise. 3. THE VALET PARKING NEXT DOOR WAS $35 A NIGHT. My two free nights cost me $70 in parking!!! I know the city is expensive and it didn't bother me too much at first. When were were strolling the neighborhood, we found a parking lot north of the hotel for $18 per 24 hours.	
Mar 22 2007 	Nice hotel tucked away in a Great Location!!!!	I stayed at the Hotel Indigo on March 16th-17th, 2007 with a friend. The hotel is in a great location close to bars, clubs, and anywhere else you may want to go downtown. Valet parking is $35, with in and out privileges. We also went to Dave and Busters which is only a couple of blocks from this hotel. Check-in was easy and I didn't have any problems there. One of the elevators was broken so had to wait a while to get upstairs. The room wasn't that big, but it was nice. It was perfect for what we needed. It was also very clean and nicely decorated. The business center on the basement level was nice, it had 2 computers and a printer. Overall, it was a good stay. I would definitely stay at Hotel Indigo again.	
Mar 18 2007	It's True I Love the Blue	We chose Indigo because we'd wanted to stay at an Indigo, knowing it's a visual delight. And then we fell in love with (nearly) everything about it. The location is really wonderful - a leafy neighborhood with several restaurants and shops, near a subway line, near a bus line, near the lake and Oak Stree Beach, and a short walk to the heart of downtown. We went with 3 kids, and none of them complained about the walk. Papa Milano's restaurant has long been our traditional stop in Chicago, and what luck - this hotel is just 4 blocks from it.Rooms are decendly spacious, I think more spacious than average. I'm very picky about noise, and we didn't have any problems. Rooms by the elevator might hear more noise. Decor is casual chic. Beds comfortable. The hotel's small size was perfect. The kids could run downstairs to the (free) Internet while we were within earshot in the cafe. We loved our weekend so much that we went back spontaneously a month later, with the kids again. Same experience - except the photo murals in the lobby had been changed to reflect the change of season!I highly recommend this place if you don't need deluxe hotel amenities like four-star dining and a pool.	
Mar 18 2007 	My New Favorite!	I was a little skeptical about the location of this hotel as it is a little off the beaten path, but this turned out to be one of the things I liked the most about it. The hotel has a very fun beachy theme. The rooms are a tad small, but for two people, perfectly fine. We had a queen bed room. Apparently the corner rooms are bigger. However, since this was a reward nights trip, I was not going to ask for more. We arrived into Chicago very early and headed to the hotel on the CTA trains from Midway. I was delighted to find that they were willing to let us check in at 11:00 AM as the room was ready. The hotel was very easy to get to using the orange and red lines. The red line which will take you anywhere in the city you would want to go was about a block and a half away from the hotel. My husband and I used the red line late into the night and I never felt unsafe walking back to the hotel. The hotel is very close to lots of restaurants and bars on Rush Street as well as not too far from the Mag. Mile. THIS WAS A GREAT LOCATION! The only bad thing would be that there was only one elevator in service and a rule that only four people could be on at a time. THis was a tad incovenient and we did use the stairs but we were on the 8th floor so it was a little hike. Also, the staff was a touch unfriendly. However, I did all of my planning beforehand so we didn't really need them for much. If you want a staff that will bend over backward for you this is probably not the best choice. Edwardo's Pizza right next store is a great cozy restaurant as well and with Walgreens right down the street you can go and pick up anything you may have forgotton. One last note on the hotel, I appreciated how clean it was. The rooms have wood laminate flooring which added to the charm of the room and did away with awful hotel carpeting which is always dirty! I would stay here again in a heartbeat and highly recommend!	
Mar 12 2007 	Cute beach theme	First let me say that before booking your stay at this hotel check to see if there is a lower price on a third party site. If there is sign up for the hotels award program and call the 800 number to let them know you found a cheaper price. Not only will they match the price but LOWER the matched price another 10%! Talk about savings and money in the bank! Now about the hotel! After seeing the pics of the rooms and hotel I had to stay there! My trip was in mid February and didn't want to stay in a stuff hotel. I wanted fun bright colors and a beach theme and that is what I got. I found the room just the right size for two people with a total of 4 pieces of luggage and the beds were soooooo comfy I didn't want to get up in the mornings. The staff was pretty nice too with some good recommendations for some good eats near the hotel. Yes as the person from Berlin commented there was a flood and I too saw a bit of the wall tore up on the 4th floor but I am not picky and understand that things happen and break. As for the cheap decor in the lobby as the person from Berlin talked about well gee it's a beach theme! DUH!!!! If you want fancy then go to the Drake or stay home. I say ignore the negative reviews cause they are just bitter people and stay at the Indigo. For the price and location it is a gem!	
Feb 14 2007 	Yet another average hotel experience in Chicago	Although the location is outstanding, there were just enough things wrong with the Hotel Indigo to keep me from rating it above average. I spent a February weekend there with a friend in a double room that we booked on Hotwire. The original room they gave us had only one bed and so we were upgraded to a larger one with a small sitting area and windows looking out onto the cityscape - a fine view of old victorians and vintage high-rises. Had we not gotten the upgrade, however, the first room would have been impossibly small even with two beds. The bathroom in the new room- in particular the toilet 'area' - was still very small. The ceilings in the room hovered just above our heads and the door let in all assortment of sounds from the hallway. There was also a lot of flood damage from burst pipes (wall sections removed) and the smell of mold in a few of the common areas. My friend complainded about the lack of television options (only about ten channels) and our remote control was broken and had to be replaced. Only one person was at the desk downstairs, although she was at least friendly.The 'design' of the hotel is more of a make-over with too many bright colors and cheap furniture in the lobby (wooden 20$ deck chairs with bright paint and cushions). The hotel's saving graces are an excellent location on the Near North Side close to entertainment and shops and interesting views from the rooms.Once again I feel obligated to talk about the great fluctuations in prices of downtown Chicago hotels. This hotel was reasonably priced (under 100$/tax incl.) on Hotwire for the time we were there (with the upgrade), and the rack rate was too high, but nothing compared to the price when Chicago hosts one of its many large trade shows. The prices are more than doubled and sometime tripled at such times. Beware of this when planning a trip to the Windy City. If you have options as to when you travel, check the hotel prices and city event schedules before booking your flight.	
Jan 21 2007 	A special hotel with staff that make it special	The staff at hotel Indigo went out of their way to offer us great service: they were unfailingly friendly and helpful, gave us a tremendous upgrade, a free glass of wine, small presents before our departure, etc. The concierge was extremely knowledgeable, candid and able to offer many suggestions for 'off the beaten track' things to do. All of this for a reasonable price, and at a good location.The interior of the hotel is also special: warm, bold colors, which give you a sense of being in the Provence in France.I highly recommend this hotel!	
Dec 22 2006 	wonderful location	location, location, location - within walking distance of Michigan Avenue, the Lake, etc. Rooms vary in size from tiny to very comfortable for similar rates. Kitchy room decorations are fun and work. Would certainly stay here for our next visit.	
Dec 18 2006 	Disappointing week-end stay	Very small bathrooms and room size. You could hear phone conversations taking place in adjoining rooms along with their television. Our room was right across from elevator and it was noisy each time guests exited elevator. Front Desk only had one employee during each visit we made and delays were lengthy. Concierge was excellent in help with obtaining show tickets and planning. Front desk could not break a $100 dollar bill down for change. For the price &amp; service, I would not recommend.	
Dec 16 2006 	Fantastic Hotel Fantastic Location	We stayed for 2 nights at this super fantastic hotel. It is a small hotel tucked among gorgeous townhouses in a residential area but very close to great shops and restaurants. Our room was on the 14th floor with a view of the lake Michigan through some taller nearby buildings. With 2 queen beds and a small sitting area, the room was nicely sized. The color scheme was bright and cheerful. The staff was helpful and friendly. This will definitely be our choice for lodging whenever we visit Chicago!	
Dec 12 2006 	The Gorgeous Indigo	what a lovely hotel. stayed here with my boyfriend for 5 nights in december. the room was gorgeous, on the 14th floor (which was really the 13th but they call it the 14th, must be superstition)We had a wonderful view over the city. the room wasnt huge by any account but it was perfect for us. bedding was fresh and looked new, however the bed wasnt very big. bathroom was lovely with a new suite and everything was spotless. clean as a pin. aveda shampoo/conditioner and body lotion was supplied and lovely white towels. hairdryer was powerful enough and there was a nice coffee maker and free paper every morning outside our door.the only thing i can fault the room on was the temperature, it was chilly. however, there is a heater you can blast. so everytime we came back we had to put the heater on to warm the room up. (however, it must be said that it was positively freezing outside)also, one thing that really annoyed me was the phone charges from the room. i called ireland for 5 minutes (1 min to a mobile and 4 to a landline) and it cost $40!!!! couldnt believe it!the room was $169 per night (before tax) and the location was good, on a pretty, safe residential street (gorgeous with all the christmas decorations and lights) and about a ten min walk into the middle of the magnificent mile. station nearby too if you need to go to the loop. we walked everywhere though. also, would highly recommend going to see the chicago bulls play. we got the $55 seats and they were great, the atmosphere was amazing and we had great crack. shopping was subject to a 9% sales tax so we saved our money for our onward trip to new york. however, the water tower plaza and filenes did part us with some cash!!!would try somewhere new if we went back (for the fun of it) but would HIGHLY recommend this hotel to anyone. it is fresh, vibrant and very confortable.also, would like to say that we found the people of chicago sooo helpful, whenever we looked lost we were approached by a friendly chicagoan who helped us on our way.	
Oct 31 2006 	Didn't want to leave!!!!!!!	I loved the Indigo so much that I didn't want to leave. I have never had that experience. Due to a convention, I was only able to stay for three of my 6 nights with the Indigo. It has a spa like atmosphere in a next- to-the-beach kind of way. It is different from other hotels in that is it not cookie cutter. I had a room (602) with two double beds looking towards a bank of four windows with a great view of the city in that neighborhood (which is a good one by the way). It is true that there is little room to move around with the beds there, but they are very soft and the bedding is nice. There was no tub in my room, just a shower. The sink is outside of the shower/toliet area with a nice granite top. Free wifi, free printing (you pick it up at the desk or thay can bring it up to you). There is a desk area, a sitting area, and a &quot;closet&quot; area (when you first walk in). It was a very quiet room despite its proximity to the elevator and had electronic temp control. It was very clean and had Pergo like floors. They had special Indigo relaxation music in the &quot;dream machine,&quot; and, when I asked if I was allowed to take it, the front desk woman said it was $10.00. I came back to my room later that day to check out, and she had wrapped a complimentary copy for me and left it with a note in my room. The staff were always friendly and helpful. Parking was 35.00 for 24 hours, valet-with in and out. I was only blocks from my destination, but if you wanted to go downtown it is a short cab ride or bus to the major sites. There are supermarkets and drug stores nearby and lots of nice resturants (mostly nice chains). Its the city, so there are a lot of resources in a small area. There is a small bar/lounge in the very front of the hotel. There may have been some kind of deli or something in the back, but I never bothered to go back there to investigate.	
Oct 23 2006	Would stay again	This hotel is as unique and chic as others have mentioned. We were there on a sold out weekend and you never would have known it. The place still felt small and intimate despite the capacity crowd.We didn't eat at the hotel, preferring to walk up the block to the 3rd Coast Café for late-night snacks and breakfasts. The bar was always hopping and we enjoyed a cocktail there one evening. The neighborhood is wonderfully serene with some amazing old Chicago architectural treasures. It's also incredibly convenient to the El and within walking distance to restaurants and some of the Chicago attractions.Our room was small by U.S. standards, but large if you compare it to hotel rooms in Europe. Bed was very comfy. They've solved the problem of door slamming that an earlier reviewer posted. The doors now are on hydraulic hinges that prevent the slamming. We had a room just down from the elevator and never heard any noise from the hall. Why not five stars? We did hear noise through the connecting door to the next room. So, if you are sensitive to noise you may want to check and see if the room you're assigned is a connecting room. The &quot;view&quot; from our room was of an interior shaft that contained the fire exit stairs. This was okay as we didn't spend much time in the room viewing, but we did feel a little silly when we had to call the front desk to ask if it was raining so we could dress appropriately.	
Oct 14 2006 	Fun Comfortable and Convenient	This is a trendy, out-of-the ordinary hotel, decorated with bright colors and nice touches. The lobby is quite a showstopper with huge chairs decorated with large pillows. The room I had was on the 12th floor -- it was small but very comfortable. The large bed was spectacularly comfy, with a wonderful poofy comforter and plenty of good quality pillows. The hotel has free WiFi, and it worked very well. The coffee machine was one of the new Melita Pod types, and it produced a fine cup fairly easily. The bathroom was very nice with Aveda toiletries and plenty of good towels. In the renovation, the hotel replaced the bathtub with an extra large tiled shower equipped with a teak bench -- by far the nicest shower I've had in a hotel. So, why not five stars?? First, when I arrived my room was not ready yet. I was there at about 5pm and apparently they were counting on me not showing up until 6ish. I was able to sit and use the WiFi in the lobby, so my time wasn't spent unpleasantly, it just would have been better if my room was ready. Second, in trying to aim the shower head where the water needed to go, the holder broke. The desk told me that this was a problem and the manufacturer had given them replacements; unfortunately it slightly marred an otherwise fabulous shower experience.	
Oct 6 2006 	Unique hotel experience	We (wife and 2 kids) stayed at the Hotel Indigo for 3 nights in September, 2006. We were in town for a wedding and this hotel was recommended to us for its location. We found the hotel to be very nice and appreciated its unique qualities. The hardwood floors and bright colors were a great change of pace from anything Holiday Inn has ever done.Most roomd are VERY small. We noticed that our room with 2 queen beds was almost double the size of the other rooms our family had with 1 king-bed. We did not experience the slow elevators or noise that some other reviewers mentioned.This IS a boutique hotel which has narrow hallways and smaller rooms, but it also delivers a unique experience that was a nice change from the average &quot;big&quot; hotel. The location is not too far off Michigan Ave and you are close to Rush St. and State Street. We relied on taxis and never had a problem finding one. The walgreens right on the corner was a great benefit to stock-up on snacks and drinks for the kids and we preferred the cafe nextdoor to the on-site coffee shop for breakfast.	
Sep 17 2006 	great hotel	The hotel indigo is situated in a wonderful neighborhood north of downtown. The tree-lined streets and relaxing feel of the area add to the charm. The room was very clean, nicely decorated with hardwood floors and bright colors throughout. The beds were comfy, the air conditioning was very good, and the rooms were well lit. My only complaints would have to do with the size of the room...rather smalll for the 2 queen beds, and the storage space was lacking...barely enough room for two peoples things, but not for suitcases that had to be stacked in the room. One other difficulty was the lack of cabs in the area. One rainy day we waited 70 minutes for pickup. Other days we took a short walk to the Ambassador East to pick up a ride.The staff is great, the bar downstairs is fun and overall is was a great experience. Quite a contrast from our last trip to chicago when we stayed in the icky congress plaza.Great tip...Mario's Italian Restaurant across the street is EXCELLENT. Give it a try or two while staying at the Indigo.	
Sep 10 2006	Excellent hotel	What a great hotel! One of the best I have ever stayed inThe hotel gets off to the right start with the lovely armoatherapy smell in the reception that seems to radiate all through the hotel. I'd love to know what it was as it was really nice.The recpetionists were very nice and very helpful.The rooms are something else and remind you so much like you are staying in a beach house/hut. The floors are not in the bulk standard carpets but in wooden laminate flooring which was so different but you had to be a bit cautious when going around in socks or when coming out of the shower.Lovely decor too and the furniture resembles something being whitewashed.There is a separate wash area from the shower/toilet which made getting ready more convenient.Our room had two beds, a wardrobe/set of drawers, a round table with two chairs, comfy soft chair with matching footstool, night stand shared between the beds and another bench type seat which also doubled as a handy place to put your bags.Beware though that the beds are a bit higher than normal so great if you are a tall person. The only negative thing I have to say about the room was that there was no curtains in the room we had and while it made for looking at a spectacular sunrise at 5.15am I would rather have been sleeping!Hotel is about a 5 minute walk form the nearest subway station (Clark/Division) and the #36 bus passes by the bottom of the street too which will take you near to/from the Magnificent Mile. The road was a bit dark when walking back from the subway station at night though.There is a great Wallgreens at the bottom of the road too and a few doors down from the hotel is a great Pizza restaurant.Well worth a stay if you are going to Chicago.	
Sep 6 2006 	Great place to stay in Chicagp	We have just returned from a 3 night stay at the Hotel Indigo. We were there in order to attend a wedding, and this was one of the 2 hotels that provided rooms at a discounted price to the wedding guests. What a terrific choice! Our room was large and tastefully decorated in bright colors. Indigo and orange and green, I know it sounds bizarre, but it all flowed together quite nicely. The staff at the desk were friendly and tried hard to please. The location is excellent and there are many local restaurants and a lively night-life scene. We paid $149 per night, and I considered that to be a bargain price for such a nice hotel.	
Aug 30 2006 	Hotel Indigo Rocks!	My husband and I booked a room at Hotel Indigo for a quick stopover in Chicago. What a fantastic hotel! The location is great - it's close to the Red Line (5 minute walk) so it's very possible to take the El from either airport. If you're looking to explore the area around the hotel, walking in one direction from the hotel entrance puts you in the middle of the city - walk the other direction and you are in a great neighborhood (think: diverse architecture, people walking dogs, the whole bit...). The lobby was nice - a lot of people were having cocktails in the bar area. The rooms are pretty small, but well decorated and bright (makes it feel a bit larger). We didn't eat at the hotel (except coffee in the AM), but had a great breakfast at the 3rd Coast Cafe and Wine Bar, a 30 second walk from the hotel (try the stuffed french toast). We will definitely stay at the Indigo the next time we are in town.	
Aug 17 2006 	Hotel Indigo or bust!	As a young female traveler, I loved Hotel Indigo. I felt like I was walking into a spa when I first walked in....it looks awesome, almost like a quaint Florida/Carribean hotel and smells great too. The rooms were pretty big and I loved the decorations and hardwood floors. I also used the fitness room when I was there and that was great as well.The hotel is close to Rush Street, where there are tons of bars and restaurants. It is also close to the Clark/Division red line stop so you're minutes away from everything. I also loved the fact that there's a Walgreens a couple steps from the hotel, so you could buy things you forgot to pack at a reasonable price.I loved the location because you're a little removed from Michigan Avenue and have a more neighborhood feel. My favorite part of visiting Chicago is checking out all the indendent and unique stores and restaurants, not necessarily the ones on Michigan Avenue, so I am a little biased : ) But I showed a couple of my &quot;Chicagoan&quot; friends my hotel room and they could not stop ooohing and aaahing over it. I'm a Priority Club member so I frequent Holiday Inn hotels, and I must say this one is my favorite!	
Aug 15 2006 	We love Hotel Indigo	We recently stayed at Hotel Indigo and it was WONDERFUL!Although we arrived early before check-in, the staff graciously stowed our bags and within minutes, our room was ready. We stayed on the 14th floor where it was quiet and serene. The room was decorated adorably with beautiful hardwood floors and retro style and colors (bright white painted wood with lavender, navy, and apple greens) all very clean and welcoming. In the mornings, the Starbucks within the hotel provided a nice selection of coffee, juice, bagels, and muffins. They even had a complete breakfast offered. The hotel is in a fabulous location within easy walking distance to shopping and sights of Chicago. Hotel Indigo is a small, boutique property perfect for those who are tired of the impersonal, stuffiness of the mega hotels with giant lobbies and mazes of floors. From now on we will always stay here when we are in Chicago	
Jul 31 2006	Goldgoast-Yuck	Not for anyone who is scared of very small hot elevators. Average wait time for a ride in the only elevator at leat 5 minutes. No towles upon arrival, bugs in the bed !!! Yes, bugs in the bed, Air conditioner not working the best. Great location by Lincoln Park though. Front desk clerks very rude. Oh, did I mention the bathroom, very old &amp; nasty. I am by no means used to staying in plush surroundings, just clean. Would not recommend a stay there, but very economical &amp; clerk ended up knocking of 35.00 for the bugs!!! Should have been freee if you ask me. Best Wishes	
Jul 18 2006	Excellent place for a stay in Chicago!!!	Very good hotel in a nice location in Chicago. Nice bars and restaurants in walking distance. 10 walking minutes to water tower place. Rooms are small but very nice and new furnished with cool colours. Would definetly stay here again!!!	
Jul 13 2006	Book this one early	We stayed at the Hotel Indigo as a result of its ranking on this Web site. Now, my wife would rather change the dates of our Chicago visits -- we have a son who lives in Chicago -- than change hotels. Most importantly, everyone associated with this hotel was nice, helpful and courteous. In today's world, that is an exception, not the rule.	
Jul 12 2006	GREAT LOCATION HOTEL	Our family of four (two adults, two younger girl teens) stayed here in a larger room and loved it. We had two Queen beds, a sitting chair, work table and, most importantly, LOTs of mirrors. We could all get ready at the same time. Very comfy beds. Loved the bright, fresh color scheme. The hotel Location gets five stars. We've stayed downtown, the Loop, etc.,but this is the nicest neighborhood. Beautiful walking to the restaurants and zoo in Old Town. Can't stress enough the lovely atmosphere.We stayed on the 8th floor in a corner room which was fairly quiet. My only complaint is about the slamming doors from other guests coming in and out. That woke me several times. The staff was very helpful and gave good directions. Parking in the adjacent lot was $36/night.For the price for four of us ($159/night) it was a bargain, and we will stay there again.BEst Feature: Wireless internet Wish we'd had: less expensive Breakfast.Not luxury hotel, but close in a fabulous neighborhood.	
Jul 12 2006	Hotel Indigo is great!	Great value for the price. We stayed three nights early in July in this charming boutique property. Unique but comfortable rooms with great beds. Very clean rooms. Just a couple of short blocks to the red line to take you anywhere in the city. Located on a tree lined street in beautiful neighborhood with conveniences, restaurants etc. at your fingertips. Would definitely stay here again. Convenient to everything in Chicago but away from the throngs of people on Michigan Avenue.	
Jul 12 2006	Great Hotel and Neighborhood	Stayed with a friend for a fun Chicago trip. Comfy bright rooms and the lobby smells fantastic. Lots of restaurants and bars within close walking distance. Lots of other city attractions a longer walking distance or short cab ride. Neighborhood felt very safe, and much less traffic/siren noises than other hotels located near Michigan Ave. The front desk staff was very helpful with directions and suggestions for tours and spas in the area. Overall, we felt very welcome and the staff helped us have a great trip!	
Jun 29 2006 	No Blues at Indigo!	I travel to Chicago often and always stay just off of Michigan. In March of this year I learned I would be in Chicago from June 17-23, attending very large trade show/conference at McCormick Place. By this point, the City of Chicago was almost &quot;sold out&quot;. Thanks to Trip Advisor, I stumbled upon Hotel Indigo Gold Coast. Not your typical hotel...the words funky, fun, relaxing and calm come to mind. Great new concept!The previous reviews were great, and I've now experieced it first hand. The hotel is clean (A/C unlike other older Chicago hotels) , in a great location (esp. for singles) with many wonderful restaurants &amp; superior nightlife just a couple of blocks away! Staff is exceptional and though the rooms are small, they offer EVERY amenity you could ask for (Aveda products, CD player etc.). My room had only a shower but with such a great location, I wasn't in the room that much to even miss a tub. A Jewel grocery store and Walgreens were a 5 minute walk away. The 2nd floor of Indigo offer guests a mini-spa and workout room...manicures and pedicures were reasonably priced...though &quot;hair&quot; wasn't an option. Comp. internet/business centre on the lower level was very handy and well used. Approx. $12 taxi fare to McCormick Place. Less than 15 minute walk to WaterTower Place.I'm already looking forward to my Sept. '06 stay at this wonderful property...I highly recommend it!	
Jun 20 2006	Great hotel in every way	This hotel couldn't have been better. It's very unique in color and design, and although I don't really care about that, my girlfriend loved it. But the staff couldn't have been more helpful. And the location is absolutely ideal for exploring the city. Lots of good restaurants and bars nearby. The pizza next door at Eduardo's is really really good. The beds are really comfortable, too, which is my main criteria in judging a hotel. So yeah, stay here.	
Jun 15 2006	second time just as great	This was our second stay at Indigo (the first time this past winter) and it was even better than the first. The suites weren't available this time but the staff was sensitive to our request for that kind of room and put us in an &quot;over sized&quot; queen room. Wonderful! I love the hardwood floors at Indigo. The &quot;funky&quot;--used in the best possible way--atmosphere is wonderful, too. Everyone is friendly--and you get the sense they mean it too.Indigo is close to Michigan Ave and lots of restaurants and bars of course. And we had no trouble getting cabs (or there's parking immediately next door).I can't say enough nice things about Angela and Rhonda (at the front desk) or Scott (the manager)..it's nice to be pampered and they all went to the next level of pampering.Thanks and we'll be back!	
May 31 2006	Great hotel 	Indigo is beautiful and has a nice little restaurant. The location is great for an easy and safe walk to restaurants and Michigan Ave. It is close to an El station. The staff is very friendly and helpful. We enjoyed our stay here.	
May 18 2006	Romantic Honeymoon	We loved the hotel and the location. All the prior positive reviews are accurate. The rooms are cleverly decorated and very nice. Huge king bed was the most comfortable I've ever experienced. Hotel staff was friendly, although the front desk workers were a bit brisk, but this was a pretty busy week due to conventions. The hotel was completely booked during our stay (as we found out when we tried to add one more night!) Can't beat the location to enjoy restaurants and shopping. Check out Wells Street (west of the hotel) as well as the usual Gold Coast shopping, both within walking distance. Even with several rainy days we had a wonderful, romantic honeymoon, and loved staying at this hotel!	
May 15 2006 	Loved this hotel!	THis hotel was great! I loved the location. The staff were really helpful. The decor was really girly and modern. My only complaint, which is nearly universal, was how loud the doors were when they slammed. I had a tour group on my floor and they left early one morning. Everybody let their door slam and it was a terrible racket. I was also near the elevator and could hear that.	
Apr 17 2006	A Wonderful Place!	We just stayed at the Hotel Indigo last weekend. We were so impressed with the terrific interior decorating. It was light and fun and colorful! Much different from the traditional hotels in the area. And the price was excellent ($98/queen room). The staff was exceptionally nice. I would definitely stay here again next time I am in the city of Chicago.	
Apr 10 2006 	Great Place	Great place. Small rooms - but very nice. Great bed! Great location. Lots of fun pubs within walking distance. I always felt safe no matter the time of day or night. The staff was friendly and helpful.	
Apr 5 2006	Great design! Not like your parent's hotel.	Got bumped to the Hotel Indigo when our downtown Chicago hotel overbooked on March 11, 2006, the day of the St. Patrick's Day Parade! What a delightful discovery! From the nontraditional lobby (bamboo floors and no roped off lines!) to the room, which had the same bamboo floors, bright blue and white bedding, blue phones and a green Melitta drip coffee pot. The king size bed was a bit large in the smallish room but I think it's because I asked for a room that allowed smoking, and I don't think they have many of these, but check with the hotel! First rate service, a very comfy bed, great staff, great location. So unlike chain hotels. Love the design of the entire hotel!	
Dec 17 2005	Fabulous staff go a step beyond	Upon Arrival, ~11:30am on a Thurs., we happily checked into our room, with 2 queen beds. There is a funky, Nantucket-inspired decor, with bright colors of blue, orange and lime. We found the room and bathroom to be spotlessly clean, and Aveda bath products are provided.With the incipient blizzard, we (and the hotel, only open since May) discovered that the wood floors were a slippery disadvantage in the winter. We resorted to taking our snow/ice-laden shoes off in the carpeted hallway outside our room, and dumping the shoes onto newspapers to dry.We found all the hotel staff to be extremely personable and helpful. If you want to know about the extensive live music scene, ask staff member Angelo and get a free &quot;Reader&quot; paper labeled as &quot;R,&quot; published weekly on Thurs., from the Blockbuster or other nearby stores/restaurants.For breakfast and (very) late-night bites, the wine bar/cafe next door, &quot;3rd Coast,&quot; is open from 7am to 2am. Don't miss the thick-sliced bacon.One strange note- shower water temperature was erratic, barely hot enough one morning, but almost impossible to titrate down to tolerable another day!	
Dec 6 2005	What a great find	What a pleasant suprise for my husband, myself and another couple. Found 2 rooms last minute and was not disappointed in the least at any aspect of our stay. The rooms were delightful!! They were such a nice change from the sterile, earth tone colored average hotel rooms. The hard wood floors in the rooms were a blessing....(who hasn't seen the 20/20 reports about hotel room floors)? I believe that someone really thought out the plans for this property. I pay incredible attention to detail and must say that the hotel passed in every way (great bed, awesome shower, clean, friendly, professional). Used concierge to book comedy club tickets and they did so within 5 minutes. My daughter lives in the city and said she'll not hesitate to suggest this hotel to any out of town guests. She's the only one person I know that is just as picky as I am. Thanks Hotel Indigo...we'll be back.	
Dec 1 2005	Loved the Indigo	I stayed at the Indigo during a wedding. I had an amazing time. The people who work at the front desk are sooo nice and helpful. A bellman named Angelo is the nicest person you could ever meet. He helped us get to places and even made phone calls for us. The location is perfect. The rooms are very cute and the bed is fantastic. Thanks Indigo for a wonderful stay!!!	
Nov 6 2005	princess for 2 days	My daughter and I spent one night and two days at the Hotel Indigo celebrating her 6th birthday. The staff couldn't have been more wonderful. Everyone seemed to know it was her birthday and went out of their ways to make her feel special. I had great communications from Cara, who helped arranged a cookie bouquet and even added some surprise balloons in the room when we arrived. We used the spa services and had manicures and pedicures which were outstanding. The spa staff made us feel just like family members. The room was perfect and my olfactory sensitive daughter exclaimed when we walked into the room for the first time &quot;hey it smells great in here&quot;!!! We had a fireplace room which was definitely an added comfort on a rainy Chicago morning. We will definitely be back, maybe we'll bring little sister next time. Look out hotel Indigo, you might have two princesses to pamper!!	
