	GOOD PLACE	It is a very comfortable hotel to enjoy your trips in a very good location	
Jul 29 2007 	Noisy room	This hotel was in a great location but staff were very impersonal .While we were checking in the clerk kept answering the phone.The room was fairly spacious but the A/C was very noisy. We turned it off to discover we could hear other rooms aircon. All we wanted was a quiet room. I would not stay at this hotel again.	
Jul 17 2007 	Girls Weekend at the Hilton	I stayed at the Hilton Garden Inn the weekend of July 15th. As other reviewers have noted, this hotel is in a great location. It seemed we were able to walk everywhere.As Hilton Honors members, we received free breakfast buffet coupons at the Weber Grill (connected to the hotel). Good buffet - nothing fancy - but a great way to start the day with made to order omelettes, pancakes, potatoes, french toast, bacon, sausage, pastries, etc.The hotel is definitely understaffed. There always seemed to be a line at the front desk regardless of the time of day. I needed to call on three separate occasions for a wake up call and was put on hold for over 5 minutes each time.The rooms are nothing fancy and seemed a bit small, but were clean and had comfortable beds.I have stayed at this hotel before and would stay again.	
Jun 28 2007 	Big Hotel well positioned small rooms	In Chicago for a conference. Stayed at the Hilton for its location which was great. Good facilities, good health suite/indoor pool. Food and service very good. Rooms clean, well maintained although rather small.	
Jun 18 2007	Great for Young Teenagers	Stayed at the Hilton Garden Inn downtown in mid-May with a group of 17 (8th grade trip of 10 students + 7 parents). We had a great time! The location can't be beat, as it was easy walking distance to many restaurants, Navy Pier, Michigan Avenue, etc. We used plenty of public transportation (trolley, city bus, subway, &quot;el&quot;) which were very easy to access. The staff was extremely helpful with transportation questions. The kids loved the small pool (which is to be expected in downtown Chicago). We purchased breakfast foods/snacks at the Jewel Osco across the street and stocked the in-room refrigerators. Rooms were just the right size, and the elevators were quick.Would stay here again in a heartbeat!	
May 29 2007 	Great location and clean rooms	I recently stayed in this Hotel again, I again got a clean room that was not that noisy, because it was on the 20th floor. The bed was great to sleep in and they had free high spped internet.Thx to my HH status, I got invited to breakfast - which was served at the hotel restaurant, called Weber Grill. It was a good buffet with great bacon and lovely pancakes.The location of the hotel can not be beaten: it is a 3 minute walk from North Michigan Ave, right next to a CTA subway station and close to many bars and pubs.It is not a luxery hotel, but great for what you pay for!	
May 28 2007 	Enjoyed the Hilton Garden Inn	I stayed in Late April Early May for a Seminar and this hotel was just fine. The room was sufficient and was less money then the Seminar sponsored hotels and it is only three blocks from Michigan Avenue and all the action. There is a subway/metro entrance directly in front of the property if you need public transport, but not to be confused with EL or the Elevated Train, which could be loud in the evening. Great Stay and Drama Free..	
May 8 2007 	What you need to know	Getting to this hotel from O'Hare by public transport is very easy but may not be ideal if you have a lot of luggage or a few kids. Hop on the blue line, switch at Jackson to the red line, get off at Grand and the hotel is at the top of the stairs, cost $2!! The journey takes about an hour. The red line also takes you to Wicked, get off at Randolph and Washington. We always found a queue at reception, the staff continuously stopped dealing with customers to answer the phone, maybe a telephonist would solve the Q problem. The room was a little gloomy but clean, the air con was one of those huge old boxes and was very very loud, nothing subtle about it at all. The traffic noise was considerable but in a downtown hotel that is to be expected. However this faded into insignifcance when compared with the constant mysterious droaning noise, the sort of noise that hurts your whole body and not just your ears. We hoped it would go but it didn't, we tracked it down to pipes lurking behind a door on the opposite side of the corridor, I asked for a different room. The hotel was fully booked and it would be midnight before the staff knew of cancellations, the receptionist promised to call before she went off duty to let us know if we could move, she didn't call, she promised to get us earplugs, they didn't arrive, she promised to leave a message for the next shift, someone was to call us at 7.30am, she didn't appear to leave the message and they didn't call. Finally after explaing the whole story again the following morning we were moved, a lower room, worse traffic noise but that was ok.............until the dripping started. I awoke in the early hours to hear water dripping onto the ceiling above the bed, it was very annoying, I left a note and a generous tip for housekeeping and asked that they report this problem. I returned from my day out to find it had not been resolved, the guy on reception said he would deal with it immediatley, I returned after Wicked went to bed and woke in the early hours with drip drip drip....So 3 sleepless nights in the Hilton Garden Inn.On the plus side, breakfast in the Weber Grill was good, very attentive staff and eggs, pancakes and omlettes made to order. Cosmopolitans at the bar were great.Out and about, exit front door and turn right, walk along a few blocks and you will come across a good Irish Bar, Fado. On this same street you will find a Rain Forest Cafe, a Hard Rock Cafe and the anniversary McDonalds, the poshest Mickey D's you will ever see and the only one I have ever been in where the food in real life is as good as the photographs. You will also find a stop for the Hop On Hop Off tour which was very good value but it's the luck of the draw when it comes to guides. We had Baron &quot;the sexiest tour guide on the planet even if he did say so himself&quot; he was interesting and funny, the next guy wasn't so hot. Good stops are the Navy Pier, a little quiet during our visit, the art museum which had more Monets than you could shake a stick at, the aquarium, fab penguins and of course Sears Tower, well organised and no real queues.We saw Wicked which was good but not great, Elphaba has a tremendous voice but lacked a bit of stage presence, Glinda saved the show. I should add that we watched Mary Poppins on Broadway the previous week, it was totally fabulous and perhaps this jaded our view of Wicked just a little bit. As noted in the prvious reviews, the Mag Mile and Nordstroms are a few steps away. Chicago is a beautiful city, for folk in Ireland, Aer Lingus do direct flights from Dublin, pop over for a few days, you won't regret it.Would I stay here again? Yes, if they could guarantee a good nights sleep. The location is superb and its good value for money	
May 8 2007 	Great Location Decent Property	The best feature of this property is the location. It is only a few blocks off Michigan Avenue in the heart of the Magnificent Mile. A rail rapid transit station entrance (Grand Street Station on the Red Line subway) is right outside the door, which is convenient, especially if you are going to a baseball game as this line serves both U.S. Cellular Field (White Sox) and Wrigley Field (Cubs). The property itself is fine, but nothing special. It is a standard Hilton Garden Inn, which microwaves and refrigerators in each room. The rooms are smaller than the usual Hilton Garden Inn and also not as well furnished as most Hilton Garden Inns, but are very clean, if not quite spotless. Includes a fairly nice business center and small fitness room, with a small, but nice pool. As a bonus, hotel guests have complimentary access to a large, full service gym one block away. Instead of the usual, non-descript restaurant that is normally included in Hilton Garden Inns, the Weber Grill restaurant is on the first floor. The food here is extremely good and it includes a lively bar. Breakfast includes a reasonably priced buffet with numerous choices including outstanding bacon and pancakes. The only complaint is that the hotel feels crowded, as if the designers never thought it would sell out. The lobby is small and there are not really enough elevators to properly handle a full house, which is what I encountered the weekend I was there. Most significantly, the front desk was inadequately staffed, resulting in long lines. The staff themselves were very helpful and efficient; there simply were not enough of them to handle the volume of guests. Of course, Hilton Garden Inn is not a full service hotel brand, so a portion of this problem may be attributed to that fact. BOTTOM LINE: A good choice if it is price competitive.	
Apr 25 2007 	Perfect Location	I was in town for the Paddy's day celebrations and the hotel is great for visiting the countless pubs &amp; clubs of this great city. Staff were very friendly and helpful. The rooms were really nice and the Weber grill downstairs is great for food at any time of the day. All in all very good value for money !	
Apr 17 2007 	Great location!	I recently stayed at the Hilton Garden Inn Downtown Chicago. This was my second stay there and I will continue to go back. The location can't be beat. The Red Line Grand el station sits on the property. It is one block from Michigan Ave located on the backside of Nordstroms. There are endless bars and restaurants surrounding the hotel. The Weber Grill bar is a great place to grab a drink and appetizer. Also, if you want a terrific breakfast, go to Snickers on the corner just a block north of restaurant/brewery across the street. Great little place....not fancy, great hashbrowns and eggs for a low price.	
Apr 15 2007	Great location	We stayed at the HGI on 4/6 and 4/7. It is very conveniently located to bus, train and trolley. The buses run one block over on Michigan Ave.There is a grocery store across the street. where you can buy a bus/train pass for $5.00 for 1 day. The hotel was very nice, clean. The beds were comfortable. The room had a microwave, mini fridge and internet connection. I called the hotel to make reservations because we wanted adjoining rooms. I didn't see any place on their website to make that request when booking two rooms. They said that they couldn't guarantee adjoining rooms. I called the morning of 4/6 and asked if they would be available. We were able to get two adjoining rooms with king size beds. We were happy! It helps to be flexible. I would recommend this hotel to everyone.	
Apr 13 2007 	Fine but not the best	Have stayed here on several occasions before, and I have to say that this time round I was a little disappointed - nothing particular, but on previous stays I'd been put in rooms on the higher floors of the hotel and I remember them as more spacious and comfortable than the room I was given this time, on the 16th floor. Terrible soundproofing (which wasn't a problem last time I stayed) meant that I could hear everything from both rooms next door - the TV, people in the bathroom, etc etc. Also the room was a bit more 'tired' and less spacious than I remember. However couldn't complain too much - the price was good, it was perfectly clean and staff are helpful and friendly - it's efficient and in a great location. I just think that there might be better deals out there if you look around - however would be happy to stay here again.	
Mar 29 2007 	Buyer Beware	On March 27th, I booked a 3 night stay in May at this property for$180.00 per night. I quickly realized that I had made a mistakeand the next day tried to add an additional day. On the internetat Hiltons website they allowed me to add an additional dayat $229.00 for each day of my stay. Most hotel companies willsay &quot;we're delighted that you've decided to stay an extra day with us,Hilton says &quot;this is our opportunity to rape you&quot;. I was upset enough that I canceled the entire reservation. Today, March 29thwe called this lovely property and were politely told there wasnothing they could do for us. Mind you, we have been HiltonHonor members since Julyt 1995.. I would be willing to take betson how many times you think I will stay at a Hilton property forthe rest of my life. There are too many hotel companies that really do care about their customers.	
Mar 27 2007 	great!	great hotel in the heart of the city, close to everything. excellent amenities (pool, jacuzzi, computer use etc) and good service. only drawback: the room decor is too 'flowery' (although beds are comfortable and bathroom well equipped).	
Mar 24 2007 	very nice	We had two rooms for our family of six and while they were not connecting, we had no issues. The beds were comfortable and the hotel was quite. The location was great with tons of things within walking distance. We'd stay here again in a heartbeat.	
Mar 16 2007 	NIce clean Hotel- great Location	Stayed at the Hilton Garden Inn March 13-16, 2007. The hotel is in a great location, with Nordstroms 1 block over and Michigan Ave. 2 blocks. The Navy Pier is straight down Grand Ave. and a nice walk if the weather is nice- probably about 10 blocks. We got up and ran along Lake Michigan one morning. We were on the 21st floor at the Hotel. It was very quiet from street noise, however the doors slamming automatically in the halls are loud and annoying. The room has a small microwave, fridge, and are large. The beds are comfortable and firm. NOt the best I have slept on, but adequate. We used the small fitness room which had 2 really good ellipticals, and 3 lower quality treadmills. I also used the business center, which is free to surf the web and print out my airline boarding passes. We got a buy 2 nights get third night free special, which made the hotel very reasonable. The red line sub way is right outside the door and you can get to Lincoln Park area and Shopping on State very easy. A great seafood restaurant- Shaw's is down a block. Highly recommended! Buy your discount theater tickets on[----].overall, I would stay there again. The rooms were very clean and the staff was great! Did not eat at the Wevber Grill.	
Mar 12 2007 	Good Hotel	I stayed at HGI on 3/9 &amp; 3/10. Booked through Travelzoo for a great rate of $89.00 per night. It was very busy with basketball playoffs...not why I was there...so was glad I had booked far in advance. Great location, just a couple of blocks off Michigan Ave. Nice rooms, bathrooms etc. Would definately stay there again. Weber Grill restaurant that is attached is very nice. Try the artichoke dip appetizer and you will be very happy. Steaks are great too! Self park and get validated at the front deak when leaving saves you some money.	
Mar 6 2007 	Great location	This hotel has a great location as others have stated. We used public transportation- the red line was at the door, and the bus a short walk away. We received a corner room xx32 on a high floor. We had two windows and a great view. The fitness room is nice, the pool is tiny- but I had it to myself at 6:30 am.	
Feb 27 2007 	Worked for us	My husband and I booked this last minute and went with the HGI based on price and location. It couldn't have been better for us. There is a red line stop just outside the front door, so it was very convienent to everything from the loop to the water tower and beyond.My only complaint was that they wanted $2 for a granola bar in the gift shop. Insanity. There is a Jewel/Osco grocery around the corner and a Trader Joes nearby, so I stocked up the fridge in our room with juice and snacks (I'm pregnant and must eat constantly).I know there is a pool and workout room but we didn't use it. I think this would be a great hotel for a family.	
Feb 26 2007 	HGI rocks ! Excellent stay 	Excellent mid-level hotel at a very convenient location, and at a very good price for Chicago. Front desk service = Jessica and Diane, were superb! Super nice welcome and very helpful and efficient, handling all requests perfectly. Room was on 20th floor with nice view North of Hancock Tower, and was absolutely quiet, spotlessly clean, and comfortable. The nice amenities included complimentary high-speed in-room internet access, fridge, microwave (perfect for families), good-sized desk, lounge chair w/ottomon, Neutrogena bath products, as well as small pool &amp; hot tub and gym/exercise room. This hotel also offered a &quot;Business center&quot; with (3) computers, printers, and supplies of everything to do business, along with conference rooms on 12th floor...for all guests. The hotel is 2.5 short blocks from famous shopping at Michigan Avenue, and has the &quot;Weber Grill&quot; restaurant attached. We did not try the restaurant, but it seemed perfect for meat lovers... priced like a steakhouse too! Plenty of restaurants, clubs, bars in the area as well. Red Line subway station conveniently right outside front door.Only very minor minus: when the heat/AC unit turns on (like other HGI we've stayed at) seems noisy/loud at first, but got used to it. No problem sleeping.Yes, we'd stay here again .. without hesitation.	
Feb 20 2007 	Loved the HGI	Booked 3 rooms at the HGI this past weekend thru Travelzoo for 89$ back in November. It was a mom and kid's weekend and the hotel couldn't have been any nicer. We had requested an early check in which they accomodated and set us up in a corner of the 22nd floor all together.They rooms are fairly laarge with a microwave and fridge and Neutrogena products. Everyone at the desk was helpful for directions, transportation. The location was EXCELLENT. We walked everywhere and the Red line was right outside. The Navy Pier Trolley right up the street.I would definitely stay here again and would recommend it.Only drawbacks.....the hot tub was not filled the entire time we were theree and after a cold day would have been appreciated. Secondly, I would Not recommend the Webber Grill for breakfast...long lines at the buffet.	
Feb 3 2007 	Veru nice great location..	We found the Hilton Garden Inn to be very clean, fresh and updated, and the location cannot be beat. We got a great rate through the Hilton web site for $129 a night with our third night free. No breakfast is served but we did have a microwave and mini-frigerator. There is a restaurant located off the lobby, mainly barbque, but room service is offered, and numerous restaurants are within a block. The staff was very friendly and accomodating. The indoor pool is nice but small. Nordstroms and Northbridge Shopping Mall are a very short block away, and Michigan Avenue, aka, the Magnificent Mile, is two very short blocks from the hotel door. Parking is availible, for a fee, of course, in a garage attached to the hotel and there is a heated circular driveway from which you may load and unload your car. Bell hops and valets are readily available, but in no way is their service pushed upon you. We would definately stay in this hotel again.	
Jan 15 2007 	Excellent Stay! Great hotel	Great location for a 3 day weekend in Chicago. Staff is friendly and helpful, rooms clean and comfortable. Located 2 easy blocks from Michigan, lots of great restaurants close by, 1/2 mile walk down State to Macy's (former Marshall Fields), the Red Line is steps from the front entrance, a Jewel grocery across the street, Trader Joe's also 2 blocks away....We really found the location and accomodations to be great! The front desk has a list of bars and restaurants in the neighborhood. We arrived at midnight and the front desk gave us several options for places to grab a bite at that late hour. We opted for Mother Hubbards (State and Hubbard). This sports bar definitely was a 'locals' only kind of find. Simple but good bar type food. Don't miss Volare, a really nice Italian restaurant one block east of Michigan on Grand. My recommendation is to share an appetizer (the rolled eggplant was exceptional!), pasta and meat course to get the best value and especially since servings are ample but not too large.	
Jan 13 2007 	Loved the Location!!	We stayed in this hotel for Christmas, the hotel is great, great location, staff were so helpful. The Red train line is just outside the door and it is a $5 cab ride to the nearest blue line (which we used alot) which takes you to some great shopping malls. The breakfast was great as this was included in our room price, lovely buffet. I have to say I missed my proper meals of what I like my potatoes and veg and meat, which is very hard to get, was sick of fast food by the second day. We ate in the restaurant in the hotel a few times and it was ok. I ordered room service one nite, the chicken was cold and I ended up getting food poisoning, which kind of ruined the holiday. But over all I cannot complain about the hotel and I would recommend the store across the street Jewel for stocking up on food as there is a fridge and microwave in the room.	
Jan 7 2007 	Absolutely Perfect!	What a location! We arrived, parked our car, and walked everywhere. It was such a breeze checking in, the staff was incredible, and only $93/night! We will definitely be coming back in the future.	
Jan 5 2007 	Great experience	My husband and I had go to Chicago on somewhat short notice ( to take care of a relative's estate). Since it was going to be a stressful trip, I didn't want to have to worry about the quality of the hotel. I found a reasonable price on Travelocity and booked our stay, and we weren't disappointed. We ended up extending our stay and were able to get an even better rate from the front desk than on the Hilton website.We didn't rent a car, and were able to get around easily (the metro stop is literally outside the hotel, as mentioned in another review). Having a small fridge and a microwave in the room allowed us to keep our food costs down. There's a Jewel/Osco a block away, and a Trader Joe's about two or three blocks away. Plenty of good restaurants in the area, too. The housekeeping staff took good care of our room and were friendly when we wanted to sleep in.	
Jan 2 2007 	Weekdn getaway with the kids	Had a great stay with our two kids over the week of Christmas. Price was right ($93 through Hilton website), location was great (Nordstrom's for the wife and daughter, ESPNZone for my son and me just around the corner) and the staff was efficient and friendly. There are probably a dozen restaurants withina one block radius.The exercise room wasn't huge but had three treadmills and some other machines. The pool was very small and overly-chlorinated but the kids loved it just the same.I would recommend this hotel if you can get a good price on it!	
Jan 2 2007	Perfect Location During A Perfect Weekend	I came home last night from a two night stay at the Hilton Garden Inn. I found a very good price for the New Years Eve weekend at hotels.com. (later a better price of $89.00 per night became available on travelzoo, but I couldn't cancel by original reservation) The location was perfect. We parked in the attached self park garage - nobody at the front desk mentioned anything about parking validation, but I asked at check-out. It saved $11.00 per day. Make sure you ask!The room was very clean and spacious with a great view. There is a fridge and microwave which were very nice to have for our leftover meals that turned into a midnight snack. This may seem silly to some, but the I loved the toiletries they provide. Neutrogena products. I like knowing what I am using instead of mystery brands. The Weber Grill is on the first floor and made for a great lobby bar. We ate breakfast there one morning and were disappointed to see that it was a buffet for $12.00 each. We were hoping we could order steak and eggs. That's okay. The food was good - there was an omlete bar and you could order eggs cooked to your liking if the scrambled ones were not what you wanted. I appreciated the security at the hotel on New Years Eve. After 10pm you had to provide your room key and a picture ID before getting on the elevator. There were also strict rules regarding noise levels and multiple guests in rooms. We didn't have any issues, but it was nice to know that if it were a problem, something would be done. This was a perfect location for shopping, dining, drinking and fun. I'll be back!	
Dec 27 2006	So Convenient to Everything!	We stayed here for a Bears game and general sightseeing. With the Red line right outside the door, we were able to go everywhere we wanted very easily. The hotel is also located right across from a very nice Jewel food store. Great for sodas or snacks.Check in was a breeze and the employees very friendly. We had requested a king nonsmoking and a king smoking and both were ready for us. A nice security feature is you must use your room key to use the elevator.Our room was fairly large, especially for city standards and was spotless with very nice furniture. It also had a microwave and refridgerator along with a coffee pot. We had a view of the Hancock Building and the windows opened slightly for fresh air.It had a good size bath that was also spotless and nice toiletries including lotion and mouthwash which is not often given. Good water pressure and plenty of hot water.The beds were comfy and made up with double sheets which is a nice touch. Pillows were okay but of the foam variety and a little hard. Free internet is a nice feature but charges for local phone calls a little cheap in my opinion.The Weber Grill is located in the hotel and serves a wonderful breakfast buffet with great service.Overall a great stay and would definitely stay there again. Wonderful location just off Michigan Avenue and a nice clean, friendly atmosphere. What more could you ask for.	
Dec 18 2006 	Too Good to be True	Another great stay at the Hilton Garden Inn. This was our 3rd time staying here in two years. We had adjoining rooms with my Mother, Wife and three kids. We paid $89.00 a nite. This rate was through travelzoo. The hotel is in a excellent location. The staff are the friendliest people. I have to say that about everyone we had contact with. You will find that people in Chicago in general are friendly(must be a midwest thing). We also will be returning in March.	
Nov 28 2006 	ANOTHER GREAT STAY...	This is our third stay in two years at this hotel. Terrific location and nice sized rooms. Having a microwave and small frig in the room is a definite plus, particularly w/ a wonderful market right across the street for snacks. Not really a nice view from this hotel, but it's a good value and a short walk to Michigan Avenue. My only complaint is w/ the hallway doors. They SLAM shut , and I mean SLAM! You can hear everyone coming and going because they don't think to grab the door. Would definitely stay here again though -- and probably will next Thanksgiving when we go back up to Chicago.	
Nov 13 2006 	Outstanding in every way	Five college friends and I had a delightful stay. From the exceptional customer service (front desk, housekeeping, bellmen, etc.) to the large, clean, and comfortable rooms, we found the hotel to be outstanding in every way. From the 23rd floor, the view of the city was fantastic; street-side, the location on Grand and State was great -- just steps away from lively Michigan Ave. and all it has to offer. We were especially impressed at the hotel staff's willingness and abilitiy to honor our request for adjoining rooms -- one with two beds; the other a Murphy suite with a double bed, large sitting area with sofabed, plus a kitchenette. From our previous experience at other hotels we were not optimistic about the likelihood that we'd get what we requested when we made the reservation. But by calling the night before arrival, the front desk staff and housekeeping made sure we got what we asked for. We've stayed at the 5-star Omni on previous trips and found the 3-star Hilton Garden Inn to be superior in every way. We'll be back!	
Oct 24 2006 	Such a relief!	My Mom and I stayed at the Hilton Garden Inn, downtown Chicago this past August on a girls trip. We stayed for 4 nights. The hotel was very clean, the service was awesome, staff was eager to help with any questions we had, quiet rooms and comfy beds. The breakfast is the best downstairs! The pool was a little small (especially when there is 10 kids in it).Mom and I were in Chicago for the King Tut exhibit at the Field Mueseum. As the hotel is a hop skip and a jump from the Magnificent Mile, transit was super easy. We were originally booked into another hotel, but after reading it's review on this site, we switched, and we are so relieved we did.One more thing, Mom and I asked for a corkscrew from concierge. It got to our room super fast however it broke off in our bottle. Moral of the story? Don't ask the hotel for a corkscrew. They are pretty cheap.	
Oct 12 2006 	Very Good Hotel	Stayed for just three nights in September this year. The hotel is in a great location for just about everything. Good sized room with an OK view and everything was clean and well maintained. Staff across the board was very helpful. Weber Grill is great for breakfast ($12.95 for buffet) and also steaks. Highly recommended hotel.	
Oct 3 2006 	We loved the location!	We stayed in the Hilton Garden Inn in Chicago for 4 nights last fall. Average priced (for Chicago) parking was located on site. We parked our car and walked or took public transportation everywhere we needed to go.The check-in was quick, the lobby was attractive, and the room was a nice size, very clean, and suprisingly quiet. We had a very nice view out our window. We had an adequate sized refrigerator and microwave in the room, too.Directly across the street from the hotel (to the west) was a Jewel Supermarket where we bought breakfast foods and snack/sandwich foods to save some money on our trip.There is a Weber Grill restaurant on the ground floor of the hotel that has a fantastic buffet breakfast (we ate there on a Sunday morning...I don't know if it's an every-day thing or just weekends). Many, many, many other restaurants are located within walking distance. We walked to Gino's Pizza and Rainforest Cafe.If you want to take the subway, well, it's super-convenient, as the subway entrance is on the same corner as the hotel! We bought a multi-day pass and rode buses, subways, and El trains to all the tourist spots--John Hancock Building, Magnificent Mile, Navy Pier, Shedd Aquarium, to name a few.Would also highly recommend &quot;Chicago Hauntings&quot; bus tour (can walk from hotel to tour embarkment) and Wendella's Lake and River tour (90 minutes)	
Sep 12 2006 	Good Stay	We had a nice 4-night stay at this hotel for a mini vacation during the last week of August. The location was convenient and we walked to many things. The room was fairly spacious, clean, everything was in good shape and we had an ok view. It was fairly well equipped with a refrigerator, microwave, coffee maker, iron, internet service, etc. One thing I forgot to check for when booking was an in-room safe, which they did not have. They did have safe deposit boxes at the front desk and that worked fine for us. We requested a high floor and they followed through by putting us on the top floor. The staff was wonderful. Over all we enjoyed our stay and would return. Our Sun-Wed stay got us a free night, so it was a great deal for this class hotel.	
Sep 10 2006 	Paper Thin walls	This hotel has paper thin walls and you can hear evrything in the rooms next door and in the halls. I have stayed at 1 star motells that are more private. Also i called the hotel direct for reservations, and then they transfered me to the central call center. i knew where the hotel was because of the Weber Grill in the lobby. The reservation center said that they had several downtown lockations and could not be sure that the one that they were reserving for me was the one that I had asked for with out an adress.	
Sep 8 2006 	Worth every penny!	First I want to say that if it sounds a bit pricey to you, it definitely worths every penny. The location couldn't be more convenient, especially for a tourist in Chicago. In addition, we found the staff friendly and helpful, our room very nice, extremely clean and spacious. One of the best hotels I've ever stay, and will stay there again if I'm given the chance.	
Aug 30 2006 	Great Place to Stay Friendly Staff	I stayed 3 nights for a business trip. I was very surprised by how friendly all of the staff were, including the housekeepers and night shift! That was unusual. The room was comfortable, and there were lots of pluses (like complimentary internet access).I was not &quot;wowed&quot; by the bed and linens, but they were reasonably comfortable. It was a good value.	
Aug 23 2006 	Great location and great place	saw a 3 nights for the price of two promotion and booked. Saw another promotion on Travelzoo for $115 per night in August, could not beat that and booked. Arrived via the blue train and got lost. Tons of cabs and rode the cab four minutes to the hotel. It's noon and I wanted to check my bag because I scored a ticket to Wrigley on a Sunday. I'm standing in line for the desk when I spot two bellman walk onto the lobby. Tell the guy my situation and boom, claim ticket and down to the Red Line, off to see the Cubbies. Back to the hotel after 5pm and checkin not problem, in fact I think they pre assigned rooms, king non smoking. Same room design as my last stay, clean except for the drinking glasses. Microwave, mini fridge and comp pass to a real fitness gym one block away. Jewels grocery across the street. Rental car not needed as public transit is pretty fast. Did rent a car the last day to drive outside of downtown and returned by 5pm. Scored a parking meter one block away from the hotel, leaving by 7am, so free all night. Second stay in this city at this hotel. My third will be here too.	
Aug 17 2006 	What else can I say - Excellent!	Just returned from a five night stay at the Gardenn Inn and what can I say that hasen't already been said - this place it just excellent. We travel a lot and would highly recommend this hotel. The front desk are just awesome. They wear a &quot;No Problem&quot; badge and it isn't a gimmick, they will do just about anything for you! What a great location right by the red line. You won't be disappointed with this hotel. Also, as info since I have not seem this before, visit the Federal Reserve Bank, its free and where else can you get so close to one million bucks and leave with $364 for free! Also, check out the Blue Man group show for a great time and guess what, its right off the red line at Belmont and a quick ride back to the hote!	
Aug 9 2006 	Great stay	Stayed with my wife for 6 nights from 31 July until 6 aug. US Airways managed to lose our baggage so on arrival check in staff provided us with toothbrush, toothpaste etc which was a nice touch. I had asked for a corner room as had been recommended and was given one.Hotel has all that is required including a 24 shop selling essentials, a starbucks, a smallish pool and hot tub. There is a business centre on the 12th floor with 3 terminals all providing free internet access and printers. On one occasion the printers weren't working so the front desk did the online flight check in for me.There is a Weber Grill attached to the hotel which does a great buffet breakfast for $12.95 and great food in the evening. There was a wait time of about an hour the evening we ate there, but I called down, mentioned I was staying in the hotel and got a table pretty quickly.Location is great. Metro stop outside and Navy Pier free trolley just round the corner. Rooms were cleaned very well and even clothes on the bed folded. All in all for a 3 star hotel, it was superb. Many people, including Americans we met en route were suprised that we'd take a vacation in Chicago, but it was fantastic. Go!	
Aug 8 2006	Great.... but	My husband &amp; I just got back from a 4-night stay at the HIlton Garden Inn Chicago. Great location, convenient to all of the wonderful Mag Mile shopping and the red line train. The wonderful staff were able to answer any question you might have about how to get around the City, etc. Housekeeping was efficient, polite and thorough.My only complaint - the mattresses are horrible! I'm generally not a picky person, but sleeping on a board took it's toll after 4-nights. Until this hotel replaces its mattresses, I probably won't come back!	
Aug 1 2006 	Hotel Staff is Five Star!	The hotel staff couldn't do enough for me! As part of our engagement evening, I had a couple special items to be delivered to our room at a specific time. They came through where other hotels have not. Why this hotel is not rated higher than 3 stars is beyond me!	
Jul 3 2006	Excellent Stay	We enjoyed a four night stay at the Hilton Garden Inn and could not have asked for more in a mid-range priced hotel. The staff was extraordinarily friendly and helpful. Our room was clean and had the fresh look of a new or recently renovated space. The bathroom had very good water pressure in the shower, generous counter space and plenty of towels of adequate size. I loved the convenience of the mini fridge. A microwave was provided as well. The closet and drawer space was adequate. While the comfort level of the beds could not compare with my pillow top mattress at home, the mattresses and pillows provided a reasonable level of comfort for a hotel. They were firm without being too hard. While we had some traffic noise even on the 19th floor, the sound proofing within the hotel is excellent and we didn't hear any noise from the other rooms or even the hallway. The location is ideal for tourists with a Jewell grocery store across the street, across from the Red Line subway stop and near bus stops and you're within easy walking distance of some of Chicago's best restaurants and the shops on Michigan Ave.. We bought 3 day visitor's passes for unlimited travel on the transit system which was really easy to get around on. To get to the Art Institute or the Museum Campus walk to Upper Michigan and Illinois and take bus no. 146. To get to Lincoln Park Zoo walk to Grand and LaSalle and take bus no. 156. If you're interested in the architecture of Frank Lloyd Wright visiting Oak Park makes for a fun day out. Take the Red Line to the Lake/Clark exit and transfer to the Green Line and get off at the Harlem stop. All the sights are within easy walking distance. To get to Second City take bus no. 36 from Grand and State. The Starbucks kiosk in the lobby sells pastries and coffee and Cosi is a chain about a block or two east on Grand that sells a good cheap breakfast. Also Mary's which is 2 or 3 blocks away. The front desk can give your directions. All in all a great place to stay.	
Jun 18 2006	Loved the hotel !	An excellent night at the Hitlon Garden. Convenient and close to everything. Rooms are very nice and welcoming. Starbucks in the lobby is a plus. Service is great. No complaints at all. We recommend the hotel.. Try priceline for a good rate.	
Jun 16 2006 	Disappointing overpriced	I stayed at the Hilton Garden Inn for 3 nights while traveling on business. The room rate of $359 per night was outrageous for an average to poor room with no amenities. The beds were not very comfortable, the pillows were flat, and the bedspreads were dirty. Yuck! It was a disappointing experience. Our room smelled like an overdose of air freshener and I had a sinus headache every morning.	
Jun 15 2006	My Kind of Place	We celebrated our 38th wedding anniversary in Chicago and stayed at the Hilton Garden Inn. It was so much better than I expected. The room was wonderful, a corner view, Room 2170, and clean and bright. I would recommend the hotel to anyone traveling to chicago. I was really having a hard time deciding but price was finally the deciding factor. I was pleasantly surprised to have everything, including location, be so wonderful. the hotel delivered a bottle of champagne and complimentary breakfast passes because it was our anniversary. The staff was pleasant, friendly and very helpful with all of our questions.	
