	A great spot!	We have always been pleased with our stays at Intercontinental hotels. Chicago was especially pleasant with a helpful staff.	
Nov 23 2008 	The Awesome InterContinental Chicago	The InterContinental Chicago is amazing. The staff is pleasant and efficient. The rooms are outstanding. The location couldn't be better. This was my second stay and it has become my hotel of choice in Chicago.	
Nov 23 2008 	Prime location room so-so....	Stayed at the hotel with my partner for 3 nights at the beginning of November when Chicago was basking in glorious sunshine and the election reached its conclusion (and the city went in to celebration mode). I chose the hotel purely on location and was not disappointed. In fact, the location exceeded my expectations. For a first time visitor to the city it was immense. Some impressive architechture and excellent shopping on your doorstep. It's also very close to the departure point of the Chicago Architechture Foundation river cruise which I would highly recommend. For a first timer, it was perfect. The hotel lobby is impressive and the much talked about pool is stunning and was not very busy when we went for a swim, so we were very happy with the hotel itself and the amenities, albeit if I was a gym user I would have been less pleased as the fitness facilities weren't great for a hotel of this class.The room rate, which I booked through a UK hotel website, was also reasonable compared to other hotels in the city, particularly considering the location. However, our room, which was in the modern part of the hotel, was just OK. We requested a king bed and received 2 doubles which wasn't an ideal start to our vacation but we were too tired to request a move. The cleanliness of the room could have been better and we had some issues with the electrics which we persevered with but should have reported. Overall, I was more than satisfied with my stay at the IC Chicago but that was primarily due to location and not the quality of the room itself. If I hadn't received such a cheap rate for the room then I would have definitely complained about the room we were allocated and requested to change. All in all, it was an excellent choice and one I would recommend, mainly to first time visitors.	
Nov 22 2008 	great hotel	Great location.Concierge very helpful...Room was clean, but not spotless... Found some dust.Very good quality for the price you pay.$50 to park the car is honest price... note that you can leave car there from noon to 5pm of following day.Phone, snacks, water are not included and very very expensive... you can though go to Starbucks right near the lobby.	
Nov 18 2008 	Fantastic Hotel	My husband and I stayed at the IC Chicago on November 7 for 5 nights. We had booked a standard room but were upgraded to a huge suite which was amazing. The service in the hotel is superb and on the one occasion that we ate at the hotel it was very good. The pool is free to residents and open very early til very late. The concierge service is the best of anywhere I've stayed and they have an encyclopaedic knowledge of restaurants in the area without consulting any books or maps.Within a couple of blocks of the hotel are several outlets of the Corner Bakery which is a great place to go for breakfast if you're on a budget but also want fresh food. It does everything from eggs to bagels to porridge for breakfast plus all kinds of things for lunch etc.	
Nov 16 2008 	Great location and energy in Chicago	We spent the night in the historic tower on a Saturday night. We had a gift certificate and used it to celebrate a birthday. The lobby was lively and inviting. Several weddings were going and there was a lot of traffic, but the lobby did not seem overly crowded. Our check in was swift, our request to change to a king room was accommodated without incident.The room was very spacious and clean. The bed was very comfortable. The hotel location is right in the heart of the Magnificent Mile. Loads of restaurants, shopping, parking nearby. We enjoyed our stay so much that we are looking into holding a 50th anniversary party at this location. The pool is also beautiful.	
Nov 13 2008 	very pleased at intercontinental chicago	Just returned from the INTERCONTINENTAL-CHICAGO and must say was very pleased with the overall service and ammenities the hotel provides. Definately plan on going back soon and staying at the Intercontinental. Stayed at many on the magnificent mile and thus far none compares to our stay at this hotel.  Mario D.	
Nov 11 2008	Nice Stay at the InterContinental	We took the Amtrak from Lincoln, IL to Chicago on 11/2/08. Arrived at hotel by 10:30 a.m. and were able to have early check in. Room was very nice, but small. Built in couch located directly below the window. We could see Navy Pier, otherwise view was tops of other buildings. Bathroom was adequate - also on the small side. We were attending the noon Bears game, so took cab to Soldier Field. First time at SF - seats were 2 rows from the top! Took cab back to hotel and freshened up, headed to hotel lobby bar. Very lively, nice bar. Good size drinks, friendly bartender. Decided on Gibson's Steakhouse for dinner. We didn't have reservations, but were told a table would be available in 15-20 minutes. Went to bar and ordered drink and table was ready. Both husband and myself ordered steak. Very good meal, but felt a bit rushed. The next day we decided to do some shopping and looking around. Stopped at Ditka's for a Bloody Mary - one of the best I've had! More shopping and then on to the Billy Goat Tavern for a cheeseburger. More walking and back to the hotel to pick up luggage and took cab to Amtrak. Had heard how great Garrett's Popcorn was, but no one had been able to tell us where it was. Cab driver to Amtrak found it and stopped for me to run in and get carmel/cheese corn combo. I have to agree with Cab driver - a bit buttery for my taste!The staff at the InterContinental was great. Very friendly and helpful. We booked this room through Hotwire, and for the money, would definitely stay here again.	
Nov 11 2008 	Perfect on all counts	I took my daughters on an American Girl Weekend to Chicago. The Intercontinental had a package giving us a discount, doll beds (one free to take home), and cookies and milk at night. The room was impeccably clean. The staff was very helpful. Room service was excellent, fast and hot. The hotel dining room had good food and warm service. The pool is amazing! You feel transported to another time in the pool area and is very magical. The location is good and although other hotels may be closer to American Girl Place at its new site in Water Tower Place, this one is across from Nordstrom and is just a lovely place to stay.	
Nov 3 2008 	Great location for shopping	The hotel is across the street from a four level mall, the Shops at North Bridge, anchored by Nordstrom's. There is a Starbucks in the hotel and a Panera Bread close by. We stayed in the historic tower in room 1404 and our room was huge. My daughter and hubby upgraded to a corner room for the better view, but their room was much smaller, although still very spacious. The room service is expensive. I had a twenty eight dollar club sandwich, fruit, and about 1/4 cup of coleslaw. 18 percent tip and a service charge is added. From the 14th floor foyer you can see the beautiful historic pool, nicknamed the Johnny Weismuller pool. i highly recommend this hotel.	
Nov 2 2008 	Great stay	My wife and I just stayed four nights at the Chicago Intercontinental Hotel on a trip combining business and pleasure and enjoyed our visit enormously. From the reservationist, who was the most polite, professional and helpful that I've ever encountered, to the room itself, which was small, but clean, well maintained and very comfortable, we had a very nice stay. The concierge made a winning recommendation for a restaurant on our first night, the only night for which we didn't have a preexisting reservation for dinner, and he also gave spot-on advice about navigating the train and bus system on the one day that we wanted to travel across town. The room was ready on time, very nicely maintained and the bed was quite comfortable. A digital signal on the LCD TV would have been nice, but for location, cleanliness and professional treatment the Intercontinental is high recommended. We will definitely stay there again in the future.	
Nov 2 2008 	Intercontinental Chicago was awesome	We have just returned from a weekend at the Intercontinental Hotel in Chicago. The hotel is magnificent and we loved the historic character of the hotel. Staying in the historic tower, on the 31st floor, we had a fantastic view of Lake Michigan and the Navy Pier. Watching the fireworks over the lake at night was an unexpected, but beautiful treat. The food, service and meeting spaces were incredible. We had a perfect weekend there.Of course, the location is also ideal. Located on Michigan Avenue, it was convenient to shop and explore some of the fantastic restaurants that Chicago has to offer.The so-called Johnny Weissmuller pool, named after the Olympic gold medalist and original Tarzan star, was impressive and standing by this fully restored 1929 indoor pool made us feel like we were transported back to that period of time. We have stayed in many of the hotels in downtown Chicago, but over the years the Intercontinental has become our absolute favorite. We look forward to our next stay there.	
Oct 31 2008 	My home away from home	Our company regularly stays with the InterContinental in Chicago's beautiful downtown shopping district. They have a wonderful way of making us feel comfortable and cared for, even on our repeated extended stays. We come back year after year, and the cost is usually not much more than the generic hotel chains. Lovely accommodations, caring staff, and a wonderfully unique facility make it a pleasurable stay again and again!	
Oct 28 2008 	Great location for business and pleasure!	I stayed at the Intercontinental Chicago for three nights last week. I'm a frequent business traveler and my experience at this property defininately far exceeded my expecations. The hotel staff was welcoming, the rooms were large, recently decorated and quite stylish, and the hotel gym and pool were tremendous with flexible hours and new equipment (unfortunately, this is not always the case with hotel gyms). The location of this property is amazing. There is a lively hotel bar, a starbucks and a chocolate/wine bar, all in the lobby. Surrounding the hotel are numberous restaurants and up-scale shopping. This is a terrific location for business or pleasure!	
Oct 23 2008 	Great View!	The hotel itself is grand. It has an interesting history. The rooms are a bit on the small side and no microwave, but the comfort was great and the room was very clean. The pool is like a step back in time. I took pictures but didn't swim in it. The location of this hotel can/t be beat! It is right in the heart of shopping and eating. It is walking distance to Navy pier. It is a short trolley ride to the museums. The view was outstanding and can't be beat. I watched the sunrise over Lake Michigan every morning. Incredible. Mostly I am easy to please, but the inability to reheat leftovers was annoying. We had to eat out EVERY MEAL. The fridge was stocked and overpriced(like 4 dollars for a bag of M n Ms and 6,95 for bottled water). So we couldnt use the fridge either. My bedroom at home might be bigger than the room was. The tv was large and flat screen and awesome for watching tv but we didnt watch a lot of it. Too busy seeing the sights. Overall it was neat but I have stayed at other places that were even better and DIDN'T cost an arm and a leg per night.	
Oct 20 2008	Great Location to Experience the Windy City	While my stay was associated with business travel, when I return for a personal vacation I will consider staying at this hotel. It is in a great location for shopping and dining and the staff is very courteous. An enjoyable experience overall on alll 3 visits.	
Oct 20 2008 	Loved the bed	We recently stayed at this property for a week. When we arrived the outside bellman was very friendly and you could tell he genuinely enjoyed helping people. Checking in went very smoothly and the desk clerk offered us an option to join their loyalty club. This gave us a room upgrade and was well worth the money.As I said we got an upgraded room. The really neat thing about it was that it was a corner room with a great view of Michigan Avenue. There was quite a bit of floor space, but because of the layout, much of it was unusable. A U shape would be the best way to describe it. Most of the floor space was hallway which made the room area no larger than a regular room. The desk was down the hall from the bedroom/TV area.There was a nice easy chair, but with an upgrade I would have expected a place for a second person to sit and a small table. We had to move the chair from the desk area in order to have something to sit on. We turned a trash can over to use as a “table” since there was none and the desk was down the hall.That aside I’ve got to say what a WONDERFUL bed they had. It was so comfortable I wanted to take it home. They sheets and pillows were also top notch.The bathroom was nice and roomy and well appointed. At a hotel of this caliber it would the lighting could have been better or they should have had a lighted make-up mirror. I really enjoyed the over sized bath sheets.I take exception to a hotel charging extra for wi-fi. When you’re paying premium rates it should be included. It is irritating when an expensive hotel nickels and dimes guests for extra charges.There was also an “ick” situation. When I got a robe out of the closet it appeared to have been used, then re-hung up. There was something brown and icky on the sleeve and on the back. I threw it into the bathtub with the dirty towels. It was taken away, but not replaced. I didn’t say anything to housekeeping about it. I’ve learned from experience you don’t want to ticket off housekeeping while you’re staying at a property.All of the hotel staff was very friendly and helpful. Our bathroom sink was draining very slowly. I called about it and it was quickly repaired. I was a little surprised that housekeeping hadn’t reported it. I don’t know how they wouldn’t have noticed.The location was great. It was convenient to the shops on Michigan Avenue and to the tourist sites such as the Field Museum and Hancock Tower. So overall the experience was good and I’d stay there again.	
Oct 19 2008 	We had a wonderful experience!	This hotel is comfortable, safe, and perfectly located for visiting the Navy Pier, Art Museum, the shops on MIchigan Avenue...etc.The pool is large, there is a sauna and a work -out room, and the staff offers great service. We have stayed at the InterContinential before and always try to book it when spending time in Chicago. The rooms are well equipped, beds are comfortable, and we find it the place where we have been the most comfortable when staying in this busy city!	
Oct 17 2008 	Who's been staying in my hotel room? Room cleaning breakdown	This doesn't happen often: you unpack, get settled in and then notice in the bathroom that there is debris in the trash can. And then, as you study the situation, you see debris from a shower -- the hotel shampoo bottle, the wrapper from the soap bar, etc. And then, still taking the bathroom in like a first time trip to a crime scene, you notice a used bar of soap in the bathtub. YUCKK. If it hadn't been the middle of the night, I would have rejected the room, but I was too exhausted to think and simply went to bed.I had a second breakdown in the one meal I sought: dessert. I ordered two items. Only one came, and after a wait, I prodded the staff into action.The workout room was a B- at best: About 12 pieces of equipment. I was able to get a treadmill. But the ICH charges $12 for the privilege of a workout. Memo to ICH: this is a problem at 530am when I don't have cash -- now I have to choose between exercise and the additional charge on my bill which I will have to break down when I get home as a personal charge. Thanks a lot -- I don't generally take cash to a nice hotel workout joint.The hotel room I was given was not for a second honeymoon. I opened the prison-like window drapes only to find a sticker that read something like: &quot;Do not open window swarms of bugs outside&quot; Nice.I do not believe, based on my stay that this is a five star hotel. I am at 3.5 stars at best.This great chain is really coasting on it in Chicago. Michigan Ave address isn't worth this. I will keep looking in Chicago.	
Oct 16 2008 	Great hotel in a great location	This is a great hotel in a great location. My 29th floor room was really spacious and well equipped, with great views over the city. Breakfast was very complete and with a good selection of everything. Service was up to the expected standard of the Intercontinental. Only the afternoon/evening barman was rather unfriendly. However, all in all a very good hotel.	
Oct 14 2008 	The everything you could ask for hotel.	The place to stay in Chicago is with out a doubt the InterContinental on Michigan Ave. From the moment you pull up, till the time you are ready to leave, you are greeted with a smile, a &quot;Hello, how are you&quot;, and all of the help you could ever use! They strive to make sure that you have the most relaxing stay in a hotel that you have ever had. Cleanliness is a very big issue with my wife and I, and they hotel passed with flying colors. The hotel is also in a perfect location. You can walk out the front door to Michigan Ave and the &quot;Magnificent Mile&quot;, the numerous restaurants, Navy Pier, The Theater District, and many other great points of interest. This all adds up to a fantastic time in Chicago!	
Oct 8 2008 	Love It ...or I thought I did	This was my second return stay at the InterContinental. I was last there October 2007 for one night. It is in a great location for shopping and sightseeing! The rooms are nice, but that’s about it.On my first trip, they stuck me in a room with two beds although I requested only one KING bed. Their excuse was that the number of beds was not a guarantee, but it does NOT say that on the website when you are booking it so I pointed that out and just got a BLANK stare like “SO… and what…tae it or leave”. No effort was made to accommodate my request. Nice room, but small with the unnecessary two double beds. On this second trip I again requested one KING bed, but again they gave me two double beds. Parking is not that convenient. The last time I didn't rent a car, but this time I did. There really is not close and SAFE parking in any reasonably convenient distance from the hotel so valet is really a MUST. The downside to their valet is customer service. First, no one tells you when you check in that you have to stand in one line to pay for valet first when picking up your vehicle, then another line to go wait and give your keys to an attendant who then drives offsite, down the street to get your car. Be ready to wait twenty minutes for your car. This was even when I called downstairs 30 minutes ahead of time. There is also a very small area for patrons to wait to leave their car to valet which means you are in the street (downtown Chicago on the Magnificent Miracle Mile) blocking traffic!!! Dangerous….Also, being a true Californian, the room was freezing to me since it was Spring, but they already had the air on. They sent maintenance up to fix He did some adjustments and swore it would heat up but it never did. Overall, I like the hotel, but its NOT as perfect as I thought.	
Oct 8 2008 	Great Location	My daughter and I were on a shopping weekend and stayed at the InterContinental in Chicago. It was the best location for exactly that. We also were in a location that provided many wonderful choices for dining. We walked everywhere because of this great location. The staff was warm and friendly. We were taken on a mini tour of the original section of the hotel.There were robes in the room, which believe me at the end of the day they were so welcome. The hotel has a magnificient swimming pool, which is a must see. When we travel to Chicago again, we will definitely stay at the InterContinentalit was a pleasure for us to stay there.	
Oct 8 2008 	Loved the ICH in Chicago	This was our first visit to Chicago therefore we had to rely on Tripadvisor comments to help determine where we were going to stay. Once again, tripadvisor proved to be a valuable resource and we were not disappointed when we arrived at this hotel. We stayed in a room on the 35th floor in the Historic Tower (upgarde required) but found our room a bit on the small size - the view was spectacular! Don't get me wrong, the room was more than adequate and very well appointed, we just wanted more space to stretch out. The front desk staff were very accommodating and moved us down to the 23rd floor (again in the Historic Tower). The room was much larger but the view not as spectacular - we gave up one thing for another so just be aware of this.Now that I have that housekeeping (no pun intended) out of the way, this hotel, although showing her age a bit, is a classy old dame that is filled with historic design and architecture. The service we received from the staff was excellent. They were friendly, very professional in their duties, and most important to us they were knowledgeable. We had many questions and they had the answers we needed - especially the Concierge' on duty. This hotel is right smack dab in the middle of it all and most everything that you need to do or see is within walking distance - shopping, theatre, night life, and more. There are some very modern and upscale hotels in this area but there is a warmth and charm that welcome you and make you feel comfortable at the Intercontinental. When we come back to Chicago, and we will be back, the Intercontinental Hotel is where we will stay..	
Oct 7 2008 	In the heart of downtown Chicago!!	Location, location, location. The InterContinental is the place to stay if you want an excellent experience exploring downtown. From its great location to its great accommodations, the place has it all. Walking through the front door you know you are at a place that values your time. They quickly get you checked into your room. Once in your room, you will notice most have great views of the Chicago skyline/shoreline. The rooms are modern and do not &quot;feel&quot; old. The bathrooms are large and bright and the showers are hot! The Olympic size swimming pool is definitely something that you should at least view. It is even better if you take a swim as you can sense the history of the marble surfaced pool. The work out facilities are also top notch. Once you are done working out, the bar is definitely a happening place for happy hour as it always has many people sitting and talking. The restaurant is very good, but there are other places to explore in Chicago. Now getting to the location of the place. You are on the magnificent mile and can easily walk up and down Michigan Avenue or can head down to Navy Pier. During the summer there are fireworks and if you are lucky enough to get a room that faces Lake Michigan, you will see a spectacular show. The &quot;L&quot; is only a few blocks away which can take you down to Wrigley Ville or back to Midway Airport. Great experience all around and I would definitely stay here again.	
Oct 6 2008 	Enjoy the Great Service	Fantastic service. Great location. Nice bar. Great breakfast.	
Oct 5 2008	Location Location Location	The Intercontinental is located right in the heart of the Magnificent Mile....close to all the shopping you will ever need, and lots of restaurants also within walking distance.We had our children with us, age 11 and 14, who loved the &quot;fancy&quot; pool.....very ornate marble and pillars make this not your average hotel pool....located indoors.The staff were all very friendly and accomodating.....we were only there one night, but would recommend staying there for one or more nights.	
Oct 4 2008 	Great hotel	I agree with previous opinions mostly good about this hotel. Excellent location both for tourism and shopping around. Very fine rooms though smaller bathroom than expected. Friendly staff but no exception for a later check out without paying extra 30 $ (even if you only needed 30 minutes after expected check out at 12:00). Excellent beds. Great indoor pool and sauna at no extra cost.	
Oct 2 2008 	Reliable and great location	The Intercontinental Chicago is a consistently reliable hotel with a great location. We have stayed at the hotel several times while in Chicago and have been pleased with the service, cleanliness, and location. The hotel has a nice bar, however, the wine bar adjacent to the hotel (accessible from inside the hotel), is a great place for relaxing and enjoying an extensive wine list, cheese, and olives. We bypassed breakfast at the hotel in favor of the Corner Bakery across the street, which has a decent breakfast selection, good quality food, and great coffee.Previous stays have been without any complaints or issues. On this stay, the only complaint was when we called the guest service &quot;hot line&quot; and requested a bell hop to meet us in the room to help us with luggage for check out, we waited for a fairly lengthy time, and after retrieving our car, checked at the bell hop stand and the bell hop stand had not received the request, so we had to wait for a longer period of time, making us late leaving for an appointment. The staff members were courteous and apologized for the delay.The Intercontinental is a good choice for a business or pleasure stay in Chicago. Our experience with the hotel and staff overall has been very good.	
Oct 1 2008 	Fantastic Homely Base to Explore Chicago	The Intercontinental Hotel, North Michigan Avenue, Chicago is such a fantastic hotel to use as a base to explore the vibrant city of Chicago! This is now my forth stay and no matter what the time of year is, I have always been greeted with a friendly smile (from the doorman to reception, chambermaids to bar/waiting staff) The Staff here are second to none.Bedrooms are excellent with just the right amount of luxury and to say my room overlooked North Michigan Avenue, there was very little traffic noise.And well what can I say about the Breakfast - it's to die for! Whether I had the fantastic buffet selection or the freshly made waffles. It was heaven ! !Having business customers with me it is reasurring to know that both their needs and mine are being catered for. Additionally the Concierge was a great help assisting me with restaurant reservations and tourist information. Including a more unusual request for the local fire department. (As one of my customers had been in the UK fire service and had a dream to sit in a Chicago fire truck) - what a great experience!All in all, I can't praise this hotel more highly, a real gem.	
Oct 1 2008 	Well-meaning but laughably poor service in this Intercontinental in name only	I'm currently staying in the Intercontinental Chicago and, having stayed at the Intercontinental Kowloon twice, and the Grand Intercontinental Seoul once this year, it is puzzling to me that this is part of the same chain. The Kowloon and Grand are spectacular with outstanding service (the Kowloon has what is probably the best view of any hotel in Hong Kong - even better than the Peninsula, another fantastic hotel in Kowloon). The Chicago Intercontinental is mediocre at best, with some well-meaning but laughably poor service and a management team that is in deep denial regarding what is required to be a true first-class hotel (or even a middle tier business class hotel).It started at check in: I always request a quiet, king, non-smoking room. They gave me a room with two twin beds facing Michigan Avenue. Okay, fine - sometimes that's how it works out. But I don't expect any Intercontinental to have paper-thin walls allowing me to hear normal conversations in adjoining rooms, as one has here in Chicago.Then I called to have some clothes pressed for my meetings the next day. Three calls later they had yet to pick up my clothes, and kept telling me that I needed to fill out the laundry request form, refusing to hear that there was no such form, nor the normal laundry bags, in the closet. I finally had to leave the clothes on the bed in order to make it to the restaurant on time. I discovered on my return that the clothes had been picked up, but instead of simply being pressed, as I had requested, they had sent them out to be dry cleaned. Perhaps they are looking for additional revenue? (more on that below) We'll see if I get them back in time for my meetings in the morning - but my confidence is not high.Then comes the business center. They have one, but it doesn't have a copier, the printers don't work, and there is no one available to help fix them. The best they can do is suggest you try printing from all the PC's in the business center, where one is charged a minimum fee just to log in and discover that one is unable to print from any of them. As a result, they get to charge you to log in to all their computers, but then go back to the front desk where they charge you again for the privilege of making black and white copies of the deck you needed in color. Must be a great marginal money-maker for them, along the same lines as the airlines charging $10 for those disgusting appetite suppressants they call food in what has become nothing short of peasant class.Oh yes, and now it is close to midnight, and, despite trying to get 15 simple decks printed at 9:30 PM, I still don't have them.Finally, my patience at an end, I provide some feedback to the hotel management and get whiney excuse after excuse about why none of these things are their responsibility, in a tone that suggests they are doing me a favor by providing any service at all. A true first-class hotel will at least step up and own the facts, but not the Intercontinental Chicago - they are just hapless victims of a cruel landscape over which they have no control whatsoever.Avoid this hotel if you can - Chicago is packed with other hotels that charge the same rate for fantastic rooms.	
Sep 25 2008 	Loved the InterContinental Chicago	We stayed here for 4 nights and could not have been more pleased. The location is great (walking distance to Navy Pier, Millenium Park, Art Institute of Chicago, jazz clubs, restaurants...), and the hotel is close to public transportation. Staff was friendly and helpful. Shopping along the Magnificent Mile is right at your doorstep. The room was just what you would expect from a fine hotel. Sometimes the information from the concierge was less than 100% accurate, but they tried hard to be helpful and were very pleasant. The hotel let us check in 3 hours early with no charge and kept our luggage for us for many hours after we checked out, also at no charge and with no hassle. Starbucks in the lobby was also a plus.	
Sep 25 2008 	LOved the pool and the professional reception	I have been enthusiastic about my recent stay at the Intercontinental Chicago, convenientely located on the &quot;Magnificent Mile&quot;. I have really appreciated the warm and professional reception, with the staff always ready to assist you. Try the &quot;old style&quot; swimming pool next to the convenient gym facilities. And, after dinner, don't forget to drop by the new &quot;Wine and cheese bar&quot; , a pleasant and tasty experience in beautiful surroundings.	
Sep 23 2008 	Not bad for an old girl.	Not the cheapest hotel in Chicago I was expecting something grand, and found it, almost. Whilst all the service was there there were a few cracks in the paintwork which made me think that the old lady could use just a little more loving care.Overall the fabric and ambience were great and the amenities were very good but I resented paying for internet access when I was paying big buck for what was, at the end of the day, quite a small room. Ah yes, that room, it realy was quite pokey and the bathroom looked well used. The comfort factor was there though.Hotel services were fantastic, room service was excellent in both prices and the very quick time it took them to produce anything day or night.The restaurants were superb.Loaction is ideal but I didnt like having a Starbucks almost right in the lobby.Overall, if you are staying in Chicago and dont mind spending a few bucks this is the place.	
Sep 22 2008	A bunch of theives	Recently the company I work for held a HUGE event at this hotel and I went. I made the mistake of letting the valet park my car and they STOLE money out of my vehicle. I discovered this fact as I pulled out of the garage. I called Yosef the garage manager of STANDARD PARKING who assured me he would investigate and he or his boss would call me in the am. NO ONE called. I called back the next day only to find that they were screening their calls and no longer accepting mine, I have called several times since and still NO ONE will talk to me. I have talked to the front desk manager who informed me that the valet &quot;is not a part of the hotel&quot; and though they would investigate they had no authority to punish the thief/thieves. I have since notified my company only to find out that I WAS NOT THE ONLY VICTIM. SO TRAVELERS/TOURIST BE WARE!	
Sep 11 2008 	Wonderful Stay!!!	The hotel was gorgeous and VERY accomodating. Check in was not until three so we tried to drop our bags off at the hotel because we had an early flight into Chicago. The staff was extremely friendly... they let us check in at 9:30 in the morning and upgrade our room. The room was comfortable, clean, and had a great view of the surrounding area. They did charge $12 a day for the fitness center (which I thought was outrageous). Good thing we did a lot of walking. I would highly reccomend this hotel!	
Sep 6 2008 	Esther Williams Pool	My sisters and I spend two nights over a weekend in August. We stayed in the historical tower. We swam in the beautiful pool where once Esther Williams swam. Our room was clean and the view fabulous. We could see the Chicago river and were close to shopping etc. This is the 5th time we have stayed there in the last 8 years. We wouldn't think of staying at another place.However, we did miss the cozy lounge where there was jazz playing in the evening. And during the afternoon after shopping we would sit and have a snack and drinks and watch the shoppers go by. We used to entertain visitors there. But all in all it was 5 stars for us.	
Sep 3 2008 	Great Location Pretty 	I stayed here last year when accompanying Hubby on a trip he needed to make for work. I was on my own during the day while he attended a conference. Neither of us had been to Chicago before. We stayed four days.The InterContinental is in the perfect location. It's next to the beautiful Chicago Tribune tower, with all those fascinating little rocks embedded in its outside wall. A short walk down the street and you're at the Michigan Avenue Bridge, which you can stroll over to explore what lies across the river. Head in a different direction and you can walk to Navy Pier. Another direction, the historic Water Tower and other sightseeing. Of course, being right on the Mag Mile, shopping is close at hand -- with Nordstrom's directly across the street! I had gotten blisters from my sandals on my first day walking all over town and needed to buy more forgiving shoes for the rest of the trip, so having a mall so close was very convenient for me. Our room was small but very cozy. We didn't have much of a view, but that didn't really matter to me, as I spent most of my days out and about. The furnishings were rich and sumptuous, the bed extremely comfy and clean. A small sofa was situated against the window, and we had a fridge to use. We didn't get to use the pool in the hotel, but we checked it out and it's very nice. The hotel staff was very helpful whenever I stopped for recommendations or directions.We both became enamored with the city and will be back again, to explore some more -- four days is not enough! We'll probably see if we can get a room at the InterContinental again. In fact, Hubby did go back to Chicago alone on a subsequent trip and stayed at the InterContinental a second time and he liked it. When we stayed here together, we were both very happy with our room, the service, cleanliness, and location.	
Aug 26 2008 	Not the most orderly hotel....	I stayed at this hotel for a business trip last week. I was originally given an adjoining room (which I thought was odd since I was travelling alone), but had no problem with changing the room once I went down to the front desk to request one. The room was fairly nice upon initial inspection. However, that afternoon I was unhappy to find that the shower had slow drainage (gross). Also, my bed linens were not changed during my (2 night )stay - I thought that was bad hosiptality to say the least. Finally, my hotel receipt had the wrong name on it (as well as charges) and I had to get that corrected upon checkout. Not sure how that happened. The reservations agent wasn't too friendly when I brought it to his attention. Overall, I will probably not stay here again if I have to go back to Chicago and I would probably not recommend it.	
Aug 22 2008 	Great Intercontinental Hotel in the heart of Chicago	My first contact with the Intercontinental was a shock: USD 50 per day of parking! Must be the fact the hotel is located on Michigan Avenue. I then checked in and got my usual upgrade (I am Intercontinental Ambassador for more than 10 years). They gave me the suite No 4000. To get there, a first lift took me to the 38th floor, then another small one to the 40th. It opens directly on the room's door as it is located in the penthouse. As a result, I had a 360 degrees view. Quite a treat! I then decided to have a swim in the 80 years old pool, where Johnny Weissmuller was preparing his Olympic Gold medals races. Then there is an historical tour within the hotel to be sure not to miss anything spectacular. And of course a Intercontinental level of services at all stages and a fully fledged rooms with the delicate amenities one can expect from a *****. In short, a great ***** hotel, extremely well located, carrying a lot of history where to stay for business or for pleasure. P.S.: Make sure you book a room in the historical building!	
Aug 19 2008 	In the Heart of Chicago	Loved it! What a classic look. Beautiful rooms and gorgeous pool..Even if you're not planning on swimming, must take a look at it! Excellent location on Miracle Mile,,Walking distance to everything! Free Trolley right there. Very easy to get there from airports..If not using car service..Take the train to the bus and go 3 stops and it drops you off right in front of the hotel. Starbucks &amp; wine, Chocolate &amp; cheese lounge right in hotel. The building itself is historical.	
Aug 19 2008 	A very comfortable and elegant hotel. Great location.	Our room was large and very well furnished. The location was very convenient for shopping, family and visiting attractions. Many fine resturants nearby. The staff was efficient and polite,I would definitely return.	
Aug 18 2008 	Not great... not even good	Our room was dirty upon check in. Covered in dust, the trash had not been taken out, there were price tags and old papers on the tables andned, and were told that someone would be right up. Someone did come... eventually. But not after a decent amount of time during which we just sat around waiting. Even after the SECOND round of cleaning, the room was still unbelievably dusty. floor, dirty towels and robes in the bathroom, and used soap/shampoo in the shower. We called and asked to have the room cleaThe decor was cheesy at best, it wasn't quiet, and the hotel charged for everything they possibly could... don't expect to use the pool or WiFi without paying an exorbitant price for it. There were none of the extras that you would expect from a so-called &quot;luxury&quot; hotel. Staff did not go out of their way to provide good customer service.Bottom line... not that nice, too expensive for what you get, and not even clean! They also charged our credit card an extra $300 that they can't explain and seem disinterested in rectifying. I would not stay here again!	
Aug 12 2008	Magnificent Times at the Hotel Intercontinental!!	My best friend and I have stayed at the Intercontinental Hotel in Chicago for years to celebrate our Annual Girls' Weekend. This hotel has it all! The staff is wonderful, a great bar, coffee in the morning, fabulous in-room robes - all located on The Fabulous Miracle Mile! There is nowhere else in Chicago I would rather stay.	
Aug 8 2008 	Enjoyable experience	Stayed here for two days while attending Lollopalooza music festival.One of the best locations in Chicago, on Michigan Ave near the Tribune and Sun-Times buildings. An easy walk or bus ride to many attractions. The King sized room was very nice, not large, but with a generous bathroom. Service was excellent throughout. Check out the awesome swimming pool, straight out of twenties.	
Aug 7 2008 	Will Stay Here Again When I Return To Chicago!	Arrived earlier than check-in, and was able to get my room right away. That was a plus! Room was nicely appointed and had plenty of room, including a nice loveseat near the windows. Nice Flat screen TV worked great. Bathroom was large and very nice soaps etc. Also, Coffee maker in the bathroom was nice for an early morning cup of coffee. The location was ideal for going up Michigan Avenue to all the stores!	
