	Room and service was horrible	When we arrived at the hotel we were properly greeted and taken up to our rooms. When we got into our room the furniture inside was stained and really beat up. The worst part of the room was the bathroom door. The bathroom was fitted with a sliding door that did not go into the wall but alongside it. The door had no lock and left about a 2-3 inch gap where if you walked by it you could see someone on the toilet. The concierge was not helpful on suggestions of restraunts or nightlife. The concierge told us that we were better off staying in our rooms since there was &quot;nothing to do in chicago after 10 pm&quot;. Our last night we ordered a movie and the quality of the movie was horrid (movie was pixelating and blurry) so we called down and I had to argue with the person at the front desk to have them credit us the money back for the movie after we had stopped it less than 5 minutes in. This is not a full service hotel we had to pay about 10 bucks for anything and everything. We had to pay about 12 dollars to have them bring us up extra glasses since the old ones were dirty and the maid did not switch them out. The only redeeming thing about my trip was the fun I had with my friends not the hotel.	
Mar 4 2009 	fantastic remodeled choice!	This hotel was perfect for us. We were attending a convention at McCormick Place. While the Hilton next door was a convention hotel, we booked a fantastic room for a fraction of the price. Travelzoo was running a promotion for $99 and we still got the amenities of the free shuttle, with restaurants and a bar were all just next door.Our room was fantastic, very well furnished, lit, it was laid out wonderfully, and the bed was unbelievably comfortable.We will definitely stay again for that price!Would have given a 5 rating if just for a few important things.The woman at the front seemed overworked, the hotel was obviously understaffed.We called down and explained the honor bar would not open, we were simply told &quot;yes it does open&quot;, well two of us are not wrong, and isn't the guest supposed to be right? Someone should have come up to check it. If we could not open it there is a problem. Whatever, we went next door to Kitty O'Shea's instead.Also we got a wake up call early in the morning, we were up, but when we informed the woman at the front that WE had NOT asked for a wake up call, instead of an apology I was told that , Yes we did. Huh??? Even my colleague was flabbergasted, what if we were sleeping in!Sorry, we were very polite, and to be told WE were the problem not once but twice really needs to be addressed by management.	
Feb 18 2009 	Fabulous Place and Fantastic People !	I stayed at the Blackstone recently for business. The management has done a fabulous job of renovatiing this &quot;Grand Dame&quot; of Chicago. The lobby is a combination of trendiness and old world elegance. The rooms are simply superb, crisp linen, comfortable relaxing chair, flat screen tv, and the bathrooms are some of the nicest, with the club level room (Hubbard Place Room) having a tv bulit into the bathroom mirror. The location is quite convenient, and the staff extremely courteous and helpful. Special thanks to Mark and Tom at the front desk for accommodating my special room requests. I would like to stay nowhere else when in Chicago.	
Feb 15 2009 	Great View	Ever since this hotel was remodeled, I have wanted to spend the night. The rates have always been a little steep for me, so it wasn't until the economy hit hard was I able to swing the rate. I was on cloud &quot;9&quot; for my opportunity to stay here during Valentines Day weekend. Everything met or exceeded my expectations. The room was ready early as we checked in around noon. The room was well designed and the view was just the best I have ever had in Chicago. I could see all the way from Navy Pier to Soldier's field. I love the size of the hotel, big enough to offer services; Starbuck's, Spanish restaurant, nice bar etc, yet small enough to feel like any request would be met with good results. I can't really comment on the service, as we never really needed anything. It was all right there. It was a great stay. It is my new favorite hotel in Chicago!!!	
Feb 8 2009 	Better than expected!	We stayed at the Blackstone instead of the Hilton for the Cubs Convention and could not have been happier. For the view we got (the lake, Navy Pier, Grant Park, the museum campus), the price was outta this world! $160/night (book direct on Marriott's web-site for best rates I found). The staff was more than accomodating - showing us all the historical points of the hotel. Neil was the best! We felt like we were staying at a real expensive hotel for the service we received. The restaurant was not really for kids (at least our kids said &quot;blah&quot;) but a taxi can take you to lots of good places to eat. If we go back downtown and need to stay in that area, we will DEFINITELY stay at the Blackstone again.	
Jan 25 2009 	Convenience and comfort	The hotel is the nicest I've stayed in the downtown area, ultra modern mixed with historical charm. The entire staff was very helpful and friendly. The beds are comfortable and the bathrooms are big. I'll definitely stay here again.	
Jan 15 2009 	Chic Stay	Nicely appointed property! Huge bathrooms and comfy beds. The service was excellent!	
Jan 5 2009 	Amazing	Wow. We were very impressed with this hotel. This was our first trip to Chicago. We stayed the first two nights at The Tremont on Chestnut Street. No complaints at that hotel either, but this was a pleasant change. Renaissance are always amazing, but this was the best yet. All service was spectacular too. Let me continue by saying what an amazing deal this was. We booked a special of $119 a night, which included breakfast for 2 @ the Mercat (our bill was $40+ each day)!! What a deal. Due to our Marriott status, we were upgraded to the club level, Room 2018, lake view king room! The room was perfect. Very large, lots of windows, perfect view, terrific bathroom (with a tv in the mirror!). I couldn’t have been happier. The hotel was very nice otherwise. We ate at the Mercat one evening for dinner. We found it to be quite expensive for the amount of food you get, tapas, is the name of a wide variety of appetizers in Spanish cuisines, but it was the perfect amount to have before going out and it was all delicious. We were even awarded a free dessert from the super nice server! There is a lot of history with this hotel, which made it extra interesting. As I said before, we were spoiled with the location of The Tremont, but this location was fantastic for certain things too. Museum campus was less than 20 minute walk away, you could see the Planetarium, Aquarium and Field Museum from our room actually. The L runs about two blocks behind the hotel as well, so that is walking distance too. We inadvertently walked from our hotel to the Sears Tower too, but that was quite a haul in the freezing temperatures, but possible. There were not too many entertainment options super close at night. We were able to walk to Bar Louie, a couple blocks away, but there is a Bar Louie in Newport, KY, near Cincinnati so that wasn’t new for us. There were a couple other bars nearby, but we were just playing it safe considering it was so late. Otherwise, terrific experience. I cant say we would pay the typical $200+ for this hotel, although it is worth it, I would rather pay half that and be in a more walkable area. We spend so little time in our hotel room when traveling.	
Jan 1 2009 	The Blackstone is AMAZING!!	The Blackstone was amazing. The room was large and beautifully designed. The bathroom was oversized and luxurious. All of the finishes were top notch.The service was great too. From the front desk to the bell boys and doormen. Everyone was terrifically helpful.They even arranged their hotel car - Lexus 600LS - to take us to our New Year's event. An unexpected little luxury.And, which is highly unusual for a full service hotel - they offered free internet.The restaurant - Mercat - was awesome too. Spanish tapas. The food and service were excellent.	
Dec 31 2008 	Great stay	This renovated hotel does not disappoint. Fireplace in the lobby was very appealing on a cold Chicago day. Have never enjoyed a better room or been treated better . Rate was excellent value for what we got. Recommend without reservation!	
Nov 4 2008 	Absolutely loved the Blackstone!	I cannot say enough good things about my stay at the Blackstone...was here on business in mid-October...absolutely EVERYONE working there treated us so wonderfully...I had stayed at the Palmer House back in March and the service didn't even begin to compare...if you have a choice, choose the Blackstone...you'll be very impressed!	
Nov 2 2008 	Perfect Location	This hotel has recently reopened from remodeling. It is walking distance to Soldier Field and a short drive to the United Center. We checked in around 6 PM on a Saturday and had no problem. The room was very nice, no complaints. The bathroom has only a shower, no tub, and the Marriott beds were very comfortable as usual. The room did have a snack bar, but it was very expensive. It also had a flat-screen HDTV, with all four main ESPN channels (the most important ones). There is also a Starbucks in the hotel and a candy-counter. The hotel doesn’t have a buffet and room service was way too expensive so we just went over to the Hilton (which is just across the street) and ate a very good buffet breakfast at The Pavilion for half the price ($22 per person). Check-out wasn’t a problem either, and they’ll valet your car for you. They even let us keep our car there after we checked out so we could go to the Bears game without driving around forever trying to find a parking place. It is a lengthy walk to Soldier Field, but it is worth it just to keep your car there.	
Oct 28 2008	Amazing Hotel; great location!!!	This is one of the nicest Marriott or Hilton hotels I've ever stayed at. This is a nice compliment seeing as I usually do about 280 nights/ year!! :) I heard they finished the renovation in 8 yrs and the Beatles Yogi bought this place and paid $125 million for the renovation. it sat vacant for 9 years. As you'll see in the pictures I've attached, the property looks more like a super trendy/hip boutique hotel. The staff is super nice and the executive lounge is very spacious and super classy. The attached tapas restaurant was also phenomenal and highly regarded in the area.I will definitely stay here again if I get the chance!!	
Oct 20 2008 	Excellent Stay	I stayed at the Blackstone for work and pleasure. Got an excellent room with a view of the Lake. The room was very quiet, the bed very comfortable, the shower terrific, and the bathroom very modern. The location is also excellent, tho a bit of a walk from from Water Tower. I would stay there again and highly recommend.	
Oct 14 2008 	Unbelievable!!	I have never been treated so well. I can't believe how friendly everyone was. We got an unbelievable room. Very big and beautifully decorated. The bathroom was awesome! There was even a tv in the mirror! We will definately go back.	
Sep 29 2008 	Great Hotel! I highly recommend	I must say that I was just HAPPY to get a room on priceline at a price that my company could afford in downtown Chicago, much less this one! I had never heard of the Blackstone, my ignorance, but now I can't let it go! I even extended my trip I enjoyed it so much! The lobby and Art Hall are just beautiful! The hotel was carefully restored and is just stunning. The rooms are bright and airy, with nice finishings and great Lather products in the marble-filled bathroom. The ipod docking station was perfect for my iPhone. The hotel is quiet, a calm oasis in the middle of the city. I loved the leather Eames chair in the room as well. I would have liked to been a little further north on Michigan, but hey, we can't have it all, right? The service, to me, was what really made me go and write a review. Friendly, professional, and just eager to please. There is also a great Tapas place and a 'real' Starbucks (not just a kiosk with a thermos) in the hotel, on the main level, if you are interested. I would 100% recommend this hotel and will definitely stay here again!	
Sep 22 2008 	Pleasant Surprise	My wife and I had originally booked a room at the Hyatt, but due to issues outside of the Hyatt's control they reserved a room for us at the Blackstone. We were very pleasanty surprised. The rooms have all been nicely updated and are very modern. The location lends itself well to anyone wanting to visit the Grant or Millenium Park, the Museum Campus, or Navy Pier. If you were up for a little exercise you could walk to shopping on the Miracle Mile or take a short cab ride.We had our two small children along, but the hotel is probably best suited for couples. We'd love to come back for a weekend without the kids.	
Sep 3 2008 	Really Enjoyed the Location and the Staff	My husband and I stayed here for 4 days and 3 nights during the Labor Day weekend. We typically visit Chicago at least once a year and this is the first time we've stayed at the Blackstone. The location was great - we had a wonderful view of Lake Michigan and Grant Park. We were able to walk to the Shedd Aquarium and some of the museums in though there was a free trolley available just steps away from the hotel on Michigan Ave. The staff was friendly and seemed genuinely concerned about whether we were enjoying our stay. The only disappointments were not getting the fridge we requested with our reservation until the second day of our stay and some issues with the room thermostat. The room never quite cooled off to the temperature we set and it was a little warmer than Labor Day usually is in Chicago. Those were not huge issues and the staff was very apologetic about them -- we would definitely stay here again.	
Sep 2 2008 	What a Great Place!	After receiving a couple of suggestions of hotels near the Auditorium Theater in Chicago, I settled on The Blackstone. It was a birthday surprise weekend for my wife. All I can say is she loved it!The Blackstone has been closed for about 8 years. It was due to become condos but the deal fell through and the Marriott Corp. picked up the property. We were somewhat nervous when the hotel wasn't listed in any of the guide books we had. The reason for not being listed is the hotel has only been reopened for about 5 months. There was no reason to be nervous.We checked in early on a Friday morning without any difficulty whatsoever. We were there at about 10:00am, but our room was ready so they allowed us to check right in. We were told by the front desk that we had been upgraded to a lake view room. Our room was on the 14th floor overlooking both Michigan Ave and Balbo. It was a corner room that had it's own entry hallway! On the lake side we had 2 huge windows and a third smaller window. The Balbo side had one huge window. The decor is very modern although the hotel dates back to the early 1900's. The bathrooms are all marble with huge walk-in showers and rainfall shower heads. Again the bathroom fixtures are all very modern styled. The king bed was super comfortable with lots and lots of pillows.Our weekend package included breakfast, so we ate both mornings at the Mercat restaurant. It was very nice but a bit pricey.One floor of the hotel is called the Art Hall. While we were checking out the Art Hall, one of the hotel folks asked if we had seen the ballroom. Of course we hadn't and he opened the doors of Art Hall which put us in the balcony of the ballroom. It was awesome. A brilliant flower patterned rug was the focal point of the room which had just been finished and was going to host their first wedding this coming weekend.The hotel lobby is again a mix of old world hotel with a modern touch. All very cool. The staff was there whenever you needed them and everyone was very eager to please. Our package included Citypasses for the 2 of us. They had run out, so the concierge just told us to go see whatever museums we wanted and save the receipts and they would reimburse us. That worked out very well as we did want to make the most of every minute we had in Chicago, and waiting around for passes wasn't on our itinerary.I would highly recommend this hotel. It is very beautifully restored and the staff is very eager to please.	
Sep 2 2008 	What a Great Surprise for her Birthday!	I decided on a surprise for my wife in the city. Unfortunately, like many others, family life and children don't always allow us the opportunity for romantic getaways. I searched for the right place and I sure am glad that I found The Blackstone Hotel. Located sweetly on Michigan Ave, across the street from Grant Park. This was ultra convienent because it was also the weekend of the Chicago Jazz Festival. First thing we noticed when we went in was the nostalgic lobby (except of course the Starbucks downstairs). The employees were friendly and courteous and gave us our room on the 18th floor. The Deluxe suite was loaded with modern decor an amenities that were hard not to love (HD flatscreen TV, iHome alarm clock, etc.) The bathroom was spacious with quite a unique (in a good way) shower. The only thing lacking was great water pressure. But probably the most important aspect, the bed, was right on point. Spacious and comfortable king with down comforter and down pillows. What's not to enjoy?I plan for us to go back again. It definitely left a mark on us, and we loved our getaway. I imagine you will too.	
Sep 1 2008 	Didn't want to leave!	My husband and I had friends who had their wedding and reception at the Blackstone on Aug. 30th. According to the staff, it was the first wedding at the hotel since the renovations. We were both in the wedding party and were privy to many of the things behind the scenes that the guests were not. I speak for both my husband and I when I say that we were blown away at the level of service and the quality of the stay over the course of the weekend. Our friends had hired a wedding planner, but the staff at the hotel , especially Flavia, were the ones who really made the wedding day as special as it was. All of the staff were very accomodating and attentive to the bride as well as the groom, going above and beyond making sure that needs were met and that everything was taken care of. The rooms were wonderful, modern touches but very comfortable. The bride had booked the &quot;Smoking&quot; suite (one of the rooms with quite a bit of political history) for her over the weekend. We have NEVER seen a room as spectacular as this -the view overlooked Buckingham Fountain, Navy Pier and Lake Michigan, there were 2 bathrooms and the master bathroom has a TV in the mirror and there was a bedroom a sitting room and a combined dining and living room. The crystal ballroom was where the reception was held. The room was amazing and the hotel staff, including a manager, was present during the entire night to make sure that things ran smoothly. We live in Chicago and could have easily gone home, but wanted our time at the Blackstone to be extended as long as possible so we were more than happy to have stayed overnight. This was the best hotel we have ever stayed in, this includes the Ritz Carlton in St. Thomas we stayed at for our honeymoon, and would highly recommend it to anyone who is looking for a place to have a wedding.	
Aug 18 2008 	A Step Back into History	Traveled back to Chicago to celebrate our wedding anniversary. After looking at numerous hotels on North Michigan Ave. we tried something different, stayed on the garden side of South Michigan, and are we glad we did!! Everyone, from the front desk clerk to the maids were very nice. The room was Outstanding. Compared to the cost for the hotels on Michigan Ave. The Blackstone is a diamond in the ruff. After a 128 million dollar remodel, this will be my hotel to stay for years to come. I can't find anything negative about the property and made a reservation as soon as we got home to stay again next month. The view from our room wasn't the best, but walk out the doors and one block away is Grant Park, a few more blocks is the Lakefront. You can't go wrong with the Blackstone!!	
Aug 11 2008 	Wonderful Hotel Great Staff	There were 8 of us that stayed at the Blackstone on 8/9/08 for a Cubs baseball game. I booked 3 rooms through priceline and got a really good deal going that way. I was excited to see the hotel we got, and was looking forward to my trip back to Chicago. At check in we were informed there were no double beds available, which kind of put us in a bind since we had 2 couples sharing one room, plus there were no cots available, so we had 4 people in a king bed. I do have to say they were very apologetic and did bring us extra pillows and blankets, plus upgraded us to the 20th floor. Unfortunately when you book with priceline you can not request certain types of rooms. The rooms are very well decorated and very clean. Being on the 20th floor we had a decent view of the skyline. We did not eat at the restaurant, but did stop in for bloody marys before leaving for the game, and that was one of the best bloody marys I have ever had. The red line is only a few blocks from the hotel, and not hard to find. There are a few bars within walking distance, including Legends (Buddy Guy's bar), unfortunately when we went up there on Saturday night they wanted a $15 cover. Since none of us are big blues fans we decided to skip that and walk up to the small bar on the corner that had very good prices on drinks and very friendly service. If you want to go to the Navy Pier it is about a $9 - $10 cab ride. We did go to Dick's Last Resort for supper. One of my favorite places in downtown Chicago. The rest of the trip was the Cubs-Cards game, so spent a lot of time around Wrigley and hitting the Cubby Bear. Checkout on Sunday was very fast and efficient. They made a point to make sure our stay was without any trouble. I would definitely stay at this hotel again. They definitely have done a great job of upgrading this hotel, and the staff makes it #1.	
Aug 7 2008	Neat stylish retro hotel	Just stayed a night at this hotel. Booked an oversized room, and it lived up to the billing - 2 Queens, good sized desk, lounge chair, very large bathroom, and lots of room between everything. Kind of felt like an apartment it was so big. Decorated in a chic, retro decor that works a lot better than some of the minimalist retro properties I've stayed at elsewhere, it really works here and gives the property a luxorious feel. Property overall had a neat feel too, with good service at front desk and tapas restaurant in front lobby (tasty food too). Property undergoing some renovations, something you might want to ask about, but I was in an upper floor and it was a non-issue for me. I really liked this hotel, wouldn't change a thing and would definitely stay there again.	
Aug 7 2008 	Cost me extra to stay here	I stayed here as the media guest of a large company, and though I'm happy to report that the rooms are very nicely updated, they are also quite small and you're going to pay extra ($15) for DSL internet access. The beds are great and the door staff are very friendly. The only problem is that the desk staff are kids and barely know what they're doing. I had given them my credit card for incidentals and reminded them when I checked out, &quot;Now, you're going to charge the room to THAT card (my sponsor's) and not THIS card, right?&quot; Confused, 21 year old called over the 25 year old manager, who pointed out the card the room was supposed to be charged to, and I was assured there would be no problem. Sure 'nuff, I get home and find they've charged $600 to the wrong card and my checking account is now overdrawn. $100 in overdraft fees and hours of attempts to fix it, I'm still waiting for my money to be refunded a week later, and they've already charged the other card. Does that sound like a 5-Star hotel? Not to me.I won't be back.	
Jul 25 2008 	Unique and Hip while maintaining the historic charm	I work for another hotel company but our hotels were full so I booked here as I had heard a lot about this recently renovated hotel. I was not dissapointed! They have kept the historic charm but at the same time it looks very trendy and cool. The hallways and public areas are unlike most cookie-cutter hotels. My room had a wonderful view of the lake and Fountain, and while it may have been a little small, it made up for it with a large stone entry cooridor and expansive bathroom with the largest showerhead I have ever seen. Healthclub was great as well, very large with windows and VERY hi-tech treadmills. Staff was friendly and helpful. Only issue was that room service was quoted as 45 min and took well over an hour - hotel was pretty busy.	
Jul 17 2008 	You will definitely like the Blackstone	I just finished a four night stay at the Blackstone and just thought it was great. The remodel came out great, the room was very large and the staff couldn't have been friendlier.I searched a number of places before deciding on the Blackstone and it is close to a 5 star hotel but at a much better price.The new lounge and restaurant on site are also excellent. The restaurant seems to be a hot spot for locals, probably because it's new and has received good reviews, and that just makes the whole experience that much better.I stayed with my brother and father (Cubs weekend) and we ended up with a room with two queen beds - which, as it turns out, means the room is even larger (huge, even) and the roll-away didn't make any difference. The room was great and my dad thought it was a suite it was so big.Can't say enough good things. I'm sure people can have bad experiences (just like any hotel) but the Blackstone itself is definitely a good call.	
Jul 13 2008 	Furnishings and location were nice service was not	They screwed up our reservation. Instead of a &quot;deluxe lakeview room&quot; we got a view of a brick wall on the street. The front desk clerk blamed it on Expedia. I've never had any hotel complain about Expedia before. WHen I called Expedia they tried to take control of the situation, but the hotel was uncooperative, even though the hotel had faxed Expedia a signed confirmation of the room type, according to Expedia. Manager Kate was a cold fish. She said that the Blackstone did not guarantee the room type. I pointed out that I had paid $50 more to get the view. She didn't offer any solution. I said I’d take the lesser room for the usual price. She emitted heavy sighs and said she’d call Expedia. I called Expedia 30 minutes later but Kate had not called them. I decided not to ruin the day and gave up. Upon checkout, the manager (nice black guy, didn't catch his name) called Expedia and confirmed that the charges had been reduced. Other problems: a clerk took our wakeup call request, but someone called at 6:30 instead of 9:30 (on Sunday!). I never got back to sleep because of all the sirens and street noise. The shower door was clear and the bathroom door was semi opaque glass, so you might not want to share this room with someone unless you are good friends. Beds were comfy for one but not for 2 people. Decor was pretty posh but more contemporary corporate than homey. Parking was $46. The valet guys were very nice. The location was perfect for Taste of Chicago.	
Jul 6 2008 	Expensive but wonderful	I stayed at the Blackstone for a work related event. It was really beautiful. Very nicely restored. If you can, try for the Lake View rooms. I had one and had an incredible view of Lake Michigan and the Navy Pier. There are fire works at Navy Pier on Wed and Sat and I got a great view of them from my window. The staff was 100% helpful to me. Definitely recommend it, especially if it's a business expense!	
Jul 2 2008	Wonderful Stay!	Just returned from a four night stay at the Blackstone Hotel in Chicago and had a wonderful stay.I called the hotel a few days before arriving and asked if I was able to take the &quot;El&quot; (subway/train) to the hotel. The concierge told me that I can take the Blue Line from O'Hare airport to the Jackson station and grab a cab and it would only be a few minutes from there. If you don't have too much luggage, you can easily switch to the Red Line at Jackson and take one stop to Harrison and the hotel is only a couple of blocks away. Train tickets only cost $2 a person so it can be a very cheap way to get to the hotel. The train ride will take close to an hour. Once you get out of the Harrison stop, just look up at the skyline. It is very easy to landmark the hotel with its red exterior and distinctive green top. The hotel is located on the corner of S Michigan Avenue and Balbo.As many have noted, staff are very friendly and greet you as you enter and exit the hotel. Check in was quick and we were given a room on the 17th floor with views of Soldier Field, the Field Museum, Shredd Aquarium and Adler Planetarium. The hotel throughout is beautifully and tastefully decorated. I particularly liked that the room had a little collection of books on Chicago. I thought it was a nice touch. The alarm clocks also had an ipod dock so you could listen to your ipod in the room. There is a coffee maker in the room and a Starbucks downstairs so there was no problems getting your morning caffeine. We were in town just in time for Taste of Chicago and it took place in Grant park so we were literally across the street from all the action. It was an easy walk to many of the cities attractions. We walked all the way down through Grant Park, Millenium Park, to Navy Pier, through the Magnificent Mile and to the Hancock Building.Everything exceeded expections except for Housekeeping. They provided lush and comfy bathrobes and I wanted some slippers so I called for some only to be told they were out. Daily housekeeping I found was inconsistent and didn't go as good as a job as I would have liked. But that is a minor complaint.Overall this was a wonderful hotel and I would highly recommend.	
Jun 19 2008 	Beautiful and friendly	The hotel is beautifully elegant, traditional yet contemporary. Staff greets you at the door upon entry and exit, very helpful and accomodating. My room was immaculately kept, room service responsive even thought it was a very busy week for downtown hotels. My only regret is that my wife was not there to share it with me. I had a great view of the lake and parks across the street and enjoyed one night of fireworks from the 21st floor. I did not eat in the restaraunt, I opted for the Hilton across the street but wish I had tried it. The only thing lacking was shuttle transportation to McCormick Place but the HIlton provided that. You will not be disappointed with your stay, I highly recommend it.David Gulotta, New Iberia Louisiana	
Jun 14 2008 	Very pleased--location non-smoking new refurb etc . . .	Thrilled with location--only about 2 blocks from the Red line. Being on the back of the hotel (17th floor) the noise from the El was noticeable. Had the noise been constant it would have drifted into the background and been more white noise than anything. In fact it almost sounded like the ocean. But since the noise came and went with each train it seemed to stand out a little. I usually travel with a portable fan but didn't this time. Had I had it on, I wouldn't have been bothered by the El noise. This wouldn't prevent me from staying here again--I'd just be sure to bring my fan.Room was confortable, if a tiny bit small. The large bathroom and tiled foyer in the room made up for it. Decor in the room was excellent.The walk-in shower had a glass wall separating it from the rest of the bathroom. The wall wasn't long enough as a little water pooled on the floor.Getting back to our room one day at about 5:00pm discovered that the room hadn't been straightened up yet. After a quick call to the front desk, they apologized and sent someone up while we were out at dinner. Really was a non-issue for us but wanted to mention it as example of how quickly the hotel staff responded.Didn't eat on property as prices seemed excessive. Prefer to eat in the local/family run places anyway. Would recommend this hotel to friends.	
Jun 10 2008	Blackstone excellence	Superb service and staff, excellent room, comfortable beds, excellent internet..what more is there to day?	
Jun 9 2008 	PERFECT!!!	If you're looking for an eclectic, modern spin on a historic hotel, then this is the place for you! Known as one of Al Capone's favorites, and completed in 1910, this one is one from the movies! On Michigan Avenue, within walking distance of nearly EVERYTHING in Chicago. Valet was exceptional, check-in was a breeze. The on-site Tapa's restaurant was wonderful. Our room was decorated to the &quot;T&quot; for a restored hotel. Tiled floors, down comforters, bright colors and EXTREMELY clean. Our view in the day was nothing to write home about, but the night view of the Sears Tower and Hancock was SPECTACULAR! The other side of the hotel would face Michigan Ave and the Lake, so it would be even more beautiful. We loved every minute that we spent in our room (almost as much as our Chicago experience itself!) Would recommend again and again and again! We'll be back!	
Jun 3 2008 	Trying to be a Kimpton hotel	I was there for a conference from May 22-28. I would give it a 3.5 because of some issues, but some issues were probably specific to our situation. The Good:1. newly refurbished, modern furniture etc.2. very clean room3. very nice staff4. cute bar, although a little small5. nonsmoking 6 Starbucks in front7. good lunch restaurant8. great locationThe Bad:1. Even though this was a conference and there were 4 of us in the room, we had a difficult time getting them to guaranteee 2 beds 2. Beds were soft and there were too many pillows. 3. Too much cuteness without practicalities - e.g., the shower stall door went from floor to ceiling, but opening it produced a lot of noise in the bedroom; lots of metal bathroom fixtures (soap dish, garbage can), which also made noise if touched; only one towel rack in bathroom, so we couldn't conserve our towels3. Housekeeping continually left us only decaf coffee. They quickly brought us more when we called, but this happened reapeatedly.4. We were overcharged for internet use and for parking (we didn't have a car). It took a long time for them to sort this out when we departed.5. Bar closed early on Memorial Day - we were told it was last call, but then people (apparently bartender's friends) came in and were served.Special IssueWe asked for a fridge and microwave because of a medical condition requiring preparing own food. They provided a fridge, but the only outlet in which it coudl be plugged was controlled by a hall-switch by the door. Even though we put a sign over the switch, housekeeping kept turning it off. Hotel couldn't provide a microwave and told us that the Executive Floor was still under construction (which it wasn't). My husband had to call them to come get his food and take it downstairs to be microwaved. Bit of a pain, but in the future we know to find a hotel with a kitchette.	
May 17 2008 	Beautiful hotel but not without a couple of gripes	Stayed here in the 30th April 2008. Was extremely luck as the night we checked in we were informed it was the official opening and were treated to explore the hotel and sip champagne. In the ballroom we ended mingling with Chicago's high and mighty. After a good start it got even better. The room was beautiful, fantastic bed, flat screen tv and tastefully designed BUT as much as I don't want to fault The Blackstone I unfortunatley have to. I brought to attention 3 times the fact that our bedside lamps were not working and nothing was done, it was not a big deal seeing as we were only staying 2 night but still after 3 complaints even an acknowlegment would have done for me . I think they should also reconsider their windows. We woke really early from the sounds of the morning rushhour and L train. I understand it's downtown Chicago but I never had to wear earplugs in a hotel before. Again under the understanding of location and prices etc.... I still thought that the breakfast in room was ridiculously over priced. It cost nearly $70 for two unspectacular omelettes and a pot of coffee, $18 for the coffee alone and not as good as the Starbucks at the front of the hotel. There was not much choice on the menu either. Ironically I really enjoyed staying in the blackstone. All the staff were very friendy. The location is perfect for anyone visiting Chicago as you are right in the middle of all the action. Shopping is 5 mins left as you walk out the front door, tourist trails and spots are right on your doorstep. The gym has all state of the art equipment with beautiful views from the 6th floor. A hotel that is steeped in history and class, somewhere I would definitely stay again	
May 3 2008 	Awsome Hotel	Before my stay I heard some bad reviews about this hotel and staff. Upon my arrival there was nothing but top notch care and pampering from every employee at this hotel. The hotel is breathtaking and in a perfect location to transit for anywhere in the city. The rooms are all done in modern time while the hotel is like going back in time with the ballroom to the lobby. while there I could just go back in time to think of all the festivities that happened there long ago. I highly recommend this hotel.	
Apr 16 2008 	Outstanding Hotel - lots of hostory wrapped in a brand new look	Don't normally like to stay in older hotels but the Blackstone is a brand new old hotel. Lots of history wrapped in a brand new look. Rooms are completely redone and modern. Hotel staff was very friendly and attentive. The hotel gym was larger than most I have been in and had brand new equipment. The restuarant on the first floor is also very good if you can get in and don't want to go to far from the hotel.	
Apr 15 2008 	Great new hotel with central location	Just got back from 2 nights at the Blackstone. Room was excellent and spacious - marble floors in entry and bathroom, flat screen tv, high end furniture. Really the service is what makes the hotel stand out. You could not walk by any employee without them saying hi to you, holding the door open, etc.I would highly recommend the hotel if you are planning to go to the museums. It is about a 10-15 minute walk through Grant Park to the Field Museum, Aquarium, and Planetarium, but you cannot get much closer in terms of a hotel. The Art Museum is about a 10 minute walk also the other direction.If you are taking the train into the city, get off at the Van Buren Station and its an easy walk to the hotel (you can use this same stop to get to the Science Museum). Otherwise parking is $46/night at the hotel or around the corner on Wabash you can overnight for a little under $15 - we didn't go this route but we walked past this cheaper garage on our way back to the hotel one day.	
Apr 9 2008 	Wonderful gem with few rough edges	Our stay at the brand new/greatly historic Blackstone was a terrific experience. The renovations have been very well done, adding contemporary furnishings and gadgets to the classic structure. Our only issues were with some service aspects which appear to be not well worked out yet, such as housekeeping not servicing our room until 6 pm and a clump of valet parkers who ignored us (we ended up in the Hilton lot across the street, marginally less exhorbitant). The hotel has a great future, building on a spectacular architectural treasure in a perfect location.	
Apr 8 2008	The Blackstone - New Chicago Landmark	The Blackstone (So. Mich. Ave. @ Balbo next to the Hilton Chicago) has been beautifully rehabbed and updated by Marriott as a Renaissance property. Having stayed there in '99 when it was independently managed, the improvement is impressive indeed. Friends and I booked 3 separate rooms and all of us were more than satisfied - especially given we had senior rates. My large, marble bathroom had a walk-in shower with a rainfall shower head and top-of-the-line amenities. The staff to a person is eager-to-please. The location is hard to beat being within walking distance of Millennium Park, the Art Institute, Orchestra Hall, and the El. There's an on-site Starbucks and a Spanish-themed bar and restaurant which, while pricey, features well-prepared, and imaginative food. Being as new as it is, the staff really goes out of its way to make one's stay as pleasurable as possible.	
Apr 1 2008 	Live up to my expectations	When I booked this hotel I had very high expectations, I have already seen the pics on their web page and it simply looked fabulous. I have to say that The Blackstone didn't let me down. The rooms are cozy, you feel at home. They really have made a good job of the renovation. During our stay, not everything went smoothly, we had to move to another room because of some piping works. However we never felt something wrong with our room. Despite this little hitch, my evaluation is 10 out of 10.I highly recommend this hotel if you can afford it.	
