	Great hotel!	The staff was amazing.The breakfast and dinner was perfect. Saved us tons of money and was perfect for the kids.Great location!	
Apr 3 2008 	Medical Conference	Was Here March 29 thru April 1.Pro's: [quite a lot]CleanFree wired and WiFi internet in roomsComfortable beds with plenty of pillowsBreakfast buffet : always with a meat servingCon's: [few and only mld]Only 2 elevators, but waits were not longI was very happy with my stay and will be back when business or pleasure opportunity presents.	
Apr 1 2008 	Had a nice getaway	The Mrs and I decided to get out of Texas for a few days. We picked the Homewood because of location (Near just about everything). Staff very nice, very helpful. Clean room (Some spots no big deal). Neighbors upstairs got loud, but the hotel took care of that quickly. Looking forward to staying at The Homewood again (Just next time in the summer).	
Mar 31 2008 	A surprising finding	We were attracted by the rates offerd by the website of this hotel and our stay exceeeded all expectations. All rooms have a spacious sitting area with a small but very useful kitchen and an adequate sized bedroom. The latter would do with some more space, but this does not matter as most of the time is spent in the sitting room. The hotel also offers free wifi throughout.We found the hotel very convenient located for all shopping and main attractions of Chicago. The breakfast offered are adequate and there is a free evening buffet every night except weekends. The latter is not particularly exciting, but it is a nice touch and particularly convenient if you have kids. The hotel is close by to some very good restaurants and it even have a direct line to some of them to order carry out! There is a small swimming pool and excercise room at the top floor and both offer great views of the city.On the negative side was teh smell in our room, which although was in a non smoking floor it clearly smelt of smoke. The reception and general service are not particularly effective or attentive but this does not matter that much as you have very minimum contact with them - the reception is at the 8th floor of the building. We found the value of this place unbeatable especially for what it has to offer and we would happily recommend it.	
Mar 25 2008 	Very Nice!	We stayed here March 21st and had a great experience. The rooms are very nice and clean and had a great view from the 18th floor. There is a heated pool and a cardio room on the 19th floor and it is all windows so you get an even better view from there. The breakfast buffet was great(according to my fiance...I wasn't hungry).The front desk staff is extremely friendly and the valet was great as well. The hotel is located within walking distance of most of the major shopping and only 7 blocks from Navy Pier. The only complaint that I had was that the wireless internet would only work in one spot at the corner of the bed in our room. Overall, it was a great stay and I will definitely recommend it to anyone that asks.	
Mar 24 2008 	The BEST Hotel	Have no hesitation booking this hotel. To start, the rooms are ample in size, a bedroom,bathroom, living area and kitchenette. Theres a Tv in both the bedroom and living area. The rooms are nicely decorated and spotless clean. The staff at this hotel are extremely friendly and helpful from the reception to the doorman. The breakfast buffet and the evening meal which is included in the price of your stay is great too. Also there is complimentary tea cofee and hot choclate available all day from the reception area. I could go on and on about how good this hotel is...but I won't. All I'll say is if your going to Chicago BOOK IT. The location is great just beside Mischegan Avenue. The staff are the friendliest and most helpful I've come across and the hotel itself is lovely. When I booked this hotel it was number 14 on tripadvisors top Chicago hotels. Its 7 now and I won't be suprised if it creeps up to number 1. I've dowmloaded pictures I took during my stay. Oh and heres a tip if your going to Chicago, go to see the Jerry Sringer show just up the road from the hotel its hilairious. You'll get free tickets by emailing the show(addreess is on their website).	
Mar 19 2008 	Wonderful Location Good Hotel!	The Homewood Suites in downtown Chicago is a fabulous place to stay -- a real deal given the rates the the superb location.The hotel is not fancy, but is perfectly adequate. Suites are quiet, nicely furnished and well equipped. Nice touches such as lots of soft, thirsty towels, flat screen TV, free internet elevate this hotel above much of the competition. Of course, each 'unit' is a suite! There is a full buffet breakfast served every morning -- nothing grand, but adequate (beware that it closes at 9:30 on weekdays); small pool and fitness area as well as access to a great Crunch gym next door. Staff were uniformly pleasant and accommodating -- a real bonus!!!Best of all is the location -- the Mag Mile is one block away, river north is full of wonderful restaurants for all budgets, you are within walking distance of the Loop attractions as well as subway station a few feet away! Good off-site parking is available next to the Hilton Garden Inn as well if you want to save a few dollars.For the price, with breakfast, room to spread out and fab location -- the Homewood Suites are wonderful! Enjoy!	
Mar 16 2008 	wonderful hotel-great location.	We are checking out of Homewood Suites today. Great hotel! It is located where you can walk to everything. There are great restaurants all around the hotel. The breakfast buffet is awesomeand a full hot breakfast, There is a full kitchen and 2 separate rooms in the suite. The pool is indoor and heated on the 19th floor. The beds have great linens and there are plenty of thick towels provided. It is quiet and our room on the 17th floor has an incredible view. You can ask for a room with a view or high floor when you make your reservations. Very clean and spacious room. We will definitely stay here again!!! BTW-check out time of 12 noon is great for catching afternoon flights.	
Feb 29 2008 	The staff make this a really good place to stay.	This could easily have been another anonymous box to stay in, but the staff make it really special. The hotel is in downtown Chicago, 5 minutes walk from the Michigan Avenue 'Magnificent Mile'. All rooms are suites, with a cooker, hob, pans and crockery. Breakfast is free, and there is a free evening meal on weekdays if you are on a budget (we didn't try it, but it looked OK - there seemed to be draft beer and carafes of wine). There is a gym and a pool. It's very child-friendly and would make a great hotel for families. We paid $140 plus tax's per night for an 8 day stay - this is very good for central Chicago. But its the staff who really make this hotel - very friendly and helpful - quite special.	
Feb 19 2008 	First Chicago Trip	Homewood Suites Downtown is a good choice for the family traveler. The view of downtown buildings is great at night. The central location allows for walking to many stores and restaurants. At no time did we feel unsafe, although we were approached by many homeless folks, which can be said of many large cities. The rental car had GPS info, which was great for directions to the hotel, but was confused by all of the buildings when we went to leave (still found I-90 ok, had printed instructions just in case). Room service is available from PF Chang's, but there is a 20% surcharge imposed by the hotel and a delivery fee, neither of which are given to the delivery person. Breakfast each morning was excellent, with to go containers readily available to take back to the room. Staff was friendly. Pool was small, but exercise room was well equipped.	
Feb 18 2008 	Great budget hotel.....with a few extras!	My wife and I just returned from a wonderful weekend in Chicago and the Homewood Suites was much more than I expected. Since we were on a budget we wanted to get as close to Michigan Avenue as we could without giving up too many frills. This hotel was a great value. They offer a full breakfast buffet every morning which will save you a few bucks especially if you have the kids with you. I will warn you that the buffet is quite crowded on the weekends so you may want to grab a takeout box and eat in your room. My wife and I traveled alone, but we were in the minority. Lots of kids running around so don't book this one for a Honeymoon or anything like that. The hotel is located directly across the street from Nordstroms which is the quickest (and warmest) way to access Michigan Avenue. Grand Avenue actually goes UNDER Michigan Avenue so if you are not aware of your surroundings you will walk right past it (Remember, go through Nordstroms). The room was clean and spacious and if you are staying for a long time they will even do some grocery shopping for you. Again, great for the budget conscious. The doormen are hilarious and will help you find anything you need. All in all, I would recommend this to anyone that is bringing the family to Chicago and wants to save a few bucks along the way. Enjoy!	
Feb 12 2008 	Great Service in Chicago!	This was our second stay at the Homewood Suites in Chicago. Since last year they have updated the rooms with a flat screen TV, new flooring, and some updated appliances in the kitchen. What stood out the most was the consistent excellent customer service diplayed by the entire staff. From the doormen and parking valet, to the front desk and even the maids, everyone went out of their way to make you feel at home.The free hot breakfast buffet is a nice touch and the rooms are nice in size with a sitting area and full kitchen. The bed was exceptionally comfortable and the hotel is conveniently located less than 2 blocks from the Magnificent Mile. We booked directly throught the hotel website for only $135. It is an extra $35 to park your car for 24 hours, but you get in and out privileges at no charge. Based on the horific lack of street parking in Chicago, the $35 is actually not too bad of a deal. We had a great stay and it's wel worth the money for it's location.	
Feb 9 2008 	Good amenities spacious but Underwhelmed	I had a business trip to Chicago for 3 nights so I chose it for all the benefits it offers- free breakfast, free wireless, suite rooms. I paid $149/nite and while it was a good deal for the price I was not impressed with the rooms themselves. When I checked in around 10pm - the first room I got on the 8th floor which was supposed to be non-smoking was reeking of smoke. I didn't want to make a fuss but finally couldn't take it so called the front desk to either give me another room or have someone come with air freshener. The housekeeping came quickly with airfreshener and he agreed that the room smelled like someone smoked in it so they gave me a new room. The suites are a good size but a bit dark for my taste. Bathroom was stark and ceiling had water stains all over. Rug didn't look all that great /clean so felt like I had to have shoes on the whole time. I prefer hotels where I can kick off my shoes and just hang.. I'd stayed in a Homewood Suite before near Boston and thought it was fine but the Chicago one was a bit unimpressive. Overall I think if you were there with family - as it was for many guests it seems, it would be sufficient. Seemed like a great location, right next to PF Chang restaurant, Nordstrom, ESPN zone(?), overall pretty convenient. Again, the amenities are great - free full breakfast, free coffee/tea all day, free wireless access, etc. are all great. Bed is good, sofa is okay. Hardly used the kitchen but was pretty unhappy in the morning when I woke up to see they didn't restock my coffee... I have to say that I was underwhelmed - and didn't feel as comfy at Homewood as I did in Boston's Homewood. Personally, I wouldn't stay there again for personal or business reasons - not for me. I had plenty of hotel choices in Chicago for this biz trip and I kept kicking myself why I didn't choose the Embassy Suites nearby for $159/nite or stay closer to my office at the W - albeit for $209/nite... (albeit would have to pay for online access).. I've stayed in other Embassy Suites before and feel that their decor is usually more brighter/lighter and cleaner looking.	
Feb 6 2008 	We had a great stay at Homewood!	My husband and I went to Chicago with our two young daughters for a quick overnight getaway. We live in Michigan and the train ride was about 3 hrs. Check-in was not until 4pm and we showed up around 3:45 hoping to get right in. The front desk attendant let us know it would be about a 15 minute wait which was reasonable considering actual check-in wasn't until 4pm anyway. She was very nice and during our wait she even updated us several times. The issue however was that it took more like 25 minutes, which was inconvenient given our daughters are 8 and 6 and had been waiting for this trip forever!Anyway, besides that one thing, everything else was great. When we got to our room it was immaculate. There was a fridge, microwave, coffee pot, hair dryer, etc. The couch pulled out to a sleeper bed. There were two double beds in the bedroom area. Everything was tastefully decorated. The bathroom was normal, but still very nice with plenty of towels and when we called for toothpaste it was brought right up. We went to the top floor pool and it was great. No one else was there and we had the pool all to ourselves. I wish they had a hot tub but no biggie. The breakfast buffet was amazing. They had pretty much anything you wanted from eggs, hash, and french toast to fresh fruit, donuts and bagels. The drinks were juices, milks (chocolate or white and even skim), coffee, hot tea, hot chocolate or pop. And it was all free and all delicious. The kids thought this was paradise. Check-out was a breeze. I forgot to mention there were plenty of pillows on the beds and a super soft blanket. We slept great. Everything was quiet, there was plenty of hot water. I honestly can't think of anything bad to say about the place. It was great for the four of us and for $140 two blocks from Michigan Ave, I would definitely stay there again.	
Feb 3 2008 	Definitely coming back!	This was my first time in the city, but my husband has traveled here before. I was expecting the normal city attitude....rush, rush, with not the cleanist atmosphere but acceptable for a big city.....however I was very pleasantly surprised! The hotel was amazing, for the rate we paid we werent expecting to be so satisfied. The staff was super welcoming and friendly, from the personalized welcome message left on our room machine after check in, to the fresh hot breakfast and super friendly staff. Always greeting you and willing to help with anything. Whether its just holding the door and wishing you a good evening as you venture out for dinner or giving you a run down of the &quot;must see&quot; locations during your visit. And if you need a cab, don't worry...The door men go out of thier way to hail a cab and provide some entertainment as you wait! I would have thought we paid much more. This hotel does not take any short cuts. Rooms were spatious, clean, and provided a warm atmosphere with an outstanding view! I will deffinetly book a room at this hotel for my next visit to the windy city!	
Jan 21 2008 	Great place to stay in Chicago!	I had a wonderful experience at Homewood Suites. The hotel is in great location...right next to Michigan Ave and less than two blocks from a Red line stop which made it easy for me to get around Chicago. Upon arrival, I found the staff to be friendly and helpful. I was impressed with the cleanliness of the hotel and the amenities that they offered. I plan to stay there again on my next trip to Chicago.	
Jan 14 2008 	Great Hotel	stayed at this homewood for 9 nights, made my choice after reading the reviews and I wasn't disappointed at allthis hotel has many many qualities:location, 5 minutes from Michigan Ave,rates, we booked on hilton.com and paid $150/night,big rooms, well furnished, great bed,an awesome breakfast (I was excepting the usual buffet) the choice is just incredible,a welcome home buffet with drinks and (again) a great choice of food,and the hotel staff, everyone was very nicewill stay there again	
Jan 10 2008 	Best Hotel I've stayed in by far	I am just back from staying in the Homewood Suites Chicago. Myself and 3 others stayed there for a week over the New Year. I can not recommend this hotel highly enough. From its location to it facilities we could not have asked for more. It is located only a 3/4 min walk form Mag Mile (where all the shops are), there is a Nordstrom right across the road, plus there are loads of bars and restaurants all within 5 min walking distance of the hotel. The complimentary breakfast was ideal to set you up for the day with all tastes being catered for, all the &quot;light meal&quot; they provide on mon-thurs (also complimentary) is just enough when you want to unwind after a long days shopping/sightseeing. The hotel also has free internet access which was a real help when we wanted to look something in particaular up.The rooms were fantastic, the most comfortable beds i've slept in in ages, the seperated living room and bedroom were ideal when there was a dispute over the telly or one person wanted to sleep.The staff at the hotel were brilliant, especially the lads at the conceigerge, they couldn't have been more helpful, no matter how trivial your question.All in all we had a fantastic time in chicago, and we will definitely being staying in Homewood suites the next time we go. I have friends already planning on staying there when they visit during the year.	
Jan 8 2008 	Our family loved the Homewood Suites!	Our family of six stayed at the Homewood Suites January 2-4, 2008, and it was the perfect choice! This is an all-suite hotel, and each suite has a full kitchen (including garbage disposal, range top, and dishwasher!). The bedroom is a separate room, so it was great to be able to put the kids down for the night and enjoy watching movies with my husband until we were ready to go to bed. A suite with two double beds (which is what we had) sleeps six very comfortably...especially since both rooms have a TV, which meant that I wasn't stuck watching Cartoon Network 24/7. :-)The breakfast was just wonderful! It had all the usual complimentary continental breakfast fare, plus fresh fruit, granola, and yogurt to make your own parfaits...plus a great variety of hot items! This is a great, hot breakfast, which we particularly enjoyed since the weather was so horrifyingly cold while we were in Chicago.We didn't avail ourselves of the complimentary evening meal, so I can't speak with any authority on it...but based on everything else we saw, I'm sure it was very good also.Since we had kids with us, though, I CAN speak with absolute authority on the pool, which is located on the top floor of the hotel and which has the most beautiful view of the city in three directions! It was particularly stunning after dark! Even if you don't plan to swim, it's worth the elevator ride to check out the view.Finally, the location was absolutely ideal! The Homewood Suites is less than two blocks from Michigan Avenue (and its easy bus access) and less than two blocks from a red line subway station. And there is a Jewel/Osco just two blocks away...perfect for picking up CTA passes, snacks, and groceries.The Homewood Suites isn't a fancy-schmancy hotel like the Four Seasons or the Peninsula, but there is a good reason why TripAdvisor members have ranked it the best hotel in Chicago for families: it is the PERFECT hotel in the downtown area for families with kids!	
Dec 31 2007 	Excellent deal. Perfect choice for visiting Chicago.	My wife and I stayed 3 nights at the Homewood Suites Chicago Downtown and I can tell you that we were absolutely satisfied with the Hotel:- The room was huge, with a complete kitchen, a living room with a great flat TV and a separate dormitory with another big flat TV. We also had good views from the street.- The dinner service was a great deal. Breakfast and dinner were included in the price of the room. And both were all you can eat buffets with a good food quality!! You can even take food to your room with a Tupperware (that you find in the buffet)!!!.- The staff was really nice and always ready to help you.- The location is perfect, in the city center within a four minutes walking to the magnificent mile, and next to the famous Uno's legendary Chicago Style Deep Dish Pizza!What else can we ask for? Homewood Suites Chicago is a perfect choice!	
Dec 31 2007	absolutely...wonderful	i was in chicago from september 17-22 for a convention.. my company booked this hotel for me. the hotel is centrally located , michican ave is less than a block away. perfect location! the suites are huge with comfy beds and a beautiful kitchenette. breakfast is the best... bountiful.. not just muffins and toast... i mean everything you can imagine...waffles, bacon, sausage , hash browns, toast, danishes, omelets, burritos, all freshly made... not artifical... really good. and clean .. also they have a free dinner... buffet.. excellent... mexican night, chinese night, american fare.. all included.. wine and beer also.. well worth the expensive price of $279 a night. a very classy and clean hotel.. i love chicago... will come again!	
Dec 28 2007 	Best in Chicago for My Money!	There is no hotel in downtown Chicago that gives you so much for your money. The Homewood Suites is NOT a fancy hotel. It does not exude class and high society. If that's what you are seeking, go elsewhere.If you are looking for a clean, comfortable hotel with plenty of leg room, this is it.The Homewood Suites Chicago is in an awesome location. One block from Michigan. ESPN Zone shares the same building.We have stayed at the Amalfi and the James. Both &quot;classier&quot; hotels. Both of those two I recommended. But the Homewood Suites was less thanhalf the money of those two and had a free full breakfast. There is nobreakfast at the James and the Amalfi only offers pastries. The staff at the Homewood Suites was outstanding. I needed ice. They were at my room with ice in 3 minutes with a full 10-pound bag.The refrigerator, microwave, stove, wireless internet and plasma TV really helped to make this hotel a great place to stay.NO ELABORATE LOBBYNO FANCY ARTWORKJust lots of comforts and an awesome and attentive staff.THIS IS THE HOTEL I WILL STAY AT FROM NOW ON.- RichardS_7	
Dec 27 2007 	A pretty good choice.......	We got a great deal by booking at the hotel website with a pay in advance, non refundable rate. Based on other reviews I expected an unbeatable experience so my expectations may have been too high. The best thing about the hotel is the service. Every single employee acted as though this was beyond a five star establishment; polite, friendly, just great. Someone else said the bathrooms were modern and I quite disagree. The vanity area was tiny and the bathroom did not look updated. The kitchen was large and nice. The fold out sofa was 'springy' according to my 8 yr old but comfortable. She hated the carpet, which I have to agree with, it was a yucky color and a strange uncomfortable texture for bare feet. The master bedroom had a very comfortable bed with oodles of pillows and a very fluffy comforter. My biggest disappointment may have been the view. It was of the roof of the ESPN building and a large parking garage which lit up like the sun all night. I am attaching a photo of the best angle of downtown I could get but it still wasn't much of a view, certainly not good for people watching. Room service calls go directly to PF Changs which cracked me up though we did not use it. Overall the service, location and rate were excellent but I might just try their sister property, the Hilton Garden Inn next door next time.	
Dec 14 2007 	Convenient and comfortable	We were surprised by the size of the suite. The bedroom was big and luxuriously appointed. The bathroom was modern, the kitchenette well equipped, the LCD TV's were great. The entire apartment was clean and attractive.It is located within walking distance from great places to eat. We also walked to Navy Pier and the Tourist Office. The bus trip is worth the money to get an idea of where what is.The staff at the apartments are very helpful, even at 03:00 in the morning. They also offer a shopping service which cut down on our time spent in grocery outlets.The breakfast was good - great choice and every morning there are different dishes on offer.We would definitely stay here again. Good value for money and good location.Chicago is a beautiful city.	
Dec 13 2007 	What a great hotel	Stayed from 2 - 9th December in this great hotel. Great staff - so helpful and friendly and each time we returned we were greeted with a &quot;welcome back&quot; from the guys at the door.The suite was great and had absolutley everything you might need. Good bedroom with really comfortable bed. Living area/kitchenette with microwave, hob, toaster, dishwasher and fridge freezer (complete with ice-making machine). Broadband connection in the room and free use of office facilites for printing etc.The hotel is convenient to the bus and underground with lots of good restaurants in the vicinity and great shopping in the mall opposite. Michigan Ave is within easy walking distance and a short ride on the underground or bus takes you to Macys etc or if you prefer a taxi is around $6. Breakfast is provided each day and there is a manager's reception Mon - Thurs which provides buffet food with beer, wine and soft drinks included. Tea/coffee is available all day at reception.All in all a great place to stay.	
Dec 5 2007 	Perfect location - downtown Chicago	We stayed here for three nights at the end of November based on the Tripadvisor reviews we had read and we were not disappointed! It was a perfect location for shoppping, bars and restaurants and the staff were really helpful and friendly.The breakfast each morning was an added bonus - there was anything from fruit and yogurt to a cooked breakfast (even waffles and syrup!) with about 5 choices of bagel! You could even take your breakfast upstairs with you if you would rather have it in your suite.... I saw quite a few guests in PJ's filling up their take out boxes in the morning.Our room had a seperate dining and kitchen area (with coffee supplied), a tv lounge, a dressing area, a bathroom and a huge bed that I wanted to bring home it was so comfortable. There was also a big screen Tv at the end of the bed with loads of channels and pay per view movies - perfect for watching while getting over the Jet lag! Michigan Ave is about two blocks away and it is great for shopping... Although State st is better and is a small cab ride (about $6) away. Macys on washington and state is amazing!There is free tea, coffee and hot chocolate available in reception allday which is perfect for when you are finished your long day of shopping and just want to unwind. We missed the complimentary dinner as we stayed over a weekend - this is only available Mon - Thurs.Make sure you check out heaven on seven - the nicest soul food outside of New Orleans! it was divine and is only around the corner from the hotel. The sushi place next door is really nice but be careful not to order too much! the prices are so cheap you think you won't have enough food!Anyway, when we go back to the windy city, and we are going back, we will stay here again which is as high a recommendation as I can give it!	
Nov 14 2007	Superb Value and Great Staff	We just stayed 3 nights in November at this great value hotel - we chose it reading other reviews on Trip Adviser and were not disappointed.The suites are a decent size with a kitchen area with microwave, dishwasher and coffee pot (coffe and tea provided). Everything was spotless - we got a room on the 17th Floor with a really nice city view.The staff were brilliant, from the friendly doormen to the reception and dining room staff. Everyone without fail were helpful and pleasant - something you don't find in all Hiltons. It is hard to beat the added value that comes from good breakfast and a complimentary Managers Special in the evening served between 5 to 7pm. This included wine and beer (you help yourself) and a light dinner of soup, salads and a choice of 4 hot dishes such as one meat, a potato, a veg and a pasta dish - which again you help yourself to, it was quite substantial and anyone not wanting to leave the hotel after a long day would find it very welcoming.Coffees and teas were always available free in reception area as well, there was also to go cups.There are countless restaurants close by and any amount of bars 2 blocks down on Hubbard Street - try Howl at the Moon for a good laugh, duelling Pianos and the musicians taking requests to play and sing any song you ask. Couldn't believe how many different songwords they must know!Only found out on last day but there is a free to use business centre behind reception for internet if you didn't bring a laptop as we didn't coming from UK. This was very handy.You can take a taxi in from the airport O'Hare, but it is quite a long way. We decided to catch the train in after reading it here on TA - it was so easy and cheap - only cost us $2 each compared to a $50 taxi ride, we took that option going back as well. To do this you follow the signs from the airport (after baggage claims) I think you go up in the lift to the next floor. Board the blue line train from airport and change once at Jackson (free transfer) you get off at Grand (Red). You come up steps to street level at Grand and carry on walking directly from there about a block and Homewood Suites is just across the road - couldn't be easier.Finally, this was our first time in Chicago (although we have visited many other parts of US) and we found this to be one of the friendliest cities ever. The people are so genuinely nice and everyone seems to want to help with queries or if you look at all lost someone will stop and ask if you need directions or something. The city river and lake area is lovely to explore and although I wouldn't describe it as exciting like NY, I think it has a lot to offer and we will most certailnly go there again as we had a lovely all round experience with Chicago. If I can help with any queries please be my guest and email me, I intend to write a trip report soon as well when I get over my jet-lag!	
Nov 1 2007 	Great Location 	This hotel is in such a great location. It is just steps away from Michigan Avenue, and surrounded by many great restaurants. It is a $10.00 taxi ride to the McCormick Place Convention Center, which isn't bad, because there is only one hotel near McCormick, and if you stay there you are near nothing else. The rooms are very large at the Homewood Suites and very similar to any other Homewood Suites. I had the 2 room version room, which are the rooms with the even number room numbers. Those rooms face the Hancock Tower and down onto Ohio Avenue. The smaller rooms with the odd numbers face the Chicago river. The hotel serves breakfast every morning and it is great. Make them yourself waffles, fresh fruit, bagels &amp; pastries, cereal, and always different &quot;bulk&quot; items such as scrambled eggs or biscuits and gravy, bacon, sausage, and potatoes. The staff in the dining area are very attentive, and always on standby. If you need anything at this hotel in the way of recommendations on dining, attractions, or transportation you need to speak to Ron at the front door. This guy will bend over backwards for you whenever he is there. Enjoy your stay.	
Oct 22 2007 	Nice hotel nice staff good location	I recently stayed at the Homewood Suites during a business meeting that was held at the hotel. The most positive aspects were the hotel staff who were pretty nice upon check in. The breakfast was also good, and the rooms were spacious. There was also free wireless internet in the rooms, which was appreciated. The red line train was only a block away. The downsides: Certain aspects of the room appeared dated. The carpet was frayed in areas and the bathroom set up was odd. The area where the sink was didn't have a towel bar and seemed a bit cramped. Also, when I received my bill there were two nights worth of valet parking charged to the bill even though I didn't have a car. This was removed after a few visits to the front desk. Also, I would not recommend holding a meeting at this hotel. They just were not set up to handle all of the logistics of a 21st century meeting and the space was rather cramped.I thought it was pricey ($200/night group rate) for what you got, but that may be the norm in Chicago. Also, they overbooked and had to send some of the conference attendees to another hotel. The conference attendees should have been given top priority since their meeting was at the hotel.	
Oct 3 2007	Very Good	We realy enjoyed our stay at the Homewood Suites. Suite was spacious and clean. Location is very convenient to center of Mag Mile. Grand subway station on the Red Line is 2 short blocks away. Free breakfast had wide variety and good quality. The free Mgr's reception on weekday evenings had a wide choice of food, including hot entrees, salads, soup, desert, beer and wine. We thought there would be just snacks but it was more than enough for dinner.Pool is on the top floor. Its not huge, but not small either. There was a small fitness room - just treadmills and aerobic machines, no weights. There's also an Executive room on the 6th floor with free internet access and printers to print boarding passes. I think there was free wi-fi in the hotel as well.Would recommend this hotel to anyone. There were surprisingly few families with kids staying over the weekend we were there. Instead, it seemed a mix of tourists and business people were staying at the hotel.	
Sep 3 2007 	really good	we stayed at homewood in late august for a week and were really pleased that we chose to stay here! The suites are really well sized, with a big bedroom, large seating area with a huge TV and a good size kitchen with everything that you may need, plus the views (we stayed at the front of the hotel, opposite Nordstrom) were fantastic!!! Breakfast is really good, lots of choice, and the welcome home dinner (FREE!) is really good quality stuff (we had philly steak, burgers, mac cheese, saussage and chips, plus snacks and pudding!) and will definately save you money. The location couldn't be better, round the corner from pleanty of eateries, one block from the mag mile, one block from the red line (grand), and within very easy walking distance of the river and then the loop. The top floor pool and small work out room are also good, and seemed not be used that much. The hotel seemed to be busy during the week, but quiter and full of families at the weekend.	
Sep 1 2007 	perfect for family with teens!	Hotel was perfect for family with 2 teens for 3 days. Our one bedroom suite was very spacious: large bedroom with 2 double beds, tv, sink/vanity outside bathroom. large bath (in fact, wish it had a sink there too, as there certainly is room). Living room was large enough for all four of us to comfortably hanging out there and watch a movie, with a sleep sofa, easy chair, desk/table with chairs, full kitchen including large fridge. It's modern, housekeeping and front desk services were good. Breakfast had multiple choices in a nice clean room with very pleasant staff (mediocre eggs, good fruit, coffee and juices, yogurt, donuts, bagels, eng. muffins, cereal, etc). Hotel is across street from Nordstrom's &quot;mall&quot; with nice shops, one block from good supermarket, one block from subway to Wrigley Field, same block as Navy Pier trolley stop. We walked easily from here to Mag Mile, to Chicago Architecture Foundation boat tour, Millenium Park and Art Insitute of Chicago. Pool is very small here, free acess to great Crunch gym next door.	
Aug 30 2007	Very good downtown hotel	This hotel has a very good location, being just one block from the magnificent mile, as well as having pizzeria uno and the espn zone just around the block (although it was a little hard to get to with all of the one-way streets, etc.).The hotel has valet parking, although it is expensive, which is probably the case at any hotel in the area.The rooms are very nice and had everything that we needed for our stay. My only complaint was that the wireless internet was very inconsistent.The breakfast is good and includes eggs, potatoes, lots of baked things, and some fruit. On weekdays, they serve dinner food from 5-7, but we didn't take advantage of it, as there are lots of great restaurants in the area, but it could be a good way to save some time/money.My only other complaint was that the elevator moved very fast and I often felt dizzy after riding on it, although I can't ride on rollercoasters, so this might not be an issue for other people.	
Aug 27 2007	Great value for the family	We arrived early on Aug 23 and they were able to accomodate our early arrival which was nice. The room was a 1 room suite, very clean, which I was glad about because I hate to stay in a hotel that feels dirty. My only complaint was that we had to call housekeeping twice for toilet paper. They never left a spare roll. The free breakfast was a plus! It is very crowded and you may have to wait to be seated, but you are welcome to take a to go container and go back to your room if you are in a hurry. It was a nice breakfast too, eggs, hashbrowns, biscuits &amp; sausage gravy, etc. The location was perfect. Close to shopping. Did take a taxi to the Field Museum area which only ran aroun 12.00. We did try taking the free trolley, and it was more of a hassle that what it was worth. We waited and wasn't able to get on because it was crowded, ended up taking a taxi. The next time we did get on we had to switch to get to a different one to take us to the Navy Pier, all in all it took an hour to get from the museum area to Navy Pier. Next time, we will cab it. I wouldn't recommend Gino's pizza. We thought it was horrible. We definately should have done Pizzeria Uno. If we go back, we would definately stay at this hotel. The staff was very nice and the location was great.	
Aug 26 2007 	Would Stay at Homewood Again	My wife and I just returned from a 5 night stay (Aug 19-24) at Homewood Suites. We found the Homewood on the web and then checked the reviews on trip advisor before making our reservations. We paid $179 a night and were more than happy with our selection.LOCATION: The location on E Grand was excellent for those sites we wanted to see. Go left out the front door and go about a block and half, then up the stairs to the second level street and reach N. Michigan (the Magnificent Mile). Or you can continue down E Grand until you reach the Navy Pier. / Turn right out the front and go around the corner to Pizzeria Uno for a Chicago style pizza. Continue straight instead and in another block you will reach the Grand subway station on the Red Line. We found the Red Line route, supplemented by buses on ocassion, would take us to the majority of the places we were going (Wrigley Field, Field Museum, Museum of Science and Industry, Shedd Aquarium, Millennium Park, etc). There was also a grocery neaby the hotel which came in handy with the full kitchen in our suite.STAFF: The staff were excellent for the most part. The only problem we encountered was that our room was not available at check in time. Although we were waiting in the lobby we had to keep checking back with the desk to find out when our room was finally ready.LOBBY: The hotel has very little frontage at street level, with the lobby actually being on the 6th floor. We always found coffee, tea, and cocoa in the lobby with &quot;to go&quot; cups and lids available to take it back to your room. Just off the lobby was the dining room.DINING ROOM: The dining room served a buffet style breakfast each morning and on Mon - Thu a buffet meal in the evening. We found these meals, which were included with the price of the room, to be very convenient. You could either eat in the dining room or fix you plates to take back to your room. The staff in the dining area were especially friendly.OUR ROOM: We had a full kitchen area, a sitting area (TV), a separate bedroom (TV), and a bathroom which was only accessible from the bedroom. As there was only the two of us this arrangement worked just fine with us. The only quirk was that the bathroom sink and small counter were actually in the bedroom. The relatively large bathroom only contained a toilet with a towel rack above it and the bathtub/shower combo. There was not even even a towel rack or hooks neat the bathtub for hanging up towels or clothes which was reachable from the bathtub. Also, would have liked to seen at least a small shelf available in the bathroom for those of us who wear glasses or for toiletries.The pluses far out weighted the minuses for us. We would not hesitate staying here again at or near the same price.	
