	Wonderful	I had a sore throat and the hotel brought to my room a carafe and a microwave to make tea. WONDEFUL.	
Dec 4 2007	disappointed	I have stayed in the Talbott a few times and had always liked it. This time was my first visit in 2 years and I was disappointed. The hallways are now looking tired and the carpets need to be replaced. I had asked for a corner room but instead was given a small and very dark room looking out onto a wall 10 feet away with multiple noisy vents immediately outside the window. The lights had to be kept on throughout the day even through the days were bright. The bathroom was tiny and would be difficult to manage with 2 people in the room. The AC unit rumbled on permanently with background white noise even when switched off. Having stayed there before I know there are better rooms but this one was the same price as the others I have been in and the risk is getting it again.Other small things contributed - the lobby brownies are no longer, there were no cup lids for the lobby coffee (so you couldn't walk out with the coffee) and I got a newspaper only on the last morning of a 5-night stay.The construction noise was not too bad but does start at 7.30am and goes on until around 8pm, including weekends.	
Nov 13 2007 	Charming and plush and wonderful location	I booked last minute at the Talbott while in Chicago, and was very happy with my stay and services. The staff was friendly and helpful, especially the concierge with directions and recommendations. I stayed in a double queen-bed room, which was huge by traditional hotel room standards. The carpet was plush, the bed comfortable, and the other amenities quite thoughtful (such as umbrellas in the room just in case). Aveda bath products were also a nice touch. One caution: there is a large construction site next to the hotel, so rooms facing that side will be noisy after 8:00 a.m. most mornings. The front desk staff was accommodating though and offered to move me if the noise was too much.I would highly recommend this hotel, and definitely would stay there again.	
Nov 13 2007 	Best in the city	This hotel is a classic - richly appointed and has the friendliest most helpfui staff I've ever encountered. Can't wait to get back.	
Nov 5 2007 	Great Hotel	Chicago is one of our favorite cities to visit. Some friends suggested trying The Talbott. I'm delighted we took them up. The Talbott is a great &quot;small&quot; hotel a block and a half off of Michigan Avenue near the Four Seasons, Drake and Westin.The concierge staff was most helpfull. Gene and Stephanie took great care of us.The rooms were spacious and very fresh. The elevators could be a bit slow at times. Aside from the construction next door, our stay was perfect.Bice now runs the hotel restaurant. We enjoyed having breakfast there.We will stay there again.	
Oct 30 2007	Supurb Boutique Hotel AWESOME location authentic connected service	OK, I love visiting the most friendly, clean, delightful city in the world,Chicago. I am hooked on this gem of a city, I wish my business would transfer me here, but if they did THEN I couldn't just visit this wonderful hotel smack in the center of the action, like coming home, delightful. Just a snidge off the main beam of Michigan Ave. wonderfulness, so the location is quiet yet steps to everything. From the doormen (thank you Charles and Perry) to the concierge (many thanks to Gene and Stephanie) to the front desk to the housekeeping staff, everyone is genuinely caring about the guest. I am over the top for this hotel and would give it a TripAdvisor #10 if the rating was available. The rates are in synch with the area, even if a bit high (sigh), well, whataya gonna do? The rooms are lovely, the amenities deep, the beds firm, the service top notch. This should be your choice. I have my cheerleader pom poms out for the Talbott. Woohoooo!	
Oct 24 2007	Excellent boutique hotel	Although The Talbott may seem expensive it gives full value and is in a very good location. Our Deluxe Corner King room was spacious and excellent quality and the hotel and its staff are very welcoming, efficient and friendly. We would certainly stay there again.	
Oct 23 2007	Friendly staff beautiful hotel in heart of Downtown Chicago	The reservationists are rude on the phone but when I arrived at the hotel the staff was very accommodating and friendly. My room was HUGE and absolutely beautiful. The hotel is located in a very convenient location where every restaurant and sights are from walking distance. Two thumbs up!	
Oct 13 2007 	A fine choice	The Talbott is a boutique hotel in the Gold Coast part of Chicago. It is just a few blocks from Hancock Tower, Watertower Place, and Michigan Avenue. It is a little North of some points of interest, such as the Navy Pier or the Art Institute, requiring 20 - 30 min of walking to get to these sites or ~$12 dollar cab ride.The hotel itelf is very attractive and personal. The decor is traditional, with tasteful prints and furniture. (For some reason, the Talbott is big on fox huning themes). The rooms are large and comfortable. I stayed in a one room suite, which was very spacious, well-decorated, and very clean. The size and layout was ideal in terms of privacy, in that a family can place 1 - 2 people in the living room, which is separated from the bedroom by the sizable bathroom suite. Other features of the hotel include free WiFi (which was a little buggy), and a restaurant.Overall, this a is fine, personal hotel that makes it a good alternative to the large hotels in the area. One possible issue is that a major building is being constructed immediately behind the Talbott. Work begins at 7:30 am, so noise could be a problem for those wanting to sleep-in or grab a mid-day nap. However, this is probably a short-term issue, and I recommend the Talbott highly.	
Oct 1 2007 	The Talbott is great!!!	My girlfriends and I stayed 4 nights at the Talbott returning home on Saturday 9/29. We all had a wonderful time and thoroughly enjoyed the hotel. The staff from top to bottom were excellent, accommodating. The room was roomy...with our only complaint being not being able to cool the room fast enough after a day on the town. The construction next door was obstructing the sidewalk, but being on a oneway street limited that difficulty. The doorman, Andrew was an excellent source at this hotel. He arranged all our transportation at night to restaurants. We enjoyed everything about the hotel and the city. The hotel was expensive but met expectations.	
Oct 1 2007 	Nice rooms service not always	The rooms in the Talbott are good, large and recently refurbished. The WiFi internet is good and free of charge. The staff is not always as friendly as they should be, but overall this stay was nice. The location is great, just of Michigan Ave.	
Sep 17 2007 	One of the worst hotels I've stayed at	I can easily say this is one of the worst hotels I've stayed at the. The receptionist up front was a snooty, sarcastic teenager or post teenager. You can get better service from a waiter or waitress at a diner. The room was dirty, stains on the carpet, the showerhead was moldy and rusted, the doors of the bathroom and main door all had dents and scratches. The towels had a horrible aroma. The hotel is very narrow, so we were near a construction zone so, I would plan on waking up at 6:am if you choose the Talbott. The next day, I asked for another room and the concierge who was a decent guy moved us to a larger more comfortable room. That room though was right by the elevator and it was torture hearing the sounds of the elevator which just would never stop. I asked for late checkout at 1pm and the receptionist refused stating that we would be charged for a half day, if were not out by noon. I had to speak to the manager who gave us till 1pm. Please stay away from this hotel, I think a Holiday Inn would be better.Andrew F. Gulli	
Sep 15 2007 	Nice Boutique Hotel in the Gold Coast	The Talbott is a real nice boutique hotel right in the heart of the Gold Coast, one of the nicest neighborhoods in Chicago, and about 1.5 blocks from the Magnificent Mile. The lobby finishes and the staff were very friendly, and appeared to be accomidating. We didn't really need anything, but if we did, we could have asked anybody, and they would have helped us. The room well apointed, and the bed was very comfortable. The bathroom was nice and has a timed heater function, that can be used in the bitter Chicago winter mornings. The location of the hotel is increadible. You are two blocks from the Red Line &quot;L&quot; train that runs all hours of the day. You are 2 blocks from The Bloomingdales building, John Hancock Building, Water Tower, and all the shops on Michigan Avenue. You are by great restaurants, shopping, and transportation.This hotel is a good deal for the location and accomidations. I would definetly recommend this hotel; however, read the WARNING BELOW:******WARNING********There are 3 major constructions occuring to the west, and north of the building. Construction is at the early stages of this property, but in the coming year(s), major construction will occur, and it will be right next door to the hotel. We were on the 13th floor (lucky), but we heard very faint construction, Tuesday moring. My big suggestion, would be to get a high floor room, and by around next year at this time, be warned of major construction at this location.	
Sep 3 2007 	2nd time just as great as 1st	My 2nd stay at the Talbott within a year and it was just as great as the first time. Was in a standard 2 full bed bedroom for 3 people. Room was a big size. bathroom was nice. desk and easy chair as well. 4th floor yet was bright and airy. Front desk was great, concierge very helpful and resourceful. Great location; a block from John Hancock building as well as miracle mile with all the shopping. Price can not be beat. down the street 4 seasons charges 500+ for a room while we paid 200 for the night. New restaurant on premises (Bice ) which looked great. Have stayed in Talbott 1 br king suite and that was wonderful but couch in separate living room is not a pull out. I will certainly make this my chicago hotel. around the corner have breakfast at El Tempo (best breakfasts) or Eisnstein bagel a block away. Hotel is so central. Enjoy, we did	
Aug 27 2007 	Perfect Hotel!!	We booked a double room suite, the size was like an apartment, the bathroom was huge and the hotel has an excellent location, we have all the restaurants and shopping two blocks away.	
Aug 26 2007 	The Talbott was a Treat!	Great staff, quiet, and well appointed room. Walking distance from great shopping!	
Aug 21 2007 	Treasure in Chicago	If you are looking for a delightful, small hotel in the heart of Chicago, The Talbott is for you. It is a perfect location and a true hideaway from the chaotic city. We had a standard room and it was very large. The bathrooms are small, but that comes with an older hotel. The beds were awesome as was the maid service. The staff was excellent...always helpful and attentive...we all loved the bellmen! The only complaint would be that the bar closes very early....sometimes before 11PM.	
Aug 9 2007 	The Best Place to turn 30!!!!	We stayed at the Talbott from the 4th-7th of August and it was wonderful. We were steps from several streets that had tons to do. We also bought 3 day bus passes and just jumped on and off around town seeing and doing everything we could pack in 4 full days. Gene at the concierge desk checked us in for our flight before we got to the airport on our way out, he booked us reservations to restaurants, gave us an umbrella when it started to rain, held our bags when we checked out as we had a late flight so we wondered around town some more, and he gave us directions to this place and that place. Our room was always clean and they put my flowers in the room that arrived for my birthday from a friend. We love to travel and go to new places trying not to repeat trips as we all know so much to do and see out there, but I would go back to the Talbott and especially Chicago. Everyone was super nice and super informative. Although do not eat at the place in the hotel, way overpriced and not that wonderful, nor was our waiter or the wrestling on the TV. If you need great places to eat, Quartinos on State ask for Zach he was awesome, great for lunch as it gets really crowded at dinner, Devon we went to late and it is super nice and the food is terrific, Kitchs'n on Chicago, way down Chicago, they have soy lattes, i was sooooooooo happy, it is in the same place as Japonaise which is also wonderful and beautiful, do not go on a weekend to japonaise way too crowded. we went on a monday night and it still got really crowded but we were already there when the crowd rolled in at 7pm plus they have a beautiful bar downstairs, order all appetizers so you can try everything. Giordanos on Michigan and Superior (get there at 1045am walk to the bar and order your pizza as it takes 45 min to cook so when you sit down at 11 you can eat a salad or something then your pizza comes and you will not be waiting in line for 2 hours like everyone else, i recommened the stuffed spinach if you just like your pizza easy cheese instead of overly cheesy), if you want a specialty coffee shop the only one i found in the city is Cafe Deluca on Damen in Wiker Park everything else is a starbucks. The people were nice and it is very Austin, Texas the entire area. Hope this was helpful. Check out the free trolleys, stained glass museum (navy Pier), botanical garden and zoo (lincoln Park), millienium park, beach, etc. I LOVE CHICAGO!!! If you go in August like we did take extra shorts, i wore jeans thinking it would be lots cooler than Texas, wrong. :-)	
Jul 5 2007 	Great night at the Talbott	My girlfriend and I live in Chicago but decided to play tourists for a night and stay at a hotel downtown. The Talbott was wonderful. It's in a great location -- about 2 blocks from the John Hancock and just steps from Rush Street. The room was clean. The bed was comfy. The Aveda shower products were a nice touch, as was the free wireless Internet. The hotel staff was extremely friendly. The doorman downstairs informed us that we could get a couple bucks off parking at a nearby garage by getting a validation ticket at the front desk. We were impressed that he helped us out even though we had decided to park the car ourselves rather than using the hotel's valet service.After taking a shower, I discovered that the hair dryer in our bathroom wasn't working. I called downstairs and they immediately sent up an engineer to check out the problem. Upon discovering that the dryer was, indeed, broken, he immediately fetched another one for me. The entire process -- from the time I phoned the front desk -- took about 15 minutes. It was quick, easy, and again, very friendly.I would absolutely recommend the hotel to anyone looking to stay in the River North/Gold Coast area.	
Jun 29 2007 	Pleasantly surprised	My husband attended a conference in Chicago for the weekend of June 22nd and I decided to tag along for the shopping! We flew into O'Hare and took a cab to the hotel, cost about $30. Everybody from the doorman to reception desk to concierge were extremely friendly and helpful. We had a room on the 9th floor which overlooked the construction, but we were hardly in the room so it didn't bother us. We were also never awakened due to construction noise and my husband is a very light sleeper. The room was clean and spacious enough for us. The bed is very comfy. We ate in the restaurant downstairs several times for breakfast and lunch and all meals were great. The location of this hotel is perfect. You are about 1&amp;1/2 blocks from Michigan Ave and the Hancock tower. Can't beat that! There is also an adorable pet store called Tails In The City across from the hotel! I brought our dog back a couple of toys! They are very nice as well. All in all, no complaints. The hotel is clean and beyond what we were expecting. The staff is always friendly and the location is superb. It's a safe neighborhood-I walked around by myself and felt fine. We would definitely return.	
Jun 17 2007 	Perfect place to stay	My boyfriend and I just returned from our second stay at The Talbott. It was wonderful to see the same friendly staff and they welcomed us with kind words, good service, and efficient checkin.Our room was an executive king suite (701)- roomy, great beds and bedding and an incredibly large bathroom. The bathroom had 2 sinks and large tub and separate shower. The only thing not so great were the livingroom chairs (very uncomfortable) and outdated televisions. However, we were told that new flat screens have been ordered. The maid service was efficient and rooms were very clean.I tried the complimentary pass to the fitness club which was only a 5 minute walk from hotel. I recommend it. We did not eat at the hotel nor did we try room service but I am sure it would be great as the restaurant was always busy and the food did look yummy.The concierge staff was extremely helpful and made reservations and suggestions for us, etc.We love this hotel for its location and understated elegance among all the other reasons I have mentioned.	
Jun 7 2007 	Classy 	Mid-May my husband and I stayed at the Talbott Hotel in Chicago for 3 nights. It was awesome! The hotel's website does not reflect how beautiful and stylish it is. I have attached our pictures so you can understand. The rooms have been updated and are gorgeous, elegant, and sparkling clean. I told the front desk that they have to update their website! It does not reflect the hotel at all. We had booked a regular king room and when we arrived we found out we had been upgraded to a suite! The suite was huge! Practically the size of our apartment in DC!Again the rooms are newly refurbished. We had a beautiful bedroom with European, old world style furnishings, a living room, and the most amazing bathroom with 2 sinks, a shower, and soaking hot tub. Even though there was construction going on we never heard a thing! They have really good, thick windows.The hotel is in a really fun part of Chicago called the &quot;Gold Coast&quot;. There are tons of cool shops and restaurants all within the blocks of the hotel. It is about a 10 minute walk to the Magnificent Mile and river. We never used it but they give you complimentary passes to a nearby gym. We had the buffet breakfast in the charming bistro. The lobby is really warm and inviting and the staff fabulous and professional.I totally recommend The Talbott Hotel!	
Jun 3 2007 	sweet home in chicago	We bookended a recent trip to Illinois, Wisconsin and Michigan with two visits to Chicago, where we stayed both times at the small but elegant Talbott Hotel. I'd never heard of the hotel before, but booked it following reviews on this site. I cannot recommend it highly enough. The hotel staff are friendly and welcoming; the accommodations more than ample, boasting top quality bed linens and nicely appointed baths throughout. On our first stay we were given a complimentary upgrade to a luxurious Executive King; room 1202 was spacious and airy, with a particularly nice bath which included a lighted makeup mirror, Aveda toiletries, his and her bathrobes and separate bath and shower. On our return stay we were given a Double Queen, which too was large and pleasant, with a slightly less opulent bathroom (single shower/bath) but delightful nevertheless. There is construction going on next door, but we never heard a bit of it. Everyone on staff is cheerful and gracious, and the hotel's Bice Bistro makes both a nice place for breakfast and a lively spot for a nightcap. I don't believe we'll be staying anywhere else when we're in town ~ we've found our home away from home. And of course, they have that cow climbing up the side of the building. You don't get that at the Four Seasons.	
May 30 2007 	Wonderful Experience	Merritt Island, FloridaMy mother-in-law and I stayed at The Talbott May 25-28. It has a great location just down the road from the Hancock building. Tons of shopping and restaurants close by. If you are inclined to walk you can go a few blocks to the Drake hotel and follow the underpass to the lake and enjoy the beautiful scenery. Be aware the next place to cross back over is at the Navy Pier. The hotel rooms were spacious and the bed was very comfortable. The staff was extremely courteous and knowledgable.Beware of the WhiteHall hotel down the road. I'll write another review on that!!!	
May 29 2007 	Everything we could have wanted from The Talbott!!	My husband and I just returned from a fantastic, three night trip to Chicago and loved every minute at The Talbott! The location was fantastic - we walked to every meal and shopping location. The staff was unsurpassed! They couldn't have been more helpful. The concierge staff secured our dinner reservations and made many helpful suggestions. The hotel was well appointed with beautiful rooms and bathrooms. Everything was immaculate and very charming. We loved the little bistro tables that lined the street - great for relaxing and 'people watching&quot; before we ventured out for dinner.We will certainly stay at the Talbott next time we visit Chicago. We wouldn't change a thing about our experience!	
May 19 2007 	Wonderful personalized service at The Talbott Hotel	My mother and I stayed at the Talbott Hotel May 14-18. The entire experience was extremely enjoyable. The hotel staff was courteous, friendly and helpful. The room was beautiful and spacious with lots of storage areas. It was very quiet, clean and comfortable. The location of the Talbott is convenient to Michigan Ave, boutiques, and restaurants. I will return to the Talbott Hotel whenever I visit Chicago and hope to find some of the same wonderful staff.	
Apr 30 2007 	Great Choice!	My husband and I stayed from April 27 to April 29th. It was my first trip to the city. This was a terrific location - it was close to great shopping and good restaurants. I could not have chosen better. The staff were all very helpful - all around a good choice. I would stay again. Ask for GENE at the conceirge desk - you'll be lucky if he's on - he was terrific, a real pleasure, very helpful. A few things however to be aware of - there is a lot of construction going on opposite the hotel so the room we had (very clean by the way with comfy beds) overlooked the construction site and they do work on Saturdays and Sundays. Now we weren't bothered as we head out early in the morning but something to be aware of. We booked online - make sure you check the rates regularily. I had booked at $309 per night but then checked a week or so later and the rate went down to $209 per night so I cancelled and rebooked at the lesser rate. However - still a great hotel and would recommend.	
Apr 17 2007	Excellent in every way	We have stayed in the finest resorts and hotels in various locations throughout the United States both on business and pleasure trips. This hotel is absolutely the best overall property of any. The concierge staff, particularly Stephanie, are genuinely interested in being helpful in a sincere, friendly manner. They are well informed and eager to make your stay as pleasant as possible. The hotel is immaculately maintained. The rooms are spacious and well appointed. The bathroom was obviously designed by a woman! There are countless little touches that make you want to go home and re-do your own bathroom! The hotel is centrally located and incredibly quiet. They even provide delicious, really fresh fruit in a bowl in the lobby! We can't wait to go back there.	
Apr 10 2007 	upscale quality downscale price	We stayed here because of all the great reviews, and it's all true. We were highly impressed with the high quality of everything, everyone, and the location. Walking distance to much of what Chicago has to offer. Gibson's steakhouse and the Hancock building to name a couple. This hotel should really be in the top ten or even top five hotels for Chicago. It should also have more than three stars. I mean three stars is for the hilton garden inn or marriott courtyard, and this place far exceeds chain hotels like those. Depending on the room you get, any price under $250 would be a good deal. Between 250 - 300 could still be worth it.	
Apr 3 2007	My favorite hotel	Always a delight. Have stayed several times, the latest this past weekend3/21-4/2/07 and I am always glad to return. If you are looking for a small, personal hotel where the entire staff treats you special then this is the place to stay. Our children who range from 6-16 love it even if there's no pool!!!	
Mar 16 2007	Spring Break Base	Stayed 5 nights at this great hotel. Updated rooms. Clean. Used Tim to book theater and dinning reservations. Provided excellent service. Close to subway, shopping and dinning. Excellent value. Free wireless internet and access to nearby health club very nice perks. Highly recommend it. Future concern is adjacent construction of condos. Not a problem while we were there but something to ask front desk about in the future.	
Mar 3 2007 	Great Place to Stay	My wife and I stayed two nights at the Talbott at the end of February. This little hotel was the perfect place for us. The lobby is very small but also cozy, and with both fireplaces going it was a welcoming atmosphere coming in from the cold. The staff was very friendly and efficient. The room was pretty spacious, and the king bed was extremely comfortable. We had a seventh floor room facing delaware st, so there was really no view. The bathroom was a good size, including two sinks and a spacious tub/shower. There was also free wireless internet...a big plus for us.Perhaps the best thing about the Talbott is the location. We were only a few steps from State, Rush, and North Michigan. Tons of shopping, bars, and good food are easily within walking distance. This makes the Talbott a great place for tourists who want to walk around and take everything in.We highly recommend the Talbott, and will gladly stay again on return trips.	
Mar 2 2007	Great surprise at the Talbott	After hearing my second daughter from college was meeting us in Chicago, we needed a roll away in our suite we had booked at another hotel . After being told we were not allowed to have one, we started looking for another hotel and came across the Talbott on the Orbitz web site. It looked great and was in the best location, but I must say I was skeptical as to the price and the pictures shown of the room. I really doubted they would be as nice as they looked on line. What a great surprise! The suite was beautiful! It was so large that you could have a full living room and still have room for 2 roll-aways if needed. It was clean, it was newly done over. The location couldn't be better and the staff was the most courteous and bent over backwards to be helpful. I will return to the Talbott anytime I have to return to Chicago. It definitely is the best place in Chicago for the money!	
Feb 11 2007 	Excellent hotel	I only had one night in Chicago - and a cold one it was too! However, the Talbott hotel kept me warm and comfortable. The room was large but nice and warm and the bed was excellent - general accomodation was superb and room service was pretty decent. The staff were extremely helfpul and pleasant - and not forced. Will more than happily stay there again next time I am in Chicago	
Jan 20 2007	Europe in Chicago	As we pulled away in a taxi heading to the airport for our trip home my wife turned to me and said &quot;We picked the right place.&quot; Having chosen the Talbott from other Trip Advisor reviews I found myself thinking in terms of a Trip Advisor review when we arrived. Nice entrance, friendly reception, I noticed everything and immediately knew the Talbott was a non-corporate warm hotel with touches not typically seen in big name hotel chains. The smell of the elevator and attention to decorative details strongly reminded me of Europe, simple, not overstated but elegant. The location is great, there was light snow but we walked to the Art Institute, Rush Street, the Theater District, and we're from California where anything below 50 degrees keeps us inside! All I can say is if you are the kind of traveler that wants comfort, class and somewhere unique, stay at the Talbott. Oh yeah, we were in a room that looked down at the construction, we were on the 15th floor and could not hear a sound, it was very quiet.	
Jan 18 2007 	Hotel and staff wonderful	My wife and I and our three teen age children spent a long weekend at the Talbott and had a great time. We had a room with two queen beds that was a nice size and were able to add a roll away bed without being too cramped. The conceriege was great with excellent tips on restaurants and other activities. Easy walk to shopping and also took the subway (a short walk away) to the Bears game. I felt it was reasonably priced and very nice.	
Jan 8 2007 	Bring Earplugs.	In a word - NOISY. A new hotel is being constructed out back. They start at 8 a.m. sharp and don't end until late at night. Every Day. I'd wait until it's done before staying there. If you only need one bed, they can move your room to the front of the hotel where it's not as bad. If you need more than one bed, though, you're out of luck.The hotel is nice, restaurant has very good food and otherwise the stay was fine.	
Dec 25 2006 	Superb service	What a nice experience with a warm and friendly staff, comfortable and clean rooms, and great beds. Even the Aveda bath products were top shelf. Only complaint parking pricey but it is the Big City so no real surprise. Would absolutely stay again!	
Nov 25 2006	Cozy Classy Super value	The Talbott is a really nice hotel and a great value. Located on a quaint street, and a block up from the Four Seasons you are in the heart of great shopping and restuarants. The rooms are well appointed and impeccably clean, bathroom is a bit wee in size but the robes and Aveda products make up for it. This is a boutique hotel so it's small and cozy. The staff was very pleasant and helpful too. I say it beats any name-brand hotel, especially given the location and price. I would go back.	
Nov 11 2006 	An Outstanding Hotel in a Big City	I stayed at the Talbott for 18 days while working at a tradeshow at McCormick Place. I was a little worried - being assigned to a smaller hotel - you just never know - you really have to trust the reviews. Boy was I thrilled. The hotel is on a tree lined street, within a half block of the Four Seasons (that tells you the neighborhood is in fact nice). The best part of Magnificient Mile is two short blocks away - you can see Michigan Avenue from the hotel. The doorman greets you as you arrive. There was one present almost 24 hours a day.When you walk in, there is a small lobby, with a living room style seating area on each side with a fireplace. You immediately get a cozy feeling. I had arrived very early the day of the Chicago Marathon, it was cold, and I was wet from the rain - they got me a room within an hour (was sold out the night before so they really rushed).I had an executive king - a very large room with a huge bathroom with a seperate tub and shower. Aveeda soaps, etc. All the furnishings were new - in good shape, soft bedding and nice carpet. I asked if they had a small refrigerator since I would be there so long, and they brought me one along with a microwave. Day in and day out the service was excellent. From the doorman to the concierge, to the maid, everyone was very pleasant and helpful. One of the front desk attendants knew I liked bananas, and when she was on duty, made sure the fruit bowl with the apples and oranges had bananas also. There was a beautiful but small bar - with gorgeous wood. I was mostly too tired to ever go in. There was fresh coffee - complimentary - each morning, along with the fruit.If I had to nit pick - there are some areas in the hallway to the rooms that could use some touch up paint - after being hit repeatedly by the luggage cart. The food could have been better too, I never ate it, but both my work mates declared it could be better - but I always went out - around the corner to some great Italian food at Pizano's or the other many restaurants on Rush. I rarely eat at hotels - the local food is too good to pass up and since this hotel is so close to everything you can walk out, and turn towards any direction and find good restaurants and shops.This hotel is for people who like small intimate settings, cozy, one on one service with people who remember your name and who don't need loud bars and restaurants, etc. I travel for a living and prefer this style of hotel - I want a quiet place, upscale furnishings and great service. The Talbott delivers. We had almost 50 staff in from all over the country, and the hotel booking service had us in about 10 different hotels. Based on what everyone said about their hotel, and the many I saw when visiting others over the three weeks, I know the Talbott was superior! If I don't get to stay there again the next time, I will be disappointed!I fell in love with Chicago and the Talbott Hotel!	
Nov 6 2006 	Great Little Hotel	This hotel would have received an &quot;excellent&quot; review from me if we didn't have to wait 45 min. (after check-in time) to get our room. HOWEVER - since we were made to wait they upgraded us to a suite! It was fabulous! HUGE room, HUGE bathroom, COMFORTABLE bed &amp; linens, and super CLEAN to boot!The location is great - not spectacular - but it's difficult to get a spectacular location in such a big city with so much to do. It is WAY NORTH so if you want to do anything by the Art Institute/MillenniumPark - or anything south of those places - it's quite a hike if you're walking, but a short cab ride if you're not.It is close to great restaurants and shopping. The valet guys were most helpful, friendly &amp; efficient. The front desk - uh...not so much. They have a nice bar just outside of the lobby (i believe the restaurant is located around the bar but we did not eat there and I didn't really &quot;look around&quot; that area). The elevators are small and slow...not a very big deal...they have stairs too.If you are looking for a nice, relatively inexpensive (for the city), small hotel in a quite area of the city (and I use the word &quot;quiet&quot; in city terms) this is the place for you! We'll definitley be back.	
Oct 6 2006	Great Stay	I recently stayed at the Talbott. At first I was a little apprehensive because some of the reviews rated the service poor. I thought the service was great. Everyone was very nice and actually went out of their way to be helpful. We arrived at 10:30 a.m. and did not have a problem checking in early (2 rooms). They actually upgraded both rooms. The rooms were very clean. I have nothing but good things to say about The Talbott. It is a great value (we paid $199 per night)	
Sep 18 2006	Great experience - except for the front desk	Just spent the weekend at the Talbott. Loved the location - close to everything - as well as the decor of the hotel. The rooms were great, the beds super-comfortable and the service was on the whole, excellent. The older doorman with the great smile was always extremely friendly and helpful as was the young man who was the concierge while we were there. Unfortunately, our dealings with Anna, a young woman at the front desk, put a damper on our weekend but all in all, the experience was a great one and very much worth the money. I would strongly recommend this hotel.	
Sep 15 2006 	Great hotel!	My husband and love this hotel! We had made our reservations in the spring and at the last minute we decided we would like to add a night. When I called the hotel they were more than helpful. We stopped into the bar after a night on the town and had a very pleasant time. The staff was wonderful. We will definitely stay here again.	
Sep 4 2006	What a great hotel!	Don't believe the unfortunate reviews from August--this hotel is wonderful! My family and I (husband and two daughters) just returned from a weekend getaway to Chicago. The hotel is exactly as advertised--but even nicer (how about that!). We went to New York City for spring break this year, and to Europe in June--but our girls thought this was the nicest hotel we've stayed at! The room had two queen beds and was unbelievably spacious. The bathroom was beautiful--tile and granite, with two sinks and a lighted makeup mirror. Housekeeping does a great job, too--everything was so clean.The staff was very friendly and outgoing--even the doorman and the maids said hello and greeted us with a smile. The staff was very helpful, too--any question or request was promptly addressed. We were even able to get to Sunday Mass with easy directions and a current schedule of Masses. The location is perfect--just a few blocks from Michigan Avenue. We never took a taxi, nor any type of transportation. We walked walked walked all day and evening--and felt very safe and comfortable. Great hotel and great stay. I would highly recommend The Talbott and wouldn't hesitate to stay there again.Thanks for a super weekend!	
Aug 16 2006 	Terrible Talbott	I am not much of a complainer, as you can see when reviewing my other posts on this site, but the Talbott provided such bad service that I feel the need to warn future travelers to Chicago:My girlfriend and I stayed at the Talbott for 2 nights in late July 2006. The first sign that something was wrong come during the initial booking of the room over the phone. The receptionist was outright rude, but took the reservation without a mistake. During our stay the hotel and restaurant staff was extraordinary incompetent, the waiters, the managers, nobody was friendly, nor tied to accommodate us.[------------------------]We and many others who stayed at the hotel attended a wedding reception close by and had arranged the hotel bar to remain open from 12-2 to have an after hour’s party. The hotel manager had assured us that this was secured and done in the past upon such occasions. When we returned from the reception at 11:50pm the bar was closing and the night manager and hotel staff were very rude to me and my friends. “Nobody told us, we can’t do anything for you.” “Are you sure that you arranged this?” Two quotes so typical for this hotel’s staff that I know that I will never stay at this hotel again.I understand that mistakes are made and that communication can be difficult across different shifts in a hotel, but blaming the customer so being confused and failing to arrange what I know had been arranged for and was later confirmed by the day staff is too rude even for my taste.[-----] 	
Aug 15 2006 	Talbott was great for anniversary weekend	My wife and I loved the Talbott for our anniversary. It is a smaller hotel, but it was perfect for us. We were upgraded for free to a corner room with a decent view. There was construction outside our window, but could still see the city. The staff was great for us, we requested bath robes and they were there when we got back from dinner hanging in the bathroom. The bathroom was amazing by the way. The location is great too, just a block or two from the hancock building and Michigan Avenue. Some great little shops and stores right close too. We actually walked all the way down past the river and came back to the Navy Pier and never used a cab or drove. Its a fairly long walk to the river walk, but worth it. Parking was easy: $27 a night though. I will definately stay here again if I get the chance. The bad reviews sound like just unfortunate situations, the hotel itself is great so don't base your decision on reviews like that. For a romantic stay, this is a great place.	
