	solid average but nice location	The hotel is conveniently located just off the Magnificent Mile which has excellent shopping, and is walking distance to many attractions (though not particularly close to the subway). The hotel is nice and rooms are well decorated (though no LCD tvs), but when we arrived, there was no shampoo in the room, no wash cloths (we had to call the front desk to have them and the shampoo brought up), and worst of all, the toilet seat was dirty and there was a used wash cloth from the previous guest drapped over the shower curtain. My wife and I would probably choose to stay somewhere else next time.	
Jul 22 2008 	Big Improvement	I last reviewed this hotel a few years back when it was under different ownership - it wasn't great. I'd heard it had been refurbished so travelling from Scotland with my wife and two friends we stayed in the Doubletree Mag Mile for three nights in July 2008. The rooms had been refurbished - including the bathrooms. A big improvement - new carpet, furniture and wallcoverings + new sanitaryware.Unfortunately, the reception area was still being decorated during our stay so I didn't see the end result. Friendly reception and porter staff and a new bagel shop for breakfast - hot sandwiches very good! The sports bar was just as bad as I remember - absolutely no atmosphere - but there are plenty of good watering holes close to the hotel.A clear improvement over our previous visit and this hotel is so well positioned for Magnificent Mile and Navy Pier. If you are looking for a clean, reasonably priced tourist hotel in a good location for a short stay in Chicago this place fits the bill.	
Jul 8 2008 	Classy and great location!	I had a great experience at this hotel! There were beautiful granite countertops in the bathroom and beatiful furniture in the bedroom. The bed linens were extra comfy. The front desk was also really nice and understanding. I had a great time!	
Jul 2 2008 	Great Location - Great Experience!!!!	My husband and I stayed at the Doubletree June 28-30, 2008. We paid a very low price ($75) and were VERY pleased. The hotel staff was very nice. In the past, we have stayed at the Hyatt Regency via Priceline, and felt we were treated poorly. Not the case here. We received our cookies upon arrival. I had called in earlier - worried because we were arrving via Amtrak and not until close to 9PM. Not to worry! They noted our reservation and also, asked if we would like a King or did we have a preference. I would definately stay here again. We've stayed at the Hyatt Regency, Sheraton, Palmer House Hilton, Whitehall and the Courtyard Magnificient Mile - and this was a very nice stay. The room had nice shampoo, conditioner, facial wash, etc. Very nice maid service. I did leave a note asking for fresh towels (I did include a tip because they do work hard) - and our room was stunning. Would definately recommend.	
Jun 30 2008 	Nice Hotel Close to Almost Everything	Stayed at the Doubletree from 6/21 to 6/25 for a conference. The hotel appears to have completed its remodeling and I received a warm cookie at check-in, which was very nice after a long trip. My room and bathroom were a nice size. The bed was comfortable and the linens/towels were great. The hotel staff were very friendly, and the concierge was quite helpful. Two drawbacks: no refrigerator in the room unless you want to pay a $25 rental fee during your stay; and get a room facing the pool if you are a light sleeper. The sirens and street noise definitely carry up to at least the 14th floor. I would definitely consider staying at this hotel again in the future. Its close proximity to major attractions allowed me to explore the city by foot the majority of the time.	
Jun 25 2008 	Excellent Room - Excellent Location	I understand that we are among the first guests to stay at the new Double Tree Mag Mile (after it was converted from the Chicago City Centre). I'd read the mediocre reviews of the CCC and decided to book anyway, for the proximity to my conference at the Navy Pier. I had no idea of the pending conversion but sometimes things just work out FINE!Everything is new...carpeting, furniture, beds, bathroom fixtures, etc. The beds and bedding are fantastic. Extremely comfortable. The hotel looks nice: clean and sharp. It's probably a 3.5 star on &quot;the scale&quot;. The staff are working very hard to get the operational systems and processes ironed out. Nothing major and every question is responded to politely, even if it takes a bit longer to get the right information.We just enjoyed dinner at a great pub literally across the street, Timothy O'Tooles. It doesn't look like more than a ratty bar from the street but the restaurant dowstairs is spacious, well ventilated and the menu is terrific. Next door is a B/L restaurant called the West Egg Cafe...menu looks good but a bit pricey.The free access to the adjoining health club is an awesome amenity. Excellent facility including sauna AND steam room. The indoor pool is nice for lap swimming and cold weather. The hotel also has a nice 5th floor outdoor pool with room for sunning, etc.I love this place for the location and the nearby restaurants (and even a grocery store). It's easy to walk anywhere including my conference at the Navy Pier. And of course, you get the warm Doubletree cookies upon check in...	
Jun 23 2008 	AWESOME STAY!!! Top Notch Hotel	I would highly recommend this hotel to anyone who is looking for a fun place to stay while visiting Chicago. We just returned from a two night stay at this Doubletree and could not be happier with our experience. I have so many positive things to say, I do not know where to begin. First of all, the location is amazing!!! It is a very short walk to the hot stores on Michigan Avenue. We were also able to easily walk to the John Hancock building and looked out from the 95th floor Signature Lounge. You can go up for free, have a drink, and enjoy breathtaking views of the city. The Doubletree is also within walking distance to Navy Pier. We walked down there on our first night’s stay and had a wonderful time. It is also within walking distance of many great restaurants, I would highly recommend checking out Timothy O’Toole’s across the street. It serves late night food, and it is a very cool and smoke-free place to go for drinks or to watch a game. Overall, the hotel is just outside the heart of downtown Chicago and is within walking distance of many downtown attractions and landmarks. As for the hotel, it is absolutely beautiful. It has undergone a complete transformation and the finished renovation is outstanding. I don’t see how this can only be a three star hotel. I would not be surprised to see it become a four star, it definitely ranks up there. I booked this hotel through priceline.com for a great bargain. I have stayed at many other four star hotels in Chicago, and honestly the Doubletree is one of the better hotels I have stayed in. The hotel is very trendy and modern looking. Awesome pool area. Our room had a pretty nice view of the city and overlooked the pool. We could see the top of the John Hancock building from our window. The rooms are beautiful with down bedding and five pillows that could not have been more comfortable. The rooms have Wolfgang Puck coffee makers that we enjoyed and clock radios that hook up to mp3 players. The bathroom was gorgeous: granite countertops, very nice shower, curved shower rod, and very spacious. Housekeeping did a very nice and thorough job of cleaning and making our beds. They even left a light on for us when we got back into our room. Besides the hotel’s awesome appearance and cleanliness, the staff was exceptional. I called ahead of time about checking in late and it was no problem. In addition, I also asked to be switched from a room with a king bed to a room with two beds, and it was no problem at all. Luggage Services was also very helpful and held our luggage after we checked out free of charge. We took a train into Chicago and were able to leave our luggage after checkout and explore the town even longer with no extra charge. Very nice!Overall, this hotel is an excellent value. I had no hidden charges or surprises when checking out. It definitely exceeded my expectations, and I thoroughly enjoyed my two night stay at the Doubletree Chicago. I will definitely be going back. The only downside I can think of is that it is near a hospital, and you can hear occasional sirens throughout the night, but that did not bother me at all or keep me awake. It truly is a top notch hotel. By the way, the cookies given out upon checking in are delicious!	
Jun 12 2008 	Great location	Staff was very courteous, professional and helpful. Clean rooms and pool area. Great location close to the lake, shopping and only a few blocks to the EL.	
Jun 7 2008 	Very clean good location excellent service top health club ameneties	This hotel is putting the finishing touches on being remodeled, there's fresh paint and a place or two where they're doing some work. I didn't have any problem with noise at all, and it really is just a few places where you even notice they're finishing things up. The decor is updated and everything is new. That does mean, though, that they're not quite a Doubletree yet, so it's true, they don't have cookies yet, and I couldn't get our stay registered for points. These and the lack of free wi-fi are the only downsides of staying here.Its a quick walk to Michigan Ave, and very close to a grocery store and a couple of really nice places to have breakfast and coffee, beyond the bagel shop attached to the hotel. Great location. This time we didn't bring our car, instead we flew and rented a zip car, and the zip car is located near the hotel, too. More points for location!The rooms are nicely laid out, with plenty of seating, good for relaxing in the room. The decor is all updated and contemporary, and the bathroom is well-lit with attractive granite countertops. Great shower and lots of fluffy towels. I have to mention how great the service is. The blankets are down blankets, and when I told housekeeping that I preferred something other than down, they were fast and friendly about remaking the bed with fresh bedding. The housekeeper even came by to check in later and ask if the remade bedding looked alright.There's a great health club, with exercise machines and a terrific pool attached to his hotel, and a decent service center where you can use the internet if you'd rather not pay the $10 for internet access in your room. But you can also get free wi-fi all over the city, including at the contemporary museum of art, which is a 10 minute walk away. I booked the stay online at a decent discount, and if you can get your stay for a reasonable price, the location, cleanliness, updated contemporary style, nice health club amenities, really excellent service make this a good all-round hotel for visiting Chicago.	
May 28 2008 	Well appointed good location disappointing noise and service	The hotel is well located just two blocks east from Michigan Ave/Magnificent Mile, and a short distance from Navy Pier. The property has recently undergone $25 million in renovations to convert from a Holiday Inn Select to a Doubletree effective June 3, 2008, and operates under the name Chicago City Centre Hotel &amp; Sports Club until then, while advertising their upcoming name change.The building is basic 1980s dark brick and glass design, with a very open but bland lobby. The redecorated lobby is done in cool colors with a bright and modern tone, however the vast space and energy efficient lighting limits any real character as does its 1980s concrete architecture.The guest rooms and hallways all have new carpet, wallpaper, lighting and paint, with a urban, modern feel. The rooms are fitted with the nice Doubletree/Hilton trademark beds but surprisingly lacks a modern HDTVs, in-room safe, or min-bar (however a cabinet exists for one). The bathrooms are adequate, however the tub is quite shallow and there is no guest operated vent fan. There is a separate switch operated baseboard heater in the bathroom, that is either on or off but not adjustable. The HVAC equipment in the room has a modern adjustable thermostat but equipment looks a bit dated, however it was efficient in cooling our room. For having just undergone a renovation, both the vanity in the bathroom and the dresser in the guest room had a number of scratches evident.Housekeeping was efficient and quick, but was inconsistent in restocking the toiletries. I notice the housekeeping carts lacked racks of clean glassware, so it made me wonder exactly how the glassware in the room was cleaned. The vending machines on our floor were completely sold out as were the ones a floor below. We reported this to a housekeeping manager on Friday, but the machines were still unstocked on Monday afternoon when we departed.The real disappointment was the amount of street noise that could be heard in the room and the service from the front desk. We were on the top floor (26) but could plainly and loudly hear cars and motorcycles throttle their engines, as well as constant emergency vehicle sirens all day and night. It does not help that Northwestern Memorial Medical Center’s Emergency Room is right around the corner from the hotel. Upon checkout, when asked by the front desk clerk if we enjoyed our stay, I did comment on the noise to which he quipped “you must have sensitive ears.” Clearly not the right response from an employee. The desk clerk should have at least acknowledged our disappointment and offered to pass along the complaint to his manager. This was after having to call the front desk twice and wait on hold for over three minutes to request a later check out due to a late flight.Given downtown Chicago has a very competitive hotel market, I would not recommend this property to others or return for another stay.	
Nov 19 2009 	Mil vezes magnifíco		
Oct 2 2008 	Excellente surprise		
