	"The Finest Chicago Hotel I have stayed at to date"	This past week I stayed at the Sutton Place Hotel in downtown Chicago. I was attending a medical conference and the location of the hotel, within walking distance of the &quot;Miracle Mile&quot;, downtown and the Lakeshore made it a perfect location.&quot; I have stayed in many of Chicago's finest hotels, many of which are typically priced well above the level of the Sutton Place Hotel. I have never stayed in a finer hotel in Chicago. As a comparison, my medical conference was held in a &quot;Five Star&quot; hotel, five minutes walking distance from the Sutton Place. I was in several of the rooms at this &quot;Five Star&quot; hotel as a guest of fellow physicians. I in fact have stayed in this &quot;Five Star&quot; hotel several times in the past, yet without question the Sutton Place Hotel was finer, in my opinion, in all respects. The Sutton Place Hotel's price was one quarter of this &quot;Five Star&quot; hotel. I was placed on the Penthouse Suite of the Sutton Place, I had a perfect view, my room was spotless. Both room service and the attached restaurant / bar were excellent. The hotel offers a business center in which guests are able to use the internet for free, which allows me to leave my laptop at home. The valet parking rates, with hotel validation, are a very good deal. I would HIGHLY recommend any Chicago traveler, for business or pleasure to stay at the Sutton Place Hotel.	
Aug 6 2007 	Great long weekend at Sutton Place!	The Sutton Place is perfect for a sightseeing weekend in Chicago. The size of the hotel is great, large enough but seems intimate. I can't say enough about the location, one block to Michigan and all the stores. The hotel is centered around the lively Rush Street restaurants and it's great at night! Our room was on the 8th floor, immaculate, comfortable and roomy for a downtown hotel. The shower is the best shower with the best water pressure ever! Really! Room service delivered a pot of coffee in about 8 minutes each morning and the business center was great, I used their computer for internet access for free. I can't wait to return and see more of Chicago from this home base! Oh I forgot, we were in town to see the Mets play the Cubs and the red line is three streets up! Easy access to Wrigley!	
Jul 9 2007 	My first choice in Chicago	If there is a room available at this hotel, BOOK IT!!! I've stayed at plenty of hotels in Chicago, large chains, small chains, and independents. This is by far my favorite. I always call the Sutton Place first. I get depressed if I can't get a reservation.The doormen are first class. If you have been there before, they know your name and call you by name when they open the cab door. The desk staff remembers you are a return guest and always welcome you back. The rooms are great, the location is second to none!! Great shopping, restaurants, and bars within just steps from the front door. The staff is always happy to suggest a new place nearby for you to try. This hotel is the best bargain in Chicago.	
Jul 7 2007 	A classy hotel in the heart of the Gold Coast	This hotel is spot on if the price is right. We chose a lakeview room, on a high floor, mainly for the views and you can't complain about the views. Our room was on a corner of the building with one side looking down leafy Bellevue Place towards the narrow beach on Lake Michigan (literally a couple of minutes stroll away), and the other facing downtown, where you can glimpse the Hancock, the edge of the Sears and everything between.A special thank you must go to Gary, the doorman, who was cheerful and very helpful- a real asset to the hotel. In general, the other staff we encountered were cordial and efficient, though not quite as friendly. The room was nicely furnished, in a black, white and cream color scheme. In-room facilities were good- loved the little luxuries like a separate deep bath tub and shower (both of which worked well) robes and slippers, nice bath products and good bed linen. The room was a little bit compact, but seemed well specified for business or leisure. Try to arrive by taxi if you can- parking was $33 a night, and looking around there were cheaper options.The location was great for nightlife-it comes alive in the evening with party-goers and we enjoyed a meal with live music just across the road. In the daytime, try breakfast at the Pancake House opposite: they make great soft pancakes, good coffee and the price was very reasonable too. Then it is a short walk to the city (or at least the Magnficient Mile). There is also elegant shopping on Oak Street one block south and in good weather why not take a look at the lake or go up the Hancock Tower, both easy to access. It is also relatively easy to reach downtown Chicago via public transport.The Sutton Place has a charm that other larger chain hotels lack, and I can definitely recommend it.	
Jun 29 2007	Not bad	My wife and stayed here for a long weekend over memorial day. Looking for a nice romantic getaway from Iowa. The hotel is east to find, right off Lakeshore. Location was close to shopping and restaurants on Rush Street. We found the service at the hotel to be very good. The Whiskey bar was also good and a very romantic night spot. Unfortunately, it was closed for renovations after our first night there. The bartender across the street at the Frog bar (an older man) was rude! Total jerk. We had 1 drink and left. The rooms were comfortable but very small. Barely room for anything but the bed. The stereo and DVD player were a nice bonus. We ate breakfast at the Pancake house and the food was good but the service there was not great either. The waittress spilled syrup and butter on my shirt and shorts and barely said sorry and walked away! We had to go back to the room to change@!#$W%@ All in all, this is a nice place. The lobby is small and the rooms are small and I think I can find a place for a little less money with a little better accommodations downtown. I'd stay there again only if the room was at a big discount. We paid $200 a night and the regular price is $300 (not worth $300). We have stayed at the Wyndham on Michigan for $160 and it was nicer.	
Jun 16 2007 	mediocre	Our financial advisors booked this hotel for us for a business luncheon at 1pm. We arrived from Nashville at 11am. No room available until 1pm or so. We returned just before 1pm. We were given keys to a room but found luggage already in the room - wrong room.The correct room was OK but in international minimalist style. Bathroom was adequate but a bit cramped with a small bath.We used room service for early morning coffee - OK but nothing special. We only found the restaurant the next day. In true minimalist style it was not clearly marked as such. We did not try it as there are plenty of places to eat with more atmosphere in the immediate area.	
Jun 2 2007 	Perfect place for first timers	Arrived in Chicago for the first time ever about 8 hours before the rest of my party. The Sutton was the perfect starting location to get the most out of my first day. The staff was friendly and helpful with an early check-in. Then, after checking out some of the materials in the room for maps and highlights, was able to walk around to find an abundance of dining, drinking and shopping options right around the hotel, and at the end of the block, the famed Michigan Avenue with all of the city's best shopping -- right there! We never went further than walking distance of the hotel the entire trip because we didn't have too. There was so much do to within just a few city blocks and every place we ate near the hotel was absolutely amazing especially the small pancake house across the street. Even with all of the bars on Rush Street just a couple blocks away, our favorite night spot was the Whiskey Bar located inside the hotel. On Saturday nights it was the perfect little lounge with good music, cozy seating and a good crowd. This place is located in the best part of the city and i would recommend for any kind of trip.	
May 9 2007 	What a great hotel!	What cannot be said about the Sutton Place Chicago. This hotel went above and beyond for us over the 4 nights we stayed there from May 5-9/07. We booked this hotel through a package from expedia,and we ended up getting a great rate of about $165 per night. We arrived on a Saturday morning at 10:00am and were promptly given a warm welcome and an early check in. We spent the afternoon on Mag Mile, and returned to freshen up before dinner, when we received a phone call from the front desk asking if we would be available to receive a delivery. Two minutes later room service arrived with a bottle of champagne on ice and a plate of chocolate covered strawberries, accompanied with a hand written card welcoming us to Chicago and congradulating us on our anniversary. (I had only mentioned it was our anniversary in an email I sent over 3 months prior to our arrival asking for a high floor room with a nice view- which we also received!) Of course this is a wonderful first impression! The rest of our stay was fantastic. Huge bathrooms, with a wonderful tub and a shower with nice water pressure. A very comfortable bed, and a nightly turndown service with chocolates and light jazz music playing in your room. The hotel is in a great location. A short walk to Michigan Ave, and about a mile to the river. It is also flanked by wonderful restaurants. (Gibsons, Carmine's, Tavern on Rush, Luxbar) The doorman was always helpful, and we even were given use of the business Cadillac service to the Art Institute one day for less than a cab ride. It is a short walk to the Red Line Subway. When we return to Chicago we will definatley be staying with our friends at the Sutton Place.	
May 1 2007 	Good Hotel in a Great Neighborhood	A very good hotel. The rooms were clean and spacious with lots of amenities including CD/DVD player and a soaking tub in the bathroom. Minimal noise from the street or neighboring rooms, even though there was a rather loud bar across the street. I didn't try the restaurant because it looked deserted, but there are any number of fine eating establishments within a block or two, including Gibsons and Morton's -- both steak houses. The lakefront and north end of the Mag Mile is one block away. Only small complaint is that the concierge was not particularly helpful and often nowhere to be found. Otherwise, this one's a keeper -- I would definitely stay again.	
Apr 16 2007 	Beautiful Facility Spotty Service	I booked this hotel after reading rave reviews. I was very disappointed by my experience. The hotel itself is beautiful and well appointed. The problem lies with the service and prices.When I checked in, the hotel asked for a credit card to secure amenities- a standard practice. When I gave them my card, they informed me that $150 would automatically and the funds, if not used, would be refunded at checkout. I objected, as this is definitely not standard practice for all but the seediest hotels. I was told if I would not allow the charge, I could not check in or, alternatively could provide a gold card. I allowed the charge. Since I had already paid for the use of amenities, I ate at the hotel one night and had it charged to the room. At check out, I was informed that the meal would be charged in addition to the $150 and it would now take 3-5 days for them to put in the charge-back request. I suggested they take the cost of the meal from the original $150 and reimburse $125. The cashier glared and said this was definitely not an option. I would simply have to wait for the hotel to process the $150.While I was at the hotel, most staff were very professional and courteous. Upon check-out, I went to the gentleman who had hailed a taxi for me all week and requested one. He pointed down the block and said &quot;You can catch one down there.&quot; Its very disappointing that as soon as you pay the bill, the service ends.Finally, the amenities were very overpriced, even for a 4 star hotel on the Mag Mile. The business center charged $1.00 a page to print (my conference hotel down the block charged $.50), Veuve Cliquo Yellow Label- a standard $80 - 85 everywhere else in the city, was $110 and so on.While the physical hotel is lovely, the service and price of amenities will prevent me from staying here again.	
Apr 11 2007 	Great location in the center of everything!	We stayed at the Sutton Place for 2 nights over Easter weekend. We had a great weekend in Chicago, and the Sutton Place was a big part of making our visit special, despite record low temps for April! The location is excellant, at the corner of Bellevue Place and Rush, steps from many of the best restaurants on the Gold Coast, and only about 3 blocks from Water Tower Place shopping on Michigan Avenue. Barney's Midwest outpost is only a block away. Despite lots of night time activity on Rush and State streets, this was one of the quietest hotels I have ever stayed in. No outside noise in our 11th floor room which faced the street, nor was there any interior noise from the corridors. The fact that the hotel only has about 250 rooms makes it very private, and the staff was always very courteous, and genuinely friendly. The concierge and front desk staff made great suggestions for places to eat, and really knew their stuff.  The rooms are generously sized, with great bathrooms. Though the furnishings are showing a bit of age, everything was in good working order. I very much enjoyed having the CD/DVD player in the room. They even have a small library of CD's to listen to in each room! Overall, a great property, and will return here again!	
Feb 19 2007 	Worth every penny!	A long week-end in Chicago with a friend to shop and see the art gallery can be a very tiring experience! What a delight to return home each day to our lovely hotel room. Very plush thick towels, robes, an excellent shower and deep tub. We were on the 20th floor in a deluxe double room......spacious, quiet with deeply comfortable beds. The staff could not have been more helpful and friendly.The Magnificent Mile with its wonderful shops is steps away from the front door.....lots of restaurants nearby. This hotel is in a great location and we are definitely coming back!	
Jan 12 2007 	Chicagos Hidden Gem	This is possibly one of my favourite hotels that i have stayed in in recent times. On looking for hotels in Chicago i found that the city is quite expensive in relation to others and it was through much searching that i found this . For the price it was amazing. The staff are extremely friendly. Its is located beside the major majority of chicagos most famous resturants. It is located in oak street which i believe is in a nicer loaction than the magnificant mile hotels but yet it is only a five minute walk from there. The lake is also near. The rooms were really spacious with extremely comfortable beds. They also had the ince feature of having jazz music playing on the dvd player when u returned to the room.The bathrooms were also large for a hotel. The rooms made the hotel a place that u wanted to come back to at night. We did not eat in the hotel insted has breakfast at the adorable orignial pancake house directly accross the street and some of chicagos well knowm resturants at night. I would recommend this hotel to anybody. My family and I had such a wonderful time here that we did not want to leave.	
Nov 13 2006 	The Sutton is NOT THE PLACE	My partner and I went to Chicago for a quick weekend trip to celebrate his birthday. After we booked our flight, we found out that the American Heart Association annual meeting was also in Chicago that weekend. Needless to say, hotel rooms were at a premium. And the Sutton Place took advantage of that fact. Rates were miuch higher than normal, with no discounts available even searching for internet discounts.We booked a &quot;Lakeview&quot; DELUXE room. The Lakeview was a small sliver of Lake Michigan seen between several adjacent buildings. We made the reservation itself through Expedia and the experience was fine.Check-in was a mixed experience; althought the front desk was extremely courteous, no appropriate room was available until an hour after our arrival even though we tried to check-in at 2:00 pm.The room itself was spacious and nicely furnished with a large although somewhat dated bathroom. The bath products were superb. The TV, DVD player, and stereo were nice touches. Overall, it was an above average room BUT nothing like I would have expected for $450/night.The bed was a little soft but the linens and bed coverings were high quality. HOWEVER, the room was not very quiet; when some of our neighbors got up to check out at 5:15 am we were awakened to hear every word of their conversation at the elevator. And we were at the far end of the hallway.The exercise room is small and inadequate. The hotel does have a relationship with a nearby health club, Equinox. However, that 'relationship' doesn't translate into a reasonable rate to use their gym; a one-day pass was $20.00!!!!!Check-out was prompt and quick.Overall, this is a pleasant hotel in a superb location. Great shopping and restaurants are within walking distance. Don't expect a lot of bells and whistles, and certainly don't pay $450 per night. If you can't get it cheaper you might as well stay at a Sheraton or similar mid-range hotel.	
Oct 30 2006 	Great Location	Stayed at the Sutton Place for 1 night before moving to the Hyatt Convention Center. The hotel is in a perfect location for exploring Michigan Avenue, Rush and Division Streets. Unfortunately, we were given room keys to a room that was already occupied. We were a little shocked entering into a room with a laptop, jewelry and lots of clothing! The front desk was a bit embarrassed as well, however, we took a bottle of Red wine as a peace offering! We went to Jilly's Jazz club around the corner on Rush (highly recommend) and also ate dinner across the street at Gibson's Steak House. Expensive but worth every bit. I would highly recommend going to the John Hancock tower and checking out the beautiful cocktail lounge on the 96 floor - great spot for a cocktail and to watch the city lights glimmer below.	
Jun 26 2006 	Bumped into the right hotel for a good sleep	Missed the flight out of chicago to Europe and was lost midnight, but I found this hotel through my travel agency.. - I never heard of it, althought I knew a few hotels in Chicago, but what a pleasant experience... - this is a quiet and very nice hotel for getting a sound sleep so one can look into the day with new eyes.. - as said by others, bathroom and bed was good and no noise at all from the street.. - staff was relly above average with regard to help... - it is right in the place of the happening area, so my night was shortened up by a snack and a few pints in the &quot;dubliners&quot;, was a cool place..	
Jun 7 2006	A wonderful experience	We spent three nights at the Sutton Place Hotel. The location (right next to the Rush Street nightlife area, close to North Michigan Ave, only a few blocks from a Red Line subway stop) was handy. The room was spacious, the bed comfortable, and all was immaculately clean. Hotel personnel were friendly and helpful. We were on the 19th floor and our room was extremely quiet. I wanted to take the shower home; it was strong, stayed at a constant temperature, and was mounted high enough that tall people (maybe not nba players) won't have to stoop. There was also a large soaking tub. I had never heard of this hotel, but I'd stay here again in a flash!	
May 13 2006	Wonderful Hotel 	My daughter and I stayed two nights at the Sutton Place Hotel and loved it. It is located within a block of great shopping and restaurants and entertainment. Our room was beautiful, clean, and cozy. We had a King Deluxe room and the bed was sooooo comfortable. The staff went out of their way to make sure that we had a good time. Everyone that saw us always asked us if there was anything that we needed or if they could do anything for us. We walked over to see &quot;The 27th Annual Putnam County Spelling Bee&quot; at the Drury Lane Theatre in Water Tower Place. Absolutely hilarious!!! Then we went to the top of the Hancock Building to see the view of the city at night. We had a wonderful time and felt completely safe walking to and from our hotel at night. I highly recommend this hotel. We are planning to visit Chicago again next year and will definately stay at this hotel again.	
Apr 17 2006	Loved Sutton Place Hotel	My son and I just returned from a wonderful visit to Chicago. The staff made our stay at the Sutton Park terrific. All of the staff was kind and professional and went out of their way to be helpful. They provided us with a room on the 20th floor with views of the lake and the city. The concierge sent milk and cookies on our first night and it was greatly appreciated by my son (for 2 nights!). The beds were extremely comfortable. We brought a DVD to watch one evening after a late dinner, so it was great having the DVD player available. We loved the neighborhood, and especially enjoyed breakfast at the Original Pancake House, located across the street. We enjoyed all of the sights, baseball games, shopping, museums, great food and luckily great weather (until yesterday)that Chicago had to offer on our four day visit. We could walk to most of the sights, or walk to the end of the block to catch a bus. The train was closeby and we used it to get to the White Sox game, Wrigley Field, Oak Park and Midway. We had checked out on Sunday, had a full day of sightseeing, and returned late in the day for our luggage. The staff kindly loaned me a hair dryer, as we had gotten caught in the rain, and let me use the Gym suite to freshen up before we departed for the airport. I had a lot of Chicago hotel choices and I'm glad we chose the Sutton Place. We would definitly enjoy a return visit, and I will recommend Sutton Place to friends who plan to visit.	
Feb 12 2006	Great weekend	My husband and I live in Lincoln Park and once a year, we like to celebrate a special occasion by booking a room in a nice hotel. We were most pleased with our stay at Sutton Place. We were greeted warmly by the doorman upon arrival, the front desk accomodated our request for an upgrade by giving us a corner room with a lake view. Our room was clean, the view was excellent, the bed and down comforter were extremely welcoming and the large soaking tub in the bathroom was a pleasure. Our room service breakfast was delicious and delivered on schedule. The neighborhood is cool for just walking around and exploring and there are limitless choices for eating and drinking. I don't think you can get a better place for the money. We will definitely be going back!	
Nov 29 2005	Unbeatable location very nice room hard bed	I lived in Chicago for seven years, most of them about four blocks away from this hotel. It's in absolutely the best location in Chicago, since the Mag Mile is an easy walk, as is Lincoln Park, and of course it's in the heart of the Gold Coast, which is great.The hotel is impressive on the outside, with a nice (albeit small) lobby and decent attached bar (The Whiskey). We had a room on the 17th floor with a good view north, a hard, uncomfortable king size bed, and a nice set of chairs, a desk and side tables. The bed was quite hard, to the point that neither my wife nor I was able to sleep well.Still, the bathroom was beautiful, the TV had a nice selection of HBO and other premium channels for free, and the room itself was nicely decorated. We found the room to be well insulated from external noises, and it was quite comfortable for our four day, three night stay.The Pancake House is directly across the street, which is very convenient for breakfast (although there are always crowds). Beyond that, there are a ton of restaurants and bars to go to within a couple of blocks. (Le Colonial is an excellent Vietnamese restaurant, very dark and romantic, and only about two blocks away.)All in all, a very nice, albeit pricy, hotel. We try to stay in a different hotel every time we go back, but this was definitely one of our favorites (except for the bed).	
Nov 7 2005	Customer service is really slipping	We have loved the Sutton Place and stayed there many times. I had read the past posts about some of the problems, but chalked them up to &quot;grumpy guests.&quot; Well, maybe I am one too, but we won't stay at Sutton Place again.We made our reservations through one of the bulk hotel retailers when they had a better price and the prepay option. I even called S.P. to ask if this would make any difference, and the reservationist said, &quot;No, you'll get a better price through them and it doesn't matter to us.&quot; I specifically put on our reservation that it was our 25th anniversary, hoping this would get us nice treatment.We arrived well within the check-in time and were put in the handicapped room on the 8th floor. Now, I'm not complaining about handicapped rooms, and some of them have been the most luxurious rooms I have ever been in. This one had the advantage of no view -- which meant we weren't on one of the noisy streets, but it had the dinkiest tub with a pitiful handheld shower! I've had better showers at the Holiday Inn Express. When I asked if we could move to a higher floor or different room, they said, &quot;No, that's the only room we have for you.&quot;On Saturday evening, I needed change for a $100 bill. When I asked the desk clerk to make change, he said he didn't have it, and suggested I go to the Whiskey Bar next door and get it there. Was I supposed to tell HIS bellman that I didn't have tip money because I didn't want to go into the smoky, loud bar adjacent to the hotel?!?! Infuriating.Find another hotel. This one has lost its magic.	
Sep 17 2005	watch out	Watch out for the Sutton Place Hotel. They overbook. We were upgraded to a junior suite, probably because we had already paid in full for our room that had been given to someone else. You might not be so lucky---and who wants to start off a vacation with a hassle!	
Sep 12 2005	Nice hotel	My husband and I stayed in the hotel over Labor Day. This was our first time to Chicago. We thought the hotel was in a nice spot. It was close to alot of great restaurants. (Mortan's and The Wiskey bar) This hotel is about a 25 min walk to the Navy Pier. We stayed on the 21st floor with a lake view in a corner room. I wouldn't call the view a lake view, not worth paying extra for. The room was very small alot smaller then the pictures look. The room was very clean. The bathroom shower leaked all over the floor when you took a shower. Also only one robe in bathroom. They have a nice radio and cd/dvd palyer in the room. That was nice. We didn't like it that you had to call room sevice when you wanted ice. Not very covenant. We ordered room sevice one night the food was good and it was brought up to our room very fast.The staff at this hotel were very nice and helpful. They even printed off our boarding passes the day we left the hotel. The doormen were great!The only problem I had this trip was when I got home I looked at my credit card bill the hotel had two differnt charges on my card. I didn't think they were right so I emailed them several times and never got any response. So I called them and they had double charged me for the mini bar. They lady I talked to didn't belive me that I didn't use all that stuff out of the mini bar. So I got upset and she credit my card. I'm sure some people do lie about what they got at the mini bar that why she was acting like that.Overall this was an okay place to stay. It was nice, but not a luxury hotel.	
Sep 5 2005	Great Location Outstanding Service	My wife and I stayed at the Sutton Place over labor day weekend. We were extremely impressed with the level of service and the politeness of the staff. The rooms are good sized and tastefully decorated. We were however surprised at the stained carpet (this caused us to lower our rating from excellent to above average). Every room has a large soaking tub and separate class shower.You can not beat this Gold Coast location. Try the Le Colonial resturant or the Zinc Bistro located within a couple minutes walking time.	
Jul 25 2005	Loved the Area	My husband and I met our friends from Iowa for our 32nd anniversary in Chicago. A friend of my husband's recommended Sutton Place saying it was fabulous. When I read on TripAdvisor that it was rated #20, that should have been a clue. The hotel is IN Nightlife Central. It's on the corner of Bellevue and Rush, and I've never seen so many young people in one place at night. If I was 20-30, this would be the place to be seen. Also there were TREMENDOUS restaurants within walking distance...Morton's, Gibson's, Tavern on Rush, Carmines, etc. We had a quick bite at Dublin's the afternoon we landed. Stephen, the bellman suggested it saying the soup was great. It was...but everything else was definitely lacking. Dublin's has no umbrella tables, and once that setting sun went between the buildings, I was staring and sweating into the sun! More about Chicago restaurants later...We had reserved a corner room looking out onto Lake Michigan. Yes, we could see the lake - between the buildings, but for the most part all we saw was tops of buildings (we were on the 21st floor). Those before who have said the rooms are small, are dead-on, but this seems to be the trend lately. I love the Pan Pacific in San Francisco, and its rooms are really small too, but you have to love their bathrooms. I would truly say it was only Sutton Place's shower, the deep soaking tub, and the Gilchrest and Soames toiletries that saved me giving this room a below average rating. The bed was comfortable, but there was definitely, no maneuvering room. I got the ironing board out to iron my dress for dinner that evening, and I had to wedge it in between the desk and the bed. Also, if you have a hair dryer - bring it! The one in the room was HORRID. There were two settings: Frantic and &quot;I'm not blowing one hair on this head!&quot; The high setting blew such hot air that I had to hold it two feet from my head, and then I still burned my hands. Turned out it really didn't matter - it was so humid, my hair did its own thing. One thing about Internet access - they have Wi-Fi, but it's $10.95 - that's ridiculous!The Whisky Bar in the hotel has very good martinis, but beware...it's loud and if you are a middle-aged woman, you may have a hard time getting waited on.Friday evening we joined our friends and as their daughter lives in Chiago, ate at a wonderful restaurant...Chicago Chop House. Think Morton's without the glitz. It's in an old building and you have to walk up stairs to get to you table. Ours was on the third floor...I was tempted to ask if there was an elevator, as I have arthritic knees and don't do stairs well! However, stairs aside, the food was incredible and the wine list goes forever. My husband loves his beef and he had one of their specials, and declared it the best beef he's ever had in his life. I had the sauteed catfish almondine and it was sweet and tender - melt in your mouth. Make sure you try Russ' Potatoes...homefries with onions and rosemary - tremendous! None of us had room for dessert because the portions were huge.Saturday the boys went to the Field Museum to view the captured and restored German U-boat and my girlfriend and I hit the Mag Mile. I must say I'm a shopping fool, but I didn't see any stores where I would buy clothes with the exception of Chicos (it's not on the Mag Mile). It was fun though to go into Tiffany's and drool, drop by L'Appetito Deli by the John Hancock building for gelato and walk until we wilted (they were having a heat wave when we were there - on Sunday it was hotter in Chicago than Phoenix where I'm from).We had lunch at Cerise in Le Meridien hotel...my friend built her own salad for around $14 and I built my own Bento lunch box (soup, a small salad, petite entree and basically a scoop of dessert) - it was more than enough for lunch. We had planned to have High Tea at the Drake, but we never made it back there. While in the Nordstrom's shopping area (there are several different shops inside surrounding Nordstrom's), we found the most wonderful apothecary called Sabon...lots of bath butters, salts, soaps made with minerals and clay from the Dead Sea...in the whole weekend, these are the only items I purchased. Beware everything comes in glass, so make it the last place you stop, or your arms will be weary from the load! I finally had them ship some things home. They have a Web site but if you're this side of Chicago, they will send you a catalog and you can order from them - shipping is definitely less.Saturday evening we took our friends for their first time to see Blue Man Group - we have seen it three times now - twice in Chicago and once in Vegas. If you can, go to their venue in Chicago. It's much, much better. This is just a deflightful show and I highly recommend it to everyone.Saturday after the show, we had tapas at Cafe Ba-Ba-Reeba, and again, it was so good. Some of the better tapas included: Beef Empanada, Stuffed Crimini Mushrooms, Frisee salad with almonds, Garlic Potato Salad (yum), and of course the Sangria - they have several types.Sunday morning dawned very humid and very hot...we met our friends in the park across from the hotel - it hosts a Gloria Jeans and is a very pleasant place to just sit and people watch. Lots and lots of people walk their dogs and there was a delightful wind pushing between the buildings. I suppose if you live somewhere other than the desert, you might not enjoy the wind as much as we did...but it was coming off the lake and very refreshing. We had breakfast at Carmines..we had frittatas that were huge, but the downside was they brought you plain-Jane white toast with no butter...kind of weird in a Midwestern city (we farmers love our bread and butter).For an anniversary weekend it was pretty great considering the food and friends, but I would definitely stay somewhere else next time. My best friend here in Phoenix suggested The Drake, and my girlfriend's daughter suggested The Sofitel.Our room was $219 a night and I didn't think it was a bad room for the price. My friend who drove in from Iowa, says if you don't want to stay in downtown Chicago, you can stay just outside Lincoln Park in hotels for around $89/night that includes Continental breakfast.	
Jun 13 2005	Clean and Friendly!!	Had a nice stay over Memorial Day Weekend. I was impressed with the cleanliness of the room which is extremely important to me. We were also on a non-smoking floor which was nice. Walls were a little too thin however. On Saturday night we had to listen to the cackling women in the room next door until 3:00 in the a.m. They were having a good time. I wasn't going to spoil their fun. Turn down service every night. Rooms come equipped with CD players but we didn't utilize it. Beds were extremely comfy. We were able to catch up on a lot of sleep. Location was o.k. It's about 45 minutes from O'Hare on the train. Not very convenient for sightseeing (like museums or boat tours) unless you like walking alot. There's always cabs and the red line which is about a 5 minute walk away. Hotel is directly across the street from great restaurants like Gibson's and the best margaritas in town at the Blue Agave. Oh, and the pancake house across the street has great breakfasts, but get there early. The line is out the door by 8:30. The staff, especially the doormen, were very friendly and helpful. Fresh fruit and complimentary newspapers awaited us in the lobby. It was a nice touch. I would stay here again if our itinerary included shopping on Michigan Ave and partying on Rush. However, if you're looking forward to visiting the Navy Pier, museums, and such, stay closer to the river.	
Jun 9 2005 	Nice Clean Place	We had a nice room on the 10th floor with a view of the city. Room was very clean. Twice daily housekeeping was nice for a fresh set of towels and soap. Ice delivered each evening, be sure and ask for a full bucket if you require ice. Nice place, nice room, nice bathroom (deep tub and separate shower). Location is on Rush (Bellevue). Lots of eating/drinking nearby. Close to Watertower place and Michigan shopping. Next time however, will probably stay closer to loop area, just my preference.	
May 18 2005	Great choice in Chicago	Just spent four nights at the Sutton Place Hotel in Chicago. I chose it for five friends and me for our annual get-together primarily on the basis of reviews I read on TripAdvisor. I was not terribly impressed when we arrived--small lobby, nothing special--but the longer we stayed, the more we appreciated the hotel. The staff was extremely well-trained and professional and did everything possible to be helpful. The doorman, Gary Sykes, was also highly professional--and a delight! The location is extraordinary. It's a few blocks west and north of the Magnificent Mile within walking distance of Lake Michigan, on the corner of Rush and Bellevue. To the west on Bellevue are wonderful brownstone townhouses. Across from the front door is the Original Pancake House, where we had breakfast every day and which offers crepes and other delights along with the usual. But what made the location such a find was the vibrant street life after dark, with people eating outside, strolling, etc. We had four wonderful dinners at three restaurants (went back to one of them) within a half block of the hotel--Hugo's Frog Bar, Carmine's, and Merlot on Maple. The restaurants, too, were professionally staffed. You can't go wrong with Sutton Place.	
May 15 2005	Pretty Lame	The doorman was the best part of this hotel. He informed us that there was a cd player in the room because he saw all of our cd's sitting in the car. He also knew that we were going to the U2 show when we asked him how to get to the United Center.That was a great moment.The rest...not so four star. The room was really small. The bed was extremly comfortable. The view was splendid. The bathrug was falling apart and they only gave us one bathrobe. Some minor repairs and cauliking needed in the bathroom. The cd player was nice. A lot of business people staying there. Lobby small, dark and a bit strange.Overall, it was a comfortable stay. Was it worth the price? I don't think so.	
May 4 2005	Great place to stay - never disappointed	Whenever I travel to Chicago, I usually stay here at the Sutton Place Hotel.Great place to stay - nice, clean rooms with nice added touch - CD Player, bathrobes, bathtub and shower stall. Staff at hotel provides great service, alway accomdating to guest needs. Very convenient to shopping and tourist spots - near Michigan Ave and Lake Michigan.	
Feb 7 2005	Four Stars???	Ok...a disclaimer to start off...I'm new to the &quot;luxury&quot; hotel scene so maybe I dont have much to compare my experience against but my stay at the Sutton Place was below expectations. After researching for months on the perfect hotel in Chicago for New Years I settled on the Sutton for a pacakage of 269 for a night which included breakfast, parking, champagne and strawberries, and taxes. The first thing I noticed on arrival was only two elevators in the whole building...which was a bit of a wait all the time we needed to get up and get out. The room was kept clean no issues there, but lying down on the bed I could feel the springs!!! I couldn't believe it...Other than that we had a few requests for room service....some were taken care of at a reasonable time. After placing an order for breakfast at 9:30 our breakfast promptly arrived at our room 2 hours later and one hour later than they told us it would arrive. In the end...the Sutton may look like a luxury hotel but it lacks the &quot;details&quot; and thats where luxury hotels are supposed to shine.	
Feb 5 2005	Absolutely Fantastic!		
Jan 18 2005	The Sutton Place Hotel: Did Not Meet Our Expectations		
Oct 12 2004	sutton great location		
Jul 29 2004	IT DOESN'T GET ANY BETTER!!!		
Jul 16 2004	Take Bad with Good		
Jun 27 2004	Impeccable Service and Great Location		
Feb 16 2004	Very Disappointed		
Oct 23 2003	Great Location		
Apr 20 2003	Great Hotel with Limitations		
Feb 20 2003	Location Location Location 		
Aug 17 2009 	Eccellente hotel cittadino servizio impeccabile		
