	Very nice stay	We spent the Thanksgiving weekend at the hotel and got a very good price (much lower than the normal rate). The room was very nice as was the pool and exercise room. The parking was expensive, but they give 50% discount for hybrid cars (yea!) so it was reasonable. There aren't many places in the immediate vicinity to eat, but nothing is a very far walk.	
Aug 20 2007 	Early check-in/$3 Boarding Pass Charge	I was very pleased when the front desk allowed me to check-in at 8:30am. But boy was I let down when I was told there was a $3 fee, per person, per boarding pass being printing. An employee said this fee started just recently. Overall, the room was nice, huge bath robes, spacious bathroom, three chairs in the room. Room service got my breakfast order wrong but they made it up the next day when I ordered a kids meal and got enough food for three people. Rooms in this hotel are noisy though...anytime anyone turns on water - above, below, or beside you - you can hear it! A cab to the State Street Macy's was $4. If you need a paper before the lobby store opens, go to the coffee bar and they will let you have one.	
Aug 17 2007	Horrible take a pass	Recently stayed her for 3 days for business conferences.I called in a few hours before check in time to see if any rooms were available for check-in, the operator connected me to the reservations desk. The woman who answered was rude and standoffish going on and on that you could obsolutely not check in until 3:00. So I called again, this time got the front desk, they did say if a room was available before 3:00 you could check in. Got to hotel, rooms weren't ready yet. Feasible since there were 3 large groups meeting there. Finally got a corner room. Looked ok.1. Bathroom looked like it came out of the early 1990's with round circular lightbulbs going around the mirror. Shower was very tight and small. Mold growing in between tile. Fellow coworker had leaky shower head and door. I had a leaky showerhead.Toliet made funny noises after being flushed. Took forever to find hairdryer. In case you are looking for it's in a white bag in the coat closet hanging off the bathrobe. Overall bathroom needs a complete remodel.2. Bed-= absolutely awful. Nowadays most hotels have nice comfortable beds. Unless you like really firm beds, this bed is not for those who are used to luxury pillowtops. The mattress was old and hard. Could not fall asleep on. Actually got a backache from it for 2 days.3. TV and Internet connection: slow, they do have wireless. Wireless is free but to activate it and link your computer to it there is an fee of $10. TV has something to be desired. Even if you are waking up in the morning or winding down in the evening, the TV connection was bad due to use of sattelite. Co-worker had a snowy picture on all channels. Not much to choose from in the channel selection. 4. Exercise room: There is an extra charge per day per person to use the gym. Pool is free.5. Parking: Unless you can expense for business, leave the car or rental car at home or airport. Overnight parking costs $45. That is absolutely crazy. Stick to walking or taking the cab, &quot;El&quot; or metra if you need to get around. 6. Elevators: Slow This hotel is definitely not a top hotel. For $219 a night it is lacking in comfort and amenities. Check out different hotels in the city. This one deserves a pass! Wouldn't never stay here for casual or business again.	
Aug 13 2007 	Beware - not 4 STAR	Here are the only reasons you should stay at Swissotel in Chicago, if you like:1 - Hard Beds2 - Small rooms3 - Bugs and hairs (not yours) on your bed4 - Someone else's mascara stain on your blanket5 - $6.00 bottled water7 - Construction sights next to your hotel8 - Going to another floor for ice9 - Mold/limescale pn the shower (? not sure what it was - I didn't bring my chemistry set). Absolutely disappointed in this place. I over paid and was overly displeased!!On the good side - the bellmen were nice and there is a good view from the pool/fitness center area. But we won't stay there for that.	
Aug 12 2007 	Excellent - Get the corner room	I stayed at the Swissotel for a business trip the first week of Aug 2007. I arrived late the first night and got shoved into a hospitality room the first night. However, this was more than made up when after a strong talk they assigned me a corner room on the 28th floor. EXCELLENT view of the city, river and Lake Michigan. In fact, I would say the corner room of the Swissotel has a better view than any other hotel in the vicinity. The room was huge, and everything was clean and the bathroom was nice.The hotel is very convieniently located to the Magnificient Mile and Millenium Park. Would very much recommend this hotel, and would suggest trying every method possible to get a corner room in a higher floor.	
Aug 9 2007 	First Chicago Visit	This was our first visit to Chicago and we booked the hotel through Travelzoo. We did get a good price but would have been very disappointed if we would have paid regular price. The mattresses were HORRIBLE. After walking Chicago, the bed was of no comfort. No vending machines of any kind if you wanted a soda--only minibar in room--$6.00 for water. At checkin, the staff never made eye contact and only went through the motions.Would not stay there again!!!	
Aug 7 2007 	Great value - a nice stay	I got a great rate through Hotwire.com and was thrilled when I found out this was the hotel I picked. The hotel was very convenient to where I needed to go, and despite the weather (yes, it is windy there!) we still had a great time.I found the restaurant (The Palms) to be over rated, which was my only negative experience. It was not formal, but had formal prices, and didn't have mashed potatoes, which for me is a requirement of any great steakhouse! That's just a personal preference, but one that mattered to me!The rooms were sleek and cool - great views. Front desk was efficient and nice. Bell staff was attentive and available.Valet parking was a plus.Ordered breakfast through room service, which was great and on-time.Would definitely recommend this hotel and will hopefully stay there again.	
Aug 6 2007 	Couldn't have picked a better spot!!!	We stayed five nights at Swissotel Chicago and loved every minute of it! It has gorgeous views of the river and lake and is close to pretty much anything. We were able to walk everywhere we wanted to go - Navy Pier, Sears Tower, Grant Park, Museum Campus, Hancock Center, Michigan Avenue - you name it. The service was awesome. From the moment we checked in, the staff was courteous and meet every need, including arranging for a crib for our daughter and making sure it was safely set up before leaving our room. The pool was also really nice and, since it's at the top of the hotel, offered even more gorgeous views of the city and lake. We got a great deal ($109 a night), which we booked as a special through travelzoo. The room service was a little expensive but very good. The concierge was wonderful with giving us accurate directions to attractions as well as recommendations for restaurants. I hope we can stay at the Swissotel every time we visit Chicago!	
Jul 31 2007	Customer Service needs improvement	I requested a room with a nice view when I checked in and was told that our room overlooked Grant park. Our room did overlook the park for a small area in between two buildings. 90% of our view was construction of a new building. I would not have had a problem with this except the clerk misled me into thinking our view was as good as the other side of the building. The clerk also failed to give us a free breakfast voucher ($50.00 value) for the next morning which was part of the package purchased by my company. We were with a large group and they told us about the great breakfast later the next day. I asked another clerk for a breakfast voucher for our second morning and she gave me one with no offer of compensation for the one not given to us. The internet did not work in our room and I called the front desk who transfered my call through an 800 number. The frist call was unanswered and I called again in about 15 minutes. We worked though the issues and got the internet going. I found that I was charged for these two calls on my bill and had to have the clerk remove the charges. The hotel charges for internet service.The bar is the most expensive I have seen in a hotel. My wife drank one bottle of water ( small about 16oz.) and we were charged $6.00.I send an email about the voucher to Swissotel customer service when I returned home and did not receive a response.The room was average and was clean the first day. We discovered that our room was not cleaned the second day of our stay but it was 11PM when we returned from our day out and did not complain. The best part of our stay was the fitness center. They have a great pool plus several machines. The view from the fitness center was fantastic.Overall, I would not recommend this hotel and will not stay there again.	
Jul 30 2007 	Swissotel was great....	My 3 nieces and I stayed here for a long weekend, we had a wonderful time. We arrived early around 8:30am and they let us into our room. This was very nice otherwise we would have had to store our luggage and register laterRoom was very clean as was the bathroom. With 4 women we needed extra towels, they brought them up right away and then we got a call to make sure they were delivered. Room was also quiet, construction going on behind us and we never heard anything.Beds comfy and so were the quilts...Good location for Michigan Ave. All in all a wonderful stay. Would return.	
Jul 28 2007	Great Visit!	I spent last weekend in Chicago with my Mom...(Her first visit to Downtown). We had a very nice time. We were able to get in on the Swissotel deal for $109. It was a nice hotel, but glad I didn't pay full price. It really wasn't that special as far as the room went.However, the staff was very friendly and helpful. At first I was a little upset about the $45/day parking, but to me it ended up being well worth it. I pulled up to the front door and the Valet parkers were so pleasant and helpful. I didn't have to worry about finding the garage and then finding my way back to the hotel. It was especially nice because although my Mom does pretty good walking, it was nice not having to make her walk any more. It was so awesome to call down and have the car ready within about 10-15 min. To me, definitely wortht the price!The Swissotel was also very cool in that we had a great view of Navy Pier, from the hall window by the elevator. Our room looked onto the river and front entrance wihich was also pretty neat. And I loved the fitness center on the 42nd floor, so you could look out over the city and work out. Tremendous!The menu prices at Swissotel were a bit out of our range so we walked the block or two down to Houlihan's for a really nice breakfast buffet for only $10. Corner bakery was only another block further and was great for our 2nd breakfast. Although, my mom got the eggs and potatoes and her potatoes were cold.But, Southwest salad she got the nite before there was Humongous! and very good.We did use the free trolleys from Navy pier, trying to get to the Aquarium, but when we had to transfer at Union Station, the &quot;green&quot; trolley never showed up, and we ran out of time before our conference at the United Center that evening, that we didn't get to go to the Aquarium. So, if you want dependable transportation, don't use the trolley.We went to the Arts and craft show on Canal street between VanBuren and Jackson.....such as it was. There were 5 small booths and not much there. I wouldn't suggest that to anyone for next year.Thank you to all on this site who anwered my questions and helped me plan this trip. We both had a really nice time!I'll be coming back the first weekend in Aug. with my 17 yo daughter and another mom and daughter. I'm really looking forward to that too!	
Jul 25 2007 	Getting as worn down as Keith Richards.	My husband and I stayed at the Swissotel Jul 21-24th. We lucked out by getting our room for $109 a night. So considering the price paid, I had a great visit. If I paid rack rate, I would be livid. When I stayed at this place 3 years ago, it seemed to be much classier and elegant. Now the place is looking worn and tired.Pros: I called ahead and requested a higher room. We had a city view on the 31st floor. The views were excellent. The location away from the hustle and bustle so the area was quiter than the competition. The linens, towels and bathroom are top notch. Rooms are spotless. Bed was comfortable. The bathroom is spacious and the layout is very functional. I never heard any noise from the walls or above/below me. You could hear the neighboring doors open and close.Cons: The customer service stinks. The clerks lack any warmth or customer skills. It was just business. No smiles, no inquiries, no concern etc. The carpet has obviously been steam cleaned too many times. It was stretched out and wrinkled in many places. The furnishings had chips and peeling paint. The artwork was similar to what I had when I was a college student. Nicer prints and frames can be found at Linens and Things. To use the health club, you have to pay $10 per use. We paid $10 to use the room internet which was slower than any dial up that I have used. Turned out that fee only covered half of a day. Would I stay here again? If I got the same price, yes. Otherwise, stay somewhere else. I hear they will be remodeling this hotel next spring/summer. That should be a huge improvement. Meanwhile, it seems they are simply letting the place go. Hopefully, things will turn around because I absolutely love the location and views this place offers.	
Jul 25 2007 	Great hotel	I recieved a great deal on the rooms here and it was wonderful. We had two rooms, one was upgraded to river view (without an additional charge) which was very nice. The other room overlooked new construction. Beds were very comfortable. Hotel and rooms were clean. Parking is pretty steep, but we didn't have a car so that wasn't a concern for us. It would have been nice not to have a fee to use the excersize facilities, but we didn't have to because we walk around the city so much. The one downside we found was that it wasn't super close to the El. It is close to Navy Pier and Millenium Park.	
Jul 25 2007 	Wonderful surprise!	What a wonderful surprise! I booked this room for only $115.00 through an online hotel booking service. The room had a great view of downtown and the river. The location is great for walking to Michigan Avenue. We were in the city to see Wicked and decided to walk back from the theater; the walk is only 10 minutes from the theater district! The room was very clean and comfortable. I particularly enjoyed the luxurious robes! The linens were very soft and the bed was comfortable; I didn't wake up the entire evening! The young lady that checked us in was very pleasant and I was very appreciative of the articulate directions given to us by one of the staff members. I would recommend the public parking garage located within steps of the hotel, 303 Wacker street. The parking was reasonable (self parked) for $23.00 per day. After parking your vehicle you take the elevator to the Lobby level of the office building (above the parking garage) and walk directly to the Swissotel. As we left last night I noticed that they were replacing the lobby carpeting (which didn't seem worn to me); a sign that this hotel continues to improve their property.The only &quot;negative&quot; comment I would have is the mini bar in the room. I realize that this is an upscale hotel; however the cost of the items in the bar are incredibly high. There are several items to choose from; however a can of soda is $4.00 and a bottle of beer (domestic) is $8.00. If you plan on having snacks or beverages in your room; I suggest you bring your own OR visit the gift shop which has soft drinks at a cheaper (yet high) rate. I would stay at this hotel again!	
Jul 25 2007 	Not as Expected	Was expecting big things from this hotel based on previous reviews, price and stature..... It was a good hotel, the rooms were clean and there were little things like dressing gowns that were a nice touch but other everyday things let the hotel down. The bell service at the front door was nice, opening the door of the cab when we arrived and always saying hello when we were entering or leaving the hotel but the reception and concierge service was not as polite, often making us feel like we were troubling them for recommendations or when asking about buses and maps. Our room was comfortable although the pillows were very lumpy. They did give us an extra bed for our little girl after we requested it but having stayed in the hampton inn and suites, milwaukee the days before, i have to say the service was poorer. Our room overlooked the construction but we were hardly in the room and so this didnt really matter and it is not the hotel's fault. Watch out on check out oo as they made a charge for the mini bar of $22 when we hadnt even opened it, they did remove this when we questioned it.The location is good but you could stay nearer all the restaurants for a similar price or a little more. We got a great deal from ebookers.com $200 per night but wish we had stayed with the hilton group for our stay in chicago s they seem to be more reasonably priced and more customer service based. Chicago is fantastic and i would recommend giordinos pizza (they are dotted throughout the city), we also did the chicago bus co tour, we paid fpr a 3 day pass which was worth the money because it is a hop on and off service and can be used to save your legs when you start to get tired. Watch out for shoe shine men, we saw them charging someone a fortune $20 to clean their shoes after they had started without permission so just keep walking if they approach you. Navy pier is good for the fireworks on wed and sat nights which you could see from our hotel too. Sears tower view is amazing but a little steep at $12.50 per person (no pun intended). If you love shopping look out for filennes basement, they ahve the designers at outlet prices in the city, there is one at the top end of michigan ave (mag mile) and one on state street near the body shop. Got some great bargains there! If you are travelling with children make sure you visit the children's museum (free on thurs eve 5-8pm) and the rainforest cafe where the rain forest comes to life while you eat with elephants, rhinos, frogs, crocdiles and more.	
Jul 25 2007 	Above expectations	I stayed in Chicago for the first time and this hotel met my needs.I booked my room early - Travelzoo promotion for $109 per night.The room was quiet and spacious, especially the bathroom andI got a nice view of the Chicago River. The room itself had worn carpets, some scratched furniture and leaky showerhead, butthe maid service was generally prompt and efficient. My room wasready no later than the late morning/ early aftermoon.You might want to request a quiet room because there is construction occurring on the south side of the hotel duringnormal business hours. I was fortunate not to get a roomon that side. You can also pull the dark shades all the way across the window and avoid the morning sunshine. I was able to sleep late until 9-930am which was a plus for me.My room had standard cable TV channels and was cool and comfortable. I did not touch the mini-bar per previous reviews.The pillow top mattresses were comfortable enough for me.I decided to eat at the Palm hotel restaurant. We had violent thunderstorms moving through the area one night. I was delighted as the waiters were very friendly and the seafood was delicious. I paid $60 total for my meal (without dessert) but understood it was realistic given my vacation destination and location.There are plenty of restaurants and bakeries nearby to eat if you are on a budget or want a cheap breakfast. The Corner Bakery Cafe and Houlihans are a couple of nearby places on East Wacker. I attended during a part of the work week and avoidedlong lines.I've read some concerns about the distance to subway stations.This really wasn't a problem for me, I timed the walk generally 13-15 minutes to State Station. It wasn't too far to get anywherereally. The Navy pier was about 25-30 minutes away and the subways and buses take you so many places if you're tired ofwalking. Consider buying a 3 day visitors CTA pass for $12.You get unlimited subway and bus rides. The visitor center isclose by on Randolph street. You can also walk down the stairs to the canal and take an architectural tour down the Chicago Riverwhich is informative and I would recommend. You can watch the Navy Pier fireworks from the hotel Wednesday and Saturday evenings weather permitting.Consider flying into Midway Airport instead of O'Hare...only a 30 minute subway ride to Randolph/Lake orange line station and vice versa and no transfers. I've heard the blue line to O'Hare can take up to 90 minutes. You can also avoid taxi fare.I didn't bring a car, so no comment on parking expenses.Overall I had a pleasant stay at the Swissotel. I had a lot of fun exploring Chicago.	
Jul 23 2007	A Positive Hotel Experience	I must have stayed somewhere completely different from the last review. I've stayed in a number of Chicago hotels, and this one was very nice. Our room and bathroom were both spotless. Our room was the largest room we've ever had in Chicago. We had a king bed with a desk, dresser, etc., and a very nice marble bathroom. We thought the bed was very comfortable and the linens were crisp and clean. The shower was spotless, as was the rest of the bathroom. We liked the separate shower and bathtub. Check-in and check-out were a breeze (on a Saturday and Sunday), and the staff was just fine. Not snooty at all, just adequately friendly.There is a taxi stand right outside the hotel which is a bonus.It is just at the bridge at the Chicago River, so you are not at all far from Michigan Ave. Getting to Navy Pier, however, is tricky because you have to go down a bunch of staircases and make your way through various streets to get there (it's easier from Mich. Ave).There is a public parking lot just down the street and on the left (parking at the hotel is $45 per night, which is a downer). And for breakfast there is a Corner Bakery right down the street as well.If you book here, ask for a view of Navy Pier if you can. It's a nice view. We had a view of the river, which was nice as well, but not as nice as the lake and Navy Pier.All in all I have no complaints and would stay again.	
Jul 21 2007 	Had a great time in Chicago	I stayed at the Swissotel for a conference July 8-13. We added a couple days to the stay after the conference so we could enjoy time with family flying in to join us. I have a little different perspective on the stay because I stayed across the street at the Fairmont on July 6 &amp; 7 so I have a comparison. I absolutely love the look of the Swissotel. Our rooms were nice and didn't look worn or old. In fact, I have no complaints except for the building noise outside the hotel which isn't their fault. Our grandchildren enjoyed the nice indoor pool and we appreciated no extra charge for using it. My biggest complaint is I got used to the Fairmont's treatment, the staff is very well trained to meet your every need and are over accomodating. The Swissotel has very ordinary concierges that aren't overly friendly like the Fairmonts and their front desk didn't say &quot;Welcome to Swissotel, how can I assist you, it was basically - next?&quot; The Fairmont welcomes you, asks if they can assist you further, etc, etc. My conference rate was higher at the Swissotel than the Fairmont. The rooms were comparable but I have to admit I loved the Fairmont service, especially the bellhops and front desk. Swissotel needs some training on customer service. Often times there appears to be a manager waiting as you come through the door but never once did he say a thing so I assume the help gets their training from people like him, sad because I think the hotel architecture is fabulous.I do recommend while in Chicago go eat deep dish pizza at Giordanos and get Oprah's favorite carmelcorn at Garrett's Popcorn. All of us enjoyed the Field Museum and if you have children, take them to the Navy Pier (fireworks Wed and Sun visible from hotel) and go to the Children's Museum. It is free Thursdays from 5pm-8pm. There is a deli/store very close to the hotel called Bockwinkles. The sandwiches are great, $3.99 freshly made. We stocked up on soda, water and snacks there. I loved Chicago and plan to return again. Will I stay at Swissotel, probably not.	
Jul 15 2007	meh...	This hotel is not worth the price on all fronts. The rooms are in pretty shabby condition, but they are clean. They need a remodel badly. The furniture is scratched and scuffed, the carpet is peeling up in places, the walls are paper thin, and the beds are awful. The location is good for the view, but that's about it. It is too far from the train stops and really everything else is a bit out of the way. If it were just a block closer to Michigan Ave. it would be great! I guess the thing that bothers me most is that from the lobby decor and staff attitudes, this hotel is trying to be very snooty but then you go to your room and it is a piece of junk! I have stayed at many other Chicago hotels and like them a lot more and they are cheaper! I am in Chicago for a conference and this is the host hotel...what can I do?!	
Jul 13 2007 	Location is everything.	I stayed at the Swissotel the weekend of 7/6 - 7/8 for The Taste and The Color Purple. While the rooms are a bit dated, the location is great. From our room Navy Pier, Michigan Ave, and The Taste was in walking distance. Literally if you looked out my window you could see the Taste and just a few feet from my room to the elevator you saw Navy Pier. The Cadillac Palace is less than a mile away as well (This where the Color Purple is). We were also only a $5 cab ride from Rush St.The bad side is that the rooms are dated and in need of some upgrades, but for $109 a night through Travelocity it was great. The front desk was helpful with switching my room to a King Bed. Another ding against the hotel is that they charge for everything! A simply local call for 1 minute cost a $1.28. If you pick up anything in the mini bar you were charged. To use the gym area you have to pay. There is a nice restaurant (The Palms) in the hotel, but be prepared to spend about $100 for 2. Everything is a la carte.I would definitely recommend this hotel for someone just wanting location and would not be in the room alot, but if you are going to relax in your room, this is not the place for you. The walls are kind of thin and if you are one of the lucky ones you will get a great view of the construction they are doing outside.	
Jul 10 2007 	Good Location	The hotel was in a great location, right on the water and close enough to the Mag. Mile, Navy Pier, and Millenium Park. Also, the concierge was very good at giving us recommendations on restaurants and jazz clubs. Unfortunately the room was nothing special. I was disappointed that we were given two double beds instead of a queen or king and the view (towards construction) was lacking. Since we were staying during busy Memorial weekend all the good rooms filled up quickly. They offered to let us upgrade for $30.00 extra per night but we declined, as we weren't planning on spending our time in the room anyway. So, the hotel was fine but a little dated. As for Chicago--here are some recommendations:Volare--nice Italian restaurant off Mag. mile with traditional Italian food and a great atmosphere. Definitely make a reservation.Eno-A wine, chocolate, and cheese bar on Mag. Mile. Very romantic. We enjoyed the following sights: Lincoln park zoo (free), Buckingham Fountain, Top of hancock building (better than Sears tower), Architectural boat tour, ride on ferris wheel at Navy Pier, Art institute, etc.	
Jul 10 2007	Our last stay until renovation is done	To build on the comment of a previous reviewer, I concur that this hotel is in dire need of an update. Our family of 4 frequents Chicago and oftentime forgoes the comfort of a more spacious suite just to experience the thrill of the view of the river and Navy Pier that Swissotel's Lakeview rooms provide.We decided after this last 2 night stay (and 15 years of visits) that this would be our last until renovation. We could live with the worn furniture (desk was particularly battered) and bathroom door (and shower door!) that sealed only with great effort but the lumpy, saggy mattress and miserable pillows were more than we could bear for a $200+ daily rate (especially with all the new properties that Chicago has to offer.) Another amenity sorely lacking in this price range was a flat screen TV.Fortunately, the Swissotel will be undergoing a renovation scheduled to be completed by Summer 2008. Its spectacular view is tough to beat.	
Jul 8 2007 	Great hotel in Chicago	We stayed at the Swissotel Chicago for 3 nights July 2-5 and had a great time.Rooms: We liked our room. The bathroom was big enough with adequate vanity space, with separate tub and shower. Beds were comfortable enough, although it seemed they’d put a pillow top mattress pad on top of a too old mattress. Furnishings were fine. Rooms were quiet enough. Be sure to ask for a room high up when you book your reservation; you’ll probably get a good view wherever you stay, but the higher up you are, the more you can see. Location: This is a pretty good, central location, about a 5-10 minute walk off Michigan Avenue and Wacker, close to the water, just south of the Magnificent Mile. You can see downtown and/or the Navy Pier from most of the rooms. I liked it because it wasn’t too close to the noise and crowdedness of Michigan Avenue. Swissotel is next door to the huge Hyatt hotel. I think it’s the 3rd building in from the lake.Transportation: Well, I’d read about taking the train in and then walking to the hotel. I don’t think any of the train stations are close together. Cabs are definitely the way to go. Don’t rent a car unless you absolutely have to. The parking at Swissotel is about $45 and parking is hard to come by in other places if you want to get out and about. The trains are old, jerky and bumpy—not like the ones in New York City or Washington, D.C. From Midway Airport, we took the Orange line in and got off at the State and Lake stop. It’s at least a 20-minute walk from there to the Swissotel (again, did I mention all the luggage?) The train stop is upstairs and there are no elevators, so we had to lug all our bags down 2 flights of stairs. Looking back, I’d save the expense and trouble and just get a cab. It was $35 one-way back to the Midway Airport from the hotel. We each bought a 3-day unlimited CTA pass for $12 each and only used the train once getting from Midway to the hotel.Staff: We found the staff to be helpful and friendly. We never saw long lines for anything. We asked for extra towels each day and they were promptly delivered within 15 minutes. The maids did a good job.Ice machine: we had to go up a floor and into a service area to find ice. They turn the machines off to save electricity, I think. You have to flip the power switch, and once I figured it out, I had all the ice I needed.Pool: We went to the hot tub a couple of times. It was nice. They have a nice workout area but you have to pay $10 a day to use it. The workout area overlooks the city and was nice and clean.Dining: We did not eat at the hotel. They have a Palm Steak house here and it was open for lunch. They seemed to have reasonable steak house lunch prices. I’ve never seen a Palm restaurant open for lunch—wish we could have tried this. We went to Houlihan’s down the street as several other reviews suggested—I just wasn’t all that impressed. They have a $10 breakfast buffet but it’s just that—a $10 breakfast buffet, similar to what you find in a nice Hampton Inn and Suites these days. They had some hot items that looked like they’d sat a little too long, cereal and some fruit stations. They had an omelet station but they couldn’t find the chef so I waited 5 minutes (omelet was good). We ate at the original Billy Goat Tavern; it’s on Michigan, just north of Wacker, across the bridge, maybe a 10-minute walk from the hotel. You have to take a staircase down to the lower level of the highway (kind of like an underground parking garage). They serve breakfast, lunch &amp; dinner. Wish I’d known about the breakfast on the first day. Good hamburgers too (and I don’t usually like hamburgers). There’s also a McDonald’s close to the Billy Goat Tavern, right behind the Wrigley Building. We ate at Mike Ditka’s Steak House restaurant and it was good. We went to the Signature Room Restaurant and it was good, with the great view you’d expect. We had a little bit hard of a time trying to identify the Hancock Tower—it seemed kind of set back off Michigan Avenue. We ate at Giordano’s Italian and it was good. The have a lunch personal pizza and it’s still too big for one person. We ate at Emerald Loop Café—it’s down Wacker, go left on Wabash, restaurant’s on the right. A nice restaurant with reasonable prices and great food. Kind of like an upscale Bennigans, but a lot better and prices aren’t that much higher.Attractions: We took the Architecture Foundation river cruise. The departure is right down the street from the Swissotel, at the corner of Wacker &amp; Michigan, downstairs, under the blue awning. The tour was well done, but don’t forget a hat and some major sunscreen—the best seats are up top and it’s open to the elements. I went to the Art Institute of Chicago and wish I could have spent more time there. Hubby and kids went to the Museum of Science and Industry. We walked along the Navy Pier. It’s just as touristy and kid-friendly as you’d expect but seemed clean and relatively safe. Went to Millennium Park (free! And not too far from Swissotel—maybe 15 minutes walk) and it’s a great place to visit. Ambiance of the city: We didn’t find the people of Chicago to be as friendly as those in Texas. We encountered quite a few aggressive homeless people throughout all of Chicago. I didn’t feel completely safe walking around the streets by myself.Overall nice experience and I’d stay here again.	
Jul 5 2007	Great Location great rooms and bed but no help from desk personnel	There is simply no better way to experience the 4th of July in Chicago, than in one of the corner rooms with a view of Navy Pier. Great location, close to the best shopping on the magnificent mile (Michigan Ave). Good but pricey food, great breakfast. To park the car is $45.00 for guests per day.One problem we encountered: when we made the reservations directly through the hotel, we were asked by the reservation agent if we still used credit card number ##### and is your card expiration still ####. The agent read off a card we had used on a previous visit over a year ago. We were dismayed they would keep this info on file this long and available to the reservationist. With Identity Theft being such a problem this info should be purged within weeks of the transaction.. The front desk was of no help. The asst. manager did not know how to smile and we wondered, if she liked her job......The hotel business should be customer oriented.....we think.Hans Heitmann	
Jun 26 2007	Great stay - great location	The hotel is in a great location, the staff is friendly and very service-oriented. We were in a business trip, my colleagues and I had a great time. My only complaint is the Palm restaurant, it is expensive and the food not very good.	
Jun 26 2007 	Like the location	Stayed here for one night in June, but have stayed here before when on business in Chicago. Great location for business/shopping/sightseeing. In between Michigan Avenue's Magnificent Mile and the Loop and next to the Chicago River. Rooms very spacious and clean. Gym has a wonderful view, as it is situated on the top of the hotel. Bar next to lobby, very busy with good atmosphere. Cannot fault the hotel. Prefer it to the Westin - my previous address when in Chicago.	
Jun 25 2007 	Girls Shopping Trip!	Large rooms and excellent service. Spotlessly clean. Good breakfast at hotel. We stay here almost every time we stay in Chicago.	
Jun 24 2007 	Great hotel for the money! Nice hotel but park elsewhere.	I usually don't write reviews here on tripadvisor unless something is really good...or really bad. After reading some of the reviews for the Swissotel, I felt compelled to share my experience. We recently stayed for a long weekend - and finding hotels to be over $180/night, I booked on Hotwire. Got Swissotel for a very good price, but was a little anxious since some of the reviews on this site complained of slow elevator service, unhelpful staff, etc.We encountered not a single problem during our three-night stay. Check-in was quick and simple, our room overlooked the river (I will post a photo so you can see), and most importantly, the room was quiet! I've stayed next door at the Hyatt Regency and was kept awake all night by loud neighbors and every single toilet flush (the walls are that thin); I would gladly choose Swissotel over the Hyatt any day of the week. The room was spacious. The bathroom was marble with a separate shower and tub. The decor was nothing exciting, to be honest, but the room was clean and the bed was very comfortable. The location is excellent - close to Michigan Ave., Millenium Park, Navy Pier, etc.The clientele seemed upscale, the staff was friendly and I slept so soundly every night - I have absolutely nothing to complain about. (My boyfriend, though, was irritated that there was not a working ice machine on our floor - 23rd- he had to walk up a few floors, found a nonworking machine, then walked down more floors to finally find ice. To me, it's not the biggest deal in the world.)Oh, one word of warning - parking is expensive (45/night, I think), so we took the advice of other reviewers and parked elsewhere. We happened to find a parking lot on E. Randolph (for a condo building) that charged only $17/night! Our total charge was only $51, a bargain in Chicago. The walk back to the hotel was a bit tiring, but that's only because it was over 90 degrees. :) It was well worth it, especially when you consider how much money we saved. At the end of the day, we felt like we got a decent deal. If we would've paid 45/night for parking, we might've had a different opinion. If you do stay here, make sure to park elsewhere and walk the few blocks back to the hotel. You will be glad you did!	
Jun 10 2007	Excellent	For the few of you, that gave this hotel a poor review...what were you expecting the Taj Mahal? Our room was extremely clean, quiet and we had a great lake view on the 20th floor. The elevators were always quick and in service, and the views of Navy Pier as you walk off the elevators are spectacular. The staff was polite and helpful. If you are interested in going to Navy Pier, there is a free trolley service on the side of the Hyatt hotel, you can catch, just make sure it has the yellow star on the trolley. If you want good food at a decent price, there is a restaurant called Houlihan's down the street from the hotel on Wacker St. Don't believe the hype about the $28.00 parking on Wacker. You must read the payment schedule carefully, it is $28.00 for 13 to 18 hours not 24 hours. The hotel parking is $45 for 24 hrs, so make sure you do the math on both options. I would recommend this hotel, they gave great service even though we booked with [--].	
Jun 7 2007 	Very Nice Hotel	This is an excellent hotel in a good location. Very nice room with the best bathroom I've experienced in a hotel. Check-in and check-out was quick and easy. The location is very good. Close enough to walk to everything we wanted to. Two blocks off Michigan Ave so it was quiet around the hotel. Nice architecture, fast elevators, very clean and modern. I would definitely stay here again.	
May 29 2007 	Nice hotel but so much potential to be excellent!	I recently spent one evening at this property and I left satisfied but convinced this could be a top-tier property with an update. It is a very clean, modern convention hotel in a great location. The interior of the guest rooms is decidedly generic, lacking the style of some of Chicago's newer hotels (Sofitel, W, Kimpton boutiques). But the rooms are large and nicely equipped with all the essentials of a business hotel. Bathroom was nice if a little bit dated, but very, very clean. It seems most of the rooms here have great views and mine was no exception. The shades were push-button which I quite enjoyed, though I'm not sure if this was because I was in a handicap-accessible room or if it is standard. The sheets and duvet were great but I was not happy with the mattress. Most of the upscale and even mid-range chains are finally updating their mattresses so I hope this property will follow suit.The bar could use a bit of an update but it works if you just want to sit in the lobby and enjoy an expectedly overpriced drink. Staff was very accommodating and always smiling and ready to assist.For $109/night (see Travelzoo web site; this continues all summer!), the hotel was absolutely fine. It could be an excellent property if the rooms were updated with new mattresses, televisions and desks. But at this point, there are many better hotels to choose from in Chicago.	
