	The worst hotel- Do not stay at this hotel	We stayed at this hotel because of some good reviews. When we checked in and got into our room the bathroom was a mess. The toilet as used, the stuff was all over the lid of the toilet and it was not flush at all. I almost got sick. I called the front desk and ask someone to clean it up.Some one did clean it up. I also asked for the supervisor and no one show's up. The supervisor or manager did not even call me.My husband and I were so tired from the flight, or we would have leaved the place. I definitely would not recommend this place to anyone.	
Sep 27 2007 	A Bad Day	I stayed at the Inn of Chicago for one night with my brother and his wife who were visiting us.The location was convenient, the price not terrible for the time of year although have done better in the past.Upon arriving to check in at 3pm we were told our rooms weren't available yet so we went off and did some looking around/shopping for a few hours and came back to be told that the computer system and phones were down along with one of the elevators and that they couldn't assign rooms.After sitting around for a bit it became apparent that there would be no speedy resolution, so we went off for a walk and to have dinner.When we got back at 9pm we were finally able to get our rooms (not enormous, but big enough for a short stay), I'm not sure what my brother's was like, but the bathroom in mine was so small that the washbasin (and the wooden table it was sitting on) blocked legroom on one side of the toilet - forcing angled sitting. The metal holders for the glass shelf holding soaps/shampoos/cups were very loose in the damaged wall and the shelf angled downwards somewhat precariously.The toilet itself contained unflushed toilet paper (nothing solid fortunately.) The lower bedsheet was stained (blood) on one side which was the most disturbing thing.The airconditioner was uneccesarily loud during the night.Yes, much of this probably resulted from the breakdown of the computer system and communications between the front desk and the cleaning staff, nevertheless I will not be bothering to return to see what the place is like on a good day.	
Sep 22 2007	Small Rooms Good Location	We stayed at this hotel for one night during the week of September 15th. The rooms were much smaller than what they were portrayed on-line, but it was nice to be so close to the Magnificent mile. Unless you're going to be using Valet parking - that's extremely inconvenient - and costly. The service was okay -we're pretty simple people so we don't require much, the front desk lady when we checked in was very courteous. One negative in the service, was that our room did not have wash cloths in them, we called the front desk and they said they would send them right up - 4 hours later, we went to the front desk and got them ourselves.	
Sep 12 2007 	A great location	The best about this hotel is the location.It's conveniently located half block from Michigan Ave, and right in the middle of everything.The hotel self is not on the top of the line, even though it have had major renovations, some areas still can use some additional work.But for the price we paid and compare it with other hotels in the same area, it's a bargain.	
Sep 6 2007 	Great Location Small Rooms	We just spent Labor Day weekend in Chicago, where we stayed at the Inn of Chicago. The lobby has been recently redone in a modern neutral chic atmosphere that is in the running with current hotels. However it did not quite compensate for the small room and ever tinier bathroom where we stayed. We weren't expecting to stay in a suite, but this was definitely too close for comfort. My husband didn't mind the small room once we quickly discovered free porn on the tv. Now I don't know if this &quot;amenity&quot; is offered to all guests at the hotel, but we were certainly surprised. A word of caution: If you are traveling with children, I would be worried about letting them flip channels on the remote because you don't know what will appear on screen. Otherwise, the hotel is 1/2 block from Michigan Avenue and centrally located to most city sites. While in Chicago, we took an architecutral tour that started from Navy Pier. We also took in a baseball game at Wrigley Field and ate Chicago hotdogs at Wrigleyville down the street from the stadium.	
Sep 2 2007 	inn of chicago	For the price and the location, this is an excellent choice. The available parking was below average price, the hotel price was very reasonable and our experience was very pleasant. We were a bit nervous about some poor reviews but upon checking in, but once we saw our rooms we were happy to see that the rooms weren't really that small and yeah the bathroom was small but it served us fine!!! We love Chicago and this is our first choice from now on!!!!!	
Aug 23 2007 	Nice holiday at the Inn	We spent two nights at the Inn and were very happy with our choice. The Inn is very well located, right downtown! The room and bathroom were small, but very clean and useful. The bathroom was partially renovated but everything worked fine. The staff was helpful and very courteous. The lobby is funky and gives out a good vibe. Of course being downtown Chicago makes it noisy (sirens and construction around the hotel) so don't expect to sleep till noon. But, who would want to in such a great city? Don't hesitate to book a room, because for the price, you won't be disappointed!	
Aug 18 2007 	Dissatisfied	When I travel I only need three things: a comfortable bed and and pillows, relative quiet, and decent service. The only thing I got was a comfortable bed. The walls here are paper thin. Fortunately, I wasnt roomed next to people with young kids or a loud group, but I was next to the ice machine and I could hear it perfectly and I could hear the elevator ding down the hall. I wasn't woken up by any noise, but I sleep heavily and I think it is just fortune that I wasn't sharing a wall with rowdier neighbors. The service was sub-par. They only have one woman working concierge the whole day and when she takes a lunch break (if she gets one at all) they don't have anyone to cover for her. People were lined up to talk to her and she often gave me incomplete information (didn't tell me that the purple line train stopped running during certain parts of the day so I was stranded) and other such incidents. It's not her fault, it's just that there is constantly a crowd of people around her asking questions. Also, I had my watch stolen from my room. While this could happen at any hotel, I was insulted when security suggested to me that I must have &quot;misplaced it.&quot; I was traveling by myself so there was no one else in he room with me and I was backpacking so I didn't have very much stuff. I spent two hours on my last morning there, when I could be sightseeing, turning my room upside down and searching through everything before I made the report and the guy had the nerve to suggest that it was my fault! NO! You have a thief working for you. Finally, I had a room with a walk in shower, no tub, and the water pressure was pathetic. I don't need to waste tons of water and have it come at me like a fire hose, but this was difficult to wash my hair in. Also, the shower dripped after I turned it off, so I called maintenance to let them know. A guy came and looked at it and after he left, it was still dripping. I was going to call and let them know, but at this point I realized that the people at this hotel don't have their crap together, so I let it go - instead I got earplugs. Overall, the bed was comfortable and I was able to sleep. But I would look elsewhere if I were to return to Chicago.Also, I think there are sister hotels to this one in Chicago that are under the same management. I would avoid those as well.	
Aug 13 2007 	O.K. stay	We checked in late and they had overbooked so they sent us to the Allerton for 2 nights. We came back to the hotel for our last night in Chicago and the room was adequate. It was quiet, spacious and the bed was comfortable. My complaint with the room is that tiles were falling off the wall in the shower and the bathroom was a bit dark. We found most of the front desk staff to be friendly and accomodating. Parking in a nearby gargage with validation from the hotel was a great deal. The location is very good. I might give them a try again in the future.	
Jul 30 2007	great location	great little hotel on excellent location, not the most luxurious of hotels but superb location. the room was very small but clean and comfortable, the bathroom was the tiniest one i have ever seen-you can literally sit on the toilet and touch both walls!!! if the bathroom were a little bigger i would definately rate this hotel as above average. the staff were all pleasant, the prices in the hotel bar were very expensive - two beers $12.00!i would stay here again but only if it were two people per room as any more would not fit.	
Jul 30 2007 	Pleasantly surprised	We just returned from our Chicago trip and felt we had to write our own review of the Inn of Chicago. We booked our stay and were prepared for the worst after reading all of the negative reviews. We are so glad we took the chance because our experience was purely positive! We arrived early Friday morning and approached the front desk with the intent of asking them to hold our luggage while we had lunch and did some shopping before check-in. It was before 11:00 a.m. and we were informed that our rooms were ready and we could check in. We were pleasantly surprised and proceeded to our rooms. Again, we were not expecting much due to the reviews, but our room was very adequate. We were in a double room (we had 3 in our party) and still had plenty of room with the table, 2 chairs, dresser and wardrobe. The bathroom was small, but this is an older hotel. It was very clean, had good water pressure, and our room was quiet at the end of the hall. Our friends were a few doors down and their room was a little smaller than ours making it a little more cramped for 4 people. If traveling with more than 2 people, I would definitely request one of their larger rooms. The floor layout map showed that the rooms are of slightly varying sizes.The location was wonderful; so close to everything. The concierge was most helpful and pleasant. We would absolutely stay here again. (Note: if you are looking for a fantastic meal, try the Grand Lux Cafe around the corner. The portions are generous so split the meal (they encourage this!) and save room for one of their wonderful desserts!)	
Jul 16 2007 	Horrible Customer Service	We tried to check in on Friday July 13th. Stood in a long line to check in. We were greeted with a &quot;Name and ID please&quot; . After a lengthy process of checking in we were told that our room was not ready and would not be for several hours. Even though it was after 3:30. We had dinner plans and were seeing a show so we told them that we would not be back until late and they assured us that we would still have the room that we requested - a room with two double beds (there were 4 of us). As I looked around the lobby I saw dozens of people with their luggage waiting to get into their rooms. When we returned that evening we were rudely given our keys. When I got up to our room I discovered they gave us a king room. When I called the front desk to ask for the room they were supposed to give us I was told that due to our late check-in our room was given away. I told him that I checked in earlier in the afternoon and was promised a room with 2 double beds. He said there were no other rooms available. I said well what do you suggest we do and he said nothing he could do. Then I reqeusted a cot be sent up and he said, &quot;oh I guess we could send up a cot&quot;. The bathroom was very tiny. No place to put anything. At 4:00 am we were awaked by a phone call from security telling me that my food was down in the lobby. I told him I didn't order food and he said he called the wrong room. When we went to check out and complained to the front desk about our accomodations they were not even apologetic. She told us that it was a busy weekend in Chicago and we should have gotten to our room earlier. Oh brother. Yes the price was lower than most other hotels in the area - you get what you pay for. While we were waiting to check out in the lobby we heard most people grumbling about their experience at the hotel. The staff could not have been ruder. I plan on contacting Best Western about my experience.	
Jul 12 2007 	Pleasant Experience at Inn of Chicago	I was pleased with my experience at Inn of Chicago. The hotel staff was friendly and the concierge was very helpful. The rooms were not very big (no big surprise in these older hotels), however, they were clean and just big enough for a short stay. I would not recommend more than two people to a room. The only other problem was that the bathroom had no vent so it could get a little stuffy in the room after showering. The location was fabulous. Overall on a scale of 1 to 10 I would give this hotel a 7.	
Jul 10 2007 	Long time patron - disappointed	Inn of Chicago has been my first choice for a place to stay since the mid 80's, and I have always loved it. It's been about six years since my last visit to Chicago, and I was so suprised and disappointed with the deterioration of service at the hotel during my recent visit. I waited for close to an hour to get checked-in. The toilet in our room didn't work properly and quit flushing. In the bathroom, there's no counter space to put your stuff. My keys didn't work in the door on the second day, so I had to stand in another long line (almost an hour, again), while my sister and her two kids ate dinner in the hall outside our room. While standing in line to get new keys at approx. 7:30 pm, I watched three families check in and be told that there was not a clean room to give them; they would have to wait in the lobby or go have dinner and come back. The desk workers were also calling other people over the intercom to tell them that their room was now ready. I'm not sure what happened to the management of this hotel and why Best Western has allowed it to deteriorate this badly. This patron will be looking at other option in the future.	
Jul 6 2007 	Where did they spend millions in renovations?	This hotel was advertised on their own hotel web-site as having just &quot;completed a multi-million dollar renovation of our lobby, bar, meeting space and guest rooms at this landmark Chicago hotel.&quot; I'm still trying to figure out where they spent their money. While the lobby and bar looked &quot;newer&quot; it certainly wasn't worth touting. And I have no idea where they spent the money in the rooms as they did not look &quot;newly renovated&quot;. Paint on the windows was slapped on, the carpet was soiled and tattered along the edges, the furniture was cheap looking, AND the halls and rooms reeked of disinfectants. I had to change rooms (something I never do) several times to find one I could at least spend the night in. This was more like a motel in a tall building rather than an actual hotel, with few amenities or comforts. I would have expected this for $89 a night, but for $299- 499, which I was charged...I was NOT pleased. There is a small bar and a fireplace in the lobby, otherwise you need to walk to eat, pick up snacks or personal items. The bathing products they offered were an odd mix of &quot;Best Western&quot; soaps and several different brands of shampoo, conditioner and lotions. Two good things that I can say is that management was kind and helpful AND it is a good location for getting around the downtown area. But considering my experience...I'd rather stay someplace else to get around, especially at those prices. I would have left if I didn't pre-pay and there was any availability. This place is really trying to be a fancy, chic boutique of some sort...and they didn't even come close.	
Jul 6 2007 	This is a solid 2/2.5 star hotel.	I’ve read most of the reviews about the Inn of Chicago/Best Western and I think a lot of them have lost perspective. The bottom line is that this hotel is a great choice if you don’t want to spend a lot of money. In fact between valet parking and the room itself, I paid about $100 for this place which is remarkable given its location. If I would’ve spent $50-$60 more, I would’ve chosen another hotel. There certainly are cons about this hotel:•Tiny bathrooms, rooms, elevators: The bathroom might be the smallest I’ve ever seen. The room itself was small as well, but I’ve seen smaller rooms in Chicago (e.g., Days Inn Lincoln Park) and world-wide. The elevator was small and could barely fit 3 people, especially if one had suitcases, but you make do. •Cheapness factor: This isn’t the Swissotel or the Hyatt. The hangers are the kind that you can’t move from the bar. They have plastic cups instead of glass. The towels aren’t wildly absorbent. The remote control for the TV was beat up and obviously hadn’t been replaced when the place was renovated recently.•Noise: We had a room facing the Ohio Street side. They had a construction site across the street. The noise from that wasn’t too bad for the night we stayed, but the traffic noise easily seeped into the room (sirens, horns, etc.). This is different than my experience in other more modern hotels in downtown Chicago which seal out noise better (e.g, Intercontinental, Swissotel, etc.). Also the hall noise was a bit of a problem at times, I can tell that the doors don’t do a great job of sealing out noise (even though a lot of people are just plan rude and talk too loud). Pros:•Cleanliness: Since I stayed only one night and quite literally spent about 8 of the 10 hours in the room sleeping, my biggest priority in a room is cleanliness. For a 2/2.5 star hotel (the 3.5 star rating on Hotwire is a bit off), this place was very clean. I think it was newly remodeled and the rooms had blankets with duvets and also clean bathrooms. Again for the price I paid, this place had the cleanliness of a 3.5/4 star hotel. This included the uniquely decorated lobby.•Customer Service: They seemed understaffed at times, but rush periods happen. What’s important is that they keep their cool and remain friendly. All staff at this hotel were friendly. •Location: 4 blocks from CTA red line and a block from the Magnificent Mile, this hotel is centrally located. And again for the price I paid (under $100 for the hotel stay), this is quite remarkable.  Bottom line: This is an old hotel that’s been recently remodeled. The hotel is a great 2.5 star hotel, so remember this level of service when you are paying and you’ll be very happy with the results.	
Jul 4 2007 	Best Western not at all	We stayed in the Best Western Inns &amp; Suites in Downtown Chicgo for 3 nights in May. It's location is very central, just off the Magnificant Mile but the hotel was a big disappointment. From the front all looked okay, the reception area was fine too but as we got out of the lift on the 3rd floor we thought we had the wrong hotel. There were pieces of food stuck in the carpet in the corridor which remained there for the duration of our stay. Our room was tiny with 2 queen beds which took up all the floor space, we had asked for 1 queen bed. There was no wardrobe just a very frail rail with hangers, the coffee maker had baked-on coffee which had been there for some time, there was one electrical extension lead with 4 plugs hanging from it and wires trailing all over the place. The window was so small they shouldn't have bothered but it did allow the noise from the construction site across the street to fill the room at 7am each day. We had no ''do not disturb'' sign even though we asked each day for it so we were woken each morning at 8.30 by housekeeping. We had done a lot of travelling before we got to Chicago and were hoping to relax before we went home. The rate we were charged was $635 for 3 nights and was very bad value, we had stayed in motels far superior and much less expensive than this. The only 2 things going for this hotel is its locationand the close public transport which is excellent in Chicago. We asked to be moved soon after we checked in and were told they'd do their best but we heard no more. The receptionist said they were renovating the premises but there was no evidence of this, the hotel is dirty and carelessly run.	
Jun 29 2007 	Simply Horrible	I was greeted the front desk with friendly a hello and was treated with a dry scripted, &quot;I will need your credit card, drivers license.&quot; Strike one!!! The receptionist continued this unpleasant experience by telling me that the hotel was being bought by private investors. After feeling thoroughly insulted, I made to my small room where the electrical plugs were put into extension cords like on the Christmas Story. The lamp on the desk has a short and the maintenance guy failed to replace it. Final straw came when I wanted to go out. I was instructed that valet is not 24hours as I was lead to believe, but was till 9p. I had to retrieve my vehicle from the par king lot down the street. But, by doing so, I have to pay everytime I get the car since the hotel has no IN/OUT service.($30) Advice!!! take cabs and expect to be unimpressed or research for another hotel. I found a 4star for a few dollars more per night.	
Jun 23 2007 	Great hotel and location	We stayed there for 10 days for a business trip.The hotel was 90% redone and beautiful.The front desk receptionist who received us the first day was not nice at all.They gave us a nice and big room, the room was clean, the bathroom was small but okay.Great services: they accepted packages for us, concierge is A+Great experience, we will go again.	
May 29 2007 	Great Location and Value Small Rooms	All renovations are complete and the lobby is quite nice. However, the first clerk to help us check in was very rude. Luckily her coworker took over and got us into our room very quickly. Elevators are tiny and slow. Room, also small. We had a room with double beds-the beds almost took up the entire room. Bathroom is also tiny-the newly renovated sinks took up too much space. However, the location and price were unbeatable. The beds were also very comfy. If you don't plan to be in the room very much-this is worth it. Navy Pier is only about 6 blocks down the street and there are plenty of places to grab all meals in walking distance. Michigan Ave. is a half block away. Millienium Park is just down Michigan Ave. I would stay again just b/c of the location.	
May 22 2007 	Okay for the price	The comfortable bed and hot shower were the highlights of our room, which was extremely small. The front desk staff are like robots. When checking in, there was a line so I was able to observe the bored, canned responses that they continued to give with no sincerity. Whatever, you're not coming to Chicago to spend time at the front desk. The hotel was clean and quiet, and the bartenders in the lounge were very nice. There is a convenient store across the street and you can get your morning coffee at the 24 hour Dunkin Doughnuts, also across the street. Overall, not bad but nothing great.	
May 18 2007 	would stay again	There must have been a drastic change in this hotel since some of the reviewers stayed here. We were very skeptical to keep our reservations but were glad we did. The room was completely remodeled and adequate for our stay. the staff was very accomodating and friendly. There was everything you could want within walking distance to this hotel, Coffee next door, icecream across the street, a little superette kitty-corner, michigan avenue a half block away and of course loads of restaurants nearby. All the recommondations from the concierge turned out well and the bell hop promptly called us a cab for our trip back to the airport. Try it you'll like it.....	
May 2 2007 	Emergency cancellation? Beware!!	From Janine in Iowa: I was very pleased with the room, the location, and especially the service at the Inn of Chicago in February. The staff members – the bell hop and others – went out of their way to be helpful.I was extremely disappointed, however, that my friend, whose flight was cancelled because of winter storms, did not receive a refund.My daughter &amp; I had planned to meet our friends at Inn of Chicago, and stay Feb. 15-19. Unfortunately, they were unable to fly into Chicago, because of blizzards in New York. They were told that we could not stay in the room that they had reserved, and, even though they were unable to get to Chicago, that they would not receive a refund for those four nights. I'm not sure which is more guilty, Orbitz or the Inn.So beware, travelers!	
Apr 28 2007 	Questionable	The only real reason to book this hotel is cost and location. It has little going for it in terms of service, quality, or the attractiveness of the rooms. It is very poorly managed and maintained. There is no restaurant onsite, but many inexpensive and more expensive options within a short walk.Upon arriving at this hotel at 2 p.m., we were advised that check-in is at 3 p.m. We returned at that time and were advised there was no room available. This same problem affected a number of other people in our group, some of whom were not offered rooms until 6 p.m. or later. Absurd excuses were offered for this, such as that they should have arrived at 3 p.m. The first room we were offered was totally smokey, although this is billed as a smoke free hotel. We returned to the front desk. The second room we were offered was laid out as follows: There was a queen bed with a television stand at the base against the wall with doors on the front. Inside these doors were the only drawers in the room (this was the bureau). However, the television stand was so close to the bed that the doors could not be opened. Thus, no functioning bureau. One can only imagine who laid this out. When opening the door to the small bathroom, there was a new sink that had been put in with a wooden frame. The frame of the sink extended across the doorway approximately 1/4 the distance and against the toiled on the other side. How this passes fire codes one can only guess. There was no closet in the room, just hangers in the room, similar to a Motel 6. Bottom line, absurd layout and various unacceptable arrangements. We had booked for about 160 per night, plus tax, for four nights. We jumped on [--] and selected an anonymous four star hotel in the neighborhood at $112 per night. Once we had bid, we were advised this was the W on the lakefront, three blocks away. We returned to the front desk of the Best Western, advised that the second room was not acceptable either, were told we could leave at no charge, and departed for the W.Incidentally, the W is more like a five star hotel and the regular rates were in the neighborhood of $400 per night. Meanwhile, the Best Western billed us one night despite their promise and a personal visit to the hotel for a refund netted a nice conversation and no action. Still, we saved money.Bottom line, check Hotwire for options in the Streeterville area, which is where this is or Miracle Mile area. Avoid this Best Western if you possibly can, but if it is the cheapest you can find in the area, go with eyes wide open. It is 2.5 stars at best. Perhaps 2.	
Apr 17 2007	Convenient clean affordable - but don't expect much	I had the read the reviews about the construction going on at the hotel prior to booking a room for 3 nights. And yes there was major construction going on at the time we stayed. In fact when we walked in on a Sunday night, there wasn't a lick of furniture in the lobby and people were sitting on the window ledges with their laptops (accessing Wi-Fi). The next morning, a shipment of furniture arrived in the lobby and was set up and functional by that evening. Since we were just planning on using the room as a &quot;base camp&quot; as we explored Chicago for a couple of days with our 4 &amp; 8 year old, it worked out fine. Cons: Our room was small and dark (just enough room for 2 double beds), the pillows and bed were not the highest quality. Also it was missing the typical paperwork you find in a hotel (booklets, tv guide &amp; do not distub sign). No night lights - even in the light switches. And we were on the 3rd floor and only had a view of the fire escape. Pros: Clean; affordable for the convenient location (very handy to downtown); across the street from a quik-mart to grab breakfast/snacks; very helpful staff. Our experience with the staff was above what was expected from previous reviewers - we found them to be very helpful and courteous on all the occassions we had to contact them (noisy neighbors, needing a do-not distub sign, needing fresh towels since we missed room service with the do-not disturb sign). Also we had left some items in the room, which they found and we had them shipped to us the next day.	
Apr 16 2007 	After all the bad reviews it wasn't THAT bad	I was surprised after all the horrible reviews to see that the hotel wasn't a complete hole. My brother booked the hotel, and I checked here to see how it rated. I was expecting to come into a rediculously bad room, but it was just more of a joke than anything. The bathroom is about the size of the closet, the bed was too close to the dresser, and you couldn't open it, and the stairs were closed. Other than that, it wasn't too bad! The rooms were fairly clean (dusty, but tidy at least) and the bed was comfortable. Considering we were doing a lot of sight-seeing and were hardly at the hotel, it was perfect.	
Apr 9 2007 	Rather sleep in my car	I paid 200 a night (more then what i paid at the wyndham, i woulda been there agian but they were booked) and the room i have is utterly horrible.First off, i walk in and its small as heck. It smells weird, and theres NO OPEN ELECTRICAL OUTLETS.I open the door the the smallest bathroom iv ever seen. The sink has no vanity so theres nowhere to put my bathroom stuff, the shower rack is rusted, and i have no towels.Im not even hanging my clothes up here because their &quot;renovation&quot; consists of poorly painting over rusted closets and ect. the AC is ALWAYS on and i cant shut it off because they took out the controls and the room has NO controls for the rooms temp at all. No room-service, no bar/lounge/restaurant and their valet parking is a joke. You need to pay them 30 a DAY in cash, you cant move your car and if your keeping your car at your hotel your entire stay like i am (im on a staff aug that is lasting for 8weeks so i just walk to work) you have to pay the entire fee for your car in advance.Dont get me started on the bed.... im not sure these sheets have actually been washed..... I would rather sleep in my car then stay in this [--] ever again. What sucks is this is DAY ONE!!! out of 5. Jesus... 4 more days...	
Apr 1 2007 	Hated this hotel!	This hotel was horrible. I will admit, the location was fantastic...one block off of Michigan Avenue. The hotel was a dump. The bellman were rude and inconsiderate, the front desk staff was obviously not happy with their job and it showed, the hotel was under construction which was not posted on the Best Western website...the entire experience was a bad one. We lost power and had to sit in the dark while trying to get ready for a conference for about a forty-five minutes and the staff was unhelpful and rude. We received one apology after we called three times to report our problem. One staff member lied to us...so if you are looking for customer service...GO SOMEPLACE ELSE! We tried to report the problem to Best Western International...still nothing....I have contacted the manager and still no reply...and it has been two weeks now. This hotel lacks professionalism, customer service and a welcoming environment! I want to make sure that other fellow business and leisure travelers do not get stuck in this hotel!!	
Mar 29 2007 	Worst Experience Ever!!!	First, they lost our reservation for 3 rooms, 3 nights each with 2 beds and had 1 room for 3 nights with a queen bed. Second, they were very rude and the room was INCREDIBLY small. We were only alloted one wash cloth for 2 guests in one room. Another room was only given 3 towels for 4 guests. In short, I was extremely displeased with the service and facilities.	
Mar 19 2007 	Great location!	We stayed at this hotel for 4 nights in total. The hotel is in a great location, with the magnificent mile less than 5 minutes away!There is builiding work being done on the hotel, but it didn't bother us, the bar and breakfast area were closed because of this but 'West Egg' a few blocks away was fantastic for breakfast. We ate there every morning of our stay. 24 hour store across the road from the hotel does rather nice snacks, such as sandwiches and pizza, and of course sells alcohol! The room was of a decent size, and was clean. The bathroom was small, but again, clean. I would stay here again, as the location is fantastic. We had no bother in Chicago, we felt very safe.	
Mar 7 2007 	Work Site with rude staff	Was in Chicago for a few nights, booked this hotel cuz the location was close to the nightlife, which it was. but when got into the taxi the taxi man told us this hotel was closed down, we got him to take us to the address anyway. When we got to the hotel it looked like it was shut but it wasnt, the hotel is undergoing major works, it really should be closed down while the works are on, or at least i should have been told when making the booking. Something that really annoyed me was when we were checked in we were given a sheet of paper letting us know that they were really happy we were staying with them during this historic time... we didnt like it and was very annoyed the staff were not freindly behind the desk at all.	
Feb 21 2007	Dirty hotel poor service	I was extremely unhappy with the service I received at this hotel. I do not generally write reviews of hotels. Who has the time? I have traveled all over the world and stayed in a variety of hotels. I really felt strongly that I needed to let others know that they should avoid this horrific experience. The location of the hotel is good. My main issue was that the hotel was not clean. When I arrived at my room, I found hairs all over the toilet. When I informed the management and asked to be moved, they appeared disinterested. After wating several hours, they finally agreed to move me to another room. At this point it was almost midnight. I moved all my belongings myself, as the management refused to help me move. When I got to the second room, I found that all the television would show was snow (no picture). Only a few minutes later, I saw a bedbug run across my bed. I was absolutely horrified. When I immediately called the management, the manager came to my room, and agreed to move me yet again. Again, he did nothing to assist me in moving at 1am. The third room they provided was adequate and without vermin. However, I though the building was extremely unsanitary and the service poor. I told management that I expected a refund or at least a discount. The manager refused to do either. As I said, I have stayed at many, many hotels, and this was clearly the worst experience I have ever had. Save yourself the horror and stay elsewhere.	
Jan 5 2007 	Great Location Great for budget	The location of this hotel is EXCELLENT. It's a block off the Magnificent Mile, easy walk to Navy Pier, the river, and even Millenium Park. We stayed here for two nights in August. It's nothing overly fancy, so if you expect luxury, do not stay here. But the room was of decent size and clean. The bathroom was small, but I was prepared for that from reading other reviews. The lobby looks outdated, but that didn't bug me as long as my room was clean, which it was. They have a terrace on the top floor which a lot of people are not aware of. Pretty good views from way up high. There is a great burrito place right across the street. We had lunch there on both days. There's also a Dunkin Doughnuts/Baskin Robbins across the street. There is no restaurant in the hotel. We walked to McDonalds for breakfast one day....about 5-6 blocks away. We booked the room on hotrooms.com and save a lot of money. Rather than paying over $200/night, we paid $135 per night. For that price and that location, this place can't be beat. Felt safe too which was very important for two women in the city!	
Dec 8 2006 	Central and OK	If you are looking at something reasonably priced and fairly central, then this is for you. It is clean and basic, although they really should do something about those pillows - boy are they awful.The conceirge and bell staff are extremely freindly and helpful, so you can't go too far wrong.Try the West Egg on E Ontario St for breakfast - great service and choice. The fresh fruit salad is huge, we shared one portion between 4 people and stuggled to finish it. You have to get there early or you'll have to wait - but the turn round time for diners was swift and efficient - very impressed.	
Nov 12 2006 	Great Location- Good Value!	This hotel is in a perfect location. You can walk just about anywhere you would like to go. It is blocks away from the Hancock Center, Wrigley Building etc. and right in the middle of the Magnificent Mile!The rooms are small but clean. This is certainly not luxury but it is in the perfect location and fine for the money you pay.Don't expect luxury and you will be fine. I stayed here 2 nights while on business and would stay again if cost prohibited other properties. There isn't a restaurant on site but there is a Dunkin Donuts and a Burrito place across the street. Also try Marys Cafe for breakfast! It is about 2 blocks away.	
Nov 1 2006 	Good value for money	This Hotel is good value for the money. It is centrally located, just off Michigan Ave. There are a lot of homeless people about the hotel but this seemed to be typical for Chicago, there were a lot of homeless about the city, but none of them too intrusive.The bed was big and comfy and the rooms were very spacious, cleaned daily. bathroom could do with a facelift but it was clean. Could hear a lot of noise from one of the neighbouring rooms, but not sure if they were just very loud. Check out all the brochures of things to do in Chicago in the lobby.	
Oct 18 2006 	Just fine for cheaper accomodations in the area	I basically just needed a place to crash in Chicago for a Saturday night--I wanted something in a convenient and safe location but I didn't need--or want to pay for--anything fancy. This hotel fit the bill for my criteria. While the room was small, simply appointed, and a bit in need of some redecoration, it was relatively cheap for my last minute booking and considering it was right in the heart of the magnificent mile area, you just couldn't beat the location.I have two gripes: first the heating/cooling system in the room was a bit extreme--I found it hard to regulate the temp to a happy medium and ended up settling for a very intensely air conditioned night (thank goodness they provided an extra blanket!). Also, I was disappointed with the internet access in the room. I got the impression upon booking and checking in that all rooms were equipped with high speed access, however much to my dismay there was only a dial up connection through the telephone, and I couldn't even get it to work. This day in age, any hotel in the middle of a big city should have its act together...it is not that difficult to set up.Overall, though, I was satisfied with a clean and comfortable enough hotel right in the middle of everything and easy to find for an out of towner.	
Oct 14 2006 	Not worth the money	This room was a dump for $345 a night! This room is all LOCATION. It has a great location. It is right near the free trolly and within a short walk of red line. It is one block away from Magnificant Mile. So, if you want a $300 basic room but with a great location, this was OK. I have stayed all over the world and just expected more for four stars and that much money.	
