	Great Hotel Good Location Great Value	I took my girlfriend to Chicago as a surprise anniversary present the weekend before Thanksgiving. I am unfamiliar with Chicago, but knew I wanted to stay near the museum and Millenium Park. On a value travel website, I found a rate for Hotel Blake less than half their advertised rate and I was sold. Reviews said it was 3-4 stars, but I really wasn't sure what to expect.When we showed up, I was pleasantly surprised. It's in a good neighborhood, and only a few minutes walk from Michigan avenue. We checked in very late, but the desk staff was courteous and helpful, though we did have to unpack and carry our bags ourselves. Valet-parking was available from the hotel, but half price parking is available literally just down the street from the hotel. When we made it to our room on the 9th floor, I was amazed at the room. Large room, magnificent bed, good decorations, huge bathroom. There was no train or traffic noise on the 9th story, and we both got excellent sleep on the comfortable mattress. Free wifi, excellent soap, shampoo, body wash, etc... even a sewing kit. The room definitely deserved four stars, my only minor quibble was a little mold in the shower stall of an otherwise impeccable bathroom. We never really tried the TV, but the room clock connected to my ipod, which I thought was neat.The free breakfast was great and unexpected, but I recommend getting there early as they ran out of donuts and danishes well before the posted closing time. Service was uniformly cordial and helpful, recommending good restaurants and nearby attractions. (awesome, but get there early). The pictures of Chicago posted on the Hotel Blake website were not representative of the actual view from the hotel, but google maps let me know what to expect in the vicinity. Overall, I heartily recommend the Hotel Blake and will probably stay there again if I can get the same rate.	
Oct 13 2007 	Delightful hotel in downtown Chicago	I stayed in this hotel with a friend, early October 2007. The hotel had a special offer (5th night free) that made it an easy choice, compared to hotels of similar price or quality. The 3.5 star is underrated in my opinion, this hotel has nearly everything a 5 star hotel has as well.Only downside was the breakfast - there was none. But enough places to have breakfast just around the corner. Location is good, a bit south of the centre but still downtown. 2 subway stations nearby.If not for the special rate, you could maybe find a same price/quality hotel within the loop or the magnificent mile but for this trip, I couldn't have wished for anything better.	
Oct 11 2007	stole our money didn't follow up	Four 30-something girls traveled to Chicago for a concert and stayed here because of location. Things were fine until we stopped for gas on the way home. We pooled gas money and put the extra in the console. We valeted the car and enjoyed the concert. The next day, halfway home, we stopped for gas. Our money was gone.We should not have left it there - we just forgot about it. It was around $50. I immediately called the hotel, I spoke to the Valet Manager. He said he would see who was working the previous night, investigate and get back to me. Of course he never did and my calls went unreturned.We'll not be back. The hotel itself was fine. No complaints.	
Oct 5 2007 	Comfortable Stay	I had a comfortable stay. I arrived late and my room was waiting for me. Unfortunately, it was a room where the door had been removed from the bathroom and it was next to the elevator lobby and for some reason the hotel has overly loud almost rap-like music playing in the elevator lobbies 24-hours a day. I could hear it in my room and even though it was 1:00 a.m., I thought it would keep me awake. I called the desk and the gentleman who had just checked me in had no problem moving me to another larger available room because of these problems. I actually preferred the first room, though because instead of two beds it had a nice comfy chair. Second Room was missing the toilet paper dispenser. View from the first room was of the nearby landmark library and from the second was the Sears Tower. Bathrooms were large with rain showerheads. Beds were extremely comfortable. There was a stain on the duvet that resembled blood. I mentioned it to the housekeeper and she replaced it when she cleaned my room. It was over 100 degrees when I was there and the hotel's AC worked fine. One thing I would suggest to improve the room would be to add a mini-frig. Location of the hotel was good. I had no trouble walking to the attractions I wanted to see, but it is definitely not in the center of the downtown area.	
Sep 28 2007	Horrible Experience	I booked 3 nights at Hotel Blake for my friends through Expedia website. The charge was on my credit card. However three days after my friend left Hotel Blake, he found his credit card was also charged with same amount. Nobody contacted him or me for this mistake which cost him around extra $600 USD. My friend and I went to Hotel Blake receiption for explanation, the staff was soooo rude and impatient. His name is Chris. He made the mistake and even teased us by saying: Wow, you really need this $600 dollars, poor you! We got really angry.I tried to talk with Hotel Blake's manager, but they were helpless. They asked me to deal with Chris only because it was him who did this mistake. My friend and I were really really disappointed. We will NEVER book Hotel Blake again!Wish all travelers to be careful of your bills when checking out!!	
Sep 22 2007 	Hotel Blake -- painful experience	Booked 2 months in advance, reconfirmed two days before my stay -- got to the hotel and was told that they overbooked by 30+ people! Traveled with a group of six others for a convention in the downtown Chicago area, and we were all told that were we going to be sent to another hotel 30min outside of downtown. We were in the city for a three day convention, two of which days were overbooked at the Hotel Blake -- the most unprofessional hotel experience I have ever experienced.	
Sep 15 2007 	could be great but isnt yet	We had high expections for the Blake - some of them were met - the rooms and decor were stylish, attractive, comfortable - definitely well above average and I liked the nabe, but there were disappointing lapses. It seems to me the Blake is trying to deliver the amenities of an upscale chain but to also provide an individual flavor. The attractive individual flavor and comfort were there but there were annoying issues in maintenance and staff training , which I guess might have been dealt with in a chain hotel. Im thinking of a broken AC fan, which made a noise like a jet - we had to call the desk to figure out how to turn it off, a leaky faucet in the bathroom that left a pool of water on the lovely stone vanity, veneer damage that had not been repaired on the attractive furniture and a missing pull in our son's room, towells that were not replenished, WIFI down in the rooms, and some staff that were, to my taste, inappropriately informal in behavior. Others might have liked that last. I hope the Blake has been able to address some of these.	
Sep 14 2007	Great location...pleasant stay!	My husband and I went to Chicago for Labor Day weekend. We love music and architecture and have been wanting to go for a long time. Many of the hotels I tried to book downtown were super expensive. I ran across Hotel Blake on Priceline and then called the hotel to book a room. The listing price on the website was 499.00 a night but w/ my AAA rate it was 151.00 a night. I was hooked!Looking at photos of the hotel doesn't do justice. This boutique hotel is very modern and chic. The wood is a dark stained wood throughout the hotel and the lobby is gorgeous. We checked in around 3pm and the help was very nice and informative. Check in did take a little extra time as they only had me staying one night, when I reserved two nights. I showed them my reservation confirmation and it was fixed (another reason I ALWAYS print it out). We went up to the room and was very happy. It was beautiful and very modern w/ tall ceilings. The bathroom was a bit small. There is no shower curtain..just a small piece of glass that is decorated like many foreign hotels. The bed was super soft and nice! Had a high thread sheet count and feather down comforter and pillows. All in all we were very happy, especially with the location being right near the Loop. I would definitely stay here again as it was in my price range and everything was great!	
Sep 6 2007 	Very chic and comfortable!	My co-worker and I stayed at the Blake for 2 nights while we were attending a class downtown. We really enjoyed our stay at the Blake. The rooms were a very nice size for a downtown hotel, and the bathroom was huge! The beds had high thread count sheets and very comfy duvets, and the room had a very modern, chic decor. We didn't use the workout room at all, but it looked very clean, with a lot of newer equipment.	
Aug 27 2007	extremely pleasant stay	Spent the weekend at the Blake and will be going back. We got to Chicago in the morning and since our room was available, we got to check in several hours before the normal time. Our room was on the first floor facing the front (Dearborn). There was some noise from the street but not enough to bother us. In fact, it was nice to look out the window and see the activity on the street. Everything in the room worked perfectly and the room was clean. The personnel were very helpful and courteous. We did not eat at the Custom House because it is fairly expensive, but you are not far from other restaurants and don't miss Orange around the corner for breakfast or lunch. Since this is a small hotel, it also felt safe and secure and I enjoyed staying somewhere besides the Magnificent Mile, yet being close to everything. I will certainly be back to the Hotel Blake.	
Aug 21 2007 	Good experience at the Blake	I spent two nights at the Blake. All of the employees were nice and the room was great. (I was on the 11th floor...facing the Dearborn St.) I also liked the location. I had a friend staying at the Hilton on Michigan Avenue and it was only a five-minute walk.It was also easy to walk to the Loop, with lots of cool places to eat.This was the best price I found for the weekend I was in Chicago (Sat/Sun nights). The TV in the room didn't work. When I called the front desk they said the engineering dept. had gone home for the night and cheerfully deducted some money from my nightly rate for that night. I was quite impressed. The TV was fixed the next day.I think that some of the negative reviews are because the hotel's website make it sound like all of the rooms have very high ceilings and other amenities. I think it's only the suites that have them. Sloppy wording on the hotel's part.The only issues were that the room would small a bit musty when I walked it, but the smell would go away. I think it was from the humidity in the bathroom since there doesn't seem to be a fan to dissipate the steam. Also, it would be nice if they had more then one computer in the business center, even thought the people using it were more than happy to give it up if they saw that others were waiting for it.For the right price this is a great place to stay. It's also across from the main Chicago library, close to subways and Michigan Avenue.	
Aug 15 2007 	Excellent service and amenities	Stayed there after a wedding reception. Excellent service and amenities. Highly recommended. The mattresses are wonderful.	
Aug 13 2007 	I'll be back	Location was great for me, as my son lives around the corner! Nice little neighborhood area, lots of pubs, restaurants, theatre district nearby. I was a bit concerned after reading some of the reviews, and our initial reception wasn't very friendly, as we waited for over 30 minutes for valet parking. Couldn't seem to get anyone's attention to leave the car. But adter that, it was a very nice experience and I will stay there again. Concierges were super, room was lovely and well-appointed. Only complaint about room was the feather pillows- I don't like them, asked for firmer pillow, but the maid brought more puffly pillows. Bring your own if you like a firmer one! But the bed was very firm, super comfortable. Cool-lloking lobby, friendly staff, good value for the price. I'll stay again for sure.	
Aug 1 2007 	Best Hotel in ever stayed in!	Hotel Blake is my favorite hotel! Best stay I ever had! Great service! I will definitely check out Custom House Restaurant (inside the Blake) when I come back to Chicago. I heard they won several awards and are one of the top restaurants in the city.Enjoy!	
Jul 22 2007	Wonderful Experience	We checked in to the Hotel Blake this afternoon and so far I have been thrilled with the experience. It has been absolutely wonderful. Our King room is large with three huge windows allowing lots of light to float into the room. The bathroom is expansive with granite countertops and double sinks. The room is very chic with crown molding, high ceilings, and cool decor. There is a business center available 24/7 as is the clean, expansive fitness center. The hotel is situated near everything. I'm so happy that I chose Hotel Blake.	
Jul 22 2007	Great Loop hotel around corner from Blue and Red lines	This is a great boutique hotel in the Chicago theater district. We stayed there for a week in July 2007. It's six blocks west of South Michigan Avenue and perpendicular to the Art Institute and Millenium Park. The Blue Line from O'Hare dumps at the LaSalle Street station, just a block from the Blake. The Red Line, which runs up and down State parallel to Michigan Avenue and will take you to Cubs and Sox games, is a block away at Harrison Street station. You also can catch buses to the museums and anywhere else along State Street. The hotel is in an old building that has been recently renovated. The standard rooms (we had a double queen) are of regular size and nicely appointed. We have stayed at the InterContinental Chicago before, and these rooms had a similiar feel. The air and heat is good. The bathrooms are sizeable, new, clean, and well finished out. There was a safe in our room, but no fridge. The hotel has a small fitness center with big windows overlooking the street. The hotel has no pool. Free USA Todays are available at the front desk. The housekeeping service is consistently good. The front desk staff is friendly, efficient, and knowledgeable on local restaurants and how to get around on the CTA trains and buses. We got this hotel for somewhere around $140 on hotels.com, but the rack rate is higher than that. It's a great value for the money. We visit Chicago for fun once a year, and have always stayed on North Michigan, where the rates easily can run $250-$300. We opted for the Loop this time to try something different, see if we could get our price down, and be closer to the Museum Complex for our six-year-old daughter. It's a great hotel if you're in Chicago for business in the financial district or the courthouses, a convention in the Loop, or a family outing concentrated on the South Michigan Avenue attractions and museums. You'll also get a completely different feel for the city by staying in the Loop. If you intend to spend all your time on North Michigan, it might still be worth it for the hotel savings, but you'll have to endure a bit of a schlep on the CTA, on foot, or in cabs. Some nits: 1) we noticed there's a lot more street noise in the Loop than on North Michigan (sirens, trade vehicles loading and unloading); 2) the hotel has free in-room Internet, but if you need to use the business center, it only has one PC, which is usually busy in the mornings; and 3) the restaurant offerings are noticeably fewer in the Loop area compared to North Michigan. The hotel has a good restaurant called the Custom House, and other noteworthy nearby restaurants are Orange and Edwardo's pizzeria. Compared to North Michigan, there are ample nearby opportunities to grab quick, cheap breakfast, lunch and dinner at places like Panera's bread, Potbelly's, Subway, Starbucks, Dunkin Donuts, etc. You can put together a quick picnic with a baguette from Panera's and cold cuts, etc. from the White Hen grocery that's a block from the hotel. The White Hen also sells beer and wine.	
Jul 11 2007 	Chic but slightly disappointing	I recently stayed at Hotel Blake for a conference in downtown Chicago. The hotel's location is great...everything is accessible. The rate was quite high, but this was typical of all hotels during this period--several conferences at the same time. The hotel itself was chic, albeit quite dark overall. The lobby was not terribly comfortable or inviting. A major disappointment was the lack of any high speed internet access in our room--it was down for repairs for an entire week, which I found unacceptable. They did have one computer and one ethernet cable in the business center, but I always had to wait to use either connection. On the plus side, use of the printer in the business center was free for guests. Also, I was completely unable to get Verizon wireless service in my 6th floor room...I had to go out to the sidewalk to make any calls.The mattresses were comfortable, but the linens were not the quality you would expect from this level of hotel. The bathroom, however, was exquisite--very large, with two sinks set into a large marble vanity, and a wonderful, elegant shower (no tub, if that's something you're looking for). The complementary toiletries were also quite nice--lotion, shampoo, conditioner, body wash, and large bars or soap, all from Bed Bath and Beyond. The view from my room (and most, I gather) was horrible--the worn stone side of the neighboring building. The hotel is shorter than the surrounding buildings, and is flanked on all sides, diminishing the views. Finally, the hallways echoed horribly and the doors seemed to slam constantly, causing me to wake up several nights at around 2 or 3 AM. If you're looking for a chic hotel that is all about image, go for Hotel Blake, but don't expect to be terribly comfortable, except when you're taking a shower!	
Jul 2 2007 	Very Nice Boutique Hotel	We booked a Thurs. to Sat. stay at Hotel Blake and got a very good rate of $149/night through their website. All in all we enjoyed our stay. The hotel is on a busy street, and convenient walking distance to Grant Park, Michigan Ave., etc. The décor is trendy boutique, and the rooms are very spacious. We had a king room, with a fold-out sofa bed. A few pros and cons:Cons: We were on the 5th floor, and heard a lot of traffic noise on S. Dearborn St. every night. I’d suggest requesting a higher floor.Our main door (room 506) didn’t close all the way, and we had to pull it shut when coming &amp; going.There weren’t many towels in our king room, however the housekeeper readily supplied us with more towels.The toilet flush was extremely loud &amp; foreceful.We couldn't adjust the room temperature adequately, it was either too warm or too cold.A few light bulbs were missing in the lamps.Pros: Great location in the South Loop, walkable to Grant Park, Millenium Park, the Library, and the Art Institute of Chicago, etc.Very nice décor in the lobby and rooms, cool music was piped in by the elevators.Front desk personnel were very friendly &amp; helpful, especially Jesse the doorman.The fitness room was spacious, and the equipment up-to-date.There was free internet access in the lobby.Our bathroom had a long counter with 2 sinks, and a large rainfall showerhead.We didn’t eat at the in-house restaurant Custom House, nor did we order room service (both were rather pricey) but Edwardo’s across the street was reasonably-priced &amp; good, and there is a Potbelly Sandwich shop next door, as well as a Starbucks on the corner.All in all a very good hotel. We will be staying there again next month.	
Jun 27 2007 	Good location for art institute and symphony	We stayed at the Blake for two nights. The Magnificent Mile area is a better location for shopping and restaurants, but we were in Chicago for the symphony, so the location was great for us - only about a ten minute walk.Definitely try the restaurant &quot;Orange&quot; for breakfast, just around the corner from the Blake. Huge selection of breakfasts and fresh juices in a fun, casual atmosphere. The only thing I didn't like was the magazine they had in the room. On the cover was a stripper and the magazine was about where to go for nightlife. Guess they are aiming for a clientele other than families.	
Jun 25 2007 	Nice Stay at The Blake	I had to attend a business trip to Chicago and my boss made my hotel arrangements at the Hotel Blake. After reading all the reviews here at Tripadvisor (good and bad) I really had no expectations. I was pleasantly surprised! GASP! Here is the low down:Prior to arrival I had called the Hotel Blake to get a reccomendation of a car service to pick me up at the airport. Alison at the front desk was professional and effecient. She took care of all my arrangements. Once I arrived at the Hotel Blake, there was no doorman. This didn't bother me, I am just relaying it to those who may care about such things. The front desk staff was friendly and checked me in quickly. My king room, #902, was lovely. The bed was comfortable. I loved the rainhead shower. Though, once you stepped away from the shower head you could get a little chilly. The bathroom did need a fan to help with the steam everywhere. There was no tv or phone in the bathroom as it states on the room description. No big deal there either. I encounter one problem in that my safe was locked closed when I arrived, I called the front desk and said I would need it fixed. I was told Maintenace was on their way up. I proceded to finish packing and still no maintenance. I had to meet some clients in the bar downstairs and could no longer wait so I called the front desk, told them to cancel the request for right now and that I'll call again in the morning. I put the &quot;Do Not Disturb&quot; sign out and headed to Custom House (more on Custom House in a moment). I returned to my room, a few hours later to find that the safe was open. Maintenance had still come up to my room and entered with the &quot;Do Not Disturb&quot; sign on the door. This did not please me. I called the front desk, they rapidly took the complaint and apologized. I then received a call from the Manager apologizing for the mix up. I can understand why some folks have a problem with Housekeeping. I knew going in, after reading the reviews here, that I should call and make sure I have my room cleaned first thing in the morning. The first morning there I forgot to take my own advice! LOL I left my room around 9am and returned around 4pm only to find it still not cleaned. ARGH! Housekeeping then knocked on my door a moment later and then cleaned the room. The next morning I called and requested Housekeeping to come early, problem solved.The hotel was sold out but I never lacked for an elevator. Front desk always there, helpful and friendly. The doormen were there sporaticly.  Custom House was very nice. I enjoyed cocktails there on two nights. Apetizers the first. There are some great dining options within walking distance of the hotel. Orange for breakfast, Hackney's for lunch or dinner. You'll see folks walking their dogs and some restaurant patios are dog friendly.I would stay at the Hotel Blake again. Do what I did, learn from these reviews and be proactive, ie: call when leaving for housekeeping to come up ASAP. I'd give the Hotel Blake 3.5 stars.	
Jun 25 2007 	Don't be scared off by the negative reviews.	I was looking for a little weekend getaway with the boy and stumbled on Hotel Blake. After reading the bad reviews I was a little hesitant, but, since I was just staying for one night, I figured it was worth trying. I'm glad I booked a room there - the hotel is modern and fantastic. Our room was HUGE with tall ceilings, the bathroom was very large (no tub, but a huge walk-in shower), the bed was incredibly comfortable, and we had a beautiful view from our 5th floor room. We parked on the street overnight for free (no charge after 9PM on Saturday and free all day Sunday) which was MUCH nicer than paying $40 for hotel parking. (Other days, there are plenty of parking ramps and lots around there, too, to avoid paying full-price for parking.)As you can see on their web site ([--]), they are very nicely situated for all sorts of activities and events.Best of all, there were a few fantastic independent bookstores at the end of the street. (Great for us nerdy types.) They weren't absolutely pristine in the details, but they were close enough for me, and I'm pretty picky. (e.g., The toilet handle broke, but they got an engineer to our room to fix it while we were at dinner.)All in all, I thought the hotel was lovely. I'd definitely stay there again.	
Jun 15 2007 	Blech Hotel - luxury? I think not	Stayed at the Blake hotel for three days this month. Having stayed many times in Chicago, I wanted to try a different hotel (usually stay at the Sofitel or the W). Chicago was pretty booked that week so the reviews from the Blake were reassuring and wereally looked forward to the trip.Well, so much for truth in advertising. Where to begin? The service can't be faulted as there wasn't any. Their website talks of a choice of daily newspapers. Your choice is USA Today (or as we refer to it - McNews). But the best partt was, after seeing no paper outside our door, I went downstairs and was told I'd have to pick it up from the front desk. I requested that it be delivered and the dead-eyed receptionist just shrugged and walked away. The next day, a zombie who relieved the dead-eyed guard told me they could get me a newspaper if I wanted one. This was as I had one from the Starbucks across the street under my arm. I requested one for the next day. Never received one unsurprisingly.Three requests to have the room cleaned were met with a very kurt &quot;well the next shift will be there soon - there's a convention in town&quot;. Every time the room was &quot;serviced&quot; there was of course something missing - no coffee or too few towels, etc. We alerted the rather annoyed front desk manager that there had been a room service tray in our hallway for over 8 hours and it was finally removed. 2 hours later.The room itself was not what we booked. When I booked it I expected one of the suites listed on their website. They have no suites I was told when I checked in. The rate was exorbitant for the size room we received. In response I got one of their patented shrugs. I asked to speak with the manager. She shrugged again and said she wasn't sure when he'd get there. &quot;He drops in&quot;.The best part of this stay were the doormen who seemed genuinely embarrassed by the lack of services. That was when there was a doorman. It looks like they're cutting back on services as teice we arrived at night and there was no one to be found in the lobby. No doorman, no desk service. At one point we sat there just to see how long it would take to have someone show up. After a half an hour the novelty wore off. If anyone's in the market for some white vases, stop by the Blake after 10 and they're yours for the taking. Anyone in the market for good service and good value, steer clear of this two star rip-off.	
Jun 8 2007	Hotel Blake -- Great Hotel Great Neighborhood	Don't let the earlier review saying the area is dicey sway you. It is in the middle of downtown Chicago, which is a big city. If you're not used to being in a city, everywhere will seem dicey if you stay there more than a couple of hours.I lived in the area for years and it was just listed as the hottest new neighborhood in Chicago. It's far more residential than the loop, so you'll see people with baby carriages and their dogs on a Saturday, which isn't something you'll see further north. It's off the beaten path a bit, which is a big plus for me because I don't have to fight a crowd of 800 people when I walk out the door. It's quick walking distance from Grant Park (and the nicest hotel you'll find anwhere near Grant Park, I'd argue)This hotel is an excellent boutique hotel. It is a boutique hotel though, so don't expect the type of stay you'd get at a holiday inn or a &quot;corporate hotel&quot;. It's modern, which means it has an open shower (yes that part is true), but that has a rain head shower head. If you know how to use it, you'll appreciate the luxury of it. If you're a &quot;splasher&quot; you will definately get water in the room, so it may not be for you. There are no muffins or pastries, but I'd definately recommend Orange for breakfast which is just around the corner. Plus there are three or four lovely brunch places within walking distance.Chicago is a walking city, so keep in mind that if you stay here, you're best bet is probably to walk everywhere.I'd highly recommend the Blake.	
May 23 2007 	Great time @ 413	Before I travel to Chicago I was really scare about what I read on some web pages about the bad time they have.I have to say it was a really nice experience and I can recommend to everyone goes to Chicago stays there, they didn’t say but metro station is just two blocks and also all busses stops are really close.My room 413 was an exceptional room, I slept like a baby!!! All was clean and was OK.My only complains are only about food menu in morning during breakfast and add more TV channels.I have pics of my room and, you can e-mail me if you have any doubt @ hara_45040@yahoo.com.Nice place to stay!!!	
May 19 2007	Big Disappointment	For the money we spent, we were greatly disappointed. The king sized bed is really two single beds. The shower is designed so that there is no enclosure, thereby getting the floor wet easily. The floors were marble without mats, thus making the wet bathroom floor dangerous. Worse part of all, there is no separate heat and a/c control. Like my old cheap appartment, the management decides when to put the heat or a/c on. We were chiilly at night Instead of being in front of the bed, the TV was set off to the side of the room. The room dimensions are odd. Other than the above mentioned disappointments, the ammenities resembled a nice 3 star hotel. The staff are friendly and the location is ideal. For the money we expected a luxury hotel. I	
May 2 2007 	Bye Bye Tub!	When I first entered my room at the Blake, located conveniently near 2 El stops, I was pleasantly surprised to see a lovely, large room with a marble BR. Oops, when getting ready for long, leisurely hot tub bath, I noticed that the tub was missing!! I called the desk and asked about getting a room with a tub and they said--no tubs in the hotel, except on the first floor. I had only one choice of room--over the dumpsters on the first floor. At 4:30am each morning I had close encounters with the smash, banging, clanging, even on Saturday. As I was paying full room price, I asked if it was possible to get a complimentary continental breakfast each AM. No, was the response, we don't do that. For $16, I had to battle with room service to give me both coffee and OJ on the continental. &quot;You have choice of only one&quot;. The pastries were delicious, though.Also, I must say that housekeeping was superb, kind and accomodating. Front desk staff need to work on their smiles.	
Apr 30 2007 	Nice but terrible high-speed internet connection.	We stayed at the Hotel Blake for two nights during a visit to Chicago last month. Overall, the place was very nice. Our room was very large with a very large bathroom. There was ample space to sit and relax, and the down bedding on the king-size bed was wonderful. However, one of the main reasons for booking here was the &quot;complimentary high speed internet&quot; which is necessary for my boyfriend and I when traveling as he is an editor and works from home. The internet connection was very slow and disconnected every couple of seconds, making it impossible to get any work done. We called for assistance and they said they would have the problem remidied within a few hours, but that never happened.Also, parking for this hotel was $39 per day. There is a public parking structure right down the street (a very easy walk) that offers overnight parking for half the price.	
Apr 18 2007	Don´t call anyone from Blake	Here it goes a very bad situation about a fast stay I had in Hotel DRake on April 5th. I had to make an overseas call which endured 4 minutes, no longer than that. I was charged 35 dollars for the first dial, which was not concluded because no one answered the phone, and 63 dollars for the second one. There were no signs showing that the hotel had the worst telephone rate in America ( if you doubt, check bellsouth.com)When I was charged, on the checkout, I asked the front desk lady to make sure it was our apartment, because there were two calls listed. She was very rude to us and did nothing about it but charge us. She told me to write a note to the manager, but no answer or explanation ever came. We were very disapointed for being treated like &quot;oh, you don´t know how things are expensive in America&quot;. In fact I know how things are FAIR in America, for I have lived in Detroit for quite a while. I also know that in Saint Paul, MN, two days before, we paid 16 dollars for a 13 minutes call made from our hotel room as well. The call costed us almost as much as the stay, which will never happen again. Oh, talking about the hotel: images in the internet may look better than they really are. Plus: breakfast is very expensive - be aware!Milena e Joao Pitella JuniorStayed in Hotel Drake - Chicago (IL)From April 5th to April 6th and will no longer come back!	
Apr 12 2007	Hotel Blake	Overpriced, and the surrounding area is a bit dicey, as we found out.I suggest you find something cheaper, cleaner and safer by looking a couple of blocks north.Also, the air filter in the rooms was filthy and they don't serve coffee or muffins (which I missed).Only highlight was the Custom House restaurant, but I would never stay at this hotel ever again.	
Mar 29 2007 	Excellent hotel and location - Recommended	Hi,We stayed at the hotel from March 9th till 17th. Once we got at the reception, the lady saw that we were going to stay for 8 nights and she said: &quot;You are going to stay long with us, therefore I will give you one of our nicest rooms&quot;. That was indeed true. The room was big,very clean with well known optionals, like iPOD station and wireless included.The staff is very friendly and helpfull, we asked for information on a grill &amp; bar at walking distance and they did recommend a good one called &quot;Blackies&quot;, 5 min. walk. One day, we wanted to print something, we asked at the receptionist for possibilities and he toldus we could use their &quot;business center&quot; in the lobby, there is a PC and a printer, we could print whatever we needed to and for free!Location is very good, Blue and Red Lines are 3 min. walk. I may sound too enthusiastic guys, but I have been visiting hundreds of hotels in my life, including 5 stars, none of them offered the service and kindness of Blake hotel. Hotel Blake rules!Enjoy your staying.	
Mar 12 2007	A Pleasant Surprise!	What a nice surprise. I had booked this hotel through [----] with a bit of apprehension given some of the reviews but got a good price and decided to chance it. I'm glad I did. The hotel is conveniently located :2 blks from the Blue Line, 2 blocks from the Red Line, and 2 blocks from the elevated loop trains. It was easy to get to from O'Hare, and we never had to take a cab anywhere we wanted to go. It's located across from the Public Library (the gargoyles on the roof of the library made it easy to re-orient yourself when you got off the subway) near the Publisher Row section of Downtown in a failry quiet area. There is not a lot of restaurants or clubs in the area but you can easily head to other parts of the loop to find what you want.The room was large compared to most Chicago hotels, nicely decorated with a WONDERFULLY comfortable bed! The marble bathroom was large with a large step in shower with great water pressure, hot water, and a &quot;rain shower &quot; shower head, so I didn't miss not having a tub at all. The free wireless internet was a plus. If there was one thing that kept this hotel from being perfect it was that housekeeping did not do our room until late in the afternoon. The room was immaculate as was the bathroom both upon arrival and throughout our stay. We did not eat at the Custom House (the restaurant on-site) but saw a lot of locals coming and going at dinner time, which I take as an endorsement. The pizza restaurant across the street is good, and we also stumbled upon the Plymouth Restaurant 2 blooks away. It's casual, not much to look at but with great prices, large and varied menu, and good food and open for breakfast through dinner. My steak dinner with fresh steamed veggies, baked potato and greek salad was $15! After having stayed at the W, the Chicago Hitlon, The Swissotel, and Hotel Allegro this is now at the top of our list. The front desk staff was professional, no problems with elebators, our room was on the 4th floor and quiet other than the customary morning traffic noise you'd expect to hear in a downtown hotel in a city of this size. The Hotel Blake has now moved to the top of our list.	
Mar 6 2007 	Disappointment	The first room: large and well appointed, but no dresser and a tiny closet. Where are you supposed to put your clothes?? We were only staying a few nights, so not a huge issue. The room, however, had an &quot;odd&quot; smell, was missing a sprinkler head, a pillow was torn open, two curtains were falling off, two lamps were broken, the toilet splashed out of the bowl when flushed and the hardware on the TV armoire was bent. It clearly looked as though a serious party had taken place in this room and housekeeping did their best to put it back together. It felt like a Motel 6, not a &quot;luxury boutique&quot; hotel.We asked for the items to be fixed while we were out, but the front desk staff insisted we take a better room, which we did. The second room was gorgeous. Large, clean, and sexy, but still no dresser, we made do. The iPod dock was a nice perk, as was the small sofa to snuggle on and the great shower.The second night of our stay we were abruptly woken up at 5:30AM by blaring music from the room next door as well as the loud raucous guests from the two adjacent rooms in the hallway. We immediately called the front desk and they assured us it would be addressed. 20 minutes later all of the noise finally stopped, but only for about 5 minutes. It took another 20 minutes after that for the quiet to return.We checked out that morning and relayed our concerns to the front desk staff. They emphatically denied that they were not looking be a &quot;party hotel&quot;, but I'm not convinced. The first room was clearly trashed by a party, and the following night a party was happening in the hallway. I was assured that the General Manager would be in touch to discuss this matter with us. Still waiting on that call... A pity. The place has potential.	
Mar 5 2007	Nightmare Hotel	The directions to the hotel were wrong. When we did arrive there the hotel looked nice. We were on the 5th floor. The hallway stunk like mildew. We got to our room which looked nice at first. There was a hole in our wall, and the down filled matress cover, (which will doubles as your only comforter/blanket,) had body fluid stains all over. I can not express how badly it needed cleaned, and obviously, it isn't cleaned often. The seriously dissappointing part was for two mornings in a row we were not able to shower. On the first morning, my birthday, the front desk informed us they were experiencing boiler issues . They told us we would have to wait at least 2 hours for hot water. We made the best of the circumstances and went to the Sears tower unbathed. The hot water worked that afternoon. The next morning we had no hot water again. At that time, we were told to wait a half an hour until the water heated up. We did, and still had no hot water. We got tired of waiting and left for home with no shower again. If you expect no morning shower or appoligies from the front desk, go to Hotel Blake. If not, choose somewhere else!! We never recieved any compensation for the hassel, not even the phone call we were promised from the &quot;boss&quot; who handles complaints. Convieniently, that &quot;boss&quot; doesn't work weekends, so all weekend complaints are not dealt with until Monday.As for the restaurant, we spent $40.00 on two cheese omelets, two cups of coffee, and two orders of whole wheat toast. Very fancy, and not so very good. Not reccommending the breakfast.	
