	Review...	Hotel itself was nice. Concierge was great as well as the staff in the bar/restaurant. The staff at the front desk were horrible!!!! We waited 1 1/2 hours passed our check in time and finally I went up there for the third time and they had a room ready for us. Hotel was beautiful, rooms were nothing special, hotel was close to everything...including the hospital across the street that has ambulances with sirens leaving and arriving all times of the night! Ugh.	
Aug 28 2007 	Trickery 	On our 2 week journey across the country we stayed at many, many hotels (I'm writing from one now) and were particularily excited about the Wyndham in Chicago as it was the &quot;fanciest&quot; hotel on the trip. I'll never stay there again or any other Wyndham, In Chicago I usually stay at the Westin on Michigan Ave but the $135 room on the Wyndham website won me over and it looked very nice... BE PREPARED TO TIP A LOT! I am a big tipper and this hotel bled me dry. Be sure to carry plenty of $5's because unless you're walking into the hotel with no car and no bags, you'll need them. When you pull up there's a valet/bell guy who walks over to take your car and arrange for a bell hop ($5). But he doesn't actually bring the bags up OR drive the car, another guy pushes the cart to the room and unloads the bags ($5) and when we left there was a third guy who brought the car so have at least $30 in $5's for everyone. It was weird. I lived in L.A. for years and have stayed in 5 star hotels all over but this was a lot of people to tip.  P.S. it's a $44 charge to bring a car for them to park in a $20 garage, this too was unexpected. I've never had the charge be that high. This next thing is why I'll never stay there or at any Wyndham property again- When I booked the $135 room I made sure to read all the different room descriptions and pick the one that read &quot;In Room Internet Access&quot; AS OPPOSED TO &quot;Internet access for a fee&quot; rooms. When we got there and plugged in the laptop there was a prompt to pay $10.95 for 24hour access UNLESS you had the code. &quot;We must have to call to get the code&quot;, I said. The front desk disagreed. &quot;No one gets complimentary internet here&quot;. I went downstairs to try and print out my reservation that would clear this up but even the computers in the Business Center needed a credit card swipe to work!  The front desk wouldn't budge, even after bringing up the info on their computers they argued that while the description may be misleading they never said &quot;FREE&quot; and they never said they wouldn't charge me.....really Wyndham, seriously? The polite but frustrated argument went on for some time as I tried to convey that it was the misleading description and therefore my feelings of being tricked &amp; cheated and not the money. This man was polite but never made me feel better. I was a freak who was making a big deal over $10.95 and he didn't know what to tell me. I felt like tipping another $15 to get the hell out of there. He said they weren't even making the $10.95 because they hired out the internet to a third party so I shouldn't be upset at them, &quot;Uhhhh, I'm pretty sure Wyndham made SOME meager millions of dollars profit in that deal so don't go there&quot; and don't get me started on the $44 parking profit. He went to check with a manager and came back still with the same position but offering to comp me breakfast or buy me an in room movie to quelch my $10 thirst (it's not about the $10 you idiot!!!) I took the free breakfast with no shame. That, in fact, was the lonely high note of the stay. The breakfast buffet was lovely and reflected the image I'd had of the hotel. Nice spread, perfect raspberries and polite people. It's imteresting that the buffet was $18 and while it was nice it's wasn't an $18 breakfast buffet. They're overcharging for just about everything there. I'd SO much rather be charged another $80-100 on the room rate and have &quot;free&quot; internet access and breakfast included as well as parking! That'd be $72.95 they wouldn't have to pick at you for. No trickery needed. Wyndham lost me when they offered half the amenities of a Holiday Inn or Hampton Inn at a higher cost with uppity attitudes.  Like a few of the other reviewers I agree that the concierge was helpful and always there BUT I could find my own restaurant and metro stop if I had internet. The room wasn't as impressive as the Hampton Inn I stayed in the night before (honestly). We asked for a view or an upgrade when we booked, didn't get anything. The shower was tiny with low water pressure and if lower ranked hotels can buy the curved shower bars that keep the curtains from blowing against you why can't they? ALSO, I wasn't a big fan of check-in and out being on the second floor. Why? You have to walk up a big staircase or wait for an elevator to speak the front desk.	
Aug 22 2007 	nice place	Would definetly stay here again. Staff friendly, check in took all of 30 seconds. Sent an email a week ahead and asked for any available upgrades since my wife and I were staying for our anniversary. Was upgraded on the house to the executive suite, pretty nice and very large. Concierege was very helpful. Only draw back, was facing Northwestern Memorial Hospital, quite a few ambulances, but slpet fine. One block off Michigan Ave. so very excellent location for shoppers, close to red line for Cubs game, and Navy Pier not too far either. Everything was clean, no isues there at all. Parking was easy, about 2 blocks south, $32 for 24 hours.	
Aug 5 2007 	LOVED the Wyndham!	My husband and I just got back from a 4 day stay in Chicago at the Wyndham. This was our first trip to Chicago and we were celebrating our 10th Wedding Anniversary. I had read over 115 reviews before we left, so when we arrived I was not sure what to expect since I had read both positive and negative reviews.From the minute we parked to the time we checked out I can honestly say our trip was awesome. The entire staff we had contact with was excellent. They were very friendly, professional, efficient and helpful. Our room was very clean and had everything we needed. I'm not sure where all of the negative comments came from that were in the reviews. We were pleasantly surprised and our trip was absolutely perfect.We will go back to Chicago and when we do, we will return to the Wyndham.Melissa S. - Indiana	
Aug 4 2007	Management unconcerned by theft at the hotel	We had a terrible weekend at the Wyndham Chicago. Our room was not ready and we were asked to leave our bags with the bellhops. One bag was locked. Two hours later on our return, the bellhop handed us the padlock separately from the suitcase saying that the lock was found on the floor next to the cases in the storage area. When we got to our room we found that there was a ring missing from the suitcase that had been returned to us unlocked and immediately contacted hotel security. No one was interested in the situation and there was no evidence of any action or investigation. We had to chase the front desk manager, Tony, many times and there was no proactive follow up or contact by anyone. The following day we spoke directly to one of the bellhops who had been on duty at our arrival and he was totally unaware of what had happened suggesting that there was no investigation taking place. There was also no apology or empathy toward the situation. Even worse it was strongly suggested that I had mislaid the ring and that it was my fault although everyone agreed that it was strange that the bag was returned to me unlocked, even though it had been locked when it was given to the bellstaff! The hotel management did not seem surprised that something was stolen and stated that no missing item had ever been recovered in the hotel’s history. A message was left for the general manager to contact us but he never returned our call. This type of event (thieving, lack of response, etc) must happen often at the Wyndham Chicago because no one was at all concerned or alarmed. Far more upsetting than the ring being stolen (it did not have great monetary or sentimental value) is the total lack of response, concern, apology or empathy demonstrated by the Wyndham Chicago management.Prior to our arrival the Wyndham Chicago had given us the wrong type of room and, when I rang up to have this situation corrected, the reservations agent insulted me and then hung up! This should have been a warning to us. Don't stay at this hotel. Its location does not compensate or excuse the appalling attitude towards theft or customers.	
Aug 3 2007 	Room about average location great!	We stayed here in July, 2007, and we found the hotel just about average. The front desk staff was wonderful! Very friendly and helpful. Our room was OK, but we could hear the people in the room next to us very clearly, which was a little annoying, especially late at night when they came in. The carpeting could use a cleaning because it was stained in a few places. We liked the location very much, and that is a plus. We thought the price for parking was a little excessive, so make sure you ask about that if you drive into Chicago. It takes a long time to get your car out, so be sure to call at least 30 minutes ahead.	
Jul 31 2007 	If you want to sleep...go elsewhere!	We arrived @ then Wyndham early, and told that our room was ALMOST ready. Check in is at 3...so we came back @ 5:30...they sent us right to our room...which was being cleaned and we were asked to wait outside. Nope...I went down to the front desk and asked for another room. They agreed and sent us to ANOTHER room. Upon entering this room we were able to hear the ENTIRE conversation of the group next door as if they were in the same room! SO, I called the front desk and asked if this was normal and was told, yes, since the rooms were adjoining, we would be able to hear some noise. I asked to be moved...they obliged and sent us back to the OTHER room....which was now ready. Whew!Come bedtime, wow.....beds are springy and bouncy like something in a Best Western. My son, who is 18 and can sleep on anything, spent night #2 on the floor. We moved to the Hilton for the rest of our stay. On a positive note.....the food at the restaraunt was GREAT, as was the service.	
Jul 27 2007 	Smokyfor me too	Second stay there...last year went for American Girl package. This year, just went to visit the museums. Slightly worn hotel, but the sheets and towels are clean and I like sleeping under the duvet as opposed to those horrible velour blankets in most hotels. Squeaking in the ceiling continous from AC unit, like a cricket. I had ear plugs, and it did not bother my daughter, so we endured...the engineer could not seem to find what was wrong. Carpet in the room moderately stained this time around. And could see where they had scrubbed here and there. Had the maid in the hall wipe the room order menu off on our arrival as it had something hard and dry and non descript stuck on it. After the first night, someone checked in near by who apparently disregarded the nonsmoking room policy. I am very sensitive to smoke and could smell it the last two mornings there. Very good location, but pricey for the age and wear and tear. And yes, I have an upper respiratory infection now. Probably no vaction trips for a while, expensive, and the flying is no fun.	
Jul 23 2007	Beware the Wyndham Reservations on St. Clair Street	Three times to get reservations correct, first through general reservations, then twice speaking with local hotel reservation representative (who was rude and had the attitude &quot;stay or not&quot; and kept changing the rate with each conversation). Never received proper confirmation via email. When arrived, was given smoking room (reserved NS) and when room corrected, ended up with 2 beds vs King as reserved months in advance. Beware.	
Jul 22 2007 	A smoky stay.	To outward appearances, it's a nice hotel. A 4-star at best. Probably more of a solid 3-star. And I stayed there for business, so I didn't go by choice. Fortunately, I was given a huge suite, sadly, it was a smoking room. When I asked for something else, I was told that was all they had, and it was, very likely, not too bad. I took her at her word and tried the room, but frankly, I didn't get past the elevator before hitting a lung-choking wall of smoke. The room itself wasn't bad, but it wasn't acceptable either. I then easily got a non-smoking room from another clerk (huh?), and while the hallways on the non-smoking floor were STILL smoky, the room was okay. I guess my long winded point is to make SURE you get a non-smoking room.	
Jul 19 2007 	Great Location	Room was nice, view was not. We were in a corner room, but view was shaded by adjacent buildings. When we checked in, the front desk computers were down, so they wrote my name credit card number on a sticky note and added it to the pile of other people's numbers. Room could have been cleaner.When I contacted the concierge to plan a night out, they were not really familiar with the area and were of no help.The hotel is in a great location, near a lot of shopping and public transportation.Overall, the stay was good, and I would return to this property.	
Jul 16 2007 	Great Stay!	Just returned from a one night priceline stay at the Wyndham Chicago, it was great! The location is tremendous, though only a block off of the Mag Mile, it has a distinct cozy &quot;neighborhood&quot; feel to it. There is a myriad of excellent dining, shopping and entertainment choices within very easy short walking distance. Every staff member we encountered acted as if their job depended on how well the customer is treated. The room was smallish, spotless and very quiet.The bathroom very roomy and the bedding was fantastic. We could see the Emergency room entrance to the hospital out of our 14th floor window--but heard no sirens between the hour of 10pm-7am and nothing disturbed our sleep.We've had short stays at six different four* (Priceline) hotels in the Loop/N Michigan areas of Chicago in the last three years and The Wyndham is our new #1 favorite.	
Jul 5 2007	Unsatisfactory Customer Service	I have not stayed in the hotel due to my flight to Chicago being cancelled but one thing is for sure: the customer service is the worst, and I have traveled quite a bit.There were no problems getting a reservation but on the day of my travel, I found out that my flight was cancelled and I called the hotel to let them know that I won't be coming. Unfortunately, I didn't get the name of the person with whom I spoke but she had told me that as long as I fax them a statement with USAir logo that my flight was cancelled, they won't charge me, and so I didn't request the cancellation number.Later, when I spoke to the accounting department, the accountant have told me that I would need either a cancellation number or a statement from the airline. When I finally got the statement and faxed it to them, she refused to refund the $299 due to the fact that I didn't have the cancellation number and outright lied to me saying that they never said that the statement from the airline would be satisfactory. when I asked to speak to the supervisor, the accountant refused to connect me to anybody stating that no one can help me. When I called the corporate headquarters, they told me that this matter is up to the hotel to resolve. As a result, $299 was charged to my card. But the worst part is: the hotel staff lied to the customer!	
Jun 22 2007 	Nice but dated	Stayed there during a trade show a few weeks ago. Location is fantastic with easy walking access to restaurants, shopping, shows, tourist attractions, etc.My room actually got upgraded twice to an executive suite. While that was a nice touch after a few errors during check-in, there were a few problems with the room. First it was dark and sparsely decorated. Also, there were lights burned out in the bathroom and a hole in the shower curtain...nothing major, but little problems I feel like housekeeping should have noticed without me pointing it out. The rooms seemed to be in need of redecorating. Also, at a hotel this price it would be nice if internet access was included - I hate that I can get free internet access at a discount hotel, but get nickeled and dimed at luxury hotels.The staff was wonderful and very helpful. Concierge service was very knowledgeable and pulled strings to get us into a popular eating spot. They also sent appetizers to our table once there.I would definitely stay here again for business, but would not spend that type of money if travelling on my own dime.	
Jun 21 2007 	Wyndham are become my first choice	RECOMMENDED. Best deal via hotel website. The ByRequest program is one of the best in the industry and everyone should sign up. This property is showing some signs of age, but good maintenance throughout. Checkin was fast and friendly even though it was 11 a.m. Clerk noted rooms facing the hospital at lower floors might be a tad noiser. I was checked into a lower corner king.Large corner king room in general good condition. Furniture a mid to classic for me (most hotels moving to higher tech contemporary look), King bed very comfortable. Lighting was good. Bathroom in good condition and well illuminated. I encountered no problems. At night, traffic much lighter and quiet. Staff was very friendly during entire stay, housekeeping particularly nice offering to clean room as I exited one morning for breakfast.Property is 1 block off Michigan Ave, easy walk to numerous restaurants. Small gym with window view of city adequate for most needs. Taxis always available across street at hospital.Overall, a very good stay and an excellent choice for a business or a tourist visit.	
May 29 2007 	Great location	We recently stayed at this hotel and we were very pleased with a number of features. The location of this hotel is very ideal, only a block off Michigan Avenue at its most convenient location to the Water Tower, the State Street restaurant area, and Navy Pier a very walkable distance. We were offered an upgrade to a junior suite for a surprisingly low price, the bed was very comfortable, the bathrooms were spacious (with a stand-up shower) and an underrated feature was a temperature-controlled setting instead of the usual &quot;heat&quot; and &quot;cool&quot; thermastat. The concierge desk, although understaffed, was VERY helpful and patient...which helped us in choices for restaurants, tours, bookings, etc.The one drawback was the price on the food for room service. It definately kept the menu book closed throughout the whole stay for us! We typically look for that kind of thing when staying in a hotel, but it was a big turnoff how high the prices were...especially considering it's a 3-3.5 star hotel. Overall, the staff was friendly, rooms were very clean, location just fantastic and we would definately stay here again. Especially for the price we got it!	
May 19 2007 	Nice hotel could be a bargain	It's a very nice hotel. It's book-able through Priceline at times, where it could be an amazing bargain. Centrally located, a few blocks from Michigan Av / Magnificent mile, easily walk-able to Millenium Park, Art Institute, Grant Park, Lincoln Park, the Lake Shore, and Navy Pier.The beds were super comfy, the staff were nice. There are some nice places to eat in the area, lots of shopping, no free WiFi though, but I found few (no) Chicago hotel offered this.	
May 19 2007	Woudn't Do It Again	I had a unique situation - flew a redeye from Seattle and needed a hotel to nap and clean up before a later morning busines meeting. Wyndham offered a great rate. I showed up at 6 am to the following:&gt;No front desk staff. I could hear them in the office but it took a few &quot;good mornings&quot; before anyone bothered to come out.&gt;When I tried to check in they said &quot;we don't offer the thing you're talking about. check in is 3 pm.&quot; When I showed my confirmation they informed me that they were sold out and had no rooms. When I said I had a confirmation I got a shrug.&gt;Finally the manager came out and said the same thing. I again showed my confirmation number. She asked me to wait and disappeared. Came back 10 mins later and checked me in. But wasn't really pleasant about it.When I got to the room it had obviously just been made up, so they get a point for finding me something. The room itself wasn't special, which was fine because I wasn't staying long.Based on my experience I won't stay there on my next trip, which will be longer than a few hours. And I sure won't try the day rate thing again.	
May 10 2007 	Wyndham Chicago: worth the deep discount	We booked our one-night stay at the Wyndham through a &quot;deep discount site for $100.The hotel is beautiful. The location is one block away from the Mag Mile, so you're in prime tourist location. The interior of the hotel is gorgeous. Our room was clean, well-decorated. The bathroom was plain, strangely laid out and didn't seem up to par for a hotel like the Wyndham (more like a Holiday Inn bathroom, honestly) but the bed was incredibly comfortable and soft (thread count: 100000???). Our view was of....a big fat gray wall (we think maybe they gave us a less desirable room because we booked through the deep discount site?).We thought the hotel was beautiful, but for the listed price of this hotel (around $300 on a weeknight), it could have been WAY nicer. Internet cost extra ($11/day!!) and parking was $30/day. And don't even get me started on breakfast prices. Also, the staff was less than cordial most of the time, sometimes downright rude. For the listed price of the Wyndham, I think you could do better. However, if you're considering booking through a deep discount site like Hotwire or Priceline, then I think it's absolutely worth it.pros: beautiful hotel / nice interior, well-decorated rooms, comfy bedscons: boring/plain/unexceptional bathrooms, high fees for internet, breakfast and parking, cranky staff.	
May 8 2007 	It's all about expectations ...	My husband and young son stayed at the Wyndham for one night last weekend for a family event in town. We were lucky to get a room there (albeit at almost $300!), as most of the hotels in the city were sold out. The hotel is extremely well located to Michigan Avenue, which was the most important consideration for us.Given the Wyndham is technically a 3-star hotel, we weren't expecting much but were pleasantly surprised. The rooms were very clean though the amenities were &quot;ok&quot;(not luxurious, but fine) -- linens, pillows, bed, towels, etc. The rooms were furnished with a coffee maker (great for warming bottles) though it was a bit awkwardly placed in the entertainment cabinet. We were on a high floor, so we didn't experience any problems with noise.Service was a bit spotty - the bellmen weren't quick to collect our luggage or hail a cab, etc. But the people behind the check-in counter and in the restaurant were very friendly (maybe that's just true of Chicagoans compared to New Yorkers!) and helpful. The buffet brunch in the restaurant was also &quot;ok&quot;, but a bit expensive ($18) considering the quality. Next time, we'll probably check out Corner Bakery, which is just across the street.If you're looking for a convenient, clean place to put your head on a pillow in Chicago, the Wyndham is a good choice. When the city's not fully booked, the hotel is probably a good value, too.One tip: we found the cheapest rate on the hotel's own website (more than 10% better than the best pre-paid rate on Expedia).	
May 6 2007	Friendly Staff Comfortable One Night Stay	Got a great price on this hotel through Priceline. The location for downtown Chicago was perfect, the beds were very comfortable and I would definately stay here again. I'm not sure I'd call it a 4 Star hotel as far as luxurious and the amentities but it was very clean, bathroom was a good size, the staff was very friendly and helpful. I would definately stay here again.	
Apr 22 2007 	Great Location; comfortable bed	We (family with two children) recently stayed in a suite (American Girl Deluxe Package) at the Wyndham Chicago. The location was great; close to shopping, the train, and the lakefront running path. The suite was very large, and the bed was amazing. My daughter loved the gifts that came with the American Girl package. I would highly recommend joining the free Wyndham By Request Club (on their internet site). It gave us free Internet access (regularly 10.95 / day), and they had welcome snacks (cookies and milk for the kids and wine/cheese/crackers for the adults) waiting for us on our arrival.If you can, request staying on the side of the hotel away from the hospital. We heard ambulances throughout the night.	
Apr 6 2007	Loved our stay	I searched for days for the perfect hotel that met my criteria as faras location, price, room size and pool. I traveled with my husband and three teenage children to Chicago for a three day stay and could not find a suitable suite anywhere as I was booking late and it was spring break week. I read countless reviews and settled on the Wyndham ultimately because it seemed it would suit our needs....so we took a chance. And I was pleasantly surprised. I have stayed at some of the finest hotels in the world and I found this hotel perfectly fine. My children loved it! I ended up trying to booktwo different types of rooms on the hotel's web site through their web rates. I finally called the number listed for web rate information and she helped me get the rooms I wanted. We got a cornerking which I heartily recommend and a double room for the kids. The corner king was huge, and had non-rectangle dimensions, almost like a triangle. We had windows that covered one entire wall facing the front of the hotel. Yes, the sirens were constant but we got used to them after a while and they did die down by bedtime. They never woke me up and I am a light sleeper. The corner king room had a sofa bed as well which I wasn't expecting.The bathroom was huge as well but a bit cold for me and no way to heat it up. The temperature in the main room was easy to adjust however. The room had a large entry way with a table and lamp and large closet. The tv was in the typical armoire with minibar and coffee set up. There was a nice desk and ergonomic desk chair and a coffee table in front of the sofa. Even with the sofabed pulled out, the room was still spacious. We were very happy with our room. This room was large enough that the five of us could hang out withoutfeeling cramped, then at bedtime, the kids went to their own room which was just around the corner from ours. Their double double room was a little cramped but their bathroom was a nice size. Our beds were very comfortable. We did not use the restaurant as it was a bit pricey for a family of five. The bar was a very happening place the Monday night we arrived.We also did not use the concierge for anything but they always greeted us as we walked by. The pool area was small but big enough for a nice swim and the gym was a nice amenity.We ate breakfast at a place kitty corner to the hotel called Corner Bakery and there was a Friday's Restaurant a block away that the kids enjoyed. They also insisted on walking to Dunkin Donuts a block or so away. Michigan Avenue shopping is literally a short block away and that was the main reason I chose this hotel. We walked one evening to the Hancock Observatory, not far away at all.Parking was $44 a night and they add it to your final bill. We tried different ways of getting about. One time we left the hotel and then parked at the museums and that cost $15. The next day my husband thought he'd save money by taking a cab to another museum but it was $20 each way. It would have been cheaper to take the car out of the garage. Next time we'll explore public transportation! I liked havingthe car in the hotel lot but you cannot access it at whim. When we called for our car though, it was there in minutes. Overall, I really enjoyed this hotel and definitely would chose it again. We had no problems whatsoever and felt we got what we were looking for.	
Mar 29 2007 	Meh The Wyndham Chicago	My wife and I stayed at the Wyndham Chicago for 3-nights (Fri-Sun) in March 2007. We paid $90/night through [--]. We found it to be a rather average hotel that neither amazed nor disappointed us. The staff was helpful, but not really friendly. Our room was decent. It was clean and nicely decorated. The bed was comfortable, but the pillows were rather flat. Our room had a nice desk and chair as well as an additional recliner. The bathroom was fine, no frills, but nice enough. Several of the reviews on this site have mentioned outside noise as a problem (the hotel is located across the street from Northwestern Hospital) thus I requested a room on an upper floor away from the hospital side. I think I only woke up once from ambulance sirens as they seemed to taper-off after about 11:00 pm. I’m not sure if the room’s location helped or not. We didn’t try room service nor did we at the hotel’s restaurant so I can’t really comment on them.POSITIVES: The location; only a block off of Michigan Ave. the hotel is in a prime area of town.NEGATIVES: Noise from the hospital; No free internet (+/- $11/day)MY OVERALL IMPRESSION: I would never pay full-price for this hotel; however I am satisfied with my stay and feel that I got my money’s worth.MY RECOMMENDATIONS: -Request an upper-floor room away from the hospital side of the hotel. -Don’t pay full price.	
Mar 25 2007 	Great Hotel	I stayed here with 2 children for 4 nights in february and we had a wonderful stay.The room was reasonably sized(2 doubles).It had a big bathroom with great shower and was spotlessly clean.All the staff were very friendly to both myself and my children and were very helpful in suggesting restaurants and places to go.It is in a great location,1 block to Michigan ave and you can get a bus to just about anywhere from there.I would definitely stay here again	
Mar 6 2007 	4th Time--Still Love the Wyndham	My daughter and I have been staying at the Wyndham each winter for 5 years now, with one interruption when we tried the Omni. The main thing that keeps us coming back is the lovely bedding and comfortable beds. Also, the rooms are spacious and the location is great. We have stayed in a standard room, a couple different suites, and a corner king. I would recommend them all, but in the corner king rooms be aware that the emergency room of Northwestern University Hospitals is right below you and you will hear ambulances in the night--bring along a noise maker and you'll be fine. I have one minor complaint this year--for the first time, they didn't leave me a little bottle of wine for being a &quot;By Request&quot; member, and the formerly reasonable mini-bar prices had jumped up to what you normally find in other hotels. I used to love that their mini-bars had prices that encouraged you to buy from them rather than running down the block to White Hen. The staff is always very friendly and helpful. We'll definitely be back next winter.	
Mar 6 2007 	Nothing special	We were really looking forward to staying at the Wyndham as we've always heard it is one of the better hotels in Chicago. And maybe it was our heightened expectations which have left us a bit disappointed in the overall stay. We got a really cheap rate for our room through Hotels.com, and as we've learned on previous trips, that sometimes means you get the worst room in the place. Such was the case on this trip. We were the first room outside the elevators and our view consisted of a brick wall. The bed was not very comfortable and the pillows resembled half-emtpy sacks of flour. The bathroom, which was enormous, had no place to hang anything up. A hook on the back of the door would have been nice. And when they tell you to call the valet for your car 30 minutes in advance, believe them.	
Mar 6 2007 	- Excellent Hotel in the Windy City	This Wyndham was wonderful. We arrived at 10:30am and our upgraded spotless JS was ready to go. Our ByRequest goodies were there and we were all set. The room was very large and it had a nice city view and we could even see the lake. The staff was wonderful, friendly and very helpful. The hotel is on the second floor so you have to walk down a flight of stairs or take a short elevator ride to get to the ground floor. It is in a great location just a block from great shopping and a huge choice of places to eat. Try the Weber Grill for fun and a good meal. We spent four nights here and were very pleased with the accommodations and the hospitality. We have spent many nights checking out hotels and Wyndhams can be hit or miss this one was perfect.	
Feb 4 2007	good deal for suite after Christmas	This was the second time staying at the Wyndham. The rate after xmas between new year's was actually cheaper for a suite than a room which I stayed in June 06. Kudos to Russell, the concierge who helped me by phone prior to my stay and continued to do so during my stay. He was super! You can't beat the location of this hotel. I thought Corner Bakery was good for breakfast, but actually liked West Egg- down the street and to the right for great eggs, pancakes, fruit at really affordable prices. The hotel restaurant is a bit on pricey side but ended up there for late lunch during the hordes of tourists after holidays. The pizzeria, Due is really good in that they take your name and actually have the pizza out shortly after you sit down. Don't know if Unos does the same.	
Jan 29 2007	An Outstanding Hotel	I stayed in the Wyndham Chicago for one night and was completely happy with every aspect of my stay. I was immediately greeted as I arrived and all of the staff were great. The hotel and room were both very clean and the food at the hotel restaurant was excellent. As I said, the staff were very helpful and pleasant.This hotel is also in a great location. This was my first stay in Chicago and it was nice to find out I was only a block or two from the Magnificent Mile.I would definitely recommend this hotel!	
Jan 29 2007 	Great price for a very nice hotel	We booked through Travelocity for a 2 night stay in mid Jan. The rate was $107.00 per night for a Sat + Sun night stay. We ended up paying an extra $25 a night upfront to upgrade to a suite. the room was HUGE. It must have been about 800-1000 sq ft. It was very nice and the bed was quite comfy. Staff was helpful. Would definately stay here again. Located only about a block off the heart of Michigan Ave.	
Jan 24 2007	Wyndham	We recently stayed at the Wyndham for a family vacation to Chicago. The hotel is certainly geared for the business/convention visitor with room service and resteraunt prices that were well outside our budget. Having said that, the location is fantastic for exploring the Magnificent Mile. While the room was not particularly large for the four of us it was what I expected and was clean. There is a Corner Bakery straight across the road where we got our breakfast each day and Gino's East Pizza is only 2 blocks away (deep dish heaven!!). The kids enjoyed the pool although it is quite small and I could imagine it filling up quickly in the summer. The staff were friendly and helpfu. Overall a good stay but not a hotel particularly aimed at families.	
Jan 21 2007 	Great Hotel for the Price and Location	We just stayed at the Wyndham Chicago, great stay! Booked through the hotel website for $118 and joined the Wyndham by request club (definetely worth your time). Because we joined the club, we were upgraded to a large suite and received a cheese tray and beverages in our room. Hotel staff was very friendly and helpful. Short walk to Watertower shops. The only complaint-they could use to update some furnishings and linens. We asked for an extra blanket and pillows, they were delivered quickly but the blanket had stains and a hole. Other than that, nice lounge and restaurant for breakfast. Will stay again.	
Jan 15 2007 	Great Location BIG room	We had a huge room, it came in handy for four girls trying to get ready for a night out on the town. The staff was friendly, cabs were ready and waiting and we got a wonderful price by booking on priceline.com. The corner bakery is across the street and it offers a good inexpensive breakfast.	
Jan 14 2007 	Great City Great Hotel	Whilst staying with family in the chicago area, we spent a night at this hotel whilst shopping the Magnificent Mile.It's location is excellent (one block from the magnificent mile) and on public transport routes should you require.The staff were extremely friendly from the check in staff to the domestic staff cleaning the rooms. The room was lovely and a really good size for a city centre hotel.We booked a romance package which was good value and included sparkling wine and strawberries in our room as well as breakfast. The breakfast was however a little disappointing compared to other hotels we haved stayed at in the US. The choice was limited but of good quality.The hotel is near a hospital but we only noticed when walking back in the evening, and we didn't experience any disturbance from this.Overall, a great city, a great hotel. We would definitely recommend it.	
Jan 10 2007 	Nice Hotel Great Location	We stayed in a corner king room for $125 on a Friday and Saturday night. Got the price from their website that same Friday we checked in. The king room was large and very pleasant. The heat in the room seemed to operate really slow, we were cold upon checking in and it took a long time for the room to warm up but the rest of the weekend we were comfortable. The location is ideal, one block away from Michigan Ave. but on a quieter street. The intersection where it is at has stop signs instead of a signal which gives it a quiet, relaxed neighborhood feel. There is a hospital across the street on the north side but it didn't bother us. As the ambulances approach they turn of their sirens as they enter the hospital so you don't hear the constant wailing as an ambulance would pass by. We were on the 14th floor on the northeast corner facing the hospital. From this spot the only view was of other office towers across the street. We did not eat at the hotel restaurant but we did eat at the very good Corner Bakery across the corner and a good TGI Fridays half a block away toward Michigan Ave. We also ate at the California Pizza Kitchen 3 blocks away and went to the AMC 21 to the movies. Everything is convenient from this location. Quiet hotel away from main scene but still plenty close. Staff is very friendly and helpful. Nice relaxing hotel.	
Jan 2 2007 	Wyndham is nice but too pricey	Stayed in standard room which was clean, but no amenities. Alot of street noise-sirens all night (hospital is closeby). I was surprised that they put a 20% gratuity on our bar tab and also slipped in a few drinks that were not ours. Lesson learned is to pay cash in the bar next time and give a gratuity if you want to. They charge for absolutely everything, even local calls. I doubt we go there again after seeing our bill. They offer nothing special for the cost.	
Jan 1 2007 	New Year's celebration	Very nice hotel...classy atmosphere, however it was a bit pricey for what you actually get. Loved the lobby and the staff was very friendly and accomodating. The only thing negative we have to say is that the phone in the room didn't work, the wake up call was late and the shades didn't open to let us see the view of the city. We would definentely stay here again but probably not on a holiday with the higher rates because for the price we could have found a nicer hotel.	
Dec 29 2006 	nice but nothing special	We stayed at the Wyndham just after Christmas for $82/night (through priceline.com). It was a pleasant experience, though nothing to write home about. The room was spacious and well-appointed (two armchairs, writing desk with Aeron knockoff, plush bed with cushions, spacious bathroom with lots of towels), with an unspectacular view. The room must have been just above the kitchen or soomething, as it smelled of greasy bacon in the morning (through the AC system), which was quite unpleasant. We had breakfast at the Corner Bakery across the street, which is run by a spectacularly nice manager. The room was not exactly the cleanest I've ever seen (carpet), same holds for the bathroom (toilet seat), and I'm glad I didn't book it through the hotel's website for more than double the price. It's not a particularly stylish or interesting hotel by any stretch of interpretation, but it is fine, and very conveniently located (1 block East off Crate and Barrel on Mich. Avenue - also very close to the Hancock and, some will relate to this information more than others, to the American Girl Place - lots of children with dolls among the guests). The concierge gave us contradictory information on transportation to O'Hare Airport, but it all worked out in the end. An interesting fact: I had paid in advance and I wasn't supposed to see how much they charged priceline.com for the room, but they inadvertently slipped a notice under my door. Priceline had paid them $76 (plus tax).I found the fact that you had to take two elevators (or walk up one flight of stairs and then take an elevator up to your room) mildy annoying (especially if you're loaded with shopping bags), but for the price I won't complain. If I need a hotel near Mich. Avenue again and priceline sends me to the Wyndham again, it will be fine, but I wouldn't particularly SEEK to be placed in the Wyndham, and if I was looking for a romantic getaway, I'd not put my money on the Wyndham.	
