	Great Hotel downtown	Very conveniet to downtow. The Hotel is quite, clean and confortable with a big lcd tv. The hotel park cost a little bit much that other solutions, but very convenient. For breakfast there is a Starbucks very close to the hotel.	
Jul 28 2007 	Can't beat Location Price 	Stayed at Essex in 7/24 to 726/07 with 2 adults &amp; 2 kids. Our room was clean &amp; comfortable, location is great &amp; the price can't be beat (compared to it's next door neighbor the upscale massive Chicago Hilton.)Across the street is Grant Park, walk a few blocks north then it's the Burnham fountain (don't miss it at night); few blocks more you're in Millenium Park (outdoor concerts, sculptures, fountains); walk through Grant Park towards lake &amp; you're inField Museum/Shed Aquarium and the lake. Even Sears tower, Chicago Board of Trade and Magnificent mile is walking distance. If walking is not your thing, taxis waiting right outside hotel, bus stops a block away and El train a few blocks walk. The room is small but appear larger with one wall all glass with view of park/lakeshore/museums/soldiers field. Bed was neatly made in all white high grade sheets, very fluffy pillow and down like comforter (just like home). Room was clean but stuffy at first. But after turning on AC to high &amp; spraying room with a small car deodorizer I always bring with me when I travel, it smelled great. Bathroom was clean except for the small shower, which needs to really be replaced. There's a good size exercise room, indoor pool, and a balcony overlooking the park.Overall, we will definitely stay at Essex Inn next time we visit Chicago.	
Jul 27 2007 	Not bad for the $$	I stayed at this hotel for NeoCon in June, however am just getting around to writing a review. It was not terrible for the price. Compared to the other hotels it was a bargin. You get what you pay for. It was clean-but small. There were 3 of us in a room and if there had been 4 it would have been crowded. The resterant is fabulous though...very very good and reasonably $$. Really you are in Chicago and are probably not in the room longer than to take a shower and go to sleep...if you have plans to hang out there you may want to choose a different place.	
Jul 18 2007 	What a dump!	I was chaperoning my Debate Team to a national competition. Our needs are few: space, quiet and comfort. The rooms were tiny, hot and not terribly clean. Service was slow. Check in is a nightmare because the check-in desk is located on a narrow strip--really just a wide hallway--opposite the elevators and on the main passage to the garage. Trying to fight your way through the mob to retrieve your car takes time. Just checking in takes time. The adjacent lobby is very small and, if there is a conference going on in the downstairs conference rooms, unavailable for regular guests. The only good thing about the hotel is that it runs a free shuttle service up and down Michigan Avenue. It's needed since the number of affordable restaurants in the immediate vicinity are limited. Not a good experience and I will not stay there again.	
Jul 6 2007 	Perfect for family vacation	Our family stayed at the Essex Inn for a week in June. We loved the location and spent a considerable amount of time at the Museum Campus, which was right across the street in Grant Park. Very easy to cross Michigan Avenue a block down from the hotel. Hotel shuttle was very handy; shuttle driver was extremely helpful and friendly. One day, there were problems with the shuttle bus' defroster (we had a couple downpours) but the next day, the hotel had an even newer shuttle bus. Pool and fitness room were above adequate. A terrace outside the pool on the forth floor was handy. On Wednesday and Sunday nights between Memorial and Labor Day, they shoot off fireworks from Navy Pier and the terrace provides an excellent view. Very easy to catch a cab from the hotel and the concierge did it for us. They held our luggage after check-out for only 50 cents a bag. We ate at the hotel's restaurant several times and found it to be very affordable and good! The elevators were slow at times and the room could've been bigger, but we weren't in it much. Very clean and helpful staff. Would definitely stay there again.	
Jul 3 2007 	Slow Elevators	The main thing this hotel has going for it is its position overlooking the park. Rooms are very basic and in need of a re-furbishment. The wardrobe in my room was just a pole between two walls to hang your clothes on, no door just a pole! The worst thing about the place is the elevators, they are soooo slow. Long lines form, waiting for the magical event when one turns up! All in all a basic hotel in a prime position.	
May 28 2007 	Better than expected	Very clean room. Friendly staff. Free Internet opposite the check-in desk. Good location in front of Grant Park. Michigan Avenue is very long so though you can walk downtown it gets tiring after the second day. Solution: Buy a bus pass for the number of days you are staying.Travelling by bus is easy and quite fast. Bus stops for both ways are just outside the hotel. The swimming pool is wonderful for a morning swim before you set off or after you come back in the evening. Buddy Guy's Legends Blues Club is a two-minute walk. Hotel also offers a free shuttle bus into town every hour on the hour.Conclusion: A very good, moderately priced hotel. Not for those seeking a luxury hotel very good for the price.Restaurant on the premises. Good American food and beers.By the way, Chicago is a very pleasant and clean city. Always felt safe around hotel and downtown. Try the Chicago Greeter Program that offers completely free (no tipping) private, guided walking tours of the city.	
Apr 25 2007 	Great location - some equipments a bit old	I stayed a night in mid April in a room with 2 queen beds (14th floor). The bathroom was OK. There was free coffee in the room. A soda vending machine was located by the floor elevator.On the cons side, the air conditioning/heating system looked quite old. The windows were old, too.On the pro, the room was clean, the location is great and it's distant from the museum by a 10 min walk. It's on Michigan avenue. There's a Caribou coffee and a jazz bar within 1 block. I had dinner at the hotel's restaurant which is serves indeed standard US food.The Sears Tower requires a 20min walk, the metallic &quot;bean&quot; a bit upper in Michigan avenue requires almost the same walk.There is a free Internet (web only indeed) access on the 1st floor.	
Apr 8 2007 	Disaster Of A Hotel	Upon check in, we learned that the pool, which was one of the main reasons for booking this hotel, was closed. No one informed us of this at the time we booked. When we got to our room, we found it to be very small, dirty (ants in the bathroom), and loud due to construction in the hotel. Again, a point that they failed to mention when we booked this hotel. We called the front desk for an upgrade. They agreed and put us in a &quot;suite&quot;. This room, even though it was bigger, was still dirty and grungy. The floor of the tub, for whatever reason, squished when it was stepped on. We thought we had solved the noise problem but found in short time we were wrong. The room was adjacent to the elevator which could be heard running up and down all night long. Check-in/check-out was a hassle and the valet service was mediocre at best. Needless to say, our experience with the Essex Inn was horrible. I would not recommend staying at this hotel. Ever.	
Mar 28 2007 	No control of air conditioning in room.	When we arrived there was a two inch dead cockroach on the floor in front of the sink. We just threw it away, no big deal. The temperature on March 26, 2007 was warm for Chicago. The room was really muggy when we walked in. I went over to turn on the air conditioning and the button is gone. We called the front desk and they indicated that they control the heating and cooling and said if we wanted ventilation we would have to open the window (which has no screen in it; maybe that's how the cockroach got in????). it was humid so it was an uncomfortable night of sleep as well as uncomfortable getting ready the next morning. The lobby was extremelywarm. I was sweating standing for five minutes checking out. The restaurant had good food and was very cool and comfortable. The omelets and hashbrown is really good. We only stayed one night to go to the taping of the Oprah show the next day. Great price ($95.20 total on (----)) but I would have definitely paid extra somewhereelse for air conditioner control had I known we couldn't receive that there.	
Feb 7 2007 	Good downtown location for the Budget traveler	Great location. Right next to the Chicago Hilton which was hosting a Chicago Bears convention while I was there. Got a spacious room for about $98 per night.The room was very comfortable although the hot water did not work properly in the shower. Not fun taking a shower in cold water during the winter in Chicago!The pool area was nice and the staff was friendly. The lobby was spacious as well. I would stay there again.	
Jan 8 2007 	Nice location but...	I stayed here overnight while attending a convention downtown. The location is great for the convention center or the museums, but a little south of the main restaurants and shopping. The room was small and extremely dirty looking. I am glad I didn't have my children with me! It was uncommonly warm during my stay in November, and the temperature in the hotel was not regulated well at all. I had my fan on &quot;cool / high&quot; but it wasn't working too well at all...just making noise. When I checked to see if it was possible to crack the window open, I was quite surprised to find that they tilted in and could be removed BUT there was no screen over the hole. It was so hot I decided to risk it, but kept waiting for birds (or Spiderman) to come flying into my room overnight.Pictures of the pool look nice, but I didn't have time to check it out on my trip. The bar was decent, with four or five beer choices on tap. The lobby was clean, but not much atmosphere as it was mostly brightly lit and open to pedestrian traffic.Overall the hotel was cheap, especially considering downtown Chicago prices...but you do get what you pay for with the Essex.	
Jan 2 2007 	Should have stayed elsewhere!	We booked our stay directly with the Essex Inn. We booked their shopping package, it was advertised in a magazine for $109.00 per night. When the reservation was made the cost was $139 for the first night and $119 for the second. The question of whether or not parking was included for the entire stay was posed at the time of reservation, my wife was told yes. I called the following day to question the difference between the advertised price and the charged price, I was told it was do to room type availiable, I then asked if the least expensive room type was avialable, it was but not for the advertised price. I also asked if the parking was included the entire time, I also was told it was. Upon arrival the room was not ready for 55 minutes after check in time due to cleaning issues. I was informed that parking was only covered for one night not both, as we had asked twice previously and been told it was covered. Opon finally getting our room we were unpacking while our 18 month old played. When we looked at our Daughter she looked as if she had just rolled through a barber shop, she was covered in Hair and Dust. Upon Check out I requested to speak to the Manager, he acted as if he could care less, and completely ignored our concerns and issues. Needless to say I will never go to the Essex Inn again.	
Dec 22 2006 	Great value good for the art lover	I picked up an English friend at O'Hare and we spent a night at the Essex before driving west. Booked through Orbitz, paid $91 ($78 plus taxes) for the room, $21 for parking. Access to hotel was convenient, check-in staff very pleasant. The room was large, beds comfy. Bathroom was on the small side and water pressure in shower wasn't great, but it was fine for one night. There are coffee makers in the room, but otherwise no breakfast.  We ate dinner in the restaurant -- good selection, reasonable prices, very friendly service. One delightful thing about the Essex is the artwork in the rooms and halls. Instead of the usual generic junk, there are museum posters of all kinds -- Renaissance, Chinese, Abstract, photography, American Colonial, you name it. Charming, just wonderful.	
Dec 2 2006 	Good location OK room	I stayed here while my wife was at a major conference including a venue at the Hilton like the previous reviewer. Unlike the previous two reviewers I did not find myself desperately needing scissors so cannot comment on that.An initial room with king bed was rather small so changed to a double-bedded room a bit farther back. Rooms are fairly standard with older style glass walls that let in noise. However Michigan Ave. is a lot less busy than I expected so this is not a major problem.I visited the pool and garden area which were very nice but spent almost my whole visit in museums so never really had time to use the pool.For a museum freak the location is excellent.I seem to be a bargain hunter in hotel rooms and in this location during a major conference, the bang for the buck was not as good as I normally get. But, that is in this location during a major conference, so what does one expect?	
Nov 30 2006 	Perfect for me	Paid $450 for 3 nights, 2 double beds. The hotel was really great for what I needed at tthe time. I needed a hotel close to the Hilton (for a conference). It's right next door. The staff were very friendly and helpful. I tried to borrow scissors, but someone else had them, so instead they let me borrow their paper cutter! The rooms were clean and of average size. The bathroom was fine enough, not that small. The hotel is close to museums, and there is a shuttle up to the Magnificent Mile. I really enjoyed my stay there, and if I had to be in the same location again, I would stay at the Essex Inn.	
Nov 8 2006 	Execellent location everything covered.	We found this hotel ideal for our 5 day stay. The rooms were large and the beds comfortable and always well made. The reception staff were very willing to help with questions I had and even let me borrow scissors. There was a free hotel bus that took you to the town centre at regular intervals but it wasn't too far to walk.The pool and sauna were excellent. The pool area was heated so even on a cold october day it was very pleasant.We would stay here again and recommend it to others.Not as fancy as the Hilton next door but we got plenty quality for a good price.	
Oct 12 2006 	Better than expected	I had read some unhapppy comments about this hotel on the TravelAdvisor website and so I was a little wary of making a reservation. However, every other hotel in my price range was booked for the four days of my stay and so I decided I needed any room more than a great room while in Chicago.I was happily surprised by what I got. My room was clean and spacious, the bed was comfortable, the location was great, and the service was friendly. There was one request that I had to make twice, for an extra blanket, but this seemed more of an oversight than anything resembling poor service, and they were quick to rectify it. I did note a little bit of mold on some of the grout in the shower and a slowness for the water to drain as others had commented on. However, both of these issues were pretty inconsequential and minimal in the great scheme of things. My one issue was that the weather was going from warm to cold in October and the heat/air conditioning were centrally controlled. Coming from 90 degree heat in Arizona to 50 degrees in Chicago was a bit of a jolt for me and I was wearing layers even inside my hotel room. The hotel had the air conditioning on for the first night (brr!) and then basically just left all central heat/air conditioning off for the duration of my stay. I was cold for two nights waiting for them to turn on the heat and they did bring an extra blanket after the first night which helped a bit. When I complained after the second night, they brought up a heater which was just perfect. If I had known, I would have asked for that right away.Another issue was that the door to my room didn't close completely without an extra push and so there were two occasions in which I realized my room had not been secure for a while. Once I started to push the door closed instead of just letting it swing on its own, that problem went away. I let the front desk know about it at check-out, and they seemed to agree that this was a security concern that needed to be addressed right away.Overall, the hotel was better than I had expected and I was happy with my stay. I would be happy to stay here again when I return to Chicago and would recommend it for those looking for non-fancy but decent accommodations in a good location.	
Oct 9 2006 	Basically good	We stayed at the Essex because of the location (near the Field Museum for King Tut and the Ford Oriental for &quot;Wicked&quot;) and were pleased with the location and staff. The room on the 11th floor was SMALL and the 2 double beds took up the whole space. TV worked fine. Bathroom was puny and the tub did not drain well.The pool was empty, lovely and clean. We had it to ourselves in the evening. The restaraunt was fine for breakfast. We were hardly in the room, but it was not a great place to hang out- for $250/night!	
Sep 29 2006 	Outdated hotel friendly service and good location	We had booked a standard room and paid around $ 130 per night. The bathroom was very, very simple and outdated and reminded us about something you would find in a military hut. The room itself was ok and the bed was good and lifted up the overall impression. The hotel is outdated concerning interior and could use a renovation, the 2 elevators could not carry guests up and down fast enough and lines were often building up. The rooftop garden was great; the pool fine as well was the gym. The location is very good and the service personal was very friendly and helpful. We would stay there again.	
Sep 18 2006	Great location great price	We stayed at the Essex September 14 - 15, 2006. We had a standard room with two beds on the fifth floor which overlooked the hotel's pool. The room was large enough for my family of three.The price was great ($140 including taxes, booked with our travel agent), the valet price and service were great ($21 per night vs. the Intercontinental's $45), and the location was great (directly across from Grant Park). We took the complimentary shuttle, which stopped at the Art Institute, Navy Pier and John Hancock Building. The taxi from the Navy Pier was $9 plus tip.The hotel's size and quality reminded me of hotels I've stayed at in London and Paris. The rooms were decent size, although the beds were short. The bathroom was a little worn, but the linens and bedding were clean and comfortable. The staff was friendly, including the front desk, valet, and shuttle driver. We have stayed at chain hotels in the suburbs and at the House of Blues Hotel at Marina City. This hotel was a good compromise of the suburb's prices and the HOB's convenient location.One complaint - we had a package delivered to the hotel the morning of our arrival. I confirmed the delivery with USPS Priority Mail, but the front desk wasn't able to find my package after repeated requests.	
Sep 9 2006 	Loved Essex Inn	We had the BEST view in a lovely corner room at the Essex Inn. The king sized bed seemed larger than normal kings. We could see the tall downtown buildings to our left, we overlooked Grant Park and the lake in the front and could see the aquarium and planetarium to our right. We could view Buckingham fountain erupt hourly from our room and see the fireworks at Navy Pier, all without leaving our room. The only minor inconvenience was the small bathroom - but no big deal. The management was MORE than friendly and the free shuttle was convenient. Often we were the only riders who were taken directly to our destination. There are two free computers to use on the first floor, a big bonus. We would definitely stay here again!	
Aug 21 2006	Now I know why the reviews varied so much	My family of four stayed at the Essex Inn from August 13 for four nights. I was curious since the ratings spanned the entire range of ratings. I can understand now what most were thinking.The hotel isn't new by any means and the rooms are small. Everything about them is smaller than what you'd expect at a suburban hotel. So if you travel light or with few people in your room, it will affect you less. It gets a little cramped with energetic kids. The tub doesn't drain well but our room (820) did have a good shower with hot water. They try to make up for it. The beds are short but comfortable.If you look on an angle, you can have a view of the Sears Tower on the north side or of Soldier Field and the museums on the south side (if you are above the pool). I imagine that you can see the lake from some part of every room. There is a subway train that passes within a couple of blocks of the hotel every few minutes but it did not bothered us too much. The outside wall is all glass. I did not play with the bottom window so my kids would not get any ideas. I can understand the concern of parents but I think many are bolted shut.I cannot comment on the room's heating/cooling as we had perfect weather on this trip and did not turn it on.Our room's shower was good. The tub did drain slowly. Housekeeping didn't always replace our used coffee cups and coffee.The pool area and pool is much larger than the usual hotel. The water is warm and ranges from 3-8 feet with a roped off area for lap swimming. There is a lifeguard on duty. The pool water faded the colors from two of our swimsuits. So don't take anything that you like into the water. There is a sauna and the largest fitness area I have ever seen in a hotel (25 pieces of equipment). There are also tables and chairs that are outside on the lake side of the hotel.The location is good. There is a shuttle at 9:30 and 10:30 to the museums but none back. There is a free trolley to take back but we opted to walk it instead. There is another shuttle that takes you the longer distance to the Hancock building. It departs every hour from 9-5 and returns on the half-hour. Again, we missed the last shuttle and walked back one or two miles each day. Grant Park is across the street and Buckingham Fountain is within fairly easy walking distance. The Art Institute is about a 10- or 15-minute walk. There aren't a lot of restaurants nearby but there is a little store with a grill behind the hotel near the Caribou Coffee shop. It seems like a decent part of town so walking isn't an adventure. The room has a welcome notebook that was a complete waste. It made us think that the Savoy was charging $8 for pancakes but when we checked it out, we found that they were only $5-something. It's nothing special but it fit the bill for a family of four. There aren't that many family restaurants that close by. Valet parking is $21 a day for a car and $30 for bigger vehicles. The garage is on the Hilton side of the Essex. Be prepared to surrender your car and keys and have everything that you need out of it. Carts come only with bellmen. Wireless internet is $4/day but you may be able to tap into the Hilton's wireless connection. I did not. Don't commit until you explore the other options.There are two elevators that are sometimes too small to carry all the people that want to get on them. I did not have any problems pushing numbers but it may take a couple of tries.In summary, if you are a single or a couple you might like the room more than if you have kids or lots of people. If you are smaller then you can deal with the cramped quarters. If the weather is bad and you are stuck in your room a lot, you'll like it less unless you spend the day at the pool and fitness center.	
Aug 15 2006 	Good Hotel	We were pleased with this hotel. Just came back from a 2 night stay with my two teenage sons. We went to see King Tut and had a great time. The room had two double beds with new bedding, the room was clean, and the bathroom looked like it was recently renovated. We used the free shuttle to the John Hancock building, which was great and saved us a cab fare. We ate breakfast in the restaurant once and although a bit on the pricey side, the food was ample and good. Location is great next to Grant Park and the Museums. I would definitely stay in this hotel again and would recommend it to others and the price was right.	
Jul 30 2006	Pretty good...	I was surprised to find nothing really out of place at this hotel. This is the first one star hotel I've stayed at ... plus some of the scathing reviews here had me a bit worried. But it was clean; everything worked; superb location; comfortable bed; friendly housekeepers. Yes the elevator was quirky (wouldn't always recognize when a button had been pushed); and the air conditioning could have been drier. But for the price, it might be one of the better deals in Chicago.	
Jul 20 2006 	Great location	Spent 3 days here in July 2006. Great location to get around the city. We had a CTA visitor pass that allowed us to travel unlimited on any trains and busses for a few dollars a day - bought it at the train station at Midway. Very easy to hop on any bus on Michigan Ave. outside the hotel and transfer as needed. Room was clean, cool (since temperature outside was 100 degrees), and beds/pillows were terrific. Pool was lovely, along with an outside patio by the pool. Not a fancy lobby or restaurant, but room was adequate size and great value.	
Jul 16 2006	Great Location/OK Hotel	I chose the Essex Hotel for my first trip to Chicago for its location, and the amenities it described on its website.The location could not have been better, but we were disappointed with our room, and felt a little let down based on what we thought we'd be getting. The room was spacious, but pretty outdated (especially the bathroom, that was in pretty rough shape, although in working order and clean). We had a fantastic view of Michigan Avenue, and were greeted by friendly and courteous staff, even when we checked in at 2am.Overall, it was ok - ok enough that when I return to Chicago in a few weeks, I will be staying there for a second time.Great location and friendly staff help you to overlook some of the &quot;quirks&quot;.Side note though...the &quot;American Gothic&quot; print over the bed was a little creepy. :P	
Jul 12 2006	Would stay here again	I liked staying at the Essex Inn. It had a great location on Michigan Ave. The hotel provided a shuttle to various tourist areas, such as the art museum, the magnificent mile. There's also a bus stop across the street as well as a subway station located a few blocks away. When we were there in Febraury 2006 the hotel's parking lot was under construction, but they provided parking at another location. The staff was very helpful telling us how to get around. The room was clean, kinda outdated in style but comfortable. I would recomend this place to a friend.	
Jul 4 2006	One of the worst hotels I've ever stayed at	This is the worst hotel ever. The first room I was put in smelled like cheap hotel cleaning products AND the windows were bolted shut. The room was dirty and dingy and the light was broken. When I turned on the air conditioner unit it shook so much the bed vibrated!!!! The shower was dirty and the shower head shot the water out in a hard thin stream - I thought it would poke my eye out.The hotel staff put me in another room the next day. It was moderately cleaner but the bath would back-up so there was about 6 inches of water in the tub before you finished your shower. AND - as I was getting ready to leave I heard my door open. THE STAFF GAVE KEYS TO MY ROOM TO ANOTHER GUEST!!!!!I had to stay at the Essex because due to several conferences in Chicago it was quite literarlly the only hotel with rooms available. I'd never stay there again.	
Jun 29 2006 	It was gross!	The two rooms we had were awful! They appeared dirty and dated. There were chocolate crumbs on the very dirty looking bathroom floor, grime on the front of the dresser and cigarette burns in the drapes. The room smelled like &quot;dirty hair.&quot; We would not have felt comfortable staying there at all. This room was comped for us by another company, and we instead opted to go next door to the Hilton and PAY for a room! The rooms we were assigned certainly did not go through any kind of a renovation! We had a lovely stay NEXT DOOR!	
Jun 28 2006	Mummy's the word	With Tut at The Field Museum through Jan. 1, 2007, the Essex is among the hotels offering a package that includes two tickets to the exhibition. For $199 we got the room with king-sized bed, hotel parking ($21 value) and the untimed tickets. These are super since you're not locked into a set time and also give you immediate entry with no waiting in the lengthy lines. The hotel lobby has been decorated in an Ancient Egypt mode, and a courtesy shuttle at 9:30 a.m. or 10:30 a.m. will take you to the museum. Such a deal! As other reviewers have noted, the elevators are very slow, and the bathrooms could certainly be upgraded. Overall, however, we were satisfied with our choice because of the package and the hotel's location and affordability.	
Jun 28 2006	Good Choice	Took advantage of the King Tut package that included one night stay, 2 tickets to King Tut exhibit, overnight valet parking and all taxes for $218. Room was very clean, bathroom needed updating but was clean and the shower water pressure was great (much better than the W Hotel). They offer a shuttle to the museums and Michigan Ave shopping. Our anytime ticket allowed us to bypass all the lines at the Tut exhibit which was great. Overall the staff was courteous and helpful. Not the fanciest place to stay but it was clean and convenient. I'd stay again.	
Jun 28 2006	Don't Stay Here!	The location is good, too bad the service is terrible. There was no hot water, the shower drain was clogged. They have an engineer/maintenance on staff 24 hours, but housekeeping is only there 8-5, what does that tell you?! Try to find another hotel in this location, but don't stay at the Essex. Staff was unhelpful and uncaring about our experience.	
Jun 20 2006	Fantastic Location!	I recently stayed at this hotel and was somewhat impressed. The rooms were cozy and the hotel lobby was beautiful. I encourage anyone who stays here to make good use of their free shuttle services, which can almost eliminate totally the need for taxis. One of the drivers of the free shuttle was so outgoing and gave fantastic advice. The restaurant inside the hotel, The Savoy Grill, was extremely good, cheap, and fast. However, we did have a few problems. Our shower took forever to drain, the staff working the front desk were, on the whole, unhelpful and uninformative about the hotel amenities. The room was lacking a guide to these complimentary offers and to the hotel in general. Charges for local calls were outlandish. Also, the housekeeping seemed to arrive extremely early in the morning - sometimes as early as 7:30, which is fine if you are visiting for business, but not so good if you are there on vacation. The biggest selling point is its location - just minutes from almost all of the important landmarks and activites including the Shedd, the Field Museum, John Hancock Observatory, and the Navy Pier, to name a few.	
May 8 2006	Essex was Good Clean Fun	In May 2004, we stayed at the Essex Inn. We were on a budget and we paid £55 a night for me, my wife and 2 girls aged 5 and 18 months for 7 nights. It was great value. View was not great and some of things did not work but the staff fixed them promptly when notified. It was in a good location and the staff were friendly. The TV was good, it had disney channels which kept the kids occupied when we were in the room. However, the swimming pool was not the cleanest with dead flies floating around. I would recommend this to anyone who is looking for a cheap deal with basic amenities.	
May 4 2006	I Had Better Rooms in Prison	We stayed at the Essex when it was supposedly a three-star hotel, a week after our stay, the rankings went down to a 1 star hotel.... If this is a one star hotel then, motels are two stars. We thought we were getting such good value when we booked it, I would have paid ten times more to stay somewhere else!!! The rooms were dingy, the sheets looked dirty, we were afraid there were going to be cockroaches. The shower didn't drain, and over all, it was a nasty place to stay. Don't be fooled by the lobby!!! If you're thinking of coming to Chicago, stay somewhere in the Gold Coast or on the Magnificent Mile.	
Apr 10 2006	Pool with a view	The Essex Inn is in a good spot for access to the museum campus. It is only a short walk thru some pedestrian tunnels from Michigan Avenue. With its small but stylish lobby and front desk, the Essex is a no frills hotel in a fairly quiet spot. The room was somewhat small but clean. The maid was helpful when requests were offered. The bathroom is quite small especially when helping younger children get ready for the day or shower off after the pool.The pool is the best part of the Essex. It is on the fourth floor over looking Michigan Avenue. It sits in this huge atrium that also houses the finess center.The water was warm and the pool size was decent. It has a depth of eight feet and a dedicated lane for laps. The sauna and showers were working and accessible. Plenty of chairs boardered the pool deck. And don't forget they have a lifeguard on duty that inforces the rules.The Essex has slow and unreliable elevators. When I asked for a guide to the amenities and services of the hotel (there was not one in the room) the front desk could not produce one and seemed puzzled by the request. The Savoy Grill in the lobby of the Essex is servicable but not outstanding. The convience is good but the prices steep. The food is okay. It was a good choice with children due to the menu choices and quick service.The Essex has shuttles to Michigan Ave and the Museum Campus. It is a short walk to the Red Line. I would return to the Essex but only for a rate cheaper than we obtained on Travelocity.	
Apr 4 2006	What a bargain!	I visit Chicago frequently and, being on a budget, I try to find good hotels that are reasonably priced. They are not easy to find. My sister stayed at the Essex last year and recommended it to me. I finally found what I was looking for! This hotel has a great location on Michigan Avenue, clean , comfortable rooms, a fabulous indoor swimming pool and an excellent exercise room. The staff was friendly and very helpful, and there are many good restaurants, bars and clubs in the area. I really liked the free shuttle they have that takes you to Navy Pier and the North Michigan Avenue shopping district. The room rates were very, very reasonable compared to other hotels. The Essex is an incredible bargain. I am recommending it to all my friends, particularly those with families.	
Mar 27 2006 	brilliant	What a wonderful, unexpected surprise. Was in Chicago for a conference and just by luck, was booked into the Essex. It is the only place I'll stay when in Chicago again. The staff was as welcoming as a French auberge, the location is right in the middle of everywhere you need or want to go, the beds are to die for, and if you're in need of a swim, the pool is a dream. Don't miss this one.	
Mar 13 2006	Loved The Essex	I stayed at the Essex with my daughters, a &quot;girls&quot; holiday filled with shopping and museums. What a fabulous bargin and location. The staff was friendly and helpful, and transportation to shoppping areas was hotel provided. Because of the hotels location we were able to walk to the great museums of Chicago. The kids loved the pool while I was so impressed with the comfortable and luxurious bedding. I highly reccomend the hotel for those looking to spend their money on entertainment and the great shopping and not all the unnecessary &quot;extras&quot; provided by higher priced hotels.	
Mar 1 2006	Value Value Value	Stayed at the Essex Inn on a trip to Chicago in mid January and thought it was one of the better value hotels I have experienced in a major metropolitan city. Plain and simple this hotel represents value, location and service. If you want a huge impersonal cookie cutter chain hotel, this is not for you. If you want the best bang for the buck, this hotel is for you. I would stay there again in a heartbeat.	
Feb 22 2006	Never Again!	This was the worst hotel I have ever stayed in. We went for my birthday and couldn't even sleep in one bed. Not only was there hair on the blankets and pillows, there was also mold on the shower curtain, the celing in the bathroom and hallway, and around the floor in the bathroom. My friend had an allergic reaction to something in the room (she went to her doctor when we got home and found it was the mold) and swelled horribly. My other friends, who were in another room, didn't notice anything amiss. However, they are males, and were quite happy watching t.v.The hotel lobby is nice, and the desk receptionist was kind. However, we had numerous issues with the hotel itself, and we will NEVER return.	
Feb 19 2006	Travelers beware of the Essex.	I would not recommend this place to anyone. We only stayed here because of the address, we planned a tour of Columbia College which is only 2 blocks away, and we wanted to be in walking distance, having never been here before. Our next visit we will utilize the bus system and stay somewhere nicer. We stayed in room 1008. The hall was warmer than the room!! I had to ask at the desk for someone to come look at the heater and when the service man was there he stated that the heater sure needed a good cleaning since it wasn't running right. We opened the curtains only to discover the sheers were stuck to all the frost on the inside of the windows. The windows not only leaked terribly, but appeared to have never been washed in years. The sheer curtain was incredibly dirty and stained and disgusting to even look at. I moved the pillows on one bed to stack so I could watch TV and unwind only to discover hair under them. Pulled down the sheet and saw hair there too. How gross is that? The other bed had hair on it too, causing my daughter to really become upset. We could not leave because I don't think we would have gotten our money back and I did not know enough about Chicago to know where else we could go. So we decided to shake out the comforters and sleep on top of them with our clothes on. We laid on one and covered up with the other one from the other bed. On to the bathroom, there was garbage under the sink indicating the floor had not been swept. The faucet leaked unless you really made a point of pushing it off really hard. In fact it was leaking when we walked in and we had to shut that off. The water dripping form it was warm so it had to have been leaking a long time. In the room where the tub and toilet were, I also found dirt on the floor, and what looked like mold in the corners,and another dripping faucet. When I tried to take a shower, I pulled up on the lever that sends the water toward the shower head, only to have the faucett come loose from the wall. I haven't a clue what is keeping it attached so it wouldn't literally fall off. There is no water pressure for the shower. I really gave up when I looked at the shower wall while standing in there and saw hair all over it!! Finally gave up on that idea: a shower. This hotel needs a cleaning staff. They are renovating the pool and what they really should be doing is spending money on educating the staff on proper cleaning procedures. As a wife and mother of a teenager, I can attest to the fact that my teen-aged daughter could have cleaned better than this. And we all know how teens are. Saturday night as we were waling into the hotel we were chased by a panhandler (is that the proper term for bum, homeless person?) NO staff person was in the lobby had we been attacked. I realize this is Chicago and to be expected. I also realize the Essex is no Hilton. But I don't think it was unreasonable to expect a clean room or expect to feel somewhat safe outside the front door. We will not ever stay here again and I do plan to tell all my friends who love the shopping scene in Chicago to not stay at the Essex.	
Jan 22 2006	Value	For $79/night, it was a fine value. We were there just one night. The location is very convenient. I never utilized 'service', but questions were answered with knowledge. There is Buddy Guy's Blues Club across the street. Free internet service in the lobby.	
Jan 2 2006 	Cheap and Cheerful	Stayed at the Essex for a convention that was happening next door at the Hilton - if you want Hilton prices and service then stay at the Hilton, I found the Essex to be OK for the money I paid. Had ample space in the room, the maid service was very good, the room was somewhat noisy especially on the Saturday night with the football fans in on a cheap weekend away package. Food in the Restauraunt was OK if not spectacular, the service was very quick. Internet access was OK but with just 2 terminals on a busy day you might have to wait. The Essex is a first rate location for getting out and about round the Chicago sights. Would I stay there again, quite likely. But - keep an eye on the taxes on the bill at the end, they run to about 13% - not nice!!	
Jan 1 2006	Great Hotel For Families	Great hotel for families. Free high speed internet + printer / Game room for kids / Great indoor pool/exercise room / Free frequent shuttle to museums &amp; shopping / Public transportation-nearby-buses &amp; trains / Great location (next block is the Hilton!)-close to downtown /Reasonable rates / Extras-like 3 pillows on each bed &amp; warm comforter / Friendly, helpful staff	
