	hotel and a lot of history	hilton downtown, it has a lot of history, and a few film have been made here, when it was build it was the largest hotel in the world ,it was called the stevens.	
Oct 4 2007 	Wonderful Hotel!!!!!	My Husband and I returned from our stay in Chicago on Monday October 1, 2007 after staying there for a weekend birthday trip. After reviewing several hotels in the area, I chose this one for my husband’s birthday one because of the price and two because of the location. I must say the hotel was worth the money and the staff are excellent, we had a problem with our first room, just a hint if you don’t like noise then room 654 is not for you, every 10 minutes you can here a loud screeching noise from the air compressor turning on, I called the front desk to request a new room a staffer immediately came to our room with a key to another room on the 11 floor and ready to move our bags no questions asked. This room was better with the view and it also had 2 gorgeous bathrooms which I loved and so did my husband, I was able to take as much time as I needed to get ready in the mornings. The beds were very comfortable and it was nice to know that there were restaurants in the hotel to suit every person’s taste buds. I found nothing in the hotel that I didn’t like, the only thing the hotel needs is a shuttle to and from the airports that would be a plus. We enjoyed staying within walking distance from Millennium park and the Museums and the best food places mainly pizza also catching the free trolley to the Navy Pier and other attractions. If you’re looking for a reasonable breakfast I recommend the Savoy restaurant located next door to the hotel. We would definitely stay again!!!!!!!!	
Oct 1 2007	Great hotel for the price!	Got a room for $90 of from Priceline. We took a train in from Michigan City and the hotel was only a 3 block walk once we got down there. We arrived just before 5:00 on a Friday, and had no line at all checking in. The staff was very friendly and helpful. Our room had a fantastic view of the city, and was plenty big for 3 of us. The beds seemed a little small, but were very comfortable. Other than sleeping, we didn't really spend a whole lot of time at the hotel, but it fit our needs perfectly. I had never booked with priceline before, and the only problem I had was trying to get a room w/2 beds, but after 2 phone calls and 2 emails, I finally got my request approved. The hotel also tried to charge us for a bottle of water from the mini-bar that we never took, but a simple phone call got that fixed.Overall, a beautiful hotel, great beds, great price...would definitely stay there again!	
Oct 1 2007 	Nice hotel but not great.	My wife and I stayed at the Hilton over a weekend while visiting friends. Overall, the hotel is nice but it does have a few bad quirks. First off, the location of the hotel is pretty good. Right across from Grant Park, and only about a 20 minute walk from Michigan Avenue shopping. I was disappointed we had to settle for a room with 2 double beds. However, I knew ahead that just because we requested a king bed didn't necessarily mean we'd get it. We did get a park and water view which was nice. The beds are very comfortable, the TV is nice, and the room was very clean overall. The bathroom was nice and clean, but the handles on the sink were pointed in different directions. It was no big deal, but I thought it looked sort of trashy. Also, I didn't like how much money the hotel charged for everything. A $6 bottle of water in the room, soft drinks for $3, and $41 per day for parking! Typical prices for big hotels I guess. I just drank tap water and we parked in the Grant Park South garage for $25 per day. I guess we can't complain too much since we got our room for $100 per night on Priceline, but I wouldn't pay full price to stay here.	
Sep 30 2007 	Great stay!!!	Friend and I were in town for Lollapalooza. Huge room on executive floor - 2 beds and 2 bathrooms. I have to say it again - 2 BATHROOMS!!! :) the location of the hotel is great!! Its truly one of the grand hotels. I'm happy to see the hotel restored to its grandeur. there were several things going on in the hotel but elevator waits were kept to a minimum thanks to the 10 or so elevators in the lobby. Hilton Honors check in was a breeze. executive lounge was a bit busy at times but a great feature. The breakfast was pretty good (standard cold cereals, bagels, pastries, coffee, tea juice.) The small water bottles made bringing several bottles back to your room quite easy. Employees were cheerful and comical - which is a great way to start the day. Had no issues with A/C - there was a note to use caution when opening windows as the lack of screens allows mosquitoes to enter the room. room service every night - food was FRESH, hot and delicious. Had several options for those that have a healthier lifestyle (ie: fruit cup instead of french fries!) and plenty of snackables for everyone. I would stay here again!	
Sep 27 2007 	Great!	We stayed here over the summer for 5 nights and had a great time! A huge twin room with 2 bathrooms was perfect for me and my friend, and made our stay very comfortable.The hotel is massive so prepare yourself to do some exploring, but the staff were always helpful in pointing you to your destination. Surprisingly for a large hotel, and part of a chain, they really make you feel welcome.Location wise this was perfect for us right opposite Grant Park, and about a 15/20 minute walk from the main shoppin area.As an added benefit there was a pretty good 'Irish Bar' downstairs where you could get a decent burger and a beer.	
Sep 22 2007 	Fantastic stay	Stayed at the Chicago Hilton for three nights and from the minute we walked through the door I was very impressed. Check-in was quick, easy and I was very glad that we were able to check in despite being earlier than the advertised check-in time. We were given a twin room with two bathrooms which was brilliant. It made getting ready to go out much quicker! The hotel location is great opposite the park, which is a must see. Although located on South Michigan Ave it is easily within walking distance of all the shops and sights of the whole of Michigan Ave. Would also recommend the street one block back from Michigan Ave for good shopping. For breakfast I would recommend grabbing a muffin, croissant or bagel from the bar just past reception rather than going for the more expensive breakfast in the restaurant. For evening entertainment Kitty O'Sheas is a must. Typical Irish bar with good drinks and live music.Finally the bed at Hilton Chicago is the most comfortable bed ever. I would have taken it home if I could! Definately made for a good nights sleep.	
Sep 20 2007 	Quite an experience	I stayed there on September 9th, 2007, as I was in Chicago to watch BRASIL play the United States in soccer at Soldier Field. BRASIL 4 - U.S. 2!!! So, the hotel's location was ideal, as Soldier Field is just a few blocks away. I lived in Chicago, where I learned that this hotel was historic, classy, and expensive. Therefore, going back and staying there was a treat. Obviously, I was able to do so thanks to a Hotwire deal ($105).The hotel is clean, safe, and luxurious. Inexplicably, I was given a room with two beds and two bathrooms. But I did not complain. And I was able to collect a double ration of Hilton-quality toiletries, which made a nice gift for my wife.One note of caution: parking at this hotel is expensive. But it is expensive throughout downtown. There are public lots nearby, so you may want to comparison shop. Since I was staying one night I opted to keep my car in-house.	
Sep 20 2007 	Very nice Hotel	We stay at Hilton for 4 nights last march. It was a pleasant stay. We got a large room with 2 double beds and 2 bathrooms, The TV was Ok, a 27' CRT Flat Screen. The coincierge was very friendly when we need. The room was very cleaned when we arrived, we ordered some pizzas from room service and the pizza was Ok also.The main Hall is beautiful.The breakfast is charged, 20 dollars, kinda expensive.The internet access (WiFi) is charged, 13 dollars/day.Pros: Low rate price, huge rooms, close to attractions at Loop, close to metro station.Cons: Expensive breakfast, Internet access charged.Tip: When leaving the building, always use the Michigan Av exit. Its a great view.	
Sep 17 2007	Hilton Chicago was great!	My wife and I had a great stay at this hotel. Don't be scared by overly critical reviews. We booked through Priceline for $102 per night. Definitely worth the deal. For over $200 though, I would probably look to stay at a hotel centered in the Mag mile, unless you are a runner like me and LOVE the location directly across from Grant Park. Also, this location keeps you out of the Times Square-like crowds around the Mag mile hotels. Room was great. Location across from parks and lake was great. Free shuttle to shopping was great. Don't miss Yolk for breakfast (a few blocks to the South). If you go see Wicked (fantastic), be sure to have dinner at Petterino's nearby. The food and service were excellent, well worth the $$$. Park Grill at Millenium Park was also a great dinner- great food in a chic, but relaxed atmosphere- best scallops I've ever had. Trout and Kobe burger were also great.	
Sep 10 2007 	Decent place to stay	This is one of the &quot;famous 3 hotels&quot; in Chicago (others being the Drake and Palmer House). Location is good, although a little far south along Grant Park if you are wanting to do mostly Mag Mile activities. But it is a short walk to many train connections. Hotel is beautiful, lobby and ballrooms are legendary. I got a cheap ($125) room on Priceline on the start day of a major convention. They did give me a nice lake view framed with Shedd/Adler to the right and Burnham Harbor in front of me. Room was fine, bathroom spacious and quiet overall. Only complaint was that a lamp base was broken on the vanity next to my bad, which should have been caught. Room as clean enough, and as an Honors member there is free bottled water (not chilled though) in the room. If you get a good price and plan activities in the Loop/South Loop/Mag Mile, or points west and south, this is a pretty good choice. Food in Kitty O'Shea's (Irish pub off the lobby) was good and service friendly. Pretty pricey, though no surprise there. Chicago was great as always!!	
Sep 10 2007 	Loved This Hotel!	My stay was quick but awesome. After a long day, seeing a substantial line at check-in was a bit of a groaner, but then i saw the self-serve kiosks. i was checked in with keys in hand in under 3 minutes. in the morning i was able to check out on the TV in my room. the hotel is a beautiful historic landmark with all the amenities of a modern hotel and all the charm of its 1927 origins. The bed was FABULOUSLY comfortable. i wish i could live there. they have many rooms wtih 2 bathrooms. i stayed in a room like that once with a friend and we didn't know ahead of time that we had two bathrooms. talk about squeals of delight. that was about 7 years ago in virginia beach. i was by myself at the hilton and had no need for a room with two bathrooms, but it's the first time i've seen this since. what a great feature!	
Sep 5 2007 	Large rooms! 2 Baths!	I got an incredible deal at the Hilton in downtown Chicago. What a great hotel! The room had two beds and two baths! Great location. People were friendly and the concierge was very helpful. My only complaint is that parking is outrageously expensive; but Grant Park public parking lot is only a few blocks down. I highly recommend it, especially if you get a good deal.	
Sep 4 2007 	Truly a Grand Hotel	We got really lucky on Priceline and got the Chicago Hilton. Truly a historic marvel. We were in awe when we walked in since we weren't expecting much. You should get a tour. We were lucky - the manager greeted us in the morning and kindly offered a personal tour. The swimming pool is very nice (free) and so is the gym ($15/day). Our room was just OK. The beds were small - we asked for 2 doubles. It caters to conventions so I think the double beds might be undersized to accommodate those who want to share rooms. Also, The room was quite warm and we couldn't get it to cool. But this place is an experience and right across from Grant Park. Memorable time!	
Aug 24 2007 	Wonderful stay	We have stayed in this hotel for three nights. It is located at Michigan Avenue. Near to the Buckinham Fountain. The Sears Tower, Millennium Park, Magnificent Mile, State Street and the El ar at walking distance of the hotel. When walking is to far, public transportation can be found near to the hotel.The hotel was excellent. A very friendly staf. The room was clean, the beds were okay and the bathroom was perfect. The pool was great. The view from the jacuzzi was unforgetable. We saw the Sears Towers from the jacuzzi.!!We liked the atmosphere and the grandeur of the hotel.We had the perfect stay in Chicago.	
Aug 20 2007 	Fabulous hotel	We stayed here for three nights earlier in the month and were not disappointed.We were allocated a huge room with two very comfortable large beds and a well appointed bathroom containing lovely soft towels. The room had a marvellous view of Lake Michigan, showing the Navy Pier to the left and Soldier Field to the right, which was particularly good for watching the fireworks one evening! The breakfast buffet had everything you would want to eat to start the day and the food in the Kitty O'Sheas was very good value.The only downside were the lifts which you had to wait ages for. At the time we were visiting there was a large contingent of accountants on their annual conference so the hotel was very full which probably didn't help.Taking everything into account, we would certainly stay at this hotel again in the future and would recommend it without reservation.	
Aug 19 2007 	Disappointing for the Cost	We were disappointed with our recent stay for two nights at the Hilton Chicago. We paid more to stay here, wanting higher quality in both room and service. We received neither. The reservation for a king room was changed without reason to a double. Our phone didn't work. The non-smoking room smelled of stale smoke, and the overall property was weathered. The front desk could have been friendlier. Nothing terrible, just not worth the money. In addition, we thought the hotel was too far from the river, as we seemed to be there often. The walk was too much three or four times a day. I'd recommend the Four Points Sheridan if you want to stay in the &quot;real&quot; downtown.	
Aug 17 2007 	Enjoyable stay	I spent 7 days here attending a Conference so my enjoyment was probably added to by spending time with friends. It is certainly a large, impressive building. I did not have a view but my bedroom and bathroom were large and clean. I was surprised to find I could plug in a hairdryer right next to the sink and chose to use a bedroom plug. It was disappointing not to have use of a fridge unless I paid extra. The coffee making machine did not work with tea bags, the tea tasted of coffee!I used The Pavilion to eat a lot and was very impressed with the buffett. Good, varied choice including as much fresh fruit as you wanted. One morning I was tempted to order from the menu - chocolate toast and maple syrup - delicious but expensive as you then pay extra for tea, orange juice etc. Also used Kitty O'Sheas for snacks and drinks.It was lovely to be able to step outside the hotel and across to the park for a break; hotel is excellent location for the parks, sculptures, fountains, Art museum. There are many other attractions in walking distance.The pool is not as nice as it looks in the hotel picture, but adequate. I was disappointed it closed at 9pm instead of 11. On the last but one day in my room no fresh toiletries or towels were provided, or empty tissues refilled, which I thought was a bit mean, I still had 24 hours to stay.Bellboys were very busy when I wanted to leave and I had an electrician knock on my door and take me and my cases in the service elevator as they were clearing my floor for maintenance so felt a bit rushed.The last night a large number of Conference attendees were taken ill. Food poisoning was suspected from the closing banquet, but since then the Chicago Dept of Public Health have informed them it was probably a norovirus.Apart from that unfortunate ending, I had a great time but would personally probably prefer the Hilton Garden Inn over the Chicago for personal use, if I could then eat at the Pavilion!	
Aug 15 2007	Ok hotel - awful lifts!	Generally I enjoyed my stay here, but the major down side was the lifts. Getting to the room was easy enough - getting a lift back down from the 17th floor not so much! Although it looks like there are plenty, not all lifts go to every floor. This meant that we had to wait 10 minutes one day just to get to the lobby!!The hotel itself is huge - plenty to see and do with a nice little shop and a good value breakfast buffet. Staff were friendly and accommodating and the location was good for museums, transport and the tour which stops just outside. Also stopping outside is the airport shuttle - very handy and a flat fare so no worrying about the awful traffic raising your cab fare!There is a fitness centre and nice sized swimming pool (though a long way off 'olympic' sized as is quoted in some of the information I saw) but the day I went it was full of families flaunting the rules with small infants in the spas and diving into the lanes - I didn't bother to go again.	
Aug 7 2007	Beautiful hotel - fantastic stay	Our room was gorgeous! All that we requested was a king bed, and we were given a large room overlooking Lake Michigan! We could see Navy Pier and Soldier Field from our window.The bed was VERY comfortable! Our room also had two TV's, a couch, armchair, desk, bar (with sink and refrigerator), locked minibar (we did not request the key), and fabulous bathroom.The bathroom was stocked with namebrand shampoo and lotion as well as soft towels.The staff was always friendly and cabs were always waiting outside the hotel. It's walking distance to millenium park and a lot of restaraunts. We also visited 2 of the onsite bars and had excellent service at both. Prices are a little high, but relative to the area (Downtown Chicago).If you are looking for a relaxing stay - I'd recommend staying here! The only semi-negative was a long line at the front desk. We waited in it for check-in, but used the automated machine for express check-out with no problems.	
Aug 6 2007 	Beautiful Hotel Great Staff	My husband and I attended a convention at this hotel for three days and extended our visit to Chicago three more days, the hotel was generous to offer the same &quot;convention&quot; rate to our room for the additional days. We loved the hotel, the decor is a reminder of the early days of luxury hotels, and the staff still treats this gem with tender, loving care. From the friendly reception staff to the sweet housekeeper, we felt as though we were leaving friends when we checked out. Don't miss an opportunity to experience this grand dame of a hotel in downtown Chicago!	
Aug 4 2007 	Great Priceline Deal - Large slightly aged room.	The Hilton Chicago has beautiful common areas and ball rooms. But, the guest rooms are a bit older. We upgraded for $25/night to a huge 1-bedroom suite (bedroom plus main sitting room) with a lake view. When you are sold a lake view, you will be able to see the lake but don't be fooled like we were and expect a full 180-degree view.Like I said, the room decor and bathroom were nice but a bit aged. The bed was quite comfortable though, and there were lots of windows. We were at the end of a hall and were not at all disturbed by any noise. Room wise, we really don't have any complaints but don't have anything to rave about either. OK. Two complaints. The bathroom sink did not drain well. But, the bathroom had a large frosted window that let in lots of wonderful, natural light. Also, my wife found lots of spiders (6-8) in our room.The guy that checked us in was very nice but gave us misinformation about finding late night dining. The rest of the staff was quite pleasant except for the very grumpy gentlemen that work the baggage check counter. Watch out for them. Even a nice tip hardly evoked any friendliness.We only had one meal at the hotel. We ate at Buckingham's. The service was friendly but VERY slow, and the food while tasty, ended up making us both ill. We complained about it at check-out, and the hotel manager did credit us back for half of the dining bill which was nice.The hotel is in a decent location right next to Grant Park. But for most everything including getting food, we had to walk quite a way. There are other hotels in slightly more convenient locations such as Palmer House.Chicago Recommendations: We love Chicago in the summer! There are so many great events. If I had to recommend one thing to do there, it would be to rent bikes. The city is flat with excellent walking and bike paths for navigating the parks and lake front. The fireworks are fun too. Watch them from Navy Pier or next to Alder Planetarium or from a charter sail boat. We really enjoyed sailing with Windy City Sailing! Also check out the free dance lessons and dancing in Grant Park. Just arrive early so as not to miss the start of the lesson and grab some chairs.If you want to grab a cheap bite to eat close to the Hilton Chicago, there is a good little bar called South Loop Club at the corner of Balboa and State which is open until late. The best steakhouse is Chicago Chop House. Make a res. and eat there.We took the Blue Line to the Loop and then a cab from there but probably could have walked. It was fun taking the train, and we avoided traffic and saved some money.For a great deal on pricey Chicago hotels, use Priceline.com. We have had great success. Check out BiddingforTravel.com for bidding tips.	
Jul 31 2007	Loved it!!!!	Beautiful! Front desk was great! Rooms were immaculate....all in all, a great stay!	
Jul 25 2007 	Overall a good stay!!	I stayed here with a group of girlfriends during the taste of chicago! We got a deal through priceline as well. I had no problems during checkin and the staff were extremely helpful and pleasant! Our room was small compared to some 4 star hotels but on the plus side it did have 2 bathrooms and was very clean! The location was perfect as it was directly acrross the street to the taste!!On the downside - The internet was $20 a day and parking was expensive. Housekeeping did come to clean the room one day and we asked them to come back. They said they would come back later that afternoon and never did. We had to call housekeeping the next day to have someone come up to clean and get new towels.Overall I would stay here again!	
Jul 22 2007 	Great Hotel in a Great City	We booked our stay through Priceline.com and got a great deal. We were only staying one night and we had our 2 year old with us. At check-in, we were upgraded to a suite with a lake view of Lake Michigan. It was beautiful. The suite had a king bed with a living room and a bar and mini-fridge which we didn't need, but if we were staying longer, it would have been a godsend. This hotel is in close proximity with Grant Park which has the beautiful Buckingham Fountain. We walked around the park and even saw a movie being filmed....but if you are looking for a hotel with a lot of restaurants around it, this isn't the one. We ended up eating at the Irish Pub inside the hotel (Kitty O'Shea's) which has great food. (We have stayed here before and always end up eating here.) There are a lot of attractions within a mile including the Field Museum, Shedd Aquarium, Soldier Field, and Navy Pier. They may not be walking distance but we could see them from our hotel window. Overall, we had another wonderful stay at the Chicago Hilton. (Our 4th stay) The only downside is the expensive parking within the hotel.....41 dollars a night is kind of ridiculous.	
Jul 16 2007 	Not enough truly nonsmoking rooms	The Chicago Hilton is a decent place, but they do not have enough truly nonsmoking rooms. When I got there in the evening shortly after sunset, they had only two &quot;nonsmoking&quot; rooms left. Both had the smell of smoke in them, and the less stinky of the two had no bed (it was on the executive floor and was the living-room of a larger suite). It took the hotel 1 hour to get me a rollaway bed and another 1.5 hours to get me pillows and a blanket. They had claimed that the rollaway was as good as a regular bed at the front desk as well as promised that it would be complimentary. In reality, it was actually more of low sofabed quality and I had to go in person to the front desk at checkout to get the charge for it removed. To their credit, the front desk did give me a complimentary breakfast coupon and were generally very helpful. In addition, the location is convenient for the Park, buses, and not that far from the El station. Echoing one of the other reviewers, there were spiders outside the window even on the 20+ floors, and the outside of the windows was not that clean. They did charge for WiFi access.Basically, this hotel needs to enforce nonsmoking in their rooms. As it stands, there are not even prominently placed &quot;No Smoking&quot; signs and no &quot;There will be a $500 cleaning fee if you smoke in the room&quot; signs. If the hotel fixes their smoking problems, it would be a solid 4* hotel. But as of now, I can only give it 2 stars.	
Jul 15 2007 	Got a great deal on priceline and I was impressed...........	I was worried because of the reviews I read on here but boy was I shocked. I got 3 nights for $88.00 a night on priceline and I got a double room with 2 bathrooms. The rooms were very clean (and trust me I am picky). I thought by looking at the pictures here on tripadvisor that they would be old and dated but the pics don't do the hotel any justice. The staff was nice. The parking was a little high but I parked in garage for $6.25-$10.00 across the street. Most of all I loved not having to share a bathroom with my husband.	
Jul 11 2007 	Keep It Movin'	I was far from impresssed. This is NOT an appropriate hotel for a tourist. Impersonal and way too vast. They also charge an arm and a leg for EVERYTHING. They even went as far to charge me to keep my luggage for three lousy hours! And of course I had to tip the guys on top of that $2.00 fee per luggage piece. Outrageous. They charge for everything which might be okay if you are on an unlimited expense account but not for a traveler. They even charge to use the internet which is totally uncalled for. I never experienced this but I hear it is typical of these large hotel chains. The room was large enough and the bed was comfortabel. That being said, the bathroom was very worn and old looking. Not well maintained with a light out and chipped sink. Not up to Hilton standards, that's for sure. Location is good enough however, I could not wait to get out of there as it was kaos everyday with some convention going on and massive stream of people cutting you off on your way to the elevator or exiting. I would not stay there again, that's for sure. Pass on this one and quite frankly, keep in moving.	
Jul 9 2007	ok but nothing to write home about.	I stayed here when going to a concert at CharterOne Pavilion because it was farily close by. It was a nice room, especially the bed. Lovely bathroom. BUT Parking is much too expensive. And it's lovely that this hotel is pet friendly, it's just not so great when the walls are thin and you can hear your neighbor's yappy dog!The worst of all, is that they charge for late check outs. SO tacky. I'd stay here again if I was in town for a conference.	
Jul 5 2007 	One of the worst hotels in the world	OK. So I needed a hotel for a somewhat reasonable rate and everyone on here was quite kind. So I booked it. Well, we get in on Tuesday eve, late, 3 July and there is one person at reception and simply crazy goings on in the lobby. Low class people. White trash, Others you can figure out for yourself. It was like a circus. If I were 19, this might have been fun. Sorry, been there, done that.We go to our room. A jr. suite. Well, you get off on the floor and it's dimly lit. Bordello's are better lit than this joint. And it stinks. We get to our room and it smells like fee, a&amp;&amp; and cigarettes. Mindyou this is a non-smoking room. The room is dimly lit, spiders are hanging outside the windows, the furniture is old, the carpet reeks of wet feet and I-don't-know-what-else. I can't go on. Simply DO NOT STAY HERE. If they pay you to stay here, say NO THANK YOU.Absolute pit. They should implode it and start over. What was once a flagship hotel is now a hole. Period.	
Jul 4 2007	Convention paradise	We were at a company convention in the Chicago Hilton. A massive hotel with many function rooms and facilities. The rooms were amazingly large (and nice) for a city centre hotel. Conveniently located on Michigan and close to the Millenium Park and other attractions. Too big to call anything other than functional. Food was bland.	
Jul 3 2007 	Nice place to stay	Booked this using hotwire and got a good deal. It was an enjoyable few nights and I would highly recommend it from the facilities available in the hotel to its location. It was a short walk to Millenium park and a short walk to the El system.	
Jun 28 2007 	Elegant but old and it does show	I was in town for a conference at McCormick Place (btw, it's about an $8 cab ride to McCormick + tip). The hotel is BIG and the lobby areas are quite posh, almost as nice as the resort hotels in Las Vegas. Service was very polite in that upper crust snooty sort of way, and the Concierge guys were really helpful in finding restaurants and provided maps of the downtown area.I got a room on the 21st floor. There are 3 banks of elevators (1 set goes up to the 13th floor, another set really for 13-20, and the third set for 20+ [Executive Floors]). A colleague was on the 7th floor in a smoking room (FYI: the floor hallways are &quot;non-smoking&quot;, but I nearly choked on the cigarette smell embedded into the walls. You could even SEE the smoke clouds in the hallways).The bedroom and bathroom were both rather small. However, you could tell the hotel was doing everything it could to make it more &quot;luxurious&quot;. Big, NIIIICE king bed. Oversized TV. Gold plated fixtures in the bathroom. But still, the water pressure was really weak, the air conditioner was stuck in a corner and not the most effective (e.g. no digital temperature setting).If you want to spend a lot of time in your hotel room... find somewhere else. If you're looking for a very comfortable bed and an upscale brand in a GREAT location right on Michigan Ave, then you can choose the Chicago Hilton.	
Jun 24 2007	Excellent hotel and staff	An excellent hotel. Luxurious and the staff are very efficient. Despite having to wait a while to check in, the staff were so quick when I did get the desk that I ended up forming a very positive first impression. The hotel is BIG however it is easy to get around. The room was lovely and spacious and I got an upgrade to one which overlooked the museum area of the city. Stay here - no hesitation. Unless you don't like very big hotels.	
Jun 24 2007	chicago hilton- excellent	went to chicago for a week in may, decided to be good to ourselves and stay in the hilton, we were not disapointed. perhaps it was becuse there were quite a few conventions going on and a lot of people were only staying 1 or 2 nights but we got upgraged to exceutive level. we had 2 double beds with a bathroom each. they bedsand pillows were too die for, so so comfy ant the end of a day when we seemed to have walked for miles. all the staff were very helpful. a lot of guests seemed to ignore the staff especially the chamber maids who they seemed to think they were in their way so perhaps thatwhy some people felt these people were rude or unhelpful. about 2 blocks away on Harrison is a cafe called &quot;Orange&quot; which you have to make the only place you will have breakfast, the cafe and the staff are suberb. expect a 15 min wait on a sat &amp; sun morning.	
Jun 11 2007 	Very Friendly Staff	We stayed for the Blues Festival which was happening within walking distance of the hotel over at Grant Park. Our stay was very nice! The hotel was clean, the staff was very friendly and the pool, hot tub, sauna and tanning bed were all very enjoyable. The lemonade service in the lobby in the afternoon was a nice added touch too!Our room was a regular room with two double beds and had two bathrooms on each side of the room which was VERY NICE to have as an added convenience. The toiletries were all Crabtree &amp; Evelyn, so, it was the good stuff.The hotel itself is beautiful; especially when you realize how old it is and how much history it has within its walls. The Grand Ballroom would be a perfect place for a fancy party or wedding reception with it's gold gilded ornamentation, drapes and crystal chandeliers.The property is also easily accessible to the red line via the Harrison stop. Or, if you don't want to take the subway, you can hop on the complimentary shopping shuttle that will take you down to all the shops along Magnificent Mile.A few improvements would be to allow complimentary use of the exercise equipment to all guests (apparently there is an extra fee to use the gym equipment). I would have also liked for the pool and hot tub to remain open until at least midnight. (It closes at 9pm.) I think a free continental breakfast would have really added an extra-nice touch to our stay as well.	
Jun 5 2007 	Great Hotel well worth the money	This hotel is in a ideal location. It is a really lovely, clean hotel with good bars and resturants. We had a really enjoyable stay here.	
Jun 4 2007 	Great Hotel Great Rates	I have stayed at the Chicago Hilton and Towers,or Hilton Chicago as it is now called, more times then I can count!I will agree with some posters who said that the hotel can be pricey with some things, as an earlier poster said that is why you hit Walgreens for munchies! Neighborhood eateries for meals. Having said that, I must disagree on a somethings.I read complaints on the closeness of the hotel to shopping and all...that you must take the el, subway or a taxi. Have any of you EVER taken the complimentry hotel shuttle!! It drops you off at or close to major shopping and museums..a tip to the driver and you are on your way.As for the rooms themselves, they have always been beyond lovely. I do get somewhat annoyed when I get to look at a rooftop and not the lake but we can't always get our way can we?As for the staff...I have always been suprised how nice the staff have been to me when I have stayed there. A lot of times when you stay at a hotel like this they are snotty beyond belief! I have never experienced that here.I guesstimate that, since 1988, I have stayed at Hilton Chicago at least 15 maybe 20 times. I can't always afford it but when I plan to come to Chicago it is the first hotel I look into.	
May 23 2007 	Look Elsewhere!	Nice hotel overall...but you can find an equally nice or nicer hotel (with more amenities) and spend far less money. When I arrived I was surprised at how nice the rooms where, but SHOCKED at the prices! Drinks from the vending machines cost $3.00! Coffee packets for in-room brewing systems are $3.25 (for a single serving pod)! It also cost me $3.50 for seven minutes of internet. There was a bottle of water next to the television on the dresser that had a $6.00 price tag! I'm surprised they didn't charge for ice in the ice machines. The hotel boasts four great restaurants, but these prices are also radically high. My friend and I ate dinner at Kitty O'Sheas in the hotel and were surprised when we realized that beers cost $6.50 a piece! (This is more expensive than beers at a White Sox game). Chicago is a relatively cheap city. There is no reason to charge those prices. One would expect a first-rate hotel like the Hilton to at least offer free internet access! (I know that the Holiday Inn does!).I also must complain about the unfriendliness of the staff. Several of the employees were arrogant and just plain rude. When I asked for the key to the mini-bar, the attendant asked for my I.D. (which is fine), but then insisted that I wasn't 21 (I'm 26). It turns out she was reading the expiration date on my license instead of the birthdate. Then she claimed that my I.D. looked fake. I guess she's never seen a Texas driver's license before. I was in town for a professional conference and didn't appreciate being treated like a kid trying to sneak into an R rated movie. Speaking of kids, for the first few days of my stay, the hotel was crawling with teenagers! (There was some sort of High School Student Government convention going on in the hotel). They were everywhere! Goofing around with the elevators, sleeping on the couches in the lobbies, running down the halls screaming and giggling at 2am! Each group of teenagers was followed by equally troublesome adult chaparones, that screamed and yelled orders at the kids. It was mayhem. (I realize that it wasn't the hotel's fault, but it was an annoyance). The hotel also hosted a local prom on Saturday night. The nearest subway stop was closed and I was forced to either walk five blocks to the next stop or take a cab. The concierge informed me that this particular subway stop always seems to close down on the weekends.If you must stay at the hotel (if you're attending a conference for instance) then here are some tips: stop at Walgreen's which is only a couple of blocks away and buy drinks and snacks to stock your hotel room. Also, don't eat at the hotel, instead, eat at the eleven city diner, or any of the other restaurants located nearby.	
May 18 2007 	Great for Cave Lovers	Months prior to my 5-night reservation with the Hilton Chicago I requested a room that allowed in a lot of natural light, facing an open view, not a close building. (The reservation was made through a conference travel agency.) I confirmed my request by telephone a few days in advance directly with the hotel and at check-in the clerk noted it in my record. She told me it would be difficult to find, but consulted a chart and appeared to be satisfied with the room she assigned me. I was very surprised to open the door onto a room on the inside of one of the towers, tucked into a very dark corner, facing a wall of rooms. I called the desk immediately and was told that the hotel was sold out and it was hard to tell what rooms were still available that suited my request, but to “sit tight” and someone would call me. No one did. Further calls yielded similar results. At one point I was told I could have a “parlor room,” with a sofa bed, at a reduced rate, but I could not go see the room before committing to moving. That’s real hospitality for you. Worried that a bad sofa bed could be worse than rooming in a cave, I ended up staying in the dreadfully dark room. (I had asked for a bright room with one bed and got a dark room with two beds.) The only redeeming feature of the room was that it had 2 bathrooms. Other than that, it was tight quarters with a tiny closet, two uncomfortably low chairs, at the desk and in a (dark) corner. Light fixtures didn’t do much to brighten things up. Since I was here at a conference, I really wanted a bright environment to wake up early and start the workday in and to have as a cheerful office for mid-day calls and e-mail, but instead I got a cave. Consequently, I spent as little time as possible in the room and next time I am in Chicago, conference or not, I will absolutely stay at another hotel. There are much better locations that the Hilton Chicago and looking at the percentage of “inside tower” rooms, places with a much better chance of having a bright room as well as better customer service. Shame on the Chicago Hilton.	
