	Great atmosphere -- lovely friendly and comfortable	Location -- wonderful for walking, shopping, dining and going outService -- extremely warm, friendly &amp; helpfulAtmosphere -- historic, elegant, uniqueRoom -- modern, comfortable, spotlessly clean	
Aug 30 2008	great location lacking in other areas	I stayed at this hotel as part of a wedding group and it was my first visit to Chicago. The location was great; the area charming, restaurants and shops, even a farmer's market on Saturday morning, within walking distance. I was, however, extremely disappointed with check-in and front desk service. I arrived early, and while completely understanding that my room wasn't available, let them know I would return after a planned wedding activity, about 5:00 p.m. Returning between 5:30 and 6:00 p.m. I was told a room still wasn't available, only one room in the category I'd chosen and it wasn't ready due to &quot;a full house the night before, a full house that night, and late check outs.&quot; Their best offer at that point was a lesser room or waiting. Declining the lesser room, after about 10 minutes, the front desk clerk said the room was ready and gave me the keys. I arrived at the room to find housekeeping still there. Back at the front desk they remained relatively unsympathetic to a tired traveler, finally offering a small monetary discount off the first, of three, nights. The room was nice but with obvious wear (torn upholstery) and an extremely small bathroom. My experience didn't improve on checking out. My bill had the incorrect nightly rate and when I mentioned the discount for the first night, the clerk ask &quot;who I'd spoken with&quot; as if I was making it up. Talk about adding insult to injury!	
Aug 30 2008 	Nice Hotel	I was looking for a reasonably priced hotel in/near downtown for the 4th of July holiday, and I found it with the Ambassador East. As others have noted here, the neighborhood is pleasant, and it's a short walk to where you want to go. It's a couple of blocks to the red line subway, but, surprisingly, I hardly used it because it was such a pleasure to walk everywhere. I didn't think it was too difficult to get to/from the hotel using the orange &amp; red subway lines from Midway airport. Then again, I only had one small suitcase &amp; do not have limited mobility. I typically don't opt for elegance or luxury when I travel, since I don't spend a whole lot of time in the hotel. The first impression at the Ambassador's lobby is elegant, however, with plenty of marble &amp; crystal throughout. Nice, I thought, but I wouldn't be living there, so how about the room? I found it to be quite comfortable, and I couldn't believe I scored such a decent room in downtown Chicago for well under $100/night. The chairs &amp; carpet showed signs of wear, but they weren't objectionable (if I'd paid a lot for the room, I would object). The bed was comfortable and adorned with an abundance of pillows.  The staff was very helpful and courteous. They let me store my suitcase there all day after I'd checked out so I could get in some more sightseeing before my late afternoon flight. Free internet is available in the business center.  Overall, I enjoyed my stay in the Ambassador East and would definitely stay there again.	
Aug 26 2008 	Great hotel	Booked a room online and got a great rate under $200 which is very cheap for a summer hotel room in Chicago in this nice location, 3 blocks I think from the water.Even though our rate was so cheap, the service was wonderful, the front desk were polite&amp; cheerful, the doormen and valet were great and helpful, and they even put a fridge in our room when we requested on, free of charge! The fitness room was clean, large and provided fruit and clean towels, and it had the greatest view of the city as it was on the top floor of the hotel. Location of hotel is safe, and such a beautiful area. Check the rates directly online of the hotel's website, as it was the least expensive. We will stay here again for sure.	
Aug 20 2008 	Awuful Service at the Ambassador	the only reason I'm giving this hotel 2 stars is that the doormen were extremely nice and helpful. Otherwise, the services was terrible. We booked thru Priceline and got a room at $200. We then called to ask for 2 double beds. They only had a king bed and told us that the upgrade would be $20 extra and we could call closer to the date to see if any opened up. Meanwhile they assured us that we would have a roll a way waiting for us in the room.-Day before arrives and called to see again, if any double bed rooms opened up. The lady said they had &quot;changed their policy regarding Price Line Customers&quot; and it would be an extra $100. and they were going to try to sell the room at $300. When we asked about the cot, she again quoted the &quot;change in policy&quot; and could not guarantee. Finally, when we arrived and requested the cot, it took 3 phone calls and most of the day for the cot to arrive. As for the room, it was fine, nothing special, ice machines were only on 2 floors. Elevator was tiny, and the bathrooms were small. They definitely should not advertise on Priceline etc, if they have such obvious dislike for those customers.	
Aug 15 2008 	AMbassador East needs work	A large group from my company stayed at the Ambassador East in the beginning of May. The hotel has good bones but is in serious need of renovations. I'll just list a few problems and please keep in mind I am NOT a picky traveller. Wallpaper in the room was literally falling off the wall at point. The room shapes and sizes were abnormal and generally very small. The bathroom was very old and not very clean. The rooms need redoing, there is no way around it. It looks as though not a cent has been spent on updating the hotel in 30 years. The staff at the hotel was pretty great. The front desk personell were super friendly and helpful. The valet staff could have been nicer but weren't terrible. The hotel is located in a beautiful neighborhood just a block from &quot;rush and DIvision&quot; , a great little strip of bars. Rish Street also has a ton of great restaurants, this is where you want to be if you like going out to eat.	
Aug 4 2008 	The Ambassador East Hotel - Chicago	The Ambassador East Hotel is the place to stay when you are visiting Chicago for fun or business. The style and design from the 1930's are unrivaled. We love this hotel and will continue to visit everytime we come the the Chicago area! GIVE IT A TRY, YOU WILL LOVE IT!!!	
Aug 1 2008	Great hotel in an off the beat location	Everyone was very friendly and helpful. Our room was near the elevator, I figured it would be noisy, but I don't think I heard it much at all. The train was within walking distance. I 'd definitely stay again.	
Jul 31 2008 	I found the hotel a great experience	I found the Ambassador East Hotel a real gem. It is in a great area of town, close to the lake for running, walking, and biking, as well as being situated in one of the best neighborhoods in Chicago, the Gold Coast.The hotel is well maintained with the staff warm and friendly. I was in Chicago for business so I wasn't able to take advantage of all the amenities the hotel has to offer. I did use the fitness facility on the top floor and it was well maintained with good equipment to use. Apples and oranges were also available there.The bed was very comfortable, the bathroom a little small but fine for my use, soaps and shampoo of good quality. New carpet throughout and my room was quiet - I didn't hear other guests or the elevator even though I was right next to it.I didn't need ice but I think I noticed that ice dispensers were only on the 8th and 9th floors. I was on the 12th floor.I will return to the hotel when in Chicago.	
Jul 29 2008 	ambassador east disappoints	We were disappointed overall . The staff was very friendly, professional, &amp; efficient. The common areas were lovely but aging. The Pump Room seems to have lost some of it's charm. It was closed for events much of the weekend leaving no where to eat or drink in the hotel. The hotel doesn't even have any drink machines. Our room was not acceptable. The carpets had large stains as did the furniture. The bathtub had mildew &amp; was so small &amp; the toilet so close to the wall you have to sit at an angle.The dust ruffle looked as if someone had been ill &amp; was left soiled. This particular room was REALLY small &amp; you could barely walk between the end of the bed &amp; the entertainment ctr. without getting bumped. Altogether overpriced for what we got. Check rooms before accepting !	
Jul 25 2008 	Ambassador Class	My wife and I stayed at the Ambassador East from the 17th to the 23rd. I had only been there once before for a Thanksgiving dinner at the Pump Room some years ago. The dinner was amazing but that's another story. The hotel is in a wonderful location in a tony neighborhood, on a tree lined street just west of Lake Shore Drive. The building is classic Chicago architecture and the reception is classic Chicago as well. The staff was friendly, helpful and went out of their way to make our stay memorable. I think it’s the little things that a well run hotel does that make the stay special. And the Ambassador East is certainly well run. The woman who took care of our room always greeted us with a smile and a hello whenever she saw us. A small thing but one that's appreciated. Another actually not so small thing: I mentioned upon check in that we were celebrating our 8th wedding anniversary and the check in clerk made a point of saying &quot;Happy Anniversary.&quot; Then, when we returned to our room from dinner that first night, we found an anniversary card, a bottle of champagne on ice and a plate of chocolate covered strawberries waiting in our room! How about that for attention to detail? As for the room itself, it was comfortable, well appointed well kept and the bed was wonderful...wish we could have taken it with us. The other thing worth mentioning is that the Pump Room is still the Pump Room. We had breakfast there several mornings and the food and service were top notch. I should mention that the hotel bar is also a must visit. The walls there are covered with photos of the rich and famous patrons of the past and make for interesting browsing as you enjoy a cocktail. Bottom line? If you're weary of the high tech, overly hip hotels that seem to be the norm in Chicago today, you might want to slip back in time at the Ambassador East and find out what first class service was meant to be.	
Jul 18 2008	Great experience at the Ambassador	This is an upscale hotel with very friendly, efficient, and helpful staff. The common areas are tastefully decorated and there is a definite feel of luxury. The standard rate would have been too high for us, but we were able to find fabulous mid-week rates. After we booked our original reservation with Travelocity, we found out we needed an additional room. We went to the hotel's own website and found a very reasonable nightly rate that was better even than the Travelocity rate. All in all, we feel that we got very good value for the money we spent. It was a great time for us!	
Jul 15 2008 	Great hotel in Chicago!	We booked this place on Expedia without having been to Chicago, or knowing the city at all. As it turned out, we couldn't have picked a better place! Location is fantastic, with Michigan Avenue only a short (and nice!) walk away, the subway is only a few blocks away, and the lake is just around the corner. The area is lovely and full of places to eat and drink. The hotel itself is very nice -- we stayed for 5 nights and our room was a good size, with a nice bathroom. The hotel felt very clean, and the staff were friendly -- we didn't use any services, or eat in the restaurant/breakfast but judging by the other experiences in the hotel I'm sure these were fine. The only negative thing I can say is that the airconditioning in the bedroom was quite loud (but that might be more due to the fact that I am not used to having one in the bedroom). Also, phone charges were very expensive -- everyone knows that hotel phones are notoriously expensive, but there charges were excessive. Other than that, however, we had a fantastic stay and I would recommend the Ambassador East to anyone.	
Jul 8 2008 	Exquisite and Comfortable	I was pleased in almost every way with the Ambassador East. The staff was extremely friendly and accomodating from the moment I arrived. The classic feel of the hotel does not feel stale in the least. My room was clean as a whistle and extremely comfortable. The maid service was sharp and the tiled bathroom was spotless. My only qualms were the price of valet parking ($40/day- I suggest you park yourself at the lot directly across the street for $26 instead), the small TV (my computer monitor is bigger), and the view (we faced towards the north, which is not very scenic). The hotel has a rich history and you can appreciate it's character from the moment you enter the lobby. I never made it into the Pump Room, but I heard good things. The neighborhood is fantastic- quiet and safe, lined with trees, near the shore. For the price ($150/night on a summer extended weekend), you'll be hard-pressed to find a better value in Chicago.	
Jul 7 2008	Dreary hotel	I had a promotional rate through Travelocity, so knew I wouldn't receive their finest room. I was only in Chicago one night and would barely be in the hotel. Thank goodness. The room was small, but what I noticed immediately were two huge circular stains on the carpeting. The room could have used some paint, and a good cleaning. The public areas were dreary, and the furnishings &quot;tired&quot;. Pump Room breakfast was very good. Would not recommend this hotel at any price.	
Jul 7 2008 	great value	We booked a couple of months ahead of time through a special rate offered directly by the hotel ($99/nt weeknights) and stayed for the Fourth of July holiday weekend. The location is ideal, as you are a couple of blocks from the Clark/Division train stop (and the Rush/Division &quot;scene&quot;--whether or not you wish to partake in that), but the hotel itself is located on a quiet side street, toward the lake, and it feels a WORLD away from Rush/Division. We walked to a brunch date in Lincoln Park, just to the north of the hotel.The staff was extremely helpful, from the doorman to the concierge staff (who helped us make dinner reservations a week in advance). When we left the room for the day on one occasion, we forgot to take the &quot;privacy&quot; sign off, and the room was not made up. When I called to explain and ask for fresh towels, they offered to have someone make up the room immediately. Also, we were surprised by a nice cheese tray and bottle of wine for my husband's birthday. Only downsides were that the rooms felt a little &quot;dated&quot; and there was nowhere to put toiletries (a good shelf or vanity) in the cramped bathroom without being afraid that things would fall in the toilet. Things were very clean, and the bed was comfortable. I think we asked for a room away from the elevators, and we ended up in a room with the door DIRECTLY across from the elevators, but the noise was not a problem at all. An in-room safe would be very nice, as well. All in all, not a lot of &quot;wow&quot; factor compared with some ohter places we have stayed, but a GREAT value for the money in a town where it can be hard to find good lodging deals.	
Jul 4 2008 	What the other reviewers aren't telling you	Funny how no one has mentioned that the rooms don't have curtains. Oh, yeah they have these little sheer curtains but you can still see out and of course anyone can see in. Also, if you want to sleep in past 5:00 am you can't because all they have are these sheer curtains and the sun shines in. The bathroom doors either don't close or you must slam them very hard. We know this is true because we had to change rooms. Why did we have to change rooms? Because the room next door was having a party. Very loud and with paper thin walls you can hear everything they are saying and doing.It is a great location but I think next time we will stay someplace a little more modern where you have curtains and a decent bathroom.	
Jun 30 2008 	Will stay here again	This hotel is definately a 4 star.It is located within walking distace of everything that is a MUST do in Chicago.Most of all, the price per night was unbeatable for the type of hotel it is.It will be the stay of choice for me every time I visit Chicago.The entire staff are the most frienlist people I have ever met.You need to try it out for yourself!!!	
Jun 18 2008 	Impressive building	The hotel is situated in the nicest part of Chicago and the building is great. The Pump Room has this impressive history. Rooms are very nice and according to expectations. However, the personnel of the hotel was below expectations, correct but not what you are used to in these type of hotels.	
Jun 9 2008 	I'll recconmend it to friends and family when they go to Chicago.	The Ambassador East was a delightful surprise at a great price.The service was great, the neighborhood delightful and it was within easy walking distance to the Lake. Tthe Concierge provided us with all the right bus information (#'s, places) to get around Chicago quickly and efficiently. The Pump Room was like stepping back in time, it was easy to imagine movie stars and politicians populating the tables. I will be recommending the Ambassador East to my friends and family when they come to Chicago.Mary Ellyn from Cleavland	
Jun 7 2008 	Ambassador is Perfect	I didn't find it tired at all. It's a classic. The service was fantastic, room was lovely, small bathroom but so what? The service and property is a really good value. Location is great -- two blocks from Michigan Avenue -- Two blocks the other way to the lakefront and Lincoln Park is very close. We loved it. The restaurant, with all its history, was probably better at one time, but there are so many close wonderful restaurants, who cares? Caveat: leave the kids at home. Not kid friendly, which frankly we like. Room service was okay, not a huge choice, but adequate. Wouldn't recommend the pizza. Overall, though, it has that grande dame hotel appeal that I personally love, its history resonates throughout, making the atmosphere quaint and relaxing.	
Jun 4 2008 	Great stay for our Girls Trip!!	Got a great deal on this place through Hotwire.com.Downtown Chicago for $79 a night (in the dead of Winter - boy are we the smart ones, huh?)We called to get the room upgraded and even though they were booked up, the reservations lady (super nice) kept searching for us day after day after day until she found the room we needed!In addition to that, the front desk Manager was extra helpful in accomidating some other needs of ours.The hotel lobby was beautiful. It is a few blocks down from Lake Shore. Once you're on Lake Shore it's just beautiful stroll away from Michigan Ave (which I might add, is perfect for a girls trip!).It's in a beautiful neighborhood and also right down from a few pubs (if you want to have a fun night dancing), a great breakfast joint, some national banks (Yay for the ATMS), and even a CVS and Walgreens (this is also a MUST have for a girls trip).I visit Chicago every year and this was my first experience with the Ambassador East Hotel. I am happy to say that it did meet our expectations and then some.	
May 27 2008 	Perfect location	Stayed there for 3 nights, great location, Mag Mile and Hancock Observatory are just 10 min away, restaurants on N Rush and Division are 5 mins away. Everything is close. The room was clean, unfortunately we got a smoking one, but it didn't smell as much as I feared it would. For the price of $70/ngt thru priceline it couldn't be better.	
May 27 2008 	Pros and Cons	Overall we enjoyed our stay at the Ambassador East. We got a great deal on it, and we were not there much. We were pounding the city sidewalks for most of our visit.Pros:We found a deal for $99/night, but it's not unusual to see prices exceed $300/night for this hotel. The lobby is large and elegant and a comfortable place to sit and hang out. The service was very good. They allowed us to check in early and check out late. The consierge was very nice helpful. The location is in a very nice residential area, so it was safe and fun to walk through there and admire the stonefont townhouses. The hotel's location was ideal for us, because it's between Lincoln Park and the City, and we ventured out in both directions. The Pump Room, which is the restaurant in the hotel, is famous and fabulous. Breakfast there is great and affordable. Ask the front desk for a 20% off coupon. Cons:It's an older hotel, but they are supposed to be renovating it soon.We stayed on the third floor, and the room was small, but we didn't mind so much. We didn't have a great view, but we didn't stay in our room much. We did see a small cockroach in the room.The elevators are really slow, so we used the stairs to and from our room...good thing we were only on the third floor. The TV was smaller and the sound got loud during commercials.	
May 22 2008	American Girl Weekend	Checked in to find that our Travelocity &quot;superior&quot; room with one queen bed faced the interior of the building. I asked if we could upgrade for a price and the attendant gave us a different style room. This upgraded room that included a 11th floor view was complementary. I know that can't always happen but she listened to my appeal on behalf of wife and daughter who don't get to travel that often and really improved the quality of our stay. Thanks again and keep putting the customer first!	
May 13 2008 	Loved the Ambassador East Chicago	I stayed at Ambassador East with a group of friends May8-11, 2008. We just wanted to get away and celebrate Mother's Day on our own.We had three rooms each room was wonderful. The hotel is so European in décor; it is nestled in a quaint neighborhood called the “Gold Coast”. We were able to walk to shopping, dining and nightspots. The location gives you a sense of security. We felt very safe walking day or night.The staff of the hotel was very friendly and extremely knowledgeable of the area and gave us many suggestions of places to go and places to see. So many in fact we will be returning in September.The world famous Pump Room is a must do. Chef Nick Sutton is very talented. Mother’s Day Brunch was a culinary experience, there were so many choices. The lamb and Eggs Benedict were my personal favorites.If you have not dined here you should.	
May 10 2008 	GREAT STAY No Complaints!	Hubby, myself and 2 adult daughters stayed at the Ambassador East for 2 nights (May 5 &amp; 6). Hubby and I had an Executive King Suite and the girls had a double/double room. The Ex. King Suite was just as pictured on the hotel's web site. A large &quot;L&quot; shaped room. Sitting room had sofa and club chair, coffee table, 2 end tables flanked the sofa and a desk and chair. Two windows in this area and AC unit. I especially appreciated that the lamps had 3-way bulbs with ample wattage for reading! Bed area had one window and AC unit. King bed with excellent mattress; good quality sheets and down comforter. Bed was flanked by nightstands with lamps. On the dresser was a coffee maker. Coffee was dripped directly into disposable cups. I liked this so much better than those small pots. I can never convince myself that they are really clean! Absolutely won't use coffee pots if they are in the bathroom! Bathroom coffee...YUCK!  Mini bar had the TV on top. Could be viewed from bedroom or sitting area. Bathroom was small. Pedestal sink with 2 glass shelves above. No vanity. Good water pressure. The double/double room had 2 double beds, separated by a desk. This room was fine for 2 people. If 4 people were to share this space, they better really like each other and be neat.  No problem with noise from the hall or adjacent rooms. The staff were very friendly. We have absolutely no complaints about this hotel. It is farther north than many of the other hotels, but this did not present a problem for us. The 151 bus is only 2 blocks east on Lake Shore with easy access to Michigan Ave.	
May 8 2008	Amazing Value Great Location!	Travelzoo advertised an amazing rate during the time period we'd be in Chicago, so I made a reservation. We were a little apprehensive because of the mixed reviews on tripadvisor, but the rate was unbeatable. Walking into the lobby, we were just intoxicated by the aroma of all the beautiful lillies. 2nd impression was Francesca, who checked us in. This woman could have the world's worst grouch eating out of her hand. She's totally genuine, great sense of humor, remarkably professional. Actually all the staff is that way, but Francesca especially impressed us. On to the room (1450). It was fairly small, but had enough space for a few nights. Re: other complaints on this site about thin walls: it actually wasn't that bad, and I'm a very light sleeper. I didn't hear anyone in adjoining rooms but in the morning, you will hear everyone's doors slamming inadvertently - they seem to be spring-loaded. The workout room on the top floor has cool views and enough equipment to keep you from feeling guilty. Nice touch that they stock it with fresh fruit. There's also free internet in the business center. Husband really loved getting 3 papers every morning, not just the usual USA Today. We both loved the comfortable bed and turn-down service. Another advantage is the location - you're just a 5-min walk from Rush St. restaurants/entertainment, about 10-min walk to the lake, and about 5 minutes to the Red Line. Beautiful neighborhood too! If you don't need in/out priviledges, use the $29 parking across the street. We'll definitely stay here again!	
May 6 2008 	Great Ol' Grandeur in heart of Chicago	Stayed at this hotel, after reviewing many on-line choices, by asking my college friend, who lives in Rockford, her advice on which hotel we should stay at. We picked this one, based on its location near the lovely older neighborhoods near the Lake. Upon arrival, the doorman, bellman, and front desk staff were all welcoming! Explained our package, including free internet, free breakfast in the famous Pump Room (great food!)), and a lovely large room with view of the city! It couldn't have been more perfect!	
May 5 2008	I loved everything about the Ambassador East Hotel	The Ambassador East is a wonderful hotel. Conveniently located in a pleasant setting, the room was beautiful and comfortable, the staff courteous and helpful, and the Pump Room a great place for a meal or a drink	
Apr 27 2008	Great Historic Property	My company booked our group for a Conference and Sales Meeting. The service was friendly, helpful and the property was beautiful. The hotel was clean and filled with history. We thoroughly enjoyed our stay and the rate was reasonable as well.	
Apr 17 2008 	Easter at the Ambassador East	I spent Easter in a great Suite at the Ambassador East; it was the Frank Sinatra Suite. When we arrived we had a bouquet of Tulips in the room. Saturday night while we were at dinner the Easter Bunny delivered a chocolate box full of Chocolate bunnies.When I made reservations I spoke with Sarah and mentioned this was our 30th anniversary. She upgraded us to the suite and sent us the amenities. I was totally blown away this was very unexpected. Our stay was very special and one we will never forget. The hotel is located in a very historic neighborhood, ‘the Gold Coast” it is three blocks from Rush Street and great dining, although you don’t have to leave the hotel for a great dining experience. We were able to walk everywhere; it was closer to Michigan Avenue than I thought. We felt very safe walking around this area of Chicago.We had Easter Brunch at the world famous Pump Room, the food was over the top. There chef is very creative and brunch was a culinary experience.This was my first time to stay at the Ambassador East but it will not be the last. I love history and this hotel is rich in history; service was impeccable. The staff was warm and cordial.	
Mar 27 2008	Very Nice old Hotel/Great resturaunt PUMP ROOM	We stayed here for a wedding, Lobby is beautiful,It is an old hotel but the beds were comfortable, it was very clean,and the service was great. Heat and a/c are a bit noisy, walls are a bit thin., but reasonably priced for Chicago. Not recommended for families with kids. It was close to resturaunts and local bars. The Pump Room in the lobby has the best breakfat buffet I've ever had, well worth the money. Lots of celeb pics there it was neat!! Not exactly downtown, taxis are expensive, you will need one to get to, but do go to Navy Pier, The Sheds Aquarium and the museum. Be sure to drive by Soldier field. Its a site. All and all a great experience.	
Mar 16 2008 	Love the Old Charm	If you love old buildings and GREAT customer service, then stay here. The walls and doors are thin as stated in other reviews. The room was very clean. Room had big windows, which let in great light. The bathrooms are small by today standards, but this hotel was built before America developed a love affair with bathrooms as another room instead of a room with a specific funtion. The bed was great and my back loved it!! Front desk crew were very helpfull and nice. I did learn that the locks on doors are battery operated. This problem was fixed very quickly. Hotel in a safe area, which is important. Close to shipping, good restarurants, and public transportation. If you enjoy the slow pace of life, GREAT customer service, old buildings, then this hotel is perfect for you. When I visit Chicago again, I will stay here.	
Feb 8 2008 	Major value!	The Ambassador East is a 1920s grand dame located in Chicago's very best neighborhood, the Gold Coast, and a five minute walk from superb restaurants, shopping and night life. We paid about $100 on Hotwire. The location, price and staff's welcoming attitude more than made up for the fact the hotel is overdue for a cosmetic redo. Bottom line: if you get it for the right price, you will have scored- big time. At $300 a night, go elsewhere until the renovation is complete.Our room was neither large nor small, an average sized hotel room, with a white tiled 5 X 8 bathroom (tub, pedestal sink and toilet- stop, that's it) typical of prewar buildings. The decor was neutrals and mauves with English flowered drapes. It's been in place for a while and is both time worn and a bit dated. However, the room was clean as a whistle; the bed was both new and well appointed; everything worked and nothing was gross or decrepit. The hotel's smallish lobby is warm and gracious.If I had paid a lot of money, I would have pulled out my defects itemizer and made a long list. If I had come to Chicago to use my hotel as a resort stay, I would have been disappointed. However, I love a bargain (especially when it's in a great neighborhood) and we came to Chicago to be out in the city so the Ambassador East was perfect.For our mid-December weekend the AE was cheaper than ticky/tacky cookie cutter budget chain hotels is less desirable locales. For us, the character, soul, location, functionality and price combined to equal a wonderful stay.	
Jan 23 2008 	Wouldn't Stay There Again	The best thing about this hotel was the very curteous staff: amazingly friendly. The poor tiny room was way past it's prime. We had 2 pieces of broken glass on our floor, hair on our coffee maker, a terrible drippy shower head, dirty smudged wine glasses, a broken TV, and loud furniture moving noises in the morning from the room next door. I'm sorry to report such a bad experience from a 4-star hotel, but I won't stay there ever again.	
Jan 14 2008 	OK for the price	Stayed two nights, Friday and Saturday, for a weekend getaway.1. Got the room for $70/night on Priceline2. Parked across the street for $29/night instead of the $41/night the Ambassador charges3. You could hear every noise in the hallway or room next door. Don't stay on the 7th or 8th floors unless you want to listen to the ice machines.4. Staff was nice and helpful5. The maids cleaned the rooms twice a day6. The hotel is very old and needs to be updated. The room was clean, but is showing its age.7. Its in a good location. Lots of bars and restaurants near by. 15 minute walk to Crate &amp; Barrel, 45 minute walk to the theatre district. It's located in a residential area. I had no safety concerns walking at night. &quot;L&quot; station nearby.8. Room was small.	
Jan 10 2008 	Disappointed with the Ambassador East	I booked this hotel thru Hotwire thinking I was getting a 4 star hotel. I would rate this more like 2.5 stars.The hotel has seen better days. My keys didn't work for the first room assigned to me. I had to go back to the front desk and they reassigned me to a different room.Upon arriving to the room, I was disappointed in the holes in the walls and the condition of the bathroom. It was very worn, the bathtub was chipped and did not look very inviting. The toilet barely functioned also. The bed was ok but I did not sleep very well on it. I have had more comfortable beds at other hotels downtown that I have booked through Hotwire.I ordered breakfast through room service and it was mediocre. For $20 including tip and tax, I would of liked to have had juice and/or coffee included. All I ordered was eggs and toast with potatoes. The location is also off the beaten path. I would have rather had a hotel on or near Michigan ave. as I have had in the past.I would definitely look elsewhere while staying in Chicago.	
Jan 8 2008 	A bit faded but good value	I was a bit hesitant about staying here; I had previously thought of it as one of those &quot;once great hotels&quot;. In fact, it does look like it could use a bit of a rehab; Some of the public areas are a bit faded, and my room carpet had a few small cigarette burns. The room heat is on a thermostat, but it is loud and would start up and shut down in sharp, wheezy bursts. The business center consisted of three PCs, two of which were always on the fritz. There is wifi in the rooms, available for purchase at a very reasonable rate, but it could only be purchased for the entirety of a stay.But overall I was satisfied with my stay. The staff was extremely helpful; the room was quiet and bright; the beds were very comfortable.There is an exercise room on the top floor that is very simple, but is up-to-date and has nice views of the city. Although the business center was too primitive for a serious businessman (see above), it was free, including the use of a printer -- a refreshing change from the exhorbitant printing rates at most hotel business centers.Since I like the northside neighborhoods, and am happy to take the El, the location was nice for me.The immediate neighborhood of the hotel is very nondescript.But a few blocks south it gets nicer, and it is 3 blocks to an El stop going into the loop. In good weather you could walk to the water tower or the lakefront, but in the winter you will need to take a cab or El to get anywhere. I have a hard time finding a good &quot;mid-range&quot; hotel inChicago. This hotel isn't nearly as good as the &quot;full business hotels&quot; (e.g. Marriott) that are just north of the river; but it was much cheaper thant those hotels (when I booked) and much better than any of the hotels I know of below that level.	
Jan 6 2008 	Past her Prime!!!	This hotel was cute but also reminded me a bit of a haunted mansion. It had a cozy grandmother's china cabinet feel to it but was romantic as well. The location was great and was just a few blocks away from Rush St. which was home to many trendy and fantastic restaurants. N. Michigan Ave, home to the Magnificent Mile, was about 6 blocks away with a scenic walk. Upon my arrival, there was hair leftover from the previous guest on both the pillows and all over the restroom! Really distasteful! The wallpaper was also very worn due to the old age of the hotel. I enjoyed my stay here but would not recommend it for more then 2 nights.	
Jan 3 2008 	Ambassador "Least".......	like the website pictures or the stars attiibuted to it. Although this hotel is situated on a quieter street in the Gold Coast area of Chicago, it needs an extreme makeover. Although the lobby and check-in experience were OK, the room itself was not up to the standards or the room rates posted/paid. Our particular room was smaller in size and lacked the updated or clean decor you would expect from this type of hotel. Although I have high standards, I am willing to comprimse on certain things. A comforter / or duvet cover is required - but I don't require it to be a certain thread count or fill level - I just would like one to be on the bed upon arrival to said room. When we opened the door and almost stepped on our King bed, it was clearly apparent that we were lacking bedding - other than two sheets and pillows (other than the two small pillows that looked like the pillows you would typically find in a closet as spares for the other pairs). I immediately called down to the front desk, for which they accomodated us (later in the evening - after we had departed our room for the evening) with a comforter and additional pillows. For their oversight they did accomodate us with a complimentary breakfast - which I will comment on later. The bathroom was dirty at this hotel --- paint was chipping off the walls and the toilet seemed to be archaic looking. I was surprised it actually worked. The walls of the room need a major rennovation, as do the common areas such as the hallways. The whole place looks worn and old (for which I understand that it is - -or historic as the website may indicate as so). The service, overall, was OK at the front desk. It was hit-or-miss when I inquired about various things. The Pump Room, albeit stately, was good food (it was complimentary so this may have altered my opinion somewhat), but the service was uneven and barely there. I am not certain if this was due to our server noting that we had a complimentary house certificate / instead of being a typical full-paying reservation making guest. Overall, I would look to stay somewhere else when in the Chicago area.	
Dec 29 2007 	A grand old lady that's seen her days (but great value for the $)	I booked this hotel via Hotwire, so it certainly wasn't my first choice in places. The purpose of my visit was an overnight stay in Chicago while changing between a flight at O'Hare and an Amtrak train the next day. I have various friends in Chicago that I can hang out and have some fun with during my overnight stays there.I hadn't been to this hotel before, though the neighborhood was certainly well known (the Gold Coast). Upon check-in, I was impressed with the pretty Christmas decorations in the grand old lobby. Though, after peeking into one of the side lounges, I noticed a large old-fashioned room, but with furniture that seemed cheap, small, and out-of-place with the spaciousness of the lounge (also, there was no bar in the lounge, like you might expect).My room was very nicely appointed and with a comfy bed. The bathroom was small. However, there was a HUGE walk-in close the size of some NYC apartments. Being an overnight stay, I didn't make any use of the closet, though.The carpet in the hallway outside my room was faded and old-ish. Overall - a great place for the $ spent (right around $100 including tax via Hotwire) -- and it's definitely walking distance to Rush/Division bars and, importantly, all the shopping along Michigan Avenue...I walked it even in a blustery wintry day with 2 degree (Fahrenheit) wind-chills. Also, it's close to the Red Line subway station on Clark/Division.	
Dec 28 2007 	Very disappointing	Booked a one-night stay to avoid interrupting my future husband's bachelor party. For $300 a night, it was very disappointing. Paper thin walls like everyone reports. Bathroom very small with poor shower operation. Valet parking is $40+ and was slow.	
