	Weekend Affordable and Close to ORD/Chicago	This is an excellent hotel if you are in Chicago for the weekend and you don't mind taking the MTA into the City (30-40 minutes $2). If you are flying in, then they have a very frequent shuttle to pick you up from ORD. And if you are driving-in just for the weekend, the hotel is adjacent to the Blue Line Station to get into the city. Traffic can be maddening.They have an good fitness room in the basement and the pool area is adjacent with families. The only caution is that I would recommend any room ending in ##14, you will be away from the freeway and the room is set up as a 1 bedroom. Many room have the TV on a lazy Susan/dresser separating the sleeping area from the living area. Other thing, all bathrooms are modern walk-in showers--no tubs...	
May 30 2007 	Expected better a little too office-like! LONG review!	Recently stayed in this hotel for 3 nights over Memorial Day. The hotel is 16 stories and is located next to I-90, the El train, and about 1 mile from O'Hare-directly in the flight path depending on wind.When I arrived, I was greeted by the nice staff at the front desk and given a room on the Club Floor, Room 1625. Upon entering, you are in the living area of the room. There was an arm chair, 2 little square tables, a sofa (sofa bed), desk, chair, TV and a mini-armoire that contained a little refrigerator and an in-room safe. The Club Lounge would be closed for the weekend, so I was given coupons for a free &quot;full service&quot; breakfast. This room faced west toward O'Hare. Something bugged me about the living room, but it took a while to figure it out. The bedroom featured a king-sized bed, another TV and a closet containing an iron/board , clothes steamer/refresher and a robe. The bathroom was fairly large, with a stall shower (no tub) that was at least 3.5 feet x 5.5 feet, with a hand-held shower. The problems with the shower are that 1) the door opens out so the water gets all over the floor. 2) there is no handle on the inside of the door 3) no place to sit to shave your legs ladies! and 4) it is kind of dark! Plus, unless you are about a size 6, the robe won't fit! And, as the day went on, I noticed several other things wrong with the room. Honestly, I had higher expectations of the Renaissance, based partly on the other reviews here, and I was let down.The carpet had 3 very large stains on it just inside the door. The door itself was difficult to open and close. In the corner of the shower, there was a lot of mold on the grout between the tiles near the floor. Water pressure was minimal water pressure at best, the toilet seat was very loose and the A/C smelled of mildew all the time. Wound up keeping it off most of the day. There were crumbs on the floor between the tables and the furniture was really beaten up. The table was cracking and the desk had big gouges on it, and on the legs. For a Club Level room,. the place was really not up to Marriott standards. At this point, I finally realized what I disliked about the living area. The way it was set up made me feel like I was sitting in someone's office! Hard to explain, but I was really not comfortable.The bed, part of Marriott's new bedding package, was fairly comfortable, but neither the feather bed on top of the mattress nor the comforter were very fluffy and full. These both need to be washed and fluffed. Honestly, I have had regular blankets that are thicker. Yes, it is getting warm out, but I like to have a cold room and then a nice, fluffy down quilt!I gave the front desk the list of problems with the room. I really hate moving rooms, but the gal insisted that I go eat breakfast and stop back for a new room. Breakfast was another story. The coupon said &quot;full service&quot; meaning I should be able to order off the menu. Well, I was told I had to get the buffet. It wasn't bad. Actually, my omelet was cooked in real, melted butter and it was very good. But, my server did not ask me if I wanted toast or an English muffin (there was no toaster as is standard for Marriotts), nor did he get me Orange juice. I did get a little shot of strawberry smoothie which was good.The buffet had eggs, bacon (cold and soggy), sausage, fruit, cereals, oatmeal and cream of wheat, breakfast potatoes (with peppers and onions of course-yuck) and some muffins and coffee cake. The coffee cakes really looked to be of the Entenmann's or Sara Lee variety like you get in a grocery store. Why? They had those tell-tale aluminum foil cake pan marks on the side. Eh. The chef was very nice, the server was just OK.Returned to the desk and was moved to room 1630 which is one of the corner suites. Looks just like the photos on the Marriott website except there are no drapes, just 2 types of shades-a sheer and a black-out shade. The sheer shade in the bedroom would not go up! This room was very large. The living area was the size of a large hotel room itself! Closet, TV, dining-room table with 6 chairs, a stereo and lots of speakers (I guess you could use it for some sort of surround sound but I am not so inclined), desk, couch and arm chair. It’s funny though, there is no lamp close to the sofa for reading! There is a big, ceiling lamp over the dining table, and a desk lamp but nothing close enough to sit and read at night. Hmm. At the risk of sounding mean, Marriott needs some women designing their hotels. Or at least people with common sense who actually USE their hotels!The bedroom had a king bed, TV, another closet and some drawers. The alarm clock even has directions! The bathroom here had an actual tub, with the hand held shower. And, on the inside of one of the doors, a lovely dirty kids' handprint! Great! This is supposed to be an even better room and the housekeeper doesn't check the inside of the doors! Details people!!! The robe in this room was thick, fluffy and of a size that would fit most normal-sized humans! At least this room didn't have that mildew smell from the A/C. The view was nice. You can see the Chicago skyline in the distance. And, you get to see the highway and the El! The hotel is very noisy. Not so much from other guests, but the trains, cars and planes can get on your nerves. I can live with airplane noise, but if you are a light sleeper, ear plugs are a MUST!The &quot;wired for business&quot; package for internet and local and long distance (domestic) calls is $9.95 per day which isn't bad. Parking is $20 per day. Food prices were a bit high for dinner. Some of the drink prices in the bar were reasonable. They had some featured drinks that were $7.00 and considering the amount and types of liquor in them, this was a reasonable price. (One had Patron tequila for which another Marriott charged $10 a shot! This stuff is super expensive!!)There is a Bennigans across the parking lot and the hotel is a very short walk to the Blue Line trains. (Cumberland station). You can purchase visitor's passes at the Cumberland station. They are in a different machine than the regular train/bus tickets. For $5, you can get unlimited rides on the El, CTA and PACE buses. Also, you can get either a 2, 3 or 7 day pass for $9, $12, and $20 respectively. These passes are a great deal considering it is $4 round trip to Chicago. And, if you ride the bus a couple times in a day, your pass will more than pay for itself. You can also get these passes at O'Hare, Union Station and a couple other places. The hotel does have a free shuttle to the airport. Never had to wait longer than about 10 minutes. Overall, the hotel staff was very nice, and it is a lovely property. However, it needs to be cleaner with respect to both rooms and public areas. For instance, there was &quot;stuff&quot; on the rug outside the elevator on the 16th floor for over 48 hours. This should have been vacuumed up! Breakfast on subsequent days was better; although it took until the final day for the server to ask if I wanted toast! I met the restaurant manager and spoke with him at length about my issues. He actually gave me a coupon for a complimentary appetizer in the bar since the Club Lounge was closed. I had steak quesadillas that were very good. The bar was empty, save for one other couple. Service was friendly but less than attentive. Wound up leaving due to the foul language being used by both the woman and man sitting down the bar. I will skip the lecture about not using filthy language in public. Please, show some class! There was a billing error at checkout. I was charged for too many nights (I had a coupon for a free night) and I was charged for internet service for two days, which was only used once. The person at the desk seemed a bit annoyed that she had to fix it for me. Perhaps it was just too early? I would say that 98% of the staff was wonderful. There are just a couple people who need some extra training in customer service.With a good rate, I may consider returning, but there are other hotels that I think are in better shape than this Renaissance. This is supposed to be a more upscale brand than a regular, full service Marriott. In my opinion, the rooms are a little too “cold” and stark. I guess this is the new trend, but it makes this place seem too much like an “office&quot; and less like a hotel. Yes, it is geared to business travelers, but there is a fine line between office, and a hotel room with space to work. To me this place is an office that happens to have a bed. It wasn’t horrible, just not the best. Again, this is just my opinion. Different strokes for different folks. Most people love it, I didn’t.	
May 8 2007 	Great room Cheerful people!	I just stayed at the Renaissance O'Hare last weekend, and it was a great experience, overall.Everyone I spoke to at the hotel was courteous and friendly. There were some issues (discussed below), but none of them illicited any bad behavior from the hotel staff.I flew in at 6am, and they had a room waiting for me! The suite was spacious, with a huge shower, 2 TVs, and a great view from the 5th floor. I had the corner room that was close to the elevators and right across from the vending machines, but that didn't bother me. In fact, I loved the location! I never heard much noise from the hallway or outside. The bed was comfy and I slept well.The train station into the city is a very short walk away (just across the parking lot), which was perfect! There is also a Starbucks in the lobby for that morning coffee fix.I ordered room service for breakfast on my last morning, and the food was quite good. Also, the shuttle service to the airport was a great perk.Here are my only complaints (which is why I couldn't give it a perfect rating):-When I arrived at the shuttle pickup area, I called the hotel and was told I'd just missed the 6am shuttle, but one would be arriving in 15 mins. Their shuttle is supposed to pick up every 20 mins., starting at 6am. Well, 15 mins. passed and there was no shuttle. I also found out another person who was standing at the same door had also been waiting for the shuttle...since before 6am. I called the hotel again, and was told the shuttle had come by twice already, but we'd never seen it. Finally, at 6:40, the shuttle arrived. So, don't count on this service to be on-time.-I left my hotel room at 10am and was gone until 10pm. Of course, I expected maid service to come by in my absence. When I got back, I found the room exactly as I'd left it! When I complained about this to the front desk on my way out, the receptionist told me that I have to call and request maid service because sometimes they don't clean the rooms! I've been in much cheaper hotels that had maid service every day.	
Apr 15 2007 	What a great hotel!	My mother, son, and I stayed at this hotel for a weekend getaway. What a really wonderful hotel! Our suite was very nice, and I loved the bathroom. There is no tub, however, which was a disappointment for my mother. The shower is huge though, and there's plenty of space in the bathroom. The bed was quite comfortable, and had 7 pillows on it. There was a television in both rooms, which was handy. We booked the breakfast package, which I highly recommend. The buffet breakfast in the restaurant, &quot;Fresh&quot;, was delicious. Along with fruit, breads, meats, and cereal, there was a made to order breakfast station where a chef would make you an omelet, pancake, waffle, eggs, whatever. Along with the breakfast you get a free strawberry banana smoothie in a shot glass, which was a fun idea. The stay for breakfast package was only an additional $15, so for the 3 of us was a great deal. The hotel also has a great pool area, including a hot tub and sauna in each locker room. The pool itself is huge. On Friday nights they have swim up movies, where they show a movie on one wall of the pool area to watch while swimming. My son loved it, and it really kept him occupied!By far my favorite thing about this hotel, though, was the staff. I have never seen a hotel staff so seriously oriented toward customer service. Everyone we came in contact with was so helpful and cheerful! The front desk people were great, and the restaurant workers were amazing with my son. I would absolutely stay at this hotel again, in a heartbeat. It's a great deal, and not too far from downtown Chicago. It's near a subway station, so no need to worry about driving! No airport noise, in fact no noise of any kind in our room. Great experience!	
Apr 9 2007 	Great weekend away at the Renaissance!	My mom, my son (4 year old) and I stayed here back in July of 2006. I had to write this (even if a little late!) because it was a wonderful weekend! Our room was like a mini suite with the bedroom separate from the living area/ T.V. area. This is especially nice when traveling with a small child! We were able to explore downtown Chicago, come back to the hotel and rest and wake up feeling well-rested! We had the opportunity to use room-service twice over the weekend. I have to say that even though it is expensive to do this, the food was really great and worth it! The beds were comfy and the bathroom was huge! For just over $100 per night I would definitely stay here again!	
Mar 18 2007 	Perfection!	My husband surprised me with a trip to Chicago and we stayed at the Renaissance. What a treat! Amazing room, it was like a mini suite with seperate sleeping area off from the sitting area. It had two tv's (which for me was a big deal), the most comfortable bed ever, prompt service, lovely people, gorgeous bathroom. Really one of the best hotels i've stayed at. We had a rental car but it looks like the metro would be an easy way to get to downtown Chicago. The only thing was we had a bit of a hard time finding the place at first. It's in one of those locations where you can see the hotel, but have to figure out how to get to it. We called the hotel 4 times and they sort of walked us through finding them. Once we were there, it was easy to get to...otherwise - fantastic hotel!!!	
Mar 11 2007 	Great hotel	I was stuck in Chicago overnight when my flight got canceled out from Ohare due to the weather. I got a voucher for a discounted hotel and I only paid $65 for a night stay at this hotel. The hotel was very clean and spacious. The bed was one of the most comfortable beds that I have ever slept on. The hotel staff was very friendly and helpful. The only problem I encountered when here was that I had to wait a good amount of time for the shuttle to the airport to come. I probably waited 30 minutes or so. Luckily I had planned enough time so I did not miss my flight. I would definitely stay here again. The hotel was also very close to the blue line station to catch the subway into down town.	
Jan 28 2007 	Very comfortable stay	We booked our stay at the Renaissance Hotel Chicago O'Hare through the website www.parksleepfly.com because we were going to Austin and coming back in the evening. I thought that we got a good rate of $107 plus tax for 4 nights parking (which could have been 14 nights for the same rate)and a lovely room. The room was quiet (which I requested), the beds and pillows very comfortable, the room was extremely nicely appointed with a sitting area aside from the bedroom. The check in staff was friendly and competent. The shuttle was reliable, but our timing might have worked with the 20 minute departures and pickups. They had the nicest toiletries I have seen. I have stayed at some very expensive hotels and I would put these accomodations up there with some of the best. The worst thing was just finding the shuttle pick up point at O'Hare which is supposed to be easy to find by the red foot prints. What red footprints? And it was a good walk from our baggage pick up.	
Jan 19 2007	Some good points and some annoyances	I chose the hotel due to its proximity to the office where I would be working during my time in Chicago. Overall, the hotel is clean and the staff were competent at most times. The rooms are clean, spacious and well designed. I noticed some sloppy construction and finishing work in the room.The hotel's restaurant, in which I only had breakfast, served lukewarm coffee on the first morning. It was quickly replaced with hot coffee but the food was so-so. I also found the restaurant to be rather dimly lit and hard to read the newspaper. I recommend the tables near the windows although they were cold and drafty on a cold January morning.The biggest annoyance was the parking lot and the validated tickets that never seemed to work. Several times I tried to use the ticket, only to have to re-park my car and return to the front desk.All in all, a good stay but nothing spectacular. In comparison to other hotels in the area, it is about average.	
Jan 15 2007 	Excelletn hotel! Great Service! Very Clean!	I really enjoyed my stay at the Renaissance. I am the pickiest person I know of when it comes to hotels and I had no complaint with the room or service. The staff was friendly and helpful. I asked for a corner room and got a 2 room suite with a door on the bedroom. The room was very clean and had a nice large bathroom. I booked this hotel for $89 weekend rate on the Marriott website. I visited the business center to print my boarding pass. The business center charges to use the computers except they do have one computer for free that you can use to access only airline websites to print your boarding pass. I found the shuttle to be slow and waited 30 minutes to be picked up at O'hare. After seeing the shuttles for nearly every other hotel near the airport I callied the hotel for the 2nd time and was told that the shuttle leaves the hotel every 20 minutes and was on its way. If I were to go back I would take the train to the Cumberland stop, go across the bridge so that you are on the right side of the road, and then walk 2 minutes to the hotel. I found the room to be quiet even though I could see planes landing and lots of traffic on the highway down below. My room was on the 8th floor. Overall I thought this was a great hotel and it is obviously fairly new and well maintained. I didn't eat at the restaurants except for corffee in the morning from the Starbucks in the lobbby.	
Jan 2 2007 	Good....not spectacular	My family and I stayed here from Dec. 28-Jan 1. Here is a quick take on the pro's and con's:Pro's:1. Spacious room and well appointed; we had a bedroom with a seperate sitting area.2. Large shower3. Courteous staff4. Starbucks in the lobby area5. Nice bar area to have a drinkCons:1. NOISE from the trains on the El was awful....We were on the 12th floor facing the train station and could hear every train going by during the late night and early morning. Ask for a room where the noise is not as bad. (my guess is lower is better, too...)2. Matresses were OK....nothing to write home about.3. Housekeeping did not replenish shampoo, etc. each day. Minor, but annoying. 4. Three seperate times we were denied exit at the parking garage (automatic ticket scanner) and had to go to the front desk to rectify the situation. After the third try, I had them credit all parking fees ($20/day) and parked in the lot across the street. I suggest doing the same as long as it is a weekend. During the week you must park in the garage or risk being towed...We did not eat in the restaurant.	
Jan 2 2007 	Hot and cold	Stayed a couple nights here while stranded from cancelled flights. Here's the hot and the cold:The Hot:1. Excellent value - paid only $69/night with the airport coupons. 2. Reliable shuttles - There were a bunch of us out there at  5:30AM, but the shuttle was there and we all got on.3. Room service - Fast and tasty, some of the best room service food I've ever had. Great veal ravioli.4. Roomy - These are all suites and it was nice to have the extra room.5. Huge bathroom - Shower was twice the size of a typical  shower. No tub.6. Comfortable bed - Important at any airport hotel.7. QUIET - Planes flew overhead, but you hardly heard them.8. 2 TV's - nice for those remote control disputes.9. Staff - Friendly and helpful.10. Mini-Refrigerator The Cold:1. Actually, it was the heat that was the problem. It was warmer than normal for Chicago in December, but the hallways had  to be 80 degrees plus. Rooms weren't much better and  lowering the thermostat to Cold didn't help. Never was fixed. Had to open the windows to cool room down and let the noise in, too.2. TV channels - Very few to choose from.3. Housekeeping - Came at 5:30PM and never replaced  anything in the bathroom except the towels. Had to call for more shampoo.4. Vending - Pepsi machine problems. Machine on our floor  wouldn't take bills. Tried the next floor and out came a Pepsi even hotter than the air temperature.5. Pitiful gift shop - Not really a gift shop at all and they don't call it one. Just a couple coolers next to the front desk with drinks and sandwiches. Also, a few snacks and toiletries.6. Nothing close by - In an office park area with no restaurants nearby except a Bennigan's, but even that isn't very close.7. Starbucks closes early evening.The good outweighs the bad here and it would have been much better without the heat situaton. It was certainly a good value and I'd stay again if we got a similar deal.	
Jan 1 2007	When do I get my rooms?	Booked a one night stay directly with the hotel for connecting rooms. They said only 2 queen rooms connect so I booked two connecting queen rooms. When I arrived, I was informed my rooms were not connecting, as no 2 queen rooms connect! They got me a king and 2 queen room connecting over the river but... I didn't get the second room until 4:30! Hey, check in is 3:00! Very nice rooms, very nice hotel. But, late check in pretty much ruined my stay. Man, who do I have to call to make sure my reservation is going to be honored if not the hotel directly? When I complained, I got a whopping $25.00 off one room! If your time is only worth $25.00 for one and a half hours then this is your hotel. Sorry, I can't recommend .	
Dec 31 2006 	Fun Time in the Windy City	My family and I stayed here the week before Thanksgiving and it was wonderful. The room was nice and spacious. Very clean as well. The beds were actually very comfortable for hotel beds. Swimming pool and hot tub area was very well kept. We had a massage there the first night and it was great. Nice professional masseuses working. The main restaurant was very nice. The dinner menu was a little small, not much to choose from. I can tell you that the lobster bisque was delicious. The breakfast buffet had a nice selection with gourmet style eggs, bacon and sausage, and a nice fruit spread. Price was a little high for the breakfast buffet at $20 per person. The Starbucks in the main lobby didn't open until 6 a.m. which was kind of a bummer. I was ready for my coffee at 5 a.m. Beautifully decorated for Christmas with several trees and a gorgeous winter scene. I would definetly stay at this hotel again.	
Dec 24 2006 	Good beds + showers + frigs; room/suite design varies; weekend deals possible	December weekend rate was especially good for Marriott rewards member, $89 plus tax. 2nd stay for us; bed just as comfortable and large tiled/glassed-in shower well equipped still had good water pressure. Refrigerator a welcome feature. Possible to walk through hotel and adjacent business complex to the &quot;El&quot; that runs between O'Hare and Chicago's downtown.Friday often quieter than Saturday, there can be weekend wedding receptions with more partying people gathering. As for location, despite nearby expressway and airport, noise is not bothersome.On our first stay, the two-part room (living area and bedroom) was divided by a wall, and there were TVs in both areas. Made sleeping area more cozy and private. This stay, our (different) room had no wall and only one TV that swiveled and could be viewed from either side -- open area did not work as well as the wall and separate TVs.In-hotel Starbucks handy, had good service in bar and restaurant. Restaurant pricey for dinner but offset by better-than-expected meal quality.There is a covered parking garage, great if Chicago weather turns bad, but beware, it too can be an expensive add-on to your bill.	
Nov 18 2006 	Excellent hotel near ORD	I had an evening arrival to ORD followed by an early business meeting 15 miles north and picked Renaissance for the first time (usually stay at ORD Hilton). Very happy with the hotel, excellent stay. Check-in staff was friendly and fast, lobby and common areas were bright and very clean. Room was nicely appointed, clean and spacious, larger than airport Hilton rooms, plus quiet despite being directly on the arrival flight path. Comfortable beds and very nice bathroom with large walk-in shower as well. View can't compete with Hilton's runway views for airplane nuts, but that doesn't really matter.Didn't try their restaurants for dinner or breakfast, but the Starbucks in the lobby is a plus for those O-Dark-Thirty checkouts.No obvious negatives at all from business traveler's perspective. Will stay here again.	
Sep 29 2006 	Loved everything!	Stayed 9/20-9/25 for both business and pleasure. LOVED the location. The room was large and comfortable and it was one of the quietest hotels I have ever stayed in. I really can't say enough about this hotel. We would definitely recommend it.	
Sep 19 2006	Would Stay Again	Stayed at the Renaissance Chicago O'Hare for a work related reason on 9/15/06-9/16/06. The hotel is located close to O'Hare airport and has a complimentary shuttle 3x/hour. My room was clean and quiet. As I arrived late in the evening, we all went next doors to Beningens's for a late dinner, which was excellent. There is a good variety of beers on tap.The Renaissance Chicago O'Hare is right next to the Cumberland station on the Blue Line of the CTA (Chicago Transit Authority) so that it took only about 35 minutes or so to go to downtown Chicago (the Loop). It only takes a few mintues to walk from the hotel to the Cumberland Statin. The fare is only$2 one way. I would definitely recommend the Renaissance Chicago O'Hare for travelers coming to Chicago for business or other purposes.	
Aug 4 2006	Very nice hotel good service clean and spacious rooms	I stayed at this hotel for a work conference held in Chicago. A major plus is that they offer FREE shuttle service to/from the airport, which is very close. The hotel decor was very nice and the rooms were very clean, nice, and spacious. There is an &quot;L&quot; stop for the blue line that will take you downtown or to the airport. Some friends visited me at the hotel, and we ate at the restaurant downstairs. The food and service were pretty good. I ordered room service a couple of times. The only complaint I have about this place was that no one picked up my breakfast order the night before, so I didn't receive breakfast the next morning as I was expecting. I was not compensated for that mishap. They did apologize. I did forget my toothbrush/toothpaste, and the front desk staff kindly gave me a couple. The hotel will call cab service for you. Just be sure that you ask ahead of time approximately what the charge will be and if it will be metered. I had a problem with one of the drivers from the company they called getting upset that the previous woman had charged much less and he had no meter and wanted to charge $10 more. Overall, I had a nice quiet stay.	
Jul 18 2006	No complaints except the breakfast	An excellent hotel to which I would gladly return. I found the bed to be especially comfortable and, contrary to the experience of some other reviewers, my room was very quiet. Maybe it depends on location. I was on an upper floor well away from the highway and facing away from the airport. My room overlooked a huge parking lot for commuters and office workers, but I couldn't hear any noise from that, despite my staying there a Thursday night. My only complaint was the breakast - the food and service were very mediocre.	
Jul 9 2006	Great Pool Weekend!	My wife and I stayed here for two nights July 7/8 with our 3 1/2 year-old for a swim weekend. Overall, we had a really great time with a few minor hiccups. The front desk staff is a bit hit or miss. We had some really friendly, knowledgeable GSA's and a couple who need a little career counseling. Our suite was immaculate as was the rest of the hotel. The hallways, grounds and public spaces were all clean and very well cared-for. The bell staff and housekeepers were all friendly and professional. The pool was clean and the upbeat music was a nice touch. Towel availability for the pool was hit or miss, but there's a phone right there to call with when they run out. The room was large enough, but is not a true two-room suite. The two &quot;rooms&quot; are actually one room with a low dresser as a divider. The single television would have been as issue had we spent more time in the room; and was sort of an issue in trying to watch TV while getting Mr. &quot;I'm too excited&quot; to sleep! There was no refrigerator, but the ice machine was near the elevator lobby. Little things like the bathroom light switch being installed upside down and the bedroom blinds that were broken are simple fixes that housekeepers could/should report. None of those things will keep us from going back. The pool was great, the fitness center was nice (and open 24 hours) and the hot tub was hot. Overall, a really good deal at an above average O'Hare area hotel.	
Jul 3 2006	Wonderful Hotel with First Class Service	My husband and I stayed at this hotel for one evening prior to our departure from O'Hare to Jamaica. We also stayed one night upon our return home. The hotel is lovely. The suites are spacious, clean with modern amenities including a fully glassed-in tile shower. The Chicago skyline was clearly viewed from both of our rooms. The entire hotel is comprised of modern, art deco decor. &quot;Fresh&quot;, the on-site restaurant was also quite good. We appreciated the on-site Starbucks as well.The best feature of this hotel is the covered, secured parking garage. I researched park and fly rates prior to calling the 800# reservation line. I found an on-line rate of $129 with free parking up to 14 days. When I called the reservation #, I was quoted $209! The reservation center promptly honored the internet rate. Be sure to do your homework first and ask for the lowest rate you've found. The night of our return was $109- also very decent for this great hotel. Finally, the morning that we left, we were struggling to handle our luggage and two cups of coffee. A very polite man approached us and assisted us to our car. He was sincerely friendly and interested in feedback on our stay. He later introduced himself as the general manager of the hotel. We were very impressed and appreciative of his kindness and assistance.We highly recommend this hotel, especially the park and fly option.	
Jun 25 2006	Renaissance improving -- excellent food overall acceptable	Hotel stay: Friday June 23rd thru Sunday June 25th.I visited this hotel in April 2004 for the Chicago Hair Show. Overall the experience was somewhat improved (better food and alcohol). I am writing this review in hopes of improved overall experience on our next visit. Positive changes1.Food from the Mediterranean Café restaurant was exceptional; the regular coffee was smooth and tasty, the breakfast buffet (complimentary with ‘club floor’ suite) was excellent; the chefs prepared ‘on-the-fly’ omelets that were fresh and delicious. The bacon was of the highest quality and danish was tasty and not too sweet. A mushroom burger ordered via room service was well prepared, delivered promptly and very tasty. 2.16th floor suite was clean, bed was very comfortable, environmental controls worked well.3.Hotel elevators are plentiful (4) and move quickly between floors; 4.Hotel staff was polite and accommodating; perhaps the concierge was a bit naive regarding travel in the area. 5.Wireless broadband access in the lobby was a welcome perk.Criticsms1.Ice maker on 16th floor never had ice (probably broken)2.Vertical tile directly across from the shower door unattached to wall – the grout was broken.3.Minor communication errors: for example-- 2 double beds requested but one king delivered; room-service hamburger missing bacon, luxury car delivered from front desk instead of a standard ‘low-end’ cab, staff explained that breakfast and other free services were available in the ‘club room’ but the room was never opened.4.In-room safe couldn’t be opened Saturday night; due to busy front-desk and (presumably) staff unavailability the problem wasn’t resolved for an hour.5.After previewing a pay-per-view movie and accidentally hit ‘buy’ I was unable to ‘cancel’ the transaction because there was no cancel button on the remote.6.Prefer vertical wall separating suite living room area from bedroom.7.Grateful that the parking garage credit-card reader not working; no additional charges for parking! Recommend some kind of $20-$30 parking pass for guests and $5 for others.	
Jun 1 2006 	Comfortable place	My husband, a friend and myself stayed at this place about a month ago during a long layover from the airport. Shuttle was efficient and direct to front door. We had made reservations through Priceline so we got a reasonable price (about $65) for a suite. The room(s) are beautiful and our friend Kate even said that the pull-out bed in the couch was just fine. The bathrooms are immaculate and so posh! The usual shampoo and conditioner were replaced by &quot;natural&quot; type amenities that were fantastic. If we hadn't been so tired, and on our way to being sick, it would have been really nice to enjoy all the hotel had to offer. We did not hear traffic at all while we were there, by the way. Very quiet, and two televisons -- one in the bedroom and another in the work-area/living room. Would certainly stay here again if I could get the same price. I took photos, but they're about the same as all the others on here! Beautiful!	
May 24 2006	Loved the Place	Stayed at the Renaissance Chicago O'Hare in May, 2006 and I can't say enough great things about the place. Rooms: Very large, well appointed rooms including a great work area. The TV swivels so you can view the TV from either the bed or work/couch area. Beds are very comfortable with lots of pillows and nice linens. Very, very quiet. I am not sure how they pull it off, but we did not hear a sound from either rooms next door or busy expressway nearby. Bathroom is large with granite countertops and glass walk in shower. Everything was extrmely clean and well maintained. It felt new.Location: About two miles from O'hare. Shuttle runs every 20 minutes from the airport bus terminal. About one block walk to the Cumberland EL station. We took the train downtown each day (takes about 20 minutes) Very inexpensive and fun. I enjoyed zipping along the tracks while traffic in both directions was sitting still on the &quot;expressway&quot;staff: Extremely nice and helpful. Even offered to take us over to our favorite hot dog stand a few miles away (Jean and Judes).Work out facility: They have a fully equipped, large work-out room that rivals any health club. Stairmasters, treadmills, free weights and machines. Fairly large Indoor pool and separate dry sauna for men and women. All well maintained and not crowded.Given that we only paid about $150 (including taxes) I was not expecting such a plush experience. Highly recommended. I only wish we could have spent more time at the hotel.	
May 18 2006	Great Rooms Value Service Needs to Improve	This was my third stay at the O'Hare Renaissance. I stayed four nights this time. This is an all suite hotel and the rooms are just beautiful. The bathrooms have glass shower stall and marble vanity. There is a large working desk and small living area. There is a laptop safe and a TV in the living area and the bedroom. The rooms are very quiet even with the Kennedy Expressway outside and jets flying overhead all day and night. I did not have any trouble with noise. The Concierge Lounge is nice, too. This hotel is only steps away from the Cumberland stop on the Blue Line &quot;El&quot; so if you want to save money you can stay here and take the train into downtown for sightseeing, meals, etc. The staff at this hotel have not learned what excellent service is. I didn't have any problems, but many employees I spoke to just didn't seem very interested, looked at you with blank faces, and used language one would use with friends rather than a customer at a nice hotel. They need training. This would not deter me from staying here, however, as overall it's a great value. I would expect only adequate, but not great service.	
May 16 2006 	opinion of solo woman traveller	I was on a United flight that was cancelled in December of 2005, so United gave me a number to call and I got a room for around $60. Well I have stayed at many hotels around the world and I couldnt have asked for more from an airport hotel. The hotel itself is clean and nicely decorated. The elevators were quite large and adequitly fast.. The staff I dealt with were pleasant and professional. The room was spacious although I was alone it looked like it could have easily accomoodated a couple or small family. The room was very clean which is good as Im a bit of a neat freak and tend to notice these things when it comes to hotels. Nicely scneted bath products and my favourite kind of shower stall with flexible shower head. Great bed, very comfortable and I slept like a queen with my seven pillows.Room service. As it was late when I arrived and I was tired from travelling I, instead of going to the onsite restaurant, ordered rooms service. A club house sandwich that cost around $10 and came with fries and condiments. The food arrived quickly and was pretty darn good for a clubhouse.I only have two trivial complaints but these are the kinds of things I have noticed at many hotels in the US and Canada so this hotel is not an exception. First one bedside lamp did not work but I didnt need it anyway, and secondly the sitting area curtains didnt work properly and not due to any ignorance of how to work them on my part.Overall if you are a woman travelling alone as I was I think you will like it here, as would anyone who needs a place to stay when their flight is cancelled.	
Apr 6 2006	great suites	beautiful, modern, european looking hotel. The suites are large enough for a family, seperate bedroom and living room, large TV in each room. Each room has privacy. Location is close to O'Hare airport and shuttles run every 15 minutes. I got the room on priceline for half of what it was listed on the website. Highly recommend this hotel.	
Mar 7 2006	spacious and super comfortable	We needed a hotel close to the airport, and after reading wonderful reviews on this one, we decided to stay at the Renaissance. The front desk service was friendly and efficient. Our room was SOOOO great! We have a baby, and needed a little extra room, so our suite was perfect! It actually had a seperate bedroom. The bed was SOOO comforable with soft sheets and lots of pillows. You could access the bathroom through the bedroom, and the living room area. The bathroom was HUGE!! The shower was so luxurious. It's so big, we felt like we were royalty! There was plenty of room for my husband and I both to get ready in there. The living room was great. It had a couch and a couple of chairs with a coffee station,fridge, and another TV.There was a HUGE desk in there as well, that would nicely accomodate business travelers.We ordered the room service. I guess it was pretty typical. The food was served fast, but tasted awful, and was extremely pricey. It was late and we were starving, so it did the job.I will stay there again in a heartbeat!	
