	a much needed relaxing stay!	Good hotel service starts at check-in and the front desk agents at the Red Roof are always so friendly! They made sure we had the things we needed for the night and greeted us everytime we walked past the desk. Our room was cozy and very clean. The comlimentary coffee in our room was perfect in the morning. I'll definitely stay there again soon.	
Mar 10 2007 	happy with the Red Roof	Receptionist was extremely nice- while we ordered a queen bedroom, she offered to upgrade us with no extra charge to a king bedroom, and also ask for our preferences whether we want upper or lower floor. Also asked if we would be using a laptop and anyhow gave us a very nice and spacious room (1002), which looked like it was quite recently renovated.As previous posts, I concur that the location couldn't be better. On the street the hotel is located are both a good Indian (&quot;Indian Garden&quot;) and Italian restaurant (&quot;Bice&quot;). Also, as recommended in previous posts- the &quot;West egg cafe&quot; is an excellent breakfast option.There is also a cinema complex near by on Ohio st. (just across a &quot;Virgin&quot; mega store).Our only complaint was that this red roof is a t-mobile hotspot, and it didn't function well. We bought a pre-paid weekly pass, and had a lot of problems both with the initial connection to the service and in later on usages. Still, I'm guessing the problem is more related to t-mobile service than to the red roof.Anyhow found the red roof to be a really good deal and had a pleasant stay there.	
Feb 28 2007 	Great location but better off with Priceline	There is only one reason to stay here - the location 1 block off Michigan Avenue and a few blocks from Lake Michigan is great.That said, there are many reasons not to:- rooms are incredibly small by American standards, and even compared to city centre hotels in a number of European cities- there is no charm- staff is neither rude nor customer service focused- in the summer, you'll tend to get fellow guests in the early 20s looking for a cheap place to stay while they party in Chicago, which may or may not be desirable to you- it's not as &quot;renovated&quot; as they lead you to believe- while not dirty, the room wasn't cleanBut most of all, reviewers focus on the price. Sorry, but that just isn't a sufficient reason to stay here when you can use Priceline. If you've never used Priceline, consider Chicago a great chance to start. In April 2006 I booked a room at the Hyatt Regency on Wacker through Priceline for $75 each night and again booked the same rate during our trip in February 2007 at the Holiday Inn Mart Plaza. In addition to simply being nicer hotels, both rooms were 2 to 4 times larger than our room at the Red Roof. Literally...So, if location is all you care about, Red Roof can be a good find. If your focus is location and price, due yourself a favor and try Priceline first. You won't regret it, even if you pay a little more. If your focus is anything else, don't think about staying here.	
Jan 23 2007	Not Worth the Savings	My husband and I got a &quot;VIP&quot;pass at any Red Roof Inn because we had such a DREADFUL stay in the St. Louis location LAST year. We decided to try the &quot;Redesigned Rededicated &quot; Chicago site last weekend. The ONLY thing this hotel has going for it, is the location, right off Michigan Avenue. If not for that, you would think you've landed in some tenement in a seedy side of town.We were greeted by the desk clerk in a friendly fashion, and given our room keys to our 9th floor room. We took the elevator to the 9th floor, and found our room in the corner. The room was no larger than a small college dorm room, and was about 50 degrees! It was shabbily decorated with drab, dirty-looking bedspreads, and non-descript walls. We turned on the heat immediately, and to our surprise the heater started buzzing very loudly. We both agreed we would NOT be able to sleep through the noise, so I asked for another room at the front desk. The clerk seemed surprised that anything was wrong in the first room, but gave us keys to another room on the 2nd floor. (I wondered why he didn't give me this room the FIRST time instead of shippng us up to the 9th)We took our overnight bags to the &quot;new, improved&quot; room, to the 2nd floor to open the elevator door to the overwhelming smell of cigarette smoke. Since I had requested a non-smoking room, this did not bode well. However, once we got into our room (again in the corner) and shut the door, the smoke odor was not obtrusive. We decided this room would be &quot;fine&quot; for just an overnight stay. It was slightly larger, but still very small and drab. The window curtains had to be either SHUT completely or opened to all of the other high rises around, as there was no under-liner to let in just the light, but give you privacy. The room being claustrophobicly small, we chose to leave the curtains open until bedtime.Bathroom facilities were minimal......tiny sink, with no place to put toiletries......old tub and toilet that needed to be replumbed, since the toilet &quot;ran on&quot; all night long, even after several attempts to &quot;jiggle the handle&quot;. There was a very narrow shelf over the toilet, but it leaned down toward the toilet, so nothing could be placed here unless you wanted it IN the toilet.If all you require is a place to lay your head that is right off the magnificent mile, and are not going to be spending any time in your room, I suppose this hotel would fit the bill. It IS much cheaper than most. I will say the sheets seemed clean, as did the towels, but the bedspread was questionable at best.We've decided we're going to steer clear of the RED ROOF from here on. It's left a bad taste in our mouths twice in two years. Like the old saying goes, &quot;Fool me once, shame on you.......fool me twice, shame on me!&quot;	
Jan 16 2007	great location basic stay	I travelled to this hotel with my Girl Scout troop. We were looking for the best location for as little money as we could get away with. The Red Roof Inn was perfect. The rooms are small, but we weren't in the room for more than sleeping and showers. The front desk staff was very helpful and understood that we were travelling on a tight budget. The hotel was fairly quiet for being so close to Michigan Avenue, we only heard a few ambulances. I would highly recommend this hotel to budget-minded families who want a downtown experience.	
Jan 15 2007 	Cheap and cheerfull	I booked the Red Roof Inn but didn't expect all that much based on the reviews from here and other sites.However what we got was quite surprising! It wasn't the most fabulous of hotels but it was more than worth what we paid and unless you plan on staying in the hotel all day, you don't need much more than what you get from the place! The reception staff were really really nice. They gave us extra pillows, towels and hangers. Not just one or two like most hotels - they gave us loads. The people behind reception were helpful and friendly. We asked for a few things during our stay and they were super helpful.The room was huge! It was basic but that's what I expected. It had a king size bed when I'm pretty sure I booked a double - bonus! The only bad thing was the fact that the window didn't open but it's to be expected. It was cleaned daily and was always spotless. The location is brilliant. Short walk from Navy Pier, John Hancock Centre, Michigan Avenue and most importantly the Herseys shop!!!!I was so surprised by the Red Roof Inn. I was expecting to be a bit disappointed but it was pretty cool! Would defo stay again.	
Jan 6 2007 	"Abandoned" Property?	Everything was satisfactory at this unremarkable hotel, until after we checked out of our room and got to the airport. It was then my husband remembered that he when he took his shoes off the night before, he put them under the bed and forgot to pack them. I called the hotel from the airport (it was only two hours after we checked out) and reported the forgotten shoes. The front desk clerk said there was nothing he could do about it right then and to call back later. I called back a few hours later and he said no shoes had been turned in by the housekeeping staff, but to call back the next morning. I did...and still no shoes were turned in. I found this rather odd b/c my husband knows he left the shoes there and I told them exactly where to find them. I called the Red Roof corporate office and told them about this, and three days later I got a letter saying that any property left in the rooms is considered 'abandoned property.' Abandoned property? Even after I called and reported it within two hours? Somehow I envision a maid's boyfriend or husband walking around with my husband's almost new $150 pair of Timberland shoes. Never will I stay here again or ANY Red Roof in the future. (Before this incident, our overall stay was okay, but the front desk staff could sure use an attitude adjustment. The front desk girl was on a very personal call when we checked in and had us wait while she finished making her after-work plans.)	
Dec 12 2006 	Never Again...	As mentioned, the location of this hotel is great and that's about where it ends. The staff was indifferent and non attentive. When we first checked in, the first room we were given wasn't cleaned yet. So we called down to the front and she was non apologetic and just said, come down and i'll give you another room. So back down we went to get a room 3 floors lower.The bathroom left much to be desired with nothing but a tiny sink and toilet- no vanity space, nothing. The room overall was drab and seemed dirty. The windows were so filthy you couldn't see out them. The heater went full blast all the time - there's no other option. 2 tiny pillows, a nasty brown blanket, crunchy sheets and a bedspread that hasn't been washed in a while make up the bed.We stayed here to save a few bucks (we've stayed previously at the Fairfield right down the block) and we'll never do that again. After a busy day in the city, this room wasn't a relaxing refuge to come back to.	
Nov 28 2006 	Great little place	Great hotel. Rooms were a little narrow, but for the price paid, I expected a lot less. Room was very clean, quiet considering it was in a busy area. Good location, excellent for tourists looking to get a good night's sleep or a short stumble home after a big night out. Checked in very early, 9am, and had no hassles considering their recommendations are 2pm. Friendly and helpful service.	
Nov 28 2006 	Fantastic Location for basic rates	Just spent three nights at the red roof inn and have no complaints. The hotel is basic as you would expect for the rates but rooms where clean and big enough. Plenty of good places to grab breakfast all within a block if the complimentary coffee in the lobby isn't enough for you.Big selling point for red roof though is location, literally on the Mag Mile which is fantastic and surprisingly clean and hassle free! As w a whole would recommend Chicago and hotel. Worth jumpimg in a taxi (about $15) to wrigleyville for a night out plenty of cool bars.One complaint about hotel, must be on a hospital run as can occasionally hear the wailing of ambulance sirens at night. All in all though good value	
Nov 18 2006 	Great Location	OK, so this place is not the Ritz! But what it does have is a fantastic location and rates that cannot be had within a seven block radius on the Magnificent Mile. From here the city of Chicago is laid at your feet for the exploring.The rooms are a bit dated, but I had no troube with cleanliness and my room was spotless. Rooms smaller than normally found in the US, but massive by European standards. Front of house staff were generally helpful and Lashanna in particular was outstanding! Nothing was ever too much trouble for her and she was professional and pleasant throughout.Main down points are the lack of complimentary wireless Internet and breakfast although you can purchase wifi access cards and there is good reception in the room,there is free coffee and tea served all day in the Lounge. Overall, a great choice if you want to see Chicago on a budget.	
Nov 13 2006 	Terrible Hotel - Too Cramped and Uncomfortable	I stayed at the Red Roof Inn Chicago for the Chicago Marathon weekend. It was a dreaful experience to put it nicely. Here is my list of reasons NOT to stay at this property.1. Front desk staff unattentive and unknowledgable2. Cramped rooms - I've stayed at the W in the financial district and the room was the same size, but did NOT feel cramped.3. Heating system did not work properly - either too hot or too cold4. You could feel the coils through the bed - not good for post-marathon sleep.5. Shower did not have hot water - only took lukewarm showers.6. I booked a room in January and they gave me an &quot;accessible&quot; room - no bathtub!7. No free internet access!On top of all that they were refacing the front part of the building and I had a layer of dirt on my clothes and the bed. I could not believe how horrible that was! I was blowing my nose all weekend - I asked to change rooms and they were unapologetic and did not work with me.DON'T stay at this hotel... there are far better properties in Chicago!!	
Oct 30 2006 	Below Average	Why is this hotel such a great deal for being just steps from Michigan Avenue? Because the rooms need serious attention!Housecleaning vacuumed, but didn't bother to go into the corners or next to the bed (we found skittles, M&amp;M's, Advil, and dust bunnies on the floor). They must have used a dirty rag to clean the bathroom. Hair on the walls in the soap tray and top of toilet. The toilet seat was falling off, and when we arrived, there was no soap or extra toilet paper (OOPS!). The bathroom smelled like urine which made us wonder if they even bothered to use disinfectant cleaner. We realized that it was Halloween, but did not appreciate the REAL spider webs all over the windows.Last, but not least, there is a hospital nearby and Ontario is the one way street that the ambulances use to race to the scene with loud sirens and honking horns. Remember, accidents happen at ALL times of the day and night, even at three in the morning. Bring your earplugs!We stayed at this hotel because it was one of the cheapest near MIchigan Ave., and we were just looking for a place to sleep. Now we know why it was so cheap and NOW YOU KNOW WHY ALSO.If you are bringing children, do not even think about staying at this dirty, unsanitary, siren screaming hotel.Buyer beware! You get what you pay for.	
Oct 6 2006 	Budget-minded Bliss	Nine friends and I decided to stay here while we were in town to run the Chicago Half Marathon. We all wanted to be near shopping and good dining, too , so I suggested the Red Roof Inn Downtown based on other reviews I had read on Trip Advisor. Great Location and great value! Rooms were clean and the staff was okay (some more accomodating than others). After reading about the small rooms, we booked double deluxe rooms (four women / room) . The size was just fine for our needs. However, we could not get rooms next to each other as there is only one doulbe deluxe room per floor. We were able to get a late checkout (so that we could shower up after the race before the long ride home). The staff seemed hesitant to grant this request, but when we explained the reason why, they relented. I would not hesitate to stay here again or to recommend this place to buget-minded travellers.	
Aug 29 2006 	Great location for the money we paid	My husband and I just got back from a weeklong trip to Chicago.I was adamant to stay in the downtown or Mag Mile areas despite the high room rates because I wanted us to be in the middle of everything. But we were on a budget.The pros: Rates about half of those for hotels just across the street. Clean rooms and quiet, considering the location of downtown. We had the choice of several king size rooms on different floors - getting a 5th floor room was ideal as it kept noise to a minimum.Location - just a short walk to Water Tower and Hancock. Michigan one block over.A great breakfast place just down the street - the West Egg Cafe.Free coffee, hot water for tea and hot chocolate available at all timesA 24 hour Dunkin Donuts/Baskin Robbins is across the streetPatient staff who answers questions of first time visitors instead of brushing them offWe will definitely recommend them for anyone on a budget who wants to stay in downtown/Mag Mile Chicago.	
Aug 19 2006	Value and convenience	On the advice of other TripAdvisor members, I requested a king size bed. The room was small, but there was enough room for one person. With two people, it would be quite cozy. Three people - e.g., parents and a child - well, it's probably best to pick a location and stick with it. The elevators are a bit on the slow side. The hallways are narrow and tired looking, but the rooms are fine. The mattress was in good shape, not too soft, not too hard. There are reading lights over the bed and a desk and lamp. The bathrooms are small and the door will not stay open. And if you had the door open you couldn't use the toilet, anyway. There was plenty of hot water. There is no extra counter space. My sink and toilet top slanted forward, so anything not carefully place would slide into the sink or toilet. The tub is not low sided nor does it have grab bars, so if you have a disability plan ahead to get a room that is accessible. The tub does have some texture on the bottom so it is not slippery.Wi fi is available for a fee. If you are only there for a day or two you might want to get day passes ($9.99). One month's access is $39.99. I lucked out and got an end room, which had two windows, so connection strength was excellent. The desk clerk said it was not very good in some rooms, in which case the guest has to come down to the lobby.The lobby is nice with places to sit, a TV, and tourist info. There are two machines that offer a variety of coffees, hot water, and hot chocolate all day. There are no steps to deal with, an automatic door, and valet parking available.But the shortcomings of this place are overlooked by the great value and great location. It's cheaper or as cheap as any other place downtown. With an AAA discount, my rates ranged from $80-$98/night (depending on whether it was a weekday or weeknight). It's within easy walking distance of many restaurants, some of which are recommended in travel guides. There are small food stores, drugstores and a laundromat within a few block radius. There is a subway station about 4-5 blocks away, but Michigan Avenue is but a block away and you can catch many buses there. While the room is average, the problems can be overlooked. I rate this property above average because of price and location.	
Aug 16 2006 	Great value for money for Chicago	I was a bit worried about this place from some of the reviews....but I needn't have been. The staff was courtious, the hotel was clean (albiet small), and the location could not be better. If you like luxury hotels and spend most of your time on vacation in your hotel room...splurge and stay somplace else. But if you intend to spend your time experiencing Chicago and just sleeping in your room at night....this is the place for you (and you'll save yourself a good $100 per night!) I paid $140/night.	
Aug 4 2006 	Excellent value	We stayed at the Red Roof over the July 4th holiday, we have stayed in Chicago before and have paid more than $220 for a nice hotel, this cost us $110 a night inclusive of tax. The rooms are very clean and whilst reviews on this site state the rooms are tiny I would say they are smaller than a standard motel room but not tiny(we were travelling route 66 and this was our first stop on a 3 week stay so we had plenty of luggage). The location as most reviews have stated is superb and cannot really be beaten. The free coffee in the foyer is a nice touch in a morning although it is available 24 hours. Overall we were impressed with the Red Roof and would have no hesitation whatsoever in staying again,	
Jul 24 2006 	Great Location	Stayed for 3 nights. Originally rqstd one bed-got two (booked on-line 3rd party). Room quite small w/two beds. Have to shift body sideways to let other person by, though rooms/bath (tiny) are very clean. Went to front desk that evening and spoke w/Allyn who was incapable of a securing a next day room change and was told to speak to anyone the next morning. Valerie the next morning, was quick and courteous to help locate a one bedded room. Rm804 queen. Though it was a smoking room, what a difference! Much roomier room and bathroom; figured out it was a handicap room, complete w/writing desk and chair. Definitely made the stay more enjoyable. Thanks again to Valerie who was kind and helpful! Erica was great at c\i &amp; c\o, and w/local brkfst. recommendations. Go to West Egg Cafe for breakfast 'til 3pm, if your a late sleeper, two blocks away. All $hopping w/in walking distance. KING TUT exhibit 'til Jan.30 is disappointing-no sarcophagus. Get tickets in advance, sells out quickly for the day.	
Jul 18 2006	Loved the Red Roof Inn	We stayed at the Red Roof Inn in downtown Chicago in June, 2006, after reading the reviews at this website. The rooms were tiny, as are most in the high rise hotels in Chicago, but very clean and well equipped. I brought my own coffee maker to use in the room because they don't have them, but they have gourmet coffees available in the lobby 24 hours a day. There is also a Starbucks right across the street. The hotel is very centrally located, walking distance to just about everything. It is a little noisy with all the traffic if you want to sleep in, but great for being in the midst of everything. The hotel staff was extremely friendly and helpful, and everyone always had a smile on their face. The parking was extremely expensive, and the amount changed from when I called to inquire about it. The website said to call for current rates, I called two nights before my arrival date. They said $28.00, and then it was $33.00 a day by the time I checked out. They apparently switched valet companies on me during my stay. But other than that, it was a great place to stay, much cheaper than the surrounding hotels, and I would stay again in a second!	
Jul 11 2006	Great Location good value	We booked the hotel based on the comments below and agreed it's a good value for money. It's located in the hotels district which is close to many restaurants, cinema and just next to the shopping street. The following sights are all within walking distance: Museum of Contemporary Art, HIstoric Water Tower and Pumping Station, LUMA (which is showing a very interesting exhibition &quot;The Gods as We Shape Them&quot; through Sep 10) and the Hershey's Chicago store.	
Jul 6 2006	Wonderful location nice rooms great service	We visited Chicago for the first time June 30, 2006 - July 3, 2006. We booked the Red Roof Inn - Chicago based on price and the reviews on this website and other travel books. It was wonderful. I am used to staying in very nice, expensive hotels but I didn't want to pay Four Seasons or Intercontinental prices for this trip. We booked our room for $107 a night which is a steal. That was with a AAA motor club discount. The location is amazing. It is half a block from the Magnificent Mile, it is in a safe, well lit area. There are many restaurants near by (next door, across the street) which stay open VERY late. As we have never been to Chicago before but to NYC, Boston and LA many times, we were not used to city stores/restaurants shutting down early. That wasn't a problem in the area we were. Check in was very quick and easy. We had such a great rate that the front desk man actually asked when we booked because he had not seen a rate that low in ages. He also said they were not participating in the AAA discount anymore (which was not a problem for us and we had booked when they still took that discount). We requested a king bed, non smoking, renovated room facing Ontario St. I read in many online/book reviews that rooms facing Ontario St had more light and better views. They were nice enough to oblige and we got everything we requested. Our corner room was on the 11th floor and it was very nice. The only complaint I had was that it smelled musty. I think the smell was coming from the air conditioner. But we got used to it. The room was nicely appointed (king bed, tv, alarm clock, night stands, desk, chairs) and it was spotlessly clean. The bed was comfortable (and I have a very bad neck/back). The view was very nice. We had a view of Michigan Ave from one window and of Ontario St from another window. The bathroom was fine. It definitely was small but clean and the bath/shower has a curved rod so there is more room. The room looked just like it did in the pictures online. I would have taken pics for this review but I forgot my camera!The elevator was small and slow and not air conditioned but that was easy to deal with. They have valets (which we did not use) and sort of door men who called cabs for us.Free coffee, hot chocolate, tea in the lobby. I would definitely stay here again.	
Jul 2 2006	Great location and good value for money!	We stayed at the Red Roof Inn, Chicago, for 4 nights in June. The location is great - a half block from the Magnificent Mile (Michigan Ave) - lots of shopping. We walked to most locations. Caught the Chicago hop-on/hop-off bus for the first 2 days. The first day we re-acquainted ourselves with the city (it's been 6 or 7 years since we last visited Chicago.) We took the Heritage bus tour too. The next day we hopped off at the Museum of Science and Industry and saw the wonderful Da Vinci Exhibition. Another day, we boarded the Wendella Chicago River and Lake cruise (1 1/2hrs). It was a beautiful clear blue sky day and the tour was another 'winner'! The Inn is in an area that's scattered with lots of eateries - TGIF, O'Neill's Bar, a cute all-day Corner cafe where lots of locals eat/take-away breakfast/lunch etc and a chinese restaurant across the road from the RR Inn and the usual take-away 'joints'... your choice of food and prices... Check-in/check-out were quick and painless (I had booked on the web and pre-paid) Front Desk staff were friendly and obliging when we asked for advice on where to get a snack. Our 10th floor room was small, but had a really comfortable king size bed (my husband is 6'4&quot; and I really appreciated that the request for a queen size bed, had been taken into consideration). The bathroom was small - shower/bath combination. The toilet was also in the bathroom. Our airconditioned room overlooked the street and the building opposite. It was quiet enough (just the usual doors slamming in the corridor with inconsiderate patrons) Chicago is a clean, green (Australia is still suffering from drought conditions!) and the architecture is wonderful!	
Jun 12 2006	Good Location small rooms!	This is a great location when visiting Chicago. It is within walking distance of everything. The hotel staff is very nice and easy to work with. The rooms and the elevators are TINY!! Two people couldn't walk around at the same time. We had one room with a king size bed and a different room with 2 doubles and the beds took up the entire room. The elevator was very small. It was clastrophobic. Our a/c was broken, so the staff transferred us to another room. The staff was very knowledgeable when it came to the train station. Very good stay except for the size of the rooms.	
Jun 1 2006	A perfect location	I recently stayed for 1 night at the Red Roof Inn downtown Chicago, I booked it tjrough Expedia and got a very good deal.I was very surprised when I arrived, to discover its location, for this price, it was VERY centraly located, around the corner from Michigan Avenue.The hotel is not the best I have stayed, but for this budget it worked fine for me.The rooms are a bit dated and need refurbishement, but bathrooms are very nice and clean.Moroeover the frontdesk and cleaning staff were very nice and helpful, doing their best to please us.One thing was missing though : no restaurant to get breakfast at the hotel, there is only a free coffee machine in the lobby..but it was no problem for us as there was plenty of places to eat in the morning, especially a nice bakery with a terrace around the corner from the hotel.Overall I would recommend it to travellers on a budget looking for clean, cheap &amp; central accomodation in Chicago.	
May 23 2006	Very good value and location	I agree with many of the positive comments written so far about the Red roof. Rooms are indeed quite small, but we took the business king suite (10$ more than a regular room) that had two washrooms, a king bed and a queen sleeper sofa – perfect for two adults and three children. There was a fridge + microwave, two TV’s and everything was quite clean. It's a great location, and for the price, a very good deal. The staff is also very helpful.Finally, I share the same opinion with others that mentioned that it's an older building, with elevators that are rather small and slow and the noise from the street can sometimes be heard. That being said, I find those points to be rather secondary in relation to the other good aspects of this hotel.	
May 12 2006 	Borderline Accommodations	I stayed here on business May 2. You get what you pay for. It was the least expensive suite hotel in the area and for a reason. Just a little creepy based on the clientele, hotel staff and old building. I stayed here to see if I could/should bring my family here this summer for sightseeing. Compared it to the Seneca and Homewood Suites and will choose one of the others. Red Roof has the best location but just barely met my modest standards. It isn't for the family.	
May 5 2006	Good location	This hotel could not be in a better location. It is a block from the Magnificent Mile and some really good restaurants (including The Cheesecake Factory). The lobby has just been updated and the staff was very nice but the rest of the hotel is very old and a little run down. The rooms were very small and not very nice but we were just there for a long weekend and it worked. As long as you are not claustrophobic you should be ok. The lobby has plenty of information for visitors and taxis are easy to catch out front. Because everthing is tight fitted, noise is an issue for those morning birds or late night guests who don't know how to respect other guests. You should request a low floor because the elevator seems to always be crowded and takes forever. Also, don't plan on showering before check out time because there was no hot water!	
Apr 30 2006	Good location clean (but small) rooms	For the price, a very good deal. It's a great location, and our room was clean--if quite small--with a comfortable, king-sized bed and small desk with comfortable chair and 25 inch TV.It's an older building, so the heaters are noisy and not always totally effective, and the elevator is tiny and slow (especially if you stay on the top floor). Also, keep in mind it's often used by school groups, and the walls aren't especially thick, so it can be noisy at times, but we never had trouble sleeping. Staff are friendly and helpful.	
Apr 23 2006	Location Location Location	The best thing about this hotel is it's location. You cannot move for shops restaurants, bars etc.The price of the hotel was reasonable and in comparison to the other hotels in the immediate area was probably quite cheap.The hotel is in an old building. The foyer has been modernised and is quite comfortable with very good friendly staff. The lifts to the rooms are small and are often quite busy. The rooms themselves are small and whilst the bartroom was clean it was evident that the hoover did not reach the corners of the room with a thin layer of dust running around the edge.If you are fussy kind of person then you will find plenty to fault this hotel. If you are using it as a base for exploring this great city, are not spending too long inside the rooms and are sensible with your money then this hotel makes a great deal of sense.	
Apr 19 2006 	Great small hotel -- keep fire safety in mind	The Red Roof Inn Chicago is a great small hotel property in the city and the location is prime. It's just a few blocks away from the main thoroughfares and in a good neighborhood between the hospital campus, other hotels, and busy restaurants.Front desk staff is very courteous and the few times I called for assisance I got quick responses. Like many old properties hallways are small, elevators smaller, and rooms are not traditional U.S. size. But they are not jammed either and the owners have invested in contuing upgrades to the public areas and rooms and the decor is very current in all areas with good lighting and comfortable furnishings.Not many people consider fire safety when they select a hotel, and older properties have their own challenges. Nevertheless, my stay at the Red Roof Chicago was the first time in a while that I was conscious of the fact that I was in a building with no central sprinklers, and the two exit stairs consist of one internal staircase around the corner from the main hallway, and a rear fire ESCAPE (i.e. an outside metal-mounted staircase/ladder), not a stairwell. Federal employees generally are required to stay in newer properties with more fire safety systems, and I am in no way suggesting that the property is not safe -- in fact, hallways were always clear, well-lit, alarm system appeard to be upgraded, and there are fire extinguishers/hoses. But it's worth remembering that not all hotels have the same level of life safety technology available. At the very least, just being a little more aware of fire exit locations is a good idea when staying in an older property like this one.	
Apr 19 2006	Great Location but Horrible Hotel	I travel all over the world and I would not stay at this hotel again. Although the location is perfect, the place is old and disgusting. There was hair all over the bathroom walls and the floor was dirty. One crumby dresser with a TV on top. The room was tiny. Heat was broken and noisy and we ended up getting $50 off because they couldn't fix it. Also there is only one tiny elevator and there was a convention in the hotel so we had to wait a long time for the elevator whenever we wanted to go out. Shop around or walk an extra block and pay a few dollars more because this place is NOT worth it.	
Mar 6 2006	Red Roof Inn a cheap gem!	Stayed at the Red Roof Inn in Feb 2005. First of all, great location, one block from North Michigan and the shopping! Check-in was all of one minute, and I was in my room immediately! It is an older hotel, so the carpet is not brand new, but I don't choose a hotel for the carpet. My room was extra clean and bathroom was immaculate. The only &quot;disappointing&quot; thing I encountered was the ice machine on the 2nd floor where I stayed. It was broken, so I went to the 9th floor where the other is located. That gave me all but 3 ice chips after about a 5 minute wait. I highly recommend this hotel. I will definitely stay here again.	
Jan 24 2006	I would not reccomend this hotel ever!!!!	This is not a friendly place to stay. After making reservations months in advance,my husband and I enter our room only to discover that they gave us a queen size bed when I had requested a king. So we hauled our lugage back down to the front desk. I told the employee about the mistake and he told me that there were no more king size rooms avalible. I told him that I wanted the room I had made reserations for(I had a confirmation #) or a discount on the room that was given to us. After talking with a manager(via phone)I was given a key to a king size room(I thought that they were none left). No one apologized to me. The room itself was clean but small. I would not stay at this or any other Red Roof Inn again.	
Dec 14 2005	Location Location Location ....and great price	After reading the reviews here and a personal recommendation from a friend, we decided to try this Red Roof Inn. Me and 2 other friends traveled to Chicago for a girls weekend and knew we wouldn't be in the hotel much. We were just looking for a safe, clean place close to the shopping and sight-seeing areas. This suited our needs. It's nothing fancy. We had a suite and were pretty satisified. The full bath was very, very cold since it was on an outside wall and had a window. But the water temperature was good. Heater was very hot in one room and cool in the other. Our suite had a refrigerator and microwave, but no coffee pot in sight. Coffee is only available in the lobby and only in the morning. Room was clean and furniture in good shape. Requested non-smoking room, but was given smoking with no option to switch to another non-smoking suite. Only offered a non-smoking double. We checked out the suite and decided it wasn't too bad. Although the hall reeked of smoke some mornings. The desk staff could have been friendlier (except for one exceptional young lady there) and they need to invest in coffee pots for each room. Visit West Egg Cafe down the street for breakfast (get there early to avoid the line) and Joey Buona's for great Italian (pizza and pasta).	
Nov 21 2005	Good Location and Good Price	The Red Roof Inn is in an ideal location if you want access to Michigan Avenue. The hotel is located near many eateries and bars (Try O'Neils - 3 store fronts down from RRI, the bar is only 12 feet wide but a great time). The staff of the hotel was very friendly and helpful. The only issue we had with the hotel was our room was not clean. There was some issues in the bathroom and trash on the floor. The hotel rooms are very small as well, but as long as you do not want to hold a social in your room, your ok. I would stay here again based on price and location.	
Nov 21 2005	Downtown Chicago bargain	We visited Chicago the first weekend in November with our two teenage sons. We were looking for something affordable yet close to the sights and booked the Red Roof Inn based on reviews here at Trip Advisor. The hotel was exactly what we were looking for: inexpensive, in the heart of downtown, clean, friendly staff. Yes, the room was a bit crowded for 4, but we weren't there much and the convenient location was more than worth it! It was perfect for a family on a budget. Don't stay there if you want luxury or extras, but if you are happy with the basics, it's the right place for you!!!	
Nov 21 2005	Great Hotel	This is one of the best hotels in Chicago because of its price and location. It's half a block away from the Magnificent Mile and is surrounded by very good restaurants. There are also convenience stores near the hotel. Very convenient to public transportation. We stayed in a standard room during our first night. The room was small but clean. The bed was comfortable. The next night, we moved to the King Suite which had a lot of room for 3 people. The staff was very helpful and friendly.	
Nov 12 2005	Impressed with the Red Roof Inn	Very well located, clean and pleasant rooms - I would stay here again in Chicago!	
Nov 8 2005	Great Place Great Location Great Price	Just got back form the Red Roof Inn Chicago. First the location is EXCELLENET- ½ Block from everything you want on the magnificent mile, and next to it is the Marriott (whose prices were 3x that of the red roof inn). The rooms were nice. We got a king Suite with king bed and bath in one room and a separate living room with fold out bed and its own bath. We also got a double deluxe with a big room and two double beds. The staff was very friendly and helped us with everything we needed. We had a late flight leaving and we were able to store our baggage after we had checked out and they have internet that you can rent. The are remolding and it looks like the place will be ever better the next time we stay there. This is not a 5 star but it is a wonderful place for the price, I HIGHLY suggest the red roof inn.	
Oct 28 2005	Great Location	I stayed at the RRI this summer my teenage son and nephew. I got the deluxe room with two double beds. I guess by getting the deluxe room we did not have the problems some other reviewers had with storing luggage and moving around. There was an area outside the bathroom for our luggage and clothes. We left the hotel early each morning and returned late at night so we were only there to sleep. The room was clean and the location is great. I did not want to spent a lot on a hotel so the RRI was perfect for us. We ate at the Corner Bakery which was a block away for breakfast.	
Oct 27 2005 	Great value great location no frills	I was pleasantly surprised by my short, early week stay here. The location is perfect, in the heart of downtown close to great restaurants and bars. But don't stay here if you want the extras, they don't have them. There is no one waiting at the door to assist you with your baggage, the rooms are small and the bathroom smaller, you may have to go to another floor for ice. I would estimate it's been 15 years or more since the carpet has been replaced. Although they just started re-doing the small lobby the day I left.However, the staff was friendly and helpful and you can't beat the price for this area of town. I would definitely stay here again.	
