	Great Location and Staff	Had a wonderful stay with my wife for our 1st Anniversary and hope to stay here again! Got into town early on a Friday, staff was extremely nice and helpful even though they didn't have our room ready because it was so early. Stored our luggage for us and even let us get some items back out after they had already stored them. Went out and did some sightseeing and came back to check-in which was a breeze and found out that they had given us a free upgrade to a suite because it was our anniversary. Room was very nice and clean with lots of room to spread out and relax. Later on in our stay, I realized I had forgot my shaving gel and call the front desk to see if they help me out since we were running late for our dinner reservations and someone was up to our room in no time flat with some shaving cream.One of the greatest things about this hotel is its location. You are right in the middle of EVERYTHING on Michigan Ave!! You have all the shopping you could want and more with the ability to run your bags up to your room and not drag them all over town. You have quick access to numerous restaurants that are just short walks from the lobby, as well as bus stops across the street that will take you to various museums and other points of interest in the city. The only thing I could see someone faulting this place with is the noise from Northwestern Hospital right next door. We were on the 27th floor and the noise did not bother us at all and my wife is a very light sleeper. Other then that, Avenue Hotel is a great place to stay and enjoy Chicago and we look forward to returning soon.	
Apr 2 2009 	Simply Great!	We stayed at The Avenue Hotel for 3 nights in late March and couldn't have asked for a better experience! Although our room wasn't ready when we arrived slightly before 3, the bellman stored our bags while we went out to sightsee. When we returned 45 minutes later, we were so pleased with our room on the 19th floor. In addition to the king bed, there was a leather couch, desk, plasma TV, small table with a coffeemaker and still lots of extra space including a walk-in closet! The bathroom was excellent with lots of counterspace, fantastic &quot;rain&quot; shower, and great eco-friendly products. The bed was really comfortable with great bedding. The staff was very friendly and always greeted us when we returned. Since there aren't many rooms on each floor, there wasn't much hallway noise or doors slamming. Be sure to visit the Sky Bar. The views are fantastic and Deacon the bartender makes some great martinis! We had dinner in the Elephant &amp; Castle on the first floor one night as well. The food was delicious and the beer selection was excellent.The location is terrific for shopping as well as catching buses to the museums and other parts of town. In addition, taxis were plentiful and relatively inexpensive. We chose to save a little money and did the self-park across St. Clair Ave. from the hotel. In addition, we ate breakfast at The Corner Bakery just down the street instead of eating at the hotel. The only problem was an additional charge on our bill which was immediately cleared up when I called the front desk. We will definitely stay at The Avenue Hotel the next time we are in Chicago.	
Mar 15 2009 	Awesome hotel great views great price!	We (6) stayed 2 nights at the AVE and they were great...the service was great, the employees very helpful and kind, and the rooms were amazing! the contemporary styling in the lobby, rooms, and sky lounge was very cool...the rooms were clean, huge for a big city hotel, the views from our room on the 26th floor were amazing...i absolutely loved this hotel and plan on staying at the AVE every trip i take to chicago! Highly recommend!!!	
Mar 2 2009 	Great Chicago Stay	The room was surprisingly large for a big city hotel. Immaculate marble bath. Nice large towels. Great bed, and amenities. Had lunch in the Elephant and Castle Pub at the hotel and enjoyed that. The sky top lounge was comfortable and offered spectacular views of the city. Our son had the one bedroom suite, and was worth the extra few bucks. It had a large leather sofa and separate bedroom with windows on two walls.	
Feb 26 2009 	Could be great but isn't yet	We're from Chicago, and found The Avenue on Hotwire. Had we paid the full price ($140/night, as opposed to $75/night on Hotwire), we would have been very disappointed. A lot of little things added up to make The Avenue less than the 4-star hotel that it's rated. Bathroom fixtures were loose and the shower was poor. The toilet reminded us of a public restroom stool. The baseboards, furniture and doors were scuffed and dirty. The room did a poor job of muffling the city noise, even at 25 stories. On the other hand, they do a lot of things right. The bedding was fantastic. The staff and service were quite good. The Sky Lounge was impressive, feels exclusive (in the good way) and reasonably priced. For people who want to explore the Mag Mile and the Gold Coast, you can't beat the location. We discovered that breakfast the the adjacent Elephant and Castle restaurant was exactly the same as breakfast served from room service, but at half the price. As a recent conversion from a mid-range hotel in Chicago, The Avenue is trying to be a 4-star hotel and has the potential to be a 4-star hotel, but as of this visit, it was not.	
Feb 22 2009	From now on I'll check the Avenue Hotel FIRST for rates and availability in Chicago!	My niece, her friend, and I took the Hiawatha train from Milwaukee for this one-night shopping/museum excursion to Chicago. This was our first stay at the Avenue, but I don't think it will be our last! The great location (just 1/2 block from the Magnificent Mile), coupled with the spacious, well-appointed rooms, friendly service, and handy dining options, added to our enjoyment of the MLK weekend. The views from the Sky Lounge were wonderful, and we topped off our Saturday night with martinis by the fireplace. We also enjoyed a hearty breakfast at the Elephant &amp; Castle. We made use of the iPod dock and enjoyed the sweeping city views from our junior king suite. Even with the sleeper-sofa in use, there was plenty of room to move about. We unanimously agreed that we would return to this hotel in the future without hesitation.	
Feb 19 2009 	Good location and value	Booked the hotel through Hotwire and that’s how I found the hotel actually – didn’t know of it before. Room was on the smaller side, but was changed to bigger room the second night. As with many hotels, breakfast was expensive and avoided that the following days. Best asset of this hotel it its very good location, with walking distance to Watertower and the good rate I got. Listed as 4 star and would rate that as “kind” to the property, as it is a older hotel – missed slippers in the room.	
Feb 8 2009 	Great hotel in a great location	I went to Chicago for a one day teaching symposium this past week and had originally had a reservation at the Red Roof Inn in the same part of town because it was close to where I needed to go and the price was right. After reading the reviews on Trip Advisor, I decided to give Priceline a try. I put in what I was paying at the Red Roof, said I only wanted a 4-star hotel, and to my surprise, my price was accepted by the Avenue Hotel. Checking out its website, I was immediately excited! My short stay didn't disappoint me. I arrived around 11 pm since my train didn't arrive until 10.30 pm. Check in was quick, efficient and friendly. The receptionist asked if my conference was in the hotel. When I told her no, she got out a map and asked me where it was so that she could give me directions. That was a very nice touch. She also asked me for a wake up call. It was nice to have someone anticipate my needs so that I didn't have to get to my room and call back down, or search for directions the next morning. The room itself was on the 21st floor (Room 2101). The room is right by the service elevator, and I did hear it running occasionally. It didn't bother me, but some may find it an annoyance. I found the decore and linens to be very nice. The desk was large, which I like in a hotel, but it was a bit wobbly. The next morning, I got a wake up call on time from a real person, which I thought was a very nice touch. I loved the pod coffee maker in the room. Check out was a breeze in the room with a receipt immediately e-mailed to me. (By the way, wireless internet is free, which is great. I hate paying a lot for a hotel and then having to shell out another 10 to 15 dollars to get internet.) I would definitely return to this hotel.	
Jan 22 2009 	One of the Best Hotel Experiences I Have Ever Had	For my first trip ever to Chicago I decided to book at the Avenue Hotel mainly because of the positive reviews I found on this site. Personally I did not know what to expect because I have found that a lot of hotels in big cities often lose that personal touch but I am glad to report that after staying here The Avenue just set the bar for my hotel expectations at a whole new level. Here's the bottom line about this hotel...the rooms are just about what you would expect for a hotel in this class, but the service is what sets The Avenue apart. Because of a flight diversion I ended up at the hotel about 4 hours earlier than I had planned, but for the courteous front desk staff (Angela I believe her name was) getting me extra-early check-in was no problem at all. She even asked if I needed directions anywhere and provided me with a map. The doorman was really friendly and always greeted me when he saw me. On the final day of my stay my ride to the airport fell through and the front desk staff had no problem booking me a last-minute shuttle reservation to O'Hare. I've been to too many hotels lately where the front desk acts like they don't want to talk to you and the doorman is too busy to look your way. When I host guests at my own home I go out of my way to make them feel comfortable and that is how I feel The Avenue Hotel treated me. I would definitely stay here again when I return to Chicago and I recommend you do the same.	
Jan 21 2009 	NOT Luxury like site claims but ok	The hotel's site marked it as a 4star LUXURY hotel. It is a clean hotel but no different than a moderate chain hotel. The details and pictures are gravely decieving. The lobby is basically an office elevator corridor with podiums serving as you ck in/out. A closet literaly serves as the hotel office. There is no curb appeal or interior ambience. The rooms are old but refurbished and the beds with down alternative are a plus. I'm not sure where the 1st picture of the exercise room is but the 7th floor one could use some light, hand weights, and larger towels. It is very minimal. If you just want a decent place to sleep then book here. If you want a feeling of ahhhh from the front door to your room and for the same price keep looking. The location is good for Michigan Av activities but so are a dozen others.I wish I had chosen a different one. To me a hotel is rated LUXURY when the rooms, staff and amenities are above average. For example, when there was a problem at ck in (confirmed 2 rooms hotel only had 1 listed) the agent fixed it but she never communicated what she was doing. She just kept staring at her computer and typing. She was not a people person and I was a calm/tired customer. Frankly I don't think she knew what she was doing. After 45 minutes wait @ 10pm we got rooms. Why the wait?? I was never told but I found out. The heat was not working (-5 outside) and all 5 weary travelers had to stay in other room for 2 1/2 hours until warm enough to sleep in. The other was the bellman. I've determined that he must not need his job b/c he didn't do it. We (5) crawled out of the taxi retreived our luggage, paid the driver and got a receipt and NEVER saw the bellman. He was inside leaning against a wall. He never moved even after 3 groups ck'd in while we waited for our rooms. He did not help at ck out either. We hailed our own cabs everyday. Like I said the hotels just OK.	
Jan 19 2009 	Great Hotel	Great location and great hotel. The room was a good size for a large city hotel. Comfortable bed and pillows, good coffee in room, checked in early with no problem, great views of Michigan Ave. I will stay here again and recommend to everyone.	
Jan 4 2009	Not bad not great just ok	Stayed at The Avenue from 12/30/08 through 1/3/09, and honestly I would rate this hotel as just 'ok'. It wasn't bad, but there wasn't anything special about it. We stayed on the 26th floor, and the room was clean enough and roomy enough for two. One drawback was that the hotel is right next to a hospital, so you do hear sirens all night, even being up that many stories high. Obviously not the hotel's fault, but still a minor annoyance. The beds were the best part of the room; they were super soft and we wanted to bring them home with us! Some other flaws with the room: the bathtub didn't drain, so you had to take a quick shower to avoid the tub filling up fast. And second, the hooks on the back of the bathroom doors fell right off if you put anything on them, so there was nowhere to hang clothing or towels. Actually, this bathroom had the least amount of places to put things than any hotel I've ever been in! So that's one suggestion I would make to the management staff at the hotel; a lot of people like it when the bathrooms have some small shelving or places to hang things. One good point about the staff...when we asked for something, they came with it right away. The concierge was also helpful in making calls to find us a restaurant of our liking.Other things worth mentioning: There was no mini fridge in the room, and that was $20 extra if you requested one. We would have liked to have one, but we didn't want to spend the extra money. Also, anything that you take from the snack fridge provided was $20 to replace, so that $4 pack of cookies could potentially turn pretty expensive! We found a corner store nearby to get water and snacks at a much more reasonable rate.	
Dec 16 2008 	My future home away from home	what a pleasant surprise. I was recommended to this hotel from a friend who stayed there before and decided to give them a try. I usually stay with major chain brand due to their reputatation but the Avenue hotel convince me to try more of independent hotels for my future accomodation needs. Location was unbeatable and price was more than reasonable. Product and service was superb. I usually do not write review or fill out comment cards but this time I felt obligate to share my experience. Reservation agent was very friendly and accomodating. Front desk agents and doormen greeted me like I was one of the VIP. Room was very large compare to some of the hotels in the area and everything seemed brand new. I plan on coming back to Chicago area very soon and I plan on making the Avenue hotel home away from home for me.	
Dec 13 2008 	Great hotel with great staff	I have recently stayed at the avenue hotel and wanted to thank everyone at the hotel for their great service. Also loved the fact that hotel was fully renovated and sky lounge on the top floor offered great view of the downtown. From the minute I checked in till I checked out, everyone greeted me with a smile and went above and beyond for any of my request. I also loved the great location of the hotel, which is only half block from Magnificient mile. Thank you and keep up the good work. I will definitely recommend the avenue hotel to anyone that plans on visiting chicago area and I will be back.	
Dec 12 2008	bad experience at avenue hotel-chicago	I'm living in this avenue hotel chicago right now at dec 12th 2008. this hotel has extremely bad service. I called them to bring two spoons to for my icecream so i called the house keeping to bring me two siliver spoons. A women answered the phone and said how many would you like? I said two, the women replied surprisingly &quot;only two, are you serious (ridiculous tone)?&quot; i said yes please. waited for 20 mintues and i called again for the spoons. the same women answered the phone and said &quot;wait for another 15minutes ok?&quot;. Didnt eat my icecream at the end. i said thank you to the person who delivered the spoons to me and he grunted. Other thing is the minibar are autosensored. I took a diet coke out of the minibar. After realizing its $25 i put the diet coke back in.they still charged me the $25 without even drinking it. the little note that said $25/per drink is so tiny that you would normally skip to see. Overall the room looks nice, but the lobby is bad. the photos are overrated. Strongly not recommending anyone to come here. i rather go to marriot or peninsula (just right next door).	
Nov 26 2008 	Boutique Hotel	I recently enjoyed a memorable stay at the Avenue. I arrived on a Chilly November Chicago evening and immediately warmed under the glow of their fabulous fireplace and hospitality.The location is Prime and being on a business trip, I enjoyed the ability to walk to both meetings and wonderful shopping.My large chic room was equipped with wireless connectivity, a large Imac (although I had my Laptop) and a nice size flat screen, which made working in my room a convenience. The view from my room was wonderful and the bed and linens were quite comfortable.Sammy the doorman was amazing!	
Nov 19 2008 	Stolen watch at the Avenue Hotel	The hotel is recently renovated, the staff tries to do a good job. The hotel doesn´t have safety deposit boxes in the rooms. During our stay, my wife left her running watch in one of the drawers inside a pouch. Her watch were stolen. The hotel manager said he couldn´t do anything. We are talking about $250.00 US. We paid much more for our stay. The least they could do is pretend that they care and give you a couple nights credit on your next stay.	
Nov 17 2008	Nice place to stay- Especially for Northwestern Hospital	I recently, unexpectedly needed a room near Northwestern Memorial Hospital. With no reservation, I went to the front desk in the evening and was helped by Nanaly (I think that is how it is spelled). She was very gracious and arranged a room for me at a great rate even though the hotel was very full. She was also able to extend my stay when I needed it. Even though it was a standard room, it was very large for downtown Chicago. Very quiet and perfect for what I needed. I was there for a family member in the hospital, so I didn't get to check out all of the amenities. The location can't be beat- just walk across the street to the hospital. The restaurant in the lobby was very good too- good food and fast service. I ate there several times. I would not hesitate to stay here again!	
Oct 12 2008	Good location and comfortable rooms	There is nothing particularly special about this hotel. The important things: good location, quiet, good value - all were evident in my stay. But the staff was hit or miss, from the concierge who was annoyed every time I asked him for something from a postage stamp and could not get off his personal call, to the directions to a local diner where he rushed through it and so on. The other staff, however, was friendly and accommodating, but it was still very inconsistent. (i.e., don't go the Sky Lounge near closing - the bartenders will be upset) and although the front desk agreed to a late check-out, never entered it on the computer. I liked there was never a wait for the 2 computers in the Business Center and that my cheapie room from one of the main consolidators was not too loud though still a bit loud at times since it was right next to the elevators. Still, I could not imagine paying more than the rate I got ($135). It was clean and perfectly nice - but not quite as it's been billed on their website, but the same holds true for any other hotel I'm sure. I was also surprised that the shower water pressure was weak.	
Oct 5 2008 	Loved the Avenue Hotel	This is a great hotel. I stayed for 3 nights last year when it was a Radisson. And, had to come back for 3 nights again this year. The upgrades to the hotel are wonderful. I had a corner suite on the 26th floor this year with a magnificent view of Michigan Avenue. The room had a large sitting area and bedroom. The hotel is in a great location you can walk everywhere. Verne the Avenue's concierge was a tremendous help with booking the city / river boat tour and tickets for Second City.Breakfast on the rooftop that was superb, it was very relaxing to see the skyline while eating breakfast and enjoying an espresso. Everyone was very helpful. I will definitely be back.	
Oct 1 2008 	Contemporary Ellegance	We stayed at the Avenue Chicago the weekend of Sept. 27. When we arrived, the hotel manager was in the lobby and greeted us, asking how we were. We replied that we were tired due to some delays with Amtrak. Without being asked, she offered us a larger, upgraded room for no additional charge. I was impressed that she would offer without being asked to, but found it to be a welcome upgrade. We got to our room and were pleasantly surprised. The room was decorated very contemporary and had a very nice leather couch and large desk and leather chair. The bed, a king size pillowtop, was so cushy and comfy. It was absolute heaven!! The upscale linens and feather pillows and down comforter were sublime. The bathroom was also very nicely appointed with marble countertops and travertine tiled shower. We almost didn't want to leave our room it was just that nice.Hotel is in a great location and within walking distance to any and every thing you could imagine.We will definatley stay at the Avenue again if we ever visit Chicago again. I would highly recommend it.	
Sep 24 2008 	Great stay at The Avenue.	Stayed for 5 nights in August.Great central location walking distance of shops, restaurants and tourist attractions. Clean &amp; comfortable, quite spacious. Friendly staff. Small roof-top pool.The rooms are very modern but a little dark. Did hear ambulance noise at various times during the night on a few of the nights (hospital nearby) but it didn't worry us too much as the central location and introductory prices made it worth the small inconvenience.	
Sep 21 2008 	We love Avenue Hotel Chicago!	My daughter and I went on girl’s weekend shopping trip and stayed at Avenue Hotel Chicago. We truly loved the hotel! Everyone was friendly and helpful. The location was close to fabulous shopping (American Girl Place, Disney Store, Chanel, Boss, Brooks Brothers…to name a few) and great restaurants. We decided to get a kid-friendly room and we were so pleased with it. The room was bright and comfy and we had a ball with the Wii! We are planning on returning closer to the holidays and will definitely stay at Avenue Hotel Chicago again.	
Sep 16 2008 	Nice Hotel however no extras	We came to Chicago for the Tool show at McCormick Place-how awesome that was. The hotel website talks about the views from the Sky Bar and dining there however, currently it is closed as they haven't gotten their liquor license yet. We were looking forward to going up in the evening and viewing the city lights as mentioned on the website. &quot;But there’s a lot to do – drinks and dining on the 40th floor Sky Lounge&quot; as stated on the website. (doesn't exist as of yet). Elephant and Castle Pub is wonderful, the staff, the food and the atmosphere is great-prices are reasonable as well.The staff is very friendly but if you are looking for anything extra, forget about it. They do have complimentary umbrellas for guest, but that isn't known to the guests. The manager of the pub told us that they have them and even got one for us. Also on the weekends they have a breakfast buffet available for $17.95 a person. It did look very appealing but again, Elephant and Castle have a wonderful breakfast menu for half the price. Again, there was nothing said about the buffet, we just happen to stumble upon it when we wanted to go out by the pool-rain prevented us from doing that as the doors were locked.The gym was small but very nice.. There are several options for cardio and some weight machines which are seem to be pretty new machines but no free weights. The room could be a little cooler but they have water, towels and disinfectant wipes available.The rooms were very comfortable, up to date in decor and bedding and very clean. The housekeeping staff is very courteous and they do a fabulous job. The down side of the room is that the shower heads are too high up unless of course you are 10' tall and the water pressure isn't the greatest. We had 6 people in our group, 3 rooms on 3 different floors (37th, 24th and 21st) and they all agreed on that. Vern the Concierge was very helpful and I would recommend talking to him about any activities you may want to do. He will arrange everything for you. He arranged our pickup (Limo) from and back to the airport and the cost is very reasonable as well.  Overall it was a nice experience-location is great but for the type of hotel they are trying to present, there is some work to be done.Don't miss out on going to the Signature Room at the Hancock Building-the views are fabulous!	
Sep 8 2008 	Very pleasant stay at The Avenue	We just returned from a wonderful weekend in Chicago and a very pleasant stay at The Avenue. I found a great deal at hotels.com and was a little apprehensive that I might get a less desirable room as a result. However, the very pleasant and personable young man at reception gave us a very nice room on the 31st floor and even let us check in early. I was very impressed with the size, decor and amenities and would definitely return. By the way, we like Panera Bread for breafast, and there is one on Fairbanks about five blocks away.	
Sep 7 2008	Very positive experience - I can certainly recommend this place	Avenue Hotel contributed to the positive memories I have from my first experience in Chicago. I organized in their premises a two-day business conference early Aug 2008 for 13 people. Centrally located, affordable room (Corp rate), a very engaged personnel from the concierge to the business representatives, Avenue Hotel Chicago is a great deal. Christine, the Sales &amp; Catering Manager with whom I organized my event, was available, always ready to help and find solutions. I was also impressed by the fantastic upgraded room I was granted: broad stylish room with a large bed, big flat screen TV, I-pod reader, personal coffee machine, iron board, couch and armchair…and a nice view on the skyscrapers around are just some of the features I can remember…. There is also a pool on the roof. I did not use it but went up to look at the view on the sea.In summary a Great experience. I can only recommend it. I would go back there when I have to be in Chicago.Any down side? None really. Front desk a bit confused when checking out and maybe not the quickest. As a foreigner I was just hammered by the amount of taxes: once you add the service charges, sales taxes… you come up to a 30% increase in your base price. But this is local practice. One has to adjust to it I guess….	
Sep 6 2008 	Great Room Great Location	This trip was a last minute one for us so I was looking for a hotel at a reasonable price. My boyfriend and I stayed here for one night over Labor Day weekend for my birthday. The price we paid for just the standard room was well below others that I had looked at in the area (which is a great location by the way).The entire staff was friendly and we didn't have any problems at all checking in. Checking in was very quick and easy. I booked the room directly through the hotel website. The elevators were fast, our room was neat and clean, and the view was great. We were only here for one night so we didn't get a chance to go to the pool and the Sky Lounge was open yet but the Elephant and Castle bar was amazing! They had a great beer selection and the service was quick and friendly. Best part (in our opinion) of our stay at The Avenue was going to Elephant and Castle located just by the front doors in the lobby of the hotel. The bathroom in our room was decent-sized and had a shelf by the sink for extra room which I loved because I'm not a light packer. The water pressure in the shower was just right and had some space for extra products if needed. The only thing about the bathroom was in our room the hot was cold and the cold was hot in the shower which was confusing at first. The bed was a little on the hard side but the down pillows and blankets made up for it in my mind. Overall I didn't have any complaints about this hotel! The location is very nice and the price was even better compared to some other hotels in the area. I was only disappointed that the Sky Lounge was not open yet.	
Sep 4 2008 	Excellent training meeting at the Avenue	The event went wonderful at the Avenue. The attendees sent many compliments regarding the hotel, rooms, food, &amp; organization. The staff was helpful in organizing the event &amp; all of the last minute changes that took place. The location was ideal. Of course, the wonderful weather during that weekend &amp; the air show were a definite plus! In addition, we scheduled a dinner cruise on the Odyssey which was excellent. Our German colleagues were quite impressed with the fireworks display :)	
Aug 29 2008 	Nice rooms good location but that is it.	This hotel was converted from a Raddison(?) in March 2008. I stayed there in July 2008. The rooms are very nicely done, completely modern and clean. Also the location is excellent - 1/2 block off of Michigan Ave and walking distance to Hancock Center, etc. My only complaint is that other than the rooms, there is not much to this hotel. As with other older buildings in large cities, they did not have much to work with in terms of floorplan when they remodeled. The elevators are tiny, and you wait in a tiny corridor to get on them (sometimes with lots of people waiting). There is really no lobby whatsoever and the pool is the size of a postage stamp. However, if you want a good room and a good location this will fit the bill. I have stayed at other chicago hotels I liked better.	
Aug 28 2008 	Compare it to others first ...	I was impressed by the rooftop pool and the location when we booked. Upon arrival, it was a long wait to check in, and when we retrieved our bags from the storage room - the bell person gave us the wrong bag (luckily we are honest -- else someone would be out a lap top). The roof top pool was cool, but small and not really decorated at all. The room was decent, nice bedding, and clean. The &quot;business center&quot; had only 2 computers, which were busy a lot so prepare for a wait. The elevators were antiquated - but functional. If it matters to you that the front desk staff are friendly -- this is not the spot to stay. They barely said as much as hello each time we passed by.	
Aug 26 2008 	Bad Customer Services	Customer service is so bad. If you need anything for your room don't ecpect to get any help.	
Aug 25 2008 	Great Location	Avenue Hotel is in a great location that's convenient for walking to restaurants and attractions. The hotel rooms are large and clean with a nice leather sofa, desk, and plasma tv. The Bed was extremely comfortable and clean with loads of nice pillows. Small indoor pool, there were a lot of screaming kids so I decided to bypass the pool. Elevators were slow, but overall this was a great place to stay and I would stay here again. The Elephant and Castle pub next door had great food, large portions, reasonably priced with lots of beer choices and great margaritas.	
Aug 23 2008 	great experience...will definitely choose again	This hotel has all the things I am looking for in Chicago hotel...great decor, fabulous location just steps away from Michigan Ave... great service. Best of all great bed/bedding...a deal breaker for me....highly recommend.	
Aug 21 2008 	Just one word: GREAT!!!!	I MUST write this review: I travel very often but this is the first time I have found an hotel like this. This is a real gem in Chicago: closed to everything, great rooms, great offers and packages, great bath amenities, gret assistance, everything GREAT!!!We will recommend this hotel to EVERYONE (business, honeymoon, vacation etc.) because we only have found surprises and precise professional assistance from the check-in, to the valet parking etc.We booked well in advance and were very lucky to use a special offer (opening package) which was only $99.00!! Our room was on 37th floor (high floor as requested) and the view was simply gorgeous. The bed was the most comfortable I have ever tried and all the bath amenities were to be tried!We will definetely stay here again!	
Aug 20 2008 	Best Hotel Experience in a While Here	I've been to Chicago eight times in the past seven years, and this hotel ranks #1 for me, tied with the much more expensive InterContinental.The fact that they upgraded the room to a corner suite for our honeymoon at no extra charge didn't hurt. The view from the 34th floor is great.The rooftop pool is nice, the Elephant Bar downstairs is lively, and the service desk has been responsive to every request we have happened to make over the past three days.The location has been great, too. A block from shopping (for the wife), and about a 5 minute walk from the loop.All in all, I'll be coming back here again.	
Aug 15 2008	Terrific Pet Friendly Hotel in Chicago	I was luckily enough to find a great, pet friendly hotel in Chicago on &quot;Bring Fido.com&quot;. I stayed at the Avenue Hotel Chicago and had a terrific experience with my bischon, Mickey.The rooms were very large so I didn't feel bad leaving Mickey. There was a great walking area right by Lake Michigan, only 2 blocks over. The hotel was convenient to everything and although they accept pets you would never know it. It was very quiet and comfortable. I would highly recommend Avenue Hotel Chicago for anyone looking for a dog friendly hotel in Chicago.	
Aug 13 2008	Great New Hotel Awesome Location!	My family (myself, husband and two kids) stayed at the Avenue for a weekend getaway. We wanted a great hotel that was right in the heart of Mag Mile and the Avenue did not disappoint! As we pulled up, the valet greeted us immediately and hustled our bags inside. The woman at the registration desk was friendly, quick and efficient. We were up in our room in no time! We had booked a regular guest room with some reservations, as there were four of us and we’ve had bad experiences with cramped downtown hotel rooms, but decided to go ahead as the Avenue claims to have extra-spacious rooms. They did not disappoint us! The room was very large, clean and impressively decorated, with a wonderful king-sized bed, sofa sleeper, desk with chair, large flat-screen television and lots of room to spread out and get comfy. They also had a docking station for my son’s iPod and free wireless Internet access, something my husband appreciated very much. We all enjoyed the rooftop pool and sundeck immensely. The views from the 40th floor were amazing! All of the staff was very friendly and helpful when asked for suggestions for other places to dine. The location could not be beat! It was literally steps to Michigan Avenue and close to many of our favorite places to visit downtown, including American Girl Place. We had a great experience with this hotel and will not hesitate to come back, whether with the kids or for an adults-only weekend.	
Aug 11 2008 	Great value and comfy beds	This hotel is in a great location and they follow that up with an outstanding stay. Good size to the rooms for having 2 queen beds in them - extremely comfortable! Nice amenities such as a one cup coffee maker and flat screen television. Elephant Bar in the hotel is great for late night fare as well as a good choice for breakfast. Close to lake, shopping and nightlife - all for the cheapest rate (at least right now) on Michigan Ave!	
Aug 10 2008 	awesome stay in Chicago	we have stayed at this hotel several times but this is the first time since it has been renamed the Avenue. The room was updated and bed was comfortable. The location of this hotel is excellent.....right on the Mile for shopping and walking. We will definitely be staying here again.	
Aug 7 2008 	Worst experience of my life	I stayed here for a 3 day conference and had nothing but problems from the moment I checked in. Twice on the first day my room key got deactivated - and it was never near a credit card or cell phone! It wasnt only me either, people in line next to me were having the same problem and the hotel staff claimed to not know of anyone else experiencing the same issue. Then it turns out the a/c wasnt working correctly in my room and all that came out was humid air. When I got back to my room it was fixed but the smoke detector was taken off the wall and was hanging down with the wires out. That night I discovered a huge swarm of bugs above the bed! The hotel staff immediately assumed I had opened the windows (which I didnt because my view was of construction) but reassigned me to another room - at 1 am. Then I bought internet service for my room with the wireless keyboard that was provided, but not a single website worked.The a/c units are also terribly noisy (no matter what temp air is coming out of them). It is so inconvinient to get to the business center and fitness center because you have to take 2 sets of elevators. I found out it used to be a radisson so maybe it explains some of it - but dont waste your time or money here!	
Jul 30 2008 	Great meeting at Avenue Hotel Chicago	Just returned from an amazing meeting in Chicago! Stayed at Avenue Hotel Chicago and was super impressed. I have stayed at a lot of Chicago boutique hotels (NYC too) but this one was different. The hotel is new! The lobby is really hip and attracted a great crowd. My room was to die for…the view of Lake Michigan amazing, impeccably clean, cute zebra print chair and zebra print robe. Didn’t get a chance to enjoy the roof top pool since I was technically there for a meeting but did get a peek. It is located on the 40th floor (more great views)! Service all around, from the doorman, girl at check in, housekeepers, room service, and meeting attendants, was superb. Avenue Hotel Chicago is a great meeting hotel. The conference room was nicely decorated and had high ceilings and lots of windows. One meeting attendant went out of his way to help me with some last minute copies. The food was delicious (the caramel apple pie was unbelievable)!The location couldn’t have been better, right across the street from Northwestern Hospital (where some of my meetings took place), a half block from Michigan Avenue and shopping, shopping, shopping! Thankfully Dunkin’ Donuts was close too, and great pizza (Gino’s East pizza). I’ve already made another reservation in September (this time with my family). The hotel has tons of suites and the rates are super reasonable. Can’t wait to bring my family to the Avenue Hotel!!!!	
Jul 27 2008 	Awesome Stay - Awesome Hotel	Our first visit to the &quot;new&quot; Avenue Hotel was far better than we could have imagined. The staff was super friendly and extremely helpful. Many of the great staff from the Radison days are still there. The rooms are freshly remodeled from when the hotel was a Radison and they are spectacular. This is definately a must try hotel if you visit downtown Chicago!!	
Jul 23 2008 	best stay of my life	the rooms were so clean, and that is a big plus in my book. i can truly say that i will stay there time and time again, your front desk staff has been upggraded very well also.	
Jul 19 2008	Couldn't have asked for a better experience!!	Wow. What a gem!First, the older reviews and pictures are of the hotel in its pre-renovation days, and are pretty irrelevant now.This hotel really impressed me. I'm a Chicago native, and hadn't heard of it before, but stumbled across their Web site while searching for a good deal. They were offering a 20% promotion for $160/night which was fantastic. Rates for other hotels in the same area were much higher; even the inferior hotels had higher rates. Here's my story...Check-in seemed long, perhaps this was due to me to checking in around 6 p.m. or them being short-staffed. I don't know...but it was worth the wait. I told the woman at the check-in desk that the room was a birthday surprise and she upgraded us from a regular King room to a corner suite!!!!!!! Now, that's service. The room itself was impeccable with:- a rain shower head;- granite countertops;- one of the most comfortable beds I've ever slept in;- an iPod dock (this was a really nice touch);- plasma tv- chic / modern furnishings- free WifiWe called down to housekeeping twice, one of which was for a cork screw, since we had purchased a bottle of wine to celebrate his birthday. In both instances, housekeeping delivered the items in less than 5 minutes.The lobby is sleek and attractive.The location can not be beat. We were able to walk to everything that downtown Chicago offers; restaurants, stores, Water Tower shopping (great food court on 2nd or 3rd floor - something for everyone) and there's a Walgreen's pharmacy within two blocks (super convenient for snacks and drinks). Also breakfast can be had at the nearby Corner Bakery, which is within a block or so.Parking can be challening in this busy area. I skipped the hotel parking, which was $48/ 24-hours (ouch!), and found meter parking. In summary, this is a gorgeous, modern hotel in a superb location, available at unheard of prices for North Michigan Avenue. This, to me, feels like a 4-star hotel charging 2-star prices.I would definitely stay here again, but fear that the prices will be going up soon, as others find out about this newly renovated gem.	
