	Great stay in the windy city	Hotel was as described and whilst there was obvious works going on in the hotel we never heard anything. Staff were always polite and welcoming and its situ is ideal. I would recommend The Old Pancake House for breakfast, as per other trip advisor recommendations, it is superb quality and value.	
Aug 15 2007 	Chariming Hotel	The Whitehall Hotel, a national landmark hotel in Chicago, is a charming hotel in an excellent location in downtown. Because it is old and has character, there were a few minor inconveniences. The two biggest ones for us were no ice machines(you have to call or ask someone in the hotel to get ice for you which means a tip) and trouble getting into our room with an electronic card. We had to slide the card at least half a dozen times to get our door open. But these annoying little things were more than made up for by the friendliness of the staff, the great beds and bathrooms, and the concierge service. Did I mention the location? The Whitehall is less than a block off the northern end of the &quot;Magnificent Mile&quot;, near the El Red Line and major bus stops, and within walking distance of many of Chicago's major attractions. We were near several good restaurants and felt safe at all times. There were only 2 of us, but many families with 4 to 5 members were in the hotel. A lot of business men and women were in the hotel as well.	
Aug 15 2007 	Awesome Location	My friends and I booked this hotel for a couple nights using Last Minute Travel.com. The price was perfect, 125 a night. After doing alot of research on tripadvisor and other places we realized that we would be getting run down rooms. However, when we arrived we were upgraded (I am not sure why) to rooms with king size beds. I really cant say anything negative about this hotel, it has a perfect location, great rooms, the staff was nice, and it was extremely affordable.There was one incident upon arrival that sticks out as a major problem. When the other half of my party walked into their room, they were overwhelmed by a mold smell. Apparently the room AC had a water leak and the hotel just put a huge fan in the room to try and dry it out. The fan was still going when we arrived in the room. The hotel moved the other half of us up to the 12th floor. The new room had an incredible view of the lake and the John Hancock bldg. So, it worked out well.There is not an ice machine, so you have to call room service for it. I found that they were very fast at bringing the ice. The AC worked great. The elevators were usually very full, to the point that we couldnt get on one alot of the time. We found that the service elevator worked nice and without the crowd.	
Aug 6 2007 	Fantastic experience	My husband and I just got home after a 3 night stay. We loved it! The bed was luxurious and the service was wonderful. Our room was tastefully decorated and had none of the problems other people have mentioned. I did call before and request a renovated/non smoking room and perhaps that is what made the difference. Would go back in a second -- lovely hotel in a fantastic location.	
Aug 3 2007 	Why the Whitehall???	Stayed at the Whitehall on a recent business trip to Chicago. This hotel has alot going for it...the intimate scale, great location, and really nice staff make the ideal combination. What did not work for me was the airconditioning in my room and the strange menu in the restaurant. I know that the restaurants are often leased to other operators, but hotels that lease their restaurants need to understand that the restauran is a direct reflection on the guest experience and the hotels brand reputation.Please fix the airconditioning and the restaurant	
Aug 1 2007 	Overall not bad but a little disappointed	First I'll say that for the most part this was an alright hotel with a Great location right by the Mag mile. It seemed a little &quot;old&quot;, but, IT IS! (1928) I made reservations a little more than a month beforehand and requested a &quot; nice street view .&quot; We arrived around 2:45 from Michigan to see the Tigers-White Sox game(7/25), room was ready(?). Went to tenth floor, cards didn't work, went back down and up again, we had a corner room(small, just enough room to walk around the king bed(nice bed though)) and a view of some bricks from the building next door. Really!?? A month's advance with a request and we still got a &quot;brick view. &quot; That was Very disappointing, but at that point I didn't feel like going back down and switching rooms. I normally would have but with the time constraint I didn't want to waste more. Also, we chose to self-park(which you pay for separate in the garage and was recommended cheaper than valet by the doorman(?)) and it actually came out to $44 for 24hrs and 32mins(maybe that extra 32 killed us more than we thought, huh?) Wonder what valet would've been. I just wish I had more time to devote to making sure I was satisfied and content with my stay/purchase. You may need a few extra minutes if you don't like a brick view and a bed for a room.	
Jul 30 2007 	Avoid the Whitehall	We stayed in the Whitehall for 3 nights. The first night we stayed in a King &quot;superior&quot; room. We noticed the air conditioner was VERY noisy that night but just assumed that was how it was going to be. The next afternoon when we went back to our room to rest and shower before going out for dinner, we were surprised to find our room was 90 degrees and as humid as a sauna -- there was also a gaping hole where the air conditioner had been with only a flimsy grate keeping it from being wide open to the outside 11 stories up! The furniture was all pushed up against the walls. We went down to the lobby to talk to the customer service people who checked and said they were &quot;fixing&quot; the air conditioning -- they said that and then tried to ignore us. We informed them that we needed to rest and get cleaned up and that the room was unusable and dangerous. They again said they were working on it == and then tried to ignore us again. We again told them we coud not use the room and asked how long it was going to be == they said they were working on it but didn't know how long it would be. After we refused to just go away, one of the reps finally said he would find us another room. We were put into a King suite which was a much better room than our previous one and we thanked the rep; however, neither room was really that of a 4 (or 5) star hotel: wallpaper bubbling off the walls, uncomfortable beds (the beds were more than firm -- they were hard but then covered with a feather bed), problems with electrical outlets in the bathrooms of both rooms (in the suite the outlet was actually loose and sparked -- we could not plug anything into it), etc. We were also dismayed to find charges to our bill for things we did not use: wireless internet and minibar. When we told a rep that we did not use these things, she questioned us about them and then nastily crumpled the bill in our face and said they were off our bill.We will not stay in the Whitehall again.	
Jul 24 2007 	Great location good service	The location is perfect. You can walk to the Chicago subway station(red line), to Michigan ave, to the bars/restaurants on rush street, to downtown... The service was good and the room was nice and clean so was the bathroom. I called before our arrival to confirm my reservation and asked for a room with a view, since the street is very narrow, there is only one side with a view on delaware street. They did provide us with a room facing the street on the 15th floor.	
Jul 23 2007 	Maybe the best bed ever	Great value! Room was basic but nice, clean and big. Service was great. Staff were very helpful. Our internet connection was not working so they gave us a pass for free wireless access. Concierge seemed to be very helpful as well.The highlight was probably the beds. Best bed/pillows I've ever slept on. As 5-star hotels go the Whitehall is probably not up there with the Four Seasons...but neither was the price. Definitely a better value for the money than other options in Chicago (we would have paid more to stay at a Best Western).	
Jul 17 2007 	Great Location Lovely Room	The Whitehall Hotel is in a fantastic location, on a quiet street right between Rush St. &amp; Michigan Avenue. You're right in the middle of all the action, but since Delaware is a smaller side street, the rooms are very quiet. Our room was small, but had almost everything we needed. The bathroom was large and lovely. Our only complaint was the view from our window--a cement wall. It is strange that they have no ice machines, the first night we requested ice to be brought from room service and it never arrived. The second night we just went down and asked the front desk for it which proved much more efficent. Bed and linens were very comfortable. The desk and easy chair were great additions to the room. The Whitehall was a great experience for us!	
Jun 26 2007 	Pleasant experience at Whitehall	I stayed here for three nights. May 15-18, 2007 Room was very nice. Location, great.I did not have the unpleasant experience described by others.The only thing I can add is that before the trip I called the reservation desk and asked for a renovated non smoking room. --which I did get.I reserved via easyclick.com web site and paid 443 with tax for thee nights.	
Jun 16 2007 	Good value for money	We were at this hotel last week and had a good experience. Great location, just off Michigan Ave, friendly staff and clean room. At the lower end of a four star hotel but that is reflected in the cost which is very reasonable. Smallish but comfortable room, small but well-equipped clean bathroom with complimentary toiletries. Free newspaper delivered to room every morning.	
Jun 6 2007 	A depressing experience	A so-called 5 star hotel, selected on the list of hotels for the American Society of Clinical Oncology (ASCO) meeting in Chicago in June 2007, where my booking came from.Despite the fact that staff were very friendly, rooms were in awful condition: dark and depressing; pieces falling from the wall and ceiling; windows that were single layer of glass and in very poor condition: results los of noise of ventilators from other surrounding buildings, I slept with ear plugs every night; very unpleasant smell in the room because of dirty airconditioning.A truly bad experience, not to be repeated. A good advice for those attending future ASCO meetings in Chicago in the next years.Dr. J. Vansteenkiste, ASCO member	
May 30 2007	Avoid The WhiteHall	The staff was incredibly rude. Some of the hotel patrons were waiting on a bus and their children were pushing each other all over the sidewalk. The children tripped my mother-in-law and she fell and cut her knee. It was bad enough the children and parents did nothing to help but the doorman offered no help either. A passing paramedic stopped to help. We took here inside so I could get some towels and water and not one of the staff offered help as they watched me clean and bandage her knee. Later when we mentioned the incident to the doorman, he said nothing and then snickered to the bellhop as we left.	
Apr 29 2007 	You get what you pay for	The Whitehall Hotel is Chicago's &quot;only truly independent boutique hotel.&quot; What that means for most travelers is irrelevant. And it should be.When one stays at a hotel, three basic criteria should be met:1) the room is clean2) the room is quiet and safe3) everything in the room should be in working order.The Whitehall is clean. But the service is lacking in many ways.The noise from hallway activity and other room doors closing is easily audible in the hotel room. Nothing seemed to be in working order. But, things were promptly fixed.I stayed at the Whitehall four nights and just checked out. I am now across the street at the Four Seasons, as a colleague allowed me to use the business center at the hotel there. They have complimentary computer access. The Whitehall does not.The Four Seasons also has nice little amenities, like complimentary drinks in the lobby, bottled water at the front door, and stuff that makes you truly feel welcome. The staff is friendly and helpful.At the Whitehall, there are no in-room coffee makers but coffee service from 7-10am. There are no ice makers but room service will gladly bring you a full bucket of ice. The staff is friendly, but at some points in my stay of little use.One person in my party who got a room on the ninth floor moved to a room on the 8th floor because the heater/cooler/air vent box had a pinging noise that wouldn't stop. Also, the bathroom smelled like a nursing home. Even the bell captain who came in to assist in her room move put his fingers up to his nose.My room was fine. The furniture is a little worn, but perhaps that is what &quot;boutique hotel&quot; is all about. My clock radio was broken, so that when you went to set the alarm the time kept winding backward. I called the front desk, and a Spanish-speaking housekeeper promply came up to my room and replaced the radio with a new model. She also volunteered to set the clock and the alarm, but she could not understand the Engish directions so I stepped in (I am bilingual).Later, I learned that my phone in the bathroom did not work properly, the cordless desk phone was inoperable, the knob for the bathroom vent was broken and that the colour settings of my television were off and there was no way to fix them.I told the front desk about all of this on Friday at about 10:30am, when a package that had been sent overnight via FedEx from Miami on Thursday morning should have arrived. It was urgent, as my convention sessions were rapidly coming to a midday end, and I needed it. Fast.I waited about 20 minutes for Heather at the front desk to track down the person that takes care of packages that are sent to guests. After 20 minutes, I was told no package was there. Frustrated, I ran back to the Drake, where I was certain things like this didn't happen.But the Drake wanted me to spend about $269 a night plus tax for a room. The Whitehall, with tax, was $160 a night.For that price, this hotel - even with the little things that mean a lot to those that travel extensively noticeably absent - is a true value. It's in the heart of the Gold Coast, literally steps away from the John Hancock Tower and the Magnificent Mile. For the price, you won't be beat. If it's first-class service you are looking for, go elsewhere. Just be sure your electricity is in proper working order. At about 10pm last night the woman in room 1110 came back to find that none of the lights would turn on in her room. Nice, huh?On a post-script, upon checkout an hour ago I was asked if I received the FedEx package that arrived on Friday. I was astonished. NO!!! It seems it came in at about 1pm - just as my convention was ending. The front-desk receptionist said a text message was left on my hotel room phone.OK - this makes no sense. How many hotel room phones have text messaging capabilities? And, if so, shouldn't there be a blinking message-waiting light on the phones - or at least one of the three phones in my room?I don't know when I will be back in Chicago again, but another colleague spent about $40 more to stay at the Hilton Suites. I can at least get HiltonHonors points there and the assurance that I will certainly get what I pay for and that &quot;little something extra&quot; that does not exist at the Whitehall.	
Apr 11 2007	Whitehall is ok...but I wouldnt come back	The best thing about this hotel is its location. Just 2 mininutes walk from Magnificient Mile for those who love shopping...and few blocks from downtown Chicago. The hotel room itself is ok, nothing special. We got a room right across from an evalator so it was quite noisy in the early morning. The hotel used to be a luxury apartment so the wall between rooms is a bit thin. I could hear water pouring when the neighbour taking shower in the morning. The air conditioning was not working properly the second night so we got trouble sleeping. The staffs here are nice and helpful. I was actually about to book Hotel Club Monoco for this trip. I got a discount rate for Whitehall so I went with it. However, I should have gone with Hotel Monaco since I have read a lot of good feedback about it...No matter what, I had a great time in Chicago. Love the city....Definitely come back again and stay longer...:)	
Mar 18 2007 	Home away from home	We stayed at the Whitehall this past weekend, and felt at home in this European-style boutique hotel. One of the highlights for us was that, from the moment we entered until we departed, the staff was extremely friendly and helpful! I tend to be somewhat fussy about rooms, and like to view several rooms before selecting the one I want. The staff was very helpful and accommodating. Although the views are not amazing, one has to consider the location - which is west of Michigan Blvd. Our room overlooked part of Michigan Avenue, including the Water Tower Place and the John Hancock Building - pretty nice!I saw two kinds of rooms. One was a bit standard. But, the one we chose to stay in had a wonderful four poster bed, was a nice size and had a very pretty (albeit small) bathroom. Also, there was a plate of chocolates on the marble table which greeted us when we entered. It was the first time we ever slept in a feather bed - very luxurious! And the sheets were very soft.Connected to the hotel is an Italian/Asian restaurant. We enjoyed our lunch there - it had a European ambience. The restaurant has a bar and really comfy adjoining lounge, with lots of sofas and chairs where the staff serves drinks and light fare. But, I think that smoking is permitted in the lounge. A couple of downsides - 1. instead of having ice machines on the floors, the hotel instructs guests to contact room service for ice. It took quite a while for the ice to arrive. 2. The hotel is old.	
Mar 4 2007	Won't Stay There Again	We usually stay at the Ritz Carleton when in Chicago, but it was full for a recent stay in February 2007, so our agent recommended the Whitehall. We noted the Whitehall website comments about a luxury, boutique hotel that had been recently rennovated, and thought we had made a good alternate choice. My first reservations came when I entered the lobby and noticed that the reception desk appeared rather shabby (to me, anyway). But, the staff were pleasant and we (and our luggage) were moved quickly to our room. I had paid for a deluxe room, and was surprised that it was rather small. I was also surprised at the state of the room. The furniture appeared dusty/worn, a leather chair was worn and cracked, the sash of one of the curtains was ripped and hanging loose, wallpaper was stained and torn by the window, the in-room safe didn't work, the closet door came off the track when we opened it, there was food debris next to the couch. Our window had a view of an alley. Not my idea of deluxe.The room was extemely hot when we arrived. Playing with the thermometer accomplished nothing. We called the front desk and they sent an engineer. He said the steam could be on or off - nothing in between. We chose to be cold rather than roast. The problem was that one of the (single pane) windows was leaking cold air. We shut the curtains as tightly as we could, but it got pretty cold.The bath room was small, but reasonably well decorated and fairly clean, with the exception of some major stains in the ceiling above the shower. I did notice an oddity - the control for hot and cold wather for the tub appeared to be reveresed. When you moved the control to cold you got hot, and visa versa. When showering, had to keep that carefully in mind.We went to bed rather late our first night, but were awakened at 6:45 AM by a garbage truck that spent about 20 minutes banging outside our window. What with the window leaking air as it was, the sound penetrated so the truck might as well have been in the room with us. We called the front desk and the staff person said he'd go out and talk to the truck driver. Whatever happened, the noise went on for some minutes. We tried to get back to sleep, but were wakened by out 7:45 AM wake-up call. The only problem is that we hadn't asked for a wake-up call.We then noticed that we had a message light blinking on our phone. We tried pressing the message button, but got a voice telling us to leave a message. We called the front desk, and the person said she'd have to send someone up to look at our phone. We said forget it. We decided to order room service. I tried to order a couple of items on the menu. The room service operator had me wait 3-4 minutes, then told me they were out of the items. We ordered eggs and hash. The room service came with no knife, no salt/pepper (which the hash needed) and no napkins. Pretty sad.The next evening, we decided to watch TV in bed. It was then we noticed a major stain on our sheet (the sheets were a bit flimsy for a &quot;deluxe&quot; accommodation). The TV was also in disrepair such that strawberries in an ad looked brown. We had also noticed earlier that the LED display on the bedside clock was partially burned out so it was hard to determine the time. I had never stayed at the Whitehall before, so I cannot comment whether the hotel is going into decay, or has been second rate for a long period of time. I will say, considering that I paid more for the Whitehall room that I would have if I had been able to get into the Ritz Carleton, I feel I did not get anthing close to an acceptable value. About the only thing I can say is that the staff were pleasant to us, and the hotel location is good. But, nothing could lure me back to the Whitehall for another stay.	
Mar 4 2007 	Outstanding Service	The staff at the Whitehall could not be better. When I phoned to inquire about operable windows, the reservations agent took the time to find someone who could unequivocally confirm that I would be able to open my window.The room was immaculate and the furnishings were very tasteful. Everything worked properly. The bar looks charming, though I did not have time to check it out. The overall location is excellent, just steps from North Michigan Avenue on a relatively quiet street. Only one downside, and this isn't a deal-killer: the corridors look a bit weary--the paint needs touching up.	
Jan 24 2007 	Ok.. Expected more	We booked our travel last minute (the night before). We read a couple of reviews on this hotel and figured we'd give it a try. My fiance and I were packing all night and landed in Chicago and found out our luggage was still in Atlanta. We decided to not let it ruin our vacation and went to check into the hotel. Needless to say we were exhausted. At twelve noon they said they were still cleaning our room that check in was not until three. We decided to go have lunch (dressed in our Miami clothes with a sweater on top). Front desk told us they would be able to check us in when we returned from lunch. We arrived back at the hotel at 145 and our room was still not ready. We told the women and the gentleman in front desk that we were exhausted and would be sitting on the couch in the lobby waiting for them to call us. &quot;No problem I will let you know as soon as your room is available. We know you have been travelling all day.&quot;I logged on to my laptop as my fiance fell asleep on the couch. At 330 I realized time had flown by and I returned to front desk. I asked it our room was available yet and the response was &quot;Oh yes ma'am it's been available for sometime now.&quot; I was shocked. How could you not see us there waiting and my fiance sleeping from packing all night?I found that front desk was not very helpfull our whole trip. I do have to say that the concierge was great and so were the door men. The room was standard, but the bathroom needed some major mold cleaning. Also, the water coming out of the shower was either zero below or 1000 degrees. There was no happy medium. I don't think I will ever return to this hotel again because there were many other hotels in the same region that had more or less the same price and I'm sure would provide us with better customer service.BTW our luggage arrived in the hotel at 7pm.	
Jan 6 2007 	VERY disappointing...substandard.	I live in the Chicago area &amp; had a very good friend visiting from CA for a weekend, so we decided to stay downtown for a few nights &amp; enjoy the city. We wanted to stay near MI Ave. shopping, but to save $ for shopping, spas &amp; dining, so decided to stay at the Whitehall instead of 4 Seasons, Peninsula, Ritz, etc. Based on our experience, I would absolutely NOT recommend staying at the Whitehall for the following reasons:1. We were promised a non-smoking room with 2 beds. When we were shown to our room, it absolutely reeked of smoke the minute you opened the door and we immediately asked to move. 2.The only room available had one bed, which was not preferable, but we were willing to deal with that. However, once we started getting settled, it was apparent that the bed had NOT been changed from the previous guest, nor had the room been cleaned. There was even still personal food items in the minibar. YUCK! There were no other rooms available at that time, so they did send up a crew at that time to clean it (who were very pleasant &amp; apologetic....though see below about makeup bag!). We were in a rush to get to dinner, so left them there cleaning, and the room was fine when we got back.3. The next morning, I realized that I could not find my makeup bag, filled with at least $250 worth of expensive cosmetics), which I had left out when getting settled. I thought that perhaps I had left it at home, but when I got home, it was not there. When I called to see if it had been found, my call was never returned. My only conclusion is that the crew who cleaned the room as were were leaving to go to dinner took it.4. They ran out hot water in the showers after about 5 minutes &amp; this was one of the coldest weekends of the year...5-10 degrees out! Brrr....thank God we had spa appts. &amp; showered there.5. When we checked out &amp; reported these problems, the staff was not apologetic, not were they willing (or, according to them, sanctioned) to give us any kind of compensation, in fact, told us the room we were in was NICER than the one we had reserved and/or had a higher rate. WHAT?! We did manage to get the same rate, so we could get out of there. I also overheard several other guests complaining about the cold water, broken faucets, etc. My friend was in a hurry to get to the airport, so we didn't push it any further, but if we hadn't been in a time crunch, I would have spoken to the manager. Instead, I am (finally) speaking to you--the consumer!6. When I wrote an email about my experience to the hotel management I never received any response. Not surprising, but was the final push in deciding to post this review.My only conclusion is that the Whitehall has gone WAY downhill in recent years, they do not care about customer service, and I would absolutely never stay there again or recommend it to out of town guests. If you are looking for a small hotel in the are when you are planning to visit Chicago, go elsewhere! Calling it a &quot;boutique&quot; or &quot;luxury&quot; hotel is absoultey laughable. I have had better experiences at highway motels!!! Good luck!	
Dec 29 2006	A gem!	I have stayed here at least 5 times and it keeps getting better! This is a very nice smallish hotel on Delaware between Michigan Ave and Rush St.. The rooms are very pleasant, although some in the new decor are on the dark side. The bathrooms are attractively tiled, the beds are very comfortable. The staff is pleasant and friendly throughout. Location is perfect - a two minute walk from busy Michigan Ave and across the street from the Four Seasons Hotel. The restauarant went through a change in the last year or so and although the food is very good, the service at breakfast is excruciatingly slow! The wait staff just seems to fall all over each other and not know what to do. There are two small elevators which cause some people to mutter, but I never felt inconvenienced. This hotel is an excellent choice in Chicago and you will not have to mortgage your house to stay here!	
Dec 11 2006 	Good location	We stay there this past weekend for a holiday getaway. We had a pinacle king room or a junior suite. This place needs some updating. The lighting is horriable and no table to enjoy meals brought in. It had only one sink in the bathroom area and the heating unit sounded like it was going to fall off the wall. The staff was nice and the restaurant was great and ended up eating two nights there. It was the holdays and the whole town was busy so things were hectic all over. But the Whitehall could use a little update. Oh the view for our junior suite was over the garbage area and when the trucks came at 5AM woke us up. Not a nice touch.	
Dec 11 2006 	Smoky and a bit shabby great location nice linens	Sadly, this hotel is somewhat overrated. I was expecting a nice, smaller, elegant boutique hotel. Unfortunately, this property smells of cigarette smoke and was somewhat shabby. We checked in on a Thursday evening. We were given a room on the 12th floor that can only be described as one step above flea-bag. The paint was peeling off the walls, the furniture was battered, the carpet was dirty, the bathroom was out of the 60's or 70's and dirty with burned out light bulbs. The entire room reeked of must, mildew, and cigarette smoke. The windows were frozen shut. When we pointed that out to the bellman and asked if he could open them, he shrugged and did nothing. The next morning the smell was so bad that we asked to be moved to a new room. We were then informed that the entire 12th floor was smoking. We had never been asked (either when booking the room or at check-in) if we preferred smoking or non (we are both non-smokers). We were told that our luggage would be moved to a new room while we were out that day. We returned to the hotel that evening and nothing had been moved. We were then given a new room which seemed out of a different hotel - clean and nice with a remodeled bathroom. It was 1000 times better. The linens and beds are very nice. I do agree with previous guests that the hallway carpeting is beyond shabby and stained. Also, the cigarette smoke smell tends to creep up and down the elevator shafts and you can still smell the smoke on non-smoking floors pretty strongly, even in the rooms. Avoid this hotel if you can't stand cigarette smoke. Unfortunately, none of the staff were very helpful. This hotel has a great location and could be a real gem with some effort.	
Nov 23 2006 	Descending into Shabbiness	We picked the Whitehall because friends had raved how elegant it was. Unfortunately, that was some years ago and our experience suggests that the Whitehall is descending into shabbiness. Exiting the elevator on our floor, the wallpaper was beginning to peel from the walls and the carpet was deeply stained--downright grungy. Rooms tend to be small in this part of town, but there was no excuse for the dirty bedskirt. It was obvious that some prior guests had stained it with their shoes, there being little leg room if you sit in the chair to try to watch TV. The TV, by the way, was an old Zenith on its last legs, the picture alternating from red to purple.In the bathroom, the ceiling above the shower had numerous dark brown water stains. Rings upon rings of water stains. Disgusting! Forget about taking a bath. The stopper mechanism had been removed and there was no plug or stopper or any kind.Though the Whitehall touted its 24 hour room service on check-in, when we called at 8:30 pm, there was no answer.Though the bed ws comfortable, we left feeling that this hotel was definitely past its prime. We won't be back. There's plenty of competition within a few block radius.	
Oct 30 2006	Overbooked	I don't understand how a hotel plans to make a good impression on its clientele if when you arrive they tell you - &quot;Sorry, we overbooked so we will need to send you to another hotel.&quot; May I also say that I booked the room at normal price - $350/night - and this fact still didn't guarantee me a room. Very poor planning by a, supposedly, 4-5 star hotel. Then they think I will simply forget about the problem and come back the next day when they have room available. Sorry guys, you just lost my business forever. Good luck to you.	
Oct 26 2006 	Great location so-so service	Stayed in this hotel for one night before the Chicago Marathon. Room was nice, recently updated with a really nice bathroom. It was small, but not too bad. The front desk help seemed to be clueless about the marathon and had no coffee available until 7:00 am (we had to be there at 7:00). They suggested that we could pay for a breakfast buffet just to get coffee. We found a coffee shop down the street. We asked for a late check out and were told it would cost $50. It is a pretty nice hotel, and you can't judge it completely by a marathon weekend, but I probably would stay somewhere different next time. It does have a great location and I have no complaints about the rooms, but the service was pretty unfriendly and unaccommodating.	
Oct 25 2006 	Service not as nice as the bedding	We also had a negative check-in experience, which included adminshments not to check out early, not to do this, not to do that. The service continued to be a negative factor in our stay. Housecleaning was in our room when we came back for a pre-theater break at 4:30PM; our tub backed up after one shower on the first morning and it took about 30 min before someone would even come and do a partial job before leaving to &quot;go to a meeting.&quot; We weren't able to check out 30 minutes later than the stated time, which would have made it much easier to get to the train station. The room itself did make up for some of this - the beds are very comfortable, there were two suitcase racks, comfy terrycloth robes and a nice view of Michigan Ave (and a little Lake Michigan). We thought the location was perfect for the shopping we wanted to do, and it was walking distance to the two restaurants we'd wanted to eat at.We were told by a cab driver that this was the hotel Michael Jordan used to stay at - maybe they tell this to all the tourists, but I'm pretty sure Jordan could do better (as could anyone).	
Oct 3 2006	going downhill fast!	Hotel was looking shabby. Non-smoking room smelled badly of cigarette smoke. When we left early because of the smoke odors, they tried to collect a cancellation fee for early departure. Don't pay it! I didn't and they backed off. Staff was not very helpful and corridor noise was horrendous. This once lovely old property has clearly fallen on hard times	
Sep 17 2006	Quaint little oasis in the mist of a bustling Chicago	I booked a room using [---] for my daughter and myself and we stayed 5 days over the Labor Day weekend. We booked a hotel/air package.I called from the airport as we were leaving to check to make sure they were expecting us and talked with a very NEGATIVE lady! I asked if we could have a queen or king if not two double beds and she told me that since we booked through an internet website ( arrogance in her voice) we would be supplied with a double!! She was very short with me. As I was telling her that was fine and we'd make do, she transfered me to the front desk. I told the gentleman, that I'd just called to make sure we had a room and had just inquired about beds and had been informed that there was NO way we could change from a double to a queen, king or two doubles and that was FINE. No problem. I was really not upset about it UNTIL the lady was so rude to me. Anyway, be that as it may, we did have a very postive experience at the Whitehall. Freddie, who greeted us at the front desk is THE PERFECT representative for a hotel!! I apoligized for the misunderstanding and told him a double would be fine to which he agreed that we'd be more comfortable with more space and presented us with a king room! I have to say, his generosity and graciousness, along with the friendliness of the staff is what any hotel should strive for in order to add that extra touch often missing in the larger nonpersonal &quot;super-mega&quot; hotels.We stayed on the 8th floor. Unlike a previous review, we didn't have hardwood floors but carpeting. The bath and bed were spotless! I said before in other reviews that I love the covered comforter and the white bedding. You know you're in a clean bed because it's a little hard to mask spots on white linens.The furniture in the room was a bit worn but tasteful and the hallway carpet needs to be replaced. Having said that, I need to agree with my daughter that I'm glad the hotel took care of the most important things to renovate first, like the bath and beds. I can live with the other. There are no ice machines but the hotel provides ice which is complimentary (when you call room service ). We didn't use this service but I'm sure if used, a small tip would be appropriate. We did take advantage of the free coffee and tea in the lobby each morning. It was brewed perfectly. They offer REAL cream and not creamer which was a nice touch.There are only two elevators but we were there during the Labor Day weekend with an abundance of guests and we only had to wait a couple of times with the elevator being full and it returned to our floor within a few minutes. The location of this hotel is one of it's best selling points. It's a half block from Michigan Avenue and half block from Rush Street. You can walk everywhere from here if you're a walker and if not, there are cabs and transportation right out the door. This little hotel is unique. I hate hotels that are so large, you feel like you're lost on a cruise ship! This hotel isn't for everyone. It's older, therefore historical which is just another reason I love it. It's not lush, but is tasteful with a bit of European charm thrown in. The rooms aren't memorable but the beds are spotless and clean as well as the bathrooms. Our sink had a small back up problem in the mornings when everyone was using the plumbing but it eventually drained after a few minutes. You couldn't ask for a better or friendlier staff. Also, my daugther and I had a man follow us into the hotel and into the elevator and before we figured out what he was doing, he followed us out of the elevator. The moment we stepped out of the elevator, I put it all together and as the doors were closing I told the man on the elevator. He called the security. Also there was a maid on our floor and we told her as she was standing near our door. I had already confronted the man and she did too and told him he needed to leave if he wasn't a guest. The security were there within minutes to deal with this man and talked with us in order to make a report . We should have been more aware of our surroundings and I hadn't realized that he'd been trying to touch my daughter on the elevator! If I'd known, I'd never have gotten off and would have stayed on with the other guests ( a man and his wife) and reported it with them. (safety in numbers) This could have ruined our stay but didn't as it was handled very professionally and quickly and we felt safe and stayed more aware for the rest of our stay.	
Sep 9 2006 	Location Location Location	We loved the Whitehall hotel. The beds were so comfortable I had a difficult time getting my family motivated to get up and explore. The service and staff were excellent. I'd stay there again! If you're looking for historic charm (built in 1928, recently renovated), this is the hotel for you. Our room had hardwood floors and feather beds. And most important, they welcomed my 9-yr-old. The location is perfect for sightseeing Chicago. The Hancock Observatory is practically across the street. Famous restaurants, shopping, etc. are in walking distance Taxi's line the street waiting to take you where you need to go. Or, there is a subway two blocks away. Going to the game at Wrigley field was very easy.NOTE: If you have two or more in your group, I would recommend taking a taxi to and from the airport versus a shuttle.	
Sep 3 2006 	Very Accomodating accomodations!	Called the hotel before we stayed here and request a room on the higher floors (non smoking only goes to 11th floor). They accomodated. Our room on the 10th floor(1012) had very new surfaces in entire room. Yes, a few stains in the hallway carpet, but this place is Busy, and it was not that bad. Our reservation was posted to them on the Wrong date by &quot;Last Minute Travel&quot;, so be sure to print out and take your receipt. We did, and Freddie, at the front desk ,did a great job getting us in, no matter what it said in the computer. For our Entire stay, Freddie was a wealth of help, information and friendly service, as was Everyone at this hotel! Our room had no view, but everything else was perfect, and the bed was Heavenly! Maid service was good, as well. No vending in the hotel, so go to the small uptown grocery stores and quick stops near the hotel for drinks and snacks. They will bring ice to your room and were very prompt ; we tipped 2 dollars-very worth it! Concierge Ron found us an awesome place to eat a special dinner out, and took it upon himself to tell them of our honeymoon at Spiaggia, and we got extra special treatment there too. Location of this hotel is Prime to shopping, sights and eateries, too. (You HAVE to go to Sarah's bakery off of Rush street, about a 2 block walk from the hotel! :) Doormen and bellmen were friendly and helpful at All times, and we agreed we would definitely stay here again, as we encountered NO problems of any kind at the Whitehall; just a great group of people who went out of their way to make our stay a Pleasure, in a very nice place!	
