	Loved it!	Loved it! One of my favorite hotel's that we have stayed at in Chicago. Great room, great breakfast, great location. Everyone we came in contact with was so pleasant. The lobby was beautiful. The room in nicely updated - and breakfast was delicious. Hopefully we get a chance to stay here in the future and most defiantly will recommend it to our friends.	
Sep 27 2007	TOO MUCH FUN!	TWO WORDS:Elevator Races!Amazing times! Those 4 elevators in the sky lobby are so superspeedy! They are rapid fast!	
Sep 11 2007 	Great fun great location!	We stayed here over Labor Day weekend. What a great location. Within walking distance of navy Pier, Fox &amp; Obel's grocery, many restuarants. There is even a PJ Clarkes on the premises. The lines for the free breakfast were there, but moved very quickly and the food was great. You can even skip the line if you are not interested in the omelet station. The free drinks at night were nice too. I had a glass of red wine and just took it back to my room. The room - the beds and pillows are wonderful! I would love to have them at home. Our room was spotless. Not the fanciest room of all time, but very clean and spacious. Would definitely stay there again, and plan on it!!	
Sep 4 2007 	Great Hotel in a Great Location!!!	We stayed here over Labor Day wknd and had a great time! Arrived early (11am) and had planned on asking for a place to store luggage until room was ready. To our delight, they told us that we could check in already! Our room was nice, 14th floor and had a HUGE corner suite with a beautiful view of the River. Breakfast was really nice. They had hot food buffet, cold cereal, assorted donuts/bagels, and a cook-to-order omlette area as well. They do have a happy hour with free drinks and appetizers, but we weren't around for it. There is a Walgreens around the corner where we would get bottled water every morning. The location was great...walking distance to everything..Navy Pier, Michigan Ave, John Hancock Bldg,etc. There is a stop for the free trolly just a few steps away from the hotel. We will definitly be back.	
Sep 3 2007	One of our best experiences/deals!	We just returned from a 5 night stay at Embassy Suites and loved every minute of it! The location is great, being walking distance to Navy Pier, Magnificent Mile as well as being within a block from Walgreens, Fox and Obel (a really nice gourmet food store/market), and Dominick's (another supermarket). We checked in around 6pm or so and requested a high room with a view...and got a room on the 15th floor (they have 17 floors total) with a &quot;partial&quot; view of the lake...which means you can't see the _entire_ lake from your window... but its still a GREAT view! The Manager's reception allows you free, unlimited drinks (alcohol, juice, soda, etc) with finger foods (potstickers, crab cakes, egg rolls, meatballs, veggies/dip, etc) and the breakfast buffet has pretty much some of eveything (made to order omelettes, fruits, pastries/bagels, juices, sausage/bacon, french toast, pancakes, etc.). The suites were very roomy with a separate bedroom with its own sink and TV and a living room with a kitchinette (a small sink, microwave, mini-fridge) with sleeper sofa, business desk/chair, and separate closet. Its great for families! Last, the service was wonderful: friendly and helpful staff who request that you speak to the manager on duty if you do not feel any part of your stay as being &quot;very satisfied&quot;. All in all, we would definitely stay here again...especially with the Hotwire price of $109 a night. If you plan on seeing just Chicago, then we would advise you to not even rent a car as parking/traffic is such a hassle and this hotel is in such a good location.	
Sep 1 2007 	Pleasant surprise	We had never stayed at an Embassy Hotel before, so this was a welcome surprise for us. It is a practical place to stay especially for families with kids. The rooms are clean, neat, and big. Our room had a very comfortable king bed with a sitting area with a pull out bed. There were 2 tv's and a microwave and mini fridge.There was an additional 2 sinks as well. Towels were well provided for. The carpet and couches looked a bit worn. If u have a view of the Lake u can catch the fireworks on a Wednesday or Saturday at 9/9:30pm. We never heard any noise or disruptions during the day or night, so we slept pretty well. The breakfast was good, but long lines and crowded, so go early. All the staff we encountered were professional, friendly and helpful. Room service was good, portions are big, so we could share. Parking is expensive (+-$39per day) - there is an option for self parking, but I think u have to pay every time u get your car. Also there is a parking structure opposite the hotel I think u can use. If you're driving yourself the entrance to use is on Illinois street, which is a one way. It can get very confusing- u can't park infront of the hotel on Columbus. There is a Walgreens just around the corner. The hotel exceeded our expectations. We will probably stay here again.	
Aug 26 2007	Clean and comfortable!	We stayed for a 3-day weekend in August. It was perfect for our family of 4 with 2 teenagers. It was very clean and extremely quiet. We never heard a single sound while in our room! We had a partial lake view/ city view on the 12th floor. It was quite an experience for our kids. Being a weekend, the hotel was full to capacity, but we never had to wait for any elevators as they were always quick to arrive. We loved the extra space of the sitting area separate from the sleeping area. We were close enough to Navy Pier that we walked or took the free blue trollies. We were able to walk to Gino's East, Giordano's, the Hancock Building, American Girl Store, Mellenium Park and more!On the negative side, the free breakfast was very crowded by 9am and very hard to get a table. We found ourselves having to get up earlier than we wanted just to get a table at breakfast. The pool is also very small for such a large hotel. The parking garage was outrageous at $34 per day. (We parked our car for 3 days and walked everywhere)Our weekend was expensive, but we felt very worth it!	
Aug 25 2007 	Great Stay!	August 20-24/07 2 adults. We got this hotel on hotwire for $109.00 per night for 4 nights. We took the train from Midway to State and then got a cab as it was raining out otherwise you can walk few blocks. We did take the train from Grand to Midway on our return.The room was quiet, beds were wonderful and most of all the air conditioner was quiet (I am a very light sleeper). We got a room on the top floor city view non smoking 2 doubles and had a great view of nice buildings and the river running between the buildings. The room was very clean and comfortable with microwave and fridge, 2 tvs and living room area. The room only lacked in the bath tub was not one I could really enjoy a long bath in as it was older not a soaking tub but shower worked great.This hotel and clean and has a very nice lobby area with lots of tables for breakfast and coctail time.The elevators were very fast.The breakfast was the best I have ever had for free with cook to order omlettes and eggs, and lots of other choices, excellent start to the day, really really good.Coctail time was also nice touch had every evening we were there very small line for a wide choice of drinks with no limit. They also had snacks that were also good. We enjoyed this to a good start to our evening plans.There is a AMC theatre and bowling right around the corner and we went to a movie during the big storm so we did not even know it happened.There is a resturant PJ's attached to the hotel which has one of the best hamburgers I have ever had.Value wise this hotel get 5 stars with the great breakfast and free drinks and snacks. We loved Chicago!!	
Aug 24 2007 	Not the best not the worst	The Embassy Suites Chicago Downtown/Lakefront is trading on its reputation. It is not a fair bargain for the price, but it's not the worst you can do in the city by any stretch.The location is excellent.The facility itself is somewhat shabby. In my room, the wallpaper was peeling, the bathroom tiles were cracked and dirty in the grout and corners, the ceiling fan was slightly noisier than an airplane propeller, and the air conditioning unit hummed -- loudly -- all night long.Street noise and lobby noise are problems. All of the rooms are built around an atrium at the bottom of which is the bar, reception, front desk, etc. There's also a bar in the hotel, opening onto the atrium, that serves until 4 a.m. Great, if you're partying. Terrible, if you're trying to sleep.My non-smoking room was, technically, non-smoking, but since all the rooms in the atrium share a ventilation system, I not only got to listen to my neighbors below and above, I got to inhale their second-hand smoke too.	
Aug 22 2007 	Fantastic location great for families friendly staff!	We (mom and 2 boys, 11 and 6) stayed at the Embassy Suites Lakefront from 8/12 - 8/19, booked via Hotwire. We couldn't have been happier with the choice, especially for the price.The boys were awed by the 12-story atrium and fountain in the lobby, it was very dramatic. They also loved the glass elevators which felt like an amusement park ride. We had a little key trouble the first day but the staff were great about getting it fixed.This hotel is in a great location if you plan to go to Navy Pier -- only a 2 block walk. And, it's only 2 blocks west to Michigan Avenue where you can catch buses and do some shopping (the lego store in the Nordstrom mall is fun for kids!). Plus, there is a bowling alley and a movie theater, around the corner and actually in the Embassy Suites building. Great for a rainy day, and we had a few!The room was nice -- 2 double beds with an east view, decent view of Lake Michigan. There's a building between the hotel and the lake and you can see the lake around both sides of the building. The 'suite' section had a pull out couch -- which was kind of hard and not so comfortable - We ended up all sleeping in the 2 beds, which were very comfortable. There was also a second TV, table, mini-fridge and microwave. There are also laundry facilities available.Breakfast was crowded only on Friday, Saturday and Sunday; weekdays were not bad at all. The evening reception had short lines (5 min. or so) for drinks; that's the price you pay for free I guess, we only went a couple of times. The pool is quite small -- it's like one lap of a lap pool. We went twice, it wasn't crowded.The bellmen, concierge, and front desk staff were all truly great. The cleaning staff was very anxious to get to our room. We even ordered room service one night and it was prompt and hot.Overall -- great value for the money! It may not be the Ritz but for a family friendly stay in Chicago, I would definitely recommend the Embassy Suites!	
Aug 18 2007 	Modern Great Service Worth Every Penny in an Expensive Town!	I stayed at this property on business, and had stayed at many Embassy Suites before. ...I thought I knew what to expect. An atrium, a guestroom with a sitting area, wetbar, etc... but upon my entrance into the lobby I was pleasantly surprised.This property puts a modern/trendy spin on what you think of the &quot;traditional&quot; Embassy Suite-Style Atrium. Lots of glass, modern fountain water features, candles, gray tones used, cubist decor/accents w/a bit of Asian flair thrown in. At night when the lights went down, it took on an even cooler vibe.The rooms feature marble counter tops. Views vary - and I had a city view. Room was CLEAN, and large. Service was impeccable - I checked in at the height of a rush time - it was BUSY and they moved us fast, and were courteous.The manager's cocktail reception and breakfast in the morning are added perks that give you more bang for your buck if you compare prices at other Chciago downtown hotels - definitely a stylish hotel that is worth your money.	
Aug 16 2007 	Ideal hotel for us	We found this hotel to be in a good location - within easy walking distance of Navy Pier and Lake (not actually Lakefront though), river and Millenium Park and a longer walk to Sears Tower and museum area. We found the hotel to be quiet - no sound came from other rooms and we had no problems with noisy guests in corridors as often happens. We overlooked the road but did not find it too noisy. Love the Embassy Suites for their two rooms - as a family of four it's great to have the extra space. We stayed four nights (Sat/Sun/Mon/Tues) and unlike other reviewers, at no time did we have any queues for the free breakfast . Only problem was slowness of toasters. Didn't use the Manager's Reception but never saw any long lines for this either. Two sinks were seperate to shower which is always useful and there was a third kitchen-type sink between the two rooms along with a small fridge. Unlike other fridges on our holiday this one was completely silent. Everywhere was very clean. Loved this hotel and loved Chicago. Would definitely stay again although it's not cheap!	
Jul 17 2007 	Expected More For Being Embassy Suites	I had originally booked another hotel when I came upon the Embassy Suites for about the same price. The Embassy was closer to where we wanted to be and with 4 people in the room (2 adults, 2 kids 4 &amp; 6) I thought it would be nice to have a larger room. Everyone at the hotel was very nice, the bed was very comfortable, the bathroom was in working order. The breakfast was good, but the lines on Saturday were very long for the cooked-to-order items. The hotel was close to Navy Pier, the shopping mall with the Lego store and lots of restaurants. Now for the negatives: One of our room keys didn't work (not a biggie, it happens). I went down to get a new one, but they needed my husband's ID since it was his name on the account. Our room window was open a few inches and there was no crank to close it. When I went to call for maintenance our phones weren't working well and very little could be heard over the loud static. Maintenance came up, closed the window and tested the phone. The phone itself was fine, but the line would need to be worked on by the phone company after our departure. We'd only need the phone to call valet for our car and for hotel issues so I wasn't too upset. The maintenance guy checked to see if we could switch rooms, but the place was fully booked. He offered free movies for our two night stay. After walking the city for a little bit, it was time to settle down for the night. My husband had to get up early for a seminar and I offered to set the alarm. There wasn't a clock in the room. I called on our almost inaudible phone for a clock. One was brought up quickly, however the volume didn't work and was stuck on high. So much for waking up to the requested alarm clock. Now to get the kids settled. We could hardly get the bed out of the sofa. It took both my husband and I to pull it out and it was a work out. I thought the sofa looked a little strange when my kids were sitting on it. However, after setting it up the best we could it was the most comfortable sofa bed that we had ever had in a hotel (good luck to them ever getting that thing back in there). Now to turn on a movie for the kids to watch a little before bed. After all free movies. Well we had no movies on our TV. I tried calling down, but couldn't hear through the static. I figured it was late enough and just had them go to sleep. At about 3am in the morning the people next door came to their hotel room. I could hear every word they were saying and they weren't even being loud. I was glad they didn't stay up much longer. The following day we did have movies on our TV, but when we got the bill we were charged for the one movie we watched. The lines for drinks at the nightly managers reception were so long that we didn't attend.	
Jul 6 2007 	July 4th experience	Stayed July 3 - July 6, 2 adults, 1 teenager and 1 preteen. Had read a lot of reviews about this hotel and knew what to expect over the July 4 holiday. Place was full, and it was all families with kids.... like us. At times there were waits for elevators (particularly after the July 3 big fireworks) and the breakfast was unpleasant due to overwhelming amounts of people. That said, the staff handled things well, obviously had dealt with these types of crowds and we felt they did a good job. You had to show your room keys to enter the hotel on July 3rd after the fireworks which kept out the hordes of people streaming off the shoreline. Things quieted down quickly due to the clientel being families. Our room was a 2 double, non-smoking. Very clean and spacious, had a city view. Stayed on Hilton points. Our room not ready at 3pm so they found a compatable room for us so we could check in immediately.Did not use the pool, very small and crowded. Lobby area spacious, very nice, had drinks there one afternoon but left before the crowds arrived for the free drinks and snacks.The location of this hotel was perfect. About 4 blocks to actual Navy Pier enterance, 2 blocks to Mich. Ave. Went to a movie one night in the AMC on lower level of hotel, also bowling there.At ate Grand Lux nearby (very good) also liked Banderas and Dicks Last Resort Dockside (also close by).Would recommend for families, but for adult only trip we liked the Hilton Suites on the upper end of Mich. Ave where we stayed last summer.	
Jul 1 2007	Very Nice Hotel - No Complaints	We actually made a last minute decision to spend a saturday night in downtown chicago. I went on Priceline.com and bid on a 3 star property for $90.00 and we got a room at this hotel. The normal rate is $250.00 a night so I felt like we got a great deal. I couldn't have gotten a better value anywhere else.This is actually a very nice hotel right in the heart of the city. We were close to all kinds of shopping, resteraunts, and bars. The hotel lobby is beautiful with a large glass atrium. The staff was friendly and efficient. Are room was a very nice one bedroom suite with a nice view of the city. I would highly recommend this hotel for someone in the city for the weekend. The &quot;suites&quot; include a seperate sitting area with a couch and t.v. This would be a perfect set up for a family vacation. I felt that this was one of the nicer Embassy Suites I have ever stayed in. The room includes a free breakfast buffet, which was comparable to any resteraunt.This is really a great property and I would not hesitate to stay here again. At the end of the day since we only paid $90.00 a night this is probably the best value I have ever found. The normal rate of $250 a night would seem a little steep, but if you can get a reduced rate online I would definitely recommend this property.	
Jun 21 2007	Thoroughly enjoyed our stay at the Embassy Suites Lakefront	My family and I just returned from a 5-night stay at the Embassy Suites Downtown/Lakefront in Chicago. We enjoyed every minute we stayed in the hotel. During our stay, our suite was clean, everything was in working order and we had plenty of room for three people. Having a clean kitchen sink, microwave and mini fridge was extremely useful and convenient, as was the extra vanity and sink in the bedroom. The beds were warm and comfortable, but not saggy. The sofa bed was more comfortable than any other sofa bed I have experienced. All the staff,including the reception desk, valet, bar staff, food service and housekeeping staff were professional and personable. It gave one the sense that they really enjoyed working there. Even though I did not reserve a room with a lake front view, the reception staff found a room with a partial view without an additional fee. The complimentary breakfast is far more than the usual danish and coffee. It's a medium sized buffet complete with eggs, bacon, sausage, pancakes, French toast, cook-to-order omelets, pastries, cereal bar and fresh fruit. The evening Manager's Reception with complimentary alcoholic and non-alcoholic drinks from the full bar was a great way to start each evening. The location on Columbus and E. Illinois is fantastic as it is a few blocks walk from Navy Pier and the river walks along Wacker Drive. I would definitely stay here again.	
Jun 4 2007 	Great hotel!	Pros-Wonderful staff Beautiful decor Corner suite was great for my rather rambuctious kids Breakfast buffet and Evening manager's reception Only a couple of blocks from Navy PierCons-Pool was on the small side Hot tub was closed If you self-park takes 3 elevators to get to roomsAll in all a great place and would definitely stay there again!	
Jun 1 2007 	Quiet well located hotel	The only disappointment here was the advertised &quot;lake view room&quot; -- we only had such a view if we leaned WAAAAAYYYY over and coked our head to the side looking out our window. So do be aware (if such things matter to you) that this hotel is a couple of blocks away from the lake and not all rooms afford a view. Even ones billed as having a lake view.Otherwise, the hotel was quiet and clean. Very modern style, a copy of the W theme that is so popular wiht lots of glass and stainless steel. Our room was large. There is a cocktail reception with free drinks and nasty little buffet snacks (you know, egg rolls and chips and such, the usual cheap cocktail reception food) each night. Breakfast buffet is also free and better thn most as you can get lots of fresh fruit and omlets and such made to order. The hotel is within easy walk distance for tourists to downtown shopping, the lake, various tours and plenty of restaurants. We had a lovely stay.	
May 29 2007 	Great Memorial Weekend stay	We had 4 teenagers and 2 rooms. Excellent stay. We requested 2 rooms next to each other. Arrived at 11am Saturday of Memorial Day weekend. One room was available and they said they would get our other room as close as possible. We ended up with the room next door which was great. Not so great pull out beds but you don't expect they would be that great. Excellent location to Navy Pier and the Watertower and Michigan Ave. shopping. Would stay again when we visit again.	
Apr 26 2007 	Conference / Business Stay	We stayed at the Embassy Suites for a 4 day conference from April 21-25th. Generally speaking the room was nice and spacious. The front desk staff (and any other staff we encountered) were friendly and helped out when we requested. We did not use the concierge, so can not comment on those services. We did not like the complimentary breakfast all that much. They had a large selection of items, but nothing tasted really good. We did not have problems finding a table though. I thought the elevators were fairly quick and did not require long waits or cramming into them with a bunch of people. The only annoying thing with the elevators was that it took you 3 different elevators to get down to the self park area below the building. It took 2 elevators and a walk through the large lobby area to just get to street level. We did hear strange things coming from the vents in our room. Not sure how close this person’s room was, but it was somewhat uncomfortable hearing her emotional breakdown while sitting in the living room area of our room. There is also quite a bit of street noise in the bedroom – especially during rush hour. That sort of thing does not affect my sleep, but it’s definitely there and we were on the 12th floor. These are things that I’m not sure the hotel can do much about, but thought some people might want to know.The location of the hotel is good and safe. It was about a 10 minute walk to Navy Pier and about 5 minutes to Michigan Ave. All in all, the stay went fairly well – we would stay here again for a good rate.	
Apr 15 2007 	busy weekend caveat	We reserved a room with usually reliable Embassy Suites anticipating a leisurely weeknight stay at a spot close to restaurants, shopping and Navy Pier. What we failed to anticipate was a hotel overrun with spring break kids and their families, straining the ES staff to their limits, evidenced by the mob scene breakfast we encountered on a recent Friday morning there. At 8:30 we went downstairs to find hundreds of people in all the food lines, patiently waiting for complimentary breakfast. Unfortunately the staffing seemed minimal, with dirty dishes, empty drink containers and jammed tables everywhere. You would think that when a hotel is booked solid, they might anticipate a crowd like this, but that was not the case here. We nudged a couple of oblivious post breakfast coffee sippers out of their seats and quickly ate the eggs that had become cold on our search for a place to sit. We left our room (comfortable, but with stained rugs and no coffee packets) soon after and headed for a lengthy wait at the elevators with our bags. The valet was fairly quick with our car, but then for a $39 overnight charge it should have come with a wash &amp; wax. We're from Dallas, so we know about downtown parking charges but this seemed excessive. All in all, we will try somewhere else the next time we're here visiting this wonderful city.	
Apr 4 2007 	My Paper Walls	If you love to eavesdrop, this is the hotel for you! Not only did we get to listen to ‘Brian’ call his buddies at 3 a.m. after a night of partying, but we also got serenaded by the next guest’s children. There’s nothing like “New York, New York” to rouse you out of bed at 6:30 a.m. Mind you, these people weren’t being overly loud—just normal noises. We also got to hear the maintenance man roto-rooting the toilet next door at midnight. Why, you ask? Because there was a serious plumbing problem in our section of the hotel. We had to have our toilet—which wasn’t even secured to the floor—serviced three times in three days. And no, we’re not big eaters.I’ve seen the undeserved raves about the breakfast and manager’s receptions. We were sent to the reception to wait for our room, which wasn’t ready for our 7 p.m. arrival. (no excuses, no apologies) There’s something about a ratio of 300 guests to 1 possibly inebriated bartender that doesn’t sit right with me, but really, who doesn’t love to stand in line for 30 minutes just to eat and drink below-average fare in a lobby that reeks of chlorine? (A quote from our 8 year old: “These pancakes taste icky.” Seriously, how bad to they have to be if kids won’t eat them?) If you are in the hotel during the breakfast rush or happy hour, stand outside your room and look down into the lobby. You’ll see huge throngs of hotel guests cued up for a “free” Miller Lite, or some gritty, overcooked, foodservice eggs. You may find yourself thinking of earlier, simpler times, say a Soviet toilet paper line, or maybe a killing floor during Chicago’s ‘hog butcher capital’ days. Here’s a tip that saved us some time and trouble: walk one block east on Illinois to Fox and Obel’s, a GREAT gourmet market and liquor store. That corkscrew by the ice bucket in the room is there for a reason. In all seriousness, this hotel was ‘fine’ in spite of our problems. The lake view was pretty. The room was clean. The sofa bed was good, but small. The location was convenient. Service was, ‘eh,’ with the exception of the bell staff who were uniformly great. We paid $149/nt., which seemed reasonable overall for Chicago. I’ve seen rates posted into the high $200s, and this place simply isn’t worth those prices. And 4.0 rating? Uh, no. Based on the design of the hotel, I think it must have built its reputation as a businessman’s special. Now it caters to the family crowd, and the transition is only half successful. The pool is obviously a one-lane lap pool that’s now overcrowded with kids, and the large bar area has become pancake central for the kiddies. It’s basically Comfort Inn and Suites with a fountain and glass elevators. I love CI&amp;S, but that’s not what I was expecting.Another note, this hotel is NOT appropriate for people who are afraid of heights. The hotel has 12 stories of rooms above the lobby with an open atrium that is bordered with clear plexiglass along the ‘hallways.’ We saw one young boy who was terrified of the drop. Something to consider.	
Apr 3 2007 	Great for Familys	I stayed here St. Patrick day weekend with my parents, after reading reviews on trip advisor. The suites are large and the sofa bed was comfortable enough. So for 3 people and with breakfast included was good value for money. The suite was clean, comfortable and you could just about see a glimpse of Lake Michigan between buildings. (&quot;Lakefront&quot; is a little misleading if you are after a great view). It was a little noisy at night (particularly as I was sleeping in the living area) but then given it was St. Patrick’s night that was perhaps to be expected. Location was excellent, right beside where they were dying the river green for the events, and very easy to pick up the Navy pier trolley. The restaurant PJ Clarks on the ground floor is well worth a visit.	
Mar 26 2007 	This Place Was Aces!	I won't repeat all the good things stated about this hotel. My wife and I were there last week for a convention of my nonprofit and it lived up to its reputation as presented here in Tripadvisor.Only a few additional comments. On floors 10 and 14 there are a washer/dryer. $1.50 to wash and $1.50 to dry. The washer on floor 10was out of service at the time of my visit and the sign on it looked like it had been there a while.One the plus side, the elevators that take you from the SL level to your room are the fastest elevators I have ever experienced in a hotel. Very convenient.The concierge was great, gave us a wonderful tip for a great Italian meal one evening.All in all, an excellent stay!	
Mar 24 2007 	The Best Yet	We arrived at the Embassy Suites after a long train ride from Detroitonly to find out Expedia had botched our reservation (that's aother review). While I was on the phone with Expedia for almost two hours (over the counter at the front desk!), the front desk staff offered us free cocktails, dinner for our tired and hungry children, and assisted us to book a replacement hotel- all while not even guests! They even offered that we return in the morning for free breakfast instead of paying to eat elsewhere. We were forced to stay elsewhere for one night but returned to Embassy Suites for two more nights- a terrific stay! the rooms are spacious and well-appointed- showed no signs of wear that others mentioned. Beautiful soaring lobby- kids thought it was the coolest. Awesome cocktail happy hour -FREE! What! We couldn't believe it! Without a doubt, a fantastic location, above and beyond staff in ALL areas, and great, family-friendly rooms. Can't say enough (and this from two BIG hotel snobs!)	
Mar 23 2007 	Pretty good	I stayed there for a night, and arrived after midnight. Bell service was smooth and excellent, as was checkin. I did however, order &quot;build-a-bear&quot; package, which was forgotten, but the manager promptly sent it up when I called. Room was clean and funcitonal, if not elegant. Nice view of the lake, also. I did not appreciate the bible in the room, though (placed by the Gideons or something), I don't think it's a hotel's place to do that, it made me feel uncomfortable. But Room service was excellent, though expensive, and they gave me a late checkout- and then an even later checkout without any hassle. Checkout was smooth as well, as was ordering and loading up the car. Later, I thought I had forgot my watch- I called the hotel who sent up security who went throught the entire room, and called me back (they didn't find it.. But points for trying.) Over all, extremely functional and pratical, but could use more elegance.	
Mar 3 2007 	Loved the Embassy Suites Lakefront	We stayed here at the end of August 2006. The hotel was wonderful. We had a beautiful view of Lake Michigan from our suite. The complimentary breakfast and cocktail hour each day was one of best things about our stay. It definitely cuts down on the price of eating out. The staff was helpful and courteous. Getting around Chicago is much easier if you use the public transportation system. We got a 5 day visitor pass for $18. Where else can you get a deal like that? We would stay there again.	
Jan 30 2007 	Super-Happy with Embassy Suites Lakeshore!!	Couldn't ask for a better location. Within walking distance of everything!! Walked to the hotel from the Orange Line (arrived @ Midway Airport), It was great! The service at the hotel was outstanding. The first two nights were low key in the hotel, but the attention to detail from the staff was great. The second two nights we were there was when the Bears beat Seattle to be one game away from the Superbowl. The crowds were amazing, yet the service level was maintained. I was extremely impressed. 'The only negative observation is the swimming pool. Very small and a lot of kids. I wouldn't let my kids go as there were so many kids in a small area with what seemed like a lot of colds...Good thing we weren't in Chicago to swim anyway!!For the price, this was one of the nicest hotels that I've stayed in with one of the best views in the city. We'll be back--	
Jan 30 2007 	GIve this hotel a try	Nice room decor and clean. Breakfast can get crowded. Tip--go early! Did not care for the construction noise on a Saturday morning. But this hotel was very well located (close to Michigan Ave) and all staff were pleasant to deal with. We'd go back.	
Jan 19 2007 	great location	I think this a great location in downtown Chicago. There are so many things just STEPS away. (AMC Theatre, Starbucks, Jewel, Walgreens....) There was a really awesome bar (LUCKY STRIKE) with a bowling alley and lots of pool tables or huge couches to watch the game on. That is through the AMC doors and up the escilator. Valet parking is a little high, ($39 per night) but for downtown I suppose that is the going rate. Huge free breakfast.. We will definately be back!!	
Jan 10 2007 	Agree - You can do better	It's over-rated. So many things were out of order it's not funny. We had a broken lamp when we checked in (They swapped out a new one immediately.) The ceiling fan did not work (but they didn't offer to give us another room, only a stand-up fan that they never delivered.) Another light bulb out on the desk lamp and a third one burnt out during our stay. The gym equipment was broken while we were there the entire week after Christmas. The bathroom had other people's hair there for three days before they cleaned it up. The Manager's reception is over-rated. The line is so long you only have enough time to get one drink in two hours. The Breakfast is nice if you can get in before 7:30. Otherwise you'll be fighting the crowds. Really, there are plenty of other places to stay in this vicinity. Take your money elsewhere.	
Jan 9 2007	A very good deal but expect to 'pay' for it	At about $120/night for 5 people (breakfast included), this was undeniably an excellent deal. The location is prime, and the room was well-designed and comfortably held our entire family. The free cocktail each evening was nice &amp; the nibbles were decent (an unfortunate sea of styrofoam cups, however). However, the much vaunted &quot;cooked to order breakfast&quot; was a chaotic, unpleasant ordeal each morning. We felt like cattle waiting to be served at the trough. There was insufficient seating, and the entire environment reeked of make-shift disposable (ugly folding tables/chairs, ugly plastic trays, and again a miserable waste of styrofoam cups).Dread of the breakfast pandemonium would cause hesitation in whether to stay at this hotel again. It is a shame, as so much of the hotel has good things to offer.	
Jan 5 2007 	great place to stay with kids	We stayed at this Embassy Suites location for 3 nights in Oct. It was our first time to Chicago and thought this was a great place for the money. We took our kids to see the King Tut exhibit and made a full weekend out of all of Chicago's great sights to see. The hotel was easy walking distance to Magnificent Mile, Navy Pier and there were always cabs outside waiting for other destinations. We took the Blue line in from O'Hare (the hotel told us what stop to get off at and how to get from the stop to the hotel by cab). The FREE breakfast and cocktail hour were great, especially traveling with kids. We also bought snacks and wine at the grocery store across the street and stored those in our in room fridge. The rooms are a little worn but comfortable. We definitely would go back and stay at this hotel again.	
Dec 26 2006 	Great Hotel	Large clean room. Fantastic breakfast (but does get crowded sometimes). Location is close to Magnificent Mile and Navy Pier, and we were able to use the free trolleys quite often during our stay. We have a family of 5, so the pull-out couch was great in comparison to a roll-a-way bed at most hotels. Friendly and efficient service. The pool is not real large, but the kids enjoyed it. Overall a great stay.	
Dec 11 2006 	Great location rate amenities!	Great location! About two blocks from Michigan Ave, and just a few more to nearly everything else.Traveling with a toddler, we chose Embassy Suites for the separate living/bed rooms, refrigerator, and microwave. The complimentary full breakfast and evening cocktails were just a bonus. The rate was $50-100 less than a standard (amenity-less) room at all the nearby major chains, so it was a no-brainer to stay here. I recommend a south facing room for the best views since you will be overlooking a parking lot and not directly at a high rise.Checking in/out was a breeze. Booked a nonrefundable, prepaid rate online so that minimized the check-in time. Asked for a late checkout on a Tuesday and was allowed to stay until 1pm.Took the super convenient Orange Line train from/to Midway Airport ($2/person). Easy half mile walk from nearest station to this hotel, even in teen temperatures. Free Navy Pier Trolley picks/drops you across street from hotel. Also across the street are Starbucks, Dominick's grocery, and Un-cork It (large liquor store). You may also choose from a few neighboring restaurants.It's by no means a deal breaker, but as stated in other reviews, it takes two elevators to get from street level to your room. One set of elevators gets you from street to lobby, the other set gets you from the lobby to the rooms. Elevators are exceptionally frequent and fast to ascend/descend. I don't recall waiting more than 5 seconds after hitting the up/down button.	
Oct 26 2006	Great hotel for kids and/or Chicago Marathon	The Embassy Suites Downtown Lakefront is a great place to stay if you have kids and/or running the Chicago Marathon. The property has a great location. Easy walking distance or short cab ride to Michigan Ave. shopping, River North dining, Navy Pier, Grant Park, and the lakefront museums.I walked to the start line, which was less than a mile away.Embassy Suites are great for families. The 2 bedroom suites give families extra space. The inclusive breakfast is also very nice.The hotel is clean and has a new feel. The elevators are very fast. Unfortunately, you do need to change elevators to go down to street level.There is a Dominick's grocery store with Starbucks across the street. This is a very high end Dominick's. Also, there is an adjacent movie theatre.	
Oct 6 2006 	Nice Place for Weekend Getaway	My husband and I stayed at the Embassy Suites, Chicago Downtown Lakefront for 2 nights, September 22 &amp; 23, 2006. It was centrally located, within walking distance to most of the sights we wanted to see. We arrived well before check in and were able to go right to our room. Room was clean and spacious. The bed was a little too firm for me...a pillow top would have been more comfortable. We thoroughly enjoyed the cocktail reception and the cook to order breakfasts. Staff was courteous and friendly. Using the concierge service to book evening reservations to a Comedy Club was not a problem, they were happy to help. We would definitely stay there again.	
